ID;Bestedingscategorieen;Perioden;JaarmutatieHICP_1;Wegingscoefficient_2;BijdrageAanDeJaarmutatieHICP_3;ImpactOpDeJaarmutatieHICP_4
42;000000 Alle bestedingen;2019 april;3.0;100000;;
43;000000 Alle bestedingen;2019 mei;2.3;100000;;
44;000000 Alle bestedingen;2019 juni;2.7;100000;;
45;000000 Alle bestedingen;2019 juli;2.6;100000;;
46;000000 Alle bestedingen;2019 augustus;3.1;100000;;
47;000000 Alle bestedingen;2019 september;2.7;100000;;
48;000000 Alle bestedingen;2019 oktober;2.8;100000;;
49;000000 Alle bestedingen;2019 november;2.6;100000;;
50;000000 Alle bestedingen;2019 december;2.8;100000;;
51;000000 Alle bestedingen;2019;2.7;100000;;
52;000000 Alle bestedingen;2020 januari;1.7;100000;;
53;000000 Alle bestedingen;2020 februari;1.3;100000;;
54;000000 Alle bestedingen;2020 maart;1.1;100000;;
55;000000 Alle bestedingen;2020 april;1.0;100000;;
56;000000 Alle bestedingen;2020 mei;1.1;100000;;
57;000000 Alle bestedingen;2020 juni;1.7;100000;;
58;000000 Alle bestedingen;2020 juli;1.6;100000;;
59;000000 Alle bestedingen;2020 augustus;0.3;100000;;
60;000000 Alle bestedingen;2020 september;1.0;100000;;
61;000000 Alle bestedingen;2020 oktober;1.2;100000;;
62;000000 Alle bestedingen;2020 november;0.7;100000;;
63;000000 Alle bestedingen;2020 december;0.9;100000;;
64;000000 Alle bestedingen;2020;1.1;100000;;
65;000000 Alle bestedingen;2021 januari;1.6;100000;;
66;000000 Alle bestedingen;2021 februari;1.9;100000;;
67;000000 Alle bestedingen;2021 maart;1.9;100000;;
68;000000 Alle bestedingen;2021 april;1.7;100000;;
69;000000 Alle bestedingen;2021 mei;2.0;100000;;
70;000000 Alle bestedingen;2021 juni;1.7;100000;;
71;000000 Alle bestedingen;2021 juli;1.4;100000;;
72;000000 Alle bestedingen;2021 augustus;2.7;100000;;
73;000000 Alle bestedingen;2021 september;3.0;100000;;
74;000000 Alle bestedingen;2021 oktober;3.7;100000;;
75;000000 Alle bestedingen;2021 november;5.9;100000;;
76;000000 Alle bestedingen;2021 december;6.4;100000;;
77;000000 Alle bestedingen;2021;2.8;100000;;
78;000000 Alle bestedingen;2022 januari;7.6;100000;;
79;000000 Alle bestedingen;2022 februari;7.3;100000;;
80;000000 Alle bestedingen;2022 maart;11.7;100000;;
81;000000 Alle bestedingen;2022 april;11.2;100000;;
82;000000 Alle bestedingen;2022 mei;10.2;100000;;
83;000000 Alle bestedingen;2022 juni;9.9;100000;;
84;000000 Alle bestedingen;2022 juli;11.6;100000;;
85;000000 Alle bestedingen;2022 augustus;13.7;100000;;
86;000000 Alle bestedingen;2022 september;17.1;100000;;
87;000000 Alle bestedingen;2022 oktober;16.8;100000;;
88;000000 Alle bestedingen;2022 november;11.3;100000;;
89;000000 Alle bestedingen;2022 december;11.0;100000;;
90;000000 Alle bestedingen;2022;11.6;100000;;
91;000000 Alle bestedingen;2023 januari;8.4;100000;;
92;000000 Alle bestedingen;2023 februari;8.9;100000;;
93;000000 Alle bestedingen;2023 maart;4.5;100000;;
94;000000 Alle bestedingen;2023 april;5.8;100000;;
95;000000 Alle bestedingen;2023 mei;6.8;100000;;
96;000000 Alle bestedingen;2023 juni;6.4;100000;;
97;000000 Alle bestedingen;2023 juli;5.3;100000;;
98;000000 Alle bestedingen;2023 augustus;3.4;100000;;
99;000000 Alle bestedingen;2023 september;-0.3;100000;;
100;000000 Alle bestedingen;2023 oktober;-1.0;100000;;
101;000000 Alle bestedingen;2023 november;1.4;100000;;
102;000000 Alle bestedingen;2023 december;1.0;100000;;
103;000000 Alle bestedingen;2023;4.1;100000;;
104;000000 Alle bestedingen;2024 januari;3.1;100000;;
105;000000 Alle bestedingen;2024 februari;2.7;100000;;
106;000000 Alle bestedingen;2024 maart;3.1;100000;;
107;000000 Alle bestedingen;2024 april;2.6;100000;;
108;000000 Alle bestedingen;2024 mei;2.7;100000;;
109;000000 Alle bestedingen;2024 juni;3.4;100000;;
110;000000 Alle bestedingen;2024 juli;3.5;100000;;
111;000000 Alle bestedingen;2024 augustus;3.3;100000;;
112;000000 Alle bestedingen;2024 september;3.3;100000;;
113;000000 Alle bestedingen;2024 oktober;3.3;100000;;
114;000000 Alle bestedingen;2024 november;3.8;100000;;
115;000000 Alle bestedingen;2024 december;3.9;100000;;
116;000000 Alle bestedingen;2024;3.2;100000;;
117;000000 Alle bestedingen;2025 januari;3.0;100000;;
118;000000 Alle bestedingen;2025 februari;3.5;100000;;
119;000000 Alle bestedingen;2025 maart;3.4;100000;;
120;010000 Voedingsmidd. en alc.vrije drank;2016 januari;1.3;14493;0.18;0.18
121;010000 Voedingsmidd. en alc.vrije drank;2016 februari;1.1;14493;0.16;0.13
122;010000 Voedingsmidd. en alc.vrije drank;2016 maart;1.5;14493;0.22;0.17
123;010000 Voedingsmidd. en alc.vrije drank;2016 april;1.2;14493;0.18;0.24
124;010000 Voedingsmidd. en alc.vrije drank;2016 mei;1.3;14493;0.18;0.25
125;010000 Voedingsmidd. en alc.vrije drank;2016 juni;1.6;14493;0.22;0.29
126;010000 Voedingsmidd. en alc.vrije drank;2016 juli;0.7;14493;0.1;0.21
127;010000 Voedingsmidd. en alc.vrije drank;2016 augustus;0.2;14493;0.03;0.02
128;010000 Voedingsmidd. en alc.vrije drank;2016 september;0.1;14493;0.01;0.03
129;010000 Voedingsmidd. en alc.vrije drank;2016 oktober;0.4;14493;0.06;0.02
130;010000 Voedingsmidd. en alc.vrije drank;2016 november;0.8;14493;0.11;0.07
131;010000 Voedingsmidd. en alc.vrije drank;2016 december;1.3;14493;0.19;0.1
132;010000 Voedingsmidd. en alc.vrije drank;2016;1.0;14493;0.14;0.14
133;010000 Voedingsmidd. en alc.vrije drank;2017 januari;1.5;14587;0.22;-0.03
134;010000 Voedingsmidd. en alc.vrije drank;2017 februari;2.1;14587;0.31;0.07
135;010000 Voedingsmidd. en alc.vrije drank;2017 maart;1.8;14587;0.27;0.21
136;010000 Voedingsmidd. en alc.vrije drank;2017 april;1.8;14587;0.26;0.06
137;010000 Voedingsmidd. en alc.vrije drank;2017 mei;2.4;14587;0.35;0.29
138;010000 Voedingsmidd. en alc.vrije drank;2017 juni;2.7;14587;0.39;0.29
139;010000 Voedingsmidd. en alc.vrije drank;2017 juli;3.2;14587;0.46;0.29
140;010000 Voedingsmidd. en alc.vrije drank;2017 augustus;3.5;14587;0.51;0.34
141;010000 Voedingsmidd. en alc.vrije drank;2017 september;3.7;14587;0.53;0.37
142;010000 Voedingsmidd. en alc.vrije drank;2017 oktober;3.4;14587;0.49;0.36
143;010000 Voedingsmidd. en alc.vrije drank;2017 november;3.1;14587;0.45;0.27
144;010000 Voedingsmidd. en alc.vrije drank;2017 december;2.5;14587;0.36;0.22
145;010000 Voedingsmidd. en alc.vrije drank;2017;2.6;14587;0.38;0.23
146;010000 Voedingsmidd. en alc.vrije drank;2018 januari;2.2;14539;0.33;0.13
147;010000 Voedingsmidd. en alc.vrije drank;2018 februari;1.7;14539;0.25;0.08
148;010000 Voedingsmidd. en alc.vrije drank;2018 maart;0.7;14539;0.1;-0.06
149;010000 Voedingsmidd. en alc.vrije drank;2018 april;1.0;14539;0.14;-0.01
150;010000 Voedingsmidd. en alc.vrije drank;2018 mei;0.6;14539;0.09;-0.22
151;010000 Voedingsmidd. en alc.vrije drank;2018 juni;-0.1;14539;-0.01;-0.3
152;010000 Voedingsmidd. en alc.vrije drank;2018 juli;0.1;14539;0.02;-0.31
153;010000 Voedingsmidd. en alc.vrije drank;2018 augustus;0.4;14539;0.06;-0.25
154;010000 Voedingsmidd. en alc.vrije drank;2018 september;0.5;14539;0.08;-0.18
155;010000 Voedingsmidd. en alc.vrije drank;2018 oktober;0.4;14539;0.06;-0.24
156;010000 Voedingsmidd. en alc.vrije drank;2018 november;0.9;14539;0.13;-0.15
157;010000 Voedingsmidd. en alc.vrije drank;2018 december;1.0;14539;0.15;-0.14
158;010000 Voedingsmidd. en alc.vrije drank;2018;0.8;14539;0.12;-0.14
159;010000 Voedingsmidd. en alc.vrije drank;2019 januari;3.0;14430;0.44;0.17
160;010000 Voedingsmidd. en alc.vrije drank;2019 februari;2.9;14430;0.43;0.06
161;010000 Voedingsmidd. en alc.vrije drank;2019 maart;3.6;14430;0.51;0.12
162;010000 Voedingsmidd. en alc.vrije drank;2019 april;3.6;14430;0.51;0.09
163;010000 Voedingsmidd. en alc.vrije drank;2019 mei;3.5;14430;0.5;0.19
164;010000 Voedingsmidd. en alc.vrije drank;2019 juni;4.5;14430;0.64;0.29
165;010000 Voedingsmidd. en alc.vrije drank;2019 juli;4.8;14430;0.69;0.37
166;010000 Voedingsmidd. en alc.vrije drank;2019 augustus;4.8;14430;0.69;0.28
167;010000 Voedingsmidd. en alc.vrije drank;2019 september;4.8;14430;0.69;0.35
168;010000 Voedingsmidd. en alc.vrije drank;2019 oktober;4.8;14430;0.69;0.33
169;010000 Voedingsmidd. en alc.vrije drank;2019 november;4.3;14430;0.62;0.29
170;010000 Voedingsmidd. en alc.vrije drank;2019 december;3.7;14430;0.53;0.15
171;010000 Voedingsmidd. en alc.vrije drank;2019;4.0;14430;0.58;0.23
172;010000 Voedingsmidd. en alc.vrije drank;2020 januari;1.8;14356;0.26;0.02
173;010000 Voedingsmidd. en alc.vrije drank;2020 februari;1.9;14356;0.28;0.11
174;010000 Voedingsmidd. en alc.vrije drank;2020 maart;3.1;14356;0.45;0.35
175;010000 Voedingsmidd. en alc.vrije drank;2020 april;3.4;14356;0.49;0.41
176;010000 Voedingsmidd. en alc.vrije drank;2020 mei;3.2;14356;0.45;0.35
177;010000 Voedingsmidd. en alc.vrije drank;2020 juni;2.7;14356;0.39;0.17
178;010000 Voedingsmidd. en alc.vrije drank;2020 juli;1.9;14356;0.27;0.04
179;010000 Voedingsmidd. en alc.vrije drank;2020 augustus;0.9;14356;0.13;0.11
180;010000 Voedingsmidd. en alc.vrije drank;2020 september;1.2;14356;0.17;0.04
181;010000 Voedingsmidd. en alc.vrije drank;2020 oktober;1.1;14356;0.15;-0.01
182;010000 Voedingsmidd. en alc.vrije drank;2020 november;0.8;14356;0.11;0.01
183;010000 Voedingsmidd. en alc.vrije drank;2020 december;0.6;14356;0.09;-0.05
184;010000 Voedingsmidd. en alc.vrije drank;2020;1.9;14356;0.27;0.13
185;010000 Voedingsmidd. en alc.vrije drank;2021 januari;0.5;16050;0.07;-0.18
186;010000 Voedingsmidd. en alc.vrije drank;2021 februari;0.3;16050;0.05;-0.27
187;010000 Voedingsmidd. en alc.vrije drank;2021 maart;-1.3;16050;-0.2;-0.58
188;010000 Voedingsmidd. en alc.vrije drank;2021 april;-2.1;16050;-0.31;-0.7
189;010000 Voedingsmidd. en alc.vrije drank;2021 mei;-1.5;16050;-0.21;-0.64
190;010000 Voedingsmidd. en alc.vrije drank;2021 juni;-1.5;16050;-0.22;-0.59
191;010000 Voedingsmidd. en alc.vrije drank;2021 juli;-0.9;16050;-0.11;-0.43
192;010000 Voedingsmidd. en alc.vrije drank;2021 augustus;0.1;16050;0.04;-0.48
193;010000 Voedingsmidd. en alc.vrije drank;2021 september;0.0;16050;0.01;-0.55
194;010000 Voedingsmidd. en alc.vrije drank;2021 oktober;0.3;16050;0.06;-0.66
195;010000 Voedingsmidd. en alc.vrije drank;2021 november;1.2;16050;0.2;-0.89
196;010000 Voedingsmidd. en alc.vrije drank;2021 december;2.6;16050;0.42;-0.73
197;010000 Voedingsmidd. en alc.vrije drank;2021;-0.2;16050;-0.02;-0.56
198;010000 Voedingsmidd. en alc.vrije drank;2022 januari;4.4;15391;0.71;-0.61
199;010000 Voedingsmidd. en alc.vrije drank;2022 februari;5.0;15391;0.8;-0.42
200;010000 Voedingsmidd. en alc.vrije drank;2022 maart;6.4;15391;1.01;-0.99
201;010000 Voedingsmidd. en alc.vrije drank;2022 april;8.4;15391;1.31;-0.53
202;010000 Voedingsmidd. en alc.vrije drank;2022 mei;9.2;15391;1.45;-0.18
203;010000 Voedingsmidd. en alc.vrije drank;2022 juni;11.1;15391;1.75;0.22
204;010000 Voedingsmidd. en alc.vrije drank;2022 juli;12.2;15391;1.92;0.11
205;010000 Voedingsmidd. en alc.vrije drank;2022 augustus;13.0;15391;2.04;-0.12
206;010000 Voedingsmidd. en alc.vrije drank;2022 september;12.7;15391;1.98;-0.82
207;010000 Voedingsmidd. en alc.vrije drank;2022 oktober;13.8;15391;2.14;-0.54
208;010000 Voedingsmidd. en alc.vrije drank;2022 november;15.4;15391;2.38;0.75
209;010000 Voedingsmidd. en alc.vrije drank;2022 december;16.8;15391;2.59;1.05
210;010000 Voedingsmidd. en alc.vrije drank;2022;10.7;15391;1.67;-0.17
211;010000 Voedingsmidd. en alc.vrije drank;2023 januari;17.3;14904;2.66;1.57
212;010000 Voedingsmidd. en alc.vrije drank;2023 februari;17.9;14904;2.75;1.58
213;010000 Voedingsmidd. en alc.vrije drank;2023 maart;17.8;14904;2.62;2.27
214;010000 Voedingsmidd. en alc.vrije drank;2023 april;15.6;14904;2.32;1.71
215;010000 Voedingsmidd. en alc.vrije drank;2023 mei;14.8;14904;2.24;1.41
216;010000 Voedingsmidd. en alc.vrije drank;2023 juni;13.0;14904;1.99;1.17
217;010000 Voedingsmidd. en alc.vrije drank;2023 juli;11.5;14904;1.74;1.1
218;010000 Voedingsmidd. en alc.vrije drank;2023 augustus;9.6;14904;1.44;1.11
219;010000 Voedingsmidd. en alc.vrije drank;2023 september;9.4;14904;1.36;1.68
220;010000 Voedingsmidd. en alc.vrije drank;2023 oktober;7.8;14904;1.13;1.55
221;010000 Voedingsmidd. en alc.vrije drank;2023 november;6.2;14904;0.93;0.84
222;010000 Voedingsmidd. en alc.vrije drank;2023 december;4.0;14904;0.59;0.52
223;010000 Voedingsmidd. en alc.vrije drank;2023;11.9;14904;1.81;1.37
224;010000 Voedingsmidd. en alc.vrije drank;2024 januari;2.5;14462;0.39;-0.11
225;010000 Voedingsmidd. en alc.vrije drank;2024 februari;0.8;14462;0.12;-0.34
226;010000 Voedingsmidd. en alc.vrije drank;2024 maart;0.9;14462;0.13;-0.4
227;010000 Voedingsmidd. en alc.vrije drank;2024 april;1.2;14462;0.18;-0.22
228;010000 Voedingsmidd. en alc.vrije drank;2024 mei;1.0;14462;0.14;-0.29
229;010000 Voedingsmidd. en alc.vrije drank;2024 juni;1.0;14462;0.13;-0.42
230;010000 Voedingsmidd. en alc.vrije drank;2024 juli;1.3;14462;0.17;-0.37
231;010000 Voedingsmidd. en alc.vrije drank;2024 augustus;1.8;14462;0.25;-0.25
232;010000 Voedingsmidd. en alc.vrije drank;2024 september;2.2;14462;0.31;-0.17
233;010000 Voedingsmidd. en alc.vrije drank;2024 oktober;2.2;14462;0.31;-0.17
234;010000 Voedingsmidd. en alc.vrije drank;2024 november;2.5;14462;0.36;-0.22
235;010000 Voedingsmidd. en alc.vrije drank;2024 december;3.1;14462;0.44;-0.15
236;010000 Voedingsmidd. en alc.vrije drank;2024;1.7;14462;0.25;-0.26
237;010000 Voedingsmidd. en alc.vrije drank;2025 januari;3.5;14550;0.51;0.09
238;010000 Voedingsmidd. en alc.vrije drank;2025 februari;4.3;14550;0.63;0.14
239;010000 Voedingsmidd. en alc.vrije drank;2025 maart;3.9;14550;0.56;0.08
240;011000 Voedingsmiddelen;2016 januari;1.1;13199;0.15;0.14
241;011000 Voedingsmiddelen;2016 februari;1.1;13199;0.14;0.11
242;011000 Voedingsmiddelen;2016 maart;1.5;13199;0.19;0.14
243;011000 Voedingsmiddelen;2016 april;1.2;13199;0.15;0.21
244;011000 Voedingsmiddelen;2016 mei;1.1;13199;0.15;0.2
245;011000 Voedingsmiddelen;2016 juni;1.4;13199;0.18;0.24
246;011000 Voedingsmiddelen;2016 juli;0.5;13199;0.07;0.16
247;011000 Voedingsmiddelen;2016 augustus;0.0;13199;-0.01;-0.02
248;011000 Voedingsmiddelen;2016 september;-0.2;13199;-0.02;-0.01
249;011000 Voedingsmiddelen;2016 oktober;0.1;13199;0.02;-0.02
250;011000 Voedingsmiddelen;2016 november;0.6;13199;0.08;0.04
251;011000 Voedingsmiddelen;2016 december;1.1;13199;0.15;0.06
252;011000 Voedingsmiddelen;2016;0.8;13199;0.1;0.1
253;011000 Voedingsmiddelen;2017 januari;1.5;13349;0.2;-0.02
254;011000 Voedingsmiddelen;2017 februari;2.1;13349;0.28;0.07
255;011000 Voedingsmiddelen;2017 maart;1.9;13349;0.26;0.2
256;011000 Voedingsmiddelen;2017 april;1.8;13349;0.24;0.05
257;011000 Voedingsmiddelen;2017 mei;2.5;13349;0.33;0.27
258;011000 Voedingsmiddelen;2017 juni;2.8;13349;0.37;0.28
259;011000 Voedingsmiddelen;2017 juli;3.3;13349;0.44;0.28
260;011000 Voedingsmiddelen;2017 augustus;3.7;13349;0.48;0.33
261;011000 Voedingsmiddelen;2017 september;3.8;13349;0.5;0.36
262;011000 Voedingsmiddelen;2017 oktober;3.5;13349;0.46;0.34
263;011000 Voedingsmiddelen;2017 november;3.2;13349;0.42;0.25
264;011000 Voedingsmiddelen;2017 december;2.6;13349;0.35;0.21
265;011000 Voedingsmiddelen;2017;2.7;13349;0.36;0.22
266;011000 Voedingsmiddelen;2018 januari;2.2;13274;0.3;0.12
267;011000 Voedingsmiddelen;2018 februari;1.8;13274;0.24;0.09
268;011000 Voedingsmiddelen;2018 maart;0.7;13274;0.1;-0.04
269;011000 Voedingsmiddelen;2018 april;1.0;13274;0.13;0.0
270;011000 Voedingsmiddelen;2018 mei;0.6;13274;0.09;-0.19
271;011000 Voedingsmiddelen;2018 juni;0.0;13274;0.0;-0.26
272;011000 Voedingsmiddelen;2018 juli;0.2;13274;0.02;-0.27
273;011000 Voedingsmiddelen;2018 augustus;0.5;13274;0.07;-0.2
274;011000 Voedingsmiddelen;2018 september;0.6;13274;0.08;-0.14
275;011000 Voedingsmiddelen;2018 oktober;0.5;13274;0.06;-0.21
276;011000 Voedingsmiddelen;2018 november;1.0;13274;0.14;-0.11
277;011000 Voedingsmiddelen;2018 december;1.2;13274;0.15;-0.1
278;011000 Voedingsmiddelen;2018;0.9;13274;0.12;-0.11
279;011000 Voedingsmiddelen;2019 januari;3.2;13210;0.43;0.19
280;011000 Voedingsmiddelen;2019 februari;3.1;13210;0.42;0.09
281;011000 Voedingsmiddelen;2019 maart;3.8;13210;0.5;0.14
282;011000 Voedingsmiddelen;2019 april;3.8;13210;0.5;0.12
283;011000 Voedingsmiddelen;2019 mei;3.8;13210;0.49;0.22
284;011000 Voedingsmiddelen;2019 juni;4.8;13210;0.62;0.3
285;011000 Voedingsmiddelen;2019 juli;5.1;13210;0.66;0.37
286;011000 Voedingsmiddelen;2019 augustus;5.0;13210;0.65;0.28
287;011000 Voedingsmiddelen;2019 september;4.9;13210;0.65;0.33
288;011000 Voedingsmiddelen;2019 oktober;5.1;13210;0.66;0.34
289;011000 Voedingsmiddelen;2019 november;4.4;13210;0.58;0.28
290;011000 Voedingsmiddelen;2019 december;3.8;13210;0.5;0.15
291;011000 Voedingsmiddelen;2019;4.2;13210;0.55;0.23
292;011000 Voedingsmiddelen;2020 januari;1.9;13191;0.26;0.04
293;011000 Voedingsmiddelen;2020 februari;2.1;13191;0.27;0.12
294;011000 Voedingsmiddelen;2020 maart;3.2;13191;0.42;0.33
295;011000 Voedingsmiddelen;2020 april;3.6;13191;0.47;0.39
296;011000 Voedingsmiddelen;2020 mei;3.3;13191;0.43;0.33
297;011000 Voedingsmiddelen;2020 juni;2.7;13191;0.36;0.16
298;011000 Voedingsmiddelen;2020 juli;2.0;13191;0.26;0.05
299;011000 Voedingsmiddelen;2020 augustus;1.0;13191;0.13;0.1
300;011000 Voedingsmiddelen;2020 september;1.3;13191;0.17;0.04
301;011000 Voedingsmiddelen;2020 oktober;1.2;13191;0.16;0.01
302;011000 Voedingsmiddelen;2020 november;0.8;13191;0.11;0.02
303;011000 Voedingsmiddelen;2020 december;0.7;13191;0.09;-0.04
304;011000 Voedingsmiddelen;2020;2.0;13191;0.26;0.13
305;011000 Voedingsmiddelen;2021 januari;0.6;14768;0.07;-0.15
306;011000 Voedingsmiddelen;2021 februari;0.4;14768;0.06;-0.23
307;011000 Voedingsmiddelen;2021 maart;-1.3;14768;-0.18;-0.52
308;011000 Voedingsmiddelen;2021 april;-2.2;14768;-0.3;-0.65
309;011000 Voedingsmiddelen;2021 mei;-1.4;14768;-0.19;-0.58
310;011000 Voedingsmiddelen;2021 juni;-1.5;14768;-0.2;-0.54
311;011000 Voedingsmiddelen;2021 juli;-0.9;14768;-0.11;-0.39
312;011000 Voedingsmiddelen;2021 augustus;0.2;14768;0.05;-0.42
313;011000 Voedingsmiddelen;2021 september;0.0;14768;0.02;-0.5
314;011000 Voedingsmiddelen;2021 oktober;0.2;14768;0.05;-0.61
315;011000 Voedingsmiddelen;2021 november;1.1;14768;0.17;-0.83
316;011000 Voedingsmiddelen;2021 december;2.6;14768;0.38;-0.66
317;011000 Voedingsmiddelen;2021;-0.2;14768;-0.02;-0.5
318;011000 Voedingsmiddelen;2022 januari;4.3;14200;0.64;-0.57
319;011000 Voedingsmiddelen;2022 februari;4.9;14200;0.72;-0.41
320;011000 Voedingsmiddelen;2022 maart;6.2;14200;0.9;-0.93
321;011000 Voedingsmiddelen;2022 april;8.5;14200;1.22;-0.46
322;011000 Voedingsmiddelen;2022 mei;9.1;14200;1.32;-0.18
323;011000 Voedingsmiddelen;2022 juni;11.2;14200;1.63;0.22
324;011000 Voedingsmiddelen;2022 juli;12.3;14200;1.79;0.12
325;011000 Voedingsmiddelen;2022 augustus;13.1;14200;1.89;-0.1
326;011000 Voedingsmiddelen;2022 september;12.8;14200;1.85;-0.73
327;011000 Voedingsmiddelen;2022 oktober;14.0;14200;1.99;-0.46
328;011000 Voedingsmiddelen;2022 november;15.7;14200;2.23;0.73
329;011000 Voedingsmiddelen;2022 december;17.0;14200;2.42;1.0
330;011000 Voedingsmiddelen;2022;10.8;14200;1.55;-0.15
331;011000 Voedingsmiddelen;2023 januari;17.7;13744;2.5;1.48
332;011000 Voedingsmiddelen;2023 februari;18.4;13744;2.59;1.51
333;011000 Voedingsmiddelen;2023 maart;18.4;13744;2.49;2.15
334;011000 Voedingsmiddelen;2023 april;16.0;13744;2.19;1.61
335;011000 Voedingsmiddelen;2023 mei;15.2;13744;2.12;1.35
336;011000 Voedingsmiddelen;2023 juni;13.2;13744;1.86;1.09
337;011000 Voedingsmiddelen;2023 juli;11.7;13744;1.63;1.03
338;011000 Voedingsmiddelen;2023 augustus;9.7;13744;1.34;1.03
339;011000 Voedingsmiddelen;2023 september;9.4;13744;1.26;1.54
340;011000 Voedingsmiddelen;2023 oktober;7.9;13744;1.06;1.43
341;011000 Voedingsmiddelen;2023 november;6.3;13744;0.88;0.79
342;011000 Voedingsmiddelen;2023 december;4.1;13744;0.56;0.49
343;011000 Voedingsmiddelen;2023;12.1;13744;1.71;1.29
344;011000 Voedingsmiddelen;2024 januari;2.1;13308;0.3;-0.16
345;011000 Voedingsmiddelen;2024 februari;0.3;13308;0.05;-0.38
346;011000 Voedingsmiddelen;2024 maart;0.3;13308;0.04;-0.46
347;011000 Voedingsmiddelen;2024 april;0.5;13308;0.06;-0.32
348;011000 Voedingsmiddelen;2024 mei;0.4;13308;0.04;-0.36
349;011000 Voedingsmiddelen;2024 juni;0.4;13308;0.05;-0.47
350;011000 Voedingsmiddelen;2024 juli;0.6;13308;0.08;-0.43
351;011000 Voedingsmiddelen;2024 augustus;1.1;13308;0.13;-0.33
352;011000 Voedingsmiddelen;2024 september;1.6;13308;0.21;-0.24
353;011000 Voedingsmiddelen;2024 oktober;1.5;13308;0.2;-0.25
354;011000 Voedingsmiddelen;2024 november;1.8;13308;0.24;-0.31
355;011000 Voedingsmiddelen;2024 december;2.2;13308;0.3;-0.26
356;011000 Voedingsmiddelen;2024;1.1;13308;0.14;-0.33
357;011000 Voedingsmiddelen;2025 januari;3.1;13394;0.41;0.02
358;011000 Voedingsmiddelen;2025 februari;3.8;13394;0.51;0.05
359;011000 Voedingsmiddelen;2025 maart;3.5;13394;0.46;0.02
360;011100 Brood en granen;2016 januari;0.4;3069;0.01;0.01
361;011100 Brood en granen;2016 februari;0.1;3069;0.0;-0.01
362;011100 Brood en granen;2016 maart;0.2;3069;0.01;-0.01
363;011100 Brood en granen;2016 april;-0.1;3069;0.0;0.0
364;011100 Brood en granen;2016 mei;-0.6;3069;-0.02;-0.01
365;011100 Brood en granen;2016 juni;0.4;3069;0.01;0.02
366;011100 Brood en granen;2016 juli;-0.2;3069;-0.01;0.01
367;011100 Brood en granen;2016 augustus;-0.4;3069;-0.01;-0.02
368;011100 Brood en granen;2016 september;-0.9;3069;-0.03;-0.02
369;011100 Brood en granen;2016 oktober;-0.3;3069;-0.01;-0.02
370;011100 Brood en granen;2016 november;-0.6;3069;-0.02;-0.03
371;011100 Brood en granen;2016 december;0.7;3069;0.02;0.0
372;011100 Brood en granen;2016;-0.1;3069;0.0;-0.01
373;011100 Brood en granen;2017 januari;-0.1;3029;0.0;-0.06
