ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverChange_2
171;451 Sale and repair of motor vehicles;2011 2nd quarter;102.2;9.9
172;451 Sale and repair of motor vehicles;2011 3rd quarter;92.6;4.8
173;451 Sale and repair of motor vehicles;2011 4th quarter;92.8;0.4
174;451 Sale and repair of motor vehicles;2011;98.5;7.0
175;451 Sale and repair of motor vehicles;2012 1st quarter;101.1;-5.0
176;451 Sale and repair of motor vehicles;2012 2nd quarter;107.5;5.2
177;451 Sale and repair of motor vehicles;2012 3rd quarter;81.1;-12.4
178;451 Sale and repair of motor vehicles;2012 4th quarter;84.6;-8.8
179;451 Sale and repair of motor vehicles;2012;93.6;-5.0
180;45111 Import of new passenger cars;1995 1st quarter;67.6;
181;45111 Import of new passenger cars;1995 2nd quarter;68.3;
182;45111 Import of new passenger cars;1995 3rd quarter;52.2;
183;45111 Import of new passenger cars;1995 4th quarter;60.0;
184;45111 Import of new passenger cars;1995;62.0;
185;45111 Import of new passenger cars;1996 1st quarter;71.1;5.2
186;45111 Import of new passenger cars;1996 2nd quarter;77.3;13.2
187;45111 Import of new passenger cars;1996 3rd quarter;57.9;11.1
188;45111 Import of new passenger cars;1996 4th quarter;66.5;10.7
189;45111 Import of new passenger cars;1996;68.2;10.0
190;45111 Import of new passenger cars;1997 1st quarter;78.8;10.9
191;45111 Import of new passenger cars;1997 2nd quarter;77.6;0.3
192;45111 Import of new passenger cars;1997 3rd quarter;66.9;15.4
193;45111 Import of new passenger cars;1997 4th quarter;70.5;6.0
194;45111 Import of new passenger cars;1997;73.4;7.7
195;45111 Import of new passenger cars;1998 1st quarter;89.5;13.6
196;45111 Import of new passenger cars;1998 2nd quarter;90.9;17.2
197;45111 Import of new passenger cars;1998 3rd quarter;77.3;15.7
198;45111 Import of new passenger cars;1998 4th quarter;88.1;25.0
199;45111 Import of new passenger cars;1998;86.5;17.8
200;45111 Import of new passenger cars;1999 1st quarter;112.3;25.4
201;45111 Import of new passenger cars;1999 2nd quarter;106.7;17.3
202;45111 Import of new passenger cars;1999 3rd quarter;90.6;17.2
203;45111 Import of new passenger cars;1999 4th quarter;92.2;4.6
204;45111 Import of new passenger cars;1999;100.4;16.1
205;45111 Import of new passenger cars;2000 1st quarter;112.6;0.3
206;45111 Import of new passenger cars;2000 2nd quarter;108.1;1.3
207;45111 Import of new passenger cars;2000 3rd quarter;89.4;-1.3
208;45111 Import of new passenger cars;2000 4th quarter;96.0;4.2
209;45111 Import of new passenger cars;2000;101.5;1.1
210;45111 Import of new passenger cars;2001 1st quarter;109.2;-3.0
211;45111 Import of new passenger cars;2001 2nd quarter;106.5;-1.4
212;45111 Import of new passenger cars;2001 3rd quarter;92.8;3.7
213;45111 Import of new passenger cars;2001 4th quarter;95.6;-0.4
214;45111 Import of new passenger cars;2001;101.0;-0.5
215;45111 Import of new passenger cars;2002 1st quarter;105.3;-3.6
216;45111 Import of new passenger cars;2002 2nd quarter;107.4;0.8
217;45111 Import of new passenger cars;2002 3rd quarter;94.4;1.8
218;45111 Import of new passenger cars;2002 4th quarter;102.6;7.3
219;45111 Import of new passenger cars;2002;102.4;1.4
220;45111 Import of new passenger cars;2003 1st quarter;102.4;-2.8
221;45111 Import of new passenger cars;2003 2nd quarter;105.7;-1.6
222;45111 Import of new passenger cars;2003 3rd quarter;92.1;-2.5
223;45111 Import of new passenger cars;2003 4th quarter;99.9;-2.7
224;45111 Import of new passenger cars;2003;100.0;-2.4
225;45111 Import of new passenger cars;2004 1st quarter;99.1;-3.2
226;45111 Import of new passenger cars;2004 2nd quarter;101.8;-3.7
227;45111 Import of new passenger cars;2004 3rd quarter;89.3;-3.0
228;45111 Import of new passenger cars;2004 4th quarter;107.2;7.4
229;45111 Import of new passenger cars;2004;99.4;-0.6
230;45111 Import of new passenger cars;2005 1st quarter;94.7;-4.4
231;45111 Import of new passenger cars;2005 2nd quarter;107.1;5.2
232;45111 Import of new passenger cars;2005 3rd quarter;91.9;2.9
233;45111 Import of new passenger cars;2005 4th quarter;106.3;-0.9
234;45111 Import of new passenger cars;2005;100.0;0.6
235;45111 Import of new passenger cars;2006 1st quarter;103.5;9.3
236;45111 Import of new passenger cars;2006 2nd quarter;113.4;5.8
237;45111 Import of new passenger cars;2006 3rd quarter;96.4;4.9
238;45111 Import of new passenger cars;2006 4th quarter;109.3;2.9
239;45111 Import of new passenger cars;2006;105.7;5.7
240;45111 Import of new passenger cars;2007 1st quarter;108.2;4.5
241;45111 Import of new passenger cars;2007 2nd quarter;116.6;2.8
242;45111 Import of new passenger cars;2007 3rd quarter;100.8;4.5
243;45111 Import of new passenger cars;2007 4th quarter;111.7;2.2
244;45111 Import of new passenger cars;2007;109.3;3.4
245;45111 Import of new passenger cars;2008 1st quarter;111.8;3.3
246;45111 Import of new passenger cars;2008 2nd quarter;109.0;-6.5
247;45111 Import of new passenger cars;2008 3rd quarter;94.7;-6.0
248;45111 Import of new passenger cars;2008 4th quarter;86.5;-22.6
249;45111 Import of new passenger cars;2008;100.5;-8.1
250;45111 Import of new passenger cars;2009 1st quarter;76.4;-31.6
251;45111 Import of new passenger cars;2009 2nd quarter;73.0;-33.0
252;45111 Import of new passenger cars;2009 3rd quarter;68.8;-27.3
253;45111 Import of new passenger cars;2009 4th quarter;75.6;-12.5
254;45111 Import of new passenger cars;2009;73.5;-26.9
255;45111 Import of new passenger cars;2010 1st quarter;82.3;7.7
256;45111 Import of new passenger cars;2010 2nd quarter;87.5;19.9
257;45111 Import of new passenger cars;2010 3rd quarter;84.6;22.9
258;45111 Import of new passenger cars;2010 4th quarter;96.3;27.3
259;45111 Import of new passenger cars;2010;87.7;19.4
260;45111 Import of new passenger cars;2011 1st quarter;101.8;23.7
261;45111 Import of new passenger cars;2011 2nd quarter;101.5;16.0
262;45111 Import of new passenger cars;2011 3rd quarter;90.7;7.2
263;45111 Import of new passenger cars;2011 4th quarter;101.2;5.1
264;45111 Import of new passenger cars;2011;98.8;12.7
265;45111 Import of new passenger cars;2012 1st quarter;101.9;0.1
266;45111 Import of new passenger cars;2012 2nd quarter;126.6;24.7
267;45111 Import of new passenger cars;2012 3rd quarter;75.9;-16.3
268;45111 Import of new passenger cars;2012 4th quarter;92.7;-8.4
269;45111 Import of new passenger cars;2012;99.3;0.5
270;45112 Sale of passenger cars, no import;1995 1st quarter;80.1;
271;45112 Sale of passenger cars, no import;1995 2nd quarter;77.7;
272;45112 Sale of passenger cars, no import;1995 3rd quarter;64.2;
273;45112 Sale of passenger cars, no import;1995 4th quarter;63.5;
274;45112 Sale of passenger cars, no import;1995;71.4;
275;45112 Sale of passenger cars, no import;1996 1st quarter;78.9;-1.4
276;45112 Sale of passenger cars, no import;1996 2nd quarter;79.8;2.7
277;45112 Sale of passenger cars, no import;1996 3rd quarter;74.1;15.5
278;45112 Sale of passenger cars, no import;1996 4th quarter;69.7;9.8
279;45112 Sale of passenger cars, no import;1996;75.6;6.0
280;45112 Sale of passenger cars, no import;1997 1st quarter;87.0;10.2
281;45112 Sale of passenger cars, no import;1997 2nd quarter;84.1;5.4
282;45112 Sale of passenger cars, no import;1997 3rd quarter;74.9;1.1
283;45112 Sale of passenger cars, no import;1997 4th quarter;72.3;3.7
284;45112 Sale of passenger cars, no import;1997;79.6;5.2
285;45112 Sale of passenger cars, no import;1998 1st quarter;93.7;7.7
286;45112 Sale of passenger cars, no import;1998 2nd quarter;91.5;8.7
287;45112 Sale of passenger cars, no import;1998 3rd quarter;85.7;14.4
288;45112 Sale of passenger cars, no import;1998 4th quarter;81.1;12.2
289;45112 Sale of passenger cars, no import;1998;88.0;10.6
290;45112 Sale of passenger cars, no import;1999 1st quarter;106.7;13.9
291;45112 Sale of passenger cars, no import;1999 2nd quarter;102.7;12.3
292;45112 Sale of passenger cars, no import;1999 3rd quarter;94.6;10.4
293;45112 Sale of passenger cars, no import;1999 4th quarter;87.4;7.8
294;45112 Sale of passenger cars, no import;1999;97.9;11.2
295;45112 Sale of passenger cars, no import;2000 1st quarter;113.5;6.4
296;45112 Sale of passenger cars, no import;2000 2nd quarter;106.1;3.3
297;45112 Sale of passenger cars, no import;2000 3rd quarter;95.4;0.9
298;45112 Sale of passenger cars, no import;2000 4th quarter;92.1;5.3
299;45112 Sale of passenger cars, no import;2000;101.8;4.0
300;45112 Sale of passenger cars, no import;2001 1st quarter;110.9;-2.3
301;45112 Sale of passenger cars, no import;2001 2nd quarter;110.3;4.0
302;45112 Sale of passenger cars, no import;2001 3rd quarter;99.9;4.7
303;45112 Sale of passenger cars, no import;2001 4th quarter;91.6;-0.6
304;45112 Sale of passenger cars, no import;2001;103.2;1.4
305;45112 Sale of passenger cars, no import;2002 1st quarter;115.1;3.7
306;45112 Sale of passenger cars, no import;2002 2nd quarter;112.4;1.9
307;45112 Sale of passenger cars, no import;2002 3rd quarter;101.9;2.0
308;45112 Sale of passenger cars, no import;2002 4th quarter;98.9;8.1
309;45112 Sale of passenger cars, no import;2002;107.1;3.8
310;45112 Sale of passenger cars, no import;2003 1st quarter;114.2;-0.7
311;45112 Sale of passenger cars, no import;2003 2nd quarter;107.9;-4.0
312;45112 Sale of passenger cars, no import;2003 3rd quarter;97.6;-4.2
313;45112 Sale of passenger cars, no import;2003 4th quarter;90.3;-8.7
314;45112 Sale of passenger cars, no import;2003;102.5;-4.3
315;45112 Sale of passenger cars, no import;2004 1st quarter;112.7;-1.3
316;45112 Sale of passenger cars, no import;2004 2nd quarter;105.2;-2.5
317;45112 Sale of passenger cars, no import;2004 3rd quarter;95.9;-1.8
318;45112 Sale of passenger cars, no import;2004 4th quarter;93.3;3.4
319;45112 Sale of passenger cars, no import;2004;101.8;-0.7
320;45112 Sale of passenger cars, no import;2005 1st quarter;108.9;-3.3
321;45112 Sale of passenger cars, no import;2005 2nd quarter;103.6;-1.5
322;45112 Sale of passenger cars, no import;2005 3rd quarter;95.3;-0.6
323;45112 Sale of passenger cars, no import;2005 4th quarter;92.2;-1.2
324;45112 Sale of passenger cars, no import;2005;100.0;-1.8
325;45112 Sale of passenger cars, no import;2006 1st quarter;115.3;5.8
326;45112 Sale of passenger cars, no import;2006 2nd quarter;105.5;1.8
327;45112 Sale of passenger cars, no import;2006 3rd quarter;97.7;2.5
328;45112 Sale of passenger cars, no import;2006 4th quarter;95.1;3.1
329;45112 Sale of passenger cars, no import;2006;103.4;3.4
330;45112 Sale of passenger cars, no import;2007 1st quarter;117.7;2.1
331;45112 Sale of passenger cars, no import;2007 2nd quarter;109.3;3.6
332;45112 Sale of passenger cars, no import;2007 3rd quarter;103.2;5.7
333;45112 Sale of passenger cars, no import;2007 4th quarter;97.1;2.1
334;45112 Sale of passenger cars, no import;2007;106.8;3.3
335;45112 Sale of passenger cars, no import;2008 1st quarter;116.8;-0.7
336;45112 Sale of passenger cars, no import;2008 2nd quarter;105.8;-3.3
337;45112 Sale of passenger cars, no import;2008 3rd quarter;97.6;-5.4
338;45112 Sale of passenger cars, no import;2008 4th quarter;86.7;-10.7
339;45112 Sale of passenger cars, no import;2008;101.7;-4.8
340;45112 Sale of passenger cars, no import;2009 1st quarter;100.3;-14.1
341;45112 Sale of passenger cars, no import;2009 2nd quarter;90.1;-14.8
342;45112 Sale of passenger cars, no import;2009 3rd quarter;82.8;-15.5
343;45112 Sale of passenger cars, no import;2009 4th quarter;80.1;-7.7
344;45112 Sale of passenger cars, no import;2009;88.3;-13.2
345;45112 Sale of passenger cars, no import;2010 1st quarter;99.8;-0.5
346;45112 Sale of passenger cars, no import;2010 2nd quarter;95.2;5.6
347;45112 Sale of passenger cars, no import;2010 3rd quarter;89.9;8.6
348;45112 Sale of passenger cars, no import;2010 4th quarter;89.7;12.1
349;45112 Sale of passenger cars, no import;2010;93.7;6.0
350;45112 Sale of passenger cars, no import;2011 1st quarter;108.0;8.1
351;45112 Sale of passenger cars, no import;2011 2nd quarter;100.4;5.5
352;45112 Sale of passenger cars, no import;2011 3rd quarter;90.7;0.8
353;45112 Sale of passenger cars, no import;2011 4th quarter;86.6;-3.5
354;45112 Sale of passenger cars, no import;2011;96.4;2.9
355;45112 Sale of passenger cars, no import;2012 1st quarter;101.2;-6.3
356;45112 Sale of passenger cars, no import;2012 2nd quarter;100.9;0.5
357;45112 Sale of passenger cars, no import;2012 3rd quarter;82.2;-9.3
358;45112 Sale of passenger cars, no import;2012 4th quarter;79.4;-8.3
359;45112 Sale of passenger cars, no import;2012;90.9;-5.7
360;4519 Sale and repair of trucks, trailers;1995 1st quarter;;
361;4519 Sale and repair of trucks, trailers;1995 2nd quarter;;
362;4519 Sale and repair of trucks, trailers;1995 3rd quarter;;
363;4519 Sale and repair of trucks, trailers;1995 4th quarter;;
364;4519 Sale and repair of trucks, trailers;1995;;
365;4519 Sale and repair of trucks, trailers;1996 1st quarter;;
366;4519 Sale and repair of trucks, trailers;1996 2nd quarter;;
367;4519 Sale and repair of trucks, trailers;1996 3rd quarter;;
368;4519 Sale and repair of trucks, trailers;1996 4th quarter;;
369;4519 Sale and repair of trucks, trailers;1996;;
370;4519 Sale and repair of trucks, trailers;1997 1st quarter;;
371;4519 Sale and repair of trucks, trailers;1997 2nd quarter;;
372;4519 Sale and repair of trucks, trailers;1997 3rd quarter;;
373;4519 Sale and repair of trucks, trailers;1997 4th quarter;;
374;4519 Sale and repair of trucks, trailers;1997;;
375;4519 Sale and repair of trucks, trailers;1998 1st quarter;;
376;4519 Sale and repair of trucks, trailers;1998 2nd quarter;;
377;4519 Sale and repair of trucks, trailers;1998 3rd quarter;;
378;4519 Sale and repair of trucks, trailers;1998 4th quarter;;
379;4519 Sale and repair of trucks, trailers;1998;;
380;4519 Sale and repair of trucks, trailers;1999 1st quarter;;
381;4519 Sale and repair of trucks, trailers;1999 2nd quarter;;
382;4519 Sale and repair of trucks, trailers;1999 3rd quarter;;
383;4519 Sale and repair of trucks, trailers;1999 4th quarter;;
384;4519 Sale and repair of trucks, trailers;1999;;
385;4519 Sale and repair of trucks, trailers;2000 1st quarter;;
386;4519 Sale and repair of trucks, trailers;2000 2nd quarter;;
387;4519 Sale and repair of trucks, trailers;2000 3rd quarter;;
388;4519 Sale and repair of trucks, trailers;2000 4th quarter;;
389;4519 Sale and repair of trucks, trailers;2000;;
390;4519 Sale and repair of trucks, trailers;2001 1st quarter;;
391;4519 Sale and repair of trucks, trailers;2001 2nd quarter;;
392;4519 Sale and repair of trucks, trailers;2001 3rd quarter;;
393;4519 Sale and repair of trucks, trailers;2001 4th quarter;;
394;4519 Sale and repair of trucks, trailers;2001;;
395;4519 Sale and repair of trucks, trailers;2002 1st quarter;;
396;4519 Sale and repair of trucks, trailers;2002 2nd quarter;;
397;4519 Sale and repair of trucks, trailers;2002 3rd quarter;;
398;4519 Sale and repair of trucks, trailers;2002 4th quarter;;
399;4519 Sale and repair of trucks, trailers;2002;;
400;4519 Sale and repair of trucks, trailers;2003 1st quarter;99.5;
401;4519 Sale and repair of trucks, trailers;2003 2nd quarter;97.5;
402;4519 Sale and repair of trucks, trailers;2003 3rd quarter;91.1;
403;4519 Sale and repair of trucks, trailers;2003 4th quarter;94.9;
404;4519 Sale and repair of trucks, trailers;2003;95.8;
405;4519 Sale and repair of trucks, trailers;2004 1st quarter;101.3;1.7
406;4519 Sale and repair of trucks, trailers;2004 2nd quarter;98.9;1.4
407;4519 Sale and repair of trucks, trailers;2004 3rd quarter;91.6;0.5
408;4519 Sale and repair of trucks, trailers;2004 4th quarter;94.6;-0.3
409;4519 Sale and repair of trucks, trailers;2004;96.6;0.8
410;4519 Sale and repair of trucks, trailers;2005 1st quarter;101.5;0.2
411;4519 Sale and repair of trucks, trailers;2005 2nd quarter;100.5;1.6
412;4519 Sale and repair of trucks, trailers;2005 3rd quarter;91.2;-0.4
413;4519 Sale and repair of trucks, trailers;2005 4th quarter;106.8;12.9
414;4519 Sale and repair of trucks, trailers;2005;100.0;3.5
415;4519 Sale and repair of trucks, trailers;2006 1st quarter;125.3;23.5
416;4519 Sale and repair of trucks, trailers;2006 2nd quarter;111.0;10.5
417;4519 Sale and repair of trucks, trailers;2006 3rd quarter;105.2;15.3
418;4519 Sale and repair of trucks, trailers;2006 4th quarter;125.9;17.8
419;4519 Sale and repair of trucks, trailers;2006;116.8;16.8
420;4519 Sale and repair of trucks, trailers;2007 1st quarter;123.8;-1.2
421;4519 Sale and repair of trucks, trailers;2007 2nd quarter;125.6;13.1
422;4519 Sale and repair of trucks, trailers;2007 3rd quarter;118.1;12.3
423;4519 Sale and repair of trucks, trailers;2007 4th quarter;142.4;13.1
424;4519 Sale and repair of trucks, trailers;2007;127.5;9.1
425;4519 Sale and repair of trucks, trailers;2008 1st quarter;138.1;11.6
426;4519 Sale and repair of trucks, trailers;2008 2nd quarter;127.5;1.6
427;4519 Sale and repair of trucks, trailers;2008 3rd quarter;114.4;-3.2
428;4519 Sale and repair of trucks, trailers;2008 4th quarter;130.7;-8.2
429;4519 Sale and repair of trucks, trailers;2008;127.7;0.2
