ID;RegioS;VervoerwijzenEnMotieven;Perioden;AantalInwonersOp1Januari_1;Respondenten_2;VerplaatsingenPerPersoonPerDag_3;AfgelegdeAfstandPerPersoonPerDag_4;ReisduurPerPersoonPerDag_5
60;Nederland;8;1999/2000;;;0.58;0.59;7.22
61;Nederland;8;2000/2001;;;0.58;0.59;7.19
62;Nederland;8;2001/2002;;;0.57;0.59;7.07
63;Nederland;8;2002/2003;;;0.57;0.57;7.0
64;Nederland;9;1995/1996;;;0.04;0.91;1.51
65;Nederland;9;1996/1997;;;0.04;0.97;1.6
66;Nederland;9;1997/1998;;;0.04;0.98;1.61
67;Nederland;9;1998/1999;;;0.04;0.9;1.47
68;Nederland;9;1999/2000;;;0.04;0.85;1.44
69;Nederland;9;2000/2001;;;0.04;0.86;1.51
70;Nederland;9;2001/2002;;;0.05;0.84;1.51
71;Nederland;9;2002/2003;;;0.05;0.86;1.51
72;Nederland;Van en naar het werk;1995/1996;;;0.49;7.11;11.42
73;Nederland;Van en naar het werk;1996/1997;;;0.5;7.35;11.74
74;Nederland;Van en naar het werk;1997/1998;;;0.51;7.63;12.16
75;Nederland;Van en naar het werk;1998/1999;;;0.51;7.9;12.55
76;Nederland;Van en naar het werk;1999/2000;;;0.51;8.03;12.71
77;Nederland;Van en naar het werk;2000/2001;;;0.51;8.04;12.67
78;Nederland;Van en naar het werk;2001/2002;;;0.51;8.0;12.53
79;Nederland;Van en naar het werk;2002/2003;;;0.5;7.84;12.36
80;Nederland;Zakelijk bezoek in werksfeer;1995/1996;;;0.11;3.21;4.2
81;Nederland;Zakelijk bezoek in werksfeer;1996/1997;;;0.11;3.21;4.21
82;Nederland;Zakelijk bezoek in werksfeer;1997/1998;;;0.11;3.19;4.15
83;Nederland;Zakelijk bezoek in werksfeer;1998/1999;;;0.11;3.13;4.05
84;Nederland;Zakelijk bezoek in werksfeer;1999/2000;;;0.11;3.08;3.97
85;Nederland;Zakelijk bezoek in werksfeer;2000/2001;;;0.1;3.01;3.93
86;Nederland;Zakelijk bezoek in werksfeer;2001/2002;;;0.1;3.0;3.91
87;Nederland;Zakelijk bezoek in werksfeer;2002/2003;;;0.1;2.97;3.78
88;Nederland;Diensten/ persoonlijke verzorging;1995/1996;;;;;
89;Nederland;Diensten/ persoonlijke verzorging;1996/1997;;;;;
90;Nederland;Diensten/ persoonlijke verzorging;1997/1998;;;;;
91;Nederland;Diensten/ persoonlijke verzorging;1998/1999;;;;;
92;Nederland;Diensten/ persoonlijke verzorging;1999/2000;;;0.14;1.0;2.13
93;Nederland;Diensten/ persoonlijke verzorging;2000/2001;;;0.14;0.97;2.04
94;Nederland;Diensten/ persoonlijke verzorging;2001/2002;;;0.14;0.97;2.05
95;Nederland;Diensten/ persoonlijke verzorging;2002/2003;;;0.15;1.04;2.17
96;Nederland;Winkelen, boodschappen doen;1995/1996;;;0.68;3.12;8.86
97;Nederland;Winkelen, boodschappen doen;1996/1997;;;0.68;3.19;8.87
98;Nederland;Winkelen, boodschappen doen;1997/1998;;;0.68;3.26;8.95
99;Nederland;Winkelen, boodschappen doen;1998/1999;;;0.67;3.17;8.69
100;Nederland;Winkelen, boodschappen doen;1999/2000;;;0.65;3.01;8.28
101;Nederland;Winkelen, boodschappen doen;2000/2001;;;0.64;2.98;8.09
102;Nederland;Winkelen, boodschappen doen;2001/2002;;;0.65;3.04;8.11
103;Nederland;Winkelen, boodschappen doen;2002/2003;;;0.65;3.08;8.12
104;Nederland;Onderwijs, cursus volgen;1995/1996;;;0.29;1.65;4.94
105;Nederland;Onderwijs, cursus volgen;1996/1997;;;0.28;1.66;4.92
106;Nederland;Onderwijs, cursus volgen;1997/1998;;;0.28;1.66;4.88
107;Nederland;Onderwijs, cursus volgen;1998/1999;;;0.28;1.77;4.93
108;Nederland;Onderwijs, cursus volgen;1999/2000;;;0.28;1.89;5.04
109;Nederland;Onderwijs, cursus volgen;2000/2001;;;0.28;1.89;4.96
110;Nederland;Onderwijs, cursus volgen;2001/2002;;;0.27;1.89;4.89
111;Nederland;Onderwijs, cursus volgen;2002/2003;;;0.27;1.86;4.82
112;Nederland;Visite, logeren;1995/1996;;;0.49;7.13;10.65
113;Nederland;Visite, logeren;1996/1997;;;0.48;7.11;10.58
114;Nederland;Visite, logeren;1997/1998;;;0.48;7.11;10.51
115;Nederland;Visite, logeren;1998/1999;;;0.47;6.99;10.31
116;Nederland;Visite, logeren;1999/2000;;;0.46;6.92;10.1
117;Nederland;Visite, logeren;2000/2001;;;0.46;6.99;10.12
118;Nederland;Visite, logeren;2001/2002;;;0.84;10.51;16.78
119;Nederland;Visite, logeren;2002/2003;;;0.48;7.33;10.45
120;Nederland;Toeren, wandelen;1995/1996;;;;;
121;Nederland;Toeren, wandelen;1996/1997;;;;;
122;Nederland;Toeren, wandelen;1997/1998;;;;;
123;Nederland;Toeren, wandelen;1998/1999;;;;;
124;Nederland;Toeren, wandelen;1999/2000;;;0.22;1.98;6.62
125;Nederland;Toeren, wandelen;2000/2001;;;0.22;1.84;6.49
126;Nederland;Toeren, wandelen;2001/2002;;;0.0;0.0;0.0
127;Nederland;Toeren, wandelen;2002/2003;;;0.22;1.94;6.71
128;Nederland;Sociaal recreatief overig;1995/1996;;;;;
129;Nederland;Sociaal recreatief overig;1996/1997;;;;;
130;Nederland;Sociaal recreatief overig;1997/1998;;;;;
131;Nederland;Sociaal recreatief overig;1998/1999;;;;;
132;Nederland;Sociaal recreatief overig;1999/2000;;;0.39;3.45;6.84
133;Nederland;Sociaal recreatief overig;2000/2001;;;0.38;3.37;6.64
134;Nederland;Sociaal recreatief overig;2001/2002;;;0.22;1.83;6.47
135;Nederland;Sociaal recreatief overig;2002/2003;;;0.37;3.32;6.4
136;Nederland;Recreatief;1995/1996;;;0.65;5.45;14.19
137;Nederland;Recreatief;1996/1997;;;0.65;5.58;14.42
138;Nederland;Recreatief;1997/1998;;;0.65;5.67;14.59
139;Nederland;Recreatief;1998/1999;;;0.63;5.55;13.93
140;Nederland;Recreatief;1999/2000;;;0.61;5.43;13.47
141;Nederland;Recreatief;2000/2001;;;0.6;5.21;13.13
142;Nederland;Recreatief;2001/2002;;;0.22;1.83;6.47
143;Nederland;Recreatief;2002/2003;;;0.6;5.26;13.11
144;Nederland;Overige motieven;1995/1996;;;0.45;3.68;7.16
145;Nederland;Overige motieven;1996/1997;;;0.46;3.75;7.25
146;Nederland;Overige motieven;1997/1998;;;0.45;3.72;7.16
147;Nederland;Overige motieven;1998/1999;;;0.48;3.74;7.35
148;Nederland;Overige motieven;1999/2000;;;0.36;2.86;5.49
149;Nederland;Overige motieven;2000/2001;;;0.35;2.77;5.32
150;Nederland;Overige motieven;2001/2002;;;0.33;2.55;4.92
151;Nederland;Overige motieven;2002/2003;;;0.33;2.5;4.83
152;Landsdeel Noord-Nederland;1;1995/1996;1627457.0;36160.0;3.07;33.34;60.49
153;Landsdeel Noord-Nederland;1;1996/1997;1633986.0;33402.0;3.07;33.14;60.47
154;Landsdeel Noord-Nederland;1;1997/1998;1640804.0;31485.0;3.06;33.13;59.7
155;Landsdeel Noord-Nederland;1;1998/1999;1648303.0;30869.0;3.06;33.02;58.59
156;Landsdeel Noord-Nederland;1;1999/2000;1656952.0;31895.0;3.09;32.82;57.64
157;Landsdeel Noord-Nederland;1;2000/2001;1671534.0;30526.0;3.04;33.09;56.97
158;Landsdeel Noord-Nederland;1;2001/2002;1685463.0;25038.0;3.02;33.22;56.91
159;Landsdeel Noord-Nederland;1;2002/2003;1694038.0;19335.0;3.05;33.51;57.16
160;Landsdeel Noord-Nederland;2;1995/1996;;;0.91;15.51;19.98
161;Landsdeel Noord-Nederland;2;1996/1997;;;0.92;15.37;19.96
162;Landsdeel Noord-Nederland;2;1997/1998;;;0.95;15.55;20.21
163;Landsdeel Noord-Nederland;2;1998/1999;;;0.97;16.0;20.45
164;Landsdeel Noord-Nederland;2;1999/2000;;;1.0;16.25;20.47
165;Landsdeel Noord-Nederland;2;2000/2001;;;0.99;16.64;20.66
166;Landsdeel Noord-Nederland;2;2001/2002;;;0.97;16.87;20.62
167;Landsdeel Noord-Nederland;2;2002/2003;;;0.99;16.99;20.68
168;Landsdeel Noord-Nederland;3;1995/1996;;;0.5;9.8;11.85
169;Landsdeel Noord-Nederland;3;1996/1997;;;0.5;9.72;11.99
170;Landsdeel Noord-Nederland;3;1997/1998;;;0.52;9.71;11.96
171;Landsdeel Noord-Nederland;3;1998/1999;;;0.52;9.43;11.57
172;Landsdeel Noord-Nederland;3;1999/2000;;;0.51;9.1;11.07
173;Landsdeel Noord-Nederland;3;2000/2001;;;0.5;9.0;10.89
174;Landsdeel Noord-Nederland;3;2001/2002;;;0.5;9.05;10.92
175;Landsdeel Noord-Nederland;3;2002/2003;;;0.51;9.16;11.03
176;Landsdeel Noord-Nederland;4;1995/1996;;;0.03;2.14;3.12
177;Landsdeel Noord-Nederland;4;1996/1997;;;0.03;2.11;3.05
178;Landsdeel Noord-Nederland;4;1997/1998;;;0.03;2.24;3.13
179;Landsdeel Noord-Nederland;4;1998/1999;;;0.03;2.19;3.05
180;Landsdeel Noord-Nederland;4;1999/2000;;;0.03;2.09;2.74
181;Landsdeel Noord-Nederland;4;2000/2001;;;0.03;2.29;3.02
182;Landsdeel Noord-Nederland;4;2001/2002;;;0.03;2.31;3.23
183;Landsdeel Noord-Nederland;4;2002/2003;;;0.03;2.31;3.23
184;Landsdeel Noord-Nederland;5;1995/1996;;;0.08;1.49;3.52
185;Landsdeel Noord-Nederland;5;1996/1997;;;0.07;1.42;3.28
186;Landsdeel Noord-Nederland;5;1997/1998;;;0.07;1.32;3.05
187;Landsdeel Noord-Nederland;5;1998/1999;;;0.06;1.21;2.76
188;Landsdeel Noord-Nederland;5;1999/2000;;;0.05;1.11;2.31
189;Landsdeel Noord-Nederland;5;2000/2001;;;0.05;1.11;2.27
190;Landsdeel Noord-Nederland;5;2001/2002;;;0.05;1.1;2.42
191;Landsdeel Noord-Nederland;5;2002/2003;;;0.05;1.04;2.26
192;Landsdeel Noord-Nederland;6;1995/1996;;;0.02;0.15;0.38
193;Landsdeel Noord-Nederland;6;1996/1997;;;0.02;0.14;0.33
194;Landsdeel Noord-Nederland;6;1997/1998;;;0.02;0.13;0.29
195;Landsdeel Noord-Nederland;6;1998/1999;;;0.02;0.14;0.33
196;Landsdeel Noord-Nederland;6;1999/2000;;;0.02;0.16;0.4
197;Landsdeel Noord-Nederland;6;2000/2001;;;0.02;0.13;0.32
198;Landsdeel Noord-Nederland;6;2001/2002;;;0.02;0.11;0.27
199;Landsdeel Noord-Nederland;6;2002/2003;;;0.02;0.12;0.31
200;Landsdeel Noord-Nederland;7;1995/1996;;;0.92;2.74;12.8
201;Landsdeel Noord-Nederland;7;1996/1997;;;0.92;2.74;12.87
202;Landsdeel Noord-Nederland;7;1997/1998;;;0.91;2.69;12.62
203;Landsdeel Noord-Nederland;7;1998/1999;;;0.92;2.64;12.65
204;Landsdeel Noord-Nederland;7;1999/2000;;;0.94;2.65;12.77
205;Landsdeel Noord-Nederland;7;2000/2001;;;0.89;2.54;11.89
206;Landsdeel Noord-Nederland;7;2001/2002;;;0.9;2.58;11.94
207;Landsdeel Noord-Nederland;7;2002/2003;;;0.92;2.64;12.42
208;Landsdeel Noord-Nederland;8;1995/1996;;;0.57;0.58;7.37
209;Landsdeel Noord-Nederland;8;1996/1997;;;0.56;0.56;7.21
210;Landsdeel Noord-Nederland;8;1997/1998;;;0.52;0.52;6.7
211;Landsdeel Noord-Nederland;8;1998/1999;;;0.49;0.49;6.22
212;Landsdeel Noord-Nederland;8;1999/2000;;;0.49;0.49;6.36
213;Landsdeel Noord-Nederland;8;2000/2001;;;0.51;0.51;6.38
214;Landsdeel Noord-Nederland;8;2001/2002;;;0.51;0.51;6.19
215;Landsdeel Noord-Nederland;8;2002/2003;;;0.49;0.48;6.02
216;Landsdeel Noord-Nederland;9;1995/1996;;;0.04;0.95;1.47
217;Landsdeel Noord-Nederland;9;1996/1997;;;0.04;1.09;1.79
218;Landsdeel Noord-Nederland;9;1997/1998;;;0.04;0.97;1.74
219;Landsdeel Noord-Nederland;9;1998/1999;;;0.04;0.93;1.56
220;Landsdeel Noord-Nederland;9;1999/2000;;;0.04;0.97;1.52
221;Landsdeel Noord-Nederland;9;2000/2001;;;0.05;0.86;1.53
222;Landsdeel Noord-Nederland;9;2001/2002;;;0.05;0.7;1.32
223;Landsdeel Noord-Nederland;9;2002/2003;;;0.04;0.75;1.21
224;Landsdeel Noord-Nederland;Van en naar het werk;1995/1996;;;0.46;6.4;9.57
225;Landsdeel Noord-Nederland;Van en naar het werk;1996/1997;;;0.47;6.6;9.81
226;Landsdeel Noord-Nederland;Van en naar het werk;1997/1998;;;0.47;6.87;10.06
227;Landsdeel Noord-Nederland;Van en naar het werk;1998/1999;;;0.48;7.2;10.4
228;Landsdeel Noord-Nederland;Van en naar het werk;1999/2000;;;0.49;7.36;10.4
229;Landsdeel Noord-Nederland;Van en naar het werk;2000/2001;;;0.48;7.56;10.41
230;Landsdeel Noord-Nederland;Van en naar het werk;2001/2002;;;0.48;7.34;10.18
231;Landsdeel Noord-Nederland;Van en naar het werk;2002/2003;;;0.48;7.01;9.79
232;Landsdeel Noord-Nederland;Zakelijk bezoek in werksfeer;1995/1996;;;0.11;3.27;4.05
233;Landsdeel Noord-Nederland;Zakelijk bezoek in werksfeer;1996/1997;;;0.11;3.13;3.97
234;Landsdeel Noord-Nederland;Zakelijk bezoek in werksfeer;1997/1998;;;0.11;3.18;4.0
235;Landsdeel Noord-Nederland;Zakelijk bezoek in werksfeer;1998/1999;;;0.11;3.05;3.72
236;Landsdeel Noord-Nederland;Zakelijk bezoek in werksfeer;1999/2000;;;0.11;3.04;3.61
237;Landsdeel Noord-Nederland;Zakelijk bezoek in werksfeer;2000/2001;;;0.11;3.29;3.98
238;Landsdeel Noord-Nederland;Zakelijk bezoek in werksfeer;2001/2002;;;0.1;3.22;3.9
239;Landsdeel Noord-Nederland;Zakelijk bezoek in werksfeer;2002/2003;;;0.1;3.17;3.76
240;Landsdeel Noord-Nederland;Diensten/ persoonlijke verzorging;1995/1996;;;;;
241;Landsdeel Noord-Nederland;Diensten/ persoonlijke verzorging;1996/1997;;;;;
242;Landsdeel Noord-Nederland;Diensten/ persoonlijke verzorging;1997/1998;;;;;
243;Landsdeel Noord-Nederland;Diensten/ persoonlijke verzorging;1998/1999;;;;;
244;Landsdeel Noord-Nederland;Diensten/ persoonlijke verzorging;1999/2000;;;0.15;1.25;2.21
245;Landsdeel Noord-Nederland;Diensten/ persoonlijke verzorging;2000/2001;;;0.15;1.17;2.08
246;Landsdeel Noord-Nederland;Diensten/ persoonlijke verzorging;2001/2002;;;0.15;1.1;2.08
247;Landsdeel Noord-Nederland;Diensten/ persoonlijke verzorging;2002/2003;;;0.16;1.26;2.24
248;Landsdeel Noord-Nederland;Winkelen, boodschappen doen;1995/1996;;;0.64;3.36;8.46
249;Landsdeel Noord-Nederland;Winkelen, boodschappen doen;1996/1997;;;0.65;3.4;8.56
250;Landsdeel Noord-Nederland;Winkelen, boodschappen doen;1997/1998;;;0.66;3.44;8.58
251;Landsdeel Noord-Nederland;Winkelen, boodschappen doen;1998/1999;;;0.65;3.53;8.32
252;Landsdeel Noord-Nederland;Winkelen, boodschappen doen;1999/2000;;;0.63;3.3;7.86
253;Landsdeel Noord-Nederland;Winkelen, boodschappen doen;2000/2001;;;0.63;3.26;7.68
254;Landsdeel Noord-Nederland;Winkelen, boodschappen doen;2001/2002;;;0.64;3.38;7.79
255;Landsdeel Noord-Nederland;Winkelen, boodschappen doen;2002/2003;;;0.65;3.47;7.84
256;Landsdeel Noord-Nederland;Onderwijs, cursus volgen;1995/1996;;;0.29;2.0;5.46
257;Landsdeel Noord-Nederland;Onderwijs, cursus volgen;1996/1997;;;0.29;1.97;5.34
258;Landsdeel Noord-Nederland;Onderwijs, cursus volgen;1997/1998;;;0.28;1.87;5.13
259;Landsdeel Noord-Nederland;Onderwijs, cursus volgen;1998/1999;;;0.27;1.95;5.04
260;Landsdeel Noord-Nederland;Onderwijs, cursus volgen;1999/2000;;;0.28;2.11;5.08
261;Landsdeel Noord-Nederland;Onderwijs, cursus volgen;2000/2001;;;0.29;2.16;5.23
262;Landsdeel Noord-Nederland;Onderwijs, cursus volgen;2001/2002;;;0.29;2.25;5.39
263;Landsdeel Noord-Nederland;Onderwijs, cursus volgen;2002/2003;;;0.28;2.32;5.37
264;Landsdeel Noord-Nederland;Visite, logeren;1995/1996;;;0.47;8.0;10.81
265;Landsdeel Noord-Nederland;Visite, logeren;1996/1997;;;0.46;7.73;10.64
266;Landsdeel Noord-Nederland;Visite, logeren;1997/1998;;;0.46;7.59;10.33
267;Landsdeel Noord-Nederland;Visite, logeren;1998/1999;;;0.46;7.39;9.93
268;Landsdeel Noord-Nederland;Visite, logeren;1999/2000;;;0.46;7.28;9.71
269;Landsdeel Noord-Nederland;Visite, logeren;2000/2001;;;0.45;7.32;9.67
270;Landsdeel Noord-Nederland;Visite, logeren;2001/2002;;;0.46;7.78;10.08
271;Landsdeel Noord-Nederland;Visite, logeren;2002/2003;;;0.48;7.58;10.07
272;Landsdeel Noord-Nederland;Toeren, wandelen;1995/1996;;;;;
273;Landsdeel Noord-Nederland;Toeren, wandelen;1996/1997;;;;;
274;Landsdeel Noord-Nederland;Toeren, wandelen;1997/1998;;;;;
275;Landsdeel Noord-Nederland;Toeren, wandelen;1998/1999;;;;;
276;Landsdeel Noord-Nederland;Toeren, wandelen;1999/2000;;;0.25;2.29;7.57
277;Landsdeel Noord-Nederland;Toeren, wandelen;2000/2001;;;0.24;2.06;7.06
278;Landsdeel Noord-Nederland;Toeren, wandelen;2001/2002;;;0.25;2.07;7.14
279;Landsdeel Noord-Nederland;Toeren, wandelen;2002/2003;;;0.25;2.43;7.65
280;Landsdeel Noord-Nederland;Sociaal recreatief overig;1995/1996;;;;;
281;Landsdeel Noord-Nederland;Sociaal recreatief overig;1996/1997;;;;;
282;Landsdeel Noord-Nederland;Sociaal recreatief overig;1997/1998;;;;;
283;Landsdeel Noord-Nederland;Sociaal recreatief overig;1998/1999;;;;;
284;Landsdeel Noord-Nederland;Sociaal recreatief overig;1999/2000;;;0.37;3.37;6.16
285;Landsdeel Noord-Nederland;Sociaal recreatief overig;2000/2001;;;0.37;3.31;5.83
286;Landsdeel Noord-Nederland;Sociaal recreatief overig;2001/2002;;;0.35;3.16;5.48
287;Landsdeel Noord-Nederland;Sociaal recreatief overig;2002/2003;;;0.34;3.42;5.77
288;Landsdeel Noord-Nederland;Recreatief;1995/1996;;;0.66;6.16;14.99
289;Landsdeel Noord-Nederland;Recreatief;1996/1997;;;0.66;6.07;15.0
290;Landsdeel Noord-Nederland;Recreatief;1997/1998;;;0.64;5.97;14.45
291;Landsdeel Noord-Nederland;Recreatief;1998/1999;;;0.63;5.92;14.07
292;Landsdeel Noord-Nederland;Recreatief;1999/2000;;;0.63;5.66;13.73
293;Landsdeel Noord-Nederland;Recreatief;2000/2001;;;0.61;5.37;12.89
294;Landsdeel Noord-Nederland;Recreatief;2001/2002;;;0.59;5.23;12.62
295;Landsdeel Noord-Nederland;Recreatief;2002/2003;;;0.59;5.85;13.42
296;Landsdeel Noord-Nederland;Overige motieven;1995/1996;;;0.44;4.16;7.15
297;Landsdeel Noord-Nederland;Overige motieven;1996/1997;;;0.44;4.25;7.16
298;Landsdeel Noord-Nederland;Overige motieven;1997/1998;;;0.45;4.21;7.14
299;Landsdeel Noord-Nederland;Overige motieven;1998/1999;;;0.46;3.98;7.11
300;Landsdeel Noord-Nederland;Overige motieven;1999/2000;;;0.35;2.82;5.03
301;Landsdeel Noord-Nederland;Overige motieven;2000/2001;;;0.34;2.95;5.02
302;Landsdeel Noord-Nederland;Overige motieven;2001/2002;;;0.32;2.92;4.87
303;Landsdeel Noord-Nederland;Overige motieven;2002/2003;;;0.32;2.85;4.68
304;Landsdeel Oost-Nederland;1;1995/1996;3203108.0;72156.0;3.19;32.38;59.66
305;Landsdeel Oost-Nederland;1;1996/1997;3225525.0;66535.0;3.18;33.19;60.32
306;Landsdeel Oost-Nederland;1;1997/1998;3252469.0;63010.0;3.17;33.55;60.94
307;Landsdeel Oost-Nederland;1;1998/1999;3283690.0;62480.0;3.17;33.56;60.34
308;Landsdeel Oost-Nederland;1;1999/2000;3313989.0;63326.0;3.16;34.13;60.01
309;Landsdeel Oost-Nederland;1;2000/2001;3349530.0;59969.0;3.13;33.54;59.0
310;Landsdeel Oost-Nederland;1;2001/2002;3384986.0;50519.0;3.12;33.48;58.43
311;Landsdeel Oost-Nederland;1;2002/2003;3412779.0;39057.0;3.11;33.28;57.97
312;Landsdeel Oost-Nederland;2;1995/1996;;;0.98;15.33;20.46
313;Landsdeel Oost-Nederland;2;1996/1997;;;0.99;15.74;20.89
314;Landsdeel Oost-Nederland;2;1997/1998;;;1.0;16.1;21.55
315;Landsdeel Oost-Nederland;2;1998/1999;;;1.03;16.55;22.0
316;Landsdeel Oost-Nederland;2;1999/2000;;;1.04;17.06;22.08
317;Landsdeel Oost-Nederland;2;2000/2001;;;1.02;16.93;21.83
318;Landsdeel Oost-Nederland;2;2001/2002;;;1.04;17.11;22.04
319;Landsdeel Oost-Nederland;2;2002/2003;;;1.05;17.1;21.97
320;Landsdeel Oost-Nederland;3;1995/1996;;;0.55;9.35;12.04
321;Landsdeel Oost-Nederland;3;1996/1997;;;0.55;9.58;12.12
322;Landsdeel Oost-Nederland;3;1997/1998;;;0.55;9.45;12.12
323;Landsdeel Oost-Nederland;3;1998/1999;;;0.55;9.2;11.93
324;Landsdeel Oost-Nederland;3;1999/2000;;;0.54;9.29;11.8
325;Landsdeel Oost-Nederland;3;2000/2001;;;0.53;8.82;11.17
326;Landsdeel Oost-Nederland;3;2001/2002;;;0.53;8.63;10.95
327;Landsdeel Oost-Nederland;3;2002/2003;;;0.53;8.83;11.09
328;Landsdeel Oost-Nederland;4;1995/1996;;;0.05;2.37;3.81
329;Landsdeel Oost-Nederland;4;1996/1997;;;0.05;2.44;3.94
330;Landsdeel Oost-Nederland;4;1997/1998;;;0.05;2.54;4.03
331;Landsdeel Oost-Nederland;4;1998/1999;;;0.05;2.71;4.14
332;Landsdeel Oost-Nederland;4;1999/2000;;;0.05;2.75;4.18
333;Landsdeel Oost-Nederland;4;2000/2001;;;0.05;2.7;4.19
334;Landsdeel Oost-Nederland;4;2001/2002;;;0.05;2.79;4.31
335;Landsdeel Oost-Nederland;4;2002/2003;;;0.05;2.59;4.01
336;Landsdeel Oost-Nederland;5;1995/1996;;;0.07;1.08;2.59
337;Landsdeel Oost-Nederland;5;1996/1997;;;0.06;1.07;2.51
338;Landsdeel Oost-Nederland;5;1997/1998;;;0.06;1.11;2.48
339;Landsdeel Oost-Nederland;5;1998/1999;;;0.06;0.99;2.17
340;Landsdeel Oost-Nederland;5;1999/2000;;;0.05;0.91;1.95
341;Landsdeel Oost-Nederland;5;2000/2001;;;0.05;0.95;1.97
342;Landsdeel Oost-Nederland;5;2001/2002;;;0.05;0.89;1.81
343;Landsdeel Oost-Nederland;5;2002/2003;;;0.04;0.77;1.67
344;Landsdeel Oost-Nederland;6;1995/1996;;;0.03;0.2;0.48
345;Landsdeel Oost-Nederland;6;1996/1997;;;0.03;0.2;0.45
346;Landsdeel Oost-Nederland;6;1997/1998;;;0.03;0.18;0.45
347;Landsdeel Oost-Nederland;6;1998/1999;;;0.03;0.2;0.52
348;Landsdeel Oost-Nederland;6;1999/2000;;;0.03;0.18;0.48
349;Landsdeel Oost-Nederland;6;2000/2001;;;0.03;0.15;0.42
350;Landsdeel Oost-Nederland;6;2001/2002;;;0.03;0.16;0.41
351;Landsdeel Oost-Nederland;6;2002/2003;;;0.03;0.16;0.4
352;Landsdeel Oost-Nederland;7;1995/1996;;;0.91;2.64;12.15
