ID;AfzetEnInvoer;ProductenVolgensPRODCOMLijst;Perioden;PrijsindexcijfersExclusiefAccijns_1;MaandOpMaandOntwikkeling_2;JaarOpJaarOntwikkeling_3
44;Totale afzet;B Winning van delfstoffen;2003 juni;82.5;0.4;19.8
45;Totale afzet;B Winning van delfstoffen;2003 juli;74.1;-10.1;3.2
46;Totale afzet;B Winning van delfstoffen;2003 augustus;73.4;-1.0;2.5
47;Totale afzet;B Winning van delfstoffen;2003 september;72.1;-1.7;1.4
48;Totale afzet;B Winning van delfstoffen;2003 oktober;72.3;0.2;-2.7
49;Totale afzet;B Winning van delfstoffen;2003 november;72.9;0.8;-3.3
50;Totale afzet;B Winning van delfstoffen;2003 december;75.6;3.6;-2.5
51;Totale afzet;B Winning van delfstoffen;2003;77.2;;7.3
52;Totale afzet;B Winning van delfstoffen;2004 januari;74.0;-2.1;-7.8
53;Totale afzet;B Winning van delfstoffen;2004 februari;74.4;0.6;-7.5
54;Totale afzet;B Winning van delfstoffen;2004 maart;74.0;-0.6;-7.3
55;Totale afzet;B Winning van delfstoffen;2004 april;72.8;-1.6;-10.0
56;Totale afzet;B Winning van delfstoffen;2004 mei;72.1;-1.0;-12.1
57;Totale afzet;B Winning van delfstoffen;2004 juni;72.7;0.8;-11.8
58;Totale afzet;B Winning van delfstoffen;2004 juli;74.0;1.8;-0.1
59;Totale afzet;B Winning van delfstoffen;2004 augustus;73.6;-0.6;0.3
60;Totale afzet;B Winning van delfstoffen;2004 september;74.8;1.6;3.7
61;Totale afzet;B Winning van delfstoffen;2004 oktober;80.6;7.8;11.5
62;Totale afzet;B Winning van delfstoffen;2004 november;82.1;1.8;12.5
63;Totale afzet;B Winning van delfstoffen;2004 december;82.4;0.4;9.0
64;Totale afzet;B Winning van delfstoffen;2004;75.6;;-2.0
65;Totale afzet;B Winning van delfstoffen;2005 januari;88.3;7.2;19.3
66;Totale afzet;B Winning van delfstoffen;2005 februari;88.7;0.4;19.1
67;Totale afzet;B Winning van delfstoffen;2005 maart;89.4;0.8;20.7
68;Totale afzet;B Winning van delfstoffen;2005 april;93.5;4.6;28.3
69;Totale afzet;B Winning van delfstoffen;2005 mei;93.0;-0.5;28.9
70;Totale afzet;B Winning van delfstoffen;2005 juni;95.4;2.6;31.2
71;Totale afzet;B Winning van delfstoffen;2005 juli;99.7;4.5;34.6
72;Totale afzet;B Winning van delfstoffen;2005 augustus;102.8;3.1;39.5
73;Totale afzet;B Winning van delfstoffen;2005 september;104.7;1.9;40.0
74;Totale afzet;B Winning van delfstoffen;2005 oktober;112.5;7.4;39.5
75;Totale afzet;B Winning van delfstoffen;2005 november;112.8;0.2;37.4
76;Totale afzet;B Winning van delfstoffen;2005 december;119.4;5.9;44.9
77;Totale afzet;B Winning van delfstoffen;2005;100.0;;32.2
78;Totale afzet;B Winning van delfstoffen;2006 januari;124.5;4.2;41.0
79;Totale afzet;B Winning van delfstoffen;2006 februari;124.4;0.0;40.4
80;Totale afzet;B Winning van delfstoffen;2006 maart;125.9;1.2;40.9
81;Totale afzet;B Winning van delfstoffen;2006 april;129.8;3.1;38.9
82;Totale afzet;B Winning van delfstoffen;2006 mei;135.1;4.1;45.2
83;Totale afzet;B Winning van delfstoffen;2006 juni;134.8;-0.2;41.3
84;Totale afzet;B Winning van delfstoffen;2006 juli;134.0;-0.6;34.4
85;Totale afzet;B Winning van delfstoffen;2006 augustus;134.0;0.0;30.4
86;Totale afzet;B Winning van delfstoffen;2006 september;134.9;0.7;28.9
87;Totale afzet;B Winning van delfstoffen;2006 oktober;134.1;-0.6;19.2
88;Totale afzet;B Winning van delfstoffen;2006 november;132.8;-1.0;17.8
89;Totale afzet;B Winning van delfstoffen;2006 december;133.3;0.4;11.6
90;Totale afzet;B Winning van delfstoffen;2006;131.5;;31.5
91;Totale afzet;B Winning van delfstoffen;2007 januari;134.5;0.9;8.0
92;Totale afzet;B Winning van delfstoffen;2007 februari;132.4;-1.5;6.4
93;Totale afzet;B Winning van delfstoffen;2007 maart;133.2;0.6;5.8
94;Totale afzet;B Winning van delfstoffen;2007 april;132.4;-0.6;2.0
95;Totale afzet;B Winning van delfstoffen;2007 mei;130.4;-1.5;-3.4
96;Totale afzet;B Winning van delfstoffen;2007 juni;128.3;-1.7;-4.8
97;Totale afzet;B Winning van delfstoffen;2007 juli;134.5;4.9;0.4
98;Totale afzet;B Winning van delfstoffen;2007 augustus;133.1;-1.0;-0.6
99;Totale afzet;B Winning van delfstoffen;2007 september;130.9;-1.6;-3.0
100;Totale afzet;B Winning van delfstoffen;2007 oktober;133.3;1.8;-0.6
101;Totale afzet;B Winning van delfstoffen;2007 november;133.8;0.4;0.7
102;Totale afzet;B Winning van delfstoffen;2007 december;134.9;0.8;1.2
103;Totale afzet;B Winning van delfstoffen;2007;132.6;;0.9
104;Totale afzet;B Winning van delfstoffen;2008 januari;141.1;4.6;4.9
105;Totale afzet;B Winning van delfstoffen;2008 februari;145.1;2.8;9.6
106;Totale afzet;B Winning van delfstoffen;2008 maart;148.3;2.2;11.3
107;Totale afzet;B Winning van delfstoffen;2008 april;154.9;4.4;17.0
108;Totale afzet;B Winning van delfstoffen;2008 mei;165.2;6.6;26.6
109;Totale afzet;B Winning van delfstoffen;2008 juni;174.1;5.4;35.7
110;Totale afzet;B Winning van delfstoffen;2008 juli;189.3;8.8;40.7
111;Totale afzet;B Winning van delfstoffen;2008 augustus;192.2;1.5;44.4
112;Totale afzet;B Winning van delfstoffen;2008 september;186.3;-3.1;42.3
113;Totale afzet;B Winning van delfstoffen;2008 oktober;190.3;2.1;42.8
114;Totale afzet;B Winning van delfstoffen;2008 november;182.8;-3.9;36.7
115;Totale afzet;B Winning van delfstoffen;2008 december;182.3;-0.3;35.1
116;Totale afzet;B Winning van delfstoffen;2008;171.0;;28.9
117;Totale afzet;B Winning van delfstoffen;2009 januari;164.7;-9.7;16.7
118;Totale afzet;B Winning van delfstoffen;2009 februari;160.0;-2.8;10.3
119;Totale afzet;B Winning van delfstoffen;2009 maart;153.3;-4.2;3.4
120;Totale afzet;B Winning van delfstoffen;2009 april;130.3;-15.0;-15.9
121;Totale afzet;B Winning van delfstoffen;2009 mei;123.7;-5.0;-25.1
122;Totale afzet;B Winning van delfstoffen;2009 juni;120.5;-2.6;-30.8
123;Totale afzet;B Winning van delfstoffen;2009 juli;111.4;-7.6;-41.2
124;Totale afzet;B Winning van delfstoffen;2009 augustus;108.9;-2.2;-43.3
125;Totale afzet;B Winning van delfstoffen;2009 september;108.6;-0.2;-41.7
126;Totale afzet;B Winning van delfstoffen;2009 oktober;114.3;5.2;-39.9
127;Totale afzet;B Winning van delfstoffen;2009 november;117.9;3.2;-35.5
128;Totale afzet;B Winning van delfstoffen;2009 december;117.4;-0.5;-35.6
129;Totale afzet;B Winning van delfstoffen;2009;127.6;;-25.4
130;Totale afzet;B Winning van delfstoffen;2010 januari;114.8;-2.2;-30.3
131;Totale afzet;B Winning van delfstoffen;2010 februari;117.4;2.3;-26.6
132;Totale afzet;B Winning van delfstoffen;2010 maart;119.6;1.8;-22.0
133;Totale afzet;B Winning van delfstoffen;2010 april;122.2;2.2;-6.2
134;Totale afzet;B Winning van delfstoffen;2010 mei;122.8;0.5;-0.7
135;Totale afzet;B Winning van delfstoffen;2010 juni;129.7;5.5;7.6
136;Totale afzet;B Winning van delfstoffen;2010 juli;140.2;8.1;25.9
137;Totale afzet;B Winning van delfstoffen;2010 augustus;140.6;0.3;29.1
138;Totale afzet;B Winning van delfstoffen;2010 september;137.3;-2.3;26.4
139;Totale afzet;B Winning van delfstoffen;2010 oktober;136.4;-0.6;19.3
140;Totale afzet;B Winning van delfstoffen;2010 november;139.5;2.3;18.3
141;Totale afzet;B Winning van delfstoffen;2010 december;135.7;-2.7;15.7
142;Totale afzet;B Winning van delfstoffen;2010;129.7;;1.6
143;Totale afzet;B Winning van delfstoffen;2011 januari;143.8;5.9;25.2
144;Totale afzet;B Winning van delfstoffen;2011 februari;144.3;0.4;22.9
145;Totale afzet;B Winning van delfstoffen;2011 maart;145.4;0.8;21.6
146;Totale afzet;B Winning van delfstoffen;2011 april;154.6;6.3;26.5
147;Totale afzet;B Winning van delfstoffen;2011 mei;153.4;-0.8;24.9
148;Totale afzet;B Winning van delfstoffen;2011 juni;155.2;1.2;19.7
149;Totale afzet;B Winning van delfstoffen;2011 juli;156.8;1.0;11.9
150;Totale afzet;B Winning van delfstoffen;2011 augustus;154.8;-1.3;10.1
151;Totale afzet;B Winning van delfstoffen;2011 september;160.8;3.9;17.1
152;Totale afzet;B Winning van delfstoffen;2011 oktober;171.1;6.4;25.4
153;Totale afzet;B Winning van delfstoffen;2011 november;172.1;0.6;23.4
154;Totale afzet;B Winning van delfstoffen;2011 december;171.7;-0.3;26.5
155;Totale afzet;B Winning van delfstoffen;2011;157.0;;21.1
156;Totale afzet;B Winning van delfstoffen;2012 januari;165.9;-3.4;15.4
157;Totale afzet;B Winning van delfstoffen;2012 februari;166.5;0.4;15.4
158;Totale afzet;B Winning van delfstoffen;2012 maart;167.7;0.7;15.3
159;Totale afzet;B Winning van delfstoffen;2012 april;172.7;3.0;11.7
160;Totale afzet;B Winning van delfstoffen;2012 mei;175.2;1.4;14.2
161;Totale afzet;B Winning van delfstoffen;2012 juni;170.2;-2.8;9.7
162;Totale afzet;B Winning van delfstoffen;2012 juli;169.3;-0.5;8.0
163;Totale afzet;B Winning van delfstoffen;2012 augustus;172.5;1.9;11.4
164;Totale afzet;B Winning van delfstoffen;2012 september;172.1;-0.2;7.0
165;Totale afzet;B Winning van delfstoffen;2012 oktober;176.2;2.4;3.0
166;Totale afzet;B Winning van delfstoffen;2012 november;182.9;3.8;6.3
167;Totale afzet;B Winning van delfstoffen;2012 december;176.2;-3.7;2.6
168;Totale afzet;B Winning van delfstoffen;2012;172.3;;9.7
169;Totale afzet;05 Steenkool en bruinkool;2000 januari;;;
170;Totale afzet;05 Steenkool en bruinkool;2000 februari;;;
171;Totale afzet;05 Steenkool en bruinkool;2000 maart;;;
172;Totale afzet;05 Steenkool en bruinkool;2000 april;;;
173;Totale afzet;05 Steenkool en bruinkool;2000 mei;;;
174;Totale afzet;05 Steenkool en bruinkool;2000 juni;;;
175;Totale afzet;05 Steenkool en bruinkool;2000 juli;;;
176;Totale afzet;05 Steenkool en bruinkool;2000 augustus;;;
177;Totale afzet;05 Steenkool en bruinkool;2000 september;;;
178;Totale afzet;05 Steenkool en bruinkool;2000 oktober;;;
179;Totale afzet;05 Steenkool en bruinkool;2000 november;;;
180;Totale afzet;05 Steenkool en bruinkool;2000 december;;;
181;Totale afzet;05 Steenkool en bruinkool;2000;;;
182;Totale afzet;05 Steenkool en bruinkool;2001 januari;;;
183;Totale afzet;05 Steenkool en bruinkool;2001 februari;;;
184;Totale afzet;05 Steenkool en bruinkool;2001 maart;;;
185;Totale afzet;05 Steenkool en bruinkool;2001 april;;;
186;Totale afzet;05 Steenkool en bruinkool;2001 mei;;;
187;Totale afzet;05 Steenkool en bruinkool;2001 juni;;;
188;Totale afzet;05 Steenkool en bruinkool;2001 juli;;;
189;Totale afzet;05 Steenkool en bruinkool;2001 augustus;;;
190;Totale afzet;05 Steenkool en bruinkool;2001 september;;;
191;Totale afzet;05 Steenkool en bruinkool;2001 oktober;;;
192;Totale afzet;05 Steenkool en bruinkool;2001 november;;;
193;Totale afzet;05 Steenkool en bruinkool;2001 december;;;
194;Totale afzet;05 Steenkool en bruinkool;2001;;;
195;Totale afzet;05 Steenkool en bruinkool;2002 januari;;;
196;Totale afzet;05 Steenkool en bruinkool;2002 februari;;;
197;Totale afzet;05 Steenkool en bruinkool;2002 maart;;;
198;Totale afzet;05 Steenkool en bruinkool;2002 april;;;
199;Totale afzet;05 Steenkool en bruinkool;2002 mei;;;
200;Totale afzet;05 Steenkool en bruinkool;2002 juni;;;
201;Totale afzet;05 Steenkool en bruinkool;2002 juli;;;
202;Totale afzet;05 Steenkool en bruinkool;2002 augustus;;;
203;Totale afzet;05 Steenkool en bruinkool;2002 september;;;
204;Totale afzet;05 Steenkool en bruinkool;2002 oktober;;;
205;Totale afzet;05 Steenkool en bruinkool;2002 november;;;
206;Totale afzet;05 Steenkool en bruinkool;2002 december;;;
207;Totale afzet;05 Steenkool en bruinkool;2002;;;
208;Totale afzet;05 Steenkool en bruinkool;2003 januari;;;
209;Totale afzet;05 Steenkool en bruinkool;2003 februari;;;
210;Totale afzet;05 Steenkool en bruinkool;2003 maart;;;
211;Totale afzet;05 Steenkool en bruinkool;2003 april;;;
212;Totale afzet;05 Steenkool en bruinkool;2003 mei;;;
213;Totale afzet;05 Steenkool en bruinkool;2003 juni;;;
214;Totale afzet;05 Steenkool en bruinkool;2003 juli;;;
215;Totale afzet;05 Steenkool en bruinkool;2003 augustus;;;
216;Totale afzet;05 Steenkool en bruinkool;2003 september;;;
217;Totale afzet;05 Steenkool en bruinkool;2003 oktober;;;
218;Totale afzet;05 Steenkool en bruinkool;2003 november;;;
219;Totale afzet;05 Steenkool en bruinkool;2003 december;;;
220;Totale afzet;05 Steenkool en bruinkool;2003;;;
221;Totale afzet;05 Steenkool en bruinkool;2004 januari;;;
222;Totale afzet;05 Steenkool en bruinkool;2004 februari;;;
223;Totale afzet;05 Steenkool en bruinkool;2004 maart;;;
224;Totale afzet;05 Steenkool en bruinkool;2004 april;;;
225;Totale afzet;05 Steenkool en bruinkool;2004 mei;;;
226;Totale afzet;05 Steenkool en bruinkool;2004 juni;;;
227;Totale afzet;05 Steenkool en bruinkool;2004 juli;;;
228;Totale afzet;05 Steenkool en bruinkool;2004 augustus;;;
229;Totale afzet;05 Steenkool en bruinkool;2004 september;;;
230;Totale afzet;05 Steenkool en bruinkool;2004 oktober;;;
231;Totale afzet;05 Steenkool en bruinkool;2004 november;;;
232;Totale afzet;05 Steenkool en bruinkool;2004 december;;;
233;Totale afzet;05 Steenkool en bruinkool;2004;;;
234;Totale afzet;05 Steenkool en bruinkool;2005 januari;;;
235;Totale afzet;05 Steenkool en bruinkool;2005 februari;;;
236;Totale afzet;05 Steenkool en bruinkool;2005 maart;;;
237;Totale afzet;05 Steenkool en bruinkool;2005 april;;;
238;Totale afzet;05 Steenkool en bruinkool;2005 mei;;;
239;Totale afzet;05 Steenkool en bruinkool;2005 juni;;;
240;Totale afzet;05 Steenkool en bruinkool;2005 juli;;;
241;Totale afzet;05 Steenkool en bruinkool;2005 augustus;;;
242;Totale afzet;05 Steenkool en bruinkool;2005 september;;;
243;Totale afzet;05 Steenkool en bruinkool;2005 oktober;;;
244;Totale afzet;05 Steenkool en bruinkool;2005 november;;;
245;Totale afzet;05 Steenkool en bruinkool;2005 december;;;
246;Totale afzet;05 Steenkool en bruinkool;2005;;;
247;Totale afzet;05 Steenkool en bruinkool;2006 januari;;;
248;Totale afzet;05 Steenkool en bruinkool;2006 februari;;;
249;Totale afzet;05 Steenkool en bruinkool;2006 maart;;;
250;Totale afzet;05 Steenkool en bruinkool;2006 april;;;
251;Totale afzet;05 Steenkool en bruinkool;2006 mei;;;
252;Totale afzet;05 Steenkool en bruinkool;2006 juni;;;
253;Totale afzet;05 Steenkool en bruinkool;2006 juli;;;
254;Totale afzet;05 Steenkool en bruinkool;2006 augustus;;;
255;Totale afzet;05 Steenkool en bruinkool;2006 september;;;
256;Totale afzet;05 Steenkool en bruinkool;2006 oktober;;;
257;Totale afzet;05 Steenkool en bruinkool;2006 november;;;
258;Totale afzet;05 Steenkool en bruinkool;2006 december;;;
259;Totale afzet;05 Steenkool en bruinkool;2006;;;
260;Totale afzet;05 Steenkool en bruinkool;2007 januari;;;
261;Totale afzet;05 Steenkool en bruinkool;2007 februari;;;
262;Totale afzet;05 Steenkool en bruinkool;2007 maart;;;
263;Totale afzet;05 Steenkool en bruinkool;2007 april;;;
264;Totale afzet;05 Steenkool en bruinkool;2007 mei;;;
265;Totale afzet;05 Steenkool en bruinkool;2007 juni;;;
266;Totale afzet;05 Steenkool en bruinkool;2007 juli;;;
267;Totale afzet;05 Steenkool en bruinkool;2007 augustus;;;
268;Totale afzet;05 Steenkool en bruinkool;2007 september;;;
269;Totale afzet;05 Steenkool en bruinkool;2007 oktober;;;
270;Totale afzet;05 Steenkool en bruinkool;2007 november;;;
271;Totale afzet;05 Steenkool en bruinkool;2007 december;;;
272;Totale afzet;05 Steenkool en bruinkool;2007;;;
273;Totale afzet;05 Steenkool en bruinkool;2008 januari;;;
274;Totale afzet;05 Steenkool en bruinkool;2008 februari;;;
275;Totale afzet;05 Steenkool en bruinkool;2008 maart;;;
276;Totale afzet;05 Steenkool en bruinkool;2008 april;;;
277;Totale afzet;05 Steenkool en bruinkool;2008 mei;;;
278;Totale afzet;05 Steenkool en bruinkool;2008 juni;;;
279;Totale afzet;05 Steenkool en bruinkool;2008 juli;;;
280;Totale afzet;05 Steenkool en bruinkool;2008 augustus;;;
281;Totale afzet;05 Steenkool en bruinkool;2008 september;;;
282;Totale afzet;05 Steenkool en bruinkool;2008 oktober;;;
283;Totale afzet;05 Steenkool en bruinkool;2008 november;;;
284;Totale afzet;05 Steenkool en bruinkool;2008 december;;;
285;Totale afzet;05 Steenkool en bruinkool;2008;;;
286;Totale afzet;05 Steenkool en bruinkool;2009 januari;;;
287;Totale afzet;05 Steenkool en bruinkool;2009 februari;;;
288;Totale afzet;05 Steenkool en bruinkool;2009 maart;;;
289;Totale afzet;05 Steenkool en bruinkool;2009 april;;;
290;Totale afzet;05 Steenkool en bruinkool;2009 mei;;;
291;Totale afzet;05 Steenkool en bruinkool;2009 juni;;;
292;Totale afzet;05 Steenkool en bruinkool;2009 juli;;;
293;Totale afzet;05 Steenkool en bruinkool;2009 augustus;;;
294;Totale afzet;05 Steenkool en bruinkool;2009 september;;;
295;Totale afzet;05 Steenkool en bruinkool;2009 oktober;;;
296;Totale afzet;05 Steenkool en bruinkool;2009 november;;;
297;Totale afzet;05 Steenkool en bruinkool;2009 december;;;
298;Totale afzet;05 Steenkool en bruinkool;2009;;;
299;Totale afzet;05 Steenkool en bruinkool;2010 januari;;;
300;Totale afzet;05 Steenkool en bruinkool;2010 februari;;;
301;Totale afzet;05 Steenkool en bruinkool;2010 maart;;;
302;Totale afzet;05 Steenkool en bruinkool;2010 april;;;
303;Totale afzet;05 Steenkool en bruinkool;2010 mei;;;
304;Totale afzet;05 Steenkool en bruinkool;2010 juni;;;
305;Totale afzet;05 Steenkool en bruinkool;2010 juli;;;
306;Totale afzet;05 Steenkool en bruinkool;2010 augustus;;;
307;Totale afzet;05 Steenkool en bruinkool;2010 september;;;
308;Totale afzet;05 Steenkool en bruinkool;2010 oktober;;;
309;Totale afzet;05 Steenkool en bruinkool;2010 november;;;
310;Totale afzet;05 Steenkool en bruinkool;2010 december;;;
311;Totale afzet;05 Steenkool en bruinkool;2010;;;
312;Totale afzet;05 Steenkool en bruinkool;2011 januari;;;
313;Totale afzet;05 Steenkool en bruinkool;2011 februari;;;
314;Totale afzet;05 Steenkool en bruinkool;2011 maart;;;
315;Totale afzet;05 Steenkool en bruinkool;2011 april;;;
316;Totale afzet;05 Steenkool en bruinkool;2011 mei;;;
317;Totale afzet;05 Steenkool en bruinkool;2011 juni;;;
318;Totale afzet;05 Steenkool en bruinkool;2011 juli;;;
319;Totale afzet;05 Steenkool en bruinkool;2011 augustus;;;
320;Totale afzet;05 Steenkool en bruinkool;2011 september;;;
321;Totale afzet;05 Steenkool en bruinkool;2011 oktober;;;
322;Totale afzet;05 Steenkool en bruinkool;2011 november;;;
323;Totale afzet;05 Steenkool en bruinkool;2011 december;;;
324;Totale afzet;05 Steenkool en bruinkool;2011;;;
325;Totale afzet;05 Steenkool en bruinkool;2012 januari;;;
326;Totale afzet;05 Steenkool en bruinkool;2012 februari;;;
327;Totale afzet;05 Steenkool en bruinkool;2012 maart;;;
328;Totale afzet;05 Steenkool en bruinkool;2012 april;;;
329;Totale afzet;05 Steenkool en bruinkool;2012 mei;;;
330;Totale afzet;05 Steenkool en bruinkool;2012 juni;;;
331;Totale afzet;05 Steenkool en bruinkool;2012 juli;;;
332;Totale afzet;05 Steenkool en bruinkool;2012 augustus;;;
333;Totale afzet;05 Steenkool en bruinkool;2012 september;;;
334;Totale afzet;05 Steenkool en bruinkool;2012 oktober;;;
335;Totale afzet;05 Steenkool en bruinkool;2012 november;;;
336;Totale afzet;05 Steenkool en bruinkool;2012 december;;;
337;Totale afzet;05 Steenkool en bruinkool;2012;;;
338;Totale afzet;051 Steenkool;2000 januari;;;
339;Totale afzet;051 Steenkool;2000 februari;;;
340;Totale afzet;051 Steenkool;2000 maart;;;
341;Totale afzet;051 Steenkool;2000 april;;;
342;Totale afzet;051 Steenkool;2000 mei;;;
343;Totale afzet;051 Steenkool;2000 juni;;;
344;Totale afzet;051 Steenkool;2000 juli;;;
345;Totale afzet;051 Steenkool;2000 augustus;;;
346;Totale afzet;051 Steenkool;2000 september;;;
347;Totale afzet;051 Steenkool;2000 oktober;;;
348;Totale afzet;051 Steenkool;2000 november;;;
349;Totale afzet;051 Steenkool;2000 december;;;
350;Totale afzet;051 Steenkool;2000;;;
351;Totale afzet;051 Steenkool;2001 januari;;;
352;Totale afzet;051 Steenkool;2001 februari;;;
353;Totale afzet;051 Steenkool;2001 maart;;;
354;Totale afzet;051 Steenkool;2001 april;;;
355;Totale afzet;051 Steenkool;2001 mei;;;
356;Totale afzet;051 Steenkool;2001 juni;;;
357;Totale afzet;051 Steenkool;2001 juli;;;
358;Totale afzet;051 Steenkool;2001 augustus;;;
359;Totale afzet;051 Steenkool;2001 september;;;
360;Totale afzet;051 Steenkool;2001 oktober;;;
361;Totale afzet;051 Steenkool;2001 november;;;
362;Totale afzet;051 Steenkool;2001 december;;;
363;Totale afzet;051 Steenkool;2001;;;
364;Totale afzet;051 Steenkool;2002 januari;;;
365;Totale afzet;051 Steenkool;2002 februari;;;
366;Totale afzet;051 Steenkool;2002 maart;;;
367;Totale afzet;051 Steenkool;2002 april;;;
368;Totale afzet;051 Steenkool;2002 mei;;;
369;Totale afzet;051 Steenkool;2002 juni;;;
370;Totale afzet;051 Steenkool;2002 juli;;;
371;Totale afzet;051 Steenkool;2002 augustus;;;
372;Totale afzet;051 Steenkool;2002 september;;;
373;Totale afzet;051 Steenkool;2002 oktober;;;
374;Totale afzet;051 Steenkool;2002 november;;;
375;Totale afzet;051 Steenkool;2002 december;;;
376;Totale afzet;051 Steenkool;2002;;;
377;Totale afzet;051 Steenkool;2003 januari;;;
378;Totale afzet;051 Steenkool;2003 februari;;;
379;Totale afzet;051 Steenkool;2003 maart;;;
380;Totale afzet;051 Steenkool;2003 april;;;
381;Totale afzet;051 Steenkool;2003 mei;;;
382;Totale afzet;051 Steenkool;2003 juni;;;
383;Totale afzet;051 Steenkool;2003 juli;;;
384;Totale afzet;051 Steenkool;2003 augustus;;;
385;Totale afzet;051 Steenkool;2003 september;;;
386;Totale afzet;051 Steenkool;2003 oktober;;;
387;Totale afzet;051 Steenkool;2003 november;;;
388;Totale afzet;051 Steenkool;2003 december;;;
389;Totale afzet;051 Steenkool;2003;;;
390;Totale afzet;051 Steenkool;2004 januari;;;
391;Totale afzet;051 Steenkool;2004 februari;;;
392;Totale afzet;051 Steenkool;2004 maart;;;
393;Totale afzet;051 Steenkool;2004 april;;;
394;Totale afzet;051 Steenkool;2004 mei;;;
395;Totale afzet;051 Steenkool;2004 juni;;;
396;Totale afzet;051 Steenkool;2004 juli;;;
397;Totale afzet;051 Steenkool;2004 augustus;;;
398;Totale afzet;051 Steenkool;2004 september;;;
399;Totale afzet;051 Steenkool;2004 oktober;;;
400;Totale afzet;051 Steenkool;2004 november;;;
401;Totale afzet;051 Steenkool;2004 december;;;
402;Totale afzet;051 Steenkool;2004;;;
403;Totale afzet;051 Steenkool;2005 januari;;;
404;Totale afzet;051 Steenkool;2005 februari;;;
405;Totale afzet;051 Steenkool;2005 maart;;;
406;Totale afzet;051 Steenkool;2005 april;;;
407;Totale afzet;051 Steenkool;2005 mei;;;
408;Totale afzet;051 Steenkool;2005 juni;;;
409;Totale afzet;051 Steenkool;2005 juli;;;
410;Totale afzet;051 Steenkool;2005 augustus;;;
411;Totale afzet;051 Steenkool;2005 september;;;
