ID;Periods;TotalRevenues_1;TotalRevenuesCurrentAccounts_2;Levies_3;OtherRevenues_4;RevenuesCapitalAccounts_5;TotalExpenditure_6;ExpenditureCurrentAccounts_7;ExpenditureCapitalAccounts_8;BalanceOfRevenuesAndExpenditure_9;TotalDebtAtYearEnd_10;LongTermDebt_11;ShortTermDebt_12
62;1962;3081;2483;117;2366;598;3418;2335;1082;-336;10585;7554;3031
63;1963;3193;2602;124;2478;591;3791;2556;1235;-598;11758;8262;3497
64;1964;3809;3139;131;3008;669;4528;2996;1532;-720;13531;9405;4126
65;1965;4424;3676;148;3528;748;5266;3436;1830;-842;15796;10973;4823
66;1966;4986;4120;168;3952;866;6016;4003;2013;-1030;17558;11922;5636
67;1967;5547;4563;189;4374;984;6766;4570;2195;-1218;19917;13559;6358
68;1968;6185;4972;210;4762;1213;7438;4911;2527;-1253;22175;15211;6964
69;1969;6756;5609;229;5380;1147;7822;5568;2254;-1066;24369;16523;7846
70;1970;7862;6577;253;6324;1284;8974;6560;2414;-1113;26805;18038;8767
71;1971;8790;7407;283;7124;1383;9997;7242;2754;-1207;29606;19869;9737
72;1972;10229;8761;311;8450;1468;11470;8632;2838;-1241;32349;22667;9682
73;1973;11167;9491;384;9107;1676;12255;9571;2684;-1088;35446;24627;10820
74;1974;13783;11842;416;11426;1941;14972;11912;3061;-1189;38871;27215;11656
75;1975;17050;14647;652;13995;2404;18027;14544;3483;-977;42092;29440;12652
76;1976;20212;17346;782;16564;2866;21082;17177;3905;-870;45045;31798;13247
77;1977;23374;20045;912;19133;3329;24137;19809;4328;-763;47158;33640;13518
78;1978;25843;22371;1030;21341;3471;26319;21777;4542;-476;49688;35124;14564
79;1979;27844;24345;1189;23156;3499;28906;23842;5064;-1062;52296;37417;14879
80;1980;29709;26210;1293;24917;3499;31860;26233;5627;-2151;57881;40069;17812
81;1981;32645;28711;1411;27300;3934;34501;28838;5663;-1856;63753;44562;19192
82;1982;36193;31633;1502;30131;4560;38158;32504;5654;-1965;68338;49038;19300
83;1983;38322;33176;1611;31565;5146;40060;34664;5395;-1738;71209;51524;19685
84;1984;40909;35759;1679;34080;5151;41913;36550;5363;-1004;73764;53782;19982
85;1985;43497;38342;1842;36500;5155;43766;38436;5330;-269;79286;57167;22119
86;1986;43330;36186;1908;34278;7144;41610;36208;5402;1720;78217;54988;23230
87;1987;39175;34264;1980;32284;4911;39292;34051;5241;-117;73715;52315;21399
88;1988;38449;32947;2089;30858;5502;37930;32496;5434;519;74990;53695;21295
89;1989;38286;32728;2206;30522;5557;37652;31908;5744;633;74146;54026;20119
90;1990;39205;33486;2400;31086;5719;38946;32702;6244;259;74626;54169;20457
91;1991;40845;35278;2636;32642;5567;40843;34548;6295;2;75428;54303;21126
92;1992;42894;37086;2968;34118;5807;42777;36137;6640;117;73467;55363;18104
93;1993;44183;37753;3316;34437;6430;43542;37193;6349;641;71355;54080;17275
94;1994;42917;36634;3675;32959;6283;42204;35818;6386;713;66661;49460;17201
95;1995;57943;35985;3960;32025;21958;41214;34090;7124;16729;46212;37146;9066
96;1996;39676;33798;4254;29544;5878;39205;32743;6462;471;46013;36030;9983
97;1997;42377;34348;4449;29899;8029;39330;32442;6888;3047;42973;32717;10255
98;1998;39838;33662;4735;28927;6176;39346;32172;7174;492;40885;30857;10028
99;1999;40063;33524;5162;28362;6539;39688;32062;7626;375;39932;29541;10392
100;2000;41074;35345;5508;29837;5729;40866;32896;7970;208;38700;28600;10100
101;2001;42717;36351;5825;30526;6366;44526;35706;8820;-1809;39300;27800;11500
102;2002;44849;38701;6301;32400;6148;47888;38257;9631;-3039;40000;27800;12200
103;2003;47203;41196;6758;34438;6007;48663;39317;9346;-1460;39700;28000;11700
104;2004;48805;41187;6893;34294;7618;50556;40878;9678;-1751;41894;28843;13051
105;2005;49345;40937;7506;33431;8408;49559;40168;9391;-214;40167;30068;10099
106;2006;50740;41365;6735;34630;9375;49740;39811;9929;1000;38847;29159;9688
107;2007;51817;43045;7142;35903;8772;52554;41104;11450;-737;38949;28593;10356
108;2008;53294;44090;7578;36512;9204;55362;44202;11160;-2068;43953;29554;14399
109;2009;58550;49819;7692;42127;8731;58040;45969;12071;510;45143;30603;14540
110;2010;52090;43907;7869;36038;8183;57003;46382;10621;-4913;48521;33161;15360
111;2011;51816;43515;8112;35403;8301;55099;45168;9931;-3283;50082;35577;14505
112;2012;50261;42677;8320;34357;7584;53631;43889;9742;-3370;51740;36878;14862
113;2013;50536;42500;8417;34083;8036;52796;43809;8987;-2260;52686;38079;14607
114;2014;50114;43518;8662;34856;6596;51013;43415;7598;-899;51850;39145;12705
115;2015;56201;49433;9032;40401;6768;56601;49500;7101;-400;51437;39151;12286
116;2016;57456;50591;9396;41195;6865;57389;50426;6963;67;50992;38264;12728
117;2017;57934;50334;9921;40413;7600;58759;51347;7412;-825;50565;37806;12759
118;2018;59751;52213;10153;42060;7538;61056;53340;7716;-1306;51555;39011;12543
119;2019;61350;54240;10508;43732;7110;63033;55348;7685;-1683;52578;40042;12536
120;2020;71295;63977;10687;53290;7318;68068;60073;7995;3227;52457;39692;12765
121;2021;69035;61693;11375;50318;7343;68682;60475;8207;353;53231;39253;13978
122;2022;75448;67730;11840;55890;7718;72910;64112;8798;2538;53079;39174;13905
123;2023;78854;72697;12781;59916;6157;79998;70727;9272;-1144;55871;38546;17325
