ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;TotaleOppervlakte_4;TotaalVerkeersterrein_5;Spoorterrein_6;Wegverkeersterrein_7;Vliegveld_8;TotaalBebouwdTerrein_9;Woonterrein_10;TerreinVoorDetailhandelEnHoreca_11;TerreinVoorOpenbareVoorzieningen_12;TerreinVoorSociaalCultureleVoorz_13;Bedrijventerrein_14;TotaalSemiBebouwdTerrein_15;Stortplaats_16;Wrakkenopslagplaats_17;Begraafplaats_18;Delfstofwinplaats_19;Bouwterrein_20;SemiVerhardOverigTerrein_21;TotaalRecreatieterrein_22;ParkEnPlantsoen_23;Sportterrein_24;Volkstuin_25;DagrecreatiefTerrein_26;VerblijfsrecreatiefTerrein_27;TotaalAgrarischTerrein_28;TerreinVoorGlastuinbouw_29;OverigAgrarischTerrein_30;TotaalBosEnOpenNatuurlijkTerrein_31;Bos_32;OpenDroogNatuurlijkTerrein_33;OpenNatNatuurlijkTerrein_34;TotaalBinnenwater_35;IJsselmeerMarkermeer_36;AfgeslotenZeearm_37;RijnEnMaas_38;Randmeer_39;Spaarbekken_40;RecreatiefBinnenwater_41;BinnenwaterVoorDelfstofwinning_42;VloeiEnOfSlibveld_43;OverigBinnenwater_44;TotaalBuitenwater_45;WaddenzeeEemsDollard_46;Oosterschelde_47;Westerschelde_48;Noordzee_49
13;Verspreide huizen Gasteren;Aa en Hunze                             ;Buurt     ;BU16800309;860;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;645;0;645;196;78;42;75;9;0;0;0;0;0;0;0;0;9;0;0;0;0;0
14;Wijk 04 Anderen;Aa en Hunze                             ;Wijk      ;WK168004  ;1106;23;0;23;0;9;9;0;0;0;0;13;0;0;11;0;3;0;12;0;2;0;0;10;811;0;811;236;92;7;137;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
15;Anderen;Aa en Hunze                             ;Buurt     ;BU16800400;43;2;0;2;0;8;8;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Verspreide huizen Anderen;Aa en Hunze                             ;Buurt     ;BU16800409;1063;21;0;21;0;1;1;0;0;0;0;13;0;0;11;0;3;0;10;0;0;0;0;10;780;0;780;236;92;7;137;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
17;Wijk 05 Schipborg;Aa en Hunze                             ;Wijk      ;WK168005  ;592;14;0;14;0;20;20;0;0;0;0;0;0;0;0;0;0;0;17;0;2;0;0;15;192;0;192;341;263;53;25;7;0;0;0;0;0;3;0;0;4;0;0;0;0;0
18;Schipborg;Aa en Hunze                             ;Buurt     ;BU16800500;97;6;0;6;0;20;20;0;0;0;0;0;0;0;0;0;0;0;7;0;2;0;0;4;39;0;39;25;15;5;4;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
19;Verspreide huizen Schipborg;Aa en Hunze                             ;Buurt     ;BU16800509;495;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;11;153;0;153;317;248;48;21;6;0;0;0;0;0;3;0;0;3;0;0;0;0;0
20;Wijk 06 Eexterveen;Aa en Hunze                             ;Wijk      ;WK168006  ;654;16;0;16;0;10;10;0;0;0;0;2;0;0;0;2;0;0;3;0;3;0;0;0;603;0;603;7;3;0;5;12;0;0;0;0;0;0;0;0;12;0;0;0;0;0
21;Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800600;127;8;0;8;0;10;10;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;105;0;105;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Verspreide huizen Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800609;527;9;0;9;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;498;0;498;6;2;0;5;12;0;0;0;0;0;0;0;0;12;0;0;0;0;0
23;Wijk 07 Spijkerboor;Aa en Hunze                             ;Wijk      ;WK168007  ;38;2;0;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;30;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
24;Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800700;23;1;0;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
25;Verspreide huizen Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800709;15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Wijk 08 Nieuw-Annerveen;Aa en Hunze                             ;Wijk      ;WK168008  ;367;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;357;0;357;2;2;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
27;Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800800;46;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Verspreide huizen Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800809;321;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314;0;314;2;2;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0
29;Wijk 09 Oud-Annerveen;Aa en Hunze                             ;Wijk      ;WK168009  ;203;5;0;5;0;0;0;0;0;0;0;7;0;0;0;7;0;0;0;0;0;0;0;0;168;0;168;18;4;0;14;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
30;Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800900;27;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;Verspreide huizen Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800909;176;3;0;3;0;0;0;0;0;0;0;7;0;0;0;7;0;0;0;0;0;0;0;0;143;0;143;18;4;0;14;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
32;Wijk 11 Annerveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168011  ;325;10;0;10;0;15;15;0;0;0;0;8;0;0;0;7;0;0;3;0;3;0;0;0;285;0;285;1;1;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0
33;Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801100;62;7;0;7;0;15;15;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;35;0;35;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0
34;Verspreide huizen Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801109;263;3;0;3;0;0;0;0;0;0;0;8;0;0;0;7;0;0;1;0;1;0;0;0;250;0;250;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
35;Wijk 12 Eexterveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168012  ;280;10;0;10;0;8;8;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;14;244;0;244;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0
36;Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801200;65;7;0;7;0;8;8;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6;40;0;40;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0
37;Verspreide huizen Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801209;216;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;9;204;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Wijk 13 Eexterzandvoort;Aa en Hunze                             ;Wijk      ;WK168013  ;665;15;0;15;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595;0;595;49;11;0;38;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
39;Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801300;74;4;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;Verspreide huizen Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801309;591;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;526;0;526;49;11;0;38;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
41;Wijk 14 Gasselte;Aa en Hunze                             ;Wijk      ;WK168014  ;2010;48;0;48;0;60;46;2;0;7;5;1;0;0;1;0;0;0;150;0;70;0;3;76;1041;0;1041;633;582;50;1;77;0;0;0;0;0;58;0;0;20;0;0;0;0;0
42;Gasselte;Aa en Hunze                             ;Buurt     ;BU16801400;334;12;0;12;0;53;46;2;0;0;5;1;0;0;1;0;0;0;37;0;14;0;0;23;164;0;164;67;50;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Kostvlies;Aa en Hunze                             ;Buurt     ;BU16801401;54;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;45;0;45;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;Verspreide huizen Gasselte;Aa en Hunze                             ;Buurt     ;BU16801409;1621;32;0;32;0;7;0;0;0;7;0;0;0;0;0;0;0;0;110;0;54;0;3;53;832;0;832;563;529;33;1;77;0;0;0;0;0;58;0;0;19;0;0;0;0;0
45;Wijk 15 Gasselternijveen;Aa en Hunze                             ;Wijk      ;WK168015  ;597;10;0;10;0;94;72;0;0;0;22;6;0;0;2;0;4;0;9;0;9;1;0;0;386;0;386;82;80;0;2;11;0;0;0;0;0;1;0;4;5;0;0;0;0;0
46;Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801500;199;8;0;8;0;88;72;0;0;0;16;6;0;0;2;0;4;0;9;0;9;1;0;0;59;0;59;27;27;0;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0
47;Gasselterboerveen;Aa en Hunze                             ;Buurt     ;BU16801501;37;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Verspreide huizen Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801509;362;0;0;0;0;6;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;292;0;292;55;53;0;2;8;0;0;0;0;0;0;0;4;4;0;0;0;0;0
49;Wijk 16 Gasselternijveenschemond;Aa en Hunze                             ;Wijk      ;WK168016  ;1167;22;0;22;0;49;28;0;0;0;20;2;0;0;0;2;0;0;1;0;0;0;0;1;873;0;873;216;216;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
50;Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801600;229;11;0;11;0;33;28;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;142;43;43;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
51;Gasselterboerveenschemond;Aa en Hunze                             ;Buurt     ;BU16801601;56;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;51;0;51;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
52;Verspr.h. Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801609;882;8;0;8;0;16;0;0;0;0;16;2;0;0;0;2;0;0;0;0;0;0;0;0;680;0;680;173;173;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0
53;Wijk 17 Gieten;Aa en Hunze                             ;Wijk      ;WK168017  ;2474;75;0;75;0;199;143;5;7;2;41;9;0;0;2;0;7;0;40;19;11;2;0;9;1717;0;1717;421;391;22;8;14;0;0;0;0;0;0;0;0;14;0;0;0;0;0
54;Gieten;Aa en Hunze                             ;Buurt     ;BU16801700;407;18;0;18;0;192;143;5;1;2;41;9;0;0;2;0;7;0;30;18;11;2;0;0;154;0;154;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;Verspreide huizen Gieten;Aa en Hunze                             ;Buurt     ;BU16801709;2068;57;0;57;0;7;0;0;6;0;1;0;0;0;0;0;0;0;9;1;0;0;0;9;1563;0;1563;418;387;22;8;14;0;0;0;0;0;0;0;0;14;0;0;0;0;0
56;Wijk 18 Gieterveen;Aa en Hunze                             ;Wijk      ;WK168018  ;1707;41;0;41;0;43;32;0;0;7;4;1;0;0;1;0;0;0;4;0;4;0;0;0;1588;0;1588;10;6;0;4;20;0;0;0;0;0;0;0;0;20;0;0;0;0;0
57;Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801800;67;3;0;3;0;26;23;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;35;0;35;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;Bonnerveen;Aa en Hunze                             ;Buurt     ;BU16801801;61;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;Nieuwediep;Aa en Hunze                             ;Buurt     ;BU16801802;106;8;0;8;0;12;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;84;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
60;Verspreide huizen Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801809;1473;27;0;27;0;5;0;0;0;4;1;0;0;0;0;0;0;0;4;0;4;0;0;0;1411;0;1411;8;4;0;4;18;0;0;0;0;0;0;0;0;18;0;0;0;0;0
61;Wijk 19 Rolde;Aa en Hunze                             ;Wijk      ;WK168019  ;3521;84;0;84;0;185;132;2;0;44;8;4;0;0;2;0;2;0;95;2;21;3;1;67;2328;0;2328;807;321;389;97;18;0;0;0;0;0;4;0;0;13;0;0;0;0;0
62;Rolde;Aa en Hunze                             ;Buurt     ;BU16801900;333;15;0;15;0;142;132;2;0;7;2;2;0;0;2;0;0;0;17;2;5;2;0;8;119;0;119;38;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;Ballo;Aa en Hunze                             ;Buurt     ;BU16801901;49;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;Nijlande;Aa en Hunze                             ;Buurt     ;BU16801902;23;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;Deurze;Aa en Hunze                             ;Buurt     ;BU16801903;50;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;43;0;43;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;Verspreide huizen Nooitgedacht;Aa en Hunze                             ;Buurt     ;BU16801908;932;15;0;15;0;37;0;0;0;37;0;2;0;0;0;0;2;0;59;0;0;0;1;58;723;0;723;84;81;4;0;11;0;0;0;0;0;4;0;0;7;0;0;0;0;0
67;Verspreide huizen Rolde;Aa en Hunze                             ;Buurt     ;BU16801909;2134;47;0;47;0;6;0;0;0;0;6;0;0;0;0;0;0;0;17;0;14;1;0;2;1377;0;1377;681;199;386;95;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0
68;Wijk 20 Grolloo;Aa en Hunze                             ;Wijk      ;WK168020  ;5226;74;0;74;0;55;34;2;2;17;0;7;0;0;1;5;0;0;100;0;9;0;3;89;2527;0;2527;2403;2051;211;141;60;0;0;0;0;0;6;25;0;29;0;0;0;0;0
69;Grolloo;Aa en Hunze                             ;Buurt     ;BU16802000;76;4;0;4;0;26;26;0;0;0;0;1;0;0;1;0;0;0;5;0;3;0;0;2;39;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;Schoonloo;Aa en Hunze                             ;Buurt     ;BU16802001;72;4;0;4;0;10;8;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;38;0;38;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;Verspreide huizen Papenvoort;Aa en Hunze                             ;Buurt     ;BU16802008;598;9;0;9;0;10;0;0;0;10;0;0;0;0;0;0;0;0;21;0;2;0;0;19;329;0;329;227;203;6;18;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0
72;Verspreide huizen Grolloo;Aa en Hunze                             ;Buurt     ;BU16802009;4480;56;0;56;0;9;0;0;2;7;0;5;0;0;0;5;0;0;70;0;2;0;3;66;2122;0;2122;2160;1831;206;123;58;0;0;0;0;0;5;25;0;28;0;0;0;0;0
73;Wijk 21 Ekehaar;Aa en Hunze                             ;Wijk      ;WK168021  ;1959;42;0;42;0;13;10;1;0;0;2;1;0;0;0;1;0;0;21;0;2;0;2;16;1506;0;1506;371;281;78;12;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0
74;Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802100;37;2;0;2;0;12;10;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;23;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;Amen;Aa en Hunze                             ;Buurt     ;BU16802101;47;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;Verspreide huizen Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802109;1875;37;0;37;0;1;0;1;0;0;0;1;0;0;0;1;0;0;20;0;1;0;2;16;1440;0;1440;371;281;78;12;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0
77;Aalburg;Aalburg                                 ;Gemeente  ;GM0738    ;5317;148;0;148;0;387;274;6;9;4;94;34;0;0;4;0;24;5;39;4;23;3;7;3;4275;1;4274;150;128;0;22;283;0;0;101;0;0;2;0;0;180;0;0;0;0;0
78;Wijk 00 Wijk en Aalburg;Aalburg                                 ;Wijk      ;WK073800  ;1301;43;0;43;0;158;115;6;2;4;30;3;0;0;2;0;2;0;14;0;9;2;0;2;1011;0;1011;6;6;0;0;66;0;0;6;0;0;0;0;0;60;0;0;0;0;0
79;Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380000;247;8;0;8;0;124;102;3;0;4;15;0;0;0;0;0;0;0;13;0;9;2;0;2;80;0;80;0;0;0;0;22;0;0;0;0;0;0;0;0;22;0;0;0;0;0
80;Spijk;Aalburg                                 ;Buurt     ;BU07380001;285;9;0;9;0;18;13;1;0;0;3;2;0;0;0;0;2;0;0;0;0;0;0;0;226;0;226;0;0;0;0;30;0;0;0;0;0;0;0;0;30;0;0;0;0;0
81;Verspreide huizen Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380009;768;26;0;26;0;16;1;1;2;0;12;1;0;0;1;0;0;0;0;0;0;0;0;0;705;0;705;6;6;0;0;14;0;0;6;0;0;0;0;0;8;0;0;0;0;0
82;Wijk 01 Veen;Aalburg                                 ;Wijk      ;WK073801  ;543;15;0;15;0;105;62;0;0;0;43;19;0;0;1;0;18;0;14;1;5;0;7;0;306;0;306;0;0;0;0;84;0;0;0;0;0;2;0;0;81;0;0;0;0;0
83;Veen;Aalburg                                 ;Buurt     ;BU07380100;226;5;0;5;0;79;62;0;0;0;17;11;0;0;1;0;10;0;8;1;0;0;6;0;43;0;43;0;0;0;0;80;0;0;0;0;0;0;0;0;80;0;0;0;0;0
84;Verspreide huizen Veen;Aalburg                                 ;Buurt     ;BU07380109;317;10;0;10;0;26;0;0;0;0;26;8;0;0;0;0;8;0;6;0;5;0;2;0;263;0;263;0;0;0;0;4;0;0;0;0;0;2;0;0;1;0;0;0;0;0
85;Wijk 02 Genderen;Aalburg                                 ;Wijk      ;WK073802  ;670;23;0;23;0;57;41;0;4;0;12;2;0;0;0;0;1;1;3;0;3;0;0;0;547;1;546;15;15;0;0;23;0;0;20;0;0;0;0;0;3;0;0;0;0;0
86;Genderen;Aalburg                                 ;Buurt     ;BU07380200;153;6;0;6;0;50;41;0;0;0;9;1;0;0;0;0;1;0;0;0;0;0;0;0;96;1;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;Verspreide huizen Genderen;Aalburg                                 ;Buurt     ;BU07380209;517;17;0;17;0;7;0;0;4;0;3;1;0;0;0;0;0;1;3;0;3;0;0;0;451;0;451;15;15;0;0;23;0;0;20;0;0;0;0;0;3;0;0;0;0;0
88;Wijk 03 Eethen;Aalburg                                 ;Wijk      ;WK073803  ;783;22;0;22;0;28;24;0;1;0;3;2;0;0;1;0;0;1;6;0;6;0;0;0;710;0;710;0;0;0;0;14;0;0;9;0;0;0;0;0;5;0;0;0;0;0
89;Eethen;Aalburg                                 ;Buurt     ;BU07380300;38;4;0;4;0;23;20;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;Verspreide huizen Eethen;Aalburg                                 ;Buurt     ;BU07380309;745;18;0;18;0;6;3;0;1;0;1;2;0;0;1;0;0;1;6;0;6;0;0;0;699;0;699;0;0;0;0;14;0;0;9;0;0;0;0;0;5;0;0;0;0;0
91;Wijk 04 Meeuwen;Aalburg                                 ;Wijk      ;WK073804  ;600;16;0;16;0;19;14;0;0;0;5;1;0;0;0;0;0;1;2;2;0;0;0;0;536;0;536;3;3;0;0;22;0;0;17;0;0;0;0;0;6;0;0;0;0;0
92;Meeuwen;Aalburg                                 ;Buurt     ;BU07380400;50;2;0;2;0;17;14;0;0;0;3;0;0;0;0;0;0;0;2;1;0;0;0;0;29;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;Verspreide huizen Meeuwen;Aalburg                                 ;Buurt     ;BU07380409;550;14;0;14;0;3;0;0;0;0;2;1;0;0;0;0;0;1;1;1;0;0;0;0;507;0;507;3;3;0;0;22;0;0;17;0;0;0;0;0;6;0;0;0;0;0
94;Wijk 05 Drongelen;Aalburg                                 ;Wijk      ;WK073805  ;604;14;0;14;0;9;8;0;1;0;0;7;0;0;0;0;4;3;0;0;0;0;0;0;508;0;508;0;0;0;0;67;0;0;49;0;0;0;0;0;18;0;0;0;0;0
