ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6;EmployedPersons_7;Jobs_8;EmployedPersonsSeasonalAdjusted_9;JobsSeasonalAdjusted_10
102;Total;A-U All economic activities;2015 3rd quarter;8831.0;8792.0;9944.0;9911.0;3040.0;3191.0;100.0;150.0;31.0;35.0
103;Total;A-U All economic activities;2015 4th quarter;8833.0;8824.0;9950.0;9951.0;3384.0;3216.0;78.0;104.0;32.0;40.0
104;Total;A-U All economic activities;2015;8776.0;;9891.0;;12624.0;;70.0;108.0;;
105;Total;A-U All economic activities;2016 1st quarter;8773.0;8838.0;9897.0;9964.0;3244.0;3225.0;120.0;152.0;14.0;13.0
106;Total;A-U All economic activities;2016 2nd quarter;8907.0;8886.0;10060.0;10016.0;3181.0;3257.0;123.0;137.0;47.0;52.0
107;Total;A-U All economic activities;2016 3rd quarter;8954.0;8929.0;10073.0;10058.0;3083.0;3237.0;123.0;129.0;44.0;43.0
108;Total;A-U All economic activities;2016 4th quarter;8999.0;8978.0;10129.0;10113.0;3420.0;3285.0;167.0;180.0;49.0;55.0
109;Total;A-U All economic activities;2016;8909.0;;10040.0;;12928.0;;133.0;149.0;;
110;Total;A-U All economic activities;2017 1st quarter;8957.0;9028.0;10093.0;10173.0;3376.0;3293.0;185.0;196.0;50.0;60.0
111;Total;A-U All economic activities;2017 2nd quarter;9113.0;9084.0;10290.0;10237.0;3239.0;3342.0;205.0;229.0;56.0;64.0
112;Total;A-U All economic activities;2017 3rd quarter;9173.0;9146.0;10323.0;10311.0;3164.0;3352.0;219.0;249.0;62.0;74.0
113;Total;A-U All economic activities;2017 4th quarter;9217.0;9208.0;10394.0;10383.0;3449.0;3353.0;218.0;265.0;62.0;72.0
114;Total;A-U All economic activities;2017;9116.0;;10276.0;;13228.0;;207.0;236.0;;
115;Total;A-U All economic activities;2018 1st quarter;9215.0;9277.0;10387.0;10460.0;3439.0;3387.0;258.0;294.0;68.0;77.0
116;Total;A-U All economic activities;2018 2nd quarter;9349.0;9337.0;10551.0;10522.0;3298.0;3400.0;237.0;262.0;60.0;62.0
117;Total;A-U All economic activities;2018 3rd quarter;9431.0;9396.0;10615.0;10586.0;3256.0;3447.0;257.0;292.0;59.0;63.0
118;Total;A-U All economic activities;2018 4th quarter;9447.0;9454.0;10635.0;10641.0;3590.0;3465.0;230.0;241.0;58.0;55.0
119;Total;A-U All economic activities;2018;9361.0;;10548.0;;13583.0;;246.0;272.0;;
120;Total;A-U All economic activities;2019 1st quarter;9463.0;9509.0;10638.0;10700.0;3521.0;3497.0;247.0;250.0;55.0;59.0
121;Total;A-U All economic activities;2019 2nd quarter;9580.0;9552.0;10780.0;10735.0;3428.0;3496.0;231.0;229.0;43.0;35.0
122;Total;A-U All economic activities;2019 3rd quarter;9588.0;9584.0;10769.0;10770.0;3343.0;3505.0;158.0;154.0;32.0;35.0
123;Total;A-U All economic activities;2019 4th quarter;9658.0;9616.0;10866.0;10814.0;3651.0;3531.0;210.0;231.0;33.0;44.0
124;Total;A-U All economic activities;2019;9573.0;;10764.0;;13944.0;;211.0;216.0;;
125;Total;A-U All economic activities;2020 1st quarter;9558.0;9622.0;10728.0;10812.0;3410.0;3357.0;95.0;90.0;5.0;-2.0
126;Total;A-U All economic activities;2020 2nd quarter;9436.0;9411.0;10554.0;10501.0;3236.0;3364.0;-144.0;-227.0;-210.0;-311.0
127;Total;A-U All economic activities;2020 3rd quarter;9549.0;9543.0;10673.0;10673.0;3131.0;3373.0;-40.0;-96.0;132.0;171.0
128;Total;A-U All economic activities;2020 4th quarter;9554.0;9541.0;10688.0;10668.0;3577.0;3394.0;-104.0;-178.0;-2.0;-4.0
129;Total;A-U All economic activities;2020;9524.0;;10661.0;;13354.0;;-49.0;-103.0;;
130;Total;A-U All economic activities;2021 1st quarter;9469.0;9520.0;10617.0;10679.0;3537.0;3478.0;-89.0;-111.0;-21.0;11.0
131;Total;A-U All economic activities;2021 2nd quarter;9660.0;9633.0;10875.0;10823.0;3470.0;3541.0;224.0;322.0;113.0;144.0
132;Total;A-U All economic activities;2021 3rd quarter;9768.0;9774.0;10983.0;10993.0;3224.0;3464.0;219.0;311.0;141.0;170.0
133;Total;A-U All economic activities;2021 4th quarter;9860.0;9835.0;11086.0;11060.0;3744.0;3520.0;307.0;398.0;61.0;66.0
134;Total;A-U All economic activities;2021;9690.0;;10892.0;;13975.0;;166.0;231.0;;
135;Total;A-U All economic activities;2022 1st quarter;9911.0;9948.0;11121.0;11177.0;3677.0;3587.0;442.0;504.0;113.0;118.0
136;Total;A-U All economic activities;2022 2nd quarter;10060.0;10038.0;11330.0;11288.0;3534.0;3614.0;400.0;454.0;90.0;110.0
137;Total;A-U All economic activities;2022 3rd quarter;10099.0;10108.0;11364.0;11370.0;3468.0;3706.0;331.0;381.0;70.0;82.0
138;Total;A-U All economic activities;2022 4th quarter;10204.0;10171.0;11479.0;11443.0;3848.0;3691.0;344.0;393.0;63.0;73.0
139;Total;A-U All economic activities;2022;10069.0;;11325.0;;14526.0;;379.0;433.0;;
140;Total;A-U All economic activities;2023 1st quarter;10155.0;10201.0;11414.0;11482.0;3808.0;3686.0;244.0;293.0;30.0;39.0
141;Total;A-U All economic activities;2023 2nd quarter;10235.0;10210.0;11541.0;11502.0;3602.0;3692.0;176.0;212.0;9.0;20.0
142;Total;A-U All economic activities;2023 3rd quarter;10231.0;10242.0;11533.0;11541.0;3478.0;3737.0;132.0;169.0;31.0;39.0
143;Total;A-U All economic activities;2023 4th quarter;10310.0;10277.0;11618.0;11578.0;3834.0;3716.0;106.0;140.0;36.0;37.0
144;Total;A-U All economic activities;2023;10233.0;;11527.0;;14723.0;;164.0;203.0;;
145;Total;A-U All economic activities;2024 1st quarter;10280.0;10314.0;11538.0;11612.0;3808.0;3725.0;125.0;124.0;37.0;34.0
146;Total;A-U All economic activities;2024 2nd quarter;10352.0;10327.0;11683.0;11633.0;3679.0;3739.0;117.0;142.0;13.0;21.0
147;Total;A-U All economic activities;2024 3rd quarter;10325.0;10340.0;11644.0;11655.0;3519.0;3739.0;94.0;111.0;13.0;22.0
148;Total;A-U All economic activities;2024 4th quarter;10397.0;10376.0;11714.0;11695.0;3894.0;3739.0;87.0;95.0;36.0;41.0
149;Total;A-U All economic activities;2024;10339.0;;11645.0;;14902.0;;106.0;118.0;;
150;Total;A Agriculture, forestry and fishing;1995 1st quarter;223.0;234.0;279.0;291.0;103.0;108.0;;;;
151;Total;A Agriculture, forestry and fishing;1995 2nd quarter;238.0;234.0;296.0;291.0;109.0;108.0;;;-1.0;0.0
152;Total;A Agriculture, forestry and fishing;1995 3rd quarter;246.0;233.0;306.0;292.0;116.0;109.0;;;0.0;0.0
153;Total;A Agriculture, forestry and fishing;1995 4th quarter;229.0;234.0;287.0;293.0;108.0;111.0;;;1.0;1.0
154;Total;A Agriculture, forestry and fishing;1995;234.0;;292.0;;436.0;;;;;
155;Total;A Agriculture, forestry and fishing;1996 1st quarter;224.0;235.0;281.0;295.0;105.0;110.0;1.0;3.0;1.0;1.0
156;Total;A Agriculture, forestry and fishing;1996 2nd quarter;241.0;237.0;302.0;297.0;112.0;111.0;4.0;6.0;2.0;2.0
157;Total;A Agriculture, forestry and fishing;1996 3rd quarter;251.0;238.0;312.0;297.0;119.0;112.0;5.0;6.0;0.0;0.0
158;Total;A Agriculture, forestry and fishing;1996 4th quarter;233.0;238.0;291.0;297.0;110.0;113.0;4.0;4.0;0.0;0.0
159;Total;A Agriculture, forestry and fishing;1996;237.0;;297.0;;446.0;;3.0;5.0;;
160;Total;A Agriculture, forestry and fishing;1997 1st quarter;228.0;241.0;285.0;299.0;105.0;111.0;5.0;3.0;3.0;2.0
161;Total;A Agriculture, forestry and fishing;1997 2nd quarter;245.0;241.0;303.0;299.0;113.0;112.0;4.0;1.0;1.0;0.0
162;Total;A Agriculture, forestry and fishing;1997 3rd quarter;255.0;241.0;314.0;298.0;118.0;112.0;4.0;2.0;0.0;-1.0
163;Total;A Agriculture, forestry and fishing;1997 4th quarter;235.0;239.0;292.0;297.0;108.0;111.0;3.0;1.0;-2.0;-1.0
164;Total;A Agriculture, forestry and fishing;1997;241.0;;298.0;;446.0;;4.0;2.0;;
165;Total;A Agriculture, forestry and fishing;1998 1st quarter;220.0;233.0;276.0;291.0;98.0;102.0;-9.0;-8.0;-7.0;-6.0
166;Total;A Agriculture, forestry and fishing;1998 2nd quarter;235.0;231.0;294.0;290.0;103.0;102.0;-11.0;-9.0;-1.0;-1.0
167;Total;A Agriculture, forestry and fishing;1998 3rd quarter;245.0;231.0;305.0;290.0;109.0;102.0;-10.0;-8.0;0.0;0.0
168;Total;A Agriculture, forestry and fishing;1998 4th quarter;228.0;232.0;286.0;291.0;100.0;103.0;-8.0;-6.0;1.0;1.0
169;Total;A Agriculture, forestry and fishing;1998;232.0;;290.0;;409.0;;-9.0;-8.0;;
170;Total;A Agriculture, forestry and fishing;1999 1st quarter;221.0;233.0;279.0;293.0;104.0;109.0;1.0;2.0;1.0;2.0
171;Total;A Agriculture, forestry and fishing;1999 2nd quarter;236.0;233.0;296.0;293.0;110.0;109.0;1.0;2.0;0.0;0.0
172;Total;A Agriculture, forestry and fishing;1999 3rd quarter;247.0;233.0;309.0;293.0;117.0;110.0;2.0;4.0;0.0;0.0
173;Total;A Agriculture, forestry and fishing;1999 4th quarter;230.0;235.0;290.0;295.0;109.0;112.0;3.0;4.0;1.0;2.0
174;Total;A Agriculture, forestry and fishing;1999;234.0;;294.0;;440.0;;2.0;3.0;;
175;Total;A Agriculture, forestry and fishing;2000 1st quarter;221.0;233.0;278.0;292.0;114.0;119.0;0.0;-1.0;-2.0;-3.0
176;Total;A Agriculture, forestry and fishing;2000 2nd quarter;235.0;233.0;295.0;292.0;120.0;119.0;0.0;-1.0;0.0;0.0
177;Total;A Agriculture, forestry and fishing;2000 3rd quarter;246.0;233.0;307.0;291.0;125.0;119.0;-1.0;-2.0;0.0;-1.0
178;Total;A Agriculture, forestry and fishing;2000 4th quarter;228.0;232.0;286.0;291.0;114.0;118.0;-2.0;-4.0;0.0;0.0
179;Total;A Agriculture, forestry and fishing;2000;233.0;;292.0;;473.0;;-1.0;-2.0;;
180;Total;A Agriculture, forestry and fishing;2001 1st quarter;226.0;240.0;277.0;292.0;110.0;115.0;5.0;-1.0;7.0;2.0
181;Total;A Agriculture, forestry and fishing;2001 2nd quarter;239.0;236.0;291.0;288.0;114.0;113.0;3.0;-4.0;-3.0;-4.0
182;Total;A Agriculture, forestry and fishing;2001 3rd quarter;251.0;236.0;305.0;288.0;120.0;114.0;5.0;-3.0;0.0;-1.0
183;Total;A Agriculture, forestry and fishing;2001 4th quarter;230.0;235.0;281.0;286.0;111.0;114.0;2.0;-5.0;-1.0;-1.0
184;Total;A Agriculture, forestry and fishing;2001;237.0;;289.0;;455.0;;4.0;-3.0;;
185;Total;A Agriculture, forestry and fishing;2002 1st quarter;223.0;235.0;272.0;286.0;108.0;114.0;-3.0;-5.0;0.0;0.0
186;Total;A Agriculture, forestry and fishing;2002 2nd quarter;234.0;235.0;285.0;287.0;111.0;110.0;-5.0;-6.0;0.0;0.0
187;Total;A Agriculture, forestry and fishing;2002 3rd quarter;255.0;235.0;309.0;287.0;124.0;117.0;4.0;4.0;0.0;0.0
188;Total;A Agriculture, forestry and fishing;2002 4th quarter;230.0;236.0;281.0;287.0;111.0;112.0;0.0;0.0;1.0;0.0
189;Total;A Agriculture, forestry and fishing;2002;236.0;;287.0;;452.0;;-1.0;-2.0;;
190;Total;A Agriculture, forestry and fishing;2003 1st quarter;224.0;235.0;271.0;285.0;105.0;111.0;1.0;-1.0;-1.0;-2.0
191;Total;A Agriculture, forestry and fishing;2003 2nd quarter;236.0;233.0;285.0;283.0;109.0;108.0;2.0;0.0;-2.0;-2.0
192;Total;A Agriculture, forestry and fishing;2003 3rd quarter;243.0;228.0;294.0;278.0;110.0;105.0;-13.0;-15.0;-5.0;-5.0
193;Total;A Agriculture, forestry and fishing;2003 4th quarter;219.0;223.0;268.0;272.0;103.0;103.0;-11.0;-13.0;-5.0;-6.0
194;Total;A Agriculture, forestry and fishing;2003;230.0;;280.0;;426.0;;-5.0;-7.0;;
195;Total;A Agriculture, forestry and fishing;2004 1st quarter;206.0;224.0;254.0;274.0;98.0;103.0;-18.0;-17.0;1.0;2.0
196;Total;A Agriculture, forestry and fishing;2004 2nd quarter;230.0;224.0;279.0;274.0;108.0;107.0;-6.0;-6.0;1.0;0.0
197;Total;A Agriculture, forestry and fishing;2004 3rd quarter;239.0;225.0;290.0;275.0;111.0;107.0;-4.0;-4.0;1.0;1.0
198;Total;A Agriculture, forestry and fishing;2004 4th quarter;220.0;223.0;271.0;273.0;107.0;107.0;1.0;2.0;-2.0;-2.0
199;Total;A Agriculture, forestry and fishing;2004;224.0;;274.0;;424.0;;-7.0;-6.0;;
200;Total;A Agriculture, forestry and fishing;2005 1st quarter;206.0;221.0;254.0;270.0;99.0;105.0;0.0;-1.0;-3.0;-3.0
201;Total;A Agriculture, forestry and fishing;2005 2nd quarter;224.0;219.0;272.0;268.0;108.0;106.0;-6.0;-7.0;-1.0;-2.0
202;Total;A Agriculture, forestry and fishing;2005 3rd quarter;229.0;217.0;279.0;265.0;106.0;103.0;-10.0;-12.0;-3.0;-3.0
203;Total;A Agriculture, forestry and fishing;2005 4th quarter;214.0;216.0;263.0;264.0;105.0;105.0;-6.0;-8.0;0.0;-1.0
204;Total;A Agriculture, forestry and fishing;2005;218.0;;267.0;;418.0;;-5.0;-7.0;;
205;Total;A Agriculture, forestry and fishing;2006 1st quarter;201.0;214.0;246.0;261.0;98.0;102.0;-5.0;-8.0;-3.0;-3.0
206;Total;A Agriculture, forestry and fishing;2006 2nd quarter;212.0;212.0;259.0;258.0;101.0;99.0;-11.0;-13.0;-2.0;-3.0
207;Total;A Agriculture, forestry and fishing;2006 3rd quarter;231.0;216.0;279.0;263.0;106.0;103.0;2.0;0.0;5.0;5.0
