ID;SBI93;Bestemming;Perioden;Omzetontwikkeling_1;Aandeel_2
166;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 3e kwartaal;6;95
167;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 oktober;5;96
168;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 november;5;96
169;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 december;9;96
170;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997 4e kwartaal;6;95
171;1500d Industrie (geen soc. werkplaatsen);Binnenland;1997;7;94
172;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 januari;7;94
173;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 februari;9;94
174;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 maart;11;94
175;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 1e kwartaal;9;93
176;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 april;1;94
177;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 mei;2;94
178;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 juni;3;94
179;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 2e kwartaal;2;94
180;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 juli;8;94
181;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 augustus;-5;94
182;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 september;0;94
183;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 3e kwartaal;1;94
184;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 oktober;-4;94
185;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 november;-2;94
186;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 december;-2;94
187;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998 4e kwartaal;-3;94
188;1500d Industrie (geen soc. werkplaatsen);Binnenland;1998;2;93
189;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 januari;-8;97
190;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 februari;-8;97
191;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 maart;3;97
192;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 1e kwartaal;-4;96
193;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 april;-3;96
194;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 mei;-4;96
195;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 juni;7;96
196;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 2e kwartaal;0;96
197;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 juli;-2;96
198;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 augustus;8;95
199;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 september;5;96
200;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 3e kwartaal;4;95
201;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 oktober;3;96
202;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 november;13;95
203;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 december;22;95
204;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999 4e kwartaal;13;95
205;1500d Industrie (geen soc. werkplaatsen);Binnenland;1999;3;94
206;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 januari;8;96
207;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 februari;21;96
208;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 maart;10;97
209;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 1e kwartaal;13;96
210;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 april;5;97
211;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 mei;24;97
212;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 juni;0;97
213;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 2e kwartaal;10;97
214;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 juli;4;97
215;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 augustus;20;97
216;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 september;8;97
217;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 3e kwartaal;10;97
218;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 oktober;12;97
219;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 november;11;97
220;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 december;-2;97
221;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000 4e kwartaal;7;97
222;1500d Industrie (geen soc. werkplaatsen);Binnenland;2000;10;94
223;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 januari;11;97
224;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 februari;3;97
225;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 maart;-1;97
226;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 1e kwartaal;4;97
227;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 april;5;97
228;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 mei;1;97
229;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 juni;3;97
230;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 2e kwartaal;3;97
231;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 juli;2;97
232;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 augustus;-1;97
233;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 september;-9;97
234;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 3e kwartaal;-3;97
235;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 oktober;-1;97
236;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 november;-8;97
237;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 december;-10;97
238;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001 4e kwartaal;-6;96
239;1500d Industrie (geen soc. werkplaatsen);Binnenland;2001;0;95
240;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 januari;-4;96
241;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 februari;-8;96
242;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 maart;-4;96
243;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 1e kwartaal;-5;96
244;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 april;-1;96
245;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 mei;-5;96
246;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 juni;-5;95
247;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 2e kwartaal;-3;95
248;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 juli;0;95
249;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 augustus;-5;95
250;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 september;4;95
251;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 3e kwartaal;0;95
252;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 oktober;0;94
253;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 november;-1;94
254;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 december;2;93
255;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002 4e kwartaal;0;93
256;1500d Industrie (geen soc. werkplaatsen);Binnenland;2002;-2;94
257;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 januari;3;92
258;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 februari;3;92
259;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 maart;-2;91
260;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 1e kwartaal;1;91
261;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 april;1;92
262;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 mei;-5;90
263;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 juni;-1;90
264;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 2e kwartaal;-2;90
265;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 juli;-3;90
266;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 augustus;-7;90
267;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 september;-1;90
268;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 3e kwartaal;-4;90
269;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 oktober;-1;91
270;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 november;-5;91
271;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 december;4;91
272;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003 4e kwartaal;-1;91
273;1500d Industrie (geen soc. werkplaatsen);Binnenland;2003;-1;88
274;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 januari;-4;93
275;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 februari;-1;93
276;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 maart;9;91
277;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 1e kwartaal;1;91
278;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 april;3;91
279;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 mei;-1;91
280;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 juni;10;92
281;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 2e kwartaal;4;90
282;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 juli;7;92
283;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 augustus;5;92
284;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 september;5;93
285;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 3e kwartaal;6;92
286;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 oktober;-2;93
287;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 november;12;93
288;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 december;8;92
289;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004 4e kwartaal;6;92
290;1500d Industrie (geen soc. werkplaatsen);Binnenland;2004;4;88
291;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 januari;3;94
292;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 februari;2;93
293;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 maart;1;94
294;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 1e kwartaal;2;93
295;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 april;5;95
296;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 mei;8;96
297;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 juni;7;96
298;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 2e kwartaal;7;95
299;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 juli;2;96
300;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 augustus;13;96
301;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 september;7;96
302;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 3e kwartaal;8;95
303;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 oktober;7;95
304;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 november;6;95
305;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 december;7;95
306;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005 4e kwartaal;7;95
307;1500d Industrie (geen soc. werkplaatsen);Binnenland;2005;6;90
308;1500d Industrie (geen soc. werkplaatsen);Binnenland;2006 januari;10;96
309;1500d Industrie (geen soc. werkplaatsen);Binnenland;2006 februari;10;94
310;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 januari;6;97
311;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 februari;6;97
312;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 maart;5;96
313;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 1e kwartaal;6;97
314;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 april;13;97
315;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 mei;7;97
316;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 juni;16;97
317;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 2e kwartaal;12;97
318;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 juli;16;96
319;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 augustus;10;96
320;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 september;16;97
321;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 3e kwartaal;14;96
322;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 oktober;16;96
323;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 november;11;96
324;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 december;21;96
325;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997 4e kwartaal;16;96
326;1500d Industrie (geen soc. werkplaatsen);Buitenland;1997;12;95
327;1500d Industrie (geen soc. werkplaatsen);Buitenland;1998 januari;8;96
328;1500d Industrie (geen soc. werkplaatsen);Buitenland;1998 februari;8;96
329;1500d Industrie (geen soc. werkplaatsen);Buitenland;1998 maart;14;96
330;1500d Industrie (geen soc. werkplaatsen);Buitenland;1998 1e kwartaal;10;96
331;1500d Industrie (geen soc. werkplaatsen);Buitenland;1998 april;7;96
332;1500d Industrie (geen soc. werkplaatsen);Buitenland;1998 mei;2;96
333;1500d Industrie (geen soc. werkplaatsen);Buitenland;1998 juni;2;97
334;1500d Industrie (geen soc. werkplaatsen);Buitenland;1998 2e kwartaal;3;96
