ID;Perioden;TotaalAlleOverledenen_1;TotaalNieuwvormingen_2;KwaadaardigeNvVanLuchtpijpEnLong_3;KwaadaardigeNieuwvormingVanBorst_4;OverigeNieuwvormingen_5;PsychischeStoornisEnZktnZenuwstel_6;TotaalZiektenVanHartEnVaatstelsel_7;AcuutHartinfarct_8;Hersenvaatletsels_9;OverigeZiektenVanHartEnVaatstelsel_10;ZiektenVanDeAdemhalingsorganen_11;OverigeDoodsoorzaken_12
25;2001 1e kwartaal;36789;9826;2217;891;6718;2229;12676;3149;3150;6377;4017;8041
26;2001 2e kwartaal;35036;9709;2178;876;6655;2301;12088;2945;3024;6119;3241;7697
27;2001 3e kwartaal;33004;9617;2110;828;6679;2100;10614;2616;2728;5270;2901;7772
28;2001 4e kwartaal;35548;9861;2243;880;6738;2119;12265;3187;2988;6090;3219;8084
29;2001;140377;39013;8748;3475;26790;8749;47643;11897;11890;23856;13378;31594
30;2002 1e kwartaal;38485;9890;2146;880;6864;2599;13080;3106;3342;6632;4448;8468
31;2002 2e kwartaal;34675;9889;2260;856;6773;2406;11682;2838;2947;5897;3200;7498
32;2002 3e kwartaal;33081;9837;2214;855;6768;2440;10782;2473;2823;5486;2615;7407
33;2002 4e kwartaal;36114;10061;2300;914;6847;2523;12448;3064;3110;6274;3248;7834
34;2002;142355;39677;8920;3505;27252;9968;47992;11481;12222;24289;13511;31207
35;2003 1e kwartaal;37524;9810;2190;828;6792;2658;12915;3160;3087;6668;4175;7966
36;2003 2e kwartaal;34600;9935;2141;884;6910;2466;11420;2752;2856;5812;3330;7449
37;2003 3e kwartaal;33795;9991;2309;830;6852;2592;10675;2460;2750;5465;2954;7583
38;2003 4e kwartaal;36017;10131;2222;849;7060;2522;11932;2925;2776;6231;3783;7649
39;2003;141936;39867;8862;3391;27614;10238;46942;11297;11469;24176;14242;30647
40;2004 1e kwartaal;37009;10133;2388;824;6921;2585;12363;2879;2931;6553;4205;7723
41;2004 2e kwartaal;32877;9959;2243;851;6865;2404;10820;2493;2637;5690;2836;6858
42;2004 3e kwartaal;32505;10122;2333;832;6957;2521;10138;2167;2608;5363;2682;7042
43;2004 4e kwartaal;34162;10086;2359;826;6901;2451;11317;2473;2814;6030;3032;7276
44;2004;136553;40300;9323;3333;27644;9961;44638;10012;10990;23636;12755;28899
45;2005 1e kwartaal;38591;10206;2402;862;6942;2839;12462;2802;2926;6734;5354;7730
46;2005 2e kwartaal;33550;10169;2340;844;6985;2365;10548;2277;2518;5753;3509;6959
47;2005 3e kwartaal;30753;9974;2307;811;6856;2282;9354;1951;2366;5037;2404;6739
48;2005 4e kwartaal;33508;10024;2365;805;6854;2505;10986;2472;2516;5998;3048;6945
49;2005;136402;40373;9414;3322;27637;9991;43350;9502;10326;23522;14315;28373
50;2006 1e kwartaal;36327;10050;2309;816;6925;2748;11721;2455;2678;6588;4254;7554
51;2006 2e kwartaal;33230;10095;2324;840;6931;2710;10130;2095;2495;5540;3364;6931
52;2006 3e kwartaal;32971;10101;2400;852;6849;2974;9538;1985;2306;5247;3037;7321
53;2006 4e kwartaal;32844;10317;2393;842;7082;2394;10331;2232;2403;5696;3076;6726
54;2006;135372;40563;9426;3350;27787;10826;41720;8767;9882;23071;13731;28532
55;2007 1e kwartaal;35124;10238;2460;817;6961;2538;11114;2286;2540;6288;4115;7119
56;2007 2e kwartaal;32243;9981;2346;763;6872;2581;9772;1909;2300;5563;3293;6616
57;2007 3e kwartaal;30840;10105;2397;772;6936;2499;9077;1851;2134;5092;2578;6581
58;2007 4e kwartaal;34815;10570;2570;847;7153;2666;10886;2118;2445;6323;3550;7143
59;2007;133022;40894;9773;3199;27922;10284;40849;8164;9419;23266;13536;27459
60;2008 1e kwartaal;36308;10696;2560;840;7296;2998;11040;2210;2469;6361;4125;7449
61;2008 2e kwartaal;33138;10259;2410;793;7056;2849;9830;1850;2363;5617;3318;6882
62;2008 3e kwartaal;31425;10380;2372;881;7127;2668;8918;1707;2105;5106;2767;6692
63;2008 4e kwartaal;34265;10539;2576;843;7120;2825;10341;2025;2248;6068;3579;6981
64;2008;135136;41874;9918;3357;28599;11340;40129;7792;9185;23152;13789;28004
65;2009 1e kwartaal;37612;10623;2504;809;7310;3177;11126;2095;2509;6522;5138;7548
66;2009 2e kwartaal;31846;10364;2430;763;7171;2728;9160;1633;2114;5413;3074;6520
67;2009 3e kwartaal;31065;10505;2446;842;7217;2801;8687;1605;2091;4991;2523;6549
68;2009 4e kwartaal;33712;10904;2580;789;7535;2860;9924;1771;2269;5884;3227;6797
69;2009;134235;42396;9960;3203;29233;11566;38897;7104;8983;22810;13962;27414
70;2010 1e kwartaal;36031;10885;2507;848;7530;3175;10689;1897;2481;6311;3962;7320
71;2010 2e kwartaal;32909;10682;2534;762;7386;2901;9328;1556;2074;5698;2970;7028
72;2010 3e kwartaal;32204;10815;2564;795;7456;3061;8729;1496;2021;5212;2773;6826
73;2010 4e kwartaal;34914;11134;2609;840;7685;3184;10263;1874;2263;6126;3311;7022
74;2010;136058;43516;10214;3245;30057;12321;39009;6823;8839;23347;13016;28196
75;2011 1e kwartaal;34888;10778;2546;843;7389;3137;10152;1777;2180;6195;3715;7106
76;2011 2e kwartaal;33242;10843;2625;787;7431;3034;9221;1519;2091;5611;3422;6722
77;2011 3e kwartaal;32316;11088;2616;826;7646;3168;8733;1483;1969;5281;2715;6612
78;2011 4e kwartaal;35295;11329;2757;827;7745;3329;10026;1688;2200;6138;3465;7146
79;2011;135741;44038;10544;3283;30211;12668;38132;6467;8440;23225;13317;27586
80;2012 1e kwartaal;37800;11144;2708;785;7651;3770;10636;1735;2346;6555;4584;7666
81;2012 2e kwartaal;34540;11135;2555;789;7791;3292;9473;1507;2096;5870;3577;7063
82;2012 3e kwartaal;32614;10923;2470;798;7655;3466;8468;1333;1931;5204;2653;7104
83;2012 4e kwartaal;35859;11459;2589;858;8012;3643;9794;1620;2099;6075;3663;7300
84;2012;140813;44661;10322;3230;31109;14171;38371;6195;8472;23704;14477;29133
85;2013 1e kwartaal;39866;11194;2586;854;7754;4957;11230;1719;2634;6877;4601;7884
86;2013 2e kwartaal;34609;10854;2562;775;7517;4197;9318;1346;2320;5652;2959;7281
87;2013 3e kwartaal;32375;10988;2532;783;7673;3955;8406;1214;2073;5119;2144;6882
88;2013 4e kwartaal;34395;11120;2597;770;7753;4079;9509;1411;2373;5725;2565;7122
89;2013;141245;44156;10277;3182;30697;17188;38463;5690;9400;23373;12269;29169
90;2014 1e kwartaal;35348;10975;2511;730;7734;4161;9963;1422;2415;6126;2993;7256
91;2014 2e kwartaal;33221;10744;2455;715;7574;3995;8918;1256;2207;5455;2493;7071
92;2014 3e kwartaal;33892;11520;2711;785;8024;4335;8670;1156;2232;5282;2201;7166
93;2014 4e kwartaal;36762;11569;2680;815;8074;4551;10311;1474;2482;6355;2767;7564
94;2014;139223;44808;10357;3045;31406;17042;37862;5308;9336;23218;10454;29057
95;2015 1e kwartaal;41811;11464;2633;795;8036;5525;11458;1572;2663;7223;4868;8496
96;2015 2e kwartaal;35144;11224;2571;850;7803;4400;9532;1307;2359;5866;2789;7199
97;2015 3e kwartaal;34014;11544;2614;840;8090;4409;8638;1179;2229;5230;2251;7172
98;2015 4e kwartaal;36165;11558;2614;817;8127;4675;9751;1350;2384;6017;2773;7408
99;2015;147134;45790;10432;3302;32056;19009;39379;5408;9635;24336;12681;30275
100;2016 1e kwartaal;40393;11916;2711;813;8392;5448;10767;1410;2581;6776;4026;8236
101;2016 2e kwartaal;35688;11515;2631;802;8082;4799;9330;1229;2391;5710;2695;7349
102;2016 3e kwartaal;34384;11605;2579;757;8269;4732;8593;1153;2160;5280;2230;7224
103;2016 4e kwartaal;38532;11940;2770;803;8367;5370;9957;1283;2375;6299;3033;8232
104;2016;148997;46976;10691;3175;33110;20349;38647;5075;9507;24065;11984;31041
105;2017 1e kwartaal;42493;11658;2623;788;8247;6094;10985;1386;2585;7014;5073;8683
106;2017 2e kwartaal;35528;11504;2554;779;8171;4839;9064;1178;2225;5661;2695;7426
107;2017 3e kwartaal;34318;11716;2599;756;8361;4756;8278;1111;2044;5123;2192;7376
108;2017 4e kwartaal;37875;11678;2620;810;8248;5339;9826;1272;2345;6209;3005;8027
109;2017;150214;46556;10396;3133;33027;21028;38153;4947;9199;24007;12965;31512
110;2018 1e kwartaal;45643;12037;2711;841;8485;6849;11275;1496;2649;7130;6150;9332
111;2018 2e kwartaal;35215;11393;2481;755;8157;4774;8737;1128;2141;5468;2789;7522
112;2018 3e kwartaal;35005;11428;2510;758;8160;5277;8231;1130;2079;5022;2260;7809
113;2018 4e kwartaal;37500;11799;2672;734;8393;5090;9552;1371;2335;5846;2845;8214
114;2018;153363;46657;10374;3088;33195;21990;37795;5125;9204;23466;14044;32877
115;2019 1e kwartaal;40513;11867;2669;780;8418;5832;10043;1283;2466;6294;4175;8596
116;2019 2e kwartaal;36702;11529;2452;746;8331;5186;9001;1154;2226;5621;2961;8025
117;2019 3e kwartaal;35354;11691;2563;736;8392;5134;8505;1160;2196;5149;2269;7755
118;2019 4e kwartaal;39316;11903;2549;815;8539;5399;9992;1318;2421;6253;3219;8803
119;2019;151885;46990;10233;3077;33680;21551;37541;4915;9309;23317;12624;33179
120;2020 1e kwartaal;43243;12077;2627;811;8639;5679;10262;1350;2462;6450;3963;11262
121;2020 2e kwartaal;42995;11396;2317;746;8333;4716;8603;1087;2117;5399;2238;16042
122;2020 3e kwartaal;36100;11846;2561;771;8514;4910;8313;1065;2074;5174;2110;8921
123;2020 4e kwartaal;46340;11770;2575;755;8440;4764;9444;1216;2197;6031;2192;18170
124;2020;168678;47089;10080;3083;33926;20069;36622;4718;8850;23054;10503;54395
125;2021 1e kwartaal;45046;11309;2405;753;8151;4559;9503;1294;2243;5966;2216;17459
126;2021 2e kwartaal;38862;11726;2524;776;8426;4746;8942;1166;2128;5648;2248;11200
127;2021 3e kwartaal;38085;11899;2539;799;8561;5114;8689;1082;2128;5479;2482;9901
128;2021 4e kwartaal;48979;12173;2627;799;8747;5631;10312;1267;2466;6579;3173;17690
129;2021;170972;47107;10095;3127;33885;20050;37446;4809;8965;23672;10119;56250
130;2022 1e kwartaal;43123;11688;2456;787;8445;5132;10024;1293;2367;6364;2954;13325
131;2022 2e kwartaal;41102;11629;2484;756;8389;5319;9626;1150;2231;6245;3503;11025
132;2022 3e kwartaal;39792;12002;2574;801;8627;5568;8631;1071;2143;5417;2489;11102
133;2022 4e kwartaal;46095;12273;2638;803;8832;6157;10762;1473;2468;6821;4015;12888
134;2022;170112;47592;10152;3147;34293;22176;39043;4987;9209;24847;12961;48340
135;2023 1e kwartaal;46676;11888;2533;774;8581;6231;10935;1378;2539;7018;4661;12961
136;2023 2e kwartaal;39602;11495;2421;740;8334;5474;9273;1175;2175;5923;3019;10341
137;2023 3e kwartaal;38183;11890;2434;779;8677;5454;8390;1062;2094;5234;2502;9947
138;2023 4e kwartaal;45060;12116;2539;810;8767;6453;10208;1346;2458;6404;3868;12415
139;2023;169521;47389;9927;3103;34359;23612;38806;4961;9266;24579;14050;45664
140;2024 1e kwartaal;47278;11978;2429;777;8772;6774;10751;1354;2613;6784;5338;12437
141;2024 2e kwartaal;41236;11768;2421;775;8572;5606;9261;1192;2233;5836;3567;11034
142;2024 3e kwartaal;39089;11344;2311;746;8287;5744;7933;995;2007;4931;2669;11399
