ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalLeviesInMillionOfEuros_1;MunicipalLeviesInEuroInhabitant_2
45;Total municipal tax;Fryslân (PV);2020;375.0;577.0
46;Total municipal tax;Fryslân (PV);2021;404.0;621.0
47;Total municipal tax;Fryslân (PV);2022;391.0;598.0
48;Total municipal tax;Fryslân (PV);2023;403.0;611.0
49;Total municipal tax;Drenthe (PV);2017;245.0;498.0
50;Total municipal tax;Drenthe (PV);2018;248.0;505.0
51;Total municipal tax;Drenthe (PV);2019;250.0;508.0
52;Total municipal tax;Drenthe (PV);2020;255.0;516.0
53;Total municipal tax;Drenthe (PV);2021;271.0;547.0
54;Total municipal tax;Drenthe (PV);2022;284.0;571.0
55;Total municipal tax;Drenthe (PV);2023;294.0;586.0
56;Total municipal tax;Overijssel (PV);2017;594.0;517.0
57;Total municipal tax;Overijssel (PV);2018;609.0;529.0
58;Total municipal tax;Overijssel (PV);2019;626.0;541.0
59;Total municipal tax;Overijssel (PV);2020;646.0;556.0
60;Total municipal tax;Overijssel (PV);2021;683.0;585.0
61;Total municipal tax;Overijssel (PV);2022;711.0;606.0
62;Total municipal tax;Overijssel (PV);2023;745.0;629.0
63;Total municipal tax;Flevoland (PV);2017;223.0;546.0
64;Total municipal tax;Flevoland (PV);2018;226.0;550.0
65;Total municipal tax;Flevoland (PV);2019;234.0;562.0
66;Total municipal tax;Flevoland (PV);2020;239.0;565.0
67;Total municipal tax;Flevoland (PV);2021;251.0;587.0
68;Total municipal tax;Flevoland (PV);2022;271.0;624.0
69;Total municipal tax;Flevoland (PV);2023;295.0;663.0
70;Total municipal tax;Gelderland (PV);2017;1106.0;540.0
71;Total municipal tax;Gelderland (PV);2018;1112.0;540.0
72;Total municipal tax;Gelderland (PV);2019;1126.0;543.0
73;Total municipal tax;Gelderland (PV);2020;1168.0;560.0
74;Total municipal tax;Gelderland (PV);2021;1241.0;592.0
75;Total municipal tax;Gelderland (PV);2022;1219.0;577.0
76;Total municipal tax;Gelderland (PV);2023;1271.0;596.0
77;Total municipal tax;Utrecht (PV);2017;702.0;546.0
78;Total municipal tax;Utrecht (PV);2018;714.0;551.0
79;Total municipal tax;Utrecht (PV);2019;764.0;569.0
80;Total municipal tax;Utrecht (PV);2020;795.0;587.0
81;Total municipal tax;Utrecht (PV);2021;854.0;628.0
82;Total municipal tax;Utrecht (PV);2022;906.0;661.0
83;Total municipal tax;Utrecht (PV);2023;1000.0;720.0
84;Total municipal tax;Noord-Holland (PV);2017;1955.0;696.0
85;Total municipal tax;Noord-Holland (PV);2018;2009.0;710.0
86;Total municipal tax;Noord-Holland (PV);2019;2134.0;748.0
87;Total municipal tax;Noord-Holland (PV);2020;2035.0;707.0
88;Total municipal tax;Noord-Holland (PV);2021;2199.0;761.0
89;Total municipal tax;Noord-Holland (PV);2022;2379.0;818.0
90;Total municipal tax;Noord-Holland (PV);2023;2694.0;911.0
91;Total municipal tax;Zuid-Holland (PV);2017;2255.0;618.0
92;Total municipal tax;Zuid-Holland (PV);2018;2300.0;625.0
93;Total municipal tax;Zuid-Holland (PV);2019;2348.0;639.0
94;Total municipal tax;Zuid-Holland (PV);2020;2454.0;662.0
95;Total municipal tax;Zuid-Holland (PV);2021;2588.0;695.0
96;Total municipal tax;Zuid-Holland (PV);2022;2661.0;709.0
97;Total municipal tax;Zuid-Holland (PV);2023;2930.0;770.0
98;Total municipal tax;Zeeland (PV);2017;273.0;715.0
99;Total municipal tax;Zeeland (PV);2018;283.0;739.0
100;Total municipal tax;Zeeland (PV);2019;292.0;762.0
101;Total municipal tax;Zeeland (PV);2020;290.0;755.0
102;Total municipal tax;Zeeland (PV);2021;317.0;822.0
103;Total municipal tax;Zeeland (PV);2022;330.0;853.0
104;Total municipal tax;Zeeland (PV);2023;342.0;875.0
105;Total municipal tax;Noord-Brabant (PV);2017;1248.0;497.0
106;Total municipal tax;Noord-Brabant (PV);2018;1281.0;506.0
107;Total municipal tax;Noord-Brabant (PV);2019;1331.0;523.0
108;Total municipal tax;Noord-Brabant (PV);2020;1367.0;533.0
109;Total municipal tax;Noord-Brabant (PV);2021;1441.0;560.0
110;Total municipal tax;Noord-Brabant (PV);2022;1500.0;578.0
111;Total municipal tax;Noord-Brabant (PV);2023;1573.0;599.0
112;Total municipal tax;Limburg (PV);2017;619.0;554.0
113;Total municipal tax;Limburg (PV);2018;640.0;572.0
114;Total municipal tax;Limburg (PV);2019;662.0;593.0
115;Total municipal tax;Limburg (PV);2020;669.0;599.0
116;Total municipal tax;Limburg (PV);2021;710.0;636.0
117;Total municipal tax;Limburg (PV);2022;752.0;673.0
118;Total municipal tax;Limburg (PV);2023;767.0;680.0
119;Total municipal tax;Oost-Groningen (CR);2017;72.0;491.0
120;Total municipal tax;Oost-Groningen (CR);2018;67.0;500.0
121;Total municipal tax;Oost-Groningen (CR);2019;68.0;502.0
122;Total municipal tax;Oost-Groningen (CR);2020;72.0;533.0
123;Total municipal tax;Oost-Groningen (CR);2021;78.0;574.0
124;Total municipal tax;Oost-Groningen (CR);2022;82.0;597.0
125;Total municipal tax;Oost-Groningen (CR);2023;86.0;625.0
126;Total municipal tax;Delfzijl en omgeving (CR);2017;32.0;681.0
127;Total municipal tax;Delfzijl en omgeving (CR);2018;31.0;658.0
128;Total municipal tax;Delfzijl en omgeving (CR);2019;32.0;692.0
129;Total municipal tax;Delfzijl en omgeving (CR);2020;34.0;732.0
130;Total municipal tax;Delfzijl en omgeving (CR);2021;33.0;730.0
131;Total municipal tax;Delfzijl en omgeving (CR);2022;34.0;742.0
132;Total municipal tax;Delfzijl en omgeving (CR);2023;38.0;834.0
133;Total municipal tax;Overig Groningen (CR);2017;241.0;620.0
134;Total municipal tax;Overig Groningen (CR);2018;260.0;646.0
135;Total municipal tax;Overig Groningen (CR);2019;268.0;664.0
136;Total municipal tax;Overig Groningen (CR);2020;289.0;713.0
137;Total municipal tax;Overig Groningen (CR);2021;304.0;750.0
138;Total municipal tax;Overig Groningen (CR);2022;321.0;787.0
139;Total municipal tax;Overig Groningen (CR);2023;343.0;830.0
140;Total municipal tax;Noord-Friesland (CR);2017;185.0;570.0
141;Total municipal tax;Noord-Friesland (CR);2018;180.0;564.0
142;Total municipal tax;Noord-Friesland (CR);2019;189.0;593.0
143;Total municipal tax;Noord-Friesland (CR);2020;188.0;586.0
144;Total municipal tax;Noord-Friesland (CR);2021;205.0;637.0
145;Total municipal tax;Noord-Friesland (CR);2022;204.0;630.0
146;Total municipal tax;Noord-Friesland (CR);2023;209.0;639.0
147;Total municipal tax;Zuidwest-Friesland (CR);2017;72.0;528.0
148;Total municipal tax;Zuidwest-Friesland (CR);2018;85.0;603.0
149;Total municipal tax;Zuidwest-Friesland (CR);2019;81.0;576.0
150;Total municipal tax;Zuidwest-Friesland (CR);2020;81.0;569.0
151;Total municipal tax;Zuidwest-Friesland (CR);2021;87.0;616.0
152;Total municipal tax;Zuidwest-Friesland (CR);2022;84.0;590.0
153;Total municipal tax;Zuidwest-Friesland (CR);2023;86.0;600.0
154;Total municipal tax;Zuidoost-Friesland (CR);2017;100.0;535.0
155;Total municipal tax;Zuidoost-Friesland (CR);2018;108.0;577.0
156;Total municipal tax;Zuidoost-Friesland (CR);2019;104.0;555.0
157;Total municipal tax;Zuidoost-Friesland (CR);2020;107.0;569.0
158;Total municipal tax;Zuidoost-Friesland (CR);2021;112.0;595.0
159;Total municipal tax;Zuidoost-Friesland (CR);2022;103.0;548.0
160;Total municipal tax;Zuidoost-Friesland (CR);2023;109.0;571.0
161;Total municipal tax;Noord-Drenthe (CR);2017;92.0;476.0
162;Total municipal tax;Noord-Drenthe (CR);2018;94.0;489.0
163;Total municipal tax;Noord-Drenthe (CR);2019;92.0;483.0
164;Total municipal tax;Noord-Drenthe (CR);2020;94.0;489.0
165;Total municipal tax;Noord-Drenthe (CR);2021;98.0;510.0
166;Total municipal tax;Noord-Drenthe (CR);2022;105.0;542.0
167;Total municipal tax;Noord-Drenthe (CR);2023;111.0;568.0
168;Total municipal tax;Zuidoost-Drenthe (CR);2017;90.0;534.0
169;Total municipal tax;Zuidoost-Drenthe (CR);2018;91.0;541.0
170;Total municipal tax;Zuidoost-Drenthe (CR);2019;92.0;547.0
171;Total municipal tax;Zuidoost-Drenthe (CR);2020;93.0;553.0
172;Total municipal tax;Zuidoost-Drenthe (CR);2021;98.0;583.0
173;Total municipal tax;Zuidoost-Drenthe (CR);2022;102.0;602.0
174;Total municipal tax;Zuidoost-Drenthe (CR);2023;104.0;608.0
175;Total municipal tax;Zuidwest-Drenthe (CR);2017;63.0;481.0
176;Total municipal tax;Zuidwest-Drenthe (CR);2018;64.0;481.0
177;Total municipal tax;Zuidwest-Drenthe (CR);2019;65.0;493.0
178;Total municipal tax;Zuidwest-Drenthe (CR);2020;67.0;505.0
179;Total municipal tax;Zuidwest-Drenthe (CR);2021;74.0;554.0
180;Total municipal tax;Zuidwest-Drenthe (CR);2022;77.0;573.0
181;Total municipal tax;Zuidwest-Drenthe (CR);2023;80.0;583.0
182;Total municipal tax;Noord-Overijssel (CR);2017;185.0;505.0
183;Total municipal tax;Noord-Overijssel (CR);2018;193.0;524.0
184;Total municipal tax;Noord-Overijssel (CR);2019;199.0;536.0
185;Total municipal tax;Noord-Overijssel (CR);2020;207.0;551.0
186;Total municipal tax;Noord-Overijssel (CR);2021;219.0;581.0
187;Total municipal tax;Noord-Overijssel (CR);2022;228.0;600.0
188;Total municipal tax;Noord-Overijssel (CR);2023;241.0;625.0
189;Total municipal tax;Zuidwest-Overijssel (CR);2017;78.0;506.0
190;Total municipal tax;Zuidwest-Overijssel (CR);2018;80.0;519.0
191;Total municipal tax;Zuidwest-Overijssel (CR);2019;82.0;524.0
192;Total municipal tax;Zuidwest-Overijssel (CR);2020;85.0;541.0
193;Total municipal tax;Zuidwest-Overijssel (CR);2021;91.0;578.0
194;Total municipal tax;Zuidwest-Overijssel (CR);2022;93.0;590.0
195;Total municipal tax;Zuidwest-Overijssel (CR);2023;96.0;600.0
196;Total municipal tax;Twente (CR);2017;330.0;527.0
197;Total municipal tax;Twente (CR);2018;336.0;535.0
198;Total municipal tax;Twente (CR);2019;345.0;548.0
199;Total municipal tax;Twente (CR);2020;355.0;563.0
200;Total municipal tax;Twente (CR);2021;373.0;590.0
201;Total municipal tax;Twente (CR);2022;389.0;614.0
202;Total municipal tax;Twente (CR);2023;408.0;638.0
203;Total municipal tax;Veluwe (CR);2017;371.0;548.0
204;Total municipal tax;Veluwe (CR);2018;375.0;549.0
205;Total municipal tax;Veluwe (CR);2019;379.0;550.0
206;Total municipal tax;Veluwe (CR);2020;399.0;574.0
207;Total municipal tax;Veluwe (CR);2021;421.0;601.0
208;Total municipal tax;Veluwe (CR);2022;401.0;567.0
209;Total municipal tax;Veluwe (CR);2023;416.0;581.0
210;Total municipal tax;Achterhoek (CR);2017;186.0;464.0
211;Total municipal tax;Achterhoek (CR);2018;189.0;471.0
212;Total municipal tax;Achterhoek (CR);2019;193.0;482.0
213;Total municipal tax;Achterhoek (CR);2020;201.0;501.0
214;Total municipal tax;Achterhoek (CR);2021;219.0;544.0
215;Total municipal tax;Achterhoek (CR);2022;216.0;536.0
216;Total municipal tax;Achterhoek (CR);2023;220.0;542.0
217;Total municipal tax;Arnhem/Nijmegen (CR);2017;414.0;567.0
218;Total municipal tax;Arnhem/Nijmegen (CR);2018;426.0;580.0
219;Total municipal tax;Arnhem/Nijmegen (CR);2019;432.0;585.0
220;Total municipal tax;Arnhem/Nijmegen (CR);2020;442.0;595.0
221;Total municipal tax;Arnhem/Nijmegen (CR);2021;463.0;622.0
222;Total municipal tax;Arnhem/Nijmegen (CR);2022;472.0;631.0
223;Total municipal tax;Arnhem/Nijmegen (CR);2023;505.0;667.0
224;Total municipal tax;Zuidwest-Gelderland (CR);2017;135.0;564.0
225;Total municipal tax;Zuidwest-Gelderland (CR);2018;121.0;502.0
226;Total municipal tax;Zuidwest-Gelderland (CR);2019;122.0;500.0
227;Total municipal tax;Zuidwest-Gelderland (CR);2020;126.0;511.0
228;Total municipal tax;Zuidwest-Gelderland (CR);2021;137.0;553.0
229;Total municipal tax;Zuidwest-Gelderland (CR);2022;129.0;515.0
230;Total municipal tax;Zuidwest-Gelderland (CR);2023;130.0;512.0
231;Total municipal tax;Utrecht (CR);2017;702.0;546.0
232;Total municipal tax;Utrecht (CR);2018;714.0;551.0
233;Total municipal tax;Utrecht (CR);2019;764.0;569.0
234;Total municipal tax;Utrecht (CR);2020;795.0;587.0
235;Total municipal tax;Utrecht (CR);2021;854.0;628.0
236;Total municipal tax;Utrecht (CR);2022;906.0;661.0
237;Total municipal tax;Utrecht (CR);2023;1000.0;720.0
238;Total municipal tax;Kop van Noord-Holland (CR);2017;191.0;512.0
239;Total municipal tax;Kop van Noord-Holland (CR);2018;196.0;524.0
240;Total municipal tax;Kop van Noord-Holland (CR);2019;201.0;536.0
241;Total municipal tax;Kop van Noord-Holland (CR);2020;203.0;536.0
242;Total municipal tax;Kop van Noord-Holland (CR);2021;217.0;573.0
243;Total municipal tax;Kop van Noord-Holland (CR);2022;230.0;604.0
244;Total municipal tax;Kop van Noord-Holland (CR);2023;248.0;644.0
245;Total municipal tax;Alkmaar en omgeving (CR);2017;142.0;582.0
246;Total municipal tax;Alkmaar en omgeving (CR);2018;143.0;584.0
247;Total municipal tax;Alkmaar en omgeving (CR);2019;143.0;579.0
248;Total municipal tax;Alkmaar en omgeving (CR);2020;145.0;582.0
249;Total municipal tax;Alkmaar en omgeving (CR);2021;157.0;626.0
250;Total municipal tax;Alkmaar en omgeving (CR);2022;154.0;611.0
251;Total municipal tax;Alkmaar en omgeving (CR);2023;163.0;639.0
252;Total municipal tax;IJmond (CR);2017;100.0;509.0
253;Total municipal tax;IJmond (CR);2018;101.0;513.0
254;Total municipal tax;IJmond (CR);2019;101.0;511.0
255;Total municipal tax;IJmond (CR);2020;106.0;531.0
256;Total municipal tax;IJmond (CR);2021;110.0;551.0
257;Total municipal tax;IJmond (CR);2022;109.0;546.0
258;Total municipal tax;IJmond (CR);2023;112.0;559.0
259;Total municipal tax;Agglomeratie Haarlem (CR);2017;165.0;715.0
260;Total municipal tax;Agglomeratie Haarlem (CR);2018;172.0;738.0
261;Total municipal tax;Agglomeratie Haarlem (CR);2019;178.0;777.0
262;Total municipal tax;Agglomeratie Haarlem (CR);2020;171.0;741.0
263;Total municipal tax;Agglomeratie Haarlem (CR);2021;182.0;790.0
264;Total municipal tax;Agglomeratie Haarlem (CR);2022;185.0;801.0
265;Total municipal tax;Agglomeratie Haarlem (CR);2023;205.0;872.0
266;Total municipal tax;Zaanstreek (CR);2017;97.0;570.0
267;Total municipal tax;Zaanstreek (CR);2018;98.0;574.0
268;Total municipal tax;Zaanstreek (CR);2019;101.0;584.0
269;Total municipal tax;Zaanstreek (CR);2020;101.0;583.0
270;Total municipal tax;Zaanstreek (CR);2021;107.0;617.0
271;Total municipal tax;Zaanstreek (CR);2022;112.0;643.0
272;Total municipal tax;Zaanstreek (CR);2023;113.0;640.0
273;Total municipal tax;Groot-Amsterdam (CR);2017;1127.0;838.0
274;Total municipal tax;Groot-Amsterdam (CR);2018;1161.0;855.0
275;Total municipal tax;Groot-Amsterdam (CR);2019;1266.0;920.0
276;Total municipal tax;Groot-Amsterdam (CR);2020;1163.0;835.0
277;Total municipal tax;Groot-Amsterdam (CR);2021;1270.0;910.0
278;Total municipal tax;Groot-Amsterdam (CR);2022;1443.0;1008.0
279;Total municipal tax;Groot-Amsterdam (CR);2023;1701.0;1165.0
280;Total municipal tax;Het Gooi en Vechtstreek (CR);2017;133.0;532.0
281;Total municipal tax;Het Gooi en Vechtstreek (CR);2018;138.0;545.0
282;Total municipal tax;Het Gooi en Vechtstreek (CR);2019;144.0;565.0
283;Total municipal tax;Het Gooi en Vechtstreek (CR);2020;146.0;569.0
284;Total municipal tax;Het Gooi en Vechtstreek (CR);2021;156.0;602.0
285;Total municipal tax;Het Gooi en Vechtstreek (CR);2022;146.0;608.0
286;Total municipal tax;Het Gooi en Vechtstreek (CR);2023;152.0;624.0
287;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2017;267.0;634.0
288;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2018;274.0;646.0
289;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2019;285.0;668.0
290;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2020;300.0;698.0
291;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2021;309.0;715.0
292;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2022;314.0;723.0
293;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2023;333.0;755.0
294;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2017;483.0;566.0
295;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2018;493.0;571.0
296;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2019;503.0;577.0
297;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2020;524.0;593.0
298;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2021;562.0;633.0
299;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2022;578.0;645.0
300;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2023;669.0;735.0
301;Total municipal tax;Delft en Westland (CR);2017;132.0;582.0
302;Total municipal tax;Delft en Westland (CR);2018;135.0;587.0
303;Total municipal tax;Delft en Westland (CR);2019;136.0;587.0
304;Total municipal tax;Delft en Westland (CR);2020;147.0;631.0
305;Total municipal tax;Delft en Westland (CR);2021;157.0;672.0
306;Total municipal tax;Delft en Westland (CR);2022;162.0;683.0
307;Total municipal tax;Delft en Westland (CR);2023;169.0;702.0
308;Total municipal tax;Oost-Zuid-Holland (CR);2017;184.0;567.0
309;Total municipal tax;Oost-Zuid-Holland (CR);2018;189.0;576.0
310;Total municipal tax;Oost-Zuid-Holland (CR);2019;191.0;576.0
311;Total municipal tax;Oost-Zuid-Holland (CR);2020;202.0;602.0
312;Total municipal tax;Oost-Zuid-Holland (CR);2021;208.0;616.0
313;Total municipal tax;Oost-Zuid-Holland (CR);2022;212.0;623.0
314;Total municipal tax;Oost-Zuid-Holland (CR);2023;225.0;651.0
315;Total municipal tax;Groot-Rijnmond (CR);2017;966.0;679.0
316;Total municipal tax;Groot-Rijnmond (CR);2018;981.0;686.0
317;Total municipal tax;Groot-Rijnmond (CR);2019;1020.0;707.0
318;Total municipal tax;Groot-Rijnmond (CR);2020;1067.0;734.0
319;Total municipal tax;Groot-Rijnmond (CR);2021;1126.0;770.0
320;Total municipal tax;Groot-Rijnmond (CR);2022;1171.0;796.0
321;Total municipal tax;Groot-Rijnmond (CR);2023;1298.0;872.0
322;Total municipal tax;Zuidoost-Zuid-Holland (CR);2017;223.0;554.0
323;Total municipal tax;Zuidoost-Zuid-Holland (CR);2018;228.0;564.0
324;Total municipal tax;Zuidoost-Zuid-Holland (CR);2019;213.0;576.0
325;Total municipal tax;Zuidoost-Zuid-Holland (CR);2020;214.0;575.0
326;Total municipal tax;Zuidoost-Zuid-Holland (CR);2021;226.0;607.0
327;Total municipal tax;Zuidoost-Zuid-Holland (CR);2022;224.0;598.0
328;Total municipal tax;Zuidoost-Zuid-Holland (CR);2023;237.0;623.0
329;Total municipal tax;Zeeuwsch-Vlaanderen (CR);2017;75.0;714.0
330;Total municipal tax;Zeeuwsch-Vlaanderen (CR);2018;78.0;738.0
331;Total municipal tax;Zeeuwsch-Vlaanderen (CR);2019;79.0;748.0
332;Total municipal tax;Zeeuwsch-Vlaanderen (CR);2020;78.0;741.0
333;Total municipal tax;Zeeuwsch-Vlaanderen (CR);2021;83.0;788.0
334;Total municipal tax;Zeeuwsch-Vlaanderen (CR);2022;89.0;851.0
335;Total municipal tax;Zeeuwsch-Vlaanderen (CR);2023;95.0;896.0
336;Total municipal tax;Overig Zeeland (CR);2017;198.0;716.0
337;Total municipal tax;Overig Zeeland (CR);2018;205.0;740.0
338;Total municipal tax;Overig Zeeland (CR);2019;213.0;768.0
339;Total municipal tax;Overig Zeeland (CR);2020;212.0;760.0
340;Total municipal tax;Overig Zeeland (CR);2021;234.0;834.0
341;Total municipal tax;Overig Zeeland (CR);2022;240.0;854.0
342;Total municipal tax;Overig Zeeland (CR);2023;247.0;867.0
343;Total municipal tax;West-Noord-Brabant (CR);2017;328.0;523.0
344;Total municipal tax;West-Noord-Brabant (CR);2018;335.0;531.0
345;Total municipal tax;West-Noord-Brabant (CR);2019;342.0;540.0
346;Total municipal tax;West-Noord-Brabant (CR);2020;353.0;556.0
347;Total municipal tax;West-Noord-Brabant (CR);2021;378.0;593.0
348;Total municipal tax;West-Noord-Brabant (CR);2022;386.0;603.0
349;Total municipal tax;West-Noord-Brabant (CR);2023;403.0;624.0
350;Total municipal tax;Midden-Noord-Brabant (CR);2017;228.0;483.0
351;Total municipal tax;Midden-Noord-Brabant (CR);2018;229.0;481.0
352;Total municipal tax;Midden-Noord-Brabant (CR);2019;239.0;498.0
353;Total municipal tax;Midden-Noord-Brabant (CR);2020;248.0;514.0
354;Total municipal tax;Midden-Noord-Brabant (CR);2021;260.0;528.0
355;Total municipal tax;Midden-Noord-Brabant (CR);2022;263.0;529.0
356;Total municipal tax;Midden-Noord-Brabant (CR);2023;287.0;569.0
357;Total municipal tax;Noordoost-Noord-Brabant (CR);2017;318.0;488.0
358;Total municipal tax;Noordoost-Noord-Brabant (CR);2018;323.0;493.0
359;Total municipal tax;Noordoost-Noord-Brabant (CR);2019;337.0;511.0
360;Total municipal tax;Noordoost-Noord-Brabant (CR);2020;343.0;517.0
361;Total municipal tax;Noordoost-Noord-Brabant (CR);2021;358.0;544.0
362;Total municipal tax;Noordoost-Noord-Brabant (CR);2022;375.0;564.0
363;Total municipal tax;Noordoost-Noord-Brabant (CR);2023;391.0;581.0
364;Total municipal tax;Zuidoost-Noord-Brabant (CR);2017;374.0;491.0
365;Total municipal tax;Zuidoost-Noord-Brabant (CR);2018;394.0;514.0
366;Total municipal tax;Zuidoost-Noord-Brabant (CR);2019;413.0;535.0
367;Total municipal tax;Zuidoost-Noord-Brabant (CR);2020;422.0;541.0
368;Total municipal tax;Zuidoost-Noord-Brabant (CR);2021;445.0;567.0
369;Total municipal tax;Zuidoost-Noord-Brabant (CR);2022;476.0;601.0
370;Total municipal tax;Zuidoost-Noord-Brabant (CR);2023;492.0;613.0
371;Total municipal tax;Noord-Limburg (CR);2017;151.0;537.0
372;Total municipal tax;Noord-Limburg (CR);2018;155.0;550.0
373;Total municipal tax;Noord-Limburg (CR);2019;157.0;558.0
374;Total municipal tax;Noord-Limburg (CR);2020;161.0;570.0
375;Total municipal tax;Noord-Limburg (CR);2021;172.0;606.0
376;Total municipal tax;Noord-Limburg (CR);2022;182.0;637.0
377;Total municipal tax;Noord-Limburg (CR);2023;186.0;642.0
378;Total municipal tax;Midden-Limburg (CR);2017;114.0;485.0
379;Total municipal tax;Midden-Limburg (CR);2018;120.0;506.0
380;Total municipal tax;Midden-Limburg (CR);2019;120.0;508.0
381;Total municipal tax;Midden-Limburg (CR);2020;122.0;516.0
382;Total municipal tax;Midden-Limburg (CR);2021;131.0;549.0
383;Total municipal tax;Midden-Limburg (CR);2022;136.0;569.0
384;Total municipal tax;Midden-Limburg (CR);2023;141.0;584.0
385;Total municipal tax;Zuid-Limburg (CR);2017;353.0;589.0
386;Total municipal tax;Zuid-Limburg (CR);2018;365.0;609.0
387;Total municipal tax;Zuid-Limburg (CR);2019;384.0;644.0
388;Total municipal tax;Zuid-Limburg (CR);2020;385.0;645.0
389;Total municipal tax;Zuid-Limburg (CR);2021;407.0;685.0
390;Total municipal tax;Zuid-Limburg (CR);2022;435.0;732.0
391;Total municipal tax;Zuid-Limburg (CR);2023;441.0;737.0
392;Total municipal tax;Flevoland (CR);2017;223.0;546.0
393;Total municipal tax;Flevoland (CR);2018;226.0;550.0
394;Total municipal tax;Flevoland (CR);2019;234.0;562.0
395;Total municipal tax;Flevoland (CR);2020;239.0;565.0
396;Total municipal tax;Flevoland (CR);2021;251.0;587.0
397;Total municipal tax;Flevoland (CR);2022;271.0;624.0
398;Total municipal tax;Flevoland (CR);2023;295.0;663.0
399;Total municipal tax;Fewer than 5,000 inhabitants;2017;21.0;1771.0
400;Total municipal tax;Fewer than 5,000 inhabitants;2018;23.0;1855.0
401;Total municipal tax;Fewer than 5,000 inhabitants;2019;23.0;1902.0
402;Total municipal tax;Fewer than 5,000 inhabitants;2020;23.0;1837.0
403;Total municipal tax;Fewer than 5,000 inhabitants;2021;26.0;2045.0
404;Total municipal tax;Fewer than 5,000 inhabitants;2022;27.0;2128.0
