ID;Perioden;Hoeveelheid_1;Vetgehalte_2;Eiwitgehalte_3;Boter_4;Fabriekskaas_5;MelkpoederTotaal_6;NietMagerMelkpoeder_7;MagerMelkpoeder_8;GecondenseerdeMelk_9;Weipoeder_10
166;2007 november;872161;4.48;3.59;10748;59346;11775;8519;3256;27406;
167;2007 december;929961;4.5;3.57;13909;64143;14791;9874;4917;29130;
168;2007;10737140;4.41;3.48;129200;730333;152707;109840;42867;326739;79118.0
169;2008 januari;982854;4.48;3.52;12400;62708;15909;10060;5849;30326;
170;2008 februari;927165;4.44;3.5;12288;59665;14520;9641;4879;29392;
171;2008 maart;971343;4.49;3.5;12299;62388;15706;11147;4559;27206;
172;2008 april;942305;4.46;3.49;13064;59601;16885;11778;5107;28042;
173;2008 mei;982925;4.28;3.44;10640;60255;17279;12291;4988;30930;
174;2008 juni;930210;4.2;3.43;8093;57741;14329;9392;4937;27854;
175;2008 juli;923852;4.19;3.42;8273;62562;11510;8213;3297;28015;
176;2008 augustus;905034;4.19;3.43;9032;60369;10310;7691;2619;30247;
177;2008 september;898081;4.28;3.52;7483;59067;13146;10527;2619;30389;
178;2008 oktober;932447;4.41;3.59;9114;60714;16564;11940;4624;23249;
179;2008 november;914886;4.48;3.59;9842;55975;15806;10343;5463;26683;
180;2008 december;983470;4.52;3.59;11782;60653;20208;13918;6290;29565;
181;2008;11294572;4.37;3.5;124312;721699;182173;126942;55231;341898;64514.0
182;2009 januari;1004180;4.55;3.56;12898;61208;19447;12898;6550;26444;
183;2009 februari;917999;4.52;3.53;12257;55036;16193;10175;6019;25138;
184;2009 maart;964132;4.46;3.49;12203;59796;18603;13154;5449;25593;
185;2009 april;986761;4.38;3.46;11563;57960;17682;11621;6061;27937;
186;2009 mei;1007598;4.27;3.46;10377;61005;19048;13183;5865;30013;
187;2009 juni;969229;4.19;3.45;9178;58789;16760;11364;5395;29208;
188;2009 juli;957219;4.17;3.41;7620;59663;17476;12165;5311;23572;
189;2009 augustus;940254;4.17;3.42;7009;59743;16017;10590;5427;23808;
190;2009 september;907539;4.29;3.5;6543;57895;13291;10212;3079;25116;
191;2009 oktober;930968;4.42;3.46;7055;61184;14833;11101;3732;29573;
192;2009 november;912316;4.54;3.54;8782;57045;14729;10542;4187;28785;
193;2009 december;970386;4.41;3.4;11696;62771;20064;13233;6831;24578;
194;2009;11468581;4.36;3.47;117180;712094;204142;140235;63907;319764;68433.0
195;2010 januari;983099;4.57;3.53;14355;63125;18029;11763;6266;23052;
196;2010 februari;917294;4.54;3.55;12327;58847;16771;13062;3710;24326;
197;2010 maart;1016775;4.55;3.52;13506;64743;17392;11319;6073;29129;
198;2010 april;999853;4.41;3.5;13330;63321;16747;10339;6409;26740;
199;2010 mei;1028234;4.34;3.48;11972;65822;17395;11105;6290;30753;
200;2010 juni;980834;4.23;3.46;9476;62379;16396;10834;5562;31158;
201;2010 juli;984366;4.13;3.38;9516;63276;16166;11168;4997;29713;
202;2010 augustus;973754;4.21;3.46;11463;62957;15972;10947;5026;28923;
203;2010 september;920678;4.35;3.54;9784;58583;16101;11202;4899;30795;
204;2010 oktober;939412;4.45;3.6;8404;62736;16460;11736;4724;29767;
205;2010 november;918029;4.56;3.61;7644;62327;13811;9825;3986;30891;
206;2010 december;963794;4.67;3.63;11642;64520;17847;12158;5689;32037;
207;2010;11626123;4.42;3.52;133419;752638;199087;135457;63630;347285;
208;2011 januari;996942;4.56;3.57;12130;65490;17666;11265;6402;28106;
209;2011 februari;913932;4.52;3.53;10194;58800;14758;10504;4254;29770;
210;2011 maart;1006645;4.52;3.53;10427;66373;17414;13170;4245;30161;
211;2011 april;1009174;4.39;3.47;10274;63096;16407;10848;5559;31287;
212;2011 mei;1029062;4.28;3.46;11098;65061;17164;10900;6264;32218;
213;2011 juni;981391;4.25;3.45;11152;59361;16260;11075;5185;28895;
214;2011 juli;988024;4.22;3.44;11067;61771;17517;11147;6370;29707;
215;2011 augustus;955778;4.26;3.46;11260;62358;15609;10708;4901;28440;
216;2011 september;910081;4.31;3.49;9950;58884;12094;8575;3520;28556;
217;2011 oktober;941301;4.41;3.56;10038;62191;15983;11092;4891;25948;
218;2011 november;918202;4.53;3.63;8599;61371;14341;10427;3914;28024;
219;2011 december;991187;4.53;3.55;12799;64924;17964;11742;6222;33308;
220;2011;11641718;4.4;3.51;128988;749679;193176;131450;61726;354421;
221;2012 januari;1023015;4.48;3.57;12917;65821;18948;11954;6994;29767;
222;2012 februari;944916;4.59;3.6;12386;61730;14905;9372;5533;30523;
223;2012 maart;1037702;4.46;3.53;13818;66103;17169;11442;5728;27959;
224;2012 april;998315;4.43;3.52;11894;63307;16903;10860;6043;32211;
225;2012 mei;1024366;4.32;3.47;14113;65235;16033;10082;5951;31201;
226;2012 juni;984161;4.25;3.45;10485;61677;13781;8793;4988;30204;
227;2012 juli;976527;4.2;3.43;10531;63889;15704;10070;5634;31472;
228;2012 augustus;948758;4.21;3.44;9228;62941;14555;8936;5619;31853;
229;2012 september;907765;4.32;3.52;8083;61398;13101;8461;4640;30030;
230;2012 oktober;931754;4.49;3.6;8493;64164;14056;9712;4344;32547;
231;2012 november;914765;4.53;3.61;8000;61758;14405;9608;4796;30794;
232;2012 december;983403;4.54;3.6;13338;66136;17407;11848;5560;32713;
233;2012;11675448;4.4;3.53;133286;764161;186968;121138;65830;371273;
234;2013 januari;1021883;4.51;3.56;11292;67314;16385;11284;5101;31450;
235;2013 februari;940192;4.54;3.57;10896;60698;14763;9623;5140;30999;
236;2013 maart;1039943;4.56;3.57;13429;66749;17515;11711;5804;29381;
237;2013 april;1013705;4.5;3.53;13139;65792;15936;10209;5728;29476;
238;2013 mei;1081899;4.34;3.49;12521;68310;17687;11926;5760;31923;
239;2013 juni;1017690;4.27;3.46;10714;63832;15178;10393;4785;30304;
240;2013 juli;1049763;4.18;3.42;9549;66942;16566;11133;5433;29662;
241;2013 augustus;1043246;4.17;3.42;11144;66674;15753;9305;6449;30510;
242;2013 september;986107;4.3;3.52;7821;64660;14638;10121;4517;26667;
243;2013 oktober;1011405;4.42;3.6;10476;69005;15673;9959;5714;26508;
244;2013 november;970148;4.5;3.61;9239;65495;14161;9267;4893;31696;
245;2013 december;1036711;4.51;3.59;13236;68046;19398;13360;6038;31774;
246;2013;12212690;4.4;3.53;133455;793516;193653;128291;65363;360352;
247;2014 januari;1073921;4.46;3.54;13327;69003;17984;12407;5577;32336;
248;2014 februari;980185;4.47;3.53;13394;61278;16334;10844;5490;31323;
249;2014 maart;1084192;4.44;3.51;13854;66901;19168;12852;6316;28436;
250;2014 april;1081728;4.37;3.48;12708;65522;19108;13478;5631;32540;
251;2014 mei;1094417;4.28;3.48;11907;67065;20131;13907;6223;32040;
252;2014 juni;1045568;4.18;3.45;10433;62113;16928;11750;5178;34451;
253;2014 juli;1051622;4.15;3.41;10733;67011;16150;10873;5277;33493;
254;2014 augustus;1036470;4.18;3.45;11152;63666;15226;9853;5373;30146;
255;2014 september;998215;4.26;3.54;9977;61261;14712;10351;4361;30431;
256;2014 oktober;1015984;4.36;3.57;9926;63883;14747;10200;4547;32987;
257;2014 november;977125;4.44;3.6;10386;60142;14767;10083;4684;30412;
258;2014 december;1033595;4.52;3.6;12727;64096;19506;13084;6423;33600;
259;2014;12473023;4.34;3.51;140524;771941;204761;139682;65079;382192;
260;2015 januari;1051819;4.51;3.56;13036;67160;17233;10931;6303;29521;
261;2015 februari;954307;4.52;3.55;11298;60462;13782;7823;5959;34251;
262;2015 maart;1061825;4.49;3.49;11403;68661;16437;10662;5775;34581;
263;2015 april;1100420;4.42;3.53;12378;70249;16188;10363;5825;34794;
264;2015 mei;1166526;4.28;3.51;13394;74202;18535;12240;6296;36949;
265;2015 juni;1145600;4.24;3.5;11899;71069;17437;11568;5869;33047;
266;2015 juli;1162176;4.17;3.43;12042;72938;18021;12383;5638;32875;
267;2015 augustus;1147059;4.21;3.46;12228;72736;17329;11964;5365;32728;
268;2015 september;1091193;4.34;3.54;9183;68927;16559;11930;4629;33082;
269;2015 oktober;1132078;4.45;3.63;12601;73688;17286;11465;5821;32368;
270;2015 november;1112571;4.48;3.6;12871;68927;16325;10583;5742;36947;
271;2015 december;1205300;4.47;3.57;15244;75953;19100;13749;5351;36632;
272;2015;13330873;4.38;3.53;147577;844974;204231;135660;68571;407775;
273;2016 januari;1214745;4.51;3.57;16194;76327;20324;13400;6924;33365;
274;2016 februari;1161335;4.53;3.57;15803;72494;19776;13376;6400;32509;
275;2016 maart;1239907;4.55;3.59;16329;76771;19698;13713;5985;35752;
276;2016 april;1218592;4.47;3.54;14634;75641;21226;14906;6320;25866;
277;2016 mei;1263123;4.35;3.5;14841;76351;22530;15306;7224;31111;
278;2016 juni;1199718;4.24;3.43;13267;72355;19825;13659;6166;31214;
279;2016 juli;1218901;4.19;3.45;12223;74256;20227;14294;5933;31099;
280;2016 augustus;1202383;4.22;3.45;12456;72496;19317;15115;4202;31551;
281;2016 september;1133945;4.22;3.47;8760;71192;16277;11262;5015;30656;
282;2016 oktober;1154341;4.44;3.61;12094;73593;15854;10532;5322;31570;
283;2016 november;1112734;4.55;3.67;12142;70735;18121;13370;4751;28779;
284;2016 december;1204713;4.58;3.65;12568;75601;22688;16726;5963;28748;
285;2016;14324438;4.4;3.54;161311;887812;235863;165658;70205;372221;
286;2017 januari;1227142;4.54;3.61;14040;75698;21616;15530;6087;31904;
287;2017 februari;1120509;4.52;3.6;12436;67995;20666;15250;5416;31709;
288;2017 maart;1248567;4.45;3.56;12042;75738;21437;16091;5346;30312;
289;2017 april;1213514;4.4;3.56;13206;73058;23741;17908;5834;28788;
290;2017 mei;1255665;4.29;3.54;12739;72978;23397;17768;5629;29018;
291;2017 juni;1194276;4.17;3.45;12261;71097;18968;13698;5271;32052;
292;2017 juli;1193233;4.17;3.45;10736;73431;19846;15730;4116;31558;
293;2017 augustus;1182404;4.2;3.5;11392;75783;16584;12536;4047;36233;
294;2017 september;1140773;4.31;3.57;9741;71290;19108;13873;5235;30021;
295;2017 oktober;1172601;4.39;3.6;13760;72403;20602;14718;5884;30085;
296;2017 november;1144448;4.47;3.65;12578;69905;21207;15149;6058;27617;
297;2017 december;1202801;4.51;3.65;14084;74863;22714;15896;6818;27687;
298;2017;14295931;4.37;3.56;149015;874238;249887;184146;65740;366985;
299;2018 januari;1229448;4.47;3.6;13404;75269;23576;16354;7222;29280;
300;2018 februari;1107347;4.53;3.62;13582;68214;21079;15431;5648;26969;
301;2018 maart;1216670;4.54;3.62;14251;76889;21705;15538;6167;27248;
302;2018 april;1192997;4.4;3.54;13992;73710;20921;15073;5848;22761;
303;2018 mei;1237622;4.26;3.49;14893;74740;20069;14533;5536;27467;
304;2018 juni;1176346;4.11;3.44;11714;71338;19740;13622;6118;28487;
305;2018 juli;1179544;4.14;3.43;12286;73373;19497;14268;5229;28530;
306;2018 augustus;1147894;4.17;3.43;11666;72946;14549;9940;4609;31216;
307;2018 september;1089150;4.31;3.56;10383;71963;17446;11908;5538;27444;
308;2018 oktober;1108842;4.41;3.63;12639;73524;15226;10541;4685;29448;
309;2018 november;1066585;4.53;3.68;11364;72311;14207;10778;3429;32935;
310;2018 december;1128475;4.54;3.64;13500;74630;18366;13394;4973;31512;
311;2018;13880920;4.37;3.56;153674;878908;226382;161381;65001;343298;
312;2019 januari;1167785;4.53;3.62;11231;80401;19790;14272;5518;33356;
313;2019 februari;1087913;4.53;3.6;11427;74780;17836;12266;5570;32639;
314;2019 maart;1188606;4.49;3.59;12514;79330;20624;14859;5765;33048;
315;2019 april;1174334;4.39;3.59;12336;79438;20183;14028;6155;32928;
316;2019 mei;1208136;4.35;3.58;12139;80843;21188;14095;7093;32932;
317;2019 juni;1145233;4.26;3.51;11849;77381;21933;16528;5405;32062;
318;2019 juli;1162617;4.21;3.44;11553;77479;20093;15030;5063;32523;
319;2019 augustus;1158400;4.23;3.46;10293;76604;20504;15374;5131;31762;
320;2019 september;1108225;4.35;3.56;10444;75415;19529;14873;4656;32335;
321;2019 oktober;1132130;4.49;3.63;11124;72065;19654;14565;5089;32630;
322;2019 november;1097848;4.57;3.73;9650;72259;19585;15230;4355;32723;
323;2019 december;1170932;4.57;3.65;11964;74816;23040;16003;7037;31894;
324;2019;13802159;4.41;3.58;136524;920809;243958;177122;66836;390833;
325;2020 januari;1207260;4.53;3.6;11216;75877;23092;16601;6490;40639;
326;2020 februari;1144895;4.49;3.59;10808;74389;24128;17015;7113;29183;
327;2020 maart;1225391;4.52;3.59;11810;85988;21685;14707;6977;33248;
328;2020 april;1194694;4.43;3.6;12043;81706;22624;16447;6177;32217;
329;2020 mei;1215935;4.34;3.58;11544;84458;22707;16749;5959;32302;
330;2020 juni;1157087;4.35;3.53;9904;82106;18342;14793;3549;34781;
331;2020 juli;1177026;4.25;3.51;10047;83246;18234;12171;6063;33130;
332;2020 augustus;1142547;4.21;3.47;10859;79477;19328;13204;6123;32945;
333;2020 september;1112529;4.33;3.57;9660;79719;17916;13488;4427;30268;
334;2020 oktober;1136326;4.5;3.64;12289;82641;20271;13148;7123;32854;
335;2020 november;1104019;4.53;3.65;11292;79215;18213;12811;5402;33426;
336;2020 december;1168987;4.57;3.65;12134;83913;21576;16472;5105;28860;
337;2020;13986695;4.42;3.58;133605;972734;248115;177605;70510;393852;
338;2021 januari;1195253;4.58;3.65;12758;84963;17678;10420;7268;34462;
339;2021 februari;1088432;4.6;3.64;11203;75493;16094;9850;6274;32320;
340;2021 maart;1222042;4.57;3.62;12959;85373;17431;10754;6714;30324;
341;2021 april;1189866;4.53;3.63;13057;84160;20987;11957;9019;32361;
342;2021 mei;1220709;4.41;3.57;11293;84903;20487;11032;9408;32339;
343;2021 juni;1135120;4.27;3.5;9834;78165;18854;10954;7901;31936;
344;2021 juli;1145404;4.23;3.48;10873;77955;17133;10870;6317;31591;
345;2021 augustus;1130293;4.29;3.51;10610;77855;16819;11735;5196;31671;
346;2021 september;1071057;4.34;3.67;8817;75761;13768;7809;5949;30922;
347;2021 oktober;1094206;4.47;3.6;10888;78544;13170;8032;5161;30873;
348;2021 november;1066110;4.53;3.6;9276;76317;13650;5649;7874;30711;
349;2021 december;1128388;4.56;3.59;11589;79310;15155;7479;7603;30348;
350;2021;13686880;4.45;3.59;133156;958799;201226;116540;84686;379859;
351;2022 januari;1167511;4.53;3.57;11463;79198;16675;7162;9498;31484;
352;2022 februari;1076504;4.51;3.57;11396;73963;15636;6840;8765;30969;
353;2022 maart;1197213;4.52;3.57;11479;79656;17578;7596;9960;31960;
354;2022 april;1163693;4.47;3.54;12004;80056;17893;7793;10069;31319;
355;2022 mei;1216807;4.34;3.52;13597;81753;19954;9150;10706;31581;
356;2022 juni;1157705;4.25;3.48;11210;79724;19971;8517;11445;30740;
357;2022 juli;1173741;4.2;3.45;11855;79408;19174;7964;11231;30830;
358;2022 augustus;1157214;4.21;3.46;10613;78868;14535;5755;8836;26397;
359;2022 september;1115138;4.36;3.53;9536;75397;13039;5447;7602;29578;
