ID;RegioS;BevolkingUltimo2006_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
41;Agglomeratie Leiden en Bollenstreek (CR);389.7;270.2;69;14.1;5;20.0;5
42;Agglomeratie 's-Gravenhage (CR);780.2;535.8;69;14.1;6;20.0;4
43;Delft en Westland (CR);211.8;148.4;70;13.4;10;18.6;13
44;Oost-Zuid-Holland (CR);321.6;221.9;69;13.8;8;19.7;7
45;Groot-Rijnmond (CR);1360.6;941.9;69;13.2;14;18.7;12
46;Zuidoost-Zuid-Holland (CR);391.2;267.8;68;13.0;19;18.7;11
47;Zeeuwsch-Vlaanderen (CR);107.6;75.1;70;13.1;16;18.0;24
48;Overig Zeeland (CR);272.9;190.4;70;12.8;25;18.0;22
49;West-Noord-Brabant (CR);608.5;430.5;71;13.3;12;18.4;17
50;Midden-Noord-Brabant (CR);452.9;320.9;71;13.0;22;17.9;25
51;Noordoost-Noord-Brabant (CR);629.6;445.0;71;13.3;13;18.5;15
52;Zuidoost-Noord-Brabant (CR);728.1;514.3;71;13.4;11;18.5;16
53;Noord-Limburg (CR);278.7;199.0;71;12.6;28;17.2;33
54;Midden-Limburg (CR);234.3;166.6;71;12.9;24;17.6;27
55;Zuid-Limburg (CR);614.8;439.0;71;12.7;26;17.1;36
56;Flevoland (CR);374.4;245.5;66;12.2;35;18.2;20
57;Groningen (GA);200.4;142.8;71;12.6;17;17.0;18
58;Leeuwarden (GA);92.3;66.0;71;12.3;20;16.7;20
59;Zwolle (GA);114.6;82.2;72;13.1;12;17.9;13
60;Enschede (GA);154.5;106.6;69;11.5;22;16.2;22
61;Apeldoorn (GA);155.6;110.8;71;13.4;10;18.5;10
62;Arnhem (GA);144.1;102.7;71;12.8;15;17.6;15
63;Nijmegen (GA);160.9;115.4;72;12.6;18;17.1;17
64;Amersfoort (GA);167.7;114.1;68;14.1;2;20.4;2
65;Utrecht (GA);423.2;301.3;71;13.8;7;18.9;8
66;Amsterdam (GA);1022.5;713.1;70;14.0;6;19.5;5
67;Haarlem (GA);189.6;136.1;72;15.5;1;21.1;1
68;Leiden (GA);249.5;171.8;69;14.0;5;20.0;4
69;'s-Gravenhage (GA);619.4;424.4;69;14.1;3;20.0;3
70;Rotterdam (GA);986.0;683.4;69;12.9;14;18.1;12
71;Dordrecht (GA);235.8;163.8;69;13.1;11;18.5;11
72;Breda (GA);170.3;121.1;71;13.8;8;18.9;7
73;Tilburg (GA);223.3;160.6;72;12.7;16;17.2;16
74;'s-Hertogenbosch (GA);160.9;116.1;72;14.1;4;19.2;6
75;Eindhoven (GA);322.6;230.7;72;13.6;9;18.6;9
76;Geleen/Sittard (GA);139.3;99.3;71;12.9;13;17.7;14
77;Heerlen (GA);207.8;149.7;72;12.2;21;16.2;21
78;Maastricht (GA);119.0;85.5;72;12.5;19;16.9;19
79;Groningen (SG);343.2;240.3;70;12.8;19;17.7;17
80;Leeuwarden (SG);159.8;112.2;70;12.2;21;17.1;20
81;Zwolle (SG);170.8;120.8;71;13.1;14;18.2;14
82;Enschede (SG);310.3;216.4;70;12.1;22;16.9;21
83;Apeldoorn (SG);212.1;150.8;71;13.4;10;18.4;12
84;Arnhem (SG);348.4;246.4;71;13.2;11;18.3;13
85;Nijmegen (SG);278.6;197.6;71;12.9;16;17.8;15
86;Amersfoort (SG);271.4;185.4;68;14.0;5;20.1;2
87;Utrecht (SG);585.2;413.4;71;14.3;2;19.7;4
88;Amsterdam (SG);1471.5;1018.9;69;13.9;7;19.5;6
89;Haarlem (SG);406.2;289.7;71;14.7;1;20.3;1
90;Leiden (SG);332.9;229.7;69;14.2;3;20.1;3
91;'s-Gravenhage (SG);992.0;684.2;69;13.9;6;19.7;5
92;Rotterdam (SG);1171.0;812.7;69;13.1;12;18.4;11
93;Dordrecht (SG);279.3;192.7;69;13.1;13;18.6;10
94;Breda (SG);311.7;221.4;71;13.6;9;18.7;9
95;Tilburg (SG);289.6;207.3;72;12.9;17;17.6;18
96;'s-Hertogenbosch (SG);188.8;135.6;72;14.0;4;19.2;7
97;Eindhoven (SG);405.2;288.5;71;13.7;8;18.9;8
98;Geleen/Sittard (SG);152.7;108.8;71;13.0;15;17.8;16
99;Heerlen (SG);256.2;184.1;72;12.4;20;16.6;22
100;Maastricht (SG);181.1;129.6;72;12.9;18;17.4;19
101;Aa en Hunze;25.6;18.1;71;13.4;160;18.6;205
102;Aalburg;12.3;7.8;64;12.5;323;19.4;129
103;Aalsmeer;25.0;17.8;71;14.7;49;20.3;69
104;Aalten;27.6;19.1;69;11.9;407;16.5;423
105;Abcoude;8.7;5.8;67;18.6;6;27.5;5
106;Achtkarspelen;28.1;18.8;67;11.4;434;16.7;415
107;Alblasserdam;18.7;12.5;67;12.3;353;18.1;262
108;Albrandswaard;21.5;14.7;68;15.1;36;21.9;25
109;Alkemade;14.5;10.4;71;13.7;133;18.9;172
110;Alkmaar;94.2;68.3;73;13.2;193;17.9;295
111;Almelo;72.1;50.5;70;11.9;406;16.7;413
112;Almere;180.9;118.5;65;12.5;328;18.7;195
113;Alphen aan den Rijn;71.1;49.8;70;14.1;81;19.8;97
114;Alphen-Chaam;9.5;6.6;70;13.8;113;19.3;131
115;Ameland;3.5;2.4;69;11.7;423;16.6;417
116;Amersfoort;139.1;94.1;68;13.9;98;20.2;73
117;Amstelveen;78.9;55.0;70;16.2;18;22.8;18
118;Amsterdam;742.9;516.3;70;13.9;104;19.4;127
119;Andijk;6.6;4.6;70;12.9;268;18.1;263
120;Anna Paulowna;14.0;9.4;67;12.2;376;17.7;327
121;Apeldoorn;155.6;110.8;71;13.4;155;18.5;213
122;Appingedam;12.2;8.6;71;12.2;374;16.9;402
123;Arcen en Velden;8.8;6.3;72;13.0;244;17.5;351
124;Arnhem;142.6;101.7;71;12.8;282;17.5;354
125;Assen;64.4;44.7;69;12.6;310;17.8;308
126;Asten;16.4;11.5;70;12.9;266;18.0;287
127;Baarle-Nassau;6.7;4.8;72;12.9;265;17.3;377
128;Baarn;24.4;17.5;72;15.1;35;20.7;54
129;Barendrecht;43.0;29.2;68;14.4;64;20.9;46
130;Barneveld;51.0;32.1;63;12.2;372;19.0;155
131;Bedum;10.6;7.2;68;12.2;375;17.6;346
132;Beek (L.);16.7;11.8;71;13.4;170;18.5;216
133;Beemster;8.5;6.0;70;14.6;53;20.5;66
134;Beesel;13.6;9.5;69;12.6;305;17.6;333
135;Bellingwedde;9.5;6.6;70;11.6;426;16.2;437
136;Bennebroek;5.2;3.7;73;17.1;12;23.4;14
137;Bergambacht;9.5;6.3;66;13.5;145;20.0;82
138;Bergeijk;18.1;12.6;69;13.4;175;18.8;179
139;Bergen (L.);13.6;9.5;70;11.8;412;16.2;434
140;Bergen (NH.);31.3;22.3;71;15.5;26;21.3;35
141;Bergen op Zoom;65.4;45.7;70;12.8;283;17.8;307
142;Berkelland;45.2;32.1;71;12.4;352;17.2;382
143;Bernheze;29.6;20.5;69;13.2;204;18.8;178
144;Bernisse;12.7;8.8;70;14.1;83;19.9;86
145;Best;29.0;19.9;69;13.7;131;19.5;114
146;Beuningen;25.2;17.4;69;13.1;211;18.7;191
147;Beverwijk;36.8;26.6;72;13.3;185;18.1;257
148;Binnenmaas;28.6;20.1;70;14.6;59;20.5;65
149;Bladel;19.1;13.4;70;13.0;242;18.2;254
150;Blaricum;9.1;6.2;68;21.5;2;31.0;3
151;Bloemendaal;17.0;11.3;66;22.4;1;32.9;1
152;Boarnsterhim;19.3;13.1;68;12.9;267;18.6;208
153;Bodegraven;19.4;13.1;67;13.5;148;19.7;102
154;Boekel;9.5;6.5;68;12.0;396;17.3;371
155;Bolsward;9.6;6.7;69;12.3;363;17.4;365
156;Borger-Odoorn;26.3;18.3;70;12.2;377;17.1;384
157;Borne;20.5;14.0;68;13.1;219;18.8;173
158;Borsele;22.4;15.1;67;12.6;303;18.4;229
159;Boskoop;15.2;10.1;66;13.3;184;19.7;105
160;Boxmeer;28.7;20.3;71;13.3;182;18.6;203
161;Boxtel;30.0;21.3;71;13.2;192;18.3;234
162;Breda;170.3;121.1;71;13.8;118;18.9;166
163;Breukelen;14.6;9.8;67;14.7;52;21.5;32
164;Brielle;15.9;11.1;70;14.6;56;20.6;57
165;Bronckhorst;37.8;26.4;70;13.4;172;18.7;187
166;Brummen;21.2;14.9;70;13.4;154;18.6;202
167;Brunssum;29.6;21.6;73;12.0;393;16.1;438
168;Bunnik;14.2;9.9;70;15.9;22;22.4;22
169;Bunschoten;19.5;13.0;67;12.4;345;18.3;241
170;Buren;25.6;17.2;67;13.4;152;19.8;98
171;Bussum;31.3;21.8;70;17.3;10;24.5;12
172;Capelle aan den IJssel;65.4;45.8;70;13.9;95;19.5;115
173;Castricum;34.9;24.4;70;15.0;41;21.0;43
174;Coevorden;36.0;25.3;70;12.3;357;17.2;381
175;Cranendonck;20.3;14.3;70;13.3;188;18.4;222
176;Cromstrijen;13.0;9.1;70;14.3;68;20.1;80
177;Cuijk;24.2;17.0;70;12.5;337;17.4;358
178;Culemborg;27.2;18.0;66;13.4;159;19.7;103
179;Dalfsen;26.5;18.1;68;12.7;287;18.4;228
180;Dantumadeel;19.5;12.9;66;11.1;440;16.4;432
181;De Bilt;42.0;29.6;70;16.7;14;23.4;13
182;De Marne;10.8;7.4;69;11.9;404;17.0;396
183;De Ronde Venen;34.6;23.7;69;15.0;42;21.5;30
184;De Wolden;23.6;16.4;70;12.7;294;18.0;282
185;Delft;95.4;66.1;69;13.0;241;18.1;256
186;Delfzijl;27.7;19.1;69;12.1;386;17.0;389
187;Den Helder;58.2;41.2;71;12.6;315;17.3;372
188;Deurne;31.8;22.4;70;12.8;285;17.8;314
189;Deventer;96.6;67.2;70;12.5;320;17.7;329
190;Diemen;23.9;16.6;70;14.1;79;19.9;95
191;Dinkelland;26.1;17.8;68;12.4;347;17.7;321
192;Dirksland;8.3;5.5;66;12.9;260;19.2;143
193;Doesburg;11.6;8.1;70;12.6;309;17.7;323
194;Doetinchem;56.2;39.8;71;12.7;293;17.7;331
195;Dongen;25.5;18.0;71;12.9;256;18.1;274
196;Dongeradeel;24.9;16.9;68;11.4;432;16.4;428
197;Dordrecht;118.5;82.2;69;12.9;259;18.2;244
198;Drechterland;18.6;12.9;69;13.8;110;19.5;113
199;Drimmelen;26.6;18.8;71;13.7;134;19.0;162
200;Dronten;38.2;25.0;65;12.2;380;18.1;259
201;Druten;18.1;12.6;70;12.6;300;17.8;304
202;Duiven;25.6;17.5;68;12.6;308;18.1;271
203;Echt-Susteren;32.3;23.2;72;12.7;288;17.3;374
204;Edam-Volendam;28.5;19.3;68;13.9;94;20.1;75
205;Ede;107.5;72.5;67;12.9;262;18.7;190
206;Eemnes;8.9;5.9;66;14.4;63;21.3;39
207;Eemsmond;16.7;11.1;67;11.2;438;16.4;427
208;Eersel;18.0;12.8;71;13.8;116;19.1;151
209;Eijsden;11.7;8.1;70;13.3;189;18.7;194
210;Eindhoven;209.7;151.3;72;13.4;173;18.0;279
211;Elburg;22.2;14.6;66;12.1;384;18.1;269
212;Emmen;108.8;77.3;71;11.9;410;16.4;429
213;Enkhuizen;17.8;12.6;71;12.9;251;17.8;309
214;Enschede;154.5;106.6;69;11.5;428;16.2;436
215;Epe;33.0;23.2;70;13.1;225;18.3;239
216;Ermelo;26.3;18.3;70;13.7;135;19.3;130
217;Etten-Leur;40.6;28.7;71;13.1;212;18.3;242
218;Ferwerderadiel;8.9;6.0;67;11.4;431;16.6;421
219;Franekeradeel;20.6;14.3;70;11.8;411;16.7;414
220;Gaasterlân-Sleat;10.3;7.1;69;12.2;381;17.4;364
221;Geertruidenberg;20.7;14.9;72;13.3;190;18.2;251
222;Geldermalsen;26.2;17.6;67;13.8;111;20.2;72
223;Geldrop-Mierlo;37.8;26.6;70;13.7;123;19.1;147
224;Gemert-Bakel;27.9;19.7;71;12.5;332;17.4;363
225;Gennep;16.9;12.2;73;13.0;234;17.6;342
226;Giessenlanden;14.5;9.6;67;14.1;82;20.8;50
227;Gilze en Rijen;25.4;18.0;71;12.8;277;17.8;317
228;Goedereede;11.6;7.9;67;13.5;146;19.7;104
229;Goes;36.6;26.6;73;13.4;161;18.1;255
230;Goirle;22.1;16.0;72;14.0;86;19.1;149
231;Gorinchem;34.3;24.0;70;12.8;271;18.0;281
232;Gouda;71.0;49.2;69;13.4;169;18.9;165
233;Graafstroom;9.8;6.2;63;13.2;194;20.7;55
234;Graft-De Rijp;6.6;4.5;68;14.2;74;20.6;60
235;Grave;12.8;9.0;70;12.7;295;17.8;303
236;Groesbeek;18.9;13.5;72;12.8;278;17.6;345
237;Groningen (gemeente);181.6;129.8;71;12.3;367;16.4;425
238;Grootegast;12.1;7.9;65;11.4;435;17.0;392
239;Gulpen-Wittem;14.8;10.7;72;13.0;231;17.6;334
240;Haaksbergen;24.3;17.3;71;12.6;306;17.4;359
241;Haaren;13.8;9.7;71;13.9;105;19.4;128
242;Haarlem;147.0;106.8;73;14.2;72;19.2;135
243;Haarlemmerliede en Spaarnwoude;5.4;3.8;69;14.7;51;21.0;45
244;Haarlemmermeer;138.3;95.2;69;14.4;65;20.5;62
245;Halderberge;29.3;20.8;71;13.5;151;18.6;201
246;Hardenberg;58.1;39.4;68;11.8;417;17.0;390
247;Harderwijk;42.1;29.0;69;12.7;289;18.1;264
248;Hardinxveld-Giessendam;17.7;11.6;66;12.4;340;18.6;196
249;Haren;18.8;13.0;69;16.3;16;23.3;15
250;Harenkarspel;15.9;11.0;69;13.1;215;18.6;197
251;Harlingen;15.5;10.7;69;12.0;401;16.9;401
252;Hattem;11.6;8.0;69;13.7;132;19.6;111
253;Heemskerk;38.0;26.9;71;13.7;127;19.0;157
254;Heemstede;25.6;18.0;70;17.8;8;24.9;10
255;Heerde;18.0;12.5;69;13.1;226;18.6;204
256;Heerenveen;42.8;30.3;71;12.9;253;17.9;293
257;Heerhugowaard;49.8;34.6;70;13.1;228;18.4;233
258;Heerlen;90.5;66.0;73;12.3;361;16.4;431
259;Heeze-Leende;15.2;10.6;70;14.6;55;20.5;64
260;Heiloo;22.0;15.5;70;15.5;27;21.7;28
261;Helden;19.5;14.0;72;12.7;297;17.3;368
262;Hellendoorn;36.0;25.0;69;12.3;366;17.4;360
263;Hellevoetsluis;39.6;27.3;69;13.5;150;19.2;138
264;Helmond;86.1;59.3;69;12.3;356;17.6;348
265;Hendrik-Ido-Ambacht;24.8;16.4;66;13.4;157;20.0;83
266;Hengelo (O.);81.4;57.6;71;12.6;313;17.5;356
267;Het Bildt;11.0;7.4;68;11.5;427;16.7;408
268;Heumen;16.7;11.5;69;14.0;88;20.1;79
269;Heusden;42.9;29.9;70;13.2;210;18.6;209
270;Hillegom;20.3;14.6;72;14.1;80;19.2;140
271;Hilvarenbeek;15.1;10.5;70;13.7;130;19.4;126
272;Hilversum;83.7;60.0;72;15.1;38;20.6;56
273;Hof van Twente;35.1;24.8;71;13.1;220;18.3;236
274;Hoogeveen;54.4;38.2;70;11.9;405;16.6;418
275;Hoogezand-Sappemeer;34.4;24.1;70;11.7;420;16.4;426
276;Hoorn;68.2;48.0;70;13.3;180;18.6;206
277;Horst aan de Maas;28.9;20.6;71;12.6;307;17.3;370
278;Houten;45.6;30.5;67;14.2;78;20.9;48
279;Huizen;41.9;29.1;69;14.7;50;20.8;51
280;Hulst;28.0;19.0;68;13.1;216;18.0;278
281;IJsselstein;34.0;22.8;67;13.9;103;20.2;71
282;Jacobswoude;10.7;7.5;70;14.6;58;20.6;59
283;Kampen;49.4;33.5;68;11.8;416;16.9;400
284;Kapelle;12.0;8.2;68;12.9;252;18.7;193
285;Katwijk;61.1;41.2;67;12.5;318;18.3;240
286;Kerkrade;48.8;34.3;70;12.0;402;15.7;441
287;Kessel;4.3;3.0;71;12.3;355;17.1;387
288;Koggenland;21.2;14.8;70;13.3;178;18.9;171
289;Kollumerland en Nieuwkruisland;13.1;8.8;67;11.2;439;16.4;430
290;Korendijk;10.8;7.3;68;13.4;164;19.4;119
291;Krimpen aan den IJssel;28.7;19.6;68;13.9;101;20.1;81
292;Laarbeek;21.7;15.1;69;13.0;247;18.4;227
293;Landerd;14.7;10.3;70;12.9;269;18.1;258
294;Landgraaf;38.9;27.8;71;12.5;339;16.7;411
295;Landsmeer;10.3;7.3;71;15.5;28;21.5;31
296;Langedijk;25.9;17.8;69;13.5;149;19.4;125
297;Lansingerland;47.9;31.8;66;14.6;57;21.7;29
298;Laren (NH.);11.0;7.7;70;20.0;4;28.1;4
299;Leek;19.2;13.2;69;12.4;344;17.7;322
300;Leerdam;20.7;14.3;69;12.4;348;17.6;338
301;Leeuwarden;92.3;66.0;71;12.3;368;16.7;409
302;Leeuwarderadeel;10.4;7.1;69;12.2;378;17.5;353
303;Leiden;117.5;82.1;70;13.7;125;19.1;150
304;Leiderdorp;26.1;18.2;70;14.9;43;21.0;44
305;Leidschendam-Voorburg;72.8;52.5;72;15.6;24;21.3;37
306;Lelystad;72.3;49.4;68;12.4;351;17.8;318
307;Lemsterland;13.4;9.0;67;12.3;354;18.1;275
308;Leudal;36.8;26.1;71;13.2;206;18.2;245
309;Leusden;28.6;19.9;70;15.1;39;21.3;38
310;Liesveld;9.8;6.3;64;12.8;275;19.6;108
311;Lingewaal;10.9;7.3;67;13.4;176;19.4;120
312;Lingewaard;44.3;31.0;70;12.9;255;18.2;243
313;Lisse;22.0;15.5;70;13.7;124;19.1;146
314;Lith;6.7;4.5;68;12.6;301;18.4;232
315;Littenseradiel;10.9;7.2;66;12.2;373;18.1;260
316;Lochem;32.8;23.4;71;14.5;62;20.0;84
317;Loenen;8.2;5.7;69;17.2;11;24.6;11
318;Loon op Zand;22.9;16.3;71;13.2;197;18.3;237
319;Lopik;14.0;9.2;66;13.3;183;19.9;96
320;Loppersum;10.8;7.3;67;12.0;399;17.3;366
321;Losser;22.5;15.9;71;12.2;369;16.9;403
322;Maarssen;39.4;28.0;71;14.6;60;20.1;74
323;Maasbree;12.9;9.1;71;13.0;249;17.9;296
324;Maasdonk;11.3;7.7;68;12.8;276;18.5;211
325;Maasdriel;23.5;16.4;70;13.3;187;18.8;180
326;Maasgouw;24.5;17.7;72;13.2;201;17.8;312
327;Maassluis;31.6;22.6;72;13.5;143;18.5;212
328;Maastricht;119.0;85.5;72;12.5;319;16.9;399
329;Margraten;13.5;9.4;69;13.4;166;18.9;167
330;Marum;10.1;6.7;66;12.2;379;18.0;290
331;Medemblik;26.6;18.3;69;13.4;153;19.2;141
332;Meerlo-Wanssum;7.7;5.5;72;12.5;327;17.2;383
333;Meerssen;19.7;14.1;71;13.7;128;18.7;189
334;Meijel;5.9;4.2;72;12.8;273;17.6;341
335;Menaldumadeel;13.8;9.4;68;12.2;370;17.7;319
336;Menterwolde;12.6;8.6;69;11.7;424;16.6;420
337;Meppel;31.1;22.1;71;12.8;286;17.6;335
338;Middelburg (Z.);47.3;33.3;70;12.9;258;18.0;283
339;Middelharnis;17.8;12.4;70;12.9;257;18.2;248
340;Midden-Delfland;17.5;12.0;69;14.2;71;20.5;63
341;Midden-Drenthe;33.5;23.5;70;12.4;350;17.3;369
342;Mill en Sint Hubert;11.0;7.8;71;12.0;392;16.8;405
343;Millingen aan de Rijn;5.9;4.1;69;12.1;385;17.0;388
344;Moerdijk;36.6;25.7;70;13.4;156;18.8;175
345;Montferland;35.1;24.6;70;12.5;336;17.3;373
346;Montfoort;13.5;9.1;68;13.8;108;20.1;78
347;Mook en Middelaar;8.0;5.7;70;14.8;46;20.5;61
348;Moordrecht;8.1;5.4;66;12.7;291;18.9;168
349;Muiden;6.7;4.5;68;17.7;9;25.7;8
350;Naarden;17.2;11.6;67;18.4;7;26.9;7
351;Neder-Betuwe;22.3;14.0;63;11.6;425;18.1;270
352;Nederlek;14.5;10.0;69;14.0;91;19.9;91
353;Nederweert;16.5;11.6;70;12.5;333;17.4;361
354;Neerijnen;11.9;7.9;67;13.2;196;19.5;116
355;Niedorp;12.0;8.2;68;13.0;238;18.7;188
356;Nieuwegein;61.4;45.0;73;14.0;90;18.8;182
357;Nieuwerkerk aan den IJssel;21.9;14.8;67;14.5;61;21.2;41
358;Nieuwkoop;27.0;18.8;70;14.1;84;19.9;88
359;Nieuw-Lekkerland;9.4;5.8;61;11.5;429;18.5;217
360;Nijefurd;10.9;7.6;69;12.2;371;17.2;379
361;Nijkerk;38.9;26.6;68;13.4;171;19.2;136
362;Nijmegen;160.9;115.4;72;12.6;302;17.1;385
363;Noord-Beveland;7.3;5.3;73;13.4;174;17.9;292
364;Noordenveld;31.4;22.0;70;13.4;158;18.9;169
365;Noordoostpolder;45.8;30.9;68;11.8;415;17.1;386
366;Noordwijk;24.7;17.6;71;15.0;40;20.8;53
367;Noordwijkerhout;15.3;10.7;70;13.8;114;19.4;123
368;Nuenen, Gerwen en Nederwetten;22.7;15.6;69;15.2;32;21.7;27
369;Nunspeet;26.6;17.5;66;12.4;349;18.5;219
370;Nuth;15.8;11.6;73;13.8;115;18.5;218
371;Oegstgeest;22.0;14.6;66;16.8;13;25.0;9
372;Oirschot;17.9;12.4;69;13.4;165;19.0;163
373;Oisterwijk;25.7;18.2;71;14.3;67;19.9;89
374;Oldebroek;22.8;15.1;66;12.0;400;17.7;325
375;Oldenzaal;31.4;22.3;71;12.8;284;17.7;332
376;Olst-Wijhe;17.3;12.1;70;12.6;316;17.7;324
377;Ommen;17.3;12.1;70;12.9;264;18.2;249
378;Onderbanken;8.4;5.7;69;12.0;397;16.9;404
379;Oost Gelre;29.9;21.1;71;12.3;360;17.0;395
380;Oosterhout;53.3;37.8;71;13.6;140;18.8;183
381;Oostflakkee;10.2;7.1;70;12.6;314;17.6;343
382;Ooststellingwerf;26.2;18.4;70;11.9;409;16.6;416
383;Oostzaan;9.2;6.5;71;14.2;76;19.9;94
384;Opmeer;11.2;7.7;69;13.1;213;18.8;174
385;Opsterland;29.6;20.3;69;12.5;331;17.9;301
386;Oss;76.7;54.2;71;13.0;250;18.0;285
387;Oud-Beijerland;24.0;16.3;68;13.7;122;19.9;93
388;Oude IJsselstreek;40.1;27.9;70;12.1;388;16.9;398
389;Ouder-Amstel;13.0;9.3;72;16.3;15;22.6;20
390;Ouderkerk;8.2;5.4;65;13.2;200;19.7;101
391;Oudewater;10.0;6.9;69;14.3;66;20.4;68
392;Overbetuwe;43.2;29.2;68;13.0;235;18.9;170
393;Papendrecht;31.4;21.8;70;13.6;141;19.2;142
394;Pekela;13.3;9.1;69;11.1;441;15.7;440
395;Pijnacker-Nootdorp;42.8;28.4;66;14.3;69;21.2;40
396;Purmerend;78.0;56.0;72;13.2;207;18.0;277
397;Putten;23.0;15.1;66;13.0;240;19.4;121
398;Raalte;37.3;26.3;70;12.5;329;17.4;357
399;Reeuwijk;12.7;8.5;67;15.4;29;22.5;21
400;Reiderland;7.0;4.9;70;11.0;442;15.1;443
401;Reimerswaal;21.1;13.8;65;11.8;414;17.6;340
402;Renkum;31.6;22.7;72;15.3;31;20.9;47
403;Renswoude;4.5;2.8;63;12.3;365;19.1;145
404;Reusel-De Mierden;12.4;9.0;73;13.0;233;17.6;339
405;Rheden;43.9;32.3;73;13.9;99;18.6;198
406;Rhenen;18.6;12.6;68;13.4;167;19.4;124
407;Ridderkerk;44.7;32.7;73;13.7;121;18.5;215
408;Rijnwaarden;11.0;7.6;69;11.7;418;16.5;422
409;Rijnwoude;18.8;13.0;70;14.2;73;20.1;76
410;Rijssen-Holten;36.6;23.8;65;11.8;413;17.8;315
411;Rijswijk (ZH.);47.0;35.3;75;15.2;34;19.9;92
412;Roerdalen;21.3;14.9;70;12.9;254;18.0;291
413;Roermond;54.2;38.5;71;12.5;330;17.0;391
414;Roosendaal;77.4;54.6;71;12.8;274;17.8;311
415;Rotterdam;584.1;402.2;69;12.5;325;17.7;330
416;Rozenburg;12.7;8.9;70;13.3;181;18.6;199
417;Rozendaal;1.5;1.0;67;19.0;5;27.4;6
418;Rucphen;22.4;16.3;73;13.0;236;17.6;347
419;Schagen;19.1;13.7;72;13.7;126;18.8;186
420;Scheemda;14.1;9.7;69;11.7;422;16.7;410
421;Schermer;5.1;3.6;69;14.0;87;19.9;85
422;Scherpenzeel;8.9;5.9;66;12.8;281;19.0;161
423;Schiedam;75.2;52.4;70;12.6;299;17.7;328
424;Schiermonnikoog;0.9;0.7;72;14.2;75;19.0;156
425;Schijndel;22.9;16.3;71;13.0;243;18.0;288
