ID;TypeGefailleerde;RegioS;Perioden;UitgesprokenFaillissementen_1
197;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 september;79
198;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 3e kwartaal;183
199;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 oktober;60
200;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 november;64
201;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 december;76
202;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 4e kwartaal;200
203;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020;929
204;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 januari;62
205;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 februari;55
206;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 maart;58
207;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 1e kwartaal;175
208;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 april;63
209;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 mei;52
210;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 juni;47
211;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 2e kwartaal;162
212;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 juli;40
213;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 augustus;41
214;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 september;49
215;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 3e kwartaal;130
216;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 oktober;40
217;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 november;49
218;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 december;36
219;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021 4e kwartaal;125
220;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2021;592
221;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 januari;31
222;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 februari;45
223;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 maart;39
224;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 1e kwartaal;115
225;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 april;45
226;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 mei;64
227;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 juni;39
228;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 2e kwartaal;148
229;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 juli;43
230;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 augustus;46
231;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 september;38
232;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 3e kwartaal;127
233;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 oktober;60
234;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 november;75
235;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 december;53
236;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022 4e kwartaal;188
237;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2022;578
238;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 januari;57
239;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 februari;61
240;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 maart;58
241;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 1e kwartaal;177
242;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 april;52
243;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 mei;69
244;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 juni;52
245;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 2e kwartaal;173
246;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 juli;60
247;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 augustus;68
248;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 september;58
249;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 3e kwartaal;186
250;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 oktober;74
251;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 november;56
252;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 december;62
253;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023 4e kwartaal;192
254;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2023;728
255;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 januari;111
256;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 februari;59
257;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 maart;73
258;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 1e kwartaal;243
259;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 april;74
260;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 mei;55
261;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 juni;62
262;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 2e kwartaal;191
263;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 juli;96
264;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 augustus;61
265;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 september;78
266;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 3e kwartaal;235
267;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 oktober;78
268;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 november;62
269;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 december;68
270;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024 4e kwartaal;208
271;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2024;877
272;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2025 januari;91
273;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2025 februari;58
274;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2025 maart;72
275;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2025 1e kwartaal;221
276;Totaal natuurlijke personen;Nederland;2009 januari;326
277;Totaal natuurlijke personen;Nederland;2009 februari;228
278;Totaal natuurlijke personen;Nederland;2009 maart;362
279;Totaal natuurlijke personen;Nederland;2009 1e kwartaal;916
280;Totaal natuurlijke personen;Nederland;2009 april;317
281;Totaal natuurlijke personen;Nederland;2009 mei;262
282;Totaal natuurlijke personen;Nederland;2009 juni;325
283;Totaal natuurlijke personen;Nederland;2009 2e kwartaal;904
284;Totaal natuurlijke personen;Nederland;2009 juli;282
285;Totaal natuurlijke personen;Nederland;2009 augustus;261
286;Totaal natuurlijke personen;Nederland;2009 september;285
287;Totaal natuurlijke personen;Nederland;2009 3e kwartaal;828
288;Totaal natuurlijke personen;Nederland;2009 oktober;309
289;Totaal natuurlijke personen;Nederland;2009 november;283
290;Totaal natuurlijke personen;Nederland;2009 december;289
291;Totaal natuurlijke personen;Nederland;2009 4e kwartaal;881
292;Totaal natuurlijke personen;Nederland;2009;3529
293;Totaal natuurlijke personen;Nederland;2010 januari;309
294;Totaal natuurlijke personen;Nederland;2010 februari;263
295;Totaal natuurlijke personen;Nederland;2010 maart;362
296;Totaal natuurlijke personen;Nederland;2010 1e kwartaal;934
297;Totaal natuurlijke personen;Nederland;2010 april;289
298;Totaal natuurlijke personen;Nederland;2010 mei;204
299;Totaal natuurlijke personen;Nederland;2010 juni;332
300;Totaal natuurlijke personen;Nederland;2010 2e kwartaal;825
301;Totaal natuurlijke personen;Nederland;2010 juli;238
302;Totaal natuurlijke personen;Nederland;2010 augustus;305
303;Totaal natuurlijke personen;Nederland;2010 september;261
304;Totaal natuurlijke personen;Nederland;2010 3e kwartaal;804
305;Totaal natuurlijke personen;Nederland;2010 oktober;241
306;Totaal natuurlijke personen;Nederland;2010 november;305
307;Totaal natuurlijke personen;Nederland;2010 december;220
308;Totaal natuurlijke personen;Nederland;2010 4e kwartaal;766
309;Totaal natuurlijke personen;Nederland;2010;3329
310;Totaal natuurlijke personen;Nederland;2011 januari;248
311;Totaal natuurlijke personen;Nederland;2011 februari;268
312;Totaal natuurlijke personen;Nederland;2011 maart;345
313;Totaal natuurlijke personen;Nederland;2011 1e kwartaal;861
314;Totaal natuurlijke personen;Nederland;2011 april;251
315;Totaal natuurlijke personen;Nederland;2011 mei;330
316;Totaal natuurlijke personen;Nederland;2011 juni;238
317;Totaal natuurlijke personen;Nederland;2011 2e kwartaal;819
318;Totaal natuurlijke personen;Nederland;2011 juli;242
319;Totaal natuurlijke personen;Nederland;2011 augustus;302
320;Totaal natuurlijke personen;Nederland;2011 september;264
321;Totaal natuurlijke personen;Nederland;2011 3e kwartaal;808
322;Totaal natuurlijke personen;Nederland;2011 oktober;266
323;Totaal natuurlijke personen;Nederland;2011 november;382
324;Totaal natuurlijke personen;Nederland;2011 december;236
325;Totaal natuurlijke personen;Nederland;2011 4e kwartaal;884
326;Totaal natuurlijke personen;Nederland;2011;3372
327;Totaal natuurlijke personen;Nederland;2012 januari;346
328;Totaal natuurlijke personen;Nederland;2012 februari;336
329;Totaal natuurlijke personen;Nederland;2012 maart;331
330;Totaal natuurlijke personen;Nederland;2012 1e kwartaal;1013
331;Totaal natuurlijke personen;Nederland;2012 april;268
332;Totaal natuurlijke personen;Nederland;2012 mei;336
333;Totaal natuurlijke personen;Nederland;2012 juni;287
334;Totaal natuurlijke personen;Nederland;2012 2e kwartaal;891
335;Totaal natuurlijke personen;Nederland;2012 juli;363
336;Totaal natuurlijke personen;Nederland;2012 augustus;304
337;Totaal natuurlijke personen;Nederland;2012 september;331
338;Totaal natuurlijke personen;Nederland;2012 3e kwartaal;998
339;Totaal natuurlijke personen;Nederland;2012 oktober;389
340;Totaal natuurlijke personen;Nederland;2012 november;384
341;Totaal natuurlijke personen;Nederland;2012 december;279
342;Totaal natuurlijke personen;Nederland;2012 4e kwartaal;1052
343;Totaal natuurlijke personen;Nederland;2012;3954
344;Totaal natuurlijke personen;Nederland;2013 januari;366
345;Totaal natuurlijke personen;Nederland;2013 februari;299
346;Totaal natuurlijke personen;Nederland;2013 maart;378
347;Totaal natuurlijke personen;Nederland;2013 1e kwartaal;1043
348;Totaal natuurlijke personen;Nederland;2013 april;333
349;Totaal natuurlijke personen;Nederland;2013 mei;380
350;Totaal natuurlijke personen;Nederland;2013 juni;330
351;Totaal natuurlijke personen;Nederland;2013 2e kwartaal;1043
352;Totaal natuurlijke personen;Nederland;2013 juli;370
353;Totaal natuurlijke personen;Nederland;2013 augustus;267
354;Totaal natuurlijke personen;Nederland;2013 september;280
355;Totaal natuurlijke personen;Nederland;2013 3e kwartaal;917
356;Totaal natuurlijke personen;Nederland;2013 oktober;379
357;Totaal natuurlijke personen;Nederland;2013 november;335
358;Totaal natuurlijke personen;Nederland;2013 december;300
359;Totaal natuurlijke personen;Nederland;2013 4e kwartaal;1014
360;Totaal natuurlijke personen;Nederland;2013;4017
361;Totaal natuurlijke personen;Nederland;2014 januari;335
362;Totaal natuurlijke personen;Nederland;2014 februari;290
363;Totaal natuurlijke personen;Nederland;2014 maart;254
364;Totaal natuurlijke personen;Nederland;2014 1e kwartaal;879
365;Totaal natuurlijke personen;Nederland;2014 april;320
