ID;Perioden;InvoerprijsOpBasisVanGewicht_1;NettoVerbrandingswaarde_2;InvoerprijsOpBasisVerbrandingswaarde_3
66;1994 2e kwartaal;36.79;26.3;1.26
67;1994 3e kwartaal;38.55;26.5;1.32
68;1994 4e kwartaal;37.06;26.6;1.27
69;1994;37.65;26.5;1.28
70;1995 1e kwartaal;36.92;26.5;1.26
71;1995 2e kwartaal;35.39;26.4;1.21
72;1995 3e kwartaal;36.05;26.3;1.23
73;1995 4e kwartaal;40.45;26.5;1.38
74;1995;37.27;26.4;1.27
75;1996 1e kwartaal;38.07;26.1;1.3
76;1996 2e kwartaal;34.96;25.9;1.19
77;1996 3e kwartaal;34.14;25.7;1.17
78;1996 4e kwartaal;33.83;25.1;1.15
79;1996;35.21;25.7;1.2
80;1997 1e kwartaal;35.94;25.5;1.23
81;1997 2e kwartaal;39.27;24.1;1.34
82;1997 3e kwartaal;41.38;24.8;1.41
83;1997 4e kwartaal;38.6;25.1;1.32
84;1997;38.95;24.9;1.33
85;1998 1e kwartaal;38.04;24.4;1.3
86;1998 2e kwartaal;35.95;24.8;1.23
87;1998 3e kwartaal;33.97;25.1;1.16
88;1998 4e kwartaal;30.57;25.2;1.04
89;1998;34.36;24.9;1.17
90;1999 1e kwartaal;30.66;25.4;1.05
91;1999 2e kwartaal;31.67;25.1;1.08
92;1999 3e kwartaal;32.47;25.3;1.11
93;1999 4e kwartaal;32.3;25.6;1.1
94;1999;31.62;25.3;1.08
95;2000 1e kwartaal;33.92;25.3;1.16
96;2000 2e kwartaal;34.9;25.1;1.19
97;2000 3e kwartaal;40.11;24.8;1.37
98;2000 4e kwartaal;43.98;24.9;1.5
99;2000;38.17;25.0;1.3
100;2001 1e kwartaal;46.05;24.8;1.57
101;2001 2e kwartaal;49.04;25.0;1.67
102;2001 3e kwartaal;49.48;25.3;1.69
103;2001 4e kwartaal;50.33;25.2;1.72
104;2001;48.72;25.1;1.66
105;2002 1e kwartaal;46.83;25.1;1.6
106;2002 2e kwartaal;43.53;25.3;1.49
107;2002 3e kwartaal;39.01;25.3;1.33
108;2002 4e kwartaal;37.12;25.4;1.27
109;2002;42.19;25.3;1.43
110;2003 1e kwartaal;35.53;25.4;1.21
111;2003 2e kwartaal;37.87;25.4;1.29
112;2003 3e kwartaal;35.05;25.4;1.2
113;2003 4e kwartaal;39.22;25.3;1.34
114;2003;36.87;25.4;1.26
115;2004 1e kwartaal;44.91;25.1;1.53
116;2004 2e kwartaal;50.92;25.4;1.74
117;2004 3e kwartaal;56.14;25.4;1.92
118;2004 4e kwartaal;59.11;25.4;2.02
119;2004;52.64;25.3;1.8
120;2005 1e kwartaal;61.0;25.1;2.08
121;2005 2e kwartaal;61.3;25.6;2.09
122;2005 3e kwartaal;61.82;25.7;2.11
123;2005 4e kwartaal;64.41;25.5;2.2
124;2005;62.03;25.5;2.12
125;2006 1e kwartaal;59.02;25.0;2.01
126;2006 2e kwartaal;59.48;25.1;2.03
127;2006 3e kwartaal;59.77;24.8;2.04
128;2006 4e kwartaal;62.7;24.6;2.14
129;2006;60.36;24.9;2.06
130;2007 1e kwartaal;63.58;24.7;2.17
131;2007 2e kwartaal;59.77;24.8;2.04
132;2007 3e kwartaal;68.86;24.7;2.35
133;2007 4e kwartaal;80.87;24.6;2.76
134;2007;70.03;24.7;2.39
135;2008 1e kwartaal;88.19;24.7;3.01
136;2008 2e kwartaal;95.23;24.6;3.25
137;2008 3e kwartaal;130.68;24.6;4.46
138;2008 4e kwartaal;125.4;24.5;4.28
139;2008;112.22;24.6;3.83
140;2009 1e kwartaal;92.88;24.9;3.17
141;2009 2e kwartaal;80.87;24.7;2.76
142;2009 3e kwartaal;71.79;24.7;2.45
143;2009 4e kwartaal;65.05;24.6;2.22
144;2009;77.65;24.7;2.65
145;2010 1e kwartaal;76.18;24.7;2.6
146;2010 2e kwartaal;77.94;24.9;2.66
147;2010 3e kwartaal;92.59;24.9;3.16
148;2010 4e kwartaal;81.16;24.8;2.77
149;2010;82.04;24.8;2.8
150;2011 1e kwartaal;95.23;24.6;3.25
151;2011 2e kwartaal;90.54;24.7;3.09
152;2011 3e kwartaal;91.12;24.7;3.11
153;2011 4e kwartaal;100.79;24.5;3.44
154;2011;94.35;24.6;3.22
155;2012 1e kwartaal;98.74;24.6;3.37
156;2012 2e kwartaal;94.64;24.9;3.23
157;2012 3e kwartaal;96.1;24.6;3.28
158;2012 4e kwartaal;86.44;24.6;2.95
159;2012;94.05;24.7;3.21
160;2013 1e kwartaal;82.63;24.8;2.82
161;2013 2e kwartaal;82.33;24.9;2.81
162;2013 3e kwartaal;77.65;25.2;2.65
163;2013 4e kwartaal;76.47;24.9;2.61
164;2013;79.7;25.0;2.72
165;2014 1e kwartaal;78.52;25.0;2.68
166;2014 2e kwartaal;72.08;25.2;2.46
167;2014 3e kwartaal;72.37;25.2;2.47
168;2014 4e kwartaal;72.66;24.9;2.48
169;2014;73.84;24.9;2.52
170;2015 1e kwartaal;72.96;24.8;2.49
171;2015 2e kwartaal;74.72;25.0;2.55
172;2015 3e kwartaal;67.68;25.1;2.31
173;2015 4e kwartaal;63.58;25.0;2.17
174;2015;69.73;25.0;2.38
175;2016 1e kwartaal;55.7;25.1;1.9
176;2016 2e kwartaal;55.08;25.2;1.88
177;2016 3e kwartaal;62.54;25.3;2.13
