ID;Geslacht;Leeftijd;Perioden;TotaalNietNatuurlijkeDood_1;Per100000MannenVrouwen_2;TotaalZelfdoding_3;Per100000MannenVrouwen_4;Ongehuwd_5;Gehuwd_6;Verweduwd_7;Gescheiden_8;OphangenVerwurgen_9;MedicijnenEnOfAlcohol_10;VoorTreinOfMetro_11;Verdrinken_12;SpringenVanHoogte_13;OverigeWijzeVanZelfdoding_14;OnbekendeWijzeVanZelfdoding_15;PsychischeStoornissen_16;FysiekeStoornissen_17;HuiselijkeOmstandigheden_18;OverigMotiefVanZelfdoding_19;OnbekendMotiefVanZelfdoding_20;TotaalMoordEnDoodslag_21;Per100000MannenVrouwen_22;OphangenVerwurgenVerstikken_23;DoodslaanSchoppen_24;Vuurwapen_25;Steekwapen_26;Slagwapen_27;OverigeWijzeVanMoordEnDoodslag_28;OnbekendeWijzeVanMoordEnDoodslag_29;OvervalBeroving_30;HuiselijkeOmstandigheden_31;RuzieGeenHuiselijkeOmstandigheden_32;CriminelenOnderling_33;GeenMotief_34;OverigMotiefVanMoordEnDoodslag_35;OnbekendMotiefVanMoordEnDoodslag_36;WoningVanHetSlachtoffer_37;WoningVanAnderen_38;Horecagelegenheid_39;OpenbareWeg_40;OverigePleeglocatieVanMoord_41;OnbekendePleeglocatieVanMoord_42;TotaalWegverkeersdoden_43;Per100000MannenVrouwen_44;Voetganger_45;Fiets_46;BromSnorfiets_47;Motorfiets_48;Personenauto_49;BestelautoVrachtauto_50;OverigeDeelname_51;OnbekendeDeelname_52;Groningen_53;Friesland_54;Drenthe_55;Overijssel_56;Flevoland_57;Gelderland_58;Utrecht_59;NoordHolland_60;ZuidHolland_61;Zeeland_62;NoordBrabant_63;Limburg_64;ProvincieOnbekend_65;Buitenland_66;Onbekend_67;TotaalBedrijfsongeval_68;Per100000MannenVrouwen_69;LandbouwEnVisserij_70;IndustrieEnDelfstoffenwinning_71;Bouwnijverheid_72;VervoerOpslagCommunicatie_73;OverigeBedrijfstakVanBedrijfsongeval_74;OnbekendeBedrijfstakVanBedrijfsong_75;MachineGereedschap_76;HijskraanTakelLiftED_77;DeelVanGebouwenLaddersSteigers_78;SchuivendeOfVallendeGoederenLading_79;OverigBelangrijksteVoorwerp_80;OnbekendBelangrijksteVoorwerp_81;TotaalPriveOngeval_82;Per100000MannenVrouwen_83;Spelen_84;HuishoudelijkWerk_85;DoeHetZelven_86;Slapen_87;Sporten_88;VanNaarInToiletBadkamer_89;OverigeActiviteitVanPriveOngeval_90;OnbekendeActiviteitVanPriveOngeval_91;Vallen_92;Object_93;Verbranden_94;Verdrinken_95;Verstikken_96;OverigeOorzaakVanPriveOngeval_97;OnbekendeOorzaakVanPriveOngeval_98;InEnOmHetHuis_99;VerpleegOfZiekenhuis_100;OpenbareWeg_101;RecreatieOfNatuurgebied_102;OverigeLocatieVanPriveOngeval_103;OnbekendeLocatieVanPriveOngeval_104;TotaalOverigeEnOnbekendeGevallen_105;Per100000MannenVrouwen_106
10;Totaal mannen en vrouwen;Totaal alle leeftijden;2006;5354;32.8;1524;9.3;624;480.0;138.0;282.0;693;236;178;107;161;139;10;736;136;202;162;288;128;0.8;10;7;31;46;9;5;20;7;13;12;9;2;10;75;50;25;11;23;14;5;754;4.6;67;209;85;56;305;26;3;3;30;38;39;60;13;124;44;103;111;33;110;49;0;0;0;70;0.4;13;6;25;12;14;0;6;22;17;6;18;1;2469;15.1;23;78;45;101;6;134;733;1349;1996;19;68;87;145;107;47;795;483;42;95;71;983;409;2.5
11;Totaal mannen en vrouwen;Totaal alle leeftijden;2007;5207;31.8;1353;8.3;547;428.0;117.0;261.0;577;243;188;86;114;134;11;636;95;177;172;273;143;0.9;15;14;40;44;15;8;7;10;18;22;9;4;17;63;58;23;15;30;15;2;770;4.7;88;189;81;66;297;42;1;6;23;33;38;48;13;112;54;105;115;19;132;71;0;7;0;66;0.4;15;8;23;7;6;7;11;7;13;10;18;7;2420;14.8;16;70;49;133;8;159;724;1261;1992;18;34;72;146;109;49;829;413;63;72;103;940;455;2.8
12;Totaal mannen en vrouwen;Totaal alle leeftijden;2008;5415;32.9;1435;8.7;600;458.0;112.0;265.0;648;279;156;99;110;136;7;713;111;189;183;239;150;0.9;11;14;37;57;12;12;7;3;12;15;7;2;13;98;69;16;6;43;10;6;699;4.2;55;174;74;63;291;35;2;5;34;34;34;51;12;116;48;88;87;27;122;45;0;1;0;75;0.5;19;10;29;6;4;7;11;10;18;10;20;6;2557;15.5;26;75;31;144;8;169;761;1343;2050;16;54;74;150;136;77;895;476;39;67;82;998;499;3.0
13;Totaal mannen en vrouwen;Totaal alle leeftijden;2009;5618;34.0;1525;9.2;613;488.0;122.0;302.0;677;259;187;104;123;169;6;750;109;172;152;342;154;0.9;14;18;41;53;7;14;7;6;15;20;13;9;15;76;69;24;10;35;13;3;683;4.1;64;181;67;65;277;23;1;5;29;27;33;62;13;91;38;94;111;19;121;37;0;8;0;65;0.4;14;12;17;6;6;10;10;7;12;11;16;9;2712;16.4;24;60;41;105;8;174;807;1493;2185;22;32;79;165;159;70;927;506;52;97;117;1013;479;2.9
14;Totaal mannen en vrouwen;Totaal alle leeftijden;2010;5748;34.6;1600;9.6;638;540.0;136.0;286.0;744;258;182;103;139;168;6;719;83;138;119;541;144;0.9;12;17;33;61;10;8;3;10;17;19;8;4;6;80;83;10;7;32;9;3;597;3.6;67;155;61;58;225;21;4;6;25;27;26;51;16;79;35;74;89;26;107;33;0;9;0;57;0.3;16;8;13;6;8;6;9;8;12;5;14;9;2767;16.7;9;46;33;145;11;130;511;1882;2242;21;30;70;166;106;132;903;564;47;90;120;1043;583;3.5
15;Totaal mannen en vrouwen;Totaal alle leeftijden;2011;5844;35.0;1647;9.9;690;524.0;129.0;304.0;741;303;205;106;133;159;0;797;95;151;160;444;143;0.9;12;18;49;43;12;5;4;4;13;13;17;1;14;81;74;14;19;24;12;0;653;3.9;68;197;74;52;229;21;3;9;25;29;28;47;14;81;36;95;96;21;112;49;0;20;0;59;0.4;9;14;18;7;6;5;15;7;11;8;13;5;2821;16.9;8;48;25;126;5;128;705;1776;2376;21;27;70;119;119;89;941;586;62;77;125;1030;521;3.1
16;Totaal mannen en vrouwen;Jonger dan 15 jaar;1996;169;5.9;5;0.2;5;;;;4;0;1;0;0;0;0;0;0;2;1;2;19;0.7;4;0;1;5;0;3;6;0;6;0;0;1;1;11;10;6;0;0;1;2;67;2.3;12;30;4;0;16;0;1;4;2;4;4;10;0;10;4;12;4;1;12;4;0;0;0;2;0.1;2;0;0;0;0;0;0;0;0;0;2;0;60;2.1;24;0;0;9;2;0;7;18;5;3;8;32;12;0;0;30;0;1;13;11;5;16;0.6
17;Totaal mannen en vrouwen;Jonger dan 15 jaar;1997;186;6.5;11;0.4;11;;;;6;0;1;0;2;1;1;2;0;4;0;5;22;0.8;7;0;2;2;0;2;9;0;5;0;0;1;0;16;7;2;0;1;4;8;62;2.2;17;32;1;0;12;0;0;0;3;0;6;3;3;12;4;8;8;0;10;5;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;85;3.0;41;0;0;10;5;0;10;19;11;9;8;39;12;1;5;34;0;3;31;9;8;6;0.2
18;Totaal mannen en vrouwen;Jonger dan 15 jaar;1998;131;4.5;9;0.3;9;;;;7;0;1;0;0;1;0;1;0;4;1;3;11;0.4;3;0;0;4;0;1;3;0;0;3;0;1;0;7;5;0;0;0;2;4;43;1.5;9;21;0;0;13;0;0;0;1;3;2;4;1;4;4;8;4;0;9;3;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;61;2.1;23;0;0;8;1;0;3;26;7;3;4;25;21;0;1;28;0;3;13;10;7;7;0.2
19;Totaal mannen en vrouwen;Jonger dan 15 jaar;1999;172;5.9;12;0.4;12;;;;11;0;1;0;0;0;0;2;0;4;2;4;13;0.4;5;1;0;1;2;1;3;0;3;5;0;0;1;4;6;2;0;1;3;1;74;2.5;15;35;1;2;20;1;0;0;4;7;2;8;1;10;3;14;6;5;11;3;0;0;0;1;0.0;0;1;0;0;0;0;0;0;1;0;0;0;66;2.3;29;0;0;6;2;0;2;27;10;4;3;30;14;2;3;38;0;2;14;7;5;6;0.2
20;Totaal mannen en vrouwen;Jonger dan 15 jaar;2000;144;4.9;5;0.2;5;;;;5;0;0;0;0;0;0;0;0;2;0;3;7;0.2;2;0;0;0;0;1;4;0;1;0;0;1;1;4;2;1;0;0;1;3;56;1.9;11;30;2;0;9;4;0;0;2;2;3;6;1;15;1;2;9;1;7;7;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;71;2.4;30;0;0;10;0;0;3;28;8;9;10;27;12;0;5;30;5;3;20;7;6;5;0.2
21;Totaal mannen en vrouwen;Jonger dan 15 jaar;2001;131;4.4;3;0.1;3;;;;2;0;0;0;1;0;0;1;0;0;0;2;10;0.3;1;0;0;2;2;1;4;0;2;0;0;1;1;6;5;0;0;0;4;1;48;1.6;14;18;1;1;14;0;0;0;2;2;4;3;1;8;2;5;9;0;7;5;0;0;0;1;0.0;0;0;1;0;0;0;0;0;0;1;0;0;59;2.0;29;0;0;11;1;3;3;12;5;6;3;22;19;2;2;34;0;1;11;10;3;10;0.3
22;Totaal mannen en vrouwen;Jonger dan 15 jaar;2002;126;4.2;7;0.2;7;;;;7;0;0;0;0;0;0;2;0;2;0;3;19;0.6;2;0;0;0;0;8;9;0;8;0;0;2;1;8;14;1;0;0;2;2;39;1.3;14;20;0;1;4;0;0;0;1;1;3;1;1;5;1;9;6;0;9;2;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;53;1.8;27;2;0;7;1;0;6;10;5;1;5;29;10;2;1;26;1;1;19;4;2;8;0.3
23;Totaal mannen en vrouwen;Jonger dan 15 jaar;2003;156;5.2;3;0.1;3;;;;3;0;0;0;0;0;0;1;0;1;0;1;15;0.5;1;2;1;5;0;2;4;0;3;3;0;1;0;8;10;4;0;1;0;0;60;2.0;16;21;2;0;15;3;0;3;4;6;1;4;3;11;6;6;6;0;9;4;0;0;0;4;0.1;1;0;1;1;0;1;0;0;0;2;2;0;57;1.9;24;0;0;15;0;1;6;11;7;4;6;16;20;3;1;26;4;1;15;5;6;17;0.6
24;Totaal mannen en vrouwen;Jonger dan 15 jaar;2004;128;4.3;9;0.3;9;;;;5;0;2;0;1;1;0;5;0;1;0;3;12;0.4;2;0;0;3;0;4;3;0;2;2;0;1;3;4;8;1;0;0;1;2;35;1.2;6;21;1;1;5;0;1;0;3;3;2;4;0;7;0;2;4;1;5;4;0;0;0;2;0.1;0;0;0;0;2;0;0;0;1;0;1;0;56;1.9;31;0;1;11;0;1;4;8;9;7;3;22;12;2;1;34;1;0;12;8;1;14;0.5
25;Totaal mannen en vrouwen;Jonger dan 15 jaar;2005;128;4.3;13;0.4;13;;;;8;0;5;0;0;0;0;4;0;2;1;6;21;0.7;7;1;3;3;2;1;4;0;5;0;0;0;10;6;19;0;0;0;2;0;28;0.9;8;14;0;0;6;0;0;0;1;3;0;0;1;6;2;2;2;2;7;2;0;0;0;3;0.1;3;0;0;0;0;0;0;0;0;0;3;0;57;1.9;26;0;0;7;1;2;7;14;11;5;7;21;11;1;1;30;2;2;12;7;4;6;0.2
26;Totaal mannen en vrouwen;Jonger dan 15 jaar;2006;105;3.5;4;0.1;4;;;;3;0;1;0;0;0;0;1;0;1;1;1;16;0.5;3;0;1;5;0;0;7;0;4;0;0;0;0;12;9;3;0;1;2;1;35;1.2;7;17;0;0;11;0;0;0;4;2;0;0;1;4;1;6;7;5;3;2;0;0;0;2;0.1;2;0;0;0;0;0;0;0;0;0;2;0;39;1.3;18;0;0;7;0;0;4;10;4;2;7;15;7;1;3;21;1;0;12;4;1;9;0.3
27;Totaal mannen en vrouwen;Jonger dan 15 jaar;2007;105;3.6;9;0.3;9;;;;8;0;1;0;0;0;0;3;0;2;1;3;16;0.5;4;3;0;1;0;5;3;0;6;0;0;0;3;7;10;1;1;0;3;1;33;1.1;7;15;3;0;5;1;0;2;1;1;2;1;0;9;1;1;10;0;4;3;0;0;0;2;0.1;2;0;0;0;0;0;0;1;0;0;1;0;42;1.4;16;0;0;12;1;0;8;5;2;6;7;11;12;2;2;19;0;4;11;6;2;3;0.1
28;Totaal mannen en vrouwen;Jonger dan 15 jaar;2008;88;3.0;5;0.2;5;;;;3;0;1;0;1;0;0;1;0;1;1;2;13;0.4;3;5;0;0;0;3;2;0;4;0;0;0;0;9;11;1;0;0;0;1;24;0.8;3;13;1;0;6;1;0;0;0;2;2;0;0;8;0;2;3;1;4;2;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;40;1.4;22;0;0;7;0;0;2;9;6;2;7;14;9;0;2;24;1;1;8;5;1;6;0.2
29;Totaal mannen en vrouwen;Jonger dan 15 jaar;2009;96;3.3;8;0.3;8;;;;6;0;2;0;0;0;0;2;0;2;0;4;15;0.5;1;4;1;4;0;3;2;0;7;0;0;0;0;8;10;3;0;1;1;0;24;0.8;7;16;0;0;1;0;0;0;0;0;1;4;0;1;2;5;6;3;1;1;0;0;0;1;0.0;1;0;0;0;0;0;1;0;0;0;0;0;44;1.5;20;0;0;8;0;1;6;9;2;8;5;14;14;1;0;29;0;0;10;4;1;4;0.1
30;Totaal mannen en vrouwen;Jonger dan 15 jaar;2010;83;2.9;6;0.2;6;;;;6;0;0;0;0;0;0;2;0;1;0;3;16;0.5;3;5;3;2;0;3;0;0;4;0;0;0;1;11;15;1;0;0;0;0;20;0.7;4;9;0;0;7;0;0;0;2;1;1;0;0;3;2;1;4;0;3;1;0;2;0;1;0.0;0;0;0;0;0;1;0;0;0;0;0;1;30;1.0;8;0;0;4;1;0;7;10;5;1;0;12;12;0;0;18;0;0;6;3;3;10;0.3
31;Totaal mannen en vrouwen;Jonger dan 15 jaar;2011;67;2.3;4;0.1;4;;;;0;0;3;0;1;0;0;1;0;0;1;2;12;0.4;4;5;0;0;0;3;0;0;3;0;0;0;0;9;8;2;2;0;0;0;20;0.7;4;10;1;0;4;0;0;1;2;1;1;4;2;0;3;3;2;0;1;0;0;1;0;1;0.0;1;0;0;0;0;0;1;0;0;0;0;0;25;0.9;7;0;0;4;0;1;7;6;0;4;0;4;12;1;4;16;1;0;3;3;2;5;0.2
32;Totaal mannen en vrouwen;15 tot 20 jaar;1996;196;21.2;37;4.0;37;0.0;0.0;0.0;14;3;9;1;8;2;0;11;1;6;4;15;9;1.0;0;1;1;6;0;1;0;0;1;2;0;1;0;5;2;0;1;3;1;2;128;13.8;11;25;46;5;38;1;1;1;8;6;5;8;2;14;7;17;14;6;34;6;0;0;1;3;0.3;1;1;0;1;0;0;0;0;0;2;1;0;13;1.4;0;0;0;0;3;0;3;7;5;2;0;3;1;1;1;2;0;1;6;2;2;6;0.6
33;Totaal mannen en vrouwen;15 tot 20 jaar;1997;194;20.9;45;4.9;45;0.0;0.0;0.0;16;1;16;2;5;5;0;17;2;6;3;17;12;1.3;4;2;2;4;0;0;0;0;0;1;1;0;1;9;0;3;0;3;1;5;113;12.2;5;26;38;4;37;1;1;1;3;5;5;15;2;19;8;13;15;3;19;6;0;0;0;6;0.6;2;1;3;0;0;0;1;0;0;2;1;2;17;1.8;1;0;0;2;1;0;6;7;5;1;2;2;2;3;2;4;0;3;5;2;3;1;0.1
34;Totaal mannen en vrouwen;15 tot 20 jaar;1998;188;20.3;40;4.3;39;1.0;0.0;0.0;19;1;9;2;5;4;0;14;1;6;10;9;11;1.2;0;0;4;4;1;0;2;0;1;1;0;0;0;9;2;0;0;3;0;6;121;13.1;8;18;48;2;42;2;0;1;5;10;6;3;2;14;11;17;25;3;18;7;0;0;0;6;0.6;2;1;0;0;2;1;1;0;1;1;3;0;6;0.6;0;0;0;1;1;0;1;3;3;0;0;1;1;1;0;1;1;1;1;1;1;4;0.4
35;Totaal mannen en vrouwen;15 tot 20 jaar;1999;188;20.3;42;4.5;40;2.0;0.0;0.0;17;2;11;3;8;1;0;17;0;5;5;15;11;1.2;2;0;5;1;2;0;1;0;0;2;0;1;0;8;1;1;0;3;2;4;115;12.4;4;22;35;2;50;1;0;1;3;8;0;10;3;29;9;13;11;4;19;5;1;0;0;4;0.4;0;1;1;0;1;1;1;0;0;1;2;0;14;1.5;0;0;1;2;1;0;5;5;2;1;0;5;1;3;2;4;0;0;6;4;0;2;0.2
36;Totaal mannen en vrouwen;15 tot 20 jaar;2000;209;22.5;43;4.6;43;0.0;0.0;0.0;26;0;10;3;2;2;0;10;1;10;3;19;16;1.7;2;1;3;7;1;1;1;0;1;3;0;2;1;9;3;4;1;5;1;2;131;14.1;4;19;42;5;51;8;2;0;3;9;5;6;3;16;10;19;23;5;21;11;0;0;0;5;0.5;1;0;2;1;0;1;1;0;0;1;3;0;8;0.9;2;0;0;2;0;0;1;3;0;3;1;0;3;1;0;5;0;1;0;1;1;6;0.6
37;Totaal mannen en vrouwen;15 tot 20 jaar;2001;162;17.3;33;3.5;33;0.0;0.0;0.0;12;2;11;2;3;3;0;11;0;6;4;12;9;1.0;0;0;5;3;0;1;0;1;0;2;2;0;0;4;2;3;2;1;0;1;95;10.1;9;15;25;3;42;1;0;0;4;4;3;10;1;15;6;7;11;5;17;12;0;0;0;6;0.6;2;1;1;1;1;0;0;0;1;2;3;0;17;1.8;1;0;0;0;1;0;9;6;0;1;7;2;3;3;1;4;0;3;2;7;1;2;0.2
38;Totaal mannen en vrouwen;15 tot 20 jaar;2002;195;20.5;38;4.0;38;0.0;0.0;0.0;18;3;11;0;4;2;0;16;0;8;7;7;7;0.7;0;0;3;4;0;0;0;0;0;2;1;0;0;4;0;3;0;4;0;0;125;13.1;4;18;35;2;63;3;0;0;9;5;7;7;1;19;7;16;10;3;31;10;0;0;0;3;0.3;0;0;2;0;1;0;0;1;0;1;1;0;15;1.6;5;0;0;0;0;1;5;4;1;0;3;7;2;2;0;6;1;0;7;0;1;7;0.7
39;Totaal mannen en vrouwen;15 tot 20 jaar;2003;166;17.2;31;3.2;31;0.0;0.0;0.0;12;1;11;1;3;3;0;9;0;3;3;16;13;1.3;1;1;2;7;0;1;1;2;0;5;1;0;1;4;1;0;1;10;1;0;109;11.3;4;12;29;2;56;6;0;0;6;5;6;7;7;11;10;13;15;6;14;9;0;0;0;1;0.1;0;0;0;0;1;0;0;1;0;0;0;0;8;0.8;1;0;0;1;0;0;5;1;0;0;1;4;1;2;0;1;0;0;5;2;0;4;0.4
40;Totaal mannen en vrouwen;15 tot 20 jaar;2004;148;15.2;32;3.3;32;0.0;0.0;0.0;19;1;5;0;5;2;0;10;1;5;4;12;10;1.0;0;1;1;6;1;0;1;0;0;4;0;0;1;5;0;2;0;8;0;0;84;8.6;3;11;21;3;43;2;0;1;2;2;4;9;4;16;5;7;8;1;21;5;0;0;0;2;0.2;0;0;2;0;0;0;0;0;2;0;0;0;11;1.1;0;0;0;1;1;0;7;2;2;0;0;4;1;2;2;3;0;1;6;1;0;9;0.9
