ID;SoortGezin;Regio;Gezinnen_1
115;Totaal aantal gezinnen;Zeeland, gem. 5001 - 10000 inw.;27
116;Totaal aantal gezinnen;Zeeland, gem. 2001 - 5000 inw.;214
117;Totaal aantal gezinnen;Zeeland, gem. 1001 - 2000 inw.;45
118;Totaal aantal gezinnen;Zeeland, gem. 501 - 1000 inw.;8
119;Totaal aantal gezinnen;Zeeland, gem. 500 en minder inw.;0
120;Totaal aantal gezinnen;Noord-Brabant, gem. 50001 - 100000 inw.;75
121;Totaal aantal gezinnen;Eindhoven;54
122;Totaal aantal gezinnen;Tilburg;21
123;Totaal aantal gezinnen;Noord-Brabant, gem. 20001 - 50000 inw.;350
124;Totaal aantal gezinnen;Bergen op Zoom;68
125;Totaal aantal gezinnen;Breda;47
126;Totaal aantal gezinnen;Helmond;26
127;Totaal aantal gezinnen;'s-Hertogenbosch;153
128;Totaal aantal gezinnen;Roosendaal en Nispen;56
129;Totaal aantal gezinnen;Noord-Brabant, gem. 10001 - 20000 inw.;90
130;Totaal aantal gezinnen;Noord-Brabant, gem. 5001 - 10000 inw.;314
131;Totaal aantal gezinnen;Noord-Brabant, gem. 2001 - 5000 inw.;434
132;Totaal aantal gezinnen;Noord-Brabant, gem. 1001 - 2000 inw.;336
133;Totaal aantal gezinnen;Noord-Brabant, gem. 501 - 1000 inw.;5
134;Totaal aantal gezinnen;Limburg, gem. 50001 - 100000 inw.;32
135;Totaal aantal gezinnen;Maastricht;32
136;Totaal aantal gezinnen;Limburg, gem. 20001 - 50000 inw.;106
137;Totaal aantal gezinnen;Heerlen;53
138;Totaal aantal gezinnen;Kerkrade;10
139;Totaal aantal gezinnen;Venlo;43
140;Totaal aantal gezinnen;Limburg, gem. 10001 - 20000 inw.;146
141;Totaal aantal gezinnen;Limburg, gem. 5001 - 10000 inw.;13
142;Totaal aantal gezinnen;Limburg, gem. 2001 - 5000 inw.;13
143;Totaal aantal gezinnen;Limburg, gem. 1001 - 2000 inw.;31
144;Totaal aantal gezinnen;Limburg, gem. 501 - 1000 inw.;1
145;Totaal aantal gezinnen;Limburg, gem. 500 en minder inw.;0
146;Totaal gezinnen met echtpaar;Nederland;14081
147;Totaal gezinnen met echtpaar;Groningen (provincie);2400
148;Totaal gezinnen met echtpaar;Friesland;1387
149;Totaal gezinnen met echtpaar;Drenthe;567
150;Totaal gezinnen met echtpaar;Overijssel;819
151;Totaal gezinnen met echtpaar;Gelderland;1129
152;Totaal gezinnen met echtpaar;Utrecht (provincie);291
153;Totaal gezinnen met echtpaar;Noord-Holland;1654
154;Totaal gezinnen met echtpaar;Zuid-Holland;3689
155;Totaal gezinnen met echtpaar;Zeeland;371
156;Totaal gezinnen met echtpaar;Noord-Brabant;1478
157;Totaal gezinnen met echtpaar;Limburg;296
158;Totaal gezinnen met echtpaar;Gemeenten met meer dan 100000 inwoners;4685
159;Totaal gezinnen met echtpaar;Gemeenten met 50001 - 100000 inwoners;679
160;Totaal gezinnen met echtpaar;Gemeenten met 20001 - 50000 inwoners;1378
161;Totaal gezinnen met echtpaar;Gemeenten met 10001 - 20000 inwoners;2524
162;Totaal gezinnen met echtpaar;Gemeenten met 5001 - 10000 inwoners;1778
163;Totaal gezinnen met echtpaar;Gemeenten met 2001 - 5000 inwoners;2315
164;Totaal gezinnen met echtpaar;Gemeenten met 1001 - 2000 inwoners;594
165;Totaal gezinnen met echtpaar;Gemeenten met 501 - 1000 inwoners;122
166;Totaal gezinnen met echtpaar;Gemeenten met 500 of minder inwoners;6
167;Totaal gezinnen met echtpaar;Groningen, gem. 100001 en meer inw.;887
168;Totaal gezinnen met echtpaar;Groningen;887
169;Totaal gezinnen met echtpaar;Groningen, gem. 10001 - 20000 inw.;760
170;Totaal gezinnen met echtpaar;Groningen, gem. 5001 - 10000 inw.;418
171;Totaal gezinnen met echtpaar;Groningen, gem. 2001 - 5000 inw.;289
172;Totaal gezinnen met echtpaar;Groningen, gem. 1001 - 2000 inw.;46
173;Totaal gezinnen met echtpaar;Friesland, gem. 20001 - 50000 inw.;293
174;Totaal gezinnen met echtpaar;Leeuwarden;293
175;Totaal gezinnen met echtpaar;Friesland, gem. 10001 - 20000 inw.;648
176;Totaal gezinnen met echtpaar;Friesland, gem. 5001 - 10000 inw.;369
177;Totaal gezinnen met echtpaar;Friesland, gem. 2001 - 5000 inw.;44
178;Totaal gezinnen met echtpaar;Friesland, gem. 1001 - 2000 inw.;3
179;Totaal gezinnen met echtpaar;Friesland, gem. 501 - 1000 inw.;30
180;Totaal gezinnen met echtpaar;Drenthe, gem. 20001 - 50000 inw.;76
181;Totaal gezinnen met echtpaar;Emmen;76
182;Totaal gezinnen met echtpaar;Drenthe, gem. 10001 - 20000 inw.;363
183;Totaal gezinnen met echtpaar;Drenthe, gem. 5001 - 10000 inw.;90
184;Totaal gezinnen met echtpaar;Drenthe, gem. 2001 - 5000 inw.;38
185;Totaal gezinnen met echtpaar;Drenthe, gem. 1001 - 2000 inw.;0
186;Totaal gezinnen met echtpaar;Overijssel, gem. 50001 - 100000 inw.;70
187;Totaal gezinnen met echtpaar;Enschede;70
188;Totaal gezinnen met echtpaar;Overijssel, gem. 20001 - 50000 inw.;344
189;Totaal gezinnen met echtpaar;Almelo;56
190;Totaal gezinnen met echtpaar;Deventer;71
191;Totaal gezinnen met echtpaar;Hengelo (O.);13
192;Totaal gezinnen met echtpaar;Lonneker;2
193;Totaal gezinnen met echtpaar;Zwolle;202
194;Totaal gezinnen met echtpaar;Overijssel, gem. 10001 - 20000 inw.;115
195;Totaal gezinnen met echtpaar;Overijssel, gem. 5001 - 10000 inw.;0
196;Totaal gezinnen met echtpaar;Overijssel, gem. 2001 - 5000 inw.;271
197;Totaal gezinnen met echtpaar;Overijssel, gem. 1001 - 2000 inw.;1
198;Totaal gezinnen met echtpaar;Overijssel, gem. 501 - 1000 inw.;18
199;Totaal gezinnen met echtpaar;Gelderland, gem. 50001 - 100000 inw.;163
200;Totaal gezinnen met echtpaar;Apeldoorn;29
201;Totaal gezinnen met echtpaar;Arnhem;63
202;Totaal gezinnen met echtpaar;Nijmegen;71
203;Totaal gezinnen met echtpaar;Gelderland, gem. 20001 - 50000 inw.;14
204;Totaal gezinnen met echtpaar;Ede;5
205;Totaal gezinnen met echtpaar;Rheden;9
206;Totaal gezinnen met echtpaar;Gelderland, gem. 10001 - 20000 inw.;142
207;Totaal gezinnen met echtpaar;Gelderland, gem. 5001 - 10000 inw.;272
208;Totaal gezinnen met echtpaar;Gelderland, gem. 2001 - 5000 inw.;447
209;Totaal gezinnen met echtpaar;Gelderland, gem. 1001 - 2000 inw.;83
210;Totaal gezinnen met echtpaar;Gelderland, gem. 501 - 1000 inw.;8
211;Totaal gezinnen met echtpaar;Gelderland, gem. 500 en minder inw.;0
212;Totaal gezinnen met echtpaar;Utrecht, gem. 100001 en meer inw.;72
213;Totaal gezinnen met echtpaar;Utrecht;72
214;Totaal gezinnen met echtpaar;Utrecht, gem. 20001 - 50000 inw.;36
215;Totaal gezinnen met echtpaar;Amersfoort;32
216;Totaal gezinnen met echtpaar;Zeist;4
217;Totaal gezinnen met echtpaar;Utrecht, gem. 10001 - 20000 inw.;6
218;Totaal gezinnen met echtpaar;Utrecht, gem. 5001 - 10000 inw.;7
219;Totaal gezinnen met echtpaar;Utrecht, gem. 2001 - 5000 inw.;142
220;Totaal gezinnen met echtpaar;Utrecht, gem. 1001 - 2000 inw.;17
221;Totaal gezinnen met echtpaar;Utrecht, gem. 501 - 1000 inw.;11
222;Totaal gezinnen met echtpaar;Utrecht, gem. 500 en minder inw.;0
223;Totaal gezinnen met echtpaar;Noord-Holland, gem. 100001 en meer inw.;1222
224;Totaal gezinnen met echtpaar;Amsterdam;1125
225;Totaal gezinnen met echtpaar;Haarlem;97
226;Totaal gezinnen met echtpaar;Noord-Holland, gem. 50001 - 100000 inw.;21
227;Totaal gezinnen met echtpaar;Hilversum;21
228;Totaal gezinnen met echtpaar;Noord-Holland, gem. 20001 - 50000 inw.;168
229;Totaal gezinnen met echtpaar;Alkmaar;31
230;Totaal gezinnen met echtpaar;Bussum;18
231;Totaal gezinnen met echtpaar;Haarlemmermeer;14
232;Totaal gezinnen met echtpaar;Helder (Den);11
233;Totaal gezinnen met echtpaar;Velsen;25
234;Totaal gezinnen met echtpaar;Zaandam;69
235;Totaal gezinnen met echtpaar;Noord-Holland, gem. 10001 - 20000 inw.;18
236;Totaal gezinnen met echtpaar;Noord-Holland, gem. 5001 - 10000 inw.;93
237;Totaal gezinnen met echtpaar;Noord-Holland, gem. 2001 - 5000 inw.;115
238;Totaal gezinnen met echtpaar;Noord-Holland, gem. 1001 - 2000 inw.;7
239;Totaal gezinnen met echtpaar;Noord-Holland, gem. 501 - 1000 inw.;5
240;Totaal gezinnen met echtpaar;Noord-Holland, gem. 500 en minder inw.;5
241;Totaal gezinnen met echtpaar;Zuid-Holland, gem. 100001 en meer inw.;2504
242;Totaal gezinnen met echtpaar;'s-Gravenhage;83
243;Totaal gezinnen met echtpaar;Rotterdam;2421
244;Totaal gezinnen met echtpaar;Zuid-Holland, gem. 50001 - 100000 inw.;330
245;Totaal gezinnen met echtpaar;Delft;10
246;Totaal gezinnen met echtpaar;Dordrecht;259
247;Totaal gezinnen met echtpaar;Leiden;33
248;Totaal gezinnen met echtpaar;Schiedam;28
249;Totaal gezinnen met echtpaar;Zuid-Holland, gem. 20001 - 50000 inw.;37
250;Totaal gezinnen met echtpaar;Gouda;26
251;Totaal gezinnen met echtpaar;Vlaardingen;11
252;Totaal gezinnen met echtpaar;Zuid-Holland, gem. 10001 - 20000 inw.;160
253;Totaal gezinnen met echtpaar;Zuid-Holland, gem. 5001 - 10000 inw.;195
254;Totaal gezinnen met echtpaar;Zuid-Holland, gem. 2001 - 5000 inw.;365
255;Totaal gezinnen met echtpaar;Zuid-Holland, gem. 1001 - 2000 inw.;60
256;Totaal gezinnen met echtpaar;Zuid-Holland, gem. 501 - 1000 inw.;37
257;Totaal gezinnen met echtpaar;Zuid-Holland, gem. 500 en minder inw.;1
258;Totaal gezinnen met echtpaar;Zeeland, gem. 20001 - 50000 inw.;1
259;Totaal gezinnen met echtpaar;Vlissingen;1
260;Totaal gezinnen met echtpaar;Zeeland, gem. 10001 - 20000 inw.;101
261;Totaal gezinnen met echtpaar;Zeeland, gem. 5001 - 10000 inw.;25
262;Totaal gezinnen met echtpaar;Zeeland, gem. 2001 - 5000 inw.;199
263;Totaal gezinnen met echtpaar;Zeeland, gem. 1001 - 2000 inw.;38
264;Totaal gezinnen met echtpaar;Zeeland, gem. 501 - 1000 inw.;7
265;Totaal gezinnen met echtpaar;Zeeland, gem. 500 en minder inw.;0
266;Totaal gezinnen met echtpaar;Noord-Brabant, gem. 50001 - 100000 inw.;66
267;Totaal gezinnen met echtpaar;Eindhoven;47
268;Totaal gezinnen met echtpaar;Tilburg;19
269;Totaal gezinnen met echtpaar;Noord-Brabant, gem. 20001 - 50000 inw.;323
270;Totaal gezinnen met echtpaar;Bergen op Zoom;65
271;Totaal gezinnen met echtpaar;Breda;41
272;Totaal gezinnen met echtpaar;Helmond;23
273;Totaal gezinnen met echtpaar;'s-Hertogenbosch;145
274;Totaal gezinnen met echtpaar;Roosendaal en Nispen;49
275;Totaal gezinnen met echtpaar;Noord-Brabant, gem. 10001 - 20000 inw.;84
276;Totaal gezinnen met echtpaar;Noord-Brabant, gem. 5001 - 10000 inw.;296
277;Totaal gezinnen met echtpaar;Noord-Brabant, gem. 2001 - 5000 inw.;392
278;Totaal gezinnen met echtpaar;Noord-Brabant, gem. 1001 - 2000 inw.;312
279;Totaal gezinnen met echtpaar;Noord-Brabant, gem. 501 - 1000 inw.;5
280;Totaal gezinnen met echtpaar;Limburg, gem. 50001 - 100000 inw.;29
281;Totaal gezinnen met echtpaar;Maastricht;29
282;Totaal gezinnen met echtpaar;Limburg, gem. 20001 - 50000 inw.;86
283;Totaal gezinnen met echtpaar;Heerlen;40
284;Totaal gezinnen met echtpaar;Kerkrade;10
285;Totaal gezinnen met echtpaar;Venlo;36
286;Totaal gezinnen met echtpaar;Limburg, gem. 10001 - 20000 inw.;127
287;Totaal gezinnen met echtpaar;Limburg, gem. 5001 - 10000 inw.;13
288;Totaal gezinnen met echtpaar;Limburg, gem. 2001 - 5000 inw.;13
289;Totaal gezinnen met echtpaar;Limburg, gem. 1001 - 2000 inw.;27
290;Totaal gezinnen met echtpaar;Limburg, gem. 501 - 1000 inw.;1
291;Totaal gezinnen met echtpaar;Limburg, gem. 500 en minder inw.;0
292;Echtpaar met eigen kinderen;Nederland;13209
293;Echtpaar met eigen kinderen;Groningen (provincie);2255
294;Echtpaar met eigen kinderen;Friesland;1322
295;Echtpaar met eigen kinderen;Drenthe;541
296;Echtpaar met eigen kinderen;Overijssel;767
297;Echtpaar met eigen kinderen;Gelderland;1015
298;Echtpaar met eigen kinderen;Utrecht (provincie);273
299;Echtpaar met eigen kinderen;Noord-Holland;1525
300;Echtpaar met eigen kinderen;Zuid-Holland;3496
301;Echtpaar met eigen kinderen;Zeeland;343
302;Echtpaar met eigen kinderen;Noord-Brabant;1389
303;Echtpaar met eigen kinderen;Limburg;283
304;Echtpaar met eigen kinderen;Gemeenten met meer dan 100000 inwoners;4422
305;Echtpaar met eigen kinderen;Gemeenten met 50001 - 100000 inwoners;636
306;Echtpaar met eigen kinderen;Gemeenten met 20001 - 50000 inwoners;1309
307;Echtpaar met eigen kinderen;Gemeenten met 10001 - 20000 inwoners;2378
308;Echtpaar met eigen kinderen;Gemeenten met 5001 - 10000 inwoners;1663
309;Echtpaar met eigen kinderen;Gemeenten met 2001 - 5000 inwoners;2136
310;Echtpaar met eigen kinderen;Gemeenten met 1001 - 2000 inwoners;551
311;Echtpaar met eigen kinderen;Gemeenten met 501 - 1000 inwoners;109
312;Echtpaar met eigen kinderen;Gemeenten met 500 of minder inwoners;5
313;Echtpaar met eigen kinderen;Groningen, gem. 100001 en meer inw.;833
314;Echtpaar met eigen kinderen;Groningen;833
315;Echtpaar met eigen kinderen;Groningen, gem. 10001 - 20000 inw.;712
316;Echtpaar met eigen kinderen;Groningen, gem. 5001 - 10000 inw.;396
317;Echtpaar met eigen kinderen;Groningen, gem. 2001 - 5000 inw.;272
318;Echtpaar met eigen kinderen;Groningen, gem. 1001 - 2000 inw.;42
319;Echtpaar met eigen kinderen;Friesland, gem. 20001 - 50000 inw.;279
320;Echtpaar met eigen kinderen;Leeuwarden;279
321;Echtpaar met eigen kinderen;Friesland, gem. 10001 - 20000 inw.;622
322;Echtpaar met eigen kinderen;Friesland, gem. 5001 - 10000 inw.;347
323;Echtpaar met eigen kinderen;Friesland, gem. 2001 - 5000 inw.;42
324;Echtpaar met eigen kinderen;Friesland, gem. 1001 - 2000 inw.;3
325;Echtpaar met eigen kinderen;Friesland, gem. 501 - 1000 inw.;29
326;Echtpaar met eigen kinderen;Drenthe, gem. 20001 - 50000 inw.;73
327;Echtpaar met eigen kinderen;Emmen;73
328;Echtpaar met eigen kinderen;Drenthe, gem. 10001 - 20000 inw.;345
329;Echtpaar met eigen kinderen;Drenthe, gem. 5001 - 10000 inw.;86
330;Echtpaar met eigen kinderen;Drenthe, gem. 2001 - 5000 inw.;37
331;Echtpaar met eigen kinderen;Drenthe, gem. 1001 - 2000 inw.;0
332;Echtpaar met eigen kinderen;Overijssel, gem. 50001 - 100000 inw.;61
333;Echtpaar met eigen kinderen;Enschede;61
334;Echtpaar met eigen kinderen;Overijssel, gem. 20001 - 50000 inw.;329
335;Echtpaar met eigen kinderen;Almelo;52
336;Echtpaar met eigen kinderen;Deventer;67
337;Echtpaar met eigen kinderen;Hengelo (O.);12
338;Echtpaar met eigen kinderen;Lonneker;1
339;Echtpaar met eigen kinderen;Zwolle;197
340;Echtpaar met eigen kinderen;Overijssel, gem. 10001 - 20000 inw.;106
341;Echtpaar met eigen kinderen;Overijssel, gem. 5001 - 10000 inw.;0
342;Echtpaar met eigen kinderen;Overijssel, gem. 2001 - 5000 inw.;253
343;Echtpaar met eigen kinderen;Overijssel, gem. 1001 - 2000 inw.;1
344;Echtpaar met eigen kinderen;Overijssel, gem. 501 - 1000 inw.;17
345;Echtpaar met eigen kinderen;Gelderland, gem. 50001 - 100000 inw.;147
346;Echtpaar met eigen kinderen;Apeldoorn;23
347;Echtpaar met eigen kinderen;Arnhem;57
348;Echtpaar met eigen kinderen;Nijmegen;67
349;Echtpaar met eigen kinderen;Gelderland, gem. 20001 - 50000 inw.;11
350;Echtpaar met eigen kinderen;Ede;5
351;Echtpaar met eigen kinderen;Rheden;6
352;Echtpaar met eigen kinderen;Gelderland, gem. 10001 - 20000 inw.;132
353;Echtpaar met eigen kinderen;Gelderland, gem. 5001 - 10000 inw.;236
354;Echtpaar met eigen kinderen;Gelderland, gem. 2001 - 5000 inw.;412
355;Echtpaar met eigen kinderen;Gelderland, gem. 1001 - 2000 inw.;70
356;Echtpaar met eigen kinderen;Gelderland, gem. 501 - 1000 inw.;7
357;Echtpaar met eigen kinderen;Gelderland, gem. 500 en minder inw.;0
358;Echtpaar met eigen kinderen;Utrecht, gem. 100001 en meer inw.;69
359;Echtpaar met eigen kinderen;Utrecht;69
360;Echtpaar met eigen kinderen;Utrecht, gem. 20001 - 50000 inw.;36
361;Echtpaar met eigen kinderen;Amersfoort;32
362;Echtpaar met eigen kinderen;Zeist;4
363;Echtpaar met eigen kinderen;Utrecht, gem. 10001 - 20000 inw.;3
364;Echtpaar met eigen kinderen;Utrecht, gem. 5001 - 10000 inw.;7
365;Echtpaar met eigen kinderen;Utrecht, gem. 2001 - 5000 inw.;136
366;Echtpaar met eigen kinderen;Utrecht, gem. 1001 - 2000 inw.;14
367;Echtpaar met eigen kinderen;Utrecht, gem. 501 - 1000 inw.;8
368;Echtpaar met eigen kinderen;Utrecht, gem. 500 en minder inw.;0
369;Echtpaar met eigen kinderen;Noord-Holland, gem. 100001 en meer inw.;1133
370;Echtpaar met eigen kinderen;Amsterdam;1049
371;Echtpaar met eigen kinderen;Haarlem;84
372;Echtpaar met eigen kinderen;Noord-Holland, gem. 50001 - 100000 inw.;20
373;Echtpaar met eigen kinderen;Hilversum;20
374;Echtpaar met eigen kinderen;Noord-Holland, gem. 20001 - 50000 inw.;155
375;Echtpaar met eigen kinderen;Alkmaar;27
376;Echtpaar met eigen kinderen;Bussum;16
377;Echtpaar met eigen kinderen;Haarlemmermeer;14
378;Echtpaar met eigen kinderen;Helder (Den);10
379;Echtpaar met eigen kinderen;Velsen;23
380;Echtpaar met eigen kinderen;Zaandam;65
381;Echtpaar met eigen kinderen;Noord-Holland, gem. 10001 - 20000 inw.;17
382;Echtpaar met eigen kinderen;Noord-Holland, gem. 5001 - 10000 inw.;83
383;Echtpaar met eigen kinderen;Noord-Holland, gem. 2001 - 5000 inw.;102
384;Echtpaar met eigen kinderen;Noord-Holland, gem. 1001 - 2000 inw.;6
385;Echtpaar met eigen kinderen;Noord-Holland, gem. 501 - 1000 inw.;5
386;Echtpaar met eigen kinderen;Noord-Holland, gem. 500 en minder inw.;4
387;Echtpaar met eigen kinderen;Zuid-Holland, gem. 100001 en meer inw.;2387
388;Echtpaar met eigen kinderen;'s-Gravenhage;77
389;Echtpaar met eigen kinderen;Rotterdam;2310
390;Echtpaar met eigen kinderen;Zuid-Holland, gem. 50001 - 100000 inw.;320
391;Echtpaar met eigen kinderen;Delft;10
392;Echtpaar met eigen kinderen;Dordrecht;255
393;Echtpaar met eigen kinderen;Leiden;29
394;Echtpaar met eigen kinderen;Schiedam;26
395;Echtpaar met eigen kinderen;Zuid-Holland, gem. 20001 - 50000 inw.;32
396;Echtpaar met eigen kinderen;Gouda;24
397;Echtpaar met eigen kinderen;Vlaardingen;8
398;Echtpaar met eigen kinderen;Zuid-Holland, gem. 10001 - 20000 inw.;147
399;Echtpaar met eigen kinderen;Zuid-Holland, gem. 5001 - 10000 inw.;187
400;Echtpaar met eigen kinderen;Zuid-Holland, gem. 2001 - 5000 inw.;331
401;Echtpaar met eigen kinderen;Zuid-Holland, gem. 1001 - 2000 inw.;58
402;Echtpaar met eigen kinderen;Zuid-Holland, gem. 501 - 1000 inw.;33
