ID;Periods;OutputAtBasicPrices_1;IntermediateConsumption_2;Total_3;AAgricultureForestryAndFishing_4;Total_5;BMiningAndQuarrying_6;CManufacturing_7;DElectricityAndGasSupply_8;EWaterSupplyAndWasteManagement_9;FConstruction_10;GITradeTransportHotelsCatering_11;JInformationAndCommunication_12;KFinancialInstitutions_13;LRentingBuyingSellingRealEstate_14;MNBusinessServices_15;OQGovernmentAndCare_16;RUCultureRecreationOtherServices_17;TaxesLessSubsidiesOnProducts_18;TaxesOnProducts_19;SubsidiesOnProducts_20;GrossDomesticProduct_21;OutputAtBasicPrices_22;IntermediateConsumption_23;Total_24;AAgricultureForestryAndFishing_25;Total_26;BMiningAndQuarrying_27;CManufacturing_28;DElectricityAndGasSupply_29;EWaterSupplyAndWasteManagement_30;FConstruction_31;GITradeTransportHotelsCatering_32;JInformationAndCommunication_33;KFinancialInstitutions_34;LRentingBuyingSellingRealEstate_35;MNBusinessServices_36;OQGovernmentAndCare_37;RUCultureRecreationOtherServices_38;TaxesLessSubsidiesOnProducts_39;TaxesOnProducts_40;SubsidiesOnProducts_41;GrossDomesticProduct_42;OutputAtBasicPrices_43;IntermediateConsumption_44;Total_45;AAgricultureForestryAndFishing_46;Total_47;BMiningAndQuarrying_48;CManufacturing_49;DElectricityAndGasSupply_50;EWaterSupplyAndWasteManagement_51;FConstruction_52;GITradeTransportHotelsCatering_53;JInformationAndCommunication_54;KFinancialInstitutions_55;LRentingBuyingSellingRealEstate_56;MNBusinessServices_57;OQGovernmentAndCare_58;RUCultureRecreationOtherServices_59;TaxesLessSubsidiesOnProducts_60;TaxesOnProducts_61;SubsidiesOnProducts_62;GrossDomesticProduct_63;OutputAtBasicPrices_64;IntermediateConsumption_65;Total_66;AAgricultureForestryAndFishing_67;Total_68;BMiningAndQuarrying_69;CManufacturing_70;DElectricityAndGasSupply_71;EWaterSupplyAndWasteManagement_72;FConstruction_73;GITradeTransportHotelsCatering_74;JInformationAndCommunication_75;KFinancialInstitutions_76;LRentingBuyingSellingRealEstate_77;MNBusinessServices_78;OQGovernmentAndCare_79;RUCultureRecreationOtherServices_80;TaxesLessSubsidiesOnProducts_81;TaxesOnProducts_82;SubsidiesOnProducts_83;GrossDomesticProduct_84;Total_85;WagesAndSalaries_86;EmployersSocialContributions_87;TaxesLessSubsidies_88;TaxesOnProductionAndImports_89;Subsidies_90;Total_91;ConsumptionOfFixedCapital_92;NetOperatingSurplusMixedIncome_93;GrossDomesticProduct_94;Total_95;WagesAndSalaries_96;EmployersSocialContributions_97;TaxesLessSubsidies_98;TaxesOnProductionAndImports_99;Subsidies_100;Total_101;ConsumptionOfFixedCapital_102;NetOperatingSurplusMixedIncome_103;GrossDomesticProduct_104;Total_105;WagesAndSalaries_106;EmployersSocialContributions_107;TaxesLessSubsidies_108;TaxesOnProductionAndImports_109;Subsidies_110;Total_111;ConsumptionOfFixedCapital_112;NetOperatingSurplusMixedIncome_113;GrossDomesticProduct_114;Total_115;WagesAndSalaries_116;EmployersSocialContributions_117;TaxesLessSubsidies_118;TaxesOnProductionAndImports_119;Subsidies_120;Total_121;ConsumptionOfFixedCapital_122;NetOperatingSurplusMixedIncome_123;GrossDomesticProduct_124;Total_125;Total_126;HouseholdsAndNPISHs_127;GeneralGovernment_128;Total_129;CorporationsAndHouseholds_130;GeneralGovernment_131;ChangesInInventoriesInclValuables_132;Total_133;ExportsOfGoods_134;ExportsOfServices_135;Total_136;ImportsOfGoods_137;ImportsOfServices_138;GrossDomesticProduct_139;Total_140;Total_141;HouseholdsAndNPISHs_142;GeneralGovernment_143;Total_144;CorporationsAndHouseholds_145;GeneralGovernment_146;ChangesInInventoriesInclValuables_147;Total_148;ExportsOfGoods_149;ExportsOfServices_150;Total_151;ImportsOfGoods_152;ImportsOfServices_153;GrossDomesticProduct_154;Total_155;Total_156;HouseholdsAndNPISHs_157;GeneralGovernment_158;Total_159;CorporationsAndHouseholds_160;GeneralGovernment_161;ChangesInInventoriesInclValuables_162;Total_163;ExportsOfGoods_164;ExportsOfServices_165;Total_166;ImportsOfGoods_167;ImportsOfServices_168;GrossDomesticProduct_169;Total_170;Total_171;HouseholdsAndNPISHs_172;GeneralGovernment_173;Total_174;CorporationsAndHouseholds_175;GeneralGovernment_176;ChangesInInventoriesInclValuables_177;Total_178;ExportsOfGoods_179;ExportsOfServices_180;Total_181;ImportsOfGoods_182;ImportsOfServices_183;GrossDomesticProduct_184
10;2005;1014469;522228;492241;10350;85690;12994;64117;5359;3220;26482;96778;24355;37327;35314;64043;100056;11846;60881;62154;1273;553122;1293320;677797;616768;11097;97865;26677;69474;7094;3686;33774;121995;23003;44472;43113;83286;138906;17011;92301;91979;346;707009;2.5;2.8;2.1;0.6;1.5;-16.8;3.5;24.2;-0.3;4.1;2.8;4.4;0.4;1.6;3.3;1.0;1.6;1.8;1.7;-2.7;2.0;78.4;77.0;79.8;93.3;87.6;48.7;92.3;75.5;87.4;78.4;79.3;105.9;83.9;81.9;76.9;72.0;69.6;66.0;67.6;367.4;78.2;265911;209140;56771;59806;67449;7643;227405;88843;138562;553122;;;;76735;103480;22169;;112483;;707009;;;;3.1;1.9;-6.4;;1.7;;2.0;;;;77.9;65.2;34.5;;79.0;;78.2;503806;391017;267616;123401;112352;90956;21396;437;362770;280909;81861;313454;233905;79549;553122;655966;517371;353138;164188;139845;112339;27290;-1550;430765;329821;98455;379306;273628;101943;707009;1.6;1.0;0.9;1.3;3.3;3.9;0.8;;5.7;6.0;4.6;5.5;5.8;4.4;2.0;76.8;75.6;75.8;75.2;80.3;81.0;78.4;;84.2;85.2;83.1;82.6;85.5;78.0;78.2
11;2006;1075574;553517;522057;11513;91957;16440;66057;6075;3385;28306;100984;25794;37104;40557;69790;103804;12248;65387;66740;1353;587444;1338896;702152;638049;11173;99822;26148;71354;7267;3808;34775;127701;24521;46904;43864;88359;140763;17563;96215;95831;352;732018;3.5;3.6;3.5;0.7;2.0;-2.0;2.7;2.4;3.3;3.0;4.7;6.6;5.5;1.7;6.1;1.3;3.2;4.2;4.2;1.6;3.5;80.3;78.8;81.8;103.0;92.1;62.9;92.6;83.6;88.9;81.4;79.1;105.2;79.1;92.5;79.0;73.7;69.7;68.0;69.6;384.2;80.2;274752;218819;55933;64025;72099;8074;248667;92764;155903;587444;;;;79712;107563;23159;;114595;;732018;;;;3.9;3.9;4.5;;1.9;;3.5;;;;80.3;67.0;34.9;;80.9;;80.2;534011;411028;274712;136316;122832;99056;23776;151;400318;314193;86125;346885;264202;82683;587444;678337;530245;352536;177741;149537;119600;29724;-2073;461889;356857;102285;408139;299346;104303;732018;3.4;2.5;-0.2;8.3;6.9;6.5;8.9;;7.2;8.2;3.9;7.6;9.4;2.3;3.5;78.7;77.5;77.9;76.7;82.1;82.8;80.0;;86.7;88.0;84.2;85.0;88.3;79.3;80.2
12;2007;1144773;590120;554653;11408;96428;15860;70622;6416;3530;30813;107432;28276;37202;45644;76609;107946;12895;68122;69018;896;622775;1392848;730766;663451;11473;103568;25343;75557;7316;3836;37195;133320;26613;50153;44163;93238;142443;18237;99217;98683;338;760460;4.0;4.1;4.0;2.7;3.8;-3.1;5.9;0.7;0.7;7.0;4.4;8.5;6.9;0.7;5.5;1.2;3.8;3.1;3.0;-4.0;3.9;82.2;80.8;83.6;99.4;93.1;62.6;93.5;87.7;92.0;82.8;80.6;106.2;74.2;103.4;82.2;75.8;70.7;68.7;69.9;265.0;81.9;290622;232090;58532;65817;74513;8696;266336;97499;168837;622775;;;;82592;110679;22516;;117630;;760460;;;;3.6;2.9;-2.8;;2.6;;3.9;;;;79.7;67.3;38.6;;82.9;;81.9;575308;430646;285873;144773;143885;119329;24556;777;427909;335582;92327;380442;283423;97019;622775;713916;542481;359045;183495;171476;141123;29967;-1581;486998;375176;108975;439845;315405;120417;760460;5.2;2.3;1.8;3.2;14.7;18.0;0.8;;5.4;5.1;6.5;7.8;5.4;15.4;3.9;80.6;79.4;79.6;78.9;83.9;84.6;81.9;;87.9;89.4;84.7;86.5;89.9;80.6;81.9
13;2008;1204623;624453;580170;10762;102260;22151;70346;5968;3795;33104;110254;28914;36978;46840;82806;114815;13437;71129;71831;702;651299;1421574;743232;679650;11769;105030;27925;75020;7497;3932;38641;133421;27435;53083;44658;98338;146116;18347;98693;98177;340;776557;2.1;1.7;2.4;2.6;1.4;10.2;-0.7;2.5;2.5;3.9;0.1;3.1;5.8;1.1;5.5;2.6;0.6;-0.5;-0.5;0.7;2.1;84.7;84.0;85.4;91.4;97.4;79.3;93.8;79.6;96.5;85.7;82.6;105.4;69.7;104.9;84.2;78.6;73.2;72.1;73.2;206.2;83.9;307808;242900;64908;68536;77792;9256;274955;102870;172085;651299;;;;81441;110244;24132;;121025;;776557;;;;-1.4;-0.4;7.2;;2.9;;2.1;;;;84.2;70.6;38.4;;85.0;;83.9;592296;447669;294904;152765;142837;116603;26234;1790;453341;353458;99883;394338;301969;92369;651299;718172;550914;362038;188959;166453;135057;31083;-472;495142;377535;114930;436842;319884;112198;776557;0.6;1.6;0.8;3.0;-2.9;-4.3;3.7;;1.7;0.6;5.5;-0.7;1.4;-6.8;2.1;82.5;81.3;81.5;80.8;85.8;86.3;84.4;;91.6;93.6;86.9;90.3;94.4;82.3;83.9
14;2009;1153249;589069;564180;9868;90014;16152;61992;8222;3648;33394;104609;27626;44177;37445;81068;122211;13768;65993;67050;1057;630173;1370919;715045;657110;12138;95228;25550;66985;7439;3849;36863;124420;26582;52952;44652;94255;150870;17834;92267;92036;407;748094;-3.6;-3.8;-3.3;3.1;-9.3;-8.5;-10.7;-0.8;-2.1;-4.6;-6.7;-3.1;-0.2;0.0;-4.2;3.3;-2.8;-6.5;-6.3;19.7;-3.7;84.1;82.4;85.9;81.3;94.5;63.2;92.5;110.5;94.8;90.6;84.1;103.9;83.4;83.9;86.0;81.0;77.2;71.5;72.9;259.5;84.2;312320;246210;66110;62434;73405;10971;255419;106740;148679;630173;;;;75892;104126;25052;;123244;;748094;;;;-6.8;-5.5;3.8;;1.8;;-3.7;;;;82.3;70.5;43.8;;86.6;;84.2;579167;449498;285927;163571;132856;105350;27506;-3187;388198;291725;96473;337192;245035;92157;630173;699409;552921;354923;198146;152214;119695;32320;-5997;452107;339275;110809;402495;285765;113660;748094;-2.6;0.4;-2.0;4.9;-8.6;-11.4;4.0;;-8.7;-10.1;-3.6;-7.9;-10.7;1.3;-3.7;82.8;81.3;80.6;82.6;87.3;88.0;85.1;;85.9;86.0;87.1;83.8;85.7;81.1;84.2
15;2010;1192983;617278;575705;11496;91890;17652;62837;7757;3644;29984;106847;27843;51454;35788;79673;126482;14248;67317;68251;934;643022;1381767;715928;666890;12117;100937;29451;69948;7655;3797;32548;128810;26497;53852;46072;92556;154449;17761;92151;91837;383;757964;0.8;0.1;1.5;-0.2;6.0;15.3;4.4;2.9;-1.4;-11.7;3.5;-0.3;1.7;3.2;-1.8;2.4;-0.4;-0.1;-0.2;-5.9;1.3;86.3;86.2;86.3;94.9;91.0;59.9;89.8;101.3;96.0;92.1;82.9;105.1;95.5;77.7;86.1;81.9;80.2;73.1;74.3;243.6;84.8;311900;247258;64642;63720;74829;11109;267402;109569;157833;643022;;;;75427;104089;25865;;124183;;757964;;;;-0.6;0.0;3.2;;0.8;;1.3;;;;84.5;71.9;43.0;;88.2;;84.8;588410;459567;290857;168710;125004;97661;27343;3839;445533;342284;103249;390921;292002;98919;643022;698457;555376;355413;200085;141149;109737;31271;2070;495866;377026;116682;436480;314398;118493;757964;-0.1;0.4;0.1;1.0;-7.3;-8.3;-3.2;;9.7;11.1;5.3;8.4;10.0;4.3;1.3;84.2;82.7;81.8;84.3;88.6;89.0;87.4;;89.8;90.8;88.5;89.6;92.9;83.5;84.8
16;2011;1262956;673787;589169;10486;97062;19097;66266;7850;3849;29686;109993;27886;51549;36613;82734;128349;14811;66844;67709;865;656013;1424533;744591;681034;12092;102997;27107;73485;7662;3897;32828;134352;27017;53742;45924;95453;157530;17962;91046;90715;372;771405;3.1;4.0;2.1;-0.2;2.0;-8.0;5.1;0.1;2.6;0.9;4.3;2.0;-0.2;-0.3;3.1;2.0;1.1;-1.2;-1.2;-2.9;1.8;88.7;90.5;86.5;86.7;94.2;70.5;90.2;102.5;98.8;90.4;81.9;103.2;95.9;79.7;86.7;81.5;82.5;73.4;74.6;232.3;85.0;319887;252650;67237;64176;74676;10500;271950;109885;162065;656013;;;;74943;103035;25052;;125446;;771405;;;;-0.6;-1.0;-3.1;;1.0;;1.8;;;;85.6;72.5;41.9;;87.6;;85.0;599640;469017;300190;168827;130753;102840;27913;-130;493159;381887;111272;436786;327123;109663;656013;703434;556252;356959;199445;148898;117082;31643;-1908;524061;396709;125117;456715;326601;126625;771405;0.7;0.2;0.4;-0.3;5.5;6.7;1.2;;5.7;5.2;7.2;4.6;3.9;6.9;1.8;85.2;84.3;84.1;84.6;87.8;87.8;88.2;;94.1;96.3;88.9;95.6;100.2;86.6;85.0
17;2012;1284508;691393;593115;11170;100005;21691;66223;8203;3888;27183;111966;27633;54017;31700;83411;131202;14828;65117;65922;805;658232;1420575;745540;675985;12084;102455;26662;73133;7708;3970;30050;134249;27284;51712;46262;96318;157042;17717;88258;87897;348;763862;-0.3;0.1;-0.7;-0.1;-0.5;-1.6;-0.5;0.6;1.9;-8.5;-0.1;1.0;-3.8;0.7;0.9;-0.3;-1.4;-3.1;-3.1;-6.5;-1.0;90.4;92.7;87.7;92.4;97.6;81.4;90.6;106.4;97.9;90.5;83.4;101.3;104.5;68.5;86.6;83.5;83.7;73.8;75.0;231.2;86.2;324274;254221;70053;63573;73289;9716;270385;110836;159549;658232;;;;72917;99868;23716;;126567;;763862;;;;-2.7;-3.1;-5.3;;0.9;;-1.0;;;;87.2;73.4;41.0;;87.6;;86.2;594002;471685;300662;171023;122368;96983;25385;-51;523792;406143;117649;459562;344931;114631;658232;689240;551228;354063;197317;139588;110866;28564;-1568;543530;409714;131640;469928;334473;132112;763862;-2.0;-0.9;-0.8;-1.1;-6.3;-5.3;-9.7;;3.7;3.3;5.2;2.9;2.4;4.3;-1.0;86.2;85.6;84.9;86.7;87.7;87.5;88.9;;96.4;99.1;89.4;97.8;103.1;86.8;86.2
18;2013;1290536;692216;598320;12278;98777;22612;64215;7963;3987;25598;116247;27602;52022;33630;84211;133077;14878;67247;67987;740;665567;1426260;748720;678483;12258;104301;28719;72804;7875;4224;28171;135722;27762;51297;46864;96306;157754;17301;85017;84673;337;763631;0.4;0.4;0.4;1.4;1.8;7.7;-0.4;2.2;6.4;-6.3;1.1;1.8;-0.8;1.3;0.0;0.5;-2.3;-3.7;-3.7;-3.4;0.0;90.5;92.5;88.2;100.2;94.7;78.7;88.2;101.1;94.4;90.9;85.7;99.4;101.4;71.8;87.4;84.4;86.0;79.1;80.3;219.9;87.2;325151;255087;70064;67150;76268;9118;273266;112776;160490;665567;;;;70108;96763;24131;;127657;;763631;;;;-3.9;-3.1;1.7;;0.9;;0.0;;;;95.8;78.8;37.8;;88.3;;87.2;598408;476205;304838;171367;121128;96222;24906;1075;534924;408836;126088;467765;343211;124554;665567;686069;548825;351841;197122;137403;109611;27645;-223;559931;418229;139881;483499;338981;142050;763631;-0.5;-0.4;-0.6;-0.1;-1.6;-1.1;-3.2;;3.0;2.1;6.3;2.9;1.3;7.5;0.0;87.2;86.8;86.6;86.9;88.2;87.8;90.1;;95.5;97.8;90.1;96.7;101.2;87.7;87.2
19;2014;1315224;705915;609309;12222;94166;17022;65571;7424;4149;25828;119502;27924;55231;35816;88521;134807;15292;69318;70032;714;678627;1460247;771282;689703;12880;102623;24578;74338;7924;4509;28896;139614;28600;52047;47588;100575;159032;17235;86078;85696;328;775945;2.4;3.0;1.7;5.1;-1.6;-14.4;2.1;0.6;6.7;2.6;2.9;3.0;1.5;1.5;4.4;0.8;-0.4;1.2;1.2;-2.4;1.6;90.1;91.5;88.3;94.9;91.8;69.3;88.2;93.7;92.0;89.4;85.6;97.6;106.1;75.3;88.0;84.8;88.7;80.5;81.7;217.4;87.5;328743;254708;74035;71990;80640;8650;277894;113837;164057;678627;;;;71529;97973;23054;;128278;;775945;;;;2.0;1.3;-4.5;;0.5;;1.6;;;;100.6;82.3;37.5;;88.7;;87.5;603648;483486;309660;173826;118012;93840;24172;2150;552282;410589;141693;477303;345187;132116;678627;687987;552670;354174;198635;134082;107184;26759;1131;588763;431374;156183;502605;350248;150120;775945;0.3;0.7;0.7;0.8;-2.4;-2.2;-3.2;;5.1;3.1;11.7;4.0;3.3;5.7;1.6;87.7;87.5;87.4;87.5;88.0;87.6;90.3;;93.8;95.2;90.7;95.0;98.6;88.0;87.5
20;2015;1357585;729959;627626;12627;95632;12746;70958;7708;4220;26128;126257;28817;54915;36277;95888;135300;15785;71549;72272;723;699175;1516466;813747;703025;13295;101021;20717;75236;8133;4744;30643;143209;29749;52578;48059;107364;158927;17551;89334;88922;335;792400;3.8;5.5;1.9;3.2;-1.6;-15.7;1.2;2.6;5.2;6.0;2.6;4.0;1.0;1.0;6.7;-0.1;1.8;3.8;3.8;2.1;2.1;89.5;89.7;89.3;95.0;94.7;61.5;94.3;94.8;89.0;85.3;88.2;96.9;104.4;75.5;89.3;85.1;89.9;80.1;81.3;215.7;88.2;330994;260224;70770;72918;81775;8857;295263;115177;180086;699175;;;;74193;101783;24267;;129599;;792400;;;;3.7;3.9;5.3;;1.0;;2.1;;;;98.3;80.3;36.5;;88.9;;88.2;645633;490626;316815;173811;152468;127303;25165;2539;587250;419958;167292;533708;352217;181491;699175;735487;560168;362017;198294;173078;145184;27926;1915;638048;453896;183512;580019;376308;204473;792400;6.9;1.4;2.2;-0.2;29.1;35.5;4.4;;8.4;5.2;17.5;15.4;7.4;36.2;2.1;87.8;87.6;87.5;87.7;88.1;87.7;90.1;;92.0;92.5;91.2;92.0;93.6;88.8;88.2
21;2016;1386436;742124;644312;13424;93991;8128;73940;7735;4188;28180;130779;30005;52353;37535;102752;138906;16387;75863;76854;991;720175;1561305;842791;718804;13688;102049;19012;77358;8145;4754;33633;146462;31041;52071;48263;113633;159573;17883;92909;92626;403;811610;3.0;3.6;2.2;3.0;1.0;-8.2;2.8;0.2;0.2;9.8;2.3;4.3;-1.0;0.4;5.8;0.4;1.9;4.0;4.2;20.3;2.4;88.8;88.1;89.6;98.1;92.1;42.8;95.6;95.0;88.1;83.8;89.3;96.7;100.5;77.8;90.4;87.0;91.6;81.7;83.0;245.6;88.7;342642;268961;73681;77672;87119;9447;299861;117405;182456;720175;;;;76957;104993;23889;;131815;;811610;;;;3.7;3.2;-1.6;;1.7;;2.4;;;;100.9;83.0;39.5;;89.1;;88.7;642011;499586;323097;176489;138952;114109;24843;3473;582690;422922;159768;504526;351956;152570;720175;727973;567676;366829;200991;157361;129716;27612;2662;650574;474053;175701;566959;394194;172073;811610;-1.0;1.3;1.3;1.4;-9.1;-10.7;-1.1;;2.0;4.4;-4.3;-2.3;4.8;-15.8;2.4;88.2;88.0;88.1;87.8;88.3;88.0;90.0;;89.6;89.2;90.9;89.0;89.3;88.7;88.7
22;2017;1463821;791887;671934;14776;98589;7710;79216;7406;4257;29966;136823;31006;50940;41501;109098;142308;16927;78927;80053;1126;750861;1616149;877711;738833;13858;106656;16110;82775;8412;4814;36136;151144;32653;50620;48932;118746;161435;18322;95455;95222;434;834185;3.5;4.1;2.8;1.2;4.5;-15.3;7.0;3.3;1.3;7.4;3.2;5.2;-2.8;1.4;4.5;1.2;2.5;2.7;2.8;7.6;2.8;90.6;90.2;90.9;106.6;92.4;47.9;95.7;88.0;88.4;82.9;90.5;95.0;100.6;84.8;91.9;88.2;92.4;82.7;84.1;259.5;90.0;354478;277944;76534;80632;90664;10032;315751;120217;195534;750861;;;;79194;107724;23911;;133953;;834185;;;;2.9;2.6;0.1;;1.6;;2.8;;;;101.8;84.2;42.0;;89.7;;90.0;670421;518633;337163;181470;148357;123002;25355;3431;639580;463562;176018;559140;388431;170709;750861;748494;578540;375079;203605;166870;139064;27805;2760;695646;502827;191866;610150;419804;189633;834185;2.8;1.9;2.2;1.3;6.0;7.2;0.7;;6.9;6.1;9.2;7.6;6.5;10.2;2.8;89.6;89.6;89.9;89.1;88.9;88.4;91.2;;91.9;92.2;91.7;91.6;92.5;90.0;90.0
23;2018;1558226;854669;703557;13855;103759;7519;83919;8019;4302;32629;143061;32358;50410;45337;116053;148427;17668;83716;84930;1214;787273;1682695;928046;755173;13783;109649;13688;86789;8358;4963;37955;155657;33772;49880;49661;123070;162719;18905;97993;97838;472;853027;4.1;5.7;2.2;-0.5;2.8;-15.0;4.8;-0.6;3.1;5.0;3.0;3.4;-1.5;1.5;3.6;0.8;3.2;2.7;2.7;8.9;2.3;92.6;92.1;93.2;100.5;94.6;54.9;96.7;95.9;86.7;86.0;91.9;95.8;101.1;91.3;94.3;91.2;93.5;85.4;86.8;256.9;92.3;372900;290470;82430;85609;96206;10597;328764;125574;203190;787273;;;;81283;110438;24286;;136596;;853027;;;;2.6;2.5;1.6;;2.0;;2.3;;;;105.3;87.1;43.6;;91.9;;92.3;704186;542949;352300;190649;157069;130744;26325;4168;685372;489103;196269;602285;412515;189770;787273;766721;590979;383985;207134;172075;143842;28245;3327;729884;519536;209387;643808;435884;207369;853027;2.4;2.2;2.4;1.7;3.1;3.4;1.6;;4.9;3.3;9.1;5.5;3.8;9.4;2.3;91.8;91.9;91.7;92.0;91.3;90.9;93.2;;93.9;94.1;93.7;93.6;94.6;91.5;92.3
24;2019;1622350;882842;739508;14594;105749;5927;86468;9129;4225;36247;152441;34452;51649;46104;123794;155795;18683;90259;91561;1302;829767;1716839;944115;773227;14161;109708;11875;87772;8569;4847;40254;161428;35404;49558;50114;127480;165577;19640;99501;99446;515;872648;2.0;1.7;2.4;2.7;0.1;-13.2;1.1;2.5;-2.3;6.1;3.7;4.8;-0.6;0.9;3.6;1.8;3.9;1.5;1.6;8.9;2.3;94.5;93.5;95.6;103.1;96.4;49.9;98.5;106.5;87.2;90.0;94.4;97.3;104.2;92.0;97.1;94.1;95.1;90.7;92.1;253.0;95.1;393062;304577;88485;91992;103164;11172;344713;131355;213358;829767;;;;81916;111861;25599;;139165;;872648;;;;0.8;1.3;5.4;;1.9;;2.3;;;;112.3;92.2;43.6;;94.4;;95.1;747079;566538;364276;202262;173484;145332;28152;7057;707965;494962;213003;625277;431101;194176;829767;792152;600733;387989;212879;184732;155221;29545;6355;750006;526716;222333;669617;460488;208307;872648;3.3;1.7;1.0;2.8;7.4;7.9;4.6;;2.8;1.4;6.2;4.0;5.6;0.5;2.3;94.3;94.3;93.9;95.0;93.9;93.6;95.3;;94.4;94.0;95.8;93.4;93.6;93.2;95.1
25;2020;1573914;847765;726149;14185;103231;3165;85598;10178;4290;38666;142537;36960;52838;47533;117468;157030;15701;90314;92132;1818;816463;1653756;912184;742117;14397;107047;8775;86163;9161;4773;39945;146878;37002;49852;49697;119084;162536;15565;96919;97484;726;838894;-3.7;-3.4;-4.0;1.7;-2.4;-26.1;-1.8;6.9;-1.5;-0.8;-9.0;4.5;0.6;-0.8;-6.6;-1.8;-20.7;-2.6;-2.0;41.2;-3.9;95.2;92.9;97.8;98.5;96.4;36.1;99.3;111.1;89.9;96.8;97.0;99.9;106.0;95.6;98.6;96.6;100.9;93.2;94.5;250.3;97.3;406330;314084;92246;69540;105060;35520;340593;137280;203313;816463;;;;78605;110914;32115;;141978;;838894;;;;-4.0;-0.8;25.5;;2.0;;-3.9;;;;88.5;94.7;110.6;;96.7;;97.3;732777;558446;348703;209743;173694;143904;29790;637;663307;462354;200953;579621;400441;179180;816463;759442;580482;364197;216289;180036;149228;30805;-1387;721273;515164;205354;641906;451718;189356;838894;-4.1;-3.4;-6.1;1.6;-2.5;-3.9;4.3;;-3.8;-2.2;-7.6;-4.1;-1.9;-9.1;-3.9;96.5;96.2;95.7;97.0;96.5;96.4;96.7;;92.0;89.7;97.9;90.3;88.6;94.6;97.3
26;2021;1740104;948374;791730;14752;116527;6438;95886;9560;4643;41332;161895;39019;51072;50712;131034;169077;16310;99820;100669;849;891550;1740104;948374;791730;14752;116527;6438;95886;9560;4643;41332;161895;39019;51072;50712;131034;169077;16310;99820;100669;849;891550;5.2;4.0;6.7;2.5;8.9;-26.6;11.3;4.4;-2.7;3.5;10.2;5.5;2.4;2.0;10.0;4.0;4.8;3.0;3.3;16.9;6.3;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;423799;327960;95839;81803;114025;32222;385948;144622;241326;891550;;;;81803;114025;32222;;144622;;891550;;;;4.1;2.8;0.3;;1.9;;6.3;;;;100.0;100.0;100.0;;100.0;;100.0;804667;606798;380427;226371;184425;154014;30411;13444;770745;560235;210510;683862;495280;188582;891550;804667;606798;380427;226371;184425;154014;30411;13444;770745;560235;210510;683862;495280;188582;891550;6.0;4.5;4.5;4.7;2.4;3.2;-1.3;;6.9;8.7;2.5;6.5;9.6;-0.4;6.3;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0
27;2022;2010010;1121836;888174;16318;141430;16954;102836;16474;5166;43981;181768;44323;51766;61450;145331;181780;20027;105646;105806;160;993820;1823761;987065;836696;14638;120480;5448;100585;9626;4821;43938;172227;44582;51240;52543;141036;175439;20573;99496;100547;1051;936192;4.8;4.1;5.7;-0.8;3.4;-15.4;4.9;0.7;3.8;6.3;6.4;14.3;0.3;3.6;7.6;3.8;26.1;-0.3;-0.1;23.8;5.0;110.2;113.7;106.2;111.5;117.4;311.2;102.2;171.1;107.2;100.1;105.5;99.4;101.0;117.0;103.0;103.6;97.3;106.2;105.2;15.2;106.2;454769;348914;105855;97733;118778;21045;441318;157385;283933;993820;;;;80769;113613;32844;;147159;;936192;;;;-1.3;-0.4;1.9;;1.8;;5.0;;;;121.0;104.5;64.1;;106.9;;106.2;906565;679345;437447;241898;203422;171835;31587;23798;958476;705159;253317;871221;650159;221062;993820;845056;636063;406820;229243;190716;161207;29509;18277;804773;569232;235541;713637;503428;210209;936192;5.0;4.8;6.9;1.3;3.4;4.7;-3.0;;4.4;1.6;11.9;4.4;1.6;11.5;5.0;107.3;106.8;107.5;105.5;106.7;106.6;107.0;;119.1;123.9;107.5;122.1;129.1;105.2;106.2
28;2023;2089999;1127915;962084;18390;151631;11078;115740;19469;5344;48511;188481;46705;51540;76627;160537;197152;22510;105515;110335;4820;1067599;1826642;989002;837613;14386;115428;3802;99669;9771;4707;44861;169122;44870;50708;53679;144431;178914;21971;99278;100368;1340;936890;0.2;0.2;0.1;-1.7;-4.2;-30.2;-0.9;1.5;-2.4;2.1;-1.8;0.6;-1.0;2.2;2.4;2.0;6.8;-0.2;-0.2;27.5;0.1;114.4;114.0;114.9;127.8;131.4;291.4;116.1;199.2;113.5;108.1;111.4;104.1;101.6;142.7;111.2;110.2;102.5;106.3;109.9;359.7;114.0;489593;377580;112013;103213;123115;19902;474793;167048;307745;1067599;;;;80141;113523;33883;;150053;;936890;;;;-0.8;-0.1;3.2;;2.0;;0.1;;;;128.8;108.4;58.7;;111.3;;114.0;948362;735272;471181;264091;214544;180947;33597;-1454;945221;676942;268279;825984;591834;234150;1067599;835717;646016;410078;235997;193207;163104;30102;-2352;800458;563797;237023;700614;489596;212078;936890;-1.1;1.6;0.8;2.9;1.3;1.2;2.0;;-0.5;-1.0;0.6;-1.8;-2.7;0.9;0.1;113.5;113.8;114.9;111.9;111.0;110.9;111.6;;118.1;120.1;113.2;117.9;120.9;110.4;114.0
