ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Belgie_3;Frankrijk_4;Spanje_5;Oostenrijk_6;GrootBrittannie_7;Duitsland_8;Italie_9;Griekenland_10;Turkije_11;OverigeLanden_12;TotaalSeizoenrecreatieveLogiesvormen_13;TotaalToeristischeLogiesvormen_14;WoningVanFamilieVriendenOfKennissen_15;WoningVanAndereParticulier_16;Hotel_17;Appartement_18;ZomerhuisjeVakantiebungalow_19;TentBungalowtent_20;CaravanVouwwagenCamper_21;OverigeToeristischeLogiesvormen_22;Auto_23;TreinAutoslaaptrein_24;Touringcar_25;Vliegtuig_26;OverigeVervoermiddelen_27;GeorganiseerdeReisPerAuto_28;GeorganiseerdeReisPerTouringcar_29;GeorganiseerdeReisPerVliegtuig_30;GeorganiseerdeReisMetOverigVervoer_31;NietGeorganiseerdeReizen_32;TotaleUitgavenVoorVakanties_33;TotaalGemUitgavenPerVakantieganger_34;MetEigenVervoer_35;MetOverigVervoer_36
11;Luxemburg;2003;161.0;;;;;;;;;;;161.0;16.0;144.0;4.0;4.0;27.0;2.0;14.0;31.0;53.0;8.0;144.0;2.0;12.0;0.0;2.0;45.0;12.0;0.0;4.0;100.0;;;;
12;Frankrijk;2000;2226.0;16.3;;2226.0;;;;;;;;;119.0;2107.0;;47.0;197.0;204.0;344.0;486.0;732.0;97.0;1962.0;58.0;129.0;58.0;19.0;667.0;129.0;58.0;33.0;1338.0;1129.0;507.0;493.0;516.0
13;Frankrijk;2001;2169.0;15.5;;2169.0;;;;;;;;;129.0;2041.0;;51.0;259.0;236.0;341.0;473.0;630.0;51.0;1913.0;109.0;105.0;17.0;25.0;680.0;105.0;3.0;58.0;1324.0;1044.0;482.0;468.0;591.0
14;Frankrijk;2002;2647.0;15.1;;2647.0;;;;;;;;;180.0;2468.0;202.0;110.0;303.0;231.0;287.0;588.0;683.0;64.0;2268.0;96.0;145.0;57.0;81.0;648.0;145.0;57.0;112.0;1684.0;1339.0;506.0;498.0;556.0
15;Frankrijk;2003;2316.0;14.7;;2316.0;;;;;;;;;66.0;2250.0;171.0;108.0;277.0;228.0;267.0;498.0;641.0;59.0;2035.0;93.0;96.0;68.0;24.0;504.0;90.0;68.0;102.0;1552.0;1210.0;523.0;513.0;591.0
16;Spanje;2000;1416.0;13.8;;;1416.0;;;;;;;;78.0;1339.0;;23.0;493.0;517.0;137.0;47.0;115.0;6.0;269.0;9.0;264.0;874.0;0.0;65.0;264.0;867.0;3.0;217.0;1001.0;707.0;620.0;727.0
17;Spanje;2001;1610.0;13.6;;;1610.0;;;;;;;;73.0;1537.0;;72.0;585.0;490.0;168.0;83.0;127.0;11.0;293.0;4.0;290.0;1018.0;5.0;21.0;290.0;983.0;5.0;311.0;1174.0;730.0;632.0;751.0
18;Spanje;2002;1641.0;13.2;;;1641.0;;;;;;;;28.0;1614.0;86.0;60.0;570.0;535.0;167.0;71.0;96.0;29.0;331.0;4.0;212.0;1058.0;36.0;114.0;212.0;1046.0;20.0;250.0;1440.0;878.0;744.0;912.0
19;Spanje;2003;1600.0;13.1;;;1600.0;;;;;;;;64.0;1535.0;116.0;47.0;591.0;478.0;132.0;51.0;100.0;20.0;323.0;0.0;209.0;1038.0;30.0;73.0;209.0;1032.0;22.0;263.0;1282.0;801.0;702.0;826.0
20;Portugal;2000;287.0;;;;;;;;;;;287.0;10.0;278.0;;10.0;76.0;137.0;25.0;11.0;8.0;9.0;27.0;8.0;6.0;243.0;3.0;3.0;6.0;243.0;0.0;35.0;;;;
21;Portugal;2001;271.0;;;;;;;;;;;271.0;11.0;259.0;;0.0;79.0;152.0;13.0;0.0;12.0;4.0;38.0;4.0;0.0;228.0;0.0;7.0;0.0;225.0;0.0;39.0;;;;
22;Portugal;2002;237.0;;;;;;;;;;;237.0;9.0;228.0;21.0;10.0;61.0;93.0;26.0;2.0;14.0;0.0;17.0;0.0;2.0;217.0;0.0;0.0;2.0;208.0;0.0;27.0;;;;
23;Portugal;2003;277.0;13.6;;;;;;;;;;277.0;6.0;272.0;19.0;8.0;101.0;95.0;34.0;1.0;7.0;6.0;14.0;1.0;0.0;262.0;0.0;6.0;0.0;257.0;1.0;14.0;259.0;932.0;;922.0
24;Oostenrijk;2000;898.0;10.4;;;;898.0;;;;;;;29.0;870.0;;15.0;421.0;298.0;36.0;15.0;54.0;30.0;694.0;50.0;137.0;15.0;2.0;219.0;137.0;15.0;39.0;488.0;472.0;525.0;499.0;
25;Oostenrijk;2001;995.0;10.8;;;;995.0;;;;;;;7.0;988.0;;32.0;488.0;327.0;61.0;22.0;50.0;8.0;726.0;57.0;194.0;16.0;2.0;212.0;194.0;16.0;35.0;538.0;561.0;564.0;523.0;673.0
26;Oostenrijk;2002;1032.0;11.1;;;;1032.0;;;;;;;5.0;1027.0;36.0;68.0;365.0;219.0;43.0;26.0;60.0;211.0;765.0;60.0;169.0;10.0;28.0;264.0;169.0;10.0;76.0;512.0;626.0;607.0;587.0;
27;Oostenrijk;2003;1080.0;10.9;;;;1080.0;;;;;;;21.0;1058.0;38.0;95.0;372.0;251.0;27.0;36.0;49.0;192.0;854.0;40.0;148.0;18.0;20.0;317.0;148.0;18.0;57.0;540.0;649.0;601.0;566.0;733.0
28;Zwitserland;2000;322.0;10.7;;;;;;;;;;322.0;9.0;313.0;;45.0;71.0;113.0;24.0;42.0;19.0;0.0;233.0;41.0;42.0;6.0;0.0;51.0;42.0;0.0;18.0;212.0;;520.0;;
29;Zwitserland;2001;334.0;12.2;;;;;;;;;;334.0;18.0;316.0;;27.0;70.0;109.0;54.0;30.0;25.0;0.0;266.0;40.0;6.0;22.0;0.0;46.0;6.0;10.0;27.0;245.0;;550.0;444.0;
30;Zwitserland;2002;393.0;11.7;;;;;;;;;;393.0;71.0;322.0;88.0;38.0;68.0;57.0;19.0;23.0;23.0;6.0;325.0;32.0;20.0;10.0;5.0;36.0;20.0;10.0;34.0;293.0;;557.0;532.0;
31;Zwitserland;2003;355.0;11.9;;;;;;;;;;355.0;37.0;318.0;94.0;32.0;60.0;67.0;15.0;19.0;24.0;9.0;285.0;30.0;25.0;14.0;2.0;50.0;25.0;14.0;25.0;242.0;198.0;558.0;461.0;
32;Verenigd Koninkrijk;2000;347.0;10.3;;;;;347.0;;;;;;14.0;332.0;;31.0;179.0;13.0;42.0;16.0;23.0;29.0;90.0;14.0;107.0;38.0;97.0;36.0;107.0;38.0;101.0;64.0;239.0;694.0;;726.0
33;Verenigd Koninkrijk;2001;236.0;;;;;;236.0;;;;;;13.0;223.0;;29.0;93.0;5.0;48.0;15.0;12.0;19.0;57.0;0.0;44.0;46.0;88.0;23.0;44.0;37.0;75.0;57.0;;;;
34;Verenigd Koninkrijk;2002;457.0;8.8;;;;;457.0;;;;;;0.0;457.0;164.0;14.0;133.0;4.0;19.0;39.0;23.0;60.0;155.0;24.0;21.0;131.0;125.0;56.0;21.0;131.0;139.0;109.0;250.0;548.0;;510.0
35;Verenigd Koninkrijk;2003;399.0;10.2;;;;;399.0;;;;;;2.0;396.0;130.0;21.0;109.0;9.0;14.0;30.0;28.0;55.0;121.0;6.0;22.0;142.0;107.0;23.0;22.0;142.0;113.0;99.0;211.0;529.0;;489.0
36;Noorwegen, Zweden, Finland;2000;207.0;;;;;;;;;;;207.0;3.0;204.0;;20.0;44.0;16.0;20.0;37.0;27.0;40.0;95.0;0.0;17.0;58.0;37.0;19.0;17.0;41.0;20.0;110.0;;;;
37;Noorwegen, Zweden, Finland;2001;225.0;;;;;;;;;;;225.0;0.0;225.0;;15.0;57.0;13.0;67.0;16.0;16.0;41.0;150.0;0.0;15.0;45.0;15.0;54.0;15.0;40.0;15.0;102.0;;;;
38;Noorwegen, Zweden, Finland;2002;221.0;;;;;;;;;;;221.0;13.0;208.0;43.0;3.0;22.0;4.0;48.0;50.0;20.0;19.0;154.0;2.0;9.0;42.0;14.0;41.0;9.0;42.0;8.0;121.0;;;;
39;Noorwegen, Zweden, Finland;2003;224.0;16.2;;;;;;;;;;224.0;6.0;219.0;25.0;11.0;35.0;14.0;49.0;29.0;21.0;35.0;142.0;0.0;5.0;51.0;26.0;67.0;5.0;51.0;26.0;74.0;213.0;948.0;;
40;Denemarken;2000;130.0;;;;;;;;;;;130.0;0.0;130.0;;0.0;33.0;3.0;53.0;10.0;27.0;4.0;122.0;5.0;3.0;0.0;0.0;53.0;3.0;0.0;0.0;74.0;;;;
41;Denemarken;2001;141.0;;;;;;;;;;;141.0;7.0;134.0;;3.0;11.0;14.0;62.0;8.0;29.0;6.0;122.0;0.0;4.0;8.0;7.0;67.0;4.0;8.0;0.0;63.0;;;;
42;Denemarken;2002;168.0;;;;;;;;;;;168.0;0.0;168.0;31.0;10.0;22.0;5.0;50.0;17.0;24.0;9.0;151.0;2.0;3.0;6.0;6.0;49.0;3.0;6.0;2.0;108.0;;;;
43;Denemarken;2003;165.0;;;;;;;;;;;165.0;10.0;155.0;20.0;15.0;5.0;2.0;73.0;14.0;23.0;3.0;162.0;2.0;0.0;0.0;0.0;71.0;0.0;0.0;0.0;93.0;;;;
44;Duitsland;2000;1258.0;9.7;;;;;;1258.0;;;;;102.0;1156.0;;32.0;431.0;135.0;292.0;83.0;140.0;43.0;1085.0;23.0;111.0;12.0;27.0;187.0;111.0;12.0;22.0;927.0;404.0;321.0;294.0;
45;Duitsland;2001;1232.0;10.2;;;;;;1232.0;;;;;66.0;1167.0;;42.0;391.0;153.0;347.0;44.0;135.0;56.0;1009.0;36.0;156.0;2.0;29.0;234.0;156.0;2.0;33.0;807.0;408.0;331.0;294.0;
46;Duitsland;2002;1507.0;9.6;;;;;;1507.0;;;;;56.0;1451.0;157.0;93.0;362.0;126.0;387.0;61.0;145.0;120.0;1321.0;35.0;85.0;1.0;65.0;406.0;85.0;1.0;64.0;950.0;543.0;360.0;335.0;
47;Duitsland;2003;1488.0;9.2;;;;;;1488.0;;;;;47.0;1442.0;80.0;74.0;422.0;183.0;351.0;55.0;144.0;131.0;1228.0;82.0;127.0;3.0;48.0;533.0;127.0;3.0;101.0;724.0;521.0;350.0;309.0;524.0
48;ItaliÙ;2000;608.0;15.2;;;;;;;608.0;;;;4.0;604.0;;8.0;202.0;73.0;35.0;154.0;121.0;11.0;368.0;25.0;76.0;134.0;5.0;119.0;76.0;122.0;5.0;285.0;432.0;710.0;657.0;
49;ItaliÙ;2001;649.0;14.7;;;;;;;649.0;;;;0.0;648.0;;10.0;247.0;69.0;43.0;146.0;127.0;5.0;375.0;15.0;120.0;139.0;0.0;140.0;120.0;129.0;4.0;255.0;445.0;685.0;589.0;813.0
50;ItaliÙ;2002;765.0;15.2;;;;;;;765.0;;;;26.0;739.0;31.0;15.0;248.0;54.0;51.0;182.0;129.0;28.0;493.0;39.0;63.0;148.0;22.0;145.0;63.0;148.0;50.0;359.0;562.0;735.0;652.0;
51;ItaliÙ;2003;715.0;14.8;;;;;;;715.0;;;;19.0;696.0;29.0;20.0;215.0;69.0;72.0;120.0;149.0;24.0;470.0;12.0;45.0;173.0;16.0;130.0;45.0;173.0;26.0;341.0;526.0;735.0;669.0;863.0
52;Griekenland;2000;582.0;12.6;;;;;;;;582.0;;;0.0;582.0;;0.0;169.0;397.0;7.0;0.0;2.0;7.0;2.0;0.0;0.0;580.0;0.0;2.0;0.0;580.0;0.0;0.0;492.0;845.0;;840.0
53;Griekenland;2001;570.0;13.2;;;;;;;;570.0;;;0.0;570.0;;9.0;204.0;305.0;18.0;17.0;0.0;18.0;5.0;0.0;0.0;565.0;0.0;0.0;0.0;537.0;0.0;33.0;542.0;951.0;;956.0
54;Griekenland;2002;561.0;13.5;;;;;;;;561.0;;;1.0;559.0;12.0;3.0;153.0;342.0;20.0;11.0;4.0;15.0;11.0;6.0;2.0;537.0;4.0;6.0;2.0;536.0;8.0;9.0;488.0;870.0;;871.0
55;Griekenland;2003;526.0;13.1;;;;;;;;526.0;;;0.0;526.0;3.0;3.0;111.0;371.0;17.0;3.0;3.0;15.0;7.0;2.0;2.0;514.0;;4.0;2.0;514.0;2.0;4.0;496.0;942.0;;939.0
56;Hongarije;2000;119.0;;;;;;;;;;;119.0;0.0;119.0;;17.0;56.0;0.0;4.0;8.0;29.0;5.0;80.0;0.0;23.0;17.0;0.0;25.0;23.0;17.0;0.0;55.0;;;;
57;Hongarije;2001;104.0;;;;;;;;;;;104.0;8.0;97.0;;7.0;50.0;2.0;13.0;0.0;25.0;0.0;64.0;5.0;29.0;6.0;0.0;13.0;29.0;4.0;5.0;53.0;;;;
58;Hongarije;2002;87.0;;;;;;;;;;;87.0;17.0;70.0;14.0;5.0;16.0;0.0;14.0;7.0;8.0;6.0;54.0;0.0;21.0;12.0;0.0;11.0;21.0;12.0;0.0;43.0;;;;
59;Hongarije;2003;93.0;;;;;;;;;;;93.0;6.0;86.0;8.0;1.0;41.0;6.0;6.0;5.0;13.0;6.0;55.0;3.0;23.0;8.0;4.0;17.0;23.0;8.0;3.0;42.0;;;;
60;TsjechiÙ;2000;197.0;;;;;;;;;;;197.0;0.0;197.0;;5.0;110.0;0.0;33.0;19.0;19.0;11.0;125.0;3.0;60.0;9.0;0.0;53.0;60.0;9.0;3.0;72.0;;;;
61;TsjechiÙ;2001;284.0;;;;;;;;;;;284.0;0.0;284.0;;35.0;143.0;12.0;42.0;15.0;30.0;7.0;164.0;20.0;83.0;16.0;0.0;71.0;83.0;16.0;7.0;106.0;;;;
62;TsjechiÙ;2002;288.0;;;;;;;;;;;288.0;17.0;271.0;15.0;36.0;86.0;16.0;54.0;14.0;31.0;19.0;233.0;6.0;35.0;10.0;4.0;74.0;35.0;10.0;10.0;159.0;;;;
63;TsjechiÙ;2003;295.0;12.0;;;;;;;;;;295.0;26.0;268.0;8.0;46.0;83.0;17.0;53.0;20.0;15.0;26.0;226.0;0.0;58.0;2.0;8.0;106.0;58.0;2.0;8.0;120.0;117.0;397.0;392.0;
64;Turkije;2000;374.0;12.2;;;;;;;;;374.0;;5.0;369.0;;7.0;258.0;97.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;374.0;0.0;0.0;0.0;374.0;0.0;0.0;280.0;750.0;;750.0
65;Turkije;2001;522.0;11.8;;;;;;;;;522.0;;0.0;521.0;;0.0;394.0;120.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;521.0;0.0;0.0;0.0;521.0;0.0;0.0;399.0;765.0;;765.0
66;Turkije;2002;613.0;12.3;;;;;;;;;613.0;;0.0;613.0;6.0;0.0;474.0;125.0;4.0;0.0;0.0;5.0;0.0;0.0;0.0;610.0;3.0;0.0;0.0;610.0;0.0;3.0;500.0;817.0;;817.0
67;Turkije;2003;707.0;11.8;;;;;;;;;707.0;;0.0;707.0;14.0;0.0;533.0;146.0;5.0;0.0;1.0;9.0;1.0;0.0;0.0;706.0;0.0;1.0;0.0;706.0;0.0;0.0;536.0;759.0;;757.0
68;Egypte;2000;107.0;;;;;;;;;;;107.0;;;;;;;;;;;0.0;0.0;0.0;107.0;0.0;0.0;0.0;107.0;0.0;0.0;;;;
69;Egypte;2001;121.0;;;;;;;;;;;121.0;;;;;;;;;;;0.0;0.0;0.0;121.0;0.0;0.0;0.0;121.0;0.0;0.0;;;;
70;Egypte;2002;76.0;;;;;;;;;;;76.0;0.0;76.0;0.0;0.0;65.0;6.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;76.0;0.0;0.0;0.0;76.0;0.0;0.0;;;;
71;Egypte;2003;134.0;;;;;;;;;;;134.0;0.0;134.0;3.0;0.0;110.0;5.0;0.0;3.0;0.0;14.0;0.0;0.0;0.0;134.0;0.0;0.0;0.0;134.0;0.0;0.0;;;;
72;Verre Oosten;2000;190.0;;;;;;;;;;;190.0;0.0;190.0;;37.0;135.0;10.0;7.0;0.0;0.0;0.0;0.0;4.0;0.0;185.0;0.0;0.0;0.0;181.0;4.0;4.0;;;;
73;Verre Oosten;2001;245.0;;;;;;;;;;;245.0;0.0;245.0;;12.0;219.0;13.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;241.0;0.0;0.0;0.0;222.0;4.0;19.0;;;;
74;Verre Oosten;2002;138.0;;;;;;;;;;;138.0;0.0;138.0;28.0;5.0;87.0;2.0;1.0;3.0;0.0;12.0;0.0;0.0;0.0;136.0;2.0;0.0;0.0;136.0;2.0;0.0;;;;
75;Verre Oosten;2003;180.0;21.4;;;;;;;;;;180.0;0.0;180.0;28.0;0.0;143.0;0.0;3.0;2.0;0.0;4.0;0.0;0.0;0.0;180.0;0.0;0.0;0.0;180.0;0.0;0.0;313.0;1743.0;;1743.0
76;Verenigde Staten van Amerika;2000;250.0;;;;;;;;;;;250.0;0.0;250.0;;60.0;147.0;20.0;2.0;12.0;0.0;9.0;0.0;0.0;0.0;250.0;0.0;0.0;0.0;239.0;0.0;11.0;;;;
77;Verenigde Staten van Amerika;2001;205.0;;;;;;;;;;;205.0;0.0;205.0;;74.0;102.0;16.0;9.0;1.0;0.0;2.0;0.0;0.0;0.0;205.0;0.0;0.0;0.0;190.0;0.0;14.0;;;;
78;Verenigde Staten van Amerika;2002;229.0;;;;;;;;;;;229.0;31.0;198.0;82.0;2.0;78.0;9.0;4.0;2.0;5.0;15.0;35.0;0.0;0.0;194.0;;5.0;0.0;186.0;0.0;38.0;;;;
79;Verenigde Staten van Amerika;2003;236.0;19.6;;;;;;;;;;236.0;14.0;222.0;78.0;11.0;111.0;2.0;8.0;2.0;6.0;4.0;8.0;2.0;0.0;227.0;0.0;4.0;0.0;216.0;2.0;14.0;407.0;1724.0;;1720.0
80;Caribisch gebied;2000;96.0;;;;;;;;;;;96.0;0.0;96.0;;7.0;55.0;24.0;8.0;0.0;0.0;3.0;0.0;0.0;0.0;96.0;0.0;0.0;0.0;92.0;0.0;4.0;;;;
81;Caribisch gebied;2001;94.0;;;;;;;;;;;94.0;0.0;93.0;;11.0;44.0;16.0;20.0;0.0;0.0;2.0;0.0;0.0;0.0;93.0;0.0;0.0;0.0;86.0;0.0;7.0;;;;
82;Caribisch gebied;2002;73.0;;;;;;;;;;;73.0;0.0;73.0;29.0;2.0;22.0;5.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;69.0;4.0;0.0;0.0;69.0;4.0;0.0;;;;
83;Caribisch gebied;2003;112.0;;;;;;;;;;;112.0;2.0;110.0;25.0;4.0;52.0;16.0;8.0;0.0;0.0;4.0;3.0;0.0;0.0;108.0;0.0;3.0;0.0;107.0;0.0;2.0;;;;
84;Overige landen;2000;975.0;;;;;;;;;;;975.0;;;;;;;;;;;142.0;16.0;29.0;785.0;3.0;27.0;29.0;767.0;19.0;133.0;;;;
85;Overige landen;2001;878.0;;;;;;;;;;;878.0;;;;;;;;;;;120.0;0.0;62.0;684.0;11.0;39.0;62.0;659.0;11.0;106.0;;;;
86;Overige landen;2002;839.0;15.8;;;;;;;;;;839.0;26.0;813.0;177.0;31.0;372.0;78.0;35.0;44.0;44.0;31.0;177.0;8.0;38.0;601.0;15.0;42.0;38.0;580.0;17.0;161.0;;1334.0;;1530.0
87;Overige landen;2003;905.0;17.4;;;;;;;;;;905.0;28.0;877.0;132.0;20.0;393.0;83.0;26.0;64.0;63.0;95.0;191.0;11.0;51.0;642.0;9.0;53.0;51.0;633.0;15.0;153.0;1285.0;1420.0;;1612.0
88;Seizoenrecreatieve logiesvormen;2000;483.0;15.2;88.0;119.0;78.0;29.0;14.0;102.0;4.0;0.0;5.0;44.0;483.0;;;;;;;;;;402.0;0.0;10.0;43.0;28.0;0.0;10.0;43.0;0.0;430.0;160.0;313.0;309.0;
89;Seizoenrecreatieve logiesvormen;2001;497.0;16.1;126.0;129.0;73.0;7.0;;66.0;0.0;0.0;0.0;;497.0;;;;;;;;;;448.0;0.0;0.0;19.0;30.0;0.0;0.0;19.0;0.0;478.0;159.0;310.0;298.0;
90;Seizoenrecreatieve logiesvormen;2002;600.0;14.5;113.0;180.0;28.0;5.0;0.0;56.0;26.0;1.0;0.0;192.0;600.0;;;;;;;;;;523.0;0.0;0.0;55.0;21.0;;;;;600.0;279.0;465.0;428.0;
91;Seizoenrecreatieve logiesvormen;2003;466.0;14.9;95.0;66.0;64.0;21.0;2.0;47.0;19.0;0.0;0.0;152.0;466.0;;;;;;;;;;406.0;7.0;0.0;38.0;14.0;0.0;0.0;5.0;2.0;458.0;197.0;423.0;355.0;
92;SL: zomerhuisje, vak.bung, tweede woning;2000;256.0;;33.0;105.0;21.0;8.0;9.0;30.0;4.0;0.0;5.0;38.0;256.0;;;;;;;;;;213.0;0.0;0.0;35.0;8.0;0.0;0.0;35.0;0.0;221.0;;;;
93;SL: zomerhuisje, vak.bung, tweede woning;2001;242.0;;34.0;119.0;22.0;7.0;;5.0;0.0;0.0;0.0;;242.0;;;;;;;;;;227.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;243.0;;;;
94;SL: zomerhuisje, vak.bung, tweede woning;2002;432.0;;91.0;135.0;18.0;0.0;0.0;37.0;22.0;1.0;0.0;128.0;432.0;;;;;;;;;;372.0;0.0;0.0;49.0;11.0;;;;;432.0;;;;
95;SL: zomerhuisje, vak.bung, tweede woning;2003;325.0;13.4;71.0;36.0;59.0;10.0;2.0;29.0;8.0;0.0;0.0;109.0;;;;;;;;;;;268.0;7.0;0.0;38.0;12.0;0.0;0.0;5.0;2.0;318.0;147.0;450.0;353.0;
96;SL: caravan, vouwwagen;2000;207.0;;49.0;7.0;56.0;20.0;0.0;72.0;0.0;0.0;0.0;2.0;207.0;;;;;;;;;;190.0;0.0;10.0;7.0;0.0;0.0;10.0;7.0;0.0;190.0;;;;
97;SL: caravan, vouwwagen;2001;241.0;;85.0;10.0;51.0;0.0;;61.0;0.0;0.0;0.0;;241.0;;;;;;;;;;222.0;0.0;0.0;19.0;0.0;0.0;0.0;19.0;0.0;222.0;;;;
98;SL: caravan, vouwwagen;2002;158.0;;15.0;45.0;10.0;5.0;0.0;15.0;4.0;0.0;0.0;64.0;158.0;;;;;;;;;;141.0;0.0;0.0;7.0;10.0;;;;;158.0;;;;
99;SL: caravan, vouwwagen;2003;119.0;18.1;22.0;25.0;3.0;11.0;0.0;17.0;9.0;0.0;0.0;30.0;;;;;;;;;;;118.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.0;39.0;327.0;;
100;SL: boot;2000;20.0;;6.0;6.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;3.0;20.0;;;;;;;;;;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;20.0;;;;
101;SL: boot;2001;14.0;;7.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;14.0;;;;;;;;;;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;14.0;;;;
102;SL: boot;2002;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;0.0;;;;
103;SL: boot;2003;2.0;;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;;;;
104;Overige seizoenrecreatieve logiesvormen;2000;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
105;Overige seizoenrecreatieve logiesvormen;2001;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
