ID;BedrijfstakkenBranchesSBI2008;Perioden;Indexcijfers_1;OntwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenJaarEerder_4;TotaleOmzet_5;Verkoopprijzen_6;Personeelssterkte_7;OnvoldoendeVraag_8;Financieel_9;NederlandseMarkt_10;BuitenlandseMarktBinnenEU_11;BuitenlandseMarktBuitenEU_12;AantalFaillissementen_13;OntwikkelingTOVEenJaarEerder_14;AantalWerkzamePersonen_15;Totaal_16;NettoOmzet_17;OverigeBedrijfsopbrengsten_18;Totaal_19;InkoopwaardeOmzet_20;PersoneleKosten_21;OverigeBedrijfskosten_22;AfschrijvingenOpVasteActiva_23;Bedrijfsresultaat_24
43;B Delfstoffenwinning;2016 4e kwartaal;78.2;-19.5;84.1;-9.4;-1.7;-23.0;-58.1;37.2;5.7;-10.5;-6.6;-4.7;0.0;-100.0;;;;;;;;;;
44;B Delfstoffenwinning;2016;66.2;-33.8;81.9;-18.1;;;;;;;;;0.0;-100.0;13.9;22426.0;22188.0;238.0;20373.0;13194.0;1383.0;3640.0;2156.0;2053.0
45;B Delfstoffenwinning;2017 1e kwartaal;94.5;13.8;92.3;11.1;7.7;-8.2;-43.7;32.1;6.3;-0.9;0.9;3.4;0.0;;;;;;;;;;;
46;B Delfstoffenwinning;2017 2e kwartaal;52.0;-3.6;85.5;9.9;-3.2;-19.8;-37.3;30.7;8.1;0.3;-1.4;1.2;0.0;;;;;;;;;;;
47;B Delfstoffenwinning;2017 3e kwartaal;46.7;-5.9;84.3;1.9;10.0;6.7;-16.0;31.4;6.9;2.7;8.6;5.4;1.0;;;;;;;;;;;
48;B Delfstoffenwinning;2017 4e kwartaal;78.4;0.2;92.3;9.8;-44.3;26.9;-30.1;28.1;8.3;-1.0;1.7;0.3;0.0;;;;;;;;;;;
49;B Delfstoffenwinning;2017;67.9;2.5;88.6;8.1;;;;;;;;;1.0;;10.8;21257.0;20926.0;332.0;18449.0;12253.0;1147.0;3401.0;1649.0;2808.0
50;B Delfstoffenwinning;2018 1e kwartaal;92.2;-2.4;94.3;2.2;6.8;43.0;-13.6;21.7;5.9;0.9;5.4;4.1;0.0;;;;;;;;;;;
51;B Delfstoffenwinning;2018 2e kwartaal;58.0;11.5;96.9;23.4;-28.6;-22.3;-32.2;22.3;9.8;2.8;3.4;2.9;0.0;;;;;;;;;;;
52;B Delfstoffenwinning;2018 3e kwartaal;48.0;2.9;105.8;25.5;-47.3;19.1;-38.7;23.5;10.6;0.1;1.0;2.3;1.0;0.0;;;;;;;;;;
53;B Delfstoffenwinning;2018 4e kwartaal;85.3;8.9;111.5;20.8;25.1;18.3;-34.7;22.8;8.0;2.0;5.0;6.6;0.0;;;;;;;;;;;
54;B Delfstoffenwinning;2018;70.9;4.4;102.1;15.3;;;;;;;;;1.0;0.0;10.8;22020.0;21749.0;271.0;18919.0;14088.0;1184.0;1963.0;1684.0;3101.0
55;B Delfstoffenwinning;2019 1e kwartaal;93.4;1.3;101.6;7.7;13.4;31.3;-28.1;20.7;7.5;-12.0;-10.0;-9.9;1.0;;;;;;;;;;;
56;B Delfstoffenwinning;2019 2e kwartaal;44.8;-22.7;85.9;-11.4;-6.1;1.4;18.3;20.3;7.1;1.9;1.9;2.4;0.0;;;;;;;;;;;
57;B Delfstoffenwinning;2019 3e kwartaal;36.8;-23.4;77.0;-27.2;26.4;-2.6;24.7;19.6;9.6;1.5;19.9;19.9;1.0;0.0;;;;;;;;;;
58;B Delfstoffenwinning;2019 4e kwartaal;56.6;-33.7;87.3;-21.7;19.4;35.3;0.1;19.1;9.4;-3.4;-4.8;-0.5;0.0;;;;;;;;;;;
59;B Delfstoffenwinning;2019;57.9;-18.3;87.9;-13.9;;;;;;;;;2.0;100.0;10.6;18036.0;17560.0;476.0;15579.0;11396.0;1164.0;1488.0;1532.0;2457.0
60;B Delfstoffenwinning;2020 1e kwartaal;54.9;-41.2;80.7;-20.6;-9.2;28.2;5.5;21.6;9.8;4.2;-6.5;-7.6;0.0;-100.0;;;;;;;;;;
61;B Delfstoffenwinning;2020 2e kwartaal;26.6;-40.8;63.5;-26.0;-73.9;-6.4;-26.0;27.2;7.9;-3.1;-6.0;-8.1;0.0;;;;;;;;;;;
62;B Delfstoffenwinning;2020 3e kwartaal;27.7;-24.7;62.6;-18.8;-2.1;-0.3;-47.9;32.4;6.1;-4.3;-16.9;-13.9;0.0;-100.0;;;;;;;;;;
63;B Delfstoffenwinning;2020 4e kwartaal;45.1;-20.3;75.7;-13.3;19.9;29.9;-47.9;33.2;7.2;-3.3;-7.2;-8.0;0.0;;;;;;;;;;;
64;B Delfstoffenwinning;2020;38.6;-33.4;70.6;-19.7;;;;;;;;;0.0;-100.0;11.1;11902.0;11685.0;217.0;12567.0;8079.0;1098.0;1814.0;1576.0;-665.0
65;B Delfstoffenwinning;2021 1e kwartaal;62.5;13.8;86.3;6.9;8.2;32.4;-23.9;29.7;6.7;4.0;2.8;3.7;0.0;;;;;;;;;;;
66;B Delfstoffenwinning;2021 2e kwartaal;51.5;94.0;96.5;51.8;-6.7;5.6;-18.9;27.4;8.1;1.7;5.4;-0.1;0.0;;;;;;;;;;;
67;B Delfstoffenwinning;2021 3e kwartaal;65.3;135.4;135.6;116.8;-2.4;19.2;-10.8;17.3;7.9;0.6;4.8;4.5;0.0;;;;;;;;;;;
68;B Delfstoffenwinning;2021 4e kwartaal;138.3;206.4;191.3;152.7;55.8;47.2;-7.1;18.8;8.3;1.6;5.1;4.4;0.0;;;;;;;;;;;
69;B Delfstoffenwinning;2021;79.4;105.8;127.4;80.4;;;;;;;;;0.0;;10.2;23891.0;23700.0;191.0;20700.0;16413.0;1019.0;1930.0;1338.0;3192.0
70;B Delfstoffenwinning;2022 1e kwartaal;153.5;145.7;217.2;151.7;-11.9;21.9;-9.8;18.8;5.9;4.9;2.7;4.5;0.0;;;;;;;;;;;
71;B Delfstoffenwinning;2022 2e kwartaal;209.3;306.1;255.2;164.6;42.6;40.5;-5.6;18.9;4.4;0.7;5.6;-0.2;0.0;;;;;;;;;;;
72;B Delfstoffenwinning;2022 3e kwartaal;282.2;332.4;376.9;177.9;-11.3;26.7;-15.4;19.1;4.9;2.4;0.2;-1.0;0.0;;;;;;;;;;;
73;B Delfstoffenwinning;2022 4e kwartaal;211.3;52.8;405.4;111.9;1.0;5.9;9.8;21.1;3.0;0.4;-3.9;-1.2;0.0;;;;;;;;;;;
74;B Delfstoffenwinning;2022;214.1;169.6;313.7;146.2;;;;;;;;;0.0;;;;;;;;;;;
75;B Delfstoffenwinning;2023 1e kwartaal;235.0;53.1;330.5;52.1;-16.7;9.3;20.1;20.7;3.9;3.9;1.3;-2.2;0.0;;;;;;;;;;;
76;B Delfstoffenwinning;2023 2e kwartaal;;;225.5;-11.7;0.5;-4.6;0.6;22.5;4.4;4.0;4.6;-1.1;0.0;;;;;;;;;;;
77;C Industrie;2008 1e kwartaal;101.4;11.4;;;;27.5;9.6;;;4.0;2.1;-2.5;72.0;-30.8;;;;;;;;;;
78;C Industrie;2008 2e kwartaal;108.9;12.0;;;;14.5;9.0;;;3.4;-1.0;-2.6;97.0;-4.9;;;;;;;;;;
79;C Industrie;2008 3e kwartaal;106.0;10.3;;;;17.2;1.1;;;3.0;-1.2;-2.2;93.0;1.1;;;;;;;;;;
80;C Industrie;2008 4e kwartaal;93.4;-9.6;;;;14.5;-5.9;;;0.1;-1.6;0.4;129.0;6.6;;;;;;;;;;
81;C Industrie;2008;102.4;5.7;;;;;;;;;;;391.0;-6.7;;;;;;;;;;
82;C Industrie;2009 1e kwartaal;76.8;-24.3;;;;-2.3;-23.7;;;-0.7;-4.1;-3.9;241.0;234.7;;;;;;;;;;
83;C Industrie;2009 2e kwartaal;80.2;-26.3;;;;-17.3;-36.0;;;-7.8;-8.1;-8.8;209.0;115.5;;;;;;;;;;
84;C Industrie;2009 3e kwartaal;82.2;-22.5;;;;-12.9;-32.5;;;-4.3;-6.8;-6.1;196.0;110.8;;;;;;;;;;
85;C Industrie;2009 4e kwartaal;87.2;-6.6;;;;-5.8;-25.6;;;-4.3;-6.1;-6.8;190.0;47.3;;;;;;;;;;
86;C Industrie;2009;81.6;-20.3;;;;;;;;;;;836.0;113.8;916.2;257204.0;250008.0;7197.0;244949.0;157152.0;41695.0;38202.0;7901.0;12255.0
87;C Industrie;2010 1e kwartaal;82.7;7.7;;;;3.6;-20.0;;;-1.0;2.9;2.0;207.0;-14.1;;;;;;;;;;
88;C Industrie;2010 2e kwartaal;91.8;14.4;;;;4.7;-14.0;;;-0.1;0.7;-2.1;211.0;1.0;;;;;;;;;;
89;C Industrie;2010 3e kwartaal;90.1;9.6;;;;2.9;-6.6;25.3;6.7;1.1;1.5;4.0;163.0;-16.8;;;;;;;;;;
90;C Industrie;2010 4e kwartaal;97.0;11.3;;;;14.7;-2.8;23.4;4.7;0.0;2.1;1.7;235.0;23.7;;;;;;;;;;
91;C Industrie;2010;90.4;10.8;;;;;;;;;;;816.0;-2.4;906.3;280471.0;271274.0;9197.0;263024.0;172572.0;42235.0;40409.0;7809.0;17447.0
92;C Industrie;2011 1e kwartaal;100.2;21.1;;;;26.9;-1.2;19.3;4.8;5.7;4.7;3.2;175.0;-15.5;;;;;;;;;;
93;C Industrie;2011 2e kwartaal;106.3;15.8;;;;16.8;-0.5;17.9;7.5;2.5;2.4;1.3;165.0;-21.8;;;;;;;;;;
94;C Industrie;2011 3e kwartaal;103.3;14.7;;;;11.6;-4.6;20.0;4.9;2.2;2.1;0.5;181.0;11.0;;;;;;;;;;
95;C Industrie;2011 4e kwartaal;104.1;7.2;;;8.0;4.9;-8.1;22.0;6.8;4.8;4.4;4.0;205.0;-12.8;;;;;;;;;;
96;C Industrie;2011;103.5;14.4;;;;;;;;;;;726.0;-11.0;905.8;316812.0;307818.0;8997.0;299204.0;204096.0;44457.0;42412.0;8242.0;17607.0
97;C Industrie;2012 1e kwartaal;102.8;2.6;;;-4.5;14.5;-10.9;25.9;9.2;-0.2;-0.2;-0.7;182.0;4.0;;;;;;;;;;
98;C Industrie;2012 2e kwartaal;104.5;-1.6;;;5.2;5.1;-9.1;26.0;9.7;1.7;1.5;3.1;255.0;54.5;;;;;;;;;;
99;C Industrie;2012 3e kwartaal;101.6;-1.7;;;-10.8;-3.6;-11.5;25.4;10.3;-0.6;2.0;1.7;213.0;17.7;;;;;;;;;;
100;C Industrie;2012 4e kwartaal;103.2;-0.8;;;1.1;6.0;-11.8;27.1;10.5;0.5;2.0;3.4;209.0;2.0;;;;;;;;;;
101;C Industrie;2012;103.0;-0.4;;;;;;;;;;;859.0;18.3;887.4;325587.0;316566.0;9020.0;308708.0;213576.0;44512.0;42330.0;8290.0;16878.0
102;C Industrie;2013 1e kwartaal;99.6;-3.2;108.3;0.3;-10.5;8.8;-12.6;29.0;10.6;-0.2;1.2;2.3;259.0;42.3;;;;;;;;;;
103;C Industrie;2013 2e kwartaal;102.0;-2.4;106.7;-1.1;6.1;-3.3;-12.7;30.2;10.6;-1.5;1.4;0.9;244.0;-4.3;;;;;;;;;;
104;C Industrie;2013 3e kwartaal;103.2;1.6;106.9;-1.6;-5.8;-1.9;-11.9;26.4;11.4;3.3;3.2;1.5;170.0;-20.2;;;;;;;;;;
105;C Industrie;2013 4e kwartaal;105.3;2.0;106.0;-2.3;16.0;0.2;-8.4;27.4;11.3;0.2;2.0;1.2;166.0;-20.6;;;;;;;;;;
106;C Industrie;2013;102.5;-0.5;107.0;-1.2;;;;;;;;;839.0;-2.3;882.4;314539.0;306453.0;8085.0;299339.0;206383.0;44386.0;40696.0;7873.0;15200.0
107;C Industrie;2014 1e kwartaal;101.8;2.2;106.0;-2.1;-2.2;9.6;-10.2;24.9;10.3;2.6;3.3;4.2;159.0;-38.6;;;;;;;;;;
108;C Industrie;2014 2e kwartaal;104.0;1.9;106.2;-0.4;16.7;0.5;-0.7;23.7;11.2;1.9;2.7;1.7;171.0;-29.9;;;;;;;;;;
109;C Industrie;2014 3e kwartaal;101.6;-1.5;106.0;-0.9;1.9;0.6;-3.3;24.1;11.2;0.8;1.4;2.4;123.0;-27.6;;;;;;;;;;
110;C Industrie;2014 4e kwartaal;100.9;-4.1;102.6;-3.1;17.5;2.2;-5.7;24.8;9.9;2.8;3.0;3.3;112.0;-32.5;;;;;;;;;;
111;C Industrie;2014;102.1;-0.4;105.2;-1.6;;;;;;;;;565.0;-32.7;880.2;335571.0;328367.0;7203.0;320566.0;214951.0;45870.0;51879.0;7866.0;15005.0
112;C Industrie;2015 1e kwartaal;96.0;-5.6;99.6;-6.0;-2.9;6.8;-5.8;23.3;9.3;5.5;2.6;3.9;116.0;-27.0;;;;;;;;;;
113;C Industrie;2015 2e kwartaal;103.1;-0.8;102.5;-3.5;12.3;1.1;-2.6;19.9;8.6;3.2;2.8;4.0;106.0;-38.0;;;;;;;;;;
114;C Industrie;2015 3e kwartaal;99.7;-1.9;100.2;-5.4;4.3;1.5;-1.6;17.6;8.8;1.9;2.0;1.9;83.0;-32.5;;;;;;;;;;
115;C Industrie;2015 4e kwartaal;101.2;0.3;97.7;-4.8;19.2;3.0;-1.6;20.3;8.5;3.3;3.4;3.3;87.0;-22.3;;;;;;;;;;
116;C Industrie;2015;100.0;-2.0;100.0;-5.0;;;;;;;;;392.0;-30.6;874.7;333595.0;326246.0;7348.0;314532.0;204070.0;46879.0;55889.0;7693.0;19063.0
117;C Industrie;2016 1e kwartaal;93.4;-2.8;95.2;-4.4;0.0;10.5;-0.8;19.6;7.1;4.7;2.8;2.4;93.0;-19.8;;;;;;;;;;
118;C Industrie;2016 2e kwartaal;98.2;-4.8;97.1;-5.2;15.4;0.7;-0.2;19.6;7.5;1.3;1.2;1.2;92.0;-13.2;;;;;;;;;;
119;C Industrie;2016 3e kwartaal;97.1;-2.6;97.8;-2.4;4.4;2.4;-0.4;16.2;7.1;3.6;1.7;1.9;79.0;-4.8;;;;;;;;;;
120;C Industrie;2016 4e kwartaal;102.6;1.4;99.9;2.3;14.9;5.7;-0.2;16.8;8.0;2.0;0.4;0.5;101.0;16.1;;;;;;;;;;
121;C Industrie;2016;97.8;-2.2;97.5;-2.5;;;;;;;;;365.0;-6.9;892.9;328539.0;320674.0;7865.0;306322.0;190709.0;47883.0;59702.0;8028.0;22217.0
122;C Industrie;2017 1e kwartaal;102.9;10.2;102.6;7.8;7.1;17.1;1.7;14.9;7.7;5.9;2.9;3.3;64.0;-31.2;;;;;;;;;;
123;C Industrie;2017 2e kwartaal;105.1;7.1;102.1;5.1;20.5;7.2;10.3;14.2;6.3;5.5;2.3;2.1;87.0;-5.4;;;;;;;;;;
124;C Industrie;2017 3e kwartaal;102.1;5.2;101.3;3.6;4.2;4.6;13.0;12.3;6.1;5.6;3.5;2.7;63.0;-20.3;;;;;;;;;;
125;C Industrie;2017 4e kwartaal;108.9;6.1;102.8;2.9;25.8;11.9;11.1;11.4;6.1;5.0;3.4;2.7;61.0;-39.6;;;;;;;;;;
126;C Industrie;2017;104.8;7.1;102.2;4.8;;;;;;;;;275.0;-24.7;912.7;357346.0;350156.0;7190.0;333252.0;213216.0;49984.0;61472.0;8580.0;24094.0
127;C Industrie;2018 1e kwartaal;109.4;6.3;103.5;0.8;11.9;21.6;12.7;10.0;5.3;6.7;5.6;3.8;74.0;15.6;;;;;;;;;;
128;C Industrie;2018 2e kwartaal;112.3;6.8;105.3;3.2;20.7;7.5;15.2;9.5;5.1;6.2;4.5;2.7;64.0;-26.4;;;;;;;;;;
129;C Industrie;2018 3e kwartaal;110.2;7.9;106.5;5.1;4.9;10.6;13.4;9.3;4.9;7.3;5.4;3.6;51.0;-19.0;;;;;;;;;;
130;C Industrie;2018 4e kwartaal;110.5;1.4;105.8;2.9;18.6;12.9;13.3;10.7;5.3;4.8;3.6;1.8;81.0;32.8;;;;;;;;;;
131;C Industrie;2018;110.6;5.6;105.3;3.0;;;;;;;;;270.0;-1.8;937.7;384100.0;376441.0;7660.0;359438.0;235449.0;52923.0;62252.0;8809.0;24663.0
132;C Industrie;2019 1e kwartaal;104.6;-4.4;105.4;1.9;8.4;23.1;12.6;10.5;3.6;7.3;5.4;2.2;65.0;-12.2;;;;;;;;;;
133;C Industrie;2019 2e kwartaal;106.9;-4.8;107.4;1.9;13.8;6.5;9.8;10.0;4.3;4.6;2.9;0.7;67.0;4.7;;;;;;;;;;
134;C Industrie;2019 3e kwartaal;103.2;-6.3;106.0;-0.5;-2.1;3.2;4.8;11.7;6.1;4.0;1.4;2.2;77.0;51.0;;;;;;;;;;
135;C Industrie;2019 4e kwartaal;108.8;-1.5;106.3;0.5;14.1;7.8;3.1;13.8;6.3;0.6;-1.0;0.7;55.0;-32.1;;;;;;;;;;
136;C Industrie;2019;105.9;-4.3;106.3;0.9;;;;;;;;;264.0;-2.2;957.0;382256.0;375396.0;6860.0;357770.0;236303.0;55227.0;56089.0;10156.0;24486.0
137;C Industrie;2020 1e kwartaal;102.8;-1.7;105.2;-0.3;4.2;21.4;8.4;17.3;6.4;2.4;1.1;-0.2;66.0;1.5;;;;;;;;;;
138;C Industrie;2020 2e kwartaal;89.7;-16.1;99.7;-7.1;-50.3;-5.4;-21.4;21.6;4.4;-0.3;-2.6;-2.1;62.0;-7.5;;;;;;;;;;
139;C Industrie;2020 3e kwartaal;95.1;-7.8;100.9;-4.7;-1.9;-1.4;-7.1;31.4;5.3;0.0;-4.1;-4.2;58.0;-24.7;;;;;;;;;;
140;C Industrie;2020 4e kwartaal;101.0;-7.2;101.4;-4.5;6.9;0.5;-1.9;27.0;5.5;1.8;-1.7;-1.3;40.0;-27.3;;;;;;;;;;
141;C Industrie;2020;97.1;-8.2;101.8;-4.2;;;;;;;;;226.0;-14.4;954.3;354178.0;347541.0;6637.0;331180.0;212761.0;54781.0;52928.0;10710.0;22998.0
142;C Industrie;2021 1e kwartaal;101.7;-1.0;107.2;1.9;0.3;17.3;2.0;23.5;4.7;4.9;0.5;-0.5;19.0;-71.2;;;;;;;;;;
143;C Industrie;2021 2e kwartaal;108.3;20.8;112.3;12.7;18.5;21.8;11.1;17.9;3.3;3.8;1.0;-0.6;24.0;-61.3;;;;;;;;;;
144;C Industrie;2021 3e kwartaal;110.1;15.7;116.6;15.5;14.0;29.4;17.6;11.3;3.6;6.0;2.8;1.8;22.0;-62.1;;;;;;;;;;
145;C Industrie;2021 4e kwartaal;125.3;24.1;122.1;20.4;24.1;38.7;21.4;9.2;3.9;4.5;2.1;1.5;37.0;-7.5;;;;;;;;;;
146;C Industrie;2021;111.3;14.6;114.6;12.5;;;;;;;;;102.0;-54.9;978.2;401139.0;390910.0;10229.0;366142.0;246064.0;57117.0;52205.0;10757.0;34997.0
147;C Industrie;2022 1e kwartaal;126.5;24.3;132.1;23.3;9.0;51.6;22.1;8.7;3.8;5.0;2.6;0.2;27.0;42.1;;;;;;;;;;
148;C Industrie;2022 2e kwartaal;140.6;29.8;145.5;29.5;25.4;53.2;20.4;7.0;2.9;1.6;-0.8;-1.6;39.0;62.5;;;;;;;;;;
149;C Industrie;2022 3e kwartaal;135.6;23.2;146.3;25.5;6.6;39.9;18.8;8.2;3.0;2.7;2.1;2.1;34.0;54.5;;;;;;;;;;
150;C Industrie;2022 4e kwartaal;143.5;14.5;143.3;17.3;10.3;48.6;11.4;12.4;4.9;0.4;1.7;1.2;61.0;64.9;;;;;;;;;;
151;C Industrie;2022;136.5;22.6;141.8;23.8;;;;;;;;;161.0;57.8;;;;;;;;;;
152;C Industrie;2023 1e kwartaal;132.6;4.8;141.4;7.0;4.4;45.6;13.4;15.2;5.7;0.8;0.1;0.1;80.0;196.3;;;;;;;;;;
