ID;Perioden;TotaalVervoerdLadinggewicht_1;BinnenlandsGoederenvervoer_2;TotaalInternationaalGoederenvervoer_3;TotaalAanEnAfvoer_4;Aanvoer_5;Afvoer_6;Doorvoer_7;TotaalAfgelegdeLadingtonkilometer_8;BinnenlandsGoederenvervoer_9;TotaalInternationaalGoederenvervoer_10;TotaalAanEnAfvoer_11;Aanvoer_12;Afvoer_13;Doorvoer_14;TotaalAfgelegdeTreinkilometers_15
33;2011 1e kwartaal;9699;1311;8388;7920;2001;5919;468;1590;229;1361;1277;300;977;84;2015.0
34;2011 2e kwartaal;10123;1316;8807;8315;2252;6063;492;1648;246;1402;1314;321;993;88;2088.0
35;2011 3e kwartaal;9750;1504;8246;7837;2050;5787;409;1585;257;1328;1256;303;953;72;2008.0
36;2011 4e kwartaal;9601;1437;8164;7707;1998;5709;457;1556;239;1317;1236;296;940;81;1972.0
37;2011;39174;5568;33606;31779;8301;23478;1827;6378;971;5407;5083;1220;3863;324;8082.0
38;2012 1e kwartaal;9202;802;8400;7954;2141;5813;446;1502;154;1348;1265;305;960;83;1912.0
39;2012 2e kwartaal;9410;830;8580;8117;2064;6053;463;1536;160;1376;1291;287;1004;85;1955.0
40;2012 3e kwartaal;9534;814;8720;8295;2022;6273;425;1556;150;1406;1334;325;1009;72;1981.0
41;2012 4e kwartaal;9481;773;8708;8264;1945;6319;444;1548;148;1400;1322;295;1027;78;1970.0
42;2012;37627;3219;34407;32629;8172;24458;1778;6142;612;5530;5212;1212;4000;318;7818.0
43;2013 1e kwartaal;9998;862;9136;8559;1790;6769;577;1561;141;1420;1332;256;1076;88;2011.0
44;2013 2e kwartaal;9354;828;8526;7989;2027;5962;537;1460;136;1324;1237;288;949;87;1880.0
45;2013 3e kwartaal;9744;801;8943;8542;2109;6433;401;1521;132;1389;1323;296;1027;66;1959.0
46;2013 4e kwartaal;9831;756;9075;8744;1976;6768;331;1535;129;1406;1347;280;1067;59;1977.0
47;2013;38927;3247;35680;33834;7902;25932;1846;6078;538;5539;5239;1115;4124;300;7827.0
48;2014 1e kwartaal;10194;775;9419;9069;1978;7091;351;1637;141;1496;1442;301;1141;55;1984.0
49;2014 2e kwartaal;9460;838;8622;8315;2142;6172;307;1468;138;1330;1278;311;966;53;1825.0
50;2014 3e kwartaal;9824;834;8990;8678;2214;6464;312;1543;136;1407;1349;326;1023;58;1986.0
51;2014 4e kwartaal;9889;820;9069;8708;2184;6524;361;1521;128;1394;1333;305;1028;60;1915.0
52;2014;39367;3267;36100;34770;8519;26251;1330;6169;542;5628;5402;1243;4159;226;7710.0
53;2015 1e kwartaal;10489;942;9547;9069;2406;6663;478;1648;140;1508;1433;353;1080;75;2056.0
54;2015 2e kwartaal;9842;734;9108;8566;2345;6221;542;1535;107;1428;1342;345;997;86;1972.0
55;2015 3e kwartaal;10479;751;9728;9210;2387;6823;518;1631;113;1518;1439;354;1085;79;2048.0
56;2015 4e kwartaal;10912;706;10206;9664;2325;7339;542;1732;106;1626;1542;354;1188;84;2130.0
57;2015;41721;3133;38589;36509;9463;27046;2080;6545;466;6080;5756;1406;4350;324;8206.0
58;2016 1e kwartaal;11094;698;10396;9816;2411;7405;580;1714;114;1600;1517;352;1165;83;2118.0
59;2016 2e kwartaal;10712;740;9972;9330;2498;6832;642;1677;106;1571;1474;362;1112;97;2132.0
60;2016 3e kwartaal;9880;732;9148;8560;2404;6156;588;1592;101;1491;1396;375;1021;95;2052.0
61;2016 4e kwartaal;10929;722;10207;9648;2572;7076;559;1659;100;1559;1478;379;1099;81;1940.0
62;2016;42615;2892;39723;37354;9885;27469;2369;6641;421;6221;5865;1468;4397;356;8242.0
63;2017 1e kwartaal;11595;764;10831;9830;2754;7076;1001;1849;118;1731;1554;415;1139;177;2294.0
64;2017 2e kwartaal;10161;704;9457;8587;2557;6031;870;1605;109;1496;1341;376;965;154;2006.0
65;2017 3e kwartaal;10334;653;9681;8710;2578;6132;971;1639;102;1537;1368;400;968;169;2039.0
66;2017 4e kwartaal;9989;623;9366;8599;2537;6062;766;1593;96;1497;1363;391;972;134;1918.0
67;2017;42079;2744;39335;35727;10425;25302;3608;6685;424;6261;5626;1583;4044;635;8256.0
68;2018 1e kwartaal;10566;795;9771;8841;2629;6213;929;1859;125;1734;1558;550;1008;176;2160.0
69;2018 2e kwartaal;9761;772;8990;8095;2375;5721;895;1640;126;1514;1352;397;954;163;2021.0
70;2018 3e kwartaal;10423;824;9599;8480;2442;6038;1119;1740;131;1609;1406;403;1003;203;2159.0
71;2018 4e kwartaal;11084;782;10302;9187;2497;6690;1115;1818;125;1693;1497;407;1090;195;2185.0
72;2018;41834;3173;38661;34604;9943;24660;4057;7058;508;6550;5814;1758;4056;737;8525.0
73;2019 1e kwartaal;11426;830;10596;9405;2425;6980;1191;1883;131;1752;1536;376;1159;216;2299.0
74;2019 2e kwartaal;10780;799;9981;8858;2324;6534;1123;1794;129;1665;1462;366;1096;202;2234.0
75;2019 3e kwartaal;10447;800;9648;8608;2307;6301;1039;1774;125;1649;1464;375;1089;185;2270.0
76;2019 4e kwartaal;10000;795;9205;8229;2171;6058;976;1629;120;1509;1334;334;1000;175;2137.0
77;2019;42654;3224;39430;35100;9228;25872;4330;7080;505;6575;5796;1451;4345;778;8940.0
78;2020 1e kwartaal;10747;759;9988;8979;2381;6598;1008;1794;119;1675;1489;367;1122;186;2243.0
79;2020 2e kwartaal;8676;720;7955;7074;2071;5003;881;1461;113;1348;1183;322;862;165;1857.0
80;2020 3e kwartaal;9585;854;8731;7734;2380;5355;996;1589;133;1456;1273;363;910;183;2066.0
81;2020 4e kwartaal;11009;879;10130;8941;2472;6469;1190;1820;138;1683;1469;381;1088;214;2267.0
82;2020;40017;3213;36804;32729;9303;23425;4076;6665;503;6162;5414;1432;3982;747;8433.0
83;2021 1e kwartaal;10593;806;9787;8799;2464;6335;988;1774;133;1640;1450;377;1073;190;2231.0
84;2021 2e kwartaal;11044;810;10234;9238;2582;6657;996;1874;140;1733;1544;401;1143;189;2277.0
85;2021 3e kwartaal;10510;780;9730;8987;2558;6429;742;1790;138;1651;1506;399;1107;145;2219.0
86;2021 4e kwartaal;10474;747;9727;8960;2579;6382;767;1751;129;1621;1466;398;1068;155;2248.0
87;2021;42621;3142;39478;35985;10183;25802;3493;7188;541;6646;5967;1575;4391;680;8974.0
88;2022 1e kwartaal;10939;813;10126;9266;2641;6626;859;1806;140;1666;1505;399;1106;161;2374.0
89;2022 2e kwartaal;11524;815;10709;9480;2601;6878;1229;1872;141;1731;1525;384;1141;206;2300.0
90;2022 3e kwartaal;11285;820;10465;9632;2686;6946;833;1812;142;1670;1529;387;1142;141;2211.0
91;2022 4e kwartaal;10721;713;10008;9328;2537;6791;679;1686;128;1558;1437;352;1085;121;2094.0
92;2022;44469;3161;41307;37706;10465;27241;3601;7176;551;6625;5997;1523;4474;629;8979.0
93;2023 1e kwartaal;11119;625;10494;9654;2524;7130;840;1798;109;1689;1543;367;1175;146;2205.0
94;2023 2e kwartaal;9465;578;8886;8160;2521;5639;726;1599;102;1497;1371;393;978;126;2087.0
95;2023 3e kwartaal;9564;587;8977;8221;2543;5679;755;1586;100;1486;1363;390;973;124;2089.0
96;2023 4e kwartaal;9192;506;8686;7975;2463;5512;711;1510;88;1422;1300;379;921;122;1941.0
97;2023;39340;2297;37043;34010;10051;23959;3033;6493;399;6094;5577;1529;4048;517;8322.0
98;2024 1e kwartaal;9610;594;9015;8286;2596;5689;730;1564;96;1467;1344;397;948;123;2000.0
99;2024 2e kwartaal;9376;646;8730;7939;2597;5342;791;1557;104;1453;1317;404;913;135;1982.0
100;2024 3e kwartaal;9325;682;8643;7834;2478;5355;810;1489;112;1377;1246;366;880;131;1891.0
101;2024 4e kwartaal;9304;754;8550;7824;2587;5236;726;1534;110;1424;1305;406;898;119;1932.0
102;2024;37615;2676;34938;31883;10258;21622;3057;6144;422;5721;5212;1573;3639;508;7805.0
