ID;Relatieduur;Perioden;BestaandeHuwelijken_1;BestaandeGeregistreerdePartnerschappen_2
608;20 jaar;2012;64492;
609;20 jaar;2013;64624;
610;20 jaar;2014;60623;
611;20 jaar;2015;57875;
612;20 jaar;2016;56266;
613;20 jaar;2017;56699;
614;20 jaar;2018;57928;
615;20 jaar;2019;58317;1651.0
616;20 jaar;2020;58979;1241.0
617;20 jaar;2021;58473;1063.0
618;20 jaar;2022;54356;812.0
619;20 jaar;2023;56535;1419.0
620;20 jaar;2024;54597;1996.0
621;21 jaar;1998;73518;
622;21 jaar;1999;70059;
623;21 jaar;2000;66985;
624;21 jaar;2001;63892;
625;21 jaar;2002;67781;
626;21 jaar;2003;63804;
627;21 jaar;2004;61727;
628;21 jaar;2005;57511;
629;21 jaar;2006;58210;
630;21 jaar;2007;59410;
631;21 jaar;2008;62305;
632;21 jaar;2009;62492;
633;21 jaar;2010;62508;
634;21 jaar;2011;63307;
635;21 jaar;2012;65289;
636;21 jaar;2013;63213;
637;21 jaar;2014;63418;
638;21 jaar;2015;59421;
639;21 jaar;2016;56909;
640;21 jaar;2017;55274;
641;21 jaar;2018;55822;
642;21 jaar;2019;56958;
643;21 jaar;2020;57389;1601.0
644;21 jaar;2021;57949;1206.0
645;21 jaar;2022;57520;1027.0
646;21 jaar;2023;53762;789.0
647;21 jaar;2024;55870;1377.0
648;22 jaar;1998;75529;
649;22 jaar;1999;72519;
650;22 jaar;2000;69085;
651;22 jaar;2001;65983;
652;22 jaar;2002;62891;
653;22 jaar;2003;66622;
654;22 jaar;2004;62726;
655;22 jaar;2005;60602;
656;22 jaar;2006;56453;
657;22 jaar;2007;57057;
658;22 jaar;2008;58274;
659;22 jaar;2009;61174;
660;22 jaar;2010;61414;
661;22 jaar;2011;61431;
662;22 jaar;2012;62228;
663;22 jaar;2013;64126;
664;22 jaar;2014;62038;
665;22 jaar;2015;62111;
666;22 jaar;2016;58394;
667;22 jaar;2017;55921;
668;22 jaar;2018;54366;
669;22 jaar;2019;54985;
670;22 jaar;2020;56068;
671;22 jaar;2021;56441;1544.0
672;22 jaar;2022;57030;1165.0
673;22 jaar;2023;56873;1004.0
674;22 jaar;2024;53011;764.0
675;23 jaar;1998;81436;
676;23 jaar;1999;74455;
677;23 jaar;2000;71517;
678;23 jaar;2001;68111;
679;23 jaar;2002;64953;
680;23 jaar;2003;61854;
681;23 jaar;2004;65508;
682;23 jaar;2005;61632;
683;23 jaar;2006;59453;
684;23 jaar;2007;55389;
685;23 jaar;2008;55937;
686;23 jaar;2009;57233;
687;23 jaar;2010;60121;
688;23 jaar;2011;60278;
689;23 jaar;2012;60370;
690;23 jaar;2013;61128;
691;23 jaar;2014;62968;
692;23 jaar;2015;60820;
693;23 jaar;2016;60945;
694;23 jaar;2017;57398;
695;23 jaar;2018;55053;
696;23 jaar;2019;53465;
697;23 jaar;2020;54078;
698;23 jaar;2021;55149;
699;23 jaar;2022;55616;1496.0
700;23 jaar;2023;56416;1118.0
701;23 jaar;2024;56114;974.0
702;24 jaar;1998;78819;
703;24 jaar;1999;80302;
704;24 jaar;2000;73476;
705;24 jaar;2001;70558;
706;24 jaar;2002;67072;
707;24 jaar;2003;63865;
708;24 jaar;2004;60819;
709;24 jaar;2005;64371;
710;24 jaar;2006;60536;
711;24 jaar;2007;58404;
712;24 jaar;2008;54416;
713;24 jaar;2009;54993;
714;24 jaar;2010;56289;
715;24 jaar;2011;59101;
716;24 jaar;2012;59262;
717;24 jaar;2013;59284;
718;24 jaar;2014;60050;
719;24 jaar;2015;61793;
720;24 jaar;2016;59732;
721;24 jaar;2017;59919;
722;24 jaar;2018;56493;
723;24 jaar;2019;54139;
724;24 jaar;2020;52669;
725;24 jaar;2021;53229;
726;24 jaar;2022;54264;
727;24 jaar;2023;54952;1428.0
728;24 jaar;2024;55678;1083.0
729;25 jaar;1998;86341;
730;25 jaar;1999;77691;
731;25 jaar;2000;79210;
732;25 jaar;2001;72533;
733;25 jaar;2002;69509;
734;25 jaar;2003;65991;
735;25 jaar;2004;62849;
736;25 jaar;2005;59783;
737;25 jaar;2006;63277;
738;25 jaar;2007;59485;
739;25 jaar;2008;57427;
740;25 jaar;2009;53490;
741;25 jaar;2010;54114;
742;25 jaar;2011;55338;
743;25 jaar;2012;58106;
744;25 jaar;2013;58217;
745;25 jaar;2014;58256;
746;25 jaar;2015;58922;
747;25 jaar;2016;60777;
748;25 jaar;2017;58695;
749;25 jaar;2018;58982;
750;25 jaar;2019;55600;
751;25 jaar;2020;53350;
752;25 jaar;2021;51876;
753;25 jaar;2022;52489;
754;25 jaar;2023;53611;
755;25 jaar;2024;54275;1355.0
756;26 jaar;1998;89096;
757;26 jaar;1999;85237;
758;26 jaar;2000;76671;
759;26 jaar;2001;78092;
760;26 jaar;2002;71469;
761;26 jaar;2003;68420;
762;26 jaar;2004;64948;
763;26 jaar;2005;61830;
764;26 jaar;2006;58820;
765;26 jaar;2007;62240;
766;26 jaar;2008;58548;
767;26 jaar;2009;56566;
768;26 jaar;2010;52743;
769;26 jaar;2011;53181;
770;26 jaar;2012;54458;
771;26 jaar;2013;57155;
772;26 jaar;2014;57260;
773;26 jaar;2015;57227;
774;26 jaar;2016;58028;
775;26 jaar;2017;59812;
776;26 jaar;2018;57840;
777;26 jaar;2019;58024;
778;26 jaar;2020;54783;
779;26 jaar;2021;52519;
780;26 jaar;2022;51175;
781;26 jaar;2023;51933;
782;26 jaar;2024;52904;
783;27 jaar;1998;88738;
784;27 jaar;1999;87988;
785;27 jaar;2000;84186;
786;27 jaar;2001;75614;
787;27 jaar;2002;76955;
788;27 jaar;2003;70400;
789;27 jaar;2004;67401;
790;27 jaar;2005;63912;
791;27 jaar;2006;60797;
792;27 jaar;2007;57886;
793;27 jaar;2008;61308;
794;27 jaar;2009;57687;
