ID;SBI1993LeeftijdscatCaoSectoren;Perioden;CaoLonenInclBijzBelPerMaand_1;CaoLonenInclBijzBelPerUur_2
397;01-93 Totaal sbi;2003 april;143.1;146.6
398;01-93 Totaal sbi;2003 mei;143.7;147.1
399;01-05 Landbouw en visserij;1999 januari;126.3;129.1
400;01-05 Landbouw en visserij;1999 februari;126.3;129.1
401;01-05 Landbouw en visserij;1999 maart;126.3;129.1
402;01-05 Landbouw en visserij;1999 april;126.3;129.1
403;01-05 Landbouw en visserij;1999 mei;126.3;128.8
404;01-05 Landbouw en visserij;1999 juni;126.3;129.1
405;01-05 Landbouw en visserij;1999 juli;127.9;130.7
406;01-05 Landbouw en visserij;1999 augustus;128.0;130.8
407;01-05 Landbouw en visserij;1999 september;128.0;130.8
408;01-05 Landbouw en visserij;1999 oktober;128.0;130.8
409;01-05 Landbouw en visserij;1999 november;128.7;131.5
410;01-05 Landbouw en visserij;1999 december;128.7;131.5
411;01-05 Landbouw en visserij;1999 jaargemiddelde;127.9;130.7
412;01-05 Landbouw en visserij;2000 januari;130.7;133.6
413;01-05 Landbouw en visserij;2000 februari;130.7;133.6
414;01-05 Landbouw en visserij;2000 maart;130.7;133.6
415;01-05 Landbouw en visserij;2000 april;130.7;133.6
416;01-05 Landbouw en visserij;2000 mei;130.7;133.6
417;01-05 Landbouw en visserij;2000 juni;130.7;133.6
418;01-05 Landbouw en visserij;2000 juli;134.3;137.3
419;01-05 Landbouw en visserij;2000 augustus;134.6;137.5
420;01-05 Landbouw en visserij;2000 september;134.6;137.6
421;01-05 Landbouw en visserij;2000 oktober;134.6;137.6
422;01-05 Landbouw en visserij;2000 november;134.6;137.6
423;01-05 Landbouw en visserij;2000 december;134.6;137.6
424;01-05 Landbouw en visserij;2000 jaargemiddelde;133.5;136.4
425;01-05 Landbouw en visserij;2001 januari;135.6;138.6
426;01-05 Landbouw en visserij;2001 februari;135.6;138.6
427;01-05 Landbouw en visserij;2001 maart;135.6;138.6
428;01-05 Landbouw en visserij;2001 april;135.6;138.6
429;01-05 Landbouw en visserij;2001 mei;136.9;139.9
430;01-05 Landbouw en visserij;2001 juni;136.9;139.9
431;01-05 Landbouw en visserij;2001 juli;138.1;141.2
432;01-05 Landbouw en visserij;2001 augustus;138.2;141.2
433;01-05 Landbouw en visserij;2001 september;138.2;141.3
434;01-05 Landbouw en visserij;2001 oktober;138.4;141.4
435;01-05 Landbouw en visserij;2001 november;138.5;141.5
436;01-05 Landbouw en visserij;2001 december;138.5;141.5
