ID;SectorenEnBedrijfstypen;Perioden;Aardgas_1;OverigeFossieleBrandstofVoorWarmte_2;AanvoerWarmteVanBuitenDeLandbouw_3;Elektriciteit_4;BrandstoffenVoorTractoren_5;Aardgas_6;OverigeFossieleBrandstofVoorWarmte_7;AanvoerWarmteVanBuitenDeLandbouw_8;Elektriciteit_9;BrandstoffenVoorTractoren_10
13;Totaal land- en tuinbouw;2003;117.7;1.7;10.9;12.4;14.5;3718.0;52.0;344.0;3458.0;339.0
14;Totaal land- en tuinbouw;2004;121.4;1.8;9.3;13.1;13.9;3837.0;56.0;294.0;3635.0;325.0
15;Totaal land- en tuinbouw;2005;121.1;1.7;9.3;11.8;14.6;3827.0;52.0;293.0;3269.0;342.0
16;Totaal land- en tuinbouw;2006;110.4;1.7;8.5;5.7;14.3;3487.0;53.0;268.0;1595.0;335.0
17;Totaal land- en tuinbouw;2007;118.3;1.7;7.3;0.3;14.3;3739.0;52.0;231.0;70.0;335.0
18;Totaal land- en tuinbouw;2008;131.4;1.6;6.2;-10.0;14.2;4151.0;51.0;197.0;-2789.0;333.0
19;Totaal land- en tuinbouw;2009;131.0;1.5;5.5;-6.7;14.2;4140.0;48.0;175.0;-1855.0;332.0
20;Totaal land- en tuinbouw;2010;149.3;1.7;5.5;-14.6;14.6;4716.0;54.0;173.0;-4061.0;342.0
21;Totaal land- en tuinbouw;2011;136.0;1.3;4.8;-13.8;15.0;4297.0;42.0;153.0;-3820.0;351.0
22;Totaal land- en tuinbouw;2012;127.3;1.3;4.5;-9.3;14.6;4021.0;41.0;142.0;-2587.0;343.0
23;Totaal land- en tuinbouw;2013;125.6;1.4;4.2;-7.8;14.7;3970.0;43.0;132.0;-2177.0;345.0
24;Glastuinbouw;1990;119.6;0.3;1.9;2.3;0.1;3778.0;9.0;60.0;625.0;3.0
25;Glastuinbouw;1991;136.2;0.3;2.6;3.1;0.2;4304.0;10.0;83.0;872.0;5.0
26;Glastuinbouw;1992;131.0;0.6;3.7;3.1;0.2;4140.0;20.0;118.0;872.0;5.0
27;Glastuinbouw;1993;137.9;0.7;5.3;3.2;0.3;4358.0;22.0;167.0;894.0;6.0
28;Glastuinbouw;1994;129.5;0.5;6.7;3.7;0.2;4092.0;15.0;213.0;1022.0;6.0
29;Glastuinbouw;1995;128.1;0.2;8.4;3.3;0.3;4046.0;8.0;265.0;908.0;6.0
30;Glastuinbouw;1996;142.4;0.5;12.1;4.0;0.2;4499.0;15.0;381.0;1103.0;5.0
31;Glastuinbouw;1997;119.7;0.2;14.7;4.3;0.2;3781.0;7.0;464.0;1200.0;5.0
32;Glastuinbouw;1998;120.2;0.1;16.2;4.3;0.2;3799.0;3.0;511.0;1206.0;6.0
33;Glastuinbouw;1999;116.6;0.1;15.5;4.7;0.2;3684.0;3.0;490.0;1308.0;5.0
34;Glastuinbouw;2000;117.4;0.0;14.9;4.4;0.2;3709.0;1.0;469.0;1213.0;5.0
35;Glastuinbouw;2001;114.3;0.1;14.1;4.4;0.2;3611.0;2.0;444.0;1230.0;5.0
36;Glastuinbouw;2002;108.9;0.1;12.4;5.2;0.1;3442.0;3.0;393.0;1437.0;2.0
37;Glastuinbouw;2003;110.4;0.2;10.9;5.5;0.1;3488.0;6.0;344.0;1535.0;2.0
38;Glastuinbouw;2004;114.3;0.1;9.3;6.2;0.1;3610.0;4.0;294.0;1712.0;2.0
39;Glastuinbouw;2005;113.7;0.1;9.3;4.8;0.1;3593.0;3.0;293.0;1328.0;3.0
40;Glastuinbouw;2006;103.9;0.1;8.5;-1.5;0.1;3282.0;4.0;268.0;-411.0;2.0
41;Glastuinbouw;2007;112.2;0.1;7.3;-7.2;0.1;3546.0;3.0;231.0;-1987.0;1.0
42;Glastuinbouw;2008;124.7;0.1;6.2;-17.1;0.1;3941.0;3.0;197.0;-4763.0;2.0
43;Glastuinbouw;2009;124.2;0.1;5.5;-14.3;0.1;3925.0;2.0;175.0;-3980.0;3.0
44;Glastuinbouw;2010;142.4;0.1;5.5;-22.4;0.1;4500.0;2.0;173.0;-6228.0;2.0
45;Glastuinbouw;2011;130.6;0.0;4.8;-21.2;0.1;4126.0;1.0;153.0;-5898.0;2.0
46;Glastuinbouw;2012;121.7;0.0;4.5;-16.8;0.1;3846.0;1.0;142.0;-4676.0;3.0
47;Glastuinbouw;2013;120.2;0.0;4.2;-15.3;0.1;3797.0;1.0;132.0;-4257.0;2.0
48;Totaal overige landbouw, excl. loonbedr.;1990;9.5;3.1;0.0;6.3;10.3;299.0;97.0;0.0;1754.0;240.0
49;Totaal overige landbouw, excl. loonbedr.;1991;10.4;3.4;0.0;6.6;9.7;328.0;107.0;0.0;1836.0;227.0
50;Totaal overige landbouw, excl. loonbedr.;1992;12.1;2.7;0.0;6.8;9.5;382.0;87.0;0.0;1895.0;223.0
51;Totaal overige landbouw, excl. loonbedr.;1993;12.1;2.7;0.0;6.7;9.4;381.0;86.0;0.0;1873.0;221.0
52;Totaal overige landbouw, excl. loonbedr.;1994;10.2;3.0;0.0;7.1;9.5;323.0;95.0;0.0;1958.0;223.0
53;Totaal overige landbouw, excl. loonbedr.;1995;11.5;3.1;0.0;7.2;10.3;364.0;97.0;0.0;2006.0;241.0
54;Totaal overige landbouw, excl. loonbedr.;1996;12.5;2.8;0.0;7.2;9.3;396.0;89.0;0.0;1986.0;218.0
55;Totaal overige landbouw, excl. loonbedr.;1997;11.8;1.8;0.0;7.2;9.2;373.0;55.0;0.0;1986.0;216.0
56;Totaal overige landbouw, excl. loonbedr.;1998;10.0;2.0;0.0;7.4;9.1;315.0;62.0;0.0;2053.0;214.0
57;Totaal overige landbouw, excl. loonbedr.;1999;8.8;1.6;0.0;7.9;10.3;276.0;50.0;0.0;2200.0;242.0
58;Totaal overige landbouw, excl. loonbedr.;2000;10.4;1.9;0.0;7.7;10.5;330.0;59.0;0.0;2131.0;246.0
59;Totaal overige landbouw, excl. loonbedr.;2001;10.1;2.0;0.0;7.9;10.3;320.0;62.0;0.0;2194.0;242.0
60;Totaal overige landbouw, excl. loonbedr.;2002;7.2;1.8;0.0;7.0;9.8;227.0;56.0;0.0;1939.0;230.0
61;Totaal overige landbouw, excl. loonbedr.;2003;7.3;1.5;0.0;6.9;9.9;230.0;46.0;0.0;1923.0;232.0
62;Totaal overige landbouw, excl. loonbedr.;2004;7.2;1.6;0.0;6.9;9.3;227.0;52.0;0.0;1923.0;217.0
63;Totaal overige landbouw, excl. loonbedr.;2005;7.4;1.6;0.0;7.0;10.0;234.0;49.0;0.0;1941.0;234.0
64;Totaal overige landbouw, excl. loonbedr.;2006;6.5;1.6;0.0;7.2;9.7;205.0;49.0;0.0;2006.0;227.0
65;Totaal overige landbouw, excl. loonbedr.;2007;6.1;1.6;0.0;7.4;9.8;193.0;49.0;0.0;2057.0;229.0
66;Totaal overige landbouw, excl. loonbedr.;2008;6.6;1.5;0.0;7.1;9.6;210.0;48.0;0.0;1974.0;226.0
67;Totaal overige landbouw, excl. loonbedr.;2009;6.8;1.5;0.0;7.7;9.5;215.0;46.0;0.0;2125.0;223.0
68;Totaal overige landbouw, excl. loonbedr.;2010;6.8;1.7;0.0;7.8;10.0;216.0;52.0;0.0;2167.0;234.0
69;Totaal overige landbouw, excl. loonbedr.;2011;5.4;1.3;;7.5;10.4;171.0;41.0;0.0;2078.0;244.0
70;Totaal overige landbouw, excl. loonbedr.;2012;5.5;1.3;0.0;7.5;10.0;175.0;40.0;0.0;2089.0;235.0
71;Totaal overige landbouw, excl. loonbedr.;2013;5.5;1.3;0.0;7.5;10.2;173.0;42.0;0.0;2080.0;238.0
72;Openteeltbedrijven;1990;;;0.0;;;;;0.0;;
73;Openteeltbedrijven;1991;;;0.0;;;;;0.0;;
74;Openteeltbedrijven;1992;;;0.0;;;;;0.0;;
75;Openteeltbedrijven;1993;;;0.0;;;;;0.0;;
76;Openteeltbedrijven;1994;1.2;0.4;0.0;1.3;3.8;38.0;11.0;0.0;369.0;89.0
77;Openteeltbedrijven;1995;1.3;0.4;0.0;1.3;4.2;40.0;14.0;0.0;350.0;99.0
78;Openteeltbedrijven;1996;1.6;0.4;0.0;1.3;3.5;51.0;11.0;0.0;347.0;81.0
79;Openteeltbedrijven;1997;2.9;0.2;0.0;1.5;3.6;90.0;6.0;0.0;414.0;85.0
80;Openteeltbedrijven;1998;1.8;0.3;0.0;1.5;3.7;56.0;10.0;0.0;417.0;87.0
81;Openteeltbedrijven;1999;1.3;0.1;0.0;1.5;4.3;42.0;4.0;0.0;414.0;101.0
82;Openteeltbedrijven;2000;1.8;0.2;0.0;1.5;4.5;57.0;5.0;0.0;414.0;105.0
83;Openteeltbedrijven;2001;1.7;0.2;0.0;1.5;4.4;53.0;5.0;0.0;414.0;103.0
84;Openteeltbedrijven;2002;1.5;0.1;0.0;1.6;3.9;46.0;4.0;0.0;437.0;92.0
85;Openteeltbedrijven;2003;1.4;0.1;0.0;1.4;3.7;45.0;3.0;0.0;388.0;87.0
86;Openteeltbedrijven;2004;1.4;0.2;0.0;1.7;3.5;46.0;5.0;0.0;461.0;82.0
87;Openteeltbedrijven;2005;1.8;0.1;0.0;1.6;3.8;57.0;3.0;0.0;451.0;89.0
88;Openteeltbedrijven;2006;1.7;0.2;0.0;1.6;3.5;53.0;7.0;0.0;450.0;83.0
89;Openteeltbedrijven;2007;2.0;0.2;0.0;2.0;3.7;65.0;6.0;0.0;544.0;87.0
90;Openteeltbedrijven;2008;1.5;0.2;0.0;1.6;3.4;48.0;7.0;0.0;432.0;80.0
91;Openteeltbedrijven;2009;2.0;0.2;0.0;1.9;3.4;62.0;5.0;0.0;516.0;80.0
92;Openteeltbedrijven;2010;1.9;0.2;0.0;1.9;3.7;61.0;8.0;0.0;526.0;87.0
93;Openteeltbedrijven;2011;1.3;0.2;;1.8;3.9;40.0;5.0;0.0;507.0;92.0
94;Openteeltbedrijven;2012;1.5;0.2;0.0;1.9;3.6;47.0;7.0;0.0;514.0;85.0
95;Openteeltbedrijven;2013;;;;;;;;;;
96;Paddenstoelbedrijven;1990;;;;;;;;;;
97;Paddenstoelbedrijven;1991;;;;;;;;;;
98;Paddenstoelbedrijven;1992;;;;;;;;;;
99;Paddenstoelbedrijven;1993;;;;;;;;;;
100;Paddenstoelbedrijven;1994;1.1;0.1;0.0;0.3;0.1;33.0;2.0;0.0;75.0;2.0
101;Paddenstoelbedrijven;1995;1.1;0.1;0.0;0.3;0.1;33.0;2.0;0.0;81.0;2.0
102;Paddenstoelbedrijven;1996;1.2;0.0;0.0;0.2;0.1;37.0;1.0;0.0;67.0;2.0
103;Paddenstoelbedrijven;1997;1.2;0.0;0.0;0.3;0.1;38.0;1.0;0.0;83.0;2.0
104;Paddenstoelbedrijven;1998;1.4;0.0;0.0;0.3;0.1;43.0;1.0;0.0;94.0;2.0
105;Paddenstoelbedrijven;1999;1.1;0.0;0.0;0.3;0.1;34.0;1.0;0.0;78.0;2.0
106;Paddenstoelbedrijven;2000;1.4;0.0;0.0;0.3;0.1;45.0;1.0;0.0;78.0;2.0
107;Paddenstoelbedrijven;2001;1.3;0.0;0.0;0.3;0.1;40.0;1.0;0.0;69.0;2.0
108;Paddenstoelbedrijven;2002;0.6;0.0;0.0;0.2;0.0;18.0;0.0;0.0;62.0;1.0
109;Paddenstoelbedrijven;2003;0.8;0.0;0.0;0.3;0.0;25.0;0.0;0.0;90.0;0.0
110;Paddenstoelbedrijven;2004;0.7;0.0;0.0;0.3;0.0;23.0;0.0;0.0;84.0;0.0
111;Paddenstoelbedrijven;2005;0.8;0.0;0.0;0.4;0.0;25.0;0.0;0.0;101.0;0.0
112;Paddenstoelbedrijven;2006;0.7;0.0;0.0;0.3;0.0;21.0;0.0;0.0;83.0;0.0
113;Paddenstoelbedrijven;2007;0.6;0.0;0.0;0.3;0.0;18.0;0.0;0.0;77.0;0.0
114;Paddenstoelbedrijven;2008;0.8;0.0;0.0;0.3;0.0;25.0;0.0;0.0;84.0;0.0
115;Paddenstoelbedrijven;2009;1.0;0.0;0.0;0.3;0.0;31.0;0.0;0.0;84.0;0.0
116;Paddenstoelbedrijven;2010;0.7;0.0;0.0;0.2;0.0;21.0;0.0;0.0;61.0;0.0
117;Paddenstoelbedrijven;2011;0.4;0.0;;0.2;0.0;14.0;0.0;0.0;56.0;0.0
118;Paddenstoelbedrijven;2012;0.6;0.0;0.0;0.2;0.0;18.0;0.0;0.0;67.0;0.0
119;Paddenstoelbedrijven;2013;;;;;;;;;;
120;Graasdierbedrijven;1990;2.0;0.7;0.0;2.9;4.9;63.0;22.0;0.0;806.0;114.0
121;Graasdierbedrijven;1991;2.0;0.7;0.0;2.9;4.9;62.0;22.0;0.0;800.0;114.0
122;Graasdierbedrijven;1992;2.5;0.4;0.0;3.1;4.1;80.0;12.0;0.0;856.0;96.0
123;Graasdierbedrijven;1993;2.5;0.4;0.0;3.1;3.9;80.0;11.0;0.0;850.0;92.0
124;Graasdierbedrijven;1994;2.0;0.7;0.0;3.0;4.1;64.0;23.0;0.0;825.0;96.0
125;Graasdierbedrijven;1995;2.4;0.5;0.0;3.0;4.4;75.0;15.0;0.0;833.0;102.0
126;Graasdierbedrijven;1996;1.7;0.3;0.0;3.0;4.3;53.0;10.0;0.0;833.0;100.0
127;Graasdierbedrijven;1997;1.3;0.2;0.0;2.6;4.2;41.0;6.0;0.0;733.0;98.0
128;Graasdierbedrijven;1998;1.2;0.3;0.0;2.7;3.9;37.0;9.0;0.0;736.0;92.0
129;Graasdierbedrijven;1999;1.1;0.2;0.0;2.9;4.3;35.0;7.0;0.0;814.0;100.0
130;Graasdierbedrijven;2000;1.4;0.3;0.0;2.8;4.3;44.0;9.0;0.0;772.0;100.0
131;Graasdierbedrijven;2001;1.5;0.3;0.0;2.9;4.3;46.0;9.0;0.0;817.0;100.0
132;Graasdierbedrijven;2002;1.0;0.1;0.0;2.3;4.2;30.0;3.0;0.0;649.0;99.0
133;Graasdierbedrijven;2003;1.0;0.1;0.0;2.4;4.2;30.0;3.0;0.0;674.0;99.0
134;Graasdierbedrijven;2004;0.9;0.1;0.0;2.3;4.2;27.0;3.0;0.0;645.0;98.0
135;Graasdierbedrijven;2005;0.7;0.1;0.0;2.2;4.5;23.0;2.0;0.0;618.0;105.0
136;Graasdierbedrijven;2006;0.7;0.1;0.0;2.4;4.5;23.0;4.0;0.0;657.0;104.0
137;Graasdierbedrijven;2007;0.7;0.1;0.0;2.4;4.4;24.0;2.0;0.0;654.0;104.0
138;Graasdierbedrijven;2008;0.8;0.1;0.0;2.5;4.7;24.0;2.0;0.0;684.0;110.0
139;Graasdierbedrijven;2009;0.8;0.0;0.0;2.6;4.5;24.0;1.0;0.0;717.0;105.0
140;Graasdierbedrijven;2010;0.9;0.1;0.0;2.6;4.7;28.0;2.0;0.0;735.0;110.0
141;Graasdierbedrijven;2011;0.8;0.1;0.0;2.6;4.7;25.0;2.0;0.0;725.0;110.0
142;Graasdierbedrijven;2012;0.8;0.1;0.0;2.7;4.8;25.0;2.0;0.0;742.0;112.0
143;Graasdierbedrijven;2013;0.8;0.1;0.0;2.8;4.6;26.0;2.0;0.0;777.0;107.0
144;Hokdierbedrijven;1990;3.9;1.4;0.0;1.4;0.5;122.0;44.0;0.0;397.0;12.0
145;Hokdierbedrijven;1991;4.4;1.6;0.0;1.5;0.2;138.0;49.0;0.0;414.0;6.0
146;Hokdierbedrijven;1992;4.8;1.3;0.0;1.5;0.3;151.0;42.0;0.0;425.0;7.0
147;Hokdierbedrijven;1993;4.8;1.4;0.0;1.5;0.3;151.0;43.0;0.0;425.0;7.0
148;Hokdierbedrijven;1994;4.7;1.7;0.0;1.8;0.4;148.0;53.0;0.0;486.0;9.0
149;Hokdierbedrijven;1995;4.8;1.6;0.0;1.8;0.3;151.0;49.0;0.0;508.0;7.0
150;Hokdierbedrijven;1996;5.5;1.6;0.0;1.8;0.2;174.0;49.0;0.0;492.0;6.0
151;Hokdierbedrijven;1997;4.9;1.0;0.0;1.9;0.2;155.0;32.0;0.0;528.0;6.0
152;Hokdierbedrijven;1998;4.6;0.9;0.0;2.1;0.2;146.0;28.0;0.0;581.0;6.0
153;Hokdierbedrijven;1999;4.3;0.9;0.0;2.4;0.2;136.0;30.0;0.0;658.0;6.0
154;Hokdierbedrijven;2000;4.5;1.1;0.0;2.3;0.2;143.0;35.0;0.0;644.0;6.0
155;Hokdierbedrijven;2001;4.5;1.2;0.0;2.4;0.2;141.0;37.0;0.0;675.0;6.0
156;Hokdierbedrijven;2002;3.5;1.5;0.0;2.2;0.5;111.0;48.0;0.0;612.0;11.0
157;Hokdierbedrijven;2003;3.5;1.3;0.0;2.2;0.6;111.0;40.0;0.0;602.0;14.0
158;Hokdierbedrijven;2004;3.4;1.3;0.0;2.0;0.5;107.0;40.0;0.0;564.0;11.0
159;Hokdierbedrijven;2005;3.5;1.3;0.0;2.2;0.6;111.0;40.0;0.0;614.0;14.0
160;Hokdierbedrijven;2006;3.0;1.1;0.0;2.3;0.7;95.0;34.0;0.0;652.0;16.0
161;Hokdierbedrijven;2007;2.4;1.2;0.0;2.3;0.6;76.0;39.0;0.0;628.0;13.0
162;Hokdierbedrijven;2008;2.6;1.1;0.0;2.2;0.6;84.0;35.0;0.0;623.0;13.0
163;Hokdierbedrijven;2009;2.8;1.1;0.0;2.4;0.5;88.0;36.0;0.0;669.0;11.0
164;Hokdierbedrijven;2010;3.0;1.1;0.0;2.5;0.6;94.0;33.0;0.0;682.0;14.0
165;Hokdierbedrijven;2011;2.6;0.9;0.0;2.3;0.6;83.0;28.0;0.0;651.0;15.0
166;Hokdierbedrijven;2012;2.4;0.8;0.0;2.3;0.7;75.0;26.0;0.0;635.0;16.0
167;Hokdierbedrijven;2013;2.5;0.9;0.0;2.2;0.6;78.0;28.0;0.0;615.0;14.0
168;Combinatiebedrijven;1990;1.8;0.4;0.0;0.9;1.2;57.0;14.0;0.0;236.0;28.0
169;Combinatiebedrijven;1991;1.9;0.5;0.0;0.9;1.0;61.0;15.0;0.0;242.0;24.0
170;Combinatiebedrijven;1992;2.4;0.4;0.0;0.9;1.3;76.0;14.0;0.0;236.0;30.0
171;Combinatiebedrijven;1993;2.5;0.4;0.0;0.8;1.2;78.0;14.0;0.0;228.0;28.0
172;Combinatiebedrijven;1994;1.2;0.2;0.0;0.7;1.1;39.0;6.0;0.0;203.0;26.0
173;Combinatiebedrijven;1995;2.1;0.5;0.0;0.8;1.3;65.0;16.0;0.0;233.0;30.0
174;Combinatiebedrijven;1996;2.5;0.5;0.0;0.9;1.2;80.0;17.0;0.0;247.0;28.0
175;Combinatiebedrijven;1997;1.5;0.3;0.0;0.8;1.0;48.0;10.0;0.0;228.0;24.0
176;Combinatiebedrijven;1998;1.1;0.4;0.0;0.8;1.1;34.0;14.0;0.0;225.0;26.0
177;Combinatiebedrijven;1999;0.9;0.3;0.0;0.9;1.4;29.0;8.0;0.0;236.0;32.0
178;Combinatiebedrijven;2000;1.3;0.3;0.0;0.8;1.4;40.0;9.0;0.0;222.0;32.0
179;Combinatiebedrijven;2001;1.2;0.3;0.0;0.8;1.3;39.0;9.0;0.0;219.0;30.0
180;Combinatiebedrijven;2002;0.7;0.0;0.0;0.6;1.1;21.0;1.0;0.0;180.0;26.0
181;Combinatiebedrijven;2003;0.6;0.0;0.0;0.6;1.3;19.0;0.0;0.0;169.0;31.0
182;Combinatiebedrijven;2004;0.8;0.1;0.0;0.6;1.1;25.0;4.0;0.0;169.0;26.0
183;Combinatiebedrijven;2005;0.6;0.1;0.0;0.6;1.1;18.0;4.0;0.0;157.0;27.0
184;Combinatiebedrijven;2006;0.4;0.1;0.0;0.6;1.0;13.0;4.0;0.0;164.0;25.0
185;Combinatiebedrijven;2007;0.3;0.1;0.0;0.6;1.0;11.0;3.0;0.0;154.0;24.0
186;Combinatiebedrijven;2008;0.9;0.2;0.0;0.5;0.9;29.0;5.0;0.0;151.0;22.0
187;Combinatiebedrijven;2009;0.3;0.1;0.0;0.5;1.2;10.0;4.0;0.0;140.0;28.0
188;Combinatiebedrijven;2010;0.4;0.3;0.0;0.6;1.0;12.0;9.0;0.0;162.0;23.0
189;Combinatiebedrijven;2011;0.3;0.2;;0.5;1.1;10.0;6.0;0.0;139.0;25.0
190;Combinatiebedrijven;2012;0.3;0.2;0.0;0.5;0.9;10.0;5.0;0.0;130.0;21.0
191;Combinatiebedrijven;2013;;;;;;;;;;
192;Loonbedrijven voor de landbouw;1990;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
193;Loonbedrijven voor de landbouw;1991;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
194;Loonbedrijven voor de landbouw;1992;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
195;Loonbedrijven voor de landbouw;1993;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
196;Loonbedrijven voor de landbouw;1994;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
197;Loonbedrijven voor de landbouw;1995;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
198;Loonbedrijven voor de landbouw;1996;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
199;Loonbedrijven voor de landbouw;1997;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
200;Loonbedrijven voor de landbouw;1998;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
201;Loonbedrijven voor de landbouw;1999;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
202;Loonbedrijven voor de landbouw;2000;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
203;Loonbedrijven voor de landbouw;2001;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
204;Loonbedrijven voor de landbouw;2002;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
205;Loonbedrijven voor de landbouw;2003;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
206;Loonbedrijven voor de landbouw;2004;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
207;Loonbedrijven voor de landbouw;2005;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
208;Loonbedrijven voor de landbouw;2006;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
209;Loonbedrijven voor de landbouw;2007;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
210;Loonbedrijven voor de landbouw;2008;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
211;Loonbedrijven voor de landbouw;2009;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
212;Loonbedrijven voor de landbouw;2010;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
213;Loonbedrijven voor de landbouw;2011;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
214;Loonbedrijven voor de landbouw;2012;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
215;Loonbedrijven voor de landbouw;2013;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;105.0
