ID;SectorsBranchesSIC2008;Periods;TotalOrders_1;DomesticOrders_2;ForeignOrders_3;TotalOrders_4;DomesticOrders_5;ForeignOrders_6
51;C Manufacturing;2008 January;117.1;110.7;119.9;6.9;2.9;8.7
52;C Manufacturing;2008 February;121.0;115.0;123.7;10.1;3.4;13.2
53;C Manufacturing;2008 March;114.6;117.3;113.4;-9.6;-1.3;-13.0
54;C Manufacturing;2008 1st quarter;117.6;114.3;119.0;1.9;1.6;2.0
55;C Manufacturing;2008 April;115.0;117.2;114.1;3.4;7.2;1.8
56;C Manufacturing;2008 May;107.2;111.6;105.3;-7.0;-11.6;-4.6
57;C Manufacturing;2008 June;115.8;123.0;112.5;-2.3;3.1;-4.8
58;C Manufacturing;2008 2nd quarter;112.7;117.3;110.6;-2.0;-0.8;-2.6
59;C Manufacturing;2008 July;110.4;115.0;108.3;1.2;6.6;-1.2
60;C Manufacturing;2008 August;100.7;109.7;96.6;-10.0;2.8;-15.4
61;C Manufacturing;2008 September;115.8;123.6;112.4;-0.7;1.3;-1.6
62;C Manufacturing;2008 3rd quarter;109.0;116.1;105.8;-3.2;3.5;-6.1
63;C Manufacturing;2008 October;105.3;116.3;100.4;-10.8;-5.1;-13.5
64;C Manufacturing;2008 November;87.9;97.2;83.7;-22.7;-16.9;-25.4
65;C Manufacturing;2008 December;79.1;83.8;76.9;-30.4;-27.1;-31.9
66;C Manufacturing;2008 4th quarter;90.8;99.1;87.0;-21.2;-16.1;-23.5
67;C Manufacturing;2008;107.5;111.7;105.6;-6.1;-3.1;-7.5
68;C Manufacturing;2009 January;77.3;82.3;75.0;-34.0;-25.7;-37.4
69;C Manufacturing;2009 February;73.3;79.9;70.3;-39.4;-30.5;-43.2
70;C Manufacturing;2009 March;83.7;91.4;80.2;-27.0;-22.1;-29.3
71;C Manufacturing;2009 1st quarter;78.1;84.5;75.2;-33.6;-26.1;-36.8
72;C Manufacturing;2009 April;70.3;81.6;65.2;-38.9;-30.4;-42.9
73;C Manufacturing;2009 May;78.1;84.7;75.1;-27.1;-24.1;-28.7
74;C Manufacturing;2009 June;85.7;91.8;82.9;-26.0;-25.4;-26.3
75;C Manufacturing;2009 2nd quarter;78.0;86.0;74.4;-30.7;-26.6;-32.8
76;C Manufacturing;2009 July;82.4;93.6;77.3;-25.4;-18.6;-28.6
77;C Manufacturing;2009 August;75.3;77.1;74.6;-25.2;-29.7;-22.8
78;C Manufacturing;2009 September;90.2;96.7;87.2;-22.1;-21.8;-22.4
79;C Manufacturing;2009 3rd quarter;82.6;89.1;79.7;-24.2;-23.2;-24.6
80;C Manufacturing;2009 October;88.8;97.6;84.9;-15.7;-16.1;-15.4
81;C Manufacturing;2009 November;90.6;98.9;86.8;3.1;1.7;3.7
82;C Manufacturing;2009 December;93.8;107.3;87.8;18.6;28.0;14.2
83;C Manufacturing;2009 4th quarter;91.1;101.3;86.5;0.3;2.2;-0.6
84;C Manufacturing;2009;82.5;90.2;78.9;-23.3;-19.2;-25.2
85;C Manufacturing;2010 January;80.9;88.8;77.5;4.7;7.9;3.3
86;C Manufacturing;2010 February;85.8;88.3;84.8;17.1;10.5;20.6
87;C Manufacturing;2010 March;102.3;100.5;103.0;22.2;10.0;28.4
88;C Manufacturing;2010 1st quarter;89.7;92.5;88.4;14.8;9.5;17.6
89;C Manufacturing;2010 April;97.9;97.4;98.1;39.3;19.4;50.5
90;C Manufacturing;2010 May;93.8;96.8;92.5;20.1;14.3;23.2
91;C Manufacturing;2010 June;109.2;109.4;109.1;27.4;19.2;31.6
92;C Manufacturing;2010 2nd quarter;100.3;101.2;99.9;28.5;17.6;34.3
93;C Manufacturing;2010 July;99.9;96.8;101.2;21.2;3.4;30.9
94;C Manufacturing;2010 August;94.3;90.9;95.7;25.2;17.9;28.3
95;C Manufacturing;2010 September;111.2;112.4;110.6;23.3;16.2;26.8
96;C Manufacturing;2010 3rd quarter;101.8;100.0;102.5;23.2;12.2;28.6
97;C Manufacturing;2010 October;104.5;102.5;105.4;17.7;5.0;24.1
98;C Manufacturing;2010 November;104.2;105.3;103.7;15.0;6.5;19.5
99;C Manufacturing;2010 December;116.1;111.0;118.4;23.8;3.4;34.9
100;C Manufacturing;2010 4th quarter;108.3;106.3;109.2;18.9;4.9;26.2
101;C Manufacturing;2010;100.0;100.0;100.0;21.3;10.8;26.7
102;C Manufacturing;2011 January;103.6;104.1;103.4;28.1;17.2;33.4
103;C Manufacturing;2011 February;108.6;109.0;108.4;26.6;23.4;27.8
104;C Manufacturing;2011 March;122.6;123.5;122.2;19.8;22.9;18.6
105;C Manufacturing;2011 1st quarter;111.6;112.2;111.3;24.5;21.3;25.9
106;C Manufacturing;2011 April;105.1;111.3;102.4;7.4;14.3;4.4
107;C Manufacturing;2011 May;110.4;114.0;108.8;17.7;17.8;17.6
108;C Manufacturing;2011 June;113.3;111.4;114.1;3.8;1.8;4.6
109;C Manufacturing;2011 2nd quarter;109.6;112.2;108.4;9.3;10.9;8.5
110;C Manufacturing;2011 July;102.0;106.9;99.9;2.1;10.4;-1.3
111;C Manufacturing;2011 August;96.8;99.4;95.6;2.7;9.4;-0.1
112;C Manufacturing;2011 September;107.3;107.3;107.3;-3.5;-4.5;-3.0
113;C Manufacturing;2011 3rd quarter;102.0;104.5;100.9;0.2;4.5;-1.5
114;C Manufacturing;2011 October;103.0;102.2;103.3;-1.4;-0.3;-2.0
115;C Manufacturing;2011 November;102.1;103.4;101.4;-2.0;-1.8;-2.2
116;C Manufacturing;2011 December;105.8;98.6;108.8;-8.9;-11.2;-8.1
117;C Manufacturing;2011 4th quarter;103.6;101.4;104.5;-4.3;-4.6;-4.3
118;C Manufacturing;2011;106.7;107.6;106.3;6.7;7.6;6.3
119;C Manufacturing;2012 January;106.6;107.1;106.3;2.9;2.9;2.8
120;C Manufacturing;2012 February;107.7;112.9;105.5;-0.8;3.6;-2.7
121;C Manufacturing;2012 March;116.9;119.3;115.9;-4.6;-3.4;-5.2
122;C Manufacturing;2012 1st quarter;110.4;113.1;109.2;-1.1;0.8;-1.9
123;C Manufacturing;2012 April;104.4;107.8;102.9;-0.7;-3.1;0.5
124;C Manufacturing;2012 May;110.2;114.4;108.4;-0.2;0.4;-0.4
125;C Manufacturing;2012 June;115.3;112.6;116.5;1.8;1.1;2.1
126;C Manufacturing;2012 2nd quarter;110.0;111.6;109.3;0.3;-0.6;0.8
127;C Manufacturing;2012 July;104.7;103.5;105.3;2.6;-3.2;5.4
128;C Manufacturing;2012 August;104.5;101.5;105.8;8.0;2.1;10.7
129;C Manufacturing;2012 September;107.8;107.3;108.0;0.5;0.0;0.7
130;C Manufacturing;2012 3rd quarter;105.7;104.1;106.4;3.6;-0.4;5.4
131;C Manufacturing;2012 October;107.3;110.1;106.0;4.2;7.7;2.6
132;C Manufacturing;2012 November;107.7;111.3;105.8;5.5;7.6;4.3
133;C Manufacturing;2012 December;104.9;99.8;107.0;-0.9;1.2;-1.7
134;C Manufacturing;2012 4th quarter;106.6;107.1;106.3;2.9;5.6;1.7
135;C Manufacturing;2012;108.2;109.0;107.8;1.4;1.3;1.4
136;C Manufacturing;2013 January;102.8;101.3;103.3;-3.6;-5.4;-2.8
137;C Manufacturing;2013 February;99.5;99.8;99.3;-7.6;-11.6;-5.9
138;C Manufacturing;2013 March;111.7;105.6;114.3;-4.4;-11.5;-1.4
139;C Manufacturing;2013 1st quarter;104.7;102.2;105.6;-5.2;-9.6;-3.3
140;C Manufacturing;2013 April;96.4;96.1;96.5;-7.7;-10.9;-6.2
141;C Manufacturing;2013 May;102.3;104.1;101.4;-7.2;-9.0;-6.5
142;C Manufacturing;2013 June;113.7;106.3;116.9;-1.4;-5.6;0.3
143;C Manufacturing;2013 2nd quarter;104.1;102.2;104.9;-5.3;-8.5;-4.0
144;C Manufacturing;2013 July;114.6;108.1;117.4;9.5;4.4;11.5
145;C Manufacturing;2013 August;101.5;99.8;102.2;-2.9;-1.7;-3.4
146;C Manufacturing;2013 September;119.3;108.7;123.9;10.7;1.3;14.7
147;C Manufacturing;2013 3rd quarter;111.8;105.5;114.5;5.8;1.4;7.6
148;C Manufacturing;2013 October;110.5;105.4;112.7;3.0;-4.3;6.3
149;C Manufacturing;2013 November;102.7;99.4;104.1;-4.6;-10.7;-1.6
150;C Manufacturing;2013 December;120.3;109.3;125.1;14.7;9.5;16.9
151;C Manufacturing;2013 4th quarter;111.2;104.7;114.0;4.3;-2.2;7.2
152;C Manufacturing;2013;107.9;103.7;109.8;-0.2;-4.9;1.8
153;13 Manufacture of textiles;2005 January;106.1;118.8;100.5;;;
154;13 Manufacture of textiles;2005 February;109.4;117.7;105.8;;;
155;13 Manufacture of textiles;2005 March;123.0;141.2;114.9;;;
156;13 Manufacture of textiles;2005 1st quarter;112.8;125.9;107.1;;;
157;13 Manufacture of textiles;2005 April;106.6;115.0;102.8;;;
158;13 Manufacture of textiles;2005 May;102.2;102.7;102.0;;;
159;13 Manufacture of textiles;2005 June;110.3;115.4;108.0;;;
160;13 Manufacture of textiles;2005 2nd quarter;106.4;111.0;104.3;;;
161;13 Manufacture of textiles;2005 July;101.9;118.1;94.5;;;
162;13 Manufacture of textiles;2005 August;88.8;98.0;84.8;;;
163;13 Manufacture of textiles;2005 September;112.6;114.4;112.0;;;
164;13 Manufacture of textiles;2005 3rd quarter;101.1;110.2;97.1;;;
165;13 Manufacture of textiles;2005 October;104.2;109.1;102.1;;;
166;13 Manufacture of textiles;2005 November;113.5;118.7;111.2;;;
167;13 Manufacture of textiles;2005 December;113.6;116.2;112.5;;;
168;13 Manufacture of textiles;2005 4th quarter;110.4;114.7;108.6;;;
169;13 Manufacture of textiles;2005;107.7;115.4;104.3;;;
170;13 Manufacture of textiles;2006 January;114.2;116.0;113.3;7.6;-2.4;12.7
171;13 Manufacture of textiles;2006 February;113.3;126.6;107.4;3.6;7.6;1.5
172;13 Manufacture of textiles;2006 March;128.4;144.3;121.2;4.4;2.2;5.5
173;13 Manufacture of textiles;2006 1st quarter;118.6;129.0;114.0;5.1;2.4;6.4
174;13 Manufacture of textiles;2006 April;113.1;136.4;102.6;6.1;18.6;-0.2
175;13 Manufacture of textiles;2006 May;117.6;137.1;108.9;15.1;33.5;6.8
176;13 Manufacture of textiles;2006 June;124.9;142.3;117.2;13.2;23.3;8.5
177;13 Manufacture of textiles;2006 2nd quarter;118.5;138.6;109.6;11.4;24.8;5.1
178;13 Manufacture of textiles;2006 July;106.7;124.7;98.6;4.7;5.6;4.3
179;13 Manufacture of textiles;2006 August;92.2;98.2;89.5;3.8;0.2;5.5
180;13 Manufacture of textiles;2006 September;127.7;144.3;120.3;13.4;26.1;7.4
181;13 Manufacture of textiles;2006 3rd quarter;108.9;122.4;102.8;7.7;11.1;5.9
182;13 Manufacture of textiles;2006 October;120.5;126.7;117.8;15.6;16.1;15.4
183;13 Manufacture of textiles;2006 November;126.1;138.9;120.4;11.1;17.0;8.3
184;13 Manufacture of textiles;2006 December;99.6;111.7;94.2;-12.3;-3.9;-16.3
185;13 Manufacture of textiles;2006 4th quarter;115.4;125.8;110.8;4.5;9.7;2.0
186;13 Manufacture of textiles;2006;115.4;128.9;109.3;7.1;11.7;4.8
187;13 Manufacture of textiles;2007 January;113.4;129.4;106.2;-0.7;11.6;-6.3
188;13 Manufacture of textiles;2007 February;112.8;124.0;107.8;-0.4;-2.1;0.4
189;13 Manufacture of textiles;2007 March;134.7;149.6;128.1;4.9;3.7;5.7
190;13 Manufacture of textiles;2007 1st quarter;120.3;134.3;114.0;1.4;4.2;0.1
191;13 Manufacture of textiles;2007 April;113.6;124.3;108.8;0.4;-8.9;6.0
192;13 Manufacture of textiles;2007 May;118.4;137.7;109.8;0.7;0.4;0.8
193;13 Manufacture of textiles;2007 June;130.2;133.5;128.7;4.2;-6.2;9.8
194;13 Manufacture of textiles;2007 2nd quarter;120.7;131.8;115.8;1.9;-4.9;5.7
195;13 Manufacture of textiles;2007 July;106.4;111.1;104.2;-0.3;-10.9;5.7
196;13 Manufacture of textiles;2007 August;104.4;108.3;102.7;13.2;10.3;14.7
197;13 Manufacture of textiles;2007 September;109.6;122.5;103.9;-14.2;-15.1;-13.6
198;13 Manufacture of textiles;2007 3rd quarter;106.8;114.0;103.6;-1.9;-6.9;0.8
199;13 Manufacture of textiles;2007 October;121.6;136.2;115.0;0.9;7.5;-2.4
200;13 Manufacture of textiles;2007 November;120.5;131.3;115.7;-4.4;-5.5;-3.9
201;13 Manufacture of textiles;2007 December;93.3;104.9;88.0;-6.3;-6.1;-6.6
202;13 Manufacture of textiles;2007 4th quarter;111.8;124.1;106.2;-3.1;-1.3;-4.1
203;13 Manufacture of textiles;2007;114.9;126.1;109.9;-0.4;-2.2;0.6
204;13 Manufacture of textiles;2008 January;111.5;120.4;107.5;-1.7;-7.0;1.2
205;13 Manufacture of textiles;2008 February;110.1;116.9;107.0;-2.4;-5.7;-0.7
206;13 Manufacture of textiles;2008 March;118.0;128.9;113.2;-12.4;-13.8;-11.6
207;13 Manufacture of textiles;2008 1st quarter;113.2;122.1;109.2;-5.9;-9.1;-4.2
208;13 Manufacture of textiles;2008 April;115.9;128.1;110.5;2.0;3.1;1.6
209;13 Manufacture of textiles;2008 May;107.8;112.8;105.6;-9.0;-18.1;-3.8
210;13 Manufacture of textiles;2008 June;116.0;126.3;111.3;-10.9;-5.4;-13.5
211;13 Manufacture of textiles;2008 2nd quarter;113.2;122.4;109.1;-6.2;-7.2;-5.7
212;13 Manufacture of textiles;2008 July;98.8;107.6;94.9;-7.1;-3.2;-8.9
213;13 Manufacture of textiles;2008 August;92.1;91.6;92.3;-11.8;-15.4;-10.1
214;13 Manufacture of textiles;2008 September;111.0;115.0;109.2;1.3;-6.1;5.1
215;13 Manufacture of textiles;2008 3rd quarter;100.6;104.7;98.8;-5.8;-8.1;-4.6
216;13 Manufacture of textiles;2008 October;106.1;118.7;100.5;-12.7;-12.8;-12.6
217;13 Manufacture of textiles;2008 November;97.5;113.2;90.4;-19.1;-13.8;-21.9
218;13 Manufacture of textiles;2008 December;88.8;101.5;83.3;-4.8;-3.2;-5.3
219;13 Manufacture of textiles;2008 4th quarter;97.5;111.1;91.4;-12.8;-10.5;-14.0
220;13 Manufacture of textiles;2008;106.1;115.1;102.1;-7.6;-8.7;-7.1
221;13 Manufacture of textiles;2009 January;84.8;96.3;79.7;-23.9;-20.0;-25.9
222;13 Manufacture of textiles;2009 February;92.7;108.8;85.6;-15.8;-6.9;-20.0
223;13 Manufacture of textiles;2009 March;94.8;113.3;86.4;-19.7;-12.1;-23.7
224;13 Manufacture of textiles;2009 1st quarter;90.8;106.1;83.9;-19.8;-13.1;-23.2
225;13 Manufacture of textiles;2009 April;91.6;106.4;85.1;-21.0;-16.9;-23.0
226;13 Manufacture of textiles;2009 May;88.5;99.4;83.7;-17.9;-11.9;-20.7
227;13 Manufacture of textiles;2009 June;95.5;101.0;93.0;-17.7;-20.0;-16.4
228;13 Manufacture of textiles;2009 2nd quarter;91.9;102.3;87.3;-18.9;-16.4;-20.0
229;13 Manufacture of textiles;2009 July;84.5;97.8;78.7;-14.5;-9.1;-17.1
230;13 Manufacture of textiles;2009 August;76.8;79.4;75.7;-16.6;-13.3;-18.0
231;13 Manufacture of textiles;2009 September;96.0;98.7;94.9;-13.5;-14.2;-13.1
232;13 Manufacture of textiles;2009 3rd quarter;85.8;92.0;83.1;-14.8;-12.2;-15.9
233;13 Manufacture of textiles;2009 October;96.9;109.1;91.4;-8.7;-8.1;-9.1
234;13 Manufacture of textiles;2009 November;95.4;106.1;90.7;-2.2;-6.3;0.3
235;13 Manufacture of textiles;2009 December;81.2;85.2;79.3;-8.6;-16.1;-4.8
236;13 Manufacture of textiles;2009 4th quarter;91.2;100.1;87.1;-6.5;-9.9;-4.7
237;13 Manufacture of textiles;2009;89.9;100.1;85.4;-15.3;-13.0;-16.4
238;13 Manufacture of textiles;2010 January;80.8;86.0;78.5;-4.7;-10.7;-1.5
239;13 Manufacture of textiles;2010 February;89.2;91.3;88.3;-3.8;-16.1;3.2
240;13 Manufacture of textiles;2010 March;111.5;114.8;110.1;17.6;1.3;27.4
241;13 Manufacture of textiles;2010 1st quarter;93.8;97.4;92.3;3.4;-8.3;10.0
242;13 Manufacture of textiles;2010 April;101.8;103.5;101.0;11.1;-2.7;18.7
243;13 Manufacture of textiles;2010 May;95.4;99.6;93.4;7.8;0.2;11.6
244;13 Manufacture of textiles;2010 June;113.6;118.6;111.4;19.0;17.4;19.8
245;13 Manufacture of textiles;2010 2nd quarter;103.6;107.2;101.9;12.8;4.9;16.8
246;13 Manufacture of textiles;2010 July;94.2;100.2;91.5;11.5;2.5;16.3
247;13 Manufacture of textiles;2010 August;86.6;83.5;88.0;12.8;5.2;16.2
248;13 Manufacture of textiles;2010 September;108.6;104.3;110.5;13.1;5.7;16.4
249;13 Manufacture of textiles;2010 3rd quarter;96.5;96.0;96.7;12.5;4.4;16.3
250;13 Manufacture of textiles;2010 October;105.3;99.9;107.7;8.7;-8.4;17.8
251;13 Manufacture of textiles;2010 November;111.3;104.7;114.3;16.7;-1.3;26.0
252;13 Manufacture of textiles;2010 December;101.7;93.4;105.3;25.2;9.6;32.8
253;13 Manufacture of textiles;2010 4th quarter;106.1;99.3;109.1;16.4;-0.8;25.2
254;13 Manufacture of textiles;2010;100.0;100.0;100.0;11.2;-0.1;17.2
255;13 Manufacture of textiles;2011 January;108.0;98.5;112.2;33.7;14.5;42.9
256;13 Manufacture of textiles;2011 February;104.7;99.5;107.1;17.4;9.0;21.3
257;13 Manufacture of textiles;2011 March;133.1;117.5;140.1;19.4;2.4;27.2
258;13 Manufacture of textiles;2011 1st quarter;115.3;105.2;119.8;22.8;8.0;29.8
259;13 Manufacture of textiles;2011 April;112.0;99.3;117.6;10.0;-4.1;16.4
260;13 Manufacture of textiles;2011 May;116.0;99.2;123.6;21.6;-0.4;32.3
261;13 Manufacture of textiles;2011 June;122.4;114.6;125.8;7.7;-3.4;12.9
262;13 Manufacture of textiles;2011 2nd quarter;116.8;104.4;122.3;12.7;-2.7;20.0
263;13 Manufacture of textiles;2011 July;107.6;108.1;107.4;14.2;7.9;17.4
264;13 Manufacture of textiles;2011 August;86.9;90.3;85.5;0.3;8.1;-2.8
265;13 Manufacture of textiles;2011 September;130.0;121.1;133.9;19.7;16.1;21.2
266;13 Manufacture of textiles;2011 3rd quarter;108.2;106.5;108.9;12.1;10.9;12.7
267;13 Manufacture of textiles;2011 October;118.9;117.0;119.7;12.9;17.1;11.1
268;13 Manufacture of textiles;2011 November;120.6;114.1;123.6;8.4;9.0;8.1
269;13 Manufacture of textiles;2011 December;103.7;96.3;106.8;2.0;3.1;1.4
270;13 Manufacture of textiles;2011 4th quarter;114.4;109.1;116.7;7.8;9.9;7.0
271;13 Manufacture of textiles;2011;113.7;106.3;116.9;13.7;6.3;16.9
272;13 Manufacture of textiles;2012 January;101.6;103.0;101.0;-5.9;4.6;-10.0
273;13 Manufacture of textiles;2012 February;111.9;93.7;120.0;6.9;-5.8;12.0
274;13 Manufacture of textiles;2012 March;127.2;102.8;138.0;-4.4;-12.5;-1.5
275;13 Manufacture of textiles;2012 1st quarter;113.6;99.8;119.7;-1.5;-5.1;-0.1
276;13 Manufacture of textiles;2012 April;108.0;90.5;115.8;-3.6;-8.9;-1.5
277;13 Manufacture of textiles;2012 May;113.6;100.9;119.3;-2.1;1.7;-3.5
278;13 Manufacture of textiles;2012 June;125.0;100.7;135.9;2.1;-12.1;8.0
279;13 Manufacture of textiles;2012 2nd quarter;115.5;97.4;123.7;-1.1;-6.7;1.1
280;13 Manufacture of textiles;2012 July;105.2;91.2;110.8;-2.2;-15.6;3.2
281;13 Manufacture of textiles;2012 August;97.0;78.4;105.1;11.6;-13.2;22.9
282;13 Manufacture of textiles;2012 September;116.7;88.6;129.2;-10.2;-26.8;-3.5
283;13 Manufacture of textiles;2012 3rd quarter;106.3;86.1;115.0;-1.7;-19.2;5.6
284;13 Manufacture of textiles;2012 October;115.7;101.6;121.9;-2.7;-13.2;1.8
285;13 Manufacture of textiles;2012 November;120.8;98.1;130.9;0.2;-14.0;5.9
286;13 Manufacture of textiles;2012 December;96.0;69.9;107.5;-7.4;-27.4;0.7
287;13 Manufacture of textiles;2012 4th quarter;110.8;89.9;120.1;-3.1;-17.7;2.9
288;13 Manufacture of textiles;2012;111.6;93.3;119.6;-1.8;-12.2;2.3
289;13 Manufacture of textiles;2013 January;112.9;90.7;122.4;11.1;-11.9;21.2
290;13 Manufacture of textiles;2013 February;112.8;97.6;119.5;0.8;4.2;-0.4
291;13 Manufacture of textiles;2013 March;109.2;107.3;109.9;-14.2;4.4;-20.4
292;13 Manufacture of textiles;2013 1st quarter;111.6;98.5;117.3;-1.7;-1.3;-2.0
293;13 Manufacture of textiles;2013 April;107.5;98.2;111.6;-0.5;8.5;-3.6
294;13 Manufacture of textiles;2013 May;119.8;99.5;128.8;5.5;-1.4;8.0
295;13 Manufacture of textiles;2013 June;121.6;97.7;132.1;-2.7;-3.0;-2.8
296;13 Manufacture of textiles;2013 2nd quarter;116.3;98.5;124.2;0.7;1.1;0.4
297;13 Manufacture of textiles;2013 July;112.3;96.1;119.1;6.7;5.4;7.5
298;13 Manufacture of textiles;2013 August;107.0;82.3;117.7;10.3;5.0;12.0
299;13 Manufacture of textiles;2013 September;122.4;97.4;133.1;4.9;9.9;3.0
300;13 Manufacture of textiles;2013 3rd quarter;113.9;91.9;123.3;7.1;6.8;7.2
301;13 Manufacture of textiles;2013 October;134.3;108.3;145.5;16.1;6.6;19.4
302;13 Manufacture of textiles;2013 November;128.8;106.8;138.1;6.6;8.9;5.5
303;13 Manufacture of textiles;2013 December;108.5;76.3;122.6;13.0;9.2;14.0
304;13 Manufacture of textiles;2013 4th quarter;123.9;97.1;135.4;11.8;8.1;12.7
305;13 Manufacture of textiles;2013;116.4;96.5;125.0;4.4;3.5;4.5
306;14 Manufacture of wearing apparel;2005 January;163.8;148.9;198.4;;;
307;14 Manufacture of wearing apparel;2005 February;149.3;144.0;161.4;;;
308;14 Manufacture of wearing apparel;2005 March;168.7;163.5;180.6;;;
309;14 Manufacture of wearing apparel;2005 1st quarter;160.6;152.1;180.1;;;
310;14 Manufacture of wearing apparel;2005 April;134.5;136.8;129.2;;;
311;14 Manufacture of wearing apparel;2005 May;136.4;135.7;138.1;;;
312;14 Manufacture of wearing apparel;2005 June;144.4;144.3;144.5;;;
313;14 Manufacture of wearing apparel;2005 2nd quarter;138.4;138.9;137.3;;;
314;14 Manufacture of wearing apparel;2005 July;149.5;143.0;164.6;;;
315;14 Manufacture of wearing apparel;2005 August;174.9;149.0;235.0;;;
316;14 Manufacture of wearing apparel;2005 September;173.1;162.8;196.8;;;
317;14 Manufacture of wearing apparel;2005 3rd quarter;165.8;151.6;198.8;;;
318;14 Manufacture of wearing apparel;2005 October;151.2;149.9;154.0;;;
319;14 Manufacture of wearing apparel;2005 November;168.3;171.1;161.9;;;
320;14 Manufacture of wearing apparel;2005 December;172.1;164.6;189.1;;;
321;14 Manufacture of wearing apparel;2005 4th quarter;163.9;161.9;168.3;;;
322;14 Manufacture of wearing apparel;2005;157.2;151.1;171.1;;;
323;14 Manufacture of wearing apparel;2006 January;185.5;166.4;229.3;13.2;11.8;15.6
324;14 Manufacture of wearing apparel;2006 February;173.1;166.4;188.3;15.9;15.6;16.7
325;14 Manufacture of wearing apparel;2006 March;178.2;176.8;181.2;5.6;8.1;0.3
326;14 Manufacture of wearing apparel;2006 1st quarter;178.9;169.9;199.6;11.4;11.7;10.8
327;14 Manufacture of wearing apparel;2006 April;158.9;176.1;119.1;18.1;28.7;-7.8
328;14 Manufacture of wearing apparel;2006 May;156.6;167.2;132.3;14.8;23.2;-4.2
329;14 Manufacture of wearing apparel;2006 June;165.7;164.9;167.6;14.8;14.3;16.0
