ID;KenmerkenLeasevoertuigen;Perioden;Prijsindex_1;Kwartaalmutatie_2;Jaarmutatie_3;Weegfactoren_4;Prijsindex_5;Kwartaalmutatie_6;Jaarmutatie_7;Weegfactoren_8
30;Lease personen- en bestelauto's;2007 3e kwartaal;84.9;0.3;2.3;;84.2;-0.1;1.4;
31;Lease personen- en bestelauto's;2007 4e kwartaal;84.8;-0.1;1.8;;85.0;1.0;3.9;
32;Lease personen- en bestelauto's;2007;84.6;;2.3;;84.1;;2.2;
33;Lease personen- en bestelauto's;2008 1e kwartaal;83.8;-1.2;-0.6;;84.4;-0.7;1.9;
34;Lease personen- en bestelauto's;2008 2e kwartaal;84.7;1.0;0.0;;86.6;2.6;2.8;
35;Lease personen- en bestelauto's;2008 3e kwartaal;85.7;1.2;1.0;;88.1;1.7;4.7;
36;Lease personen- en bestelauto's;2008 4e kwartaal;85.3;-0.4;0.6;;86.1;-2.3;1.3;
37;Lease personen- en bestelauto's;2008;84.9;;0.3;;86.3;;2.7;
38;Lease personen- en bestelauto's;2009 1e kwartaal;86.2;1.0;2.9;;86.0;-0.1;1.9;
39;Lease personen- en bestelauto's;2009 2e kwartaal;86.6;0.5;2.3;;86.6;0.7;0.0;
40;Lease personen- en bestelauto's;2009 3e kwartaal;87.2;0.6;1.7;;87.7;1.3;-0.4;
41;Lease personen- en bestelauto's;2009 4e kwartaal;87.1;0.0;2.1;;88.2;0.5;2.4;
42;Lease personen- en bestelauto's;2009;86.8;;2.2;;87.1;;1.0;
43;Lease personen- en bestelauto's;2010 1e kwartaal;88.0;1.0;2.1;;89.1;1.0;3.6;
44;Lease personen- en bestelauto's;2010 2e kwartaal;87.6;-0.5;1.1;;89.7;0.7;3.6;
45;Lease personen- en bestelauto's;2010 3e kwartaal;87.2;-0.4;0.0;;89.1;-0.7;1.6;
46;Lease personen- en bestelauto's;2010 4e kwartaal;87.5;0.4;0.4;;89.7;0.7;1.8;
47;Lease personen- en bestelauto's;2010;87.6;;0.9;;89.4;;2.6;
48;Lease personen- en bestelauto's;2011 1e kwartaal;88.9;1.6;1.0;;92.2;2.7;3.5;
49;Lease personen- en bestelauto's;2011 2e kwartaal;89.2;0.4;1.9;;93.3;1.2;4.0;
50;Lease personen- en bestelauto's;2011 3e kwartaal;88.6;-0.7;1.6;;92.5;-0.9;3.7;
51;Lease personen- en bestelauto's;2011 4e kwartaal;88.6;0.0;1.3;;92.3;-0.2;2.8;
52;Lease personen- en bestelauto's;2011;88.8;;1.4;;92.6;;3.5;
53;Lease personen- en bestelauto's;2012 1e kwartaal;88.5;-0.1;-0.4;;93.0;0.8;0.9;
54;Lease personen- en bestelauto's;2012 2e kwartaal;88.6;0.1;-0.7;;93.1;0.1;-0.2;
55;Lease personen- en bestelauto's;2012 3e kwartaal;89.1;0.6;0.6;;93.5;0.4;1.1;
56;Lease personen- en bestelauto's;2012 4e kwartaal;89.1;0.0;0.5;;93.4;-0.1;1.2;
57;Lease personen- en bestelauto's;2012;88.8;;0.0;;93.3;;0.7;
58;Lease personen- en bestelauto's;2013 1e kwartaal;90.0;1.0;1.6;;93.8;0.5;0.9;
59;Lease personen- en bestelauto's;2013 2e kwartaal;89.7;-0.3;1.3;;92.9;-1.0;-0.2;
60;Lease personen- en bestelauto's;2013 3e kwartaal;89.8;0.1;0.7;;93.3;0.4;-0.2;
61;Lease personen- en bestelauto's;2013 4e kwartaal;89.5;-0.3;0.5;;92.1;-1.3;-1.3;
62;Lease personen- en bestelauto's;2013;89.8;;1.0;;93.0;;-0.2;
63;Lease personen- en bestelauto's;2014 1e kwartaal;90.3;0.9;0.4;;93.1;1.0;-0.8;
64;Lease personen- en bestelauto's;2014 2e kwartaal;89.8;-0.6;0.0;;92.8;-0.3;-0.1;
65;Lease personen- en bestelauto's;2014 3e kwartaal;89.6;-0.2;-0.3;;92.4;-0.5;-1.0;
66;Lease personen- en bestelauto's;2014 4e kwartaal;89.7;0.2;0.3;;91.5;-1.0;-0.7;
67;Lease personen- en bestelauto's;2014;89.8;;0.1;;92.4;;-0.6;
68;Lease personen- en bestelauto's;2015 1e kwartaal;89.8;0.1;-0.6;;90.2;-1.4;-3.1;
69;Lease personen- en bestelauto's;2015 2e kwartaal;88.7;-1.3;-1.2;;89.9;-0.4;-3.2;
70;Lease personen- en bestelauto's;2015 3e kwartaal;88.5;-0.2;-1.2;;89.0;-0.9;-3.6;
71;Lease personen- en bestelauto's;2015 4e kwartaal;88.5;0.0;-1.4;;88.5;-0.6;-3.2;
72;Lease personen- en bestelauto's;2015;88.9;;-1.1;;89.4;;-3.3;
73;Lease personen- en bestelauto's;2016 1e kwartaal;89.5;1.2;-0.3;;88.0;-0.6;-2.5;
74;Lease personen- en bestelauto's;2016 2e kwartaal;89.5;0.0;1.0;;88.5;0.6;-1.6;
75;Lease personen- en bestelauto's;2016 3e kwartaal;89.0;-0.6;0.5;;87.9;-0.7;-1.3;
76;Lease personen- en bestelauto's;2016 4e kwartaal;89.1;0.2;0.7;;88.8;1.1;0.3;
77;Lease personen- en bestelauto's;2016;89.3;;0.5;;88.3;;-1.2;
78;Lease personen- en bestelauto's;2017 1e kwartaal;89.5;0.4;0.0;;90.1;1.4;2.4;
79;Lease personen- en bestelauto's;2017 2e kwartaal;89.2;-0.4;-0.4;;89.3;-0.9;0.9;
80;Lease personen- en bestelauto's;2017 3e kwartaal;89.0;-0.2;0.1;;88.6;-0.8;0.8;
81;Lease personen- en bestelauto's;2017 4e kwartaal;89.7;0.8;0.6;;89.5;1.1;0.8;
82;Lease personen- en bestelauto's;2017;89.4;;0.1;;89.4;;1.2;
83;Lease personen- en bestelauto's;2018 1e kwartaal;90.0;0.4;0.6;;90.1;0.6;0.0;
84;Lease personen- en bestelauto's;2018 2e kwartaal;91.4;1.5;2.5;;92.9;3.1;4.0;
85;Lease personen- en bestelauto's;2018 3e kwartaal;91.8;0.4;3.1;;93.4;0.6;5.5;
86;Lease personen- en bestelauto's;2018 4e kwartaal;93.4;1.7;4.1;;95.1;1.8;6.2;
87;Lease personen- en bestelauto's;2018;91.7;;2.6;;92.9;;3.9;
88;Lease personen- en bestelauto's;2019 1e kwartaal;96.0;2.8;6.6;;96.2;1.2;6.8;
89;Lease personen- en bestelauto's;2019 2e kwartaal;95.3;-0.7;4.2;;96.3;0.1;3.8;
90;Lease personen- en bestelauto's;2019 3e kwartaal;94.4;-0.9;2.8;;95.1;-1.3;1.8;
91;Lease personen- en bestelauto's;2019 4e kwartaal;95.7;1.4;2.5;;96.3;1.3;1.3;
92;Lease personen- en bestelauto's;2019;95.3;;4.0;;96.0;;3.4;
93;Lease personen- en bestelauto's;2020 1e kwartaal;97.5;1.8;1.5;;97.3;1.1;1.2;
94;Lease personen- en bestelauto's;2020 2e kwartaal;99.2;1.8;4.2;;97.2;-0.2;0.9;
95;Lease personen- en bestelauto's;2020 3e kwartaal;98.9;-0.3;4.8;;98.1;1.0;3.2;
96;Lease personen- en bestelauto's;2020 4e kwartaal;99.1;;;;97.4;;;
97;Lease personen- en bestelauto's;2020;;;;;;;;
98;Lease personen- en bestelauto's;2021 1e kwartaal;100.0;0.9;;100.0;98.5;1.1;;100.0
99;Lease personen- en bestelauto's;2021 2e kwartaal;99.3;-0.6;;100.0;99.3;0.9;;100.0
100;Lease personen- en bestelauto's;2021 3e kwartaal;99.7;0.4;;100.0;99.9;0.5;;100.0
101;Lease personen- en bestelauto's;2021 4e kwartaal;101.0;1.3;1.9;100.0;102.3;2.5;5.1;100.0
102;Lease personen- en bestelauto's;2021;100.0;;;100.0;100.0;;;100.0
103;Lease personen- en bestelauto's;2022 1e kwartaal;104.5;3.4;4.5;100.0;105.1;2.7;6.7;100.0
104;Lease personen- en bestelauto's;2022 2e kwartaal;108.4;3.7;9.1;100.0;110.1;4.8;10.9;100.0
105;Lease personen- en bestelauto's;2022 3e kwartaal;112.0;3.4;12.3;100.0;112.6;2.2;12.7;100.0
106;Lease personen- en bestelauto's;2022 4e kwartaal;116.6;4.1;15.5;100.0;116.9;3.8;14.2;100.0
107;Lease personen- en bestelauto's;2022;110.4;;10.4;100.0;111.2;;11.2;100.0
108;Lease personen- en bestelauto's;2023 1e kwartaal;120.6;3.4;15.4;100.0;119.5;2.2;13.7;100.0
109;Lease personen- en bestelauto's;2023 2e kwartaal;120.5;-0.1;11.2;100.0;119.1;-0.3;8.2;100.0
110;Lease personen- en bestelauto's;2023 3e kwartaal;120.4;-0.1;7.5;100.0;120.1;0.8;6.7;100.0
111;Lease personen- en bestelauto's;2023 4e kwartaal;122.0;1.4;4.7;100.0;121.2;0.9;3.7;100.0
112;Lease personen- en bestelauto's;2023;120.9;;9.5;100.0;120.0;;7.9;100.0
113;Lease personen- en bestelauto's;2024 1e kwartaal;123.6;1.3;2.5;100.0;121.7;0.4;1.9;100.0
114;Lease personen- en bestelauto's;2024 2e kwartaal;124.3;0.5;3.2;100.0;122.4;0.5;2.7;100.0
115;Lease personen- en bestelauto's;2024 3e kwartaal;123.9;-0.3;2.9;100.0;121.5;-0.7;1.2;100.0
116;Lease personen- en bestelauto's;2024 4e kwartaal;123.0;-0.7;0.8;100.0;120.7;-0.6;-0.4;100.0
117;Lease personen- en bestelauto's;2024;123.7;;2.3;100.0;121.6;;1.3;100.0
118;Lease personen- en bestelauto's;2025 1e kwartaal;129.6;5.4;4.8;100.0;126.3;4.6;3.8;100.0
119;Zakelijke lease personenauto's;2001 3e kwartaal;68.7;;;;66.5;;;
120;Zakelijke lease personenauto's;2001 4e kwartaal;68.4;-0.5;;;65.6;-1.3;;
121;Zakelijke lease personenauto's;2001;;;;;;;;
122;Zakelijke lease personenauto's;2002 1e kwartaal;69.9;2.1;;;66.7;1.8;;
123;Zakelijke lease personenauto's;2002 2e kwartaal;70.8;1.3;;;68.0;1.8;;
124;Zakelijke lease personenauto's;2002 3e kwartaal;70.6;-0.3;2.7;;67.6;-0.5;1.7;
125;Zakelijke lease personenauto's;2002 4e kwartaal;70.5;-0.1;3.1;;67.5;-0.1;2.9;
126;Zakelijke lease personenauto's;2002;70.4;;;;67.5;;;
127;Zakelijke lease personenauto's;2003 1e kwartaal;71.8;1.8;2.7;;69.3;2.6;3.8;
128;Zakelijke lease personenauto's;2003 2e kwartaal;71.7;-0.2;1.3;;68.4;-1.2;0.7;
129;Zakelijke lease personenauto's;2003 3e kwartaal;72.7;1.5;3.0;;69.5;1.5;2.8;
130;Zakelijke lease personenauto's;2003 4e kwartaal;73.8;1.5;4.6;;70.0;0.8;3.8;
131;Zakelijke lease personenauto's;2003 ;72.5;;2.9;;69.3;;2.7;
132;Zakelijke lease personenauto's;2004 1e kwartaal;75.0;1.7;4.5;;71.2;1.7;2.9;
133;Zakelijke lease personenauto's;2004 2e kwartaal;75.8;1.1;5.8;;72.8;2.2;6.4;
134;Zakelijke lease personenauto's;2004 3e kwartaal;75.8;-0.1;4.2;;73.1;0.4;5.2;
135;Zakelijke lease personenauto's;2004 4e kwartaal;75.8;0.0;2.7;;73.6;0.7;5.1;
136;Zakelijke lease personenauto's;2004;75.6;;4.3;;72.7;;4.9;
137;Zakelijke lease personenauto's;2005 1e kwartaal;78.2;3.1;4.2;;75.0;1.9;5.3;
138;Zakelijke lease personenauto's;2005 2e kwartaal;79.1;1.2;4.3;;76.7;2.2;5.4;
139;Zakelijke lease personenauto's;2005 3e kwartaal;79.7;0.8;5.1;;78.4;2.2;7.2;
140;Zakelijke lease personenauto's;2005 4e kwartaal;80.5;1.2;6.4;;79.0;0.8;7.3;
141;Zakelijke lease personenauto's;2005;79.3;;5.0;;77.3;;6.3;
142;Zakelijke lease personenauto's;2006 1e kwartaal;81.4;1.3;4.6;;80.1;1.4;6.8;
143;Zakelijke lease personenauto's;2006 2e kwartaal;82.2;1.0;4.4;;81.4;1.5;6.1;
144;Zakelijke lease personenauto's;2006 3e kwartaal;82.4;0.2;3.9;;81.7;0.5;4.3;
145;Zakelijke lease personenauto's;2006 4e kwartaal;82.8;0.4;3.0;;80.5;-1.5;1.9;
146;Zakelijke lease personenauto's;2006;82.2;;4.0;;81.0;;4.7;
147;Zakelijke lease personenauto's;2007 1e kwartaal;83.8;1.2;2.9;;81.6;1.3;1.8;
148;Zakelijke lease personenauto's;2007 2e kwartaal;84.2;0.5;2.4;;83.1;1.8;2.1;
149;Zakelijke lease personenauto's;2007 3e kwartaal;84.4;0.2;2.4;;83.0;-0.1;1.5;
150;Zakelijke lease personenauto's;2007 4e kwartaal;84.3;-0.1;1.9;;83.8;1.0;4.0;
151;Zakelijke lease personenauto's;2007;84.2;;2.4;;82.9;;2.3;
152;Zakelijke lease personenauto's;2008 1e kwartaal;82.9;-1.7;-1.1;;83.1;-0.8;1.8;
153;Zakelijke lease personenauto's;2008 2e kwartaal;83.8;1.1;-0.4;;85.2;2.6;2.6;
154;Zakelijke lease personenauto's;2008 3e kwartaal;84.8;1.2;0.5;;86.7;1.8;4.5;
155;Zakelijke lease personenauto's;2008 4e kwartaal;85.2;0.4;1.0;;84.7;-2.3;1.1;
156;Zakelijke lease personenauto's;2008;84.2;;0.0;;84.9;;2.5;
157;Zakelijke lease personenauto's;2009 1e kwartaal;86.4;1.5;4.3;;84.7;0.0;2.0;
158;Zakelijke lease personenauto's;2009 2e kwartaal;86.7;0.3;3.4;;85.2;0.6;0.0;
159;Zakelijke lease personenauto's;2009 3e kwartaal;87.3;0.7;3.0;;86.3;1.2;-0.5;
160;Zakelijke lease personenauto's;2009 4e kwartaal;87.3;0.0;2.5;;86.7;0.5;2.3;
161;Zakelijke lease personenauto's;2009;86.9;;3.3;;85.7;;0.9;
162;Zakelijke lease personenauto's;2010 1e kwartaal;88.3;1.2;2.2;;87.9;1.4;3.8;
163;Zakelijke lease personenauto's;2010 2e kwartaal;88.0;-0.4;1.5;;88.7;0.9;4.1;
164;Zakelijke lease personenauto's;2010 3e kwartaal;87.5;-0.5;0.2;;88.0;-0.7;2.1;
165;Zakelijke lease personenauto's;2010 4e kwartaal;87.8;0.3;0.5;;88.6;0.6;2.2;
166;Zakelijke lease personenauto's;2010;87.9;;1.1;;88.3;;3.0;
167;Zakelijke lease personenauto's;2011 1e kwartaal;89.2;1.6;1.0;;90.9;2.6;3.4;
168;Zakelijke lease personenauto's;2011 2e kwartaal;89.5;0.4;1.8;;91.9;1.2;3.6;
169;Zakelijke lease personenauto's;2011 3e kwartaal;88.8;-0.9;1.4;;91.0;-1.1;3.3;
170;Zakelijke lease personenauto's;2011 4e kwartaal;88.8;0.0;1.1;;90.6;-0.4;2.3;
171;Zakelijke lease personenauto's;2011;89.1;;1.3;;91.1;;3.2;
172;Zakelijke lease personenauto's;2012 1e kwartaal;88.7;0.0;-0.5;;91.4;0.8;0.6;
173;Zakelijke lease personenauto's;2012 2e kwartaal;88.8;0.0;-0.9;;91.5;0.1;-0.5;
174;Zakelijke lease personenauto's;2012 3e kwartaal;89.5;0.9;0.9;;91.9;0.4;1.0;
175;Zakelijke lease personenauto's;2012 4e kwartaal;89.5;0.0;0.8;;91.7;-0.2;1.2;
176;Zakelijke lease personenauto's;2012;89.1;;0.1;;91.6;;0.6;
177;Zakelijke lease personenauto's;2013 1e kwartaal;90.4;1.0;1.9;;92.2;0.5;0.9;
178;Zakelijke lease personenauto's;2013 2e kwartaal;90.1;-0.3;1.6;;91.4;-0.9;-0.1;
179;Zakelijke lease personenauto's;2013 3e kwartaal;90.1;0.0;0.7;;91.7;0.4;-0.2;
180;Zakelijke lease personenauto's;2013 4e kwartaal;89.9;-0.2;0.5;;90.6;-1.2;-1.3;
181;Zakelijke lease personenauto's;2013;90.2;;1.2;;91.4;;-0.2;
182;Zakelijke lease personenauto's;2014 1e kwartaal;90.8;1.0;0.5;;91.6;1.1;-0.7;
183;Zakelijke lease personenauto's;2014 2e kwartaal;90.3;-0.6;0.2;;91.4;-0.2;0.0;
184;Zakelijke lease personenauto's;2014 3e kwartaal;90.0;-0.3;-0.1;;90.9;-0.5;-0.9;
185;Zakelijke lease personenauto's;2014 4e kwartaal;90.2;0.2;0.3;;90.1;-0.9;-0.6;
186;Zakelijke lease personenauto's;2014;90.3;;0.2;;91.0;;-0.5;
187;Zakelijke lease personenauto's;2015 1e kwartaal;90.7;0.6;-0.1;;89.2;-0.9;-2.6;
188;Zakelijke lease personenauto's;2015 2e kwartaal;89.3;-1.5;-1.1;;88.6;-0.7;-3.0;
189;Zakelijke lease personenauto's;2015 3e kwartaal;89.3;0.0;-0.8;;88.1;-0.5;-3.0;
190;Zakelijke lease personenauto's;2015 4e kwartaal;89.5;0.2;-0.7;;87.7;-0.4;-2.6;
191;Zakelijke lease personenauto's;2015;89.7;;-0.7;;88.4;;-2.8;
192;Zakelijke lease personenauto's;2016 1e kwartaal;90.4;1.0;-0.3;;87.4;-0.4;-2.0;
193;Zakelijke lease personenauto's;2016 2e kwartaal;90.3;-0.1;1.1;;87.8;0.5;-0.9;
194;Zakelijke lease personenauto's;2016 3e kwartaal;89.6;-0.7;0.4;;87.2;-0.8;-1.1;
195;Zakelijke lease personenauto's;2016 4e kwartaal;89.9;0.2;0.4;;88.0;1.0;0.3;
196;Zakelijke lease personenauto's;2016;90.1;;0.4;;87.6;;-0.9;
197;Zakelijke lease personenauto's;2017 1e kwartaal;90.3;0.5;-0.1;;89.4;1.5;2.3;
198;Zakelijke lease personenauto's;2017 2e kwartaal;90.0;-0.4;-0.4;;88.5;-0.9;0.8;
199;Zakelijke lease personenauto's;2017 3e kwartaal;89.9;-0.1;0.3;;87.8;-0.8;0.7;
200;Zakelijke lease personenauto's;2017 4e kwartaal;90.5;0.6;0.7;;88.6;0.9;0.7;
201;Zakelijke lease personenauto's;2017;90.2;;0.1;;88.6;;1.1;
202;Zakelijke lease personenauto's;2018 1e kwartaal;90.9;0.5;0.7;;89.3;0.8;-0.1;
203;Zakelijke lease personenauto's;2018 2e kwartaal;92.8;2.1;3.2;;92.5;3.5;4.4;
204;Zakelijke lease personenauto's;2018 3e kwartaal;93.6;0.9;4.1;;93.3;0.9;6.3;
205;Zakelijke lease personenauto's;2018 4e kwartaal;95.5;2.1;5.6;;95.1;1.8;7.3;
206;Zakelijke lease personenauto's;2018;93.2;;3.4;;92.5;;4.5;
207;Zakelijke lease personenauto's;2019 1e kwartaal;97.9;2.5;7.7;;96.5;1.5;8.0;
208;Zakelijke lease personenauto's;2019 2e kwartaal;97.1;-0.8;4.7;;96.6;0.2;4.5;
209;Zakelijke lease personenauto's;2019 3e kwartaal;96.3;-0.9;2.9;;95.3;-1.3;2.1;
210;Zakelijke lease personenauto's;2019 4e kwartaal;97.2;1.0;1.8;;96.1;0.8;1.1;
211;Zakelijke lease personenauto's;2019;97.1;;4.2;;96.1;;3.9;
212;Zakelijke lease personenauto's;2020 1e kwartaal;98.7;1.5;0.8;;97.1;1.0;0.6;
213;Zakelijke lease personenauto's;2020 2e kwartaal;100.5;1.8;3.4;;97.5;0.4;0.9;
214;Zakelijke lease personenauto's;2020 3e kwartaal;99.9;-0.5;3.8;;98.8;1.4;3.6;
215;Zakelijke lease personenauto's;2020 4e kwartaal;100.0;;;;98.2;;;
216;Zakelijke lease personenauto's;2020;;;;;;;;
217;Zakelijke lease personenauto's;2021 1e kwartaal;100.2;0.2;;66.6;98.9;0.7;;86.3
218;Zakelijke lease personenauto's;2021 2e kwartaal;99.8;-0.4;;66.6;99.5;0.6;;86.3
219;Zakelijke lease personenauto's;2021 3e kwartaal;99.7;-0.1;;66.6;99.9;0.4;;86.3
220;Zakelijke lease personenauto's;2021 4e kwartaal;100.3;0.6;0.4;66.6;101.8;1.9;3.6;86.3
221;Zakelijke lease personenauto's;2021;100.0;;;66.6;100.0;;;86.3
222;Zakelijke lease personenauto's;2022 1e kwartaal;102.4;2.1;2.2;66.6;104.3;2.5;5.5;86.3
223;Zakelijke lease personenauto's;2022 2e kwartaal;106.5;4.0;6.7;66.6;108.9;4.4;9.4;86.3
224;Zakelijke lease personenauto's;2022 3e kwartaal;109.1;2.4;9.4;66.6;111.2;2.2;11.4;86.3
225;Zakelijke lease personenauto's;2022 4e kwartaal;113.8;4.3;13.4;66.6;115.5;3.8;13.5;86.3
226;Zakelijke lease personenauto's;2022;107.9;;7.9;66.6;110.0;;10.0;86.3
227;Zakelijke lease personenauto's;2023 1e kwartaal;116.6;2.5;13.8;66.6;118.8;2.9;13.9;86.3
228;Zakelijke lease personenauto's;2023 2e kwartaal;116.9;0.2;9.7;66.6;119.1;0.3;9.4;86.3
229;Zakelijke lease personenauto's;2023 3e kwartaal;116.6;-0.2;6.9;66.6;119.7;0.5;7.6;86.3
230;Zakelijke lease personenauto's;2023 4e kwartaal;118.0;1.2;3.7;66.6;120.7;0.8;4.5;86.3
231;Zakelijke lease personenauto's;2023;117.0;;8.4;66.6;119.6;;8.7;86.3
232;Zakelijke lease personenauto's;2024 1e kwartaal;118.5;0.4;1.6;66.6;120.7;0.0;1.6;86.3
233;Zakelijke lease personenauto's;2024 2e kwartaal;118.9;0.3;1.7;66.6;121.3;0.6;1.8;86.3
234;Zakelijke lease personenauto's;2024 3e kwartaal;118.4;-0.4;1.6;66.6;120.5;-0.6;0.7;86.3
235;Zakelijke lease personenauto's;2024 4e kwartaal;118.0;-0.3;0.0;66.6;119.7;-0.7;-0.8;86.3
236;Zakelijke lease personenauto's;2024;118.5;;1.2;66.6;120.6;;0.8;86.3
237;Zakelijke lease personenauto's;2025 1e kwartaal;121.2;2.7;2.3;66.6;122.7;2.5;1.7;86.3
238;Personenauto's: Benzine en MHEV;2001 3e kwartaal;64.8;;;;64.0;;;
239;Personenauto's: Benzine en MHEV;2001 4e kwartaal;64.3;-0.7;;;62.7;-2.1;;
240;Personenauto's: Benzine en MHEV;2001;;;;;;;;
241;Personenauto's: Benzine en MHEV;2002 1e kwartaal;66.0;2.6;;;64.2;2.4;;
242;Personenauto's: Benzine en MHEV;2002 2e kwartaal;66.9;1.3;;;65.7;2.3;;
243;Personenauto's: Benzine en MHEV;2002 3e kwartaal;66.7;-0.2;3.0;;65.4;-0.4;2.1;
244;Personenauto's: Benzine en MHEV;2002 4e kwartaal;66.6;-0.1;3.6;;64.9;-0.8;3.4;
245;Personenauto's: Benzine en MHEV;2002;66.5;;;;65.0;;;
246;Personenauto's: Benzine en MHEV;2003 1e kwartaal;67.7;1.6;2.6;;66.7;2.8;3.8;
247;Personenauto's: Benzine en MHEV;2003 2e kwartaal;67.8;0.2;1.5;;66.2;-0.7;0.8;
248;Personenauto's: Benzine en MHEV;2003 3e kwartaal;69.1;1.8;3.5;;67.6;2.0;3.3;
249;Personenauto's: Benzine en MHEV;2003 4e kwartaal;70.3;1.8;5.6;;67.7;0.2;4.4;
250;Personenauto's: Benzine en MHEV;2003 ;68.7;;3.3;;67.0;;3.1;
251;Personenauto's: Benzine en MHEV;2004 1e kwartaal;71.5;1.7;5.6;;69.1;2.0;3.6;
252;Personenauto's: Benzine en MHEV;2004 2e kwartaal;72.4;1.2;6.7;;71.1;3.0;7.4;
253;Personenauto's: Benzine en MHEV;2004 3e kwartaal;72.3;-0.2;4.6;;70.9;-0.3;5.0;
254;Personenauto's: Benzine en MHEV;2004 4e kwartaal;72.3;0.1;2.8;;70.9;0.0;4.7;
255;Personenauto's: Benzine en MHEV;2004;72.1;;4.9;;70.5;;5.2;
256;Personenauto's: Benzine en MHEV;2005 1e kwartaal;75.0;3.7;4.9;;72.6;2.4;5.2;
257;Personenauto's: Benzine en MHEV;2005 2e kwartaal;76.1;1.4;5.1;;74.5;2.5;4.7;
258;Personenauto's: Benzine en MHEV;2005 3e kwartaal;76.7;0.8;6.1;;76.5;2.6;7.8;
259;Personenauto's: Benzine en MHEV;2005 4e kwartaal;77.5;1.1;7.2;;76.3;-0.2;7.5;
260;Personenauto's: Benzine en MHEV;2005;76.3;;5.8;;75.0;;6.3;
261;Personenauto's: Benzine en MHEV;2006 1e kwartaal;78.7;1.6;4.9;;77.6;1.8;6.9;
262;Personenauto's: Benzine en MHEV;2006 2e kwartaal;79.3;0.7;4.2;;79.1;1.9;6.2;
263;Personenauto's: Benzine en MHEV;2006 3e kwartaal;79.4;0.2;3.6;;79.5;0.4;3.9;
264;Personenauto's: Benzine en MHEV;2006 4e kwartaal;79.8;0.5;2.9;;77.5;-2.5;1.6;
265;Personenauto's: Benzine en MHEV;2006;79.3;;3.9;;78.4;;4.6;
266;Personenauto's: Benzine en MHEV;2007 1e kwartaal;80.6;1.0;2.4;;78.7;1.6;1.4;
267;Personenauto's: Benzine en MHEV;2007 2e kwartaal;81.1;0.6;2.3;;81.3;3.3;2.8;
