ID;BuildingPhases;Region;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
48;Orders received by contractors;Nederland;2017 December;1353;333;1020;727.0;;;;;;;;;
49;Orders received by contractors;Nederland;2017 4th quarter;4675;1115;3560;2446.0;;;;;;;;;
50;Orders received by contractors;Nederland;2017;17016;3633;13384;9473.0;;;;;;;;;
51;Orders received by contractors;Nederland;2018 January;1160;267;893;642.0;;;;;;;;;
52;Orders received by contractors;Nederland;2018 February;1459;283;1177;855.0;;;;;;;;;
53;Orders received by contractors;Nederland;2018 March;1509;299;1210;890.0;;;;;;;;;
54;Orders received by contractors;Nederland;2018 1st quarter;4128;849;3279;2387.0;;;;;;;;;
55;Orders received by contractors;Nederland;2018 April;1483;325;1158;697.0;;;;;;;;;
56;Orders received by contractors;Nederland;2018 May;1382;247;1135;695.0;;;;;;;;;
57;Orders received by contractors;Nederland;2018 June;1589;337;1253;884.0;;;;;;;;;
58;Orders received by contractors;Nederland;2018 2nd quarter;4454;908;3545;2276.0;;;;;;;;;
59;Orders received by contractors;Nederland;2018 July;1723;355;1368;941.0;;;;;;;;;
60;Orders received by contractors;Nederland;2018 August;1416;274;1142;729.0;;;;;;;;;
61;Orders received by contractors;Nederland;2018 September;1540;305;1234;947.0;;;;;;;;;
62;Orders received by contractors;Nederland;2018 3rd quarter;4678;933;3745;2617.0;;;;;;;;;
63;Orders received by contractors;Nederland;2018 October;2159;354;1805;1394.0;;;;;;;;;
64;Orders received by contractors;Nederland;2018 November;1448;275;1173;800.0;;;;;;;;;
65;Orders received by contractors;Nederland;2018 December;1432;302;1130;841.0;;;;;;;;;
66;Orders received by contractors;Nederland;2018 4th quarter;5039;932;4108;3035.0;;;;;;;;;
67;Orders received by contractors;Nederland;2018;18299;3622;14677;10316.0;;;;;;;;;
68;Orders received by contractors;Nederland;2019 January;1238;330;907;603.0;;;;;;;;;
69;Orders received by contractors;Nederland;2019 February;1278;287;990;618.0;;;;;;;;;
70;Orders received by contractors;Nederland;2019 March;1420;305;1116;759.0;;;;;;;;;
71;Orders received by contractors;Nederland;2019 1st quarter;3936;922;3013;1980.0;;;;;;;;;
72;Orders received by contractors;Nederland;2019 April;1482;267;1216;790.0;;;;;;;;;
73;Orders received by contractors;Nederland;2019 May;1218;313;904;594.0;;;;;;;;;
74;Orders received by contractors;Nederland;2019 June;1290;251;1038;687.0;;;;;;;;;
75;Orders received by contractors;Nederland;2019 2nd quarter;3989;831;3158;2071.0;;;;;;;;;
76;Orders received by contractors;Nederland;2019 July;1885;518;1367;907.0;;;;;;;;;
77;Orders received by contractors;Nederland;2019 August;963;228;734;527.0;;;;;;;;;
78;Orders received by contractors;Nederland;2019 September;1286;249;1037;767.0;;;;;;;;;
79;Orders received by contractors;Nederland;2019 3rd quarter;4133;994;3139;2201.0;;;;;;;;;
80;Orders received by contractors;Nederland;2019 October;1815;368;1446;1085.0;;;;;;;;;
81;Orders received by contractors;Nederland;2019 November;1690;344;1346;837.0;;;;;;;;;
82;Orders received by contractors;Nederland;2019 December;1740;443;1296;917.0;;;;;;;;;
83;Orders received by contractors;Nederland;2019 4th quarter;5244;1155;4089;2839.0;;;;;;;;;
84;Orders received by contractors;Nederland;2019;17303;3903;13399;9091.0;;;;;;;;;
85;Orders received by contractors;Nederland;2020 January;1228;323;905;673.0;;;;;;;;;
86;Orders received by contractors;Nederland;2020 February;1472;345;1127;783.0;;;;;;;;;
87;Orders received by contractors;Nederland;2020 March;1652;422;1230;937.0;;;;;;;;;
88;Orders received by contractors;Nederland;2020 1st quarter;4352;1090;3262;2392.0;;;;;;;;;
89;Orders received by contractors;Nederland;2020 April;1777;381;1396;880.0;;;;;;;;;
90;Orders received by contractors;Nederland;2020 May;1372;381;990;651.0;;;;;;;;;
91;Orders received by contractors;Nederland;2020 June;1566;269;1297;890.0;;;;;;;;;
92;Orders received by contractors;Nederland;2020 2nd quarter;4715;1032;3683;2422.0;;;;;;;;;
93;Orders received by contractors;Nederland;2020 July;2048;360;1688;1105.0;;;;;;;;;
94;Orders received by contractors;Nederland;2020 August;1178;247;932;547.0;;;;;;;;;
95;Orders received by contractors;Nederland;2020 September;1728;325;1403;1047.0;;;;;;;;;
96;Orders received by contractors;Nederland;2020 3rd quarter;4954;931;4023;2700.0;;;;;;;;;
97;Orders received by contractors;Nederland;2020 October;1959;404;1555;1220.0;;;;;;;;;
98;Orders received by contractors;Nederland;2020 November;1700;355;1345;864.0;;;;;;;;;
99;Orders received by contractors;Nederland;2020 December;1994;350;1644;1313.0;;;;;;;;;
100;Orders received by contractors;Nederland;2020 4th quarter;5652;1109;4543;3396.0;;;;;;;;;
101;Orders received by contractors;Nederland;2020;19674;4162;15512;10910.0;;;;;;;;;
102;Orders received by contractors;Nederland;2021 January;1484;264;1219;807.0;;;;;;;;;
103;Orders received by contractors;Nederland;2021 February;1714;332;1382;996.0;;;;;;;;;
104;Orders received by contractors;Nederland;2021 March;2464;418;2046;1428.0;;;;;;;;;
105;Orders received by contractors;Nederland;2021 1st quarter;5662;1015;4647;3231.0;;;;;;;;;
106;Orders received by contractors;Nederland;2021 April;2023;325;1699;1303.0;;;;;;;;;
107;Orders received by contractors;Nederland;2021 May;1763;385;1377;977.0;;;;;;;;;
108;Orders received by contractors;Nederland;2021 June;1836;368;1468;1156.0;;;;;;;;;
109;Orders received by contractors;Nederland;2021 2nd quarter;5622;1078;4544;3437.0;;;;;;;;;
110;Orders received by contractors;Nederland;2021 July;2340;500;1840;1216.0;;;;;;;;;
111;Orders received by contractors;Nederland;2021 August;1284;246;1038;686.0;;;;;;;;;
112;Orders received by contractors;Nederland;2021 September;1862;520;1342;877.0;;;;;;;;;
113;Orders received by contractors;Nederland;2021 3rd quarter;5485;1265;4220;2779.0;;;;;;;;;
114;Orders received by contractors;Nederland;2021 October;1879;352;1527;1139.0;;;;;;;;;
115;Orders received by contractors;Nederland;2021 November;1989;410;1579;1130.0;;;;;;;;;
116;Orders received by contractors;Nederland;2021 December;2006;459;1548;1150.0;;;;;;;;;
117;Orders received by contractors;Nederland;2021 4th quarter;5874;1220;4654;3418.0;;;;;;;;;
118;Orders received by contractors;Nederland;2021;22643;4578;18065;12865.0;;;;;;;;;
119;Orders received by contractors;Nederland;2022 January;1523;282;1241;873.0;;;;;;;;;
120;Orders received by contractors;Nederland;2022 February;1450;359;1091;753.0;;;;;;;;;
121;Orders received by contractors;Nederland;2022 March;2322;514;1808;1316.0;;;;;;;;;
122;Orders received by contractors;Nederland;2022 1st quarter;5295;1155;4140;2941.0;;;;;;;;;
123;Orders received by contractors;Nederland;2022 April;1484;387;1098;827.0;;;;;;;;;
124;Orders received by contractors;Nederland;2022 May;1894;455;1439;903.0;;;;;;;;;
125;Orders received by contractors;Nederland;2022 June;2156;594;1562;1081.0;;;;;;;;;
126;Orders received by contractors;Nederland;2022 2nd quarter;5534;1435;4099;2811.0;;;;;;;;;
127;Orders received by contractors;Nederland;2022 July;2157;464;1693;1165.0;;;;;;;;;
128;Orders received by contractors;Nederland;2022 August;1380;341;1039;611.0;;;;;;;;;
129;Orders received by contractors;Nederland;2022 September;1858;431;1427;1100.0;;;;;;;;;
130;Orders received by contractors;Nederland;2022 3rd quarter;5395;1236;4159;2876.0;;;;;;;;;
131;Orders received by contractors;Nederland;2022 October;2135;331;1803;1188.0;;;;;;;;;
132;Orders received by contractors;Nederland;2022 November;1808;361;1447;889.0;;;;;;;;;
133;Orders received by contractors;Nederland;2022 December;1583;296;1287;805.0;;;;;;;;;
134;Orders received by contractors;Nederland;2022 4th quarter;5526;988;4538;2882.0;;;;;;;;;
135;Orders received by contractors;Nederland;2022;21750;4815;16935;11511.0;;;;;;;;;
136;Orders received by contractors;Nederland;2023 January;1586;299;1287;650.0;;;;;;;;;
137;Orders received by contractors;Nederland;2023 February;1578;415;1163;717.0;;;;;;;;;
138;Orders received by contractors;Nederland;2023 March;1772;408;1364;906.0;;;;;;;;;
139;Orders received by contractors;Nederland;2023 1st quarter;4936;1122;3814;2272.0;;;;;;;;;
140;Orders received by contractors;Nederland;2023 April;1873;359;1515;1028.0;;;;;;;;;
141;Orders received by contractors;Nederland;2023 May;1494;352;1141;701.0;;;;;;;;;
142;Orders received by contractors;Nederland;2023 June;1898;410;1489;1058.0;;;;;;;;;
143;Orders received by contractors;Nederland;2023 2nd quarter;5265;1121;4145;2787.0;;;;;;;;;
144;Orders received by contractors;Nederland;2023 July;1527;391;1136;788.0;;;;;;;;;
145;Orders received by contractors;Nederland;2023 August;1295;388;907;570.0;;;;;;;;;
146;Orders received by contractors;Nederland;2023 September;1395;288;1108;866.0;;;;;;;;;
147;Orders received by contractors;Nederland;2023 3rd quarter;4218;1067;3151;2224.0;;;;;;;;;
148;Orders received by contractors;Nederland;2023 October;2048;414;1634;1110.0;;;;;;;;;
149;Orders received by contractors;Nederland;2023 November;1572;395;1177;857.0;;;;;;;;;
150;Orders received by contractors;Nederland;2023 December;1674;375;1299;657.0;;;;;;;;;
151;Orders received by contractors;Nederland;2023 4th quarter;5295;1184;4110;2624.0;;;;;;;;;
152;Orders received by contractors;Nederland;2023;19714;4494;15220;9907.0;;;;;;;;;
153;Orders received by contractors;Nederland;2024 January;1209;316;894;570.0;;;;;;;;;
154;Orders received by contractors;Nederland;2024 February;1909;408;1501;1122.0;;;;;;;;;
155;Orders received by contractors;Nederland;2024 March;2351;508;1843;1372.0;;;;;;;;;
156;Orders received by contractors;Nederland;2024 1st quarter;5469;1231;4238;3064.0;;;;;;;;;
157;Orders received by contractors;Nederland;2024 April;2398;368;2030;1169.0;;;;;;;;;
158;Orders received by contractors;Nederland;2024 May;2432;424;2009;1309.0;;;;;;;;;
159;Orders received by contractors;Nederland;2024 June;1835;298;1536;1039.0;;;;;;;;;
160;Orders received by contractors;Nederland;2024 2nd quarter;6665;1090;5574;3517.0;;;;;;;;;
161;Orders received by contractors;Nederland;2024 July;2370;584;1786;1248.0;;;;;;;;;
162;Orders received by contractors;Nederland;2024 August;1003;234;769;441.0;;;;;;;;;
163;Orders received by contractors;Nederland;2024 September;1334;251;1083;678.0;;;;;;;;;
164;Orders received by contractors;Nederland;2024 3rd quarter;4706;1068;3638;2367.0;;;;;;;;;
165;Orders received by contractors;Nederland;2024 October;2024;336;1688;1198.0;;;;;;;;;
166;Orders received by contractors;Nederland;2024 November;1722;344;1378;1145.0;;;;;;;;;
167;Orders received by contractors;Nederland;2024 December;2151;338;1813;1410.0;;;;;;;;;
168;Orders received by contractors;Nederland;2024 4th quarter;5897;1018;4879;3754.0;;;;;;;;;
169;Orders received by contractors;Nederland;2024;22738;4408;18329;12701.0;;;;;;;;;
170;Orders received by contractors;Nederland;2025 January;1204;276;929;608.0;;;;;;;;;
171;Orders received by contractors;Noord-Nederland (LD);2015 January;100;26;73;38.0;3.0;2.0;1.0;0.0;2.0;0.0;19.0;0.0;9.0
172;Orders received by contractors;Noord-Nederland (LD);2015 February;162;59;104;62.0;4.0;0.0;1.0;0.0;0.0;0.0;2.0;34.0;0.0
173;Orders received by contractors;Noord-Nederland (LD);2015 March;103;25;78;52.0;6.0;1.0;0.0;0.0;1.0;0.0;3.0;15.0;0.0
174;Orders received by contractors;Noord-Nederland (LD);2015 1st quarter;365;110;254;152.0;13.0;3.0;2.0;0.0;3.0;0.0;23.0;49.0;9.0
175;Orders received by contractors;Noord-Nederland (LD);2015 April;104;30;74;40.0;5.0;1.0;15.0;0.0;1.0;0.0;12.0;0.0;0.0
176;Orders received by contractors;Noord-Nederland (LD);2015 May;66;15;51;35.0;5.0;0.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0
177;Orders received by contractors;Noord-Nederland (LD);2015 June;72;19;54;35.0;9.0;1.0;1.0;5.0;1.0;0.0;0.0;1.0;2.0
178;Orders received by contractors;Noord-Nederland (LD);2015 2nd quarter;243;64;179;109.0;20.0;2.0;25.0;5.0;3.0;0.0;12.0;1.0;2.0
179;Orders received by contractors;Noord-Nederland (LD);2015 July;68;18;51;34.0;7.0;4.0;2.0;0.0;2.0;0.0;1.0;0.0;0.0
180;Orders received by contractors;Noord-Nederland (LD);2015 August;70;19;51;21.0;6.0;2.0;14.0;0.0;1.0;1.0;0.0;8.0;0.0
181;Orders received by contractors;Noord-Nederland (LD);2015 September;75;17;58;40.0;4.0;1.0;3.0;0.0;0.0;0.0;8.0;1.0;1.0
182;Orders received by contractors;Noord-Nederland (LD);2015 3rd quarter;214;54;159;95.0;17.0;6.0;19.0;1.0;3.0;1.0;9.0;9.0;1.0
183;Orders received by contractors;Noord-Nederland (LD);2015 October;65;20;45;25.0;9.0;2.0;3.0;0.0;0.0;0.0;0.0;5.0;1.0
184;Orders received by contractors;Noord-Nederland (LD);2015 November;80;26;54;38.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;10.0;0.0
185;Orders received by contractors;Noord-Nederland (LD);2015 December;101;41;60;27.0;5.0;1.0;23.0;1.0;1.0;0.0;2.0;1.0;0.0
186;Orders received by contractors;Noord-Nederland (LD);2015 4th quarter;246;87;159;89.0;17.0;3.0;27.0;2.0;2.0;0.0;2.0;16.0;1.0
187;Orders received by contractors;Noord-Nederland (LD);2015;1068;316;752;446.0;66.0;14.0;74.0;8.0;10.0;1.0;47.0;74.0;13.0
188;Orders received by contractors;Noord-Nederland (LD);2016 January;51;19;32;20.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;8.0;0.0
189;Orders received by contractors;Noord-Nederland (LD);2016 February;57;21;36;26.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0
190;Orders received by contractors;Noord-Nederland (LD);2016 March;92;25;67;51.0;7.0;2.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0
191;Orders received by contractors;Noord-Nederland (LD);2016 1st quarter;200;65;136;97.0;14.0;5.0;3.0;1.0;2.0;0.0;2.0;13.0;1.0
192;Orders received by contractors;Noord-Nederland (LD);2016 April;81;30;50;40.0;5.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0
193;Orders received by contractors;Noord-Nederland (LD);2016 May;76;26;50;40.0;5.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0
194;Orders received by contractors;Noord-Nederland (LD);2016 June;92;33;59;45.0;4.0;1.0;3.0;0.0;1.0;0.0;2.0;0.0;3.0
195;Orders received by contractors;Noord-Nederland (LD);2016 2nd quarter;249;90;160;124.0;14.0;3.0;5.0;2.0;2.0;0.0;2.0;1.0;5.0
196;Orders received by contractors;Noord-Nederland (LD);2016 July;84;25;59;47.0;6.0;1.0;3.0;2.0;1.0;0.0;0.0;1.0;0.0
197;Orders received by contractors;Noord-Nederland (LD);2016 August;105;25;81;74.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
198;Orders received by contractors;Noord-Nederland (LD);2016 September;88;27;61;52.0;3.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0
199;Orders received by contractors;Noord-Nederland (LD);2016 3rd quarter;277;76;201;173.0;11.0;2.0;4.0;7.0;1.0;0.0;0.0;1.0;2.0
200;Orders received by contractors;Noord-Nederland (LD);2016 October;80;18;61;42.0;6.0;1.0;1.0;0.0;1.0;0.0;0.0;10.0;0.0
201;Orders received by contractors;Noord-Nederland (LD);2016 November;83;31;52;40.0;2.0;4.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0
202;Orders received by contractors;Noord-Nederland (LD);2016 December;99;24;75;61.0;2.0;6.0;2.0;3.0;1.0;0.0;0.0;1.0;0.0
203;Orders received by contractors;Noord-Nederland (LD);2016 4th quarter;261;73;188;143.0;10.0;10.0;6.0;3.0;5.0;0.0;0.0;11.0;0.0
204;Orders received by contractors;Noord-Nederland (LD);2016;988;304;684;536.0;49.0;21.0;18.0;13.0;9.0;0.0;4.0;26.0;8.0
205;Orders received by contractors;Noord-Nederland (LD);2017 January;64;14;50;43.0;2.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0
206;Orders received by contractors;Noord-Nederland (LD);2017 February;106;19;87;59.0;1.0;6.0;1.0;2.0;1.0;0.0;12.0;2.0;3.0
207;Orders received by contractors;Noord-Nederland (LD);2017 March;145;27;118;91.0;5.0;12.0;5.0;2.0;1.0;0.0;1.0;0.0;1.0
208;Orders received by contractors;Noord-Nederland (LD);2017 1st quarter;315;60;255;193.0;8.0;20.0;6.0;5.0;2.0;0.0;13.0;2.0;5.0
209;Orders received by contractors;Noord-Nederland (LD);2017 April;89;16;73;42.0;2.0;10.0;2.0;1.0;11.0;0.0;0.0;2.0;3.0
210;Orders received by contractors;Noord-Nederland (LD);2017 May;240;30;211;71.0;5.0;6.0;1.0;0.0;1.0;0.0;113.0;4.0;9.0
211;Orders received by contractors;Noord-Nederland (LD);2017 June;123;30;93;76.0;4.0;6.0;4.0;0.0;1.0;0.0;2.0;0.0;1.0
212;Orders received by contractors;Noord-Nederland (LD);2017 2nd quarter;453;75;377;189.0;11.0;22.0;7.0;1.0;12.0;0.0;115.0;7.0;13.0
213;Orders received by contractors;Noord-Nederland (LD);2017 July;119;28;91;69.0;3.0;4.0;0.0;2.0;1.0;0.0;3.0;0.0;8.0
214;Orders received by contractors;Noord-Nederland (LD);2017 August;108;20;88;54.0;4.0;4.0;10.0;5.0;0.0;0.0;0.0;1.0;9.0
215;Orders received by contractors;Noord-Nederland (LD);2017 September;110;29;81;61.0;3.0;6.0;0.0;1.0;3.0;0.0;4.0;3.0;0.0
216;Orders received by contractors;Noord-Nederland (LD);2017 3rd quarter;337;77;260;184.0;11.0;13.0;11.0;9.0;4.0;0.0;7.0;4.0;18.0
217;Orders received by contractors;Noord-Nederland (LD);2017 October;137;33;104;;;;;;;;;;
218;Orders received by contractors;Noord-Nederland (LD);2017 November;114;27;87;;;;;;;;;;
219;Orders received by contractors;Noord-Nederland (LD);2017 December;116;40;76;;;;;;;;;;
220;Orders received by contractors;Noord-Nederland (LD);2017 4th quarter;367;100;267;;;;;;;;;;
221;Orders received by contractors;Noord-Nederland (LD);2017;1471;313;1159;;;;;;;;;;
222;Orders received by contractors;Noord-Nederland (LD);2018 January;135;62;73;;;;;;;;;;
223;Orders received by contractors;Noord-Nederland (LD);2018 February;115;20;95;;;;;;;;;;
224;Orders received by contractors;Noord-Nederland (LD);2018 March;145;24;121;;;;;;;;;;
225;Orders received by contractors;Noord-Nederland (LD);2018 1st quarter;395;106;290;;;;;;;;;;
226;Orders received by contractors;Noord-Nederland (LD);2018 April;108;31;77;;;;;;;;;;
227;Orders received by contractors;Noord-Nederland (LD);2018 May;126;21;104;;;;;;;;;;
228;Orders received by contractors;Noord-Nederland (LD);2018 June;102;20;82;;;;;;;;;;
229;Orders received by contractors;Noord-Nederland (LD);2018 2nd quarter;336;73;263;;;;;;;;;;
230;Orders received by contractors;Noord-Nederland (LD);2018 July;196;29;167;;;;;;;;;;
231;Orders received by contractors;Noord-Nederland (LD);2018 August;241;52;189;;;;;;;;;;
232;Orders received by contractors;Noord-Nederland (LD);2018 September;192;65;127;;;;;;;;;;
233;Orders received by contractors;Noord-Nederland (LD);2018 3rd quarter;629;146;483;;;;;;;;;;
234;Orders received by contractors;Noord-Nederland (LD);2018 October;187;35;152;;;;;;;;;;
235;Orders received by contractors;Noord-Nederland (LD);2018 November;101;20;82;;;;;;;;;;
236;Orders received by contractors;Noord-Nederland (LD);2018 December;119;21;98;;;;;;;;;;
237;Orders received by contractors;Noord-Nederland (LD);2018 4th quarter;407;75;332;;;;;;;;;;
238;Orders received by contractors;Noord-Nederland (LD);2018;1767;400;1368;;;;;;;;;;
239;Orders received by contractors;Noord-Nederland (LD);2019 January;91;24;68;;;;;;;;;;
240;Orders received by contractors;Noord-Nederland (LD);2019 February;105;24;81;;;;;;;;;;
241;Orders received by contractors;Noord-Nederland (LD);2019 March;116;27;89;;;;;;;;;;
242;Orders received by contractors;Noord-Nederland (LD);2019 1st quarter;312;75;238;;;;;;;;;;
243;Orders received by contractors;Noord-Nederland (LD);2019 April;92;22;70;;;;;;;;;;
244;Orders received by contractors;Noord-Nederland (LD);2019 May;100;23;77;;;;;;;;;;
245;Orders received by contractors;Noord-Nederland (LD);2019 June;127;25;101;;;;;;;;;;
246;Orders received by contractors;Noord-Nederland (LD);2019 2nd quarter;319;70;248;;;;;;;;;;
247;Orders received by contractors;Noord-Nederland (LD);2019 July;138;36;102;;;;;;;;;;
248;Orders received by contractors;Noord-Nederland (LD);2019 August;74;33;41;;;;;;;;;;
249;Orders received by contractors;Noord-Nederland (LD);2019 September;94;30;64;;;;;;;;;;
