ID;Geslacht;Kenmerken;Perioden;TotaalWerknemers_1;WilMeerUrenWerken_2;WilGelijkAantalUrenWerken_3;WilMinderUrenWerkenStoppenMetWerk_4;TotaalWerknemers100_5;WilMeerUrenWerken_6;WilGelijkAantalUrenWerken_7;WilMinderUrenWerkenStoppenMetWerk_8
27;Mannen en vrouwen;15 tot 20 jaar;2004;188.0;29.0;140.0;19.0;188.0;15.3;74.5;10.1
28;Mannen en vrouwen;15 tot 20 jaar;2005;181.0;25.0;136.0;20.0;181.0;14.0;75.1;10.9
29;Mannen en vrouwen;15 tot 20 jaar;2006;184.0;23.0;140.0;21.0;184.0;12.4;76.3;11.3
30;Mannen en vrouwen;20 tot 25 jaar;1992;733.0;68.0;605.0;60.0;733.0;9.3;82.5;8.1
31;Mannen en vrouwen;20 tot 25 jaar;1993;696.0;79.0;555.0;63.0;696.0;11.3;79.6;9.0
32;Mannen en vrouwen;20 tot 25 jaar;1994;660.0;88.0;526.0;45.0;660.0;13.4;79.8;6.9
33;Mannen en vrouwen;20 tot 25 jaar;1995;623.0;90.0;495.0;38.0;623.0;14.4;79.4;6.2
34;Mannen en vrouwen;20 tot 25 jaar;1996;590.0;90.0;463.0;37.0;590.0;15.3;78.5;6.3
35;Mannen en vrouwen;20 tot 25 jaar;1997;597.0;84.0;468.0;44.0;597.0;14.1;78.5;7.4
36;Mannen en vrouwen;20 tot 25 jaar;1998;572.0;83.0;454.0;36.0;572.0;14.4;79.4;6.2
37;Mannen en vrouwen;20 tot 25 jaar;1999;596.0;69.0;481.0;45.0;596.0;11.6;80.8;7.6
38;Mannen en vrouwen;20 tot 25 jaar;2000;596.0;71.0;472.0;52.0;596.0;12.0;79.2;8.8
39;Mannen en vrouwen;20 tot 25 jaar;2001;599.0;68.0;480.0;51.0;599.0;11.4;80.1;8.5
40;Mannen en vrouwen;20 tot 25 jaar;2002;605.0;63.0;496.0;46.0;605.0;10.5;81.9;7.6
41;Mannen en vrouwen;20 tot 25 jaar;2003;578.0;69.0;471.0;38.0;578.0;11.9;81.5;6.6
42;Mannen en vrouwen;20 tot 25 jaar;2004;548.0;79.0;427.0;42.0;548.0;14.4;78.0;7.6
43;Mannen en vrouwen;20 tot 25 jaar;2005;541.0;88.0;415.0;37.0;541.0;16.4;76.8;6.8
44;Mannen en vrouwen;20 tot 25 jaar;2006;546.0;84.0;424.0;38.0;546.0;15.4;77.7;6.9
45;Mannen en vrouwen;25 tot 30 jaar;1992;935.0;72.0;764.0;99.0;935.0;7.7;81.8;10.5
46;Mannen en vrouwen;25 tot 30 jaar;1993;940.0;72.0;768.0;100.0;940.0;7.6;81.7;10.7
47;Mannen en vrouwen;25 tot 30 jaar;1994;902.0;75.0;730.0;97.0;902.0;8.4;80.9;10.7
48;Mannen en vrouwen;25 tot 30 jaar;1995;917.0;90.0;738.0;89.0;917.0;9.8;80.5;9.8
49;Mannen en vrouwen;25 tot 30 jaar;1996;925.0;87.0;739.0;99.0;925.0;9.5;79.9;10.7
50;Mannen en vrouwen;25 tot 30 jaar;1997;938.0;87.0;749.0;102.0;938.0;9.2;79.9;10.9
51;Mannen en vrouwen;25 tot 30 jaar;1998;965.0;85.0;769.0;110.0;965.0;8.8;79.7;11.4
52;Mannen en vrouwen;25 tot 30 jaar;1999;941.0;77.0;759.0;105.0;941.0;8.2;80.7;11.2
53;Mannen en vrouwen;25 tot 30 jaar;2000;886.0;69.0;713.0;104.0;886.0;7.8;80.5;11.7
54;Mannen en vrouwen;25 tot 30 jaar;2001;843.0;51.0;693.0;99.0;843.0;6.1;82.2;11.7
55;Mannen en vrouwen;25 tot 30 jaar;2002;790.0;57.0;645.0;88.0;790.0;7.2;81.7;11.1
56;Mannen en vrouwen;25 tot 30 jaar;2003;774.0;58.0;640.0;76.0;774.0;7.5;82.7;9.8
57;Mannen en vrouwen;25 tot 30 jaar;2004;744.0;62.0;612.0;70.0;744.0;8.4;82.3;9.3
58;Mannen en vrouwen;25 tot 30 jaar;2005;749.0;80.0;600.0;70.0;749.0;10.6;80.0;9.3
59;Mannen en vrouwen;25 tot 30 jaar;2006;752.0;79.0;611.0;62.0;752.0;10.5;81.2;8.2
60;Mannen en vrouwen;30 tot 35 jaar;1992;808.0;51.0;672.0;85.0;808.0;6.3;83.1;10.6
61;Mannen en vrouwen;30 tot 35 jaar;1993;815.0;51.0;667.0;97.0;815.0;6.2;81.9;11.9
62;Mannen en vrouwen;30 tot 35 jaar;1994;824.0;55.0;678.0;91.0;824.0;6.7;82.3;11.0
63;Mannen en vrouwen;30 tot 35 jaar;1995;853.0;62.0;693.0;98.0;853.0;7.3;81.3;11.5
64;Mannen en vrouwen;30 tot 35 jaar;1996;881.0;61.0;708.0;112.0;881.0;6.9;80.4;12.7
65;Mannen en vrouwen;30 tot 35 jaar;1997;897.0;60.0;724.0;113.0;897.0;6.6;80.8;12.6
66;Mannen en vrouwen;30 tot 35 jaar;1998;926.0;59.0;740.0;128.0;926.0;6.3;79.9;13.8
67;Mannen en vrouwen;30 tot 35 jaar;1999;938.0;51.0;754.0;132.0;938.0;5.4;80.5;14.1
68;Mannen en vrouwen;30 tot 35 jaar;2000;957.0;56.0;772.0;130.0;957.0;5.8;80.6;13.6
69;Mannen en vrouwen;30 tot 35 jaar;2001;955.0;47.0;782.0;126.0;955.0;5.0;81.9;13.2
70;Mannen en vrouwen;30 tot 35 jaar;2002;938.0;41.0;786.0;111.0;938.0;4.4;83.8;11.9
71;Mannen en vrouwen;30 tot 35 jaar;2003;907.0;50.0;751.0;106.0;907.0;5.5;82.8;11.7
72;Mannen en vrouwen;30 tot 35 jaar;2004;880.0;53.0;733.0;94.0;880.0;6.1;83.3;10.6
73;Mannen en vrouwen;30 tot 35 jaar;2005;838.0;60.0;686.0;92.0;838.0;7.2;81.9;10.9
74;Mannen en vrouwen;30 tot 35 jaar;2006;806.0;63.0;667.0;76.0;806.0;7.8;82.8;9.4
75;Mannen en vrouwen;35 tot 40 jaar;1992;718.0;47.0;600.0;71.0;718.0;6.5;83.6;9.9
76;Mannen en vrouwen;35 tot 40 jaar;1993;716.0;48.0;593.0;75.0;716.0;6.7;82.8;10.5
77;Mannen en vrouwen;35 tot 40 jaar;1994;736.0;52.0;612.0;72.0;736.0;7.1;83.2;9.7
78;Mannen en vrouwen;35 tot 40 jaar;1995;761.0;54.0;631.0;76.0;761.0;7.1;82.9;10.0
79;Mannen en vrouwen;35 tot 40 jaar;1996;783.0;51.0;643.0;89.0;783.0;6.6;82.1;11.4
80;Mannen en vrouwen;35 tot 40 jaar;1997;803.0;57.0;665.0;81.0;803.0;7.1;82.8;10.1
81;Mannen en vrouwen;35 tot 40 jaar;1998;841.0;52.0;684.0;106.0;841.0;6.2;81.2;12.6
82;Mannen en vrouwen;35 tot 40 jaar;1999;858.0;58.0;704.0;95.0;858.0;6.8;82.1;11.1
83;Mannen en vrouwen;35 tot 40 jaar;2000;892.0;54.0;735.0;103.0;892.0;6.1;82.4;11.6
84;Mannen en vrouwen;35 tot 40 jaar;2001;905.0;48.0;748.0;109.0;905.0;5.3;82.6;12.1
85;Mannen en vrouwen;35 tot 40 jaar;2002;908.0;51.0;770.0;87.0;908.0;5.7;84.8;9.5
86;Mannen en vrouwen;35 tot 40 jaar;2003;888.0;50.0;751.0;88.0;888.0;5.6;84.5;9.9
87;Mannen en vrouwen;35 tot 40 jaar;2004;873.0;53.0;741.0;79.0;873.0;6.0;84.9;9.1
88;Mannen en vrouwen;35 tot 40 jaar;2005;881.0;65.0;737.0;78.0;881.0;7.4;83.7;8.9
89;Mannen en vrouwen;35 tot 40 jaar;2006;878.0;66.0;737.0;75.0;878.0;7.5;84.0;8.5
90;Mannen en vrouwen;40 tot 45 jaar;1992;691.0;38.0;597.0;56.0;691.0;5.5;86.4;8.1
91;Mannen en vrouwen;40 tot 45 jaar;1993;682.0;37.0;587.0;58.0;682.0;5.4;86.0;8.6
92;Mannen en vrouwen;40 tot 45 jaar;1994;667.0;40.0;567.0;59.0;667.0;6.0;85.0;8.9
93;Mannen en vrouwen;40 tot 45 jaar;1995;692.0;44.0;585.0;62.0;692.0;6.4;84.6;9.0
94;Mannen en vrouwen;40 tot 45 jaar;1996;704.0;44.0;589.0;72.0;704.0;6.2;83.6;10.2
95;Mannen en vrouwen;40 tot 45 jaar;1997;728.0;49.0;600.0;79.0;728.0;6.7;82.4;10.8
96;Mannen en vrouwen;40 tot 45 jaar;1998;755.0;46.0;628.0;81.0;755.0;6.2;83.2;10.7
97;Mannen en vrouwen;40 tot 45 jaar;1999;790.0;42.0;660.0;88.0;790.0;5.4;83.5;11.2
98;Mannen en vrouwen;40 tot 45 jaar;2000;814.0;47.0;681.0;85.0;814.0;5.8;83.7;10.5
99;Mannen en vrouwen;40 tot 45 jaar;2001;854.0;44.0;724.0;86.0;854.0;5.2;84.8;10.1
100;Mannen en vrouwen;40 tot 45 jaar;2002;851.0;44.0;726.0;82.0;851.0;5.1;85.3;9.6
101;Mannen en vrouwen;40 tot 45 jaar;2003;864.0;53.0;736.0;74.0;864.0;6.1;85.3;8.6
102;Mannen en vrouwen;40 tot 45 jaar;2004;851.0;59.0;728.0;63.0;851.0;7.0;85.6;7.4
103;Mannen en vrouwen;40 tot 45 jaar;2005;848.0;68.0;717.0;62.0;848.0;8.0;84.6;7.3
104;Mannen en vrouwen;40 tot 45 jaar;2006;863.0;70.0;741.0;51.0;863.0;8.2;85.9;5.9
105;Mannen en vrouwen;45 tot 50 jaar;1992;575.0;22.0;505.0;48.0;575.0;3.9;87.8;8.3
106;Mannen en vrouwen;45 tot 50 jaar;1993;621.0;26.0;538.0;58.0;621.0;4.2;86.6;9.3
107;Mannen en vrouwen;45 tot 50 jaar;1994;634.0;30.0;542.0;62.0;634.0;4.8;85.5;9.7
108;Mannen en vrouwen;45 tot 50 jaar;1995;683.0;32.0;578.0;72.0;683.0;4.7;84.7;10.6
109;Mannen en vrouwen;45 tot 50 jaar;1996;667.0;35.0;559.0;73.0;667.0;5.2;83.8;10.9
110;Mannen en vrouwen;45 tot 50 jaar;1997;681.0;37.0;570.0;74.0;681.0;5.4;83.7;10.9
111;Mannen en vrouwen;45 tot 50 jaar;1998;682.0;34.0;574.0;74.0;682.0;5.0;84.1;10.9
112;Mannen en vrouwen;45 tot 50 jaar;1999;706.0;36.0;593.0;77.0;706.0;5.1;83.9;11.0
113;Mannen en vrouwen;45 tot 50 jaar;2000;716.0;36.0;601.0;80.0;716.0;5.0;83.9;11.1
114;Mannen en vrouwen;45 tot 50 jaar;2001;745.0;34.0;636.0;74.0;745.0;4.6;85.4;9.9
115;Mannen en vrouwen;45 tot 50 jaar;2002;773.0;41.0;663.0;69.0;773.0;5.3;85.8;8.9
116;Mannen en vrouwen;45 tot 50 jaar;2003;780.0;41.0;679.0;61.0;780.0;5.2;87.0;7.8
117;Mannen en vrouwen;45 tot 50 jaar;2004;787.0;48.0;674.0;65.0;787.0;6.1;85.7;8.2
118;Mannen en vrouwen;45 tot 50 jaar;2005;785.0;56.0;667.0;61.0;785.0;7.2;85.0;7.8
119;Mannen en vrouwen;45 tot 50 jaar;2006;802.0;64.0;684.0;54.0;802.0;8.0;85.2;6.8
120;Mannen en vrouwen;50 tot 55 jaar;1992;372.0;9.0;315.0;48.0;372.0;2.4;84.7;12.9
121;Mannen en vrouwen;50 tot 55 jaar;1993;395.0;11.0;333.0;51.0;395.0;2.8;84.4;12.9
122;Mannen en vrouwen;50 tot 55 jaar;1994;403.0;12.0;334.0;57.0;403.0;3.0;82.9;14.1
123;Mannen en vrouwen;50 tot 55 jaar;1995;431.0;14.0;353.0;64.0;431.0;3.3;81.9;14.9
124;Mannen en vrouwen;50 tot 55 jaar;1996;477.0;17.0;391.0;69.0;477.0;3.5;82.0;14.5
125;Mannen en vrouwen;50 tot 55 jaar;1997;512.0;16.0;422.0;75.0;512.0;3.0;82.4;14.6
126;Mannen en vrouwen;50 tot 55 jaar;1998;596.0;15.0;495.0;86.0;596.0;2.5;83.1;14.4
127;Mannen en vrouwen;50 tot 55 jaar;1999;629.0;16.0;520.0;93.0;629.0;2.6;82.6;14.8
128;Mannen en vrouwen;50 tot 55 jaar;2000;635.0;21.0;526.0;88.0;635.0;3.3;82.9;13.8
129;Mannen en vrouwen;50 tot 55 jaar;2001;670.0;22.0;550.0;97.0;670.0;3.3;82.1;14.5
130;Mannen en vrouwen;50 tot 55 jaar;2002;658.0;17.0;559.0;83.0;658.0;2.6;84.9;12.6
131;Mannen en vrouwen;50 tot 55 jaar;2003;654.0;22.0;561.0;72.0;654.0;3.3;85.7;11.0
132;Mannen en vrouwen;50 tot 55 jaar;2004;651.0;26.0;564.0;61.0;651.0;4.0;86.7;9.4
133;Mannen en vrouwen;50 tot 55 jaar;2005;659.0;28.0;567.0;64.0;659.0;4.3;86.0;9.7
134;Mannen en vrouwen;50 tot 55 jaar;2006;689.0;39.0;590.0;61.0;689.0;5.6;85.6;8.8
135;Mannen en vrouwen;55 tot 60 jaar;1992;217.0;3.0;174.0;40.0;217.0;1.4;80.2;18.4
136;Mannen en vrouwen;55 tot 60 jaar;1993;212.0;3.0;160.0;49.0;212.0;1.5;75.5;23.0
137;Mannen en vrouwen;55 tot 60 jaar;1994;223.0;4.0;166.0;53.0;223.0;1.8;74.4;23.8
138;Mannen en vrouwen;55 tot 60 jaar;1995;230.0;3.0;179.0;48.0;230.0;1.2;77.9;20.9
139;Mannen en vrouwen;55 tot 60 jaar;1996;237.0;5.0;184.0;48.0;237.0;2.0;77.6;20.3
140;Mannen en vrouwen;55 tot 60 jaar;1997;260.0;4.0;205.0;51.0;260.0;1.6;78.8;19.6
141;Mannen en vrouwen;55 tot 60 jaar;1998;282.0;3.0;216.0;62.0;282.0;1.1;76.7;22.2
142;Mannen en vrouwen;55 tot 60 jaar;1999;315.0;4.0;250.0;62.0;315.0;1.2;79.2;19.6
143;Mannen en vrouwen;55 tot 60 jaar;2000;343.0;6.0;266.0;70.0;343.0;1.8;77.7;20.5
144;Mannen en vrouwen;55 tot 60 jaar;2001;382.0;5.0;300.0;77.0;382.0;1.4;78.6;20.0
145;Mannen en vrouwen;55 tot 60 jaar;2002;439.0;7.0;357.0;75.0;439.0;1.6;81.3;17.1
146;Mannen en vrouwen;55 tot 60 jaar;2003;469.0;9.0;381.0;79.0;469.0;1.9;81.3;16.8
147;Mannen en vrouwen;55 tot 60 jaar;2004;492.0;8.0;403.0;81.0;492.0;1.7;81.9;16.4
148;Mannen en vrouwen;55 tot 60 jaar;2005;521.0;12.0;423.0;85.0;521.0;2.3;81.3;16.4
149;Mannen en vrouwen;55 tot 60 jaar;2006;548.0;17.0;458.0;73.0;548.0;3.2;83.5;13.4
150;Mannen en vrouwen;60 tot 65 jaar;1992;41.0;;32.0;8.0;41.0;;79.4;19.8
151;Mannen en vrouwen;60 tot 65 jaar;1993;34.0;;24.0;9.0;34.0;;71.1;26.9
152;Mannen en vrouwen;60 tot 65 jaar;1994;40.0;;27.0;12.0;40.0;;66.7;31.1
153;Mannen en vrouwen;60 tot 65 jaar;1995;40.0;;28.0;11.0;40.0;;70.8;28.2
154;Mannen en vrouwen;60 tot 65 jaar;1996;38.0;;27.0;11.0;38.0;;71.1;28.2
155;Mannen en vrouwen;60 tot 65 jaar;1997;39.0;;27.0;12.0;39.0;;69.5;30.2
156;Mannen en vrouwen;60 tot 65 jaar;1998;49.0;;34.0;14.0;49.0;;69.4;29.0
157;Mannen en vrouwen;60 tot 65 jaar;1999;57.0;;38.0;19.0;57.0;;66.5;32.9
158;Mannen en vrouwen;60 tot 65 jaar;2000;67.0;;48.0;18.0;67.0;;71.7;27.6
159;Mannen en vrouwen;60 tot 65 jaar;2001;72.0;;51.0;19.0;72.0;;71.5;26.6
160;Mannen en vrouwen;60 tot 65 jaar;2002;83.0;;60.0;22.0;83.0;;72.5;26.2
161;Mannen en vrouwen;60 tot 65 jaar;2003;91.0;;67.0;24.0;91.0;;73.1;25.7
162;Mannen en vrouwen;60 tot 65 jaar;2004;103.0;2.0;72.0;29.0;103.0;1.6;70.0;28.4
163;Mannen en vrouwen;60 tot 65 jaar;2005;100.0;2.0;72.0;26.0;100.0;2.2;71.7;26.1
164;Mannen en vrouwen;60 tot 65 jaar;2006;127.0;3.0;96.0;28.0;127.0;2.0;75.7;22.3
165;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;1992;;;;;;;;
166;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;1993;;;;;;;;
167;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;1994;;;;;;;;
168;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;1995;;;;;;;;
169;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;1996;724.0;41.0;598.0;85.0;724.0;5.6;82.6;11.8
170;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;1997;727.0;42.0;595.0;90.0;727.0;5.7;81.8;12.4
171;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;1998;796.0;38.0;652.0;105.0;796.0;4.8;82.0;13.2
172;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;1999;795.0;42.0;653.0;101.0;795.0;5.2;82.0;12.7
173;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;2000;837.0;41.0;677.0;119.0;837.0;4.9;80.9;14.2
174;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;2001;841.0;37.0;692.0;112.0;841.0;4.4;82.3;13.3
175;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;2002;855.0;33.0;728.0;94.0;855.0;3.8;85.2;11.0
176;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;2003;853.0;38.0;721.0;94.0;853.0;4.5;84.6;11.0
177;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;2004;848.0;40.0;717.0;90.0;848.0;4.7;84.7;10.6
178;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;2005;840.0;50.0;701.0;90.0;840.0;5.9;83.4;10.7
179;Mannen en vrouwen;25 tot 50 jarigen jongste kind 0-3 jaar;2006;823.0;50.0;694.0;79.0;823.0;6.1;84.4;9.5
180;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;1992;;;;;;;;
181;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;1993;;;;;;;;
182;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;1994;;;;;;;;
183;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;1995;;;;;;;;
184;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;1996;679.0;47.0;580.0;52.0;679.0;6.9;85.5;7.6
185;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;1997;729.0;55.0;611.0;62.0;729.0;7.5;83.9;8.6
186;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;1998;749.0;54.0;628.0;66.0;749.0;7.3;83.9;8.8
187;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;1999;779.0;50.0;661.0;69.0;779.0;6.4;84.8;8.9
188;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;2000;812.0;56.0;682.0;74.0;812.0;6.9;84.0;9.1
189;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;2001;837.0;48.0;717.0;72.0;837.0;5.7;85.7;8.7
190;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;2002;856.0;50.0;740.0;67.0;856.0;5.8;86.4;7.8
191;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;2003;855.0;57.0;736.0;62.0;855.0;6.7;86.1;7.2
192;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;2004;835.0;63.0;715.0;57.0;835.0;7.6;85.6;6.8
193;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;2005;856.0;78.0;725.0;53.0;856.0;9.1;84.7;6.1
194;Mannen en vrouwen;25 tot 50 jarigen jongste kind 4-11 jaar;2006;874.0;76.0;748.0;50.0;874.0;8.7;85.6;5.7
195;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;1992;;;;;;;;
196;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;1993;;;;;;;;
197;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;1994;;;;;;;;
198;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;1995;;;;;;;;
199;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;1996;427.0;35.0;357.0;36.0;427.0;8.1;83.5;8.5
200;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;1997;417.0;31.0;349.0;37.0;417.0;7.5;83.6;8.9
201;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;1998;431.0;32.0;359.0;40.0;431.0;7.5;83.3;9.2
202;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;1999;432.0;28.0;369.0;35.0;432.0;6.5;85.3;8.2
203;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;2000;425.0;30.0;356.0;39.0;425.0;7.0;83.8;9.2
204;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;2001;460.0;29.0;392.0;39.0;460.0;6.2;85.3;8.5
205;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;2002;449.0;31.0;385.0;33.0;449.0;6.9;85.8;7.4
206;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;2003;460.0;33.0;397.0;30.0;460.0;7.2;86.4;6.5
207;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;2004;445.0;38.0;380.0;28.0;445.0;8.4;85.3;6.2
208;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;2005;440.0;44.0;370.0;26.0;440.0;10.0;84.1;5.9
209;Mannen en vrouwen;25 tot 50 jarigen jongste kind 12-17 jr;2006;440.0;47.0;370.0;23.0;440.0;10.7;84.2;5.1
210;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;1992;;;;;;;;
211;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;1993;;;;;;;;
212;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;1994;;;;;;;;
213;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;1995;;;;;;;;
214;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;1996;229.0;15.0;193.0;21.0;229.0;6.6;84.1;9.3
215;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;1997;216.0;14.0;182.0;21.0;216.0;6.4;84.1;9.5
216;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;1998;202.0;12.0;172.0;18.0;202.0;5.9;85.2;8.9
217;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;1999;202.0;15.0;168.0;20.0;202.0;7.2;83.1;9.7
218;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;2000;198.0;12.0;166.0;21.0;198.0;6.1;83.5;10.4
219;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;2001;207.0;10.0;179.0;19.0;207.0;4.8;86.2;9.0
220;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;2002;203.0;13.0;174.0;16.0;203.0;6.2;85.9;7.9
221;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;2003;200.0;9.0;177.0;14.0;200.0;4.5;88.7;6.9
222;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;2004;195.0;16.0;166.0;13.0;195.0;8.1;85.4;6.5
223;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;2005;184.0;15.0;159.0;10.0;184.0;8.1;86.4;5.5
224;Mannen en vrouwen;25 tot 50 jarigen meerderjarige kinderen;2006;185.0;17.0;158.0;10.0;185.0;9.0;85.6;5.4
225;Mannen en vrouwen;25 tot 50 jarigen zonder kinderen;1992;;;;;;;;
