ID;Geslacht;Leeftijden;TypeZorg;RegioS;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Drenthe (PV);2008;22185;5.75;5186;234;13.43
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Drenthe (PV);2009;22620;5.83;4961;219;12.78
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Drenthe (PV);2010;23660;6.07;4570;193;11.73
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overijssel (PV);2004;48015;5.61;7195;150;8.4
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overijssel (PV);2005;46830;5.45;7135;152;8.3
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overijssel (PV);2006;47825;5.54;7669;160;8.89
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overijssel (PV);2007;48020;5.55;7756;162;8.97
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overijssel (PV);2008;50190;5.75;8058;161;9.24
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overijssel (PV);2009;50635;5.76;8789;174;10.0
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overijssel (PV);2010;49230;5.57;8488;172;9.61
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Flevoland (PV);2004;10470;3.97;1308;125;4.97
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Flevoland (PV);2005;10260;3.83;1342;131;5.0
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Flevoland (PV);2006;10340;3.8;1413;137;5.19
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Flevoland (PV);2007;10230;3.71;1453;142;5.27
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Flevoland (PV);2008;10375;3.68;1513;146;5.37
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Flevoland (PV);2009;10910;3.8;1653;151;5.76
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Flevoland (PV);2010;10660;3.67;1595;150;5.49
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gelderland (PV);2004;73195;4.77;11250;154;7.34
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gelderland (PV);2005;72070;4.68;11387;158;7.4
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gelderland (PV);2006;73520;4.76;12067;164;7.82
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gelderland (PV);2007;74460;4.81;12153;163;7.86
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gelderland (PV);2008;76015;4.88;12471;164;8.0
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gelderland (PV);2009;76790;4.9;12975;169;8.27
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gelderland (PV);2010;78280;4.97;13490;172;8.56
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Utrecht (PV);2004;36580;4.04;5391;147;5.96
50;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Utrecht (PV);2005;36190;3.97;5493;152;6.02
51;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Utrecht (PV);2006;37635;4.1;5544;147;6.03
52;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Utrecht (PV);2007;37245;4.02;5471;147;5.91
53;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Utrecht (PV);2008;37635;4.01;5383;143;5.74
54;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Utrecht (PV);2009;37535;3.96;5562;148;5.87
55;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Utrecht (PV);2010;39130;4.09;5918;151;6.19
56;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Holland (PV);2004;91990;4.51;12276;133;6.02
57;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Holland (PV);2005;89715;4.38;12395;138;6.06
58;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Holland (PV);2006;90430;4.41;12874;142;6.28
59;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Holland (PV);2007;89530;4.36;12698;142;6.19
60;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Holland (PV);2008;89680;4.32;12694;142;6.11
61;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Holland (PV);2009;88635;4.22;12836;145;6.12
62;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Holland (PV);2010;90630;4.28;13445;148;6.35
63;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zuid-Holland (PV);2004;128925;4.77;18724;145;6.93
64;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zuid-Holland (PV);2005;124130;4.59;18758;151;6.93
65;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zuid-Holland (PV);2006;126835;4.69;19717;155;7.29
66;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zuid-Holland (PV);2007;126070;4.66;19361;154;7.16
67;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zuid-Holland (PV);2008;125560;4.59;19083;152;6.98
68;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zuid-Holland (PV);2009;124390;4.52;19247;155;6.99
69;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zuid-Holland (PV);2010;125485;4.53;20199;161;7.29
70;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeeland (PV);2004;17765;5.95;2508;141;8.4
71;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeeland (PV);2005;17580;5.87;2509;143;8.38
72;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeeland (PV);2006;17765;5.92;2667;150;8.88
73;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeeland (PV);2007;18385;6.12;2787;152;9.28
74;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeeland (PV);2008;18435;6.1;2860;155;9.46
75;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeeland (PV);2009;18410;6.06;3044;165;10.03
76;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeeland (PV);2010;18725;6.14;3248;173;10.66
77;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Brabant (PV);2004;81365;4.31;10419;128;5.52
78;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Brabant (PV);2005;80380;4.24;10819;135;5.71
79;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Brabant (PV);2006;81615;4.29;11562;142;6.08
80;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Brabant (PV);2007;84325;4.43;11945;142;6.27
81;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Brabant (PV);2008;87700;4.56;12450;142;6.48
82;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Brabant (PV);2009;89090;4.6;13022;146;6.73
83;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Noord-Brabant (PV);2010;89400;4.59;13325;149;6.84
84;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Limburg (PV);2004;47415;5.19;6930;146;7.59
85;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Limburg (PV);2005;47175;5.17;7017;149;7.69
86;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Limburg (PV);2006;48395;5.31;7465;154;8.19
87;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Limburg (PV);2007;48275;5.31;7575;157;8.33
88;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Limburg (PV);2008;50135;5.49;7850;157;8.59
89;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Limburg (PV);2009;50250;5.48;8098;161;8.83
90;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Limburg (PV);2010;51470;5.6;8435;164;9.17
91;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2004;169795;1.33;16552;97;1.3
92;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2005;219245;1.71;24001;109;1.88
93;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2006;234270;1.83;26167;112;2.04
94;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2007;237020;1.85;26770;113;2.09
95;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2008;240110;1.85;27481;114;2.12
96;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2009;243535;1.87;28900;119;2.21
97;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2010;242320;1.84;29442;122;2.24
98;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Groningen (PV);2004;7090;1.54;733;103;1.59
99;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Groningen (PV);2005;7740;1.68;821;106;1.78
100;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Groningen (PV);2006;7805;1.69;827;106;1.79
101;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Groningen (PV);2007;8025;1.74;888;111;1.92
102;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Groningen (PV);2008;8195;1.76;951;116;2.05
103;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Groningen (PV);2009;8495;1.82;1057;124;2.27
104;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Groningen (PV);2010;8490;1.81;1037;122;2.21
105;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Friesland (PV);2004;6325;1.26;597;94;1.19
106;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Friesland (PV);2005;7295;1.45;784;107;1.56
107;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Friesland (PV);2006;8860;1.76;1014;114;2.02
108;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Friesland (PV);2007;9390;1.87;1101;117;2.19
109;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Friesland (PV);2008;9675;1.91;1138;118;2.25
110;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Friesland (PV);2009;9770;1.92;1177;120;2.31
111;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Friesland (PV);2010;9750;1.91;1158;119;2.27
112;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Drenthe (PV);2004;7245;1.91;808;111;2.13
113;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Drenthe (PV);2005;8540;2.25;1058;124;2.78
114;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Drenthe (PV);2006;8390;2.2;1054;126;2.76
115;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Drenthe (PV);2007;8760;2.29;1091;125;2.85
116;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Drenthe (PV);2008;8825;2.29;1118;127;2.9
117;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Drenthe (PV);2009;8630;2.22;1130;131;2.91
118;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Drenthe (PV);2010;9040;2.32;1217;135;3.13
119;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overijssel (PV);2004;14225;1.66;1455;102;1.7
120;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overijssel (PV);2005;17800;2.07;1985;112;2.31
121;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overijssel (PV);2006;18320;2.12;2119;116;2.46
122;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overijssel (PV);2007;18225;2.11;2132;117;2.46
123;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overijssel (PV);2008;19130;2.19;2257;118;2.59
124;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overijssel (PV);2009;18990;2.16;2445;129;2.78
125;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overijssel (PV);2010;16945;1.92;2208;130;2.5
126;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Flevoland (PV);2004;3325;1.26;300;90;1.14
127;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Flevoland (PV);2005;4010;1.49;415;104;1.55
128;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Flevoland (PV);2006;4030;1.48;420;104;1.54
129;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Flevoland (PV);2007;4095;1.48;441;108;1.6
130;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Flevoland (PV);2008;4185;1.49;456;109;1.62
131;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Flevoland (PV);2009;4140;1.44;477;115;1.66
132;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Flevoland (PV);2010;3795;1.31;442;116;1.52
133;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Gelderland (PV);2004;16945;1.1;1709;101;1.11
134;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Gelderland (PV);2005;26760;1.74;3061;114;1.99
135;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Gelderland (PV);2006;27420;1.78;3182;116;2.06
136;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Gelderland (PV);2007;27650;1.79;3246;117;2.1
137;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Gelderland (PV);2008;27240;1.75;3242;119;2.08
138;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Gelderland (PV);2009;27365;1.74;3370;123;2.15
139;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Gelderland (PV);2010;27360;1.74;3451;126;2.19
140;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Utrecht (PV);2004;10090;1.11;879;87;0.97
141;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Utrecht (PV);2005;13260;1.45;1319;99;1.45
142;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Utrecht (PV);2006;15295;1.66;1563;102;1.7
143;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Utrecht (PV);2007;15180;1.64;1566;103;1.69
144;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Utrecht (PV);2008;14845;1.58;1535;103;1.64
145;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Utrecht (PV);2009;14725;1.55;1588;108;1.67
146;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Utrecht (PV);2010;15210;1.59;1672;110;1.75
147;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Holland (PV);2004;27050;1.33;2391;88;1.17
148;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Holland (PV);2005;31710;1.55;3094;98;1.51
149;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Holland (PV);2006;36455;1.78;3654;100;1.78
150;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Holland (PV);2007;37220;1.81;3786;102;1.84
151;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Holland (PV);2008;37550;1.81;3894;104;1.87
152;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Holland (PV);2009;38210;1.82;4128;108;1.97
153;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Holland (PV);2010;39385;1.86;4362;111;2.06
154;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zuid-Holland (PV);2004;36370;1.35;3397;93;1.26
155;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zuid-Holland (PV);2005;50115;1.85;5496;110;2.03
156;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zuid-Holland (PV);2006;52675;1.95;5838;111;2.16
157;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zuid-Holland (PV);2007;52360;1.94;5765;110;2.13
158;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zuid-Holland (PV);2008;51450;1.88;5671;110;2.08
159;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zuid-Holland (PV);2009;52315;1.9;5849;112;2.12
160;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zuid-Holland (PV);2010;52370;1.89;6188;118;2.23
161;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zeeland (PV);2004;4095;1.37;414;101;1.39
162;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zeeland (PV);2005;5705;1.91;649;114;2.17
163;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zeeland (PV);2006;6275;2.09;743;118;2.47
164;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zeeland (PV);2007;6310;2.1;744;118;2.48
165;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zeeland (PV);2008;6290;2.08;766;122;2.53
166;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zeeland (PV);2009;6225;2.05;798;128;2.63
167;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Zeeland (PV);2010;6540;2.15;876;134;2.87
168;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Brabant (PV);2004;23720;1.26;2322;98;1.23
169;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Brabant (PV);2005;28780;1.52;3115;108;1.64
170;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Brabant (PV);2006;30380;1.6;3385;111;1.78
171;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Brabant (PV);2007;32110;1.69;3635;113;1.91
172;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Brabant (PV);2008;34095;1.77;3937;115;2.05
173;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Brabant (PV);2009;35835;1.85;4260;119;2.2
174;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Noord-Brabant (PV);2010;34235;1.76;4184;122;2.15
175;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Limburg (PV);2004;13320;1.46;1547;116;1.7
176;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Limburg (PV);2005;17525;1.92;2204;126;2.41
177;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Limburg (PV);2006;18360;2.01;2367;129;2.6
178;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Limburg (PV);2007;17690;1.95;2374;134;2.61
179;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Limburg (PV);2008;18625;2.04;2516;135;2.75
180;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Limburg (PV);2009;18840;2.05;2622;139;2.86
181;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Limburg (PV);2010;19205;2.09;2646;138;2.88
182;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2004;39710;0.31;6533;165;0.51
183;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2005;29425;0.23;4735;161;0.37
184;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2006;31910;0.25;4035;126;0.31
185;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2007;48000;0.37;4672;97;0.36
186;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2008;67705;0.52;5904;87;0.46
187;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2009;80775;0.62;7040;87;0.54
188;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2010;94740;0.72;7909;83;0.6
189;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Groningen (PV);2004;940;0.2;132;140;0.29
190;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Groningen (PV);2005;1040;0.23;123;118;0.27
191;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Groningen (PV);2006;1295;0.28;60;46;0.13
192;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Groningen (PV);2007;1775;0.38;86;48;0.19
193;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Groningen (PV);2008;3115;0.67;223;72;0.48
194;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Groningen (PV);2009;3370;0.72;272;81;0.58
195;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Groningen (PV);2010;3825;0.82;324;85;0.69
196;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Friesland (PV);2004;1560;0.31;116;74;0.23
197;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Friesland (PV);2005;1730;0.34;111;64;0.22
198;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Friesland (PV);2006;1695;0.34;99;58;0.2
199;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Friesland (PV);2007;2735;0.54;179;65;0.36
200;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Friesland (PV);2008;3690;0.73;290;79;0.57
201;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Friesland (PV);2009;4180;0.82;336;80;0.66
202;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Friesland (PV);2010;4615;0.9;398;86;0.78
203;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Drenthe (PV);2004;1520;0.4;2599;1711;6.85
204;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Drenthe (PV);2005;1025;0.27;2452;2394;6.45
205;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Drenthe (PV);2006;1445;0.38;2035;1406;5.33
206;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Drenthe (PV);2007;2385;0.62;1875;786;4.89
207;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Drenthe (PV);2008;3060;0.79;1563;511;4.05
208;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Drenthe (PV);2009;3445;0.89;1357;394;3.5
209;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Drenthe (PV);2010;3505;0.9;707;202;1.81
210;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overijssel (PV);2004;3745;0.44;640;171;0.75
211;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overijssel (PV);2005;2745;0.32;419;153;0.49
212;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overijssel (PV);2006;2815;0.33;379;134;0.44
213;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overijssel (PV);2007;4245;0.49;536;126;0.62
214;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overijssel (PV);2008;5710;0.65;600;105;0.69
215;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overijssel (PV);2009;6780;0.77;769;114;0.88
216;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overijssel (PV);2010;9010;1.02;1006;112;1.14
217;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Flevoland (PV);2004;585;0.22;51;87;0.19
218;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Flevoland (PV);2005;410;0.15;7;17;0.03
219;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Flevoland (PV);2006;455;0.17;9;19;0.03
220;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Flevoland (PV);2007;625;0.23;21;34;0.08
221;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Flevoland (PV);2008;835;0.3;35;42;0.13
222;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Flevoland (PV);2009;1080;0.38;59;55;0.21
223;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Flevoland (PV);2010;1370;0.47;82;60;0.28
224;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Gelderland (PV);2004;6240;0.41;1142;183;0.74
225;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Gelderland (PV);2005;3920;0.25;605;154;0.39
