ID;Leeftijd;Migratieachtergrond;VerblijfsduurInNederland;Perioden;k_1eGeneratieMigratieachtergrondTotaal_1;k_1eGeneratieMigratieachtergrondMan_2;k_1eGeneratieMigratieachtergrondVrouw_3
117;Totaal;Totaal;6 jaar;2008;60291;29217;31074
118;Totaal;Totaal;6 jaar;2009;52882;24686;28196
119;Totaal;Totaal;6 jaar;2010;46349;21218;25131
120;Totaal;Totaal;6 jaar;2011;40709;18483;22226
121;Totaal;Totaal;6 jaar;2012;38090;17734;20356
122;Totaal;Totaal;6 jaar;2013;39503;19115;20388
123;Totaal;Totaal;6 jaar;2014;46047;23282;22765
124;Totaal;Totaal;6 jaar;2015;55927;28719;27208
125;Totaal;Totaal;6 jaar;2016;55916;27883;28033
126;Totaal;Totaal;6 jaar;2017;55901;27279;28622
127;Totaal;Totaal;6 jaar;2018;58238;28608;29630
128;Totaal;Totaal;7 jaar;2003;46193;23593;22600
129;Totaal;Totaal;7 jaar;2004;52596;25792;26804
130;Totaal;Totaal;7 jaar;2005;52234;25740;26494
131;Totaal;Totaal;7 jaar;2006;55493;26846;28647
132;Totaal;Totaal;7 jaar;2007;52573;25456;27117
133;Totaal;Totaal;7 jaar;2008;59728;28843;30885
134;Totaal;Totaal;7 jaar;2009;57128;27395;29733
135;Totaal;Totaal;7 jaar;2010;50114;23085;27029
136;Totaal;Totaal;7 jaar;2011;43813;19830;23983
137;Totaal;Totaal;7 jaar;2012;38691;17395;21296
138;Totaal;Totaal;7 jaar;2013;35738;16401;19337
139;Totaal;Totaal;7 jaar;2014;36945;17700;19245
140;Totaal;Totaal;7 jaar;2015;43429;21752;21677
141;Totaal;Totaal;7 jaar;2016;52706;26893;25813
142;Totaal;Totaal;7 jaar;2017;52525;25919;26606
143;Totaal;Totaal;7 jaar;2018;52893;25621;27272
144;Totaal;Totaal;8 jaar;2003;43091;21991;21100
145;Totaal;Totaal;8 jaar;2004;44361;22513;21848
146;Totaal;Totaal;8 jaar;2005;50260;24452;25808
147;Totaal;Totaal;8 jaar;2006;49387;24103;25284
148;Totaal;Totaal;8 jaar;2007;52053;24856;27197
149;Totaal;Totaal;8 jaar;2008;49763;23854;25909
150;Totaal;Totaal;8 jaar;2009;56875;27206;29669
151;Totaal;Totaal;8 jaar;2010;54684;26012;28672
152;Totaal;Totaal;8 jaar;2011;47660;21668;25992
153;Totaal;Totaal;8 jaar;2012;41864;18763;23101
154;Totaal;Totaal;8 jaar;2013;36785;16392;20393
155;Totaal;Totaal;8 jaar;2014;33831;15383;18448
156;Totaal;Totaal;8 jaar;2015;35064;16653;18411
157;Totaal;Totaal;8 jaar;2016;41470;20599;20871
158;Totaal;Totaal;8 jaar;2017;50175;25473;24702
159;Totaal;Totaal;8 jaar;2018;50114;24537;25577
160;Totaal;Totaal;9 jaar;2003;51922;25747;26175
161;Totaal;Totaal;9 jaar;2004;41427;20993;20434
162;Totaal;Totaal;9 jaar;2005;42572;21456;21116
163;Totaal;Totaal;9 jaar;2006;48015;23166;24849
164;Totaal;Totaal;9 jaar;2007;46780;22564;24216
165;Totaal;Totaal;9 jaar;2008;49602;23462;26140
166;Totaal;Totaal;9 jaar;2009;47651;22664;24987
167;Totaal;Totaal;9 jaar;2010;54769;26007;28762
168;Totaal;Totaal;9 jaar;2011;52498;24779;27719
169;Totaal;Totaal;9 jaar;2012;45741;20634;25107
170;Totaal;Totaal;9 jaar;2013;40190;17878;22312
171;Totaal;Totaal;9 jaar;2014;35149;15526;19623
172;Totaal;Totaal;9 jaar;2015;32343;14592;17751
173;Totaal;Totaal;9 jaar;2016;33575;15826;17749
174;Totaal;Totaal;9 jaar;2017;39733;19589;20144
175;Totaal;Totaal;9 jaar;2018;48187;24301;23886
176;Totaal;Totaal;10 jaar;2003;46205;22682;23523
177;Totaal;Totaal;10 jaar;2004;50308;24777;25531
178;Totaal;Totaal;10 jaar;2005;39803;20050;19753
179;Totaal;Totaal;10 jaar;2006;40890;20453;20437
180;Totaal;Totaal;10 jaar;2007;45843;21912;23931
181;Totaal;Totaal;10 jaar;2008;44797;21396;23401
182;Totaal;Totaal;10 jaar;2009;47569;22332;25237
183;Totaal;Totaal;10 jaar;2010;45909;21738;24171
184;Totaal;Totaal;10 jaar;2011;52865;24960;27905
185;Totaal;Totaal;10 jaar;2012;50562;23705;26857
186;Totaal;Totaal;10 jaar;2013;43906;19632;24274
187;Totaal;Totaal;10 jaar;2014;38643;17067;21576
188;Totaal;Totaal;10 jaar;2015;33821;14800;19021
189;Totaal;Totaal;10 jaar;2016;31162;13965;17197
190;Totaal;Totaal;10 jaar;2017;32307;15117;17190
191;Totaal;Totaal;10 jaar;2018;38403;18802;19601
192;Totaal;Totaal;11 jaar;2003;44707;22144;22563
193;Totaal;Totaal;11 jaar;2004;44981;21964;23017
194;Totaal;Totaal;11 jaar;2005;48529;23759;24770
