ID;Perioden;TotaalVastgoedbeleggingen_1;TotaalDirectVastgoed_2;Woningen_3;KantorenEnWinkels_4;OverigBinnenland_5;Buitenland_6;TotaalIndirectVastgoed_7;IndirectVastgoedWaarvanBuitenland_8;TotaalVastgoedbeleggingen_9;TotaalDirectVastgoed_10;Woningen_11;KantorenEnWinkels_12;OverigBinnenland_13;Buitenland_14;TotaalIndirectVastgoed_15;IndirectVastgoedWaarvanBuitenland_16;TotaalVastgoedbeleggingen_17;TotaalDirectVastgoed_18;Woningen_19;KantorenEnWinkels_20;OverigBinnenland_21;Buitenland_22;TotaalIndirectVastgoed_23;IndirectVastgoedWaarvanBuitenland_24;TotaalVastgoedbeleggingen_25;TotaalDirectVastgoed_26;Woningen_27;KantorenEnWinkels_28;OverigBinnenland_29;Buitenland_30;TotaalIndirectVastgoed_31;IndirectVastgoedWaarvanBuitenland_32
10;2005;106.3;60.6;18.7;23.3;2.3;16.4;45.6;28.5;62.9;22.9;13.6;7.5;1.0;0.8;40.0;25.5;16.2;13.2;4.1;7.0;0.8;1.3;3.0;0.6;27.2;24.5;1.0;8.7;0.6;14.2;2.7;2.4
11;2006;122.1;61.3;15.4;24.3;2.3;19.3;60.8;38.6;73.8;19.8;9.9;8.1;1.0;0.9;54.0;34.8;17.6;14.2;4.6;7.1;0.8;1.7;3.4;0.7;30.7;27.3;0.9;9.1;0.6;16.7;3.5;3.0
12;2007;108.9;50.9;16.7;18.0;2.4;13.8;58.0;36.8;71.8;19.2;10.9;6.8;1.1;0.4;52.6;34.1;16.0;12.7;4.7;5.5;0.8;1.7;3.2;0.7;21.2;19.0;1.2;5.7;0.4;11.7;2.2;2.0
13;2008 voor revisie;98.8;48.5;15.4;16.9;2.2;14.0;50.4;31.6;62.2;17.0;9.7;6.0;1.1;0.2;45.2;28.9;15.3;12.9;4.9;5.5;0.8;1.7;2.3;0.5;21.4;18.6;0.8;5.4;0.3;12.0;2.8;2.1
14;2008 na revisie;102.0;51.6;23.2;;27.3;1.2;50.4;31.6;61.6;16.4;9.5;;6.6;0.2;45.2;28.9;10.9;8.6;4.2;;4.3;0.1;2.3;0.5;29.4;26.6;9.4;;16.3;1.0;2.8;2.1
15;2009;121.4;49.5;22.4;;26.1;1.0;71.9;38.5;65.0;15.8;9.0;;6.6;0.1;49.2;18.7;11.2;8.7;4.2;;4.4;0.1;2.4;0.6;45.2;25.0;9.1;;15.0;0.9;20.2;19.2
16;2010;141.6;48.0;21.1;;25.8;1.2;93.6;48.6;74.3;9.5;4.2;;5.1;0.2;64.8;23.2;10.0;7.4;3.1;;4.2;0.0;2.6;0.7;57.2;31.1;13.7;;16.5;0.9;26.1;24.6
17;2011;155.9;47.4;19.5;;26.8;1.2;108.5;50.1;77.9;9.3;3.9;;5.1;0.2;68.6;14.8;8.9;6.2;3.0;;3.2;0.0;2.7;0.7;69.1;31.9;12.6;;18.4;0.9;37.2;34.5
18;2012;166.3;45.9;19.3;;25.6;1.0;120.5;57.2;82.1;8.8;4.1;;4.6;0.1;73.4;15.6;8.5;6.0;2.8;;3.1;0.0;2.6;0.7;75.7;31.2;12.4;;17.9;0.8;44.5;40.9
19;2013;163.9;43.6;18.7;;24.1;0.8;120.3;56.5;82.8;8.5;3.7;;4.7;0.1;74.3;16.1;8.0;5.4;2.4;;2.9;0.0;2.6;0.7;73.0;29.7;12.6;;16.5;0.6;43.4;39.6
20;2014;194.7;41.2;18.0;;22.4;0.8;153.4;71.7;99.9;7.7;3.6;;4.1;0.1;92.2;17.2;8.0;5.2;2.4;;2.8;0.0;2.9;0.9;86.7;28.4;12.1;;15.6;0.7;58.3;53.6
21;2015;212.8;42.7;19.5;;22.3;0.9;170.1;81.1;109.8;7.5;3.6;;3.9;0.1;102.3;19.4;7.9;4.6;2.4;;2.2;0.0;3.3;0.9;95.1;30.6;13.5;;16.2;0.8;64.6;60.7
22;2016;228.2;44.9;22.4;;21.7;0.8;183.3;87.0;117.9;8.0;3.9;;4.1;0.0;109.9;21.0;8.4;4.9;2.5;;2.3;0.0;3.5;0.0;101.8;32.0;15.9;;15.3;0.7;69.9;66.0
