ID;EnergySourcesTechniques;Periods;NumberOfSystemsNewlyInstalled_1;NumberOfSystemsDecommissioned_2;NumberOfSystemsAtTheEndOfYear_3;ElectricalPowerNewlyInstalled_4;ElectricalPowerDecommissioned_5;ElectricalPowerAtTheEndOfTheYear_6;ThermalPowerNewlyInstalled_7;ThermalPowerDecommissioned_8;ThermalPowerAtTheEndOfTheYear_9;SolarPanelsNewlyInstalled_10;SolarPanelsDecommissioned_11;SolarPanelsAtTheEndOfTheYear_12;ElectricalInKWh_13;ElectricalInTotElectricityCons_14;Thermal_15;BiogasForUsefulFinalUse_16;ProductionOfBiogas_17;FlaredBiogas_18;EnergeticUseOfBiomass_19
17;Total energy sources;2007;;;;;;;;;;;;;7118.0;6.01;;1091.0;8040.0;;85517.0
18;Total energy sources;2008;;;;;;;;;;;;;8931.0;7.46;;1006.0;10211.0;;99669.0
19;Total energy sources;2009;;;;;;;;;;;;;10147.0;8.91;;1081.0;11921.0;;113250.0
20;Total energy sources;2010;;;;;;;;;;;;;10442.0;8.93;;989.0;12886.0;;114433.0
21;Total energy sources;2011;;;;;;;;;;;;;11534.0;9.78;;1017.0;12829.0;;117922.0
22;Total energy sources;2012;;;;;;;;;;;;;11758.0;10.16;;1549.0;12932.0;;122168.0
23;Total energy sources;2013;;;;;;;;;;;;;;;;;;;
24;Hydro power;1990;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;85.0;0.11;;;;;
25;Hydro power;1991;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;104.0;0.13;;;;;
26;Hydro power;1992;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;120.0;0.14;;;;;
27;Hydro power;1993;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;92.0;0.11;;;;;
28;Hydro power;1994;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;100.0;0.11;;;;;
29;Hydro power;1995;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;88.0;0.1;;;;;
30;Hydro power;1996;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;80.0;0.09;;;;;
31;Hydro power;1997;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;92.0;0.1;;;;;
32;Hydro power;1998;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;112.0;0.11;;;;;
33;Hydro power;1999;0.0;0.0;5.0;0.0;0.0;37.0;;;;;;;90.0;0.09;;;;;
34;Hydro power;2000;1.0;0.0;6.0;0.0;0.0;37.0;;;;;;;142.0;0.14;;;;;
35;Hydro power;2001;0.0;0.0;6.0;0.0;0.0;37.0;;;;;;;117.0;0.11;;;;;
36;Hydro power;2002;0.0;0.0;6.0;0.0;0.0;37.0;;;;;;;110.0;0.1;;;;;
37;Hydro power;2003;0.0;0.0;6.0;0.0;0.0;37.0;;;;;;;72.0;0.07;;;;;
38;Hydro power;2004;0.0;0.0;6.0;0.0;0.0;37.0;;;;;;;95.0;0.08;;;;;
39;Hydro power;2005;0.0;0.0;6.0;0.0;0.0;37.0;;;;;;;88.0;0.08;;;;;
40;Hydro power;2006;0.0;0.0;6.0;0.0;0.0;37.0;;;;;;;106.0;0.09;;;;;
41;Hydro power;2007;0.0;0.0;6.0;0.0;0.0;37.0;;;;;;;107.0;0.09;;;;;
42;Hydro power;2008;0.0;0.0;6.0;0.0;0.0;37.0;;;;;;;102.0;0.09;;;;;
43;Hydro power;2009;0.0;0.0;6.0;0.0;0.0;37.0;;;;;;;98.0;0.09;;;;;
44;Hydro power;2010;1.0;0.0;7.0;0.0;0.0;37.0;;;;;;;105.0;0.09;;;;;
45;Hydro power;2011;0.0;0.0;7.0;0.0;0.0;37.0;;;;;;;57.0;0.05;;;;;
46;Hydro power;2012;0.0;0.0;7.0;0.0;0.0;37.0;;;;;;;104.0;0.09;;;;;
47;Hydro power;2013;;;;;;;;;;;;;;;;;;;
48;Wind energy, total;1990;70.0;;323.0;15.0;;50.0;;;;;;;56.0;0.07;;;;;
49;Wind energy, total;1991;143.0;37.0;429.0;41.0;8.0;83.0;;;;;;;88.0;0.11;;;;;
50;Wind energy, total;1992;88.0;20.0;497.0;22.0;4.0;101.0;;;;;;;147.0;0.18;;;;;
51;Wind energy, total;1993;145.0;9.0;633.0;30.0;0.0;131.0;;;;;;;174.0;0.21;;;;;
52;Wind energy, total;1994;106.0;15.0;724.0;23.0;1.0;152.0;;;;;;;238.0;0.27;;;;;
53;Wind energy, total;1995;336.0;52.0;1008.0;109.0;12.0;250.0;;;;;;;317.0;0.36;;;;;
54;Wind energy, total;1996;131.0;24.0;1115.0;48.0;2.0;296.0;;;;;;;437.0;0.47;;;;;
55;Wind energy, total;1997;89.0;56.0;1148.0;43.0;14.0;324.0;;;;;;;475.0;0.5;;;;;
56;Wind energy, total;1998;62.0;17.0;1193.0;42.0;3.0;363.0;;;;;;;640.0;0.64;;;;;
57;Wind energy, total;1999;70.0;10.0;1253.0;48.0;1.0;410.0;;;;;;;645.0;0.63;;;;;
58;Wind energy, total;2000;47.0;9.0;1291.0;38.0;1.0;447.0;;;;;;;829.0;0.79;;;;;
59;Wind energy, total;2001;60.0;9.0;1342.0;40.0;2.0;485.0;;;;;;;825.0;0.77;;;;;
60;Wind energy, total;2002;153.0;41.0;1454.0;201.0;14.0;672.0;;;;;;;947.0;0.87;;;;;
61;Wind energy, total;2003;200.0;56.0;1598.0;243.0;10.0;905.0;;;;;;;1320.0;1.2;;;;;
62;Wind energy, total;2004;168.0;112.0;1654.0;204.0;35.0;1075.0;;;;;;;1871.0;1.63;;;;;
63;Wind energy, total;2005;125.0;69.0;1710.0;166.0;17.0;1224.0;;;;;;;2067.0;1.81;;;;;
64;Wind energy, total;2006;157.0;37.0;1830.0;348.0;11.0;1561.0;;;;;;;2734.0;2.35;;;;;
65;Wind energy, total;2007;123.0;62.0;1891.0;211.0;23.0;1749.0;;;;;;;3438.0;2.9;;;;;
66;Wind energy, total;2008;191.0;44.0;2038.0;416.0;16.0;2149.0;;;;;;;4260.0;3.56;;;;;
67;Wind energy, total;2009;52.0;118.0;1972.0;110.0;36.0;2222.0;;;;;;;4581.0;4.02;;;;;
68;Wind energy, total;2010;28.0;27.0;1973.0;30.0;15.0;2237.0;;;;;;;3993.0;3.42;;;;;
69;Wind energy, total;2011;47.0;42.0;1978.0;98.0;20.0;2316.0;;;;;;;5100.0;4.33;;;;;
70;Wind energy, total;2012;65.0;65.0;1978.0;161.0;44.0;2433.0;;;;;;;4982.0;4.31;;;;;
71;Wind energy, total;2013;;;;;;;;;;;;;;;;;;;
72;Wind energy on shore;1990;70.0;;323.0;15.0;;50.0;;;;;;;56.0;0.07;;;;;
73;Wind energy on shore;1991;143.0;37.0;429.0;41.0;8.0;83.0;;;;;;;88.0;0.11;;;;;
74;Wind energy on shore;1992;88.0;20.0;497.0;22.0;4.0;101.0;;;;;;;147.0;0.18;;;;;
75;Wind energy on shore;1993;145.0;9.0;633.0;30.0;0.0;131.0;;;;;;;174.0;0.21;;;;;
76;Wind energy on shore;1994;106.0;15.0;724.0;23.0;1.0;152.0;;;;;;;238.0;0.27;;;;;
77;Wind energy on shore;1995;336.0;52.0;1008.0;109.0;12.0;250.0;;;;;;;317.0;0.36;;;;;
78;Wind energy on shore;1996;131.0;24.0;1115.0;48.0;2.0;296.0;;;;;;;437.0;0.47;;;;;
79;Wind energy on shore;1997;89.0;56.0;1148.0;43.0;14.0;324.0;;;;;;;475.0;0.5;;;;;
80;Wind energy on shore;1998;62.0;17.0;1193.0;42.0;3.0;363.0;;;;;;;640.0;0.64;;;;;
81;Wind energy on shore;1999;70.0;10.0;1253.0;48.0;1.0;410.0;;;;;;;645.0;0.63;;;;;
82;Wind energy on shore;2000;47.0;9.0;1291.0;38.0;1.0;447.0;;;;;;;829.0;0.79;;;;;
83;Wind energy on shore;2001;60.0;9.0;1342.0;40.0;2.0;485.0;;;;;;;825.0;0.77;;;;;
84;Wind energy on shore;2002;153.0;41.0;1454.0;201.0;14.0;672.0;;;;;;;947.0;0.87;;;;;
85;Wind energy on shore;2003;200.0;56.0;1598.0;243.0;10.0;905.0;;;;;;;1320.0;1.2;;;;;
86;Wind energy on shore;2004;168.0;112.0;1654.0;204.0;35.0;1075.0;;;;;;;1871.0;1.63;;;;;
87;Wind energy on shore;2005;125.0;69.0;1710.0;166.0;17.0;1224.0;;;;;;;2067.0;1.81;;;;;
88;Wind energy on shore;2006;121.0;37.0;1794.0;240.0;11.0;1453.0;;;;;;;2666.0;2.3;;;;;
89;Wind energy on shore;2007;123.0;62.0;1855.0;211.0;23.0;1641.0;;;;;;;3108.0;2.62;;;;;
90;Wind energy on shore;2008;131.0;44.0;1942.0;296.0;16.0;1921.0;;;;;;;3664.0;3.06;;;;;
91;Wind energy on shore;2009;52.0;118.0;1876.0;110.0;36.0;1994.0;;;;;;;3846.0;3.38;;;;;
92;Wind energy on shore;2010;28.0;27.0;1877.0;30.0;15.0;2009.0;;;;;;;3315.0;2.83;;;;;
93;Wind energy on shore;2011;47.0;42.0;1882.0;98.0;20.0;2088.0;;;;;;;4298.0;3.65;;;;;
94;Wind energy on shore;2012;65.0;65.0;1882.0;161.0;44.0;2205.0;;;;;;;4193.0;3.62;;;;;
95;Wind energy on shore;2013;;;;;;;;;;;;;;;;;;;
96;Wind energy off shore;1990;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
97;Wind energy off shore;1991;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
98;Wind energy off shore;1992;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
99;Wind energy off shore;1993;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
100;Wind energy off shore;1994;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
101;Wind energy off shore;1995;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
102;Wind energy off shore;1996;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
103;Wind energy off shore;1997;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
104;Wind energy off shore;1998;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
105;Wind energy off shore;1999;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
106;Wind energy off shore;2000;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
107;Wind energy off shore;2001;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
108;Wind energy off shore;2002;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
109;Wind energy off shore;2003;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
110;Wind energy off shore;2004;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
111;Wind energy off shore;2005;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;;;;;
112;Wind energy off shore;2006;36.0;0.0;36.0;108.0;0.0;108.0;;;;;;;68.0;0.06;;;;;
113;Wind energy off shore;2007;0.0;0.0;36.0;0.0;0.0;108.0;;;;;;;330.0;0.28;;;;;
114;Wind energy off shore;2008;60.0;0.0;96.0;120.0;0.0;228.0;;;;;;;596.0;0.5;;;;;
115;Wind energy off shore;2009;0.0;0.0;96.0;0.0;0.0;228.0;;;;;;;735.0;0.65;;;;;
116;Wind energy off shore;2010;0.0;0.0;96.0;0.0;0.0;228.0;;;;;;;679.0;0.58;;;;;
117;Wind energy off shore;2011;0.0;0.0;96.0;0.0;0.0;228.0;;;;;;;802.0;0.68;;;;;
118;Wind energy off shore;2012;0.0;0.0;96.0;0.0;0.0;228.0;;;;;;;789.0;0.68;;;;;
119;Wind energy off shore;2013;;;;;;;;;;;;;;;;;;;
120;Solar energy, total;1990;;;;;;1.0;;;;;;;0.0;0.0;;;;;
121;Solar energy, total;1991;;;;0.0;0.0;1.0;;;;;;;0.0;0.0;;;;;
122;Solar energy, total;1992;;;;0.0;0.0;1.0;;;;;;;1.0;0.0;;;;;
123;Solar energy, total;1993;;;;0.0;0.0;2.0;;;;;;;1.0;0.0;;;;;
124;Solar energy, total;1994;;;;0.0;0.0;2.0;;;;;;;1.0;0.0;;;;;
125;Solar energy, total;1995;;;;0.0;0.0;2.0;;;;;;;1.0;0.0;;;;;
126;Solar energy, total;1996;;;;1.0;0.0;3.0;;;;;;;2.0;0.0;;;;;
127;Solar energy, total;1997;;;;1.0;0.0;4.0;;;;;;;2.0;0.0;;;;;
128;Solar energy, total;1998;;;;2.0;0.0;6.0;;;;;;;4.0;0.0;;;;;
129;Solar energy, total;1999;;;;3.0;0.0;9.0;;;;;;;5.0;0.01;;;;;
130;Solar energy, total;2000;;;;4.0;0.0;13.0;;;;;;;8.0;0.01;;;;;
131;Solar energy, total;2001;;;;8.0;0.0;21.0;;;;;;;13.0;0.01;;;;;
132;Solar energy, total;2002;;;;6.0;0.0;26.0;;;;;;;17.0;0.02;;;;;
133;Solar energy, total;2003;;;;20.0;0.0;46.0;;;;;;;31.0;0.03;;;;;
134;Solar energy, total;2004;;;;4.0;0.0;49.0;;;;;;;33.0;0.03;;;;;
135;Solar energy, total;2005;;;;2.0;0.0;51.0;;;;;;;34.0;0.03;;;;;
136;Solar energy, total;2006;;;;2.0;0.0;52.0;;;;;;;35.0;0.03;;;;;
137;Solar energy, total;2007;;;;1.0;0.0;53.0;;;;;;;36.0;0.03;;;;;
138;Solar energy, total;2008;;;;4.0;0.0;57.0;;;;;;;38.0;0.03;;;;;
139;Solar energy, total;2009;;;;11.0;0.0;68.0;;;;;;;46.0;0.04;;;;;
140;Solar energy, total;2010;;;;21.0;0.0;88.0;;;;;;;60.0;0.05;;;;;
141;Solar energy, total;2011;;;;58.0;1.0;145.0;;;;;;;100.0;0.09;;;;;
142;Solar energy, total;2012;;;;220.0;1.0;365.0;;;;;;;254.0;0.22;;;;;
143;Solar energy, total;2013;;;;360.0;2.0;722.0;;;;;;;;;;;;;
144;Solar photovoltaic, total;1990;;;;;;1.0;;;;;;;0.0;0.0;;;;;
145;Solar photovoltaic, total;1991;;0.0;;0.0;0.0;1.0;;;;;0.0;;0.0;0.0;;;;;
146;Solar photovoltaic, total;1992;;0.0;;0.0;0.0;1.0;;;;;0.0;;1.0;0.0;;;;;
147;Solar photovoltaic, total;1993;;0.0;;0.0;0.0;2.0;;;;;0.0;;1.0;0.0;;;;;
148;Solar photovoltaic, total;1994;;0.0;;0.0;0.0;2.0;;;;;0.0;;1.0;0.0;;;;;
149;Solar photovoltaic, total;1995;;0.0;;0.0;0.0;2.0;;;;;0.0;;1.0;0.0;;;;;
150;Solar photovoltaic, total;1996;;0.0;;1.0;0.0;3.0;;;;;0.0;;2.0;0.0;;;;;
151;Solar photovoltaic, total;1997;;0.0;;1.0;0.0;4.0;;;;;0.0;;2.0;0.0;;;;;
152;Solar photovoltaic, total;1998;;0.0;;2.0;0.0;6.0;;;;;0.0;;4.0;0.0;;;;;
153;Solar photovoltaic, total;1999;;0.0;;3.0;0.0;9.0;;;;;0.0;;5.0;0.01;;;;;
154;Solar photovoltaic, total;2000;;0.0;;4.0;0.0;13.0;;;;;0.0;;8.0;0.01;;;;;
155;Solar photovoltaic, total;2001;;0.0;;8.0;0.0;21.0;;;;;0.0;;13.0;0.01;;;;;
156;Solar photovoltaic, total;2002;;0.0;;6.0;0.0;26.0;;;;;0.0;;17.0;0.02;;;;;
157;Solar photovoltaic, total;2003;;;;20.0;0.0;46.0;;;;;;;31.0;0.03;;;;;
158;Solar photovoltaic, total;2004;;;;4.0;0.0;49.0;;;;;;;33.0;0.03;;;;;
159;Solar photovoltaic, total;2005;;;;2.0;0.0;51.0;;;;;;;34.0;0.03;;;;;
160;Solar photovoltaic, total;2006;;;;2.0;0.0;52.0;;;;;;;35.0;0.03;;;;;
161;Solar photovoltaic, total;2007;;;;1.0;0.0;53.0;;;;;;;36.0;0.03;;;;;
162;Solar photovoltaic, total;2008;;;;4.0;0.0;57.0;;;;;;;38.0;0.03;;;;;
163;Solar photovoltaic, total;2009;;;;11.0;0.0;68.0;;;;;;;46.0;0.04;;;;;
164;Solar photovoltaic, total;2010;;;;21.0;0.0;88.0;;;;;;;60.0;0.05;;;;;
165;Solar photovoltaic, total;2011;;;;58.0;1.0;145.0;;;;;;;100.0;0.09;;;;;
166;Solar photovoltaic, total;2012;;;;220.0;1.0;365.0;;;;;;;254.0;0.22;;;;;
167;Solar photovoltaic, total;2013;;;;360.0;2.0;722.0;;;;;;;;;;;;;
168;Solar photovoltaic, autonomous;1990;;;;;;1.0;;;;;;;0.0;0.0;;;;;
169;Solar photovoltaic, autonomous;1991;;0.0;;0.0;0.0;1.0;;;;;0.0;;0.0;0.0;;;;;
170;Solar photovoltaic, autonomous;1992;;0.0;;0.0;0.0;1.0;;;;;0.0;;0.0;0.0;;;;;
171;Solar photovoltaic, autonomous;1993;;0.0;;0.0;0.0;2.0;;;;;0.0;;1.0;0.0;;;;;
172;Solar photovoltaic, autonomous;1994;;0.0;;0.0;0.0;2.0;;;;;0.0;;1.0;0.0;;;;;
173;Solar photovoltaic, autonomous;1995;;0.0;;0.0;0.0;2.0;;;;;0.0;;1.0;0.0;;;;;
174;Solar photovoltaic, autonomous;1996;;0.0;;0.0;0.0;3.0;;;;;0.0;;1.0;0.0;;;;;
175;Solar photovoltaic, autonomous;1997;;0.0;;0.0;0.0;3.0;;;;;0.0;;1.0;0.0;;;;;
176;Solar photovoltaic, autonomous;1998;;0.0;;0.0;0.0;3.0;;;;;0.0;;1.0;0.0;;;;;
177;Solar photovoltaic, autonomous;1999;;0.0;;0.0;0.0;4.0;;;;;0.0;;2.0;0.0;;;;;
178;Solar photovoltaic, autonomous;2000;;0.0;;0.0;0.0;4.0;;;;;0.0;;2.0;0.0;;;;;
179;Solar photovoltaic, autonomous;2001;;0.0;;0.0;0.0;4.0;;;;;0.0;;2.0;0.0;;;;;
180;Solar photovoltaic, autonomous;2002;;0.0;;0.0;0.0;5.0;;;;;0.0;;2.0;0.0;;;;;
181;Solar photovoltaic, autonomous;2003;;;;0.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
182;Solar photovoltaic, autonomous;2004;;;;0.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
183;Solar photovoltaic, autonomous;2005;;;;0.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
184;Solar photovoltaic, autonomous;2006;;;;0.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
185;Solar photovoltaic, autonomous;2007;;;;1.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
186;Solar photovoltaic, autonomous;2008;;;;0.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
187;Solar photovoltaic, autonomous;2009;;;;0.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
188;Solar photovoltaic, autonomous;2010;;;;0.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
189;Solar photovoltaic, autonomous;2011;;;;0.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
190;Solar photovoltaic, autonomous;2012;;;;1.0;0.0;5.0;;;;;;;2.0;0.0;;;;;
191;Solar photovoltaic, autonomous;2013;;;;;;;;;;;;;;;;;;;
192;Solar pv, grid conn., energy companies;1990;;;;;;0.0;;;;;;;0.0;0.0;;;;;
193;Solar pv, grid conn., energy companies;1991;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
194;Solar pv, grid conn., energy companies;1992;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
195;Solar pv, grid conn., energy companies;1993;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
196;Solar pv, grid conn., energy companies;1994;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
197;Solar pv, grid conn., energy companies;1995;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
198;Solar pv, grid conn., energy companies;1996;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
199;Solar pv, grid conn., energy companies;1997;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
200;Solar pv, grid conn., energy companies;1998;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
201;Solar pv, grid conn., energy companies;1999;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
202;Solar pv, grid conn., energy companies;2000;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
203;Solar pv, grid conn., energy companies;2001;;0.0;;2.0;0.0;2.0;;;;;0.0;;2.0;0.0;;;;;
204;Solar pv, grid conn., energy companies;2002;;0.0;;0.0;0.0;2.0;;;;;0.0;;2.0;0.0;;;;;
205;Solar pv, grid conn., energy companies;2003;;;;0.0;0.0;2.0;;;;;;;2.0;0.0;;;;;
206;Solar pv, grid conn., energy companies;2004;;;;1.0;0.0;3.0;;;;;;;2.0;0.0;;;;;
207;Solar pv, grid conn., energy companies;2005;;;;0.0;0.0;3.0;;;;;;;2.0;0.0;;;;;
208;Solar pv, grid conn., energy companies;2006;;;;0.0;0.0;3.0;;;;;;;2.0;0.0;;;;;
209;Solar pv, grid conn., energy companies;2007;;;;0.0;0.0;3.0;;;;;;;2.0;0.0;;;;;
210;Solar pv, grid conn., energy companies;2008;;;;0.0;0.0;4.0;;;;;;;2.0;0.0;;;;;
211;Solar pv, grid conn., energy companies;2009;;;;1.0;0.0;4.0;;;;;;;3.0;0.0;;;;;
212;Solar pv, grid conn., energy companies;2010;;;;1.0;0.0;5.0;;;;;;;4.0;0.0;;;;;
213;Solar pv, grid conn., energy companies;2011;;;;6.0;0.0;11.0;;;;;;;8.0;0.01;;;;;
214;Solar pv, grid conn., energy companies;2012;;;;4.0;0.0;15.0;;;;;;;11.0;0.01;;;;;
215;Solar pv, grid conn., energy companies;2013;;;;;;;;;;;;;;;;;;;
216;Solar pv, grid connected, others;1990;;;;;;0.0;;;;;;;0.0;0.0;;;;;
217;Solar pv, grid connected, others;1991;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
218;Solar pv, grid connected, others;1992;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
219;Solar pv, grid connected, others;1993;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
220;Solar pv, grid connected, others;1994;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
221;Solar pv, grid connected, others;1995;;0.0;;0.0;0.0;0.0;;;;;0.0;;0.0;0.0;;;;;
222;Solar pv, grid connected, others;1996;;0.0;;0.0;0.0;1.0;;;;;0.0;;1.0;0.0;;;;;
223;Solar pv, grid connected, others;1997;;0.0;;0.0;0.0;1.0;;;;;0.0;;1.0;0.0;;;;;
224;Solar pv, grid connected, others;1998;;0.0;;2.0;0.0;3.0;;;;;0.0;;2.0;0.0;;;;;
225;Solar pv, grid connected, others;1999;;0.0;;2.0;0.0;5.0;;;;;0.0;;4.0;0.0;;;;;
226;Solar pv, grid connected, others;2000;;0.0;;3.0;0.0;8.0;;;;;0.0;;6.0;0.01;;;;;
227;Solar pv, grid connected, others;2001;;0.0;;5.0;0.0;14.0;;;;;0.0;;10.0;0.01;;;;;
228;Solar pv, grid connected, others;2002;;0.0;;6.0;0.0;19.0;;;;;0.0;;13.0;0.01;;;;;
229;Solar pv, grid connected, others;2003;;;;20.0;0.0;39.0;;;;;;;27.0;0.02;;;;;
230;Solar pv, grid connected, others;2004;;;;2.0;0.0;41.0;;;;;;;29.0;0.03;;;;;
231;Solar pv, grid connected, others;2005;;;;1.0;0.0;43.0;;;;;;;30.0;0.03;;;;;
232;Solar pv, grid connected, others;2006;;;;1.0;0.0;44.0;;;;;;;31.0;0.03;;;;;
233;Solar pv, grid connected, others;2007;;;;1.0;0.0;44.0;;;;;;;31.0;0.03;;;;;
234;Solar pv, grid connected, others;2008;;;;4.0;0.0;48.0;;;;;;;34.0;0.03;;;;;
235;Solar pv, grid connected, others;2009;;;;10.0;0.0;58.0;;;;;;;41.0;0.04;;;;;
236;Solar pv, grid connected, others;2010;;;;20.0;0.0;78.0;;;;;;;54.0;0.05;;;;;
237;Solar pv, grid connected, others;2011;;;;53.0;0.0;130.0;;;;;;;91.0;0.08;;;;;
238;Solar pv, grid connected, others;2012;;;;215.0;0.0;345.0;;;;;;;241.0;0.21;;;;;
239;Solar pv, grid connected, others;2013;;;;;;;;;;;;;;;;;;;
240;Solar thermal, total;1990;;;;;;;;;;12.0;1.0;76.0;;;;;;;
241;Solar thermal, total;1991;;;;;;;;;;15.0;5.0;87.0;;;;;;;
242;Solar thermal, total;1992;;;;;;;;;;21.0;3.0;105.0;;;;;;;
243;Solar thermal, total;1993;;;;;;;;;;19.0;4.0;119.0;;;;;;;
244;Solar thermal, total;1994;;;;;;;;;;22.0;2.0;139.0;;;;;;;
245;Solar thermal, total;1995;;;;;;;;;;26.0;3.0;162.0;;;;;;;
246;Solar thermal, total;1996;;;;;;;;;;29.0;4.0;187.0;;;;;;;
247;Solar thermal, total;1997;;;;;;;;;;42.0;6.0;224.0;;;;;;;
248;Solar thermal, total;1998;;;;;;;;;;46.0;5.0;264.0;;;;;;;
