ID;Perioden;SaldoLopRekBbpDriejarengem_1;NettoExternVermogenAlsBbp_2;ReeleWisselkoers3Jaarsmutatie_3;ReeleWisselkoersIndex_4;AandeelWereldhandel5Jaarsmutatie_5;AandeelWereldhandel_6;ArbeidskostPerEenhPr3Jaarsmut_7;ArbeidskostenPerEenheidProductIndex_8;ReeleHuizenprijsindex_9;KredietstroomPrivateSectorAlsBbp_10;KredietstroomHuishoudensAlsBbp_11;KredietstroomNietFinVennootschBbp_12;SchuldPrivateSectorAlsBbp_13;SchuldHuishoudensAlsBbp_14;SchuldNietFinVennootschappenAlsBbp_15;OverheidsschuldEMUSchuldAlsBbp_16;Werkloosheid3JaarsGemiddelde_17;TotalePassivaFinancieleSector_18;BrArbeidspart1564Jr3JaarsMut_19;BrutoArbeidsparticipatie1564Jaar_20;LangdurigeWerkloosheid3JaarsmutPunt_21;Jeugdwerkloosheid3JaarsmutInPunt_22;JeugdwerkloosheidBeroepsbevolking_23
37;2013 3e kwartaal;9.4;28.3;-1.2;99.8;-11.1;3.1;5.2;105.2;-8.7;8.1;-0.4;8.4;256.4;116.6;139.8;67.8;6.8;-0.5;1.4;79.3;1.2;1.6;12.8
38;2013 4e kwartaal;9.5;30.7;0.4;100.4;-10.8;3.1;4.8;104.8;-7.9;9.7;-1.4;11.1;256.6;115.1;141.5;67.7;7.0;-1.6;1.5;79.4;1.3;2.1;13.2
39;2013;9.5;30.7;0.4;100.4;-10.8;3.1;4.8;104.8;-7.9;9.7;-1.4;11.1;256.6;115.1;141.5;67.7;7.0;-1.6;1.5;79.4;1.3;2.1;13.2
40;2014 1e kwartaal;9.6;28.1;1.5;100.8;-11.1;3.1;4.5;104.6;-6.1;9.1;-1.0;10.1;257.2;114.5;142.7;67.1;7.3;0.2;1.4;79.3;1.4;2.8;13.5
41;2014 2e kwartaal;9.7;31.9;1.5;101.0;-11.1;3.1;4.3;104.5;-3.5;8.5;-0.7;9.2;259.5;114.0;145.5;68.6;7.5;3.0;1.4;79.2;1.5;3.3;13.5
42;2014 3e kwartaal;9.7;36.2;1.0;100.7;-12.5;3.1;4.0;104.5;-1.8;6.1;-1.4;7.5;260.3;113.4;146.8;68.1;7.6;6.5;1.2;79.1;1.4;3.2;13.2
43;2014 4e kwartaal;9.4;44.5;0.8;100.4;-13.6;3.1;3.7;104.9;-0.1;4.2;-0.6;4.8;266.0;113.2;152.7;67.9;7.8;8.0;1.0;79.0;1.5;2.8;12.8
44;2014;9.4;44.5;0.8;100.4;-13.6;3.1;3.7;104.9;-0.1;4.2;-0.6;4.8;266.0;113.2;152.7;67.9;7.8;8.0;1.0;79.0;1.5;2.8;12.8
45;2015 1e kwartaal;9.8;60.4;0.0;99.4;-11.9;3.1;2.7;104.6;1.5;5.6;-0.2;5.7;270.6;113.2;157.4;68.9;7.9;12.8;0.8;79.2;1.5;1.8;12.1
46;2015 2e kwartaal;8.3;45.9;-0.7;98.2;-9.4;3.0;1.6;104.2;2.1;3.2;0.1;3.0;267.9;112.4;155.5;66.7;8.0;6.3;0.7;79.4;1.4;0.8;11.7
47;2015 3e kwartaal;8.1;50.0;-0.5;97.6;-6.7;3.0;0.6;103.9;2.8;2.0;0.6;1.4;264.7;111.7;153.0;65.8;8.1;4.3;0.6;79.6;1.3;0.1;11.4
48;2015 4e kwartaal;7.7;50.0;-0.8;97.1;-3.9;3.0;-0.4;103.5;3.3;0.0;1.2;-1.2;261.5;111.3;150.2;64.7;8.1;4.0;0.6;79.6;1.2;-0.5;11.2
49;2015;7.7;50.0;-0.8;97.1;-3.9;3.0;-0.4;103.5;3.3;0.0;1.2;-1.2;261.5;111.3;150.2;64.7;8.1;4.0;0.6;79.6;1.2;-0.5;11.2
50;2016 1e kwartaal;7.4;59.1;-0.9;97.3;-2.9;3.0;-1.0;103.7;3.2;-2.3;1.3;-3.7;259.2;111.0;148.3;64.3;8.1;1.6;0.5;79.6;1.2;-0.7;11.3
51;2016 2e kwartaal;7.0;64.9;-1.0;97.9;-2.4;3.1;-1.1;103.9;3.7;-3.1;1.6;-4.7;257.2;110.7;146.5;63.3;8.1;8.0;0.4;79.7;1.0;-1.1;11.2
52;2016 3e kwartaal;6.7;70.0;-1.7;98.1;-2.3;3.1;-1.0;104.2;4.2;4.5;1.8;2.7;262.6;110.7;151.9;61.7;7.9;8.6;0.3;79.7;0.7;-1.7;11.1
53;2016 4e kwartaal;6.8;62.6;-2.1;98.3;-2.2;3.0;-0.3;104.5;4.7;3.6;1.3;2.3;257.8;109.6;148.2;61.9;7.7;7.4;0.3;79.7;0.5;-2.4;10.8
54;2016;6.8;62.6;-2.1;98.3;-2.2;3.0;-0.3;104.5;4.7;3.6;1.3;2.3;257.8;109.6;148.2;61.9;7.7;7.4;0.3;79.7;0.5;-2.4;10.8
55;2017 1e kwartaal;7.0;62.4;-2.6;98.1;-2.2;3.0;-0.2;104.4;5.4;5.9;1.3;4.6;257.4;109.1;148.3;59.7;7.6;6.3;0.4;79.7;0.4;-3.1;10.4
56;2017 2e kwartaal;6.7;60.9;-2.9;98.0;-1.8;3.0;0.0;104.5;17.6;7.8;1.4;6.5;254.6;108.4;146.2;59.0;7.3;2.6;0.5;79.7;0.0;-3.6;9.9
57;2017 3e kwartaal;6.7;57.5;-2.3;98.4;-0.6;3.0;0.1;104.7;17.7;3.4;1.2;2.1;253.5;107.7;145.7;57.2;7.1;0.3;0.6;79.7;-0.4;-3.8;9.4
58;2017 4e kwartaal;7.1;61.5;-1.6;98.8;-0.3;3.0;0.1;105.0;17.9;3.5;1.6;1.9;247.6;106.8;140.8;57.0;6.9;0.5;0.7;79.8;-0.7;-3.9;8.8
59;2017;7.1;61.5;-1.6;98.8;-0.3;3.0;0.1;105.0;17.9;3.5;1.6;1.9;247.6;106.8;140.8;57.0;6.9;0.5;0.7;79.8;-0.7;-3.9;8.8
60;2018 1e kwartaal;6.7;62.0;0.1;99.5;1.2;3.1;0.9;105.6;18.0;6.0;1.4;4.5;248.6;105.7;142.9;55.2;6.7;-1.4;0.6;79.8;-0.8;-3.9;8.2
61;2018 2e kwartaal;8.0;61.5;1.8;99.9;2.0;3.1;1.6;105.9;-3.6;2.6;1.5;1.1;244.6;105.0;139.6;54.1;6.4;0.8;0.5;79.9;-1.1;-4.0;7.7
62;2018 3e kwartaal;8.2;66.2;2.6;100.1;1.2;3.1;2.7;106.7;-3.2;1.9;1.5;0.4;243.3;104.3;139.0;53.0;6.2;0.7;0.5;80.0;-1.4;-4.0;7.4
63;2018 4e kwartaal;8.5;73.1;3.3;100.2;1.2;3.1;3.7;107.4;-3.3;5.2;1.6;3.7;241.3;103.4;137.9;52.4;5.9;-2.8;0.6;80.2;-1.5;-4.1;7.2
64;2018;8.5;73.1;3.3;100.2;1.2;3.1;3.7;107.4;-3.3;5.2;1.6;3.7;241.3;103.4;137.9;52.4;5.9;-2.8;0.6;80.2;-1.5;-4.1;7.2
65;2019 1e kwartaal;8.5;77.4;3.1;100.3;-0.4;3.1;4.4;108.3;-3.6;0.7;1.4;-0.7;238.9;102.4;136.5;50.9;5.7;1.3;0.9;80.5;-1.5;-4.3;7.0
66;2019 2e kwartaal;8.4;82.3;2.7;100.5;-1.2;3.1;5.2;109.3;6.0;3.0;1.4;1.6;236.1;101.5;134.6;50.9;5.4;1.6;1.0;80.7;-1.7;-4.4;6.8
67;2019 3e kwartaal;8.6;93.6;2.6;100.6;-1.3;3.1;5.5;109.9;5.1;1.6;1.3;0.4;234.2;100.7;133.6;49.2;5.2;7.8;1.1;80.8;-1.8;-4.4;6.7
68;2019 4e kwartaal;8.4;89.6;2.4;100.7;-0.6;3.1;6.0;110.8;4.5;-0.3;1.3;-1.6;229.9;99.7;130.2;48.6;5.1;8.0;1.2;80.9;-1.8;-4.1;6.8
69;2019;8.4;89.6;2.4;100.7;-0.6;3.1;6.0;110.8;4.5;-0.3;1.3;-1.6;229.9;99.7;130.2;48.6;5.1;8.0;1.2;80.9;-1.8;-4.1;6.8
70;2020 1e kwartaal;7.9;99.0;2.5;100.5;0.7;3.1;7.4;112.2;4.6;3.1;1.4;1.7;232.1;99.6;132.5;49.4;4.9;3.4;1.3;81.0;-1.8;-3.7;6.7
71;2020 2e kwartaal;7.8;102.6;3.0;101.0;1.9;3.1;10.8;115.8;4.9;2.8;1.4;1.4;237.3;102.1;135.3;55.2;4.8;5.2;1.2;80.8;-1.7;-2.4;7.5
72;2020 3e kwartaal;7.5;107.8;3.3;101.6;2.1;3.1;12.4;117.6;5.8;3.7;1.8;1.9;238.6;103.1;135.5;55.3;4.7;-0.9;1.1;80.8;-1.6;-0.9;8.5
73;2020 4e kwartaal;7.1;113.0;3.8;102.5;0.9;3.1;14.3;120.0;6.6;-0.7;2.0;-2.7;233.1;103.8;129.3;54.7;4.7;1.3;1.2;80.9;-1.6;0.3;9.1
74;2020;7.1;113.0;3.8;102.5;0.9;3.1;14.3;120.0;6.6;-0.7;2.0;-2.7;233.1;103.8;129.3;54.7;4.7;1.3;1.2;80.9;-1.6;0.3;9.1
75;2021 1e kwartaal;7.4;101.7;3.7;103.2;0.5;3.0;14.6;121.0;7.2;-0.9;2.5;-3.4;236.2;104.2;132.0;55.1;4.7;2.0;1.7;81.4;-1.3;1.9;10.2
76;2021 2e kwartaal;7.9;101.7;3.3;103.3;-0.4;3.1;12.3;118.9;7.9;2.6;3.0;-0.4;231.5;101.8;129.8;54.1;4.6;-0.3;2.3;82.2;-1.1;2.5;10.2
77;2021 3e kwartaal;8.1;89.0;2.7;102.8;0.5;3.1;11.1;118.5;9.3;2.9;3.6;-0.7;227.7;100.6;127.2;52.2;4.6;1.1;2.9;82.9;-0.8;2.3;9.7
78;2021 4e kwartaal;8.1;93.3;2.3;102.5;1.8;3.1;9.4;117.4;11.1;9.6;3.9;5.7;223.7;98.9;124.9;51.7;4.5;0.3;3.4;83.6;-0.9;2.2;9.3
79;2021;8.1;93.3;2.3;102.5;1.8;3.1;9.4;117.4;11.1;9.6;3.9;5.7;223.7;98.9;124.9;51.7;4.5;0.3;3.4;83.6;-0.9;2.2;9.3
80;2022 1e kwartaal;8.4;95.0;3.0;103.3;1.7;3.1;8.8;117.8;13.0;8.9;4.0;4.8;219.7;97.2;122.5;50.0;4.4;-1.8;3.4;83.9;-0.7;1.5;8.5
81;2022 2e kwartaal;8.6;91.2;3.8;104.3;2.3;3.1;8.2;118.3;13.7;8.1;4.0;4.1;218.0;96.0;122.1;50.0;4.3;-3.5;3.5;84.2;-0.5;1.1;7.9
82;2022 3e kwartaal;8.8;84.8;4.4;105.0;0.2;3.0;9.1;119.9;11.1;12.3;3.4;8.9;220.0;94.5;125.5;48.2;4.3;-3.4;3.7;84.5;-0.5;1.1;7.8
83;2022 4e kwartaal;8.8;75.2;6.0;106.7;1.0;3.1;9.7;121.6;6.0;6.9;2.6;4.3;210.1;92.4;117.7;50.1;4.2;-3.7;3.8;84.7;-0.5;0.9;7.6
84;2022;8.8;75.2;6.0;106.7;1.0;3.1;9.7;121.6;6.0;6.9;2.6;4.3;210.1;92.4;117.7;50.1;4.2;-3.7;3.8;84.7;-0.5;0.9;7.6
85;2023 1e kwartaal;9.3;68.7;6.7;107.2;1.0;3.1;10.1;123.5;-0.9;4.9;2.0;2.9;200.6;90.6;110.0;48.3;4.2;0.9;4.0;85.0;-0.3;1.0;7.8
86;2023 2e kwartaal;9.7;68.4;6.7;107.7;1.8;3.2;9.0;126.2;-6.9;2.7;1.3;1.4;196.8;88.9;107.8;46.9;4.0;1.6;4.3;85.2;-0.3;0.5;8.0
87;2023 3e kwartaal;10.3;68.3;7.1;108.8;3.7;3.2;9.3;128.6;-10.4;-0.4;1.0;-1.4;195.8;87.8;108.0;45.8;3.9;0.1;4.5;85.3;-0.4;-0.4;8.1
88;2023 4e kwartaal;10.5;71.8;5.9;108.6;3.4;3.2;9.2;131.0;-10.0;1.7;1.0;0.7;191.7;86.7;105.1;46.5;3.8;-1.1;4.5;85.4;-0.3;-0.9;8.2
89;2023;10.5;71.8;5.9;108.6;3.4;3.2;9.2;131.0;-10.0;1.7;1.0;0.7;191.7;86.7;105.1;46.5;3.8;-1.1;4.5;85.4;-0.3;-0.9;8.2
