ID;Vissoort;Perioden;AanvoerVerseVis_1;AanvoerDiepvriesvis_2
236;2;2012 maart;.                                 ;.                                 
237;2;2012 april;.                                 ;.                                 
238;2;2012 mei;2                                 ;1                                 
239;2;2012 juni;1                                 ;.                                 
240;2;2012 juli;0                                 ;.                                 
241;2;2012 augustus;0                                 ;.                                 
242;2;2012 september;.                                 ;.                                 
243;2;2012 oktober;.                                 ;.                                 
244;2;2012 november;.                                 ;.                                 
245;2;2012 december;.                                 ;.                                 
246;2;2012;3                                 ;1                                 
247;2;2013 januari;.                                 ;.                                 
248;2;2013 februari;.                                 ;.                                 
249;2;2013 maart;.                                 ;.                                 
250;2;2013 april;.                                 ;.                                 
251;2;2013 mei;.                                 ;.                                 
252;2;2013 juni;.                                 ;.                                 
253;2;2013 juli;.                                 ;.                                 
254;2;2013 augustus;.                                 ;.                                 
255;2;2013 september;.                                 ;.                                 
256;2;2013 oktober;.                                 ;.                                 
257;2;2013 november;.                                 ;.                                 
258;2;2013 december;.                                 ;.                                 
259;2;2013;.                                 ;.                                 
260;2;2014 januari;.                                 ;.                                 
261;2;2014 februari;.                                 ;.                                 
262;2;2014 maart;.                                 ;.                                 
263;2;2014 april;.                                 ;.                                 
264;2;2014 mei;.                                 ;.                                 
265;2;2014 juni;.                                 ;.                                 
266;2;2014 juli;.                                 ;.                                 
267;2;2014 augustus;.                                 ;.                                 
268;2;2014 september;.                                 ;.                                 
269;2;2014 oktober;.                                 ;.                                 
270;3;1994 januari;.                                 ;.                                 
271;3;1994 februari;.                                 ;.                                 
272;3;1994 maart;.                                 ;626                               
273;3;1994 april;.                                 ;4558                              
274;3;1994 mei;.                                 ;18224                             
275;3;1994 juni;.                                 ;2293                              
276;3;1994 juli;.                                 ;1                                 
277;3;1994 augustus;.                                 ;.                                 
278;3;1994 september;.                                 ;9                                 
279;3;1994 oktober;.                                 ;20                                
280;3;1994 november;.                                 ;.                                 
281;3;1994 december;.                                 ;5                                 
282;3;1994;.                                 ;25736                             
283;3;1995 januari;.                                 ;.                                 
284;3;1995 februari;.                                 ;.                                 
285;3;1995 maart;.                                 ;884                               
286;3;1995 april;.                                 ;5184                              
287;3;1995 mei;.                                 ;21295                             
288;3;1995 juni;.                                 ;1542                              
289;3;1995 juli;.                                 ;14                                
290;3;1995 augustus;.                                 ;.                                 
291;3;1995 september;.                                 ;10                                
292;3;1995 oktober;.                                 ;.                                 
293;3;1995 november;.                                 ;3                                 
294;3;1995 december;.                                 ;.                                 
295;3;1995;.                                 ;28932                             
296;3;1996 januari;.                                 ;.                                 
297;3;1996 februari;.                                 ;12                                
298;3;1996 maart;.                                 ;2637                              
299;3;1996 april;.                                 ;11553                             
300;3;1996 mei;.                                 ;10398                             
301;3;1996 juni;.                                 ;22                                
302;3;1996 juli;.                                 ;10                                
303;3;1996 augustus;.                                 ;.                                 
304;3;1996 september;.                                 ;1                                 
305;3;1996 oktober;.                                 ;.                                 
306;3;1996 november;.                                 ;.                                 
307;3;1996 december;.                                 ;.                                 
308;3;1996;.                                 ;24632                             
309;3;1997 januari;.                                 ;5                                 
310;3;1997 februari;.                                 ;1                                 
311;3;1997 maart;.                                 ;4704                              
312;3;1997 april;.                                 ;18605                             
313;3;1997 mei;.                                 ;3484                              
314;3;1997 juni;.                                 ;743                               
315;3;1997 juli;.                                 ;.                                 
316;3;1997 augustus;.                                 ;70                                
317;3;1997 september;.                                 ;.                                 
318;3;1997 oktober;.                                 ;.                                 
319;3;1997 november;.                                 ;.                                 
320;3;1997 december;.                                 ;12                                
321;3;1997;.                                 ;27625                             
322;3;1998 januari;.                                 ;58                                
323;3;1998 februari;.                                 ;2410                              
324;3;1998 maart;.                                 ;3032                              
325;3;1998 april;.                                 ;14163                             
326;3;1998 mei;.                                 ;3071                              
327;3;1998 juni;.                                 ;4465                              
328;3;1998 juli;.                                 ;11                                
329;3;1998 augustus;.                                 ;1                                 
330;3;1998 september;.                                 ;.                                 
331;3;1998 oktober;.                                 ;.                                 
332;3;1998 november;.                                 ;.                                 
333;3;1998 december;.                                 ;.                                 
334;3;1998;.                                 ;27211                             
335;3;1999 januari;.                                 ;.                                 
336;3;1999 februari;.                                 ;159                               
337;3;1999 maart;.                                 ;3037                              
338;3;1999 april;.                                 ;21637                             
339;3;1999 mei;.                                 ;9765                              
340;3;1999 juni;.                                 ;505                               
341;3;1999 juli;.                                 ;.                                 
342;3;1999 augustus;.                                 ;.                                 
343;3;1999 september;.                                 ;.                                 
344;3;1999 oktober;.                                 ;.                                 
345;3;1999 november;.                                 ;.                                 
346;3;1999 december;.                                 ;.                                 
347;3;1999;.                                 ;35117                             
348;3;2000 januari;.                                 ;32                                
349;3;2000 februari;.                                 ;56                                
350;3;2000 maart;.                                 ;22532                             
351;3;2000 april;.                                 ;29333                             
352;3;2000 mei;.                                 ;6215                              
353;3;2000 juni;.                                 ;30                                
354;3;2000 juli;.                                 ;.                                 
355;3;2000 augustus;.                                 ;.                                 
356;3;2000 september;.                                 ;18                                
357;3;2000 oktober;.                                 ;.                                 
358;3;2000 november;.                                 ;.                                 
359;3;2000 december;.                                 ;.                                 
360;3;2000;.                                 ;58215                             
361;3;2001 januari;.                                 ;.                                 
362;3;2001 februari;.                                 ;5781                              
363;3;2001 maart;.                                 ;29094                             
364;3;2001 april;.                                 ;23663                             
365;3;2001 mei;.                                 ;11418                             
366;3;2001 juni;.                                 ;3882                              
367;3;2001 juli;.                                 ;4                                 
368;3;2001 augustus;.                                 ;.                                 
369;3;2001 september;.                                 ;.                                 
370;3;2001 oktober;.                                 ;4576                              
371;3;2001 november;.                                 ;3                                 
372;3;2001 december;.                                 ;2707                              
373;3;2001;.                                 ;81127                             
374;3;2002 januari;.                                 ;.                                 
375;3;2002 februari;.                                 ;.                                 
376;3;2002 maart;.                                 ;.                                 
377;3;2002 april;.                                 ;.                                 
378;3;2002 mei;.                                 ;.                                 
379;3;2002 juni;.                                 ;.                                 
380;3;2002 juli;.                                 ;.                                 
381;3;2002 augustus;.                                 ;.                                 
382;3;2002 september;.                                 ;.                                 
383;3;2002 oktober;.                                 ;.                                 
384;3;2002 november;.                                 ;.                                 
385;3;2002 december;.                                 ;.                                 
386;3;2002;.                                 ;.                                 
387;3;2003 januari;.                                 ;.                                 
388;3;2003 februari;.                                 ;.                                 
389;3;2003 maart;.                                 ;.                                 
390;3;2003 april;.                                 ;.                                 
391;3;2003 mei;.                                 ;.                                 
392;3;2003 juni;.                                 ;.                                 
393;3;2003 juli;.                                 ;.                                 
394;3;2003 augustus;.                                 ;.                                 
395;3;2003 september;.                                 ;.                                 
396;3;2003 oktober;.                                 ;.                                 
397;3;2003 november;.                                 ;.                                 
398;3;2003 december;.                                 ;.                                 
399;3;2003;.                                 ;.                                 
400;3;2004 januari;.                                 ;.                                 
401;3;2004 februari;.                                 ;.                                 
402;3;2004 maart;.                                 ;.                                 
403;3;2004 april;.                                 ;.                                 
404;3;2004 mei;.                                 ;.                                 
405;3;2004 juni;.                                 ;.                                 
406;3;2004 juli;.                                 ;.                                 
407;3;2004 augustus;.                                 ;.                                 
408;3;2004 september;.                                 ;.                                 
409;3;2004 oktober;.                                 ;.                                 
410;3;2004 november;.                                 ;.                                 
411;3;2004 december;.                                 ;.                                 
412;3;2004;.                                 ;.                                 
413;3;2005 januari;.                                 ;.                                 
414;3;2005 februari;.                                 ;.                                 
415;3;2005 maart;.                                 ;.                                 
416;3;2005 april;.                                 ;.                                 
417;3;2005 mei;.                                 ;.                                 
418;3;2005 juni;.                                 ;.                                 
419;3;2005 juli;.                                 ;.                                 
420;3;2005 augustus;.                                 ;.                                 
421;3;2005 september;.                                 ;.                                 
422;3;2005 oktober;.                                 ;.                                 
423;3;2005 november;.                                 ;.                                 
424;3;2005 december;.                                 ;.                                 
425;3;2005;.                                 ;.                                 
426;3;2006 januari;.                                 ;.                                 
427;3;2006 februari;.                                 ;.                                 
428;3;2006 maart;.                                 ;.                                 
429;3;2006 april;.                                 ;.                                 
430;3;2006 mei;.                                 ;.                                 
431;3;2006 juni;.                                 ;.                                 
432;3;2006 juli;.                                 ;.                                 
433;3;2006 augustus;.                                 ;.                                 
434;3;2006 september;.                                 ;.                                 
435;3;2006 oktober;.                                 ;.                                 
436;3;2006 november;.                                 ;.                                 
437;3;2006 december;.                                 ;.                                 
438;3;2006;.                                 ;.                                 
439;3;2007 januari;.                                 ;.                                 
440;3;2007 februari;.                                 ;.                                 
441;3;2007 maart;.                                 ;.                                 
442;3;2007 april;.                                 ;.                                 
443;3;2007 mei;.                                 ;.                                 
444;3;2007 juni;.                                 ;.                                 
445;3;2007 juli;.                                 ;.                                 
446;3;2007 augustus;.                                 ;.                                 
447;3;2007 september;.                                 ;.                                 
448;3;2007 oktober;.                                 ;.                                 
449;3;2007 november;.                                 ;.                                 
450;3;2007 december;.                                 ;.                                 
451;3;2007;.                                 ;.                                 
452;3;2008 januari;.                                 ;.                                 
453;3;2008 februari;.                                 ;.                                 
454;3;2008 maart;.                                 ;.                                 
455;3;2008 april;.                                 ;.                                 
456;3;2008 mei;.                                 ;.                                 
457;3;2008 juni;.                                 ;.                                 
458;3;2008 juli;.                                 ;.                                 
459;3;2008 augustus;.                                 ;.                                 
460;3;2008 september;.                                 ;.                                 
461;3;2008 oktober;.                                 ;.                                 
462;3;2008 november;.                                 ;.                                 
463;3;2008 december;.                                 ;.                                 
464;3;2008;.                                 ;.                                 
465;3;2009 januari;.                                 ;.                                 
466;3;2009 februari;.                                 ;.                                 
467;3;2009 maart;.                                 ;.                                 
468;3;2009 april;.                                 ;.                                 
469;3;2009 mei;.                                 ;.                                 
470;3;2009 juni;.                                 ;.                                 
471;3;2009 juli;.                                 ;.                                 
472;3;2009 augustus;.                                 ;.                                 
473;3;2009 september;.                                 ;.                                 
474;3;2009 oktober;.                                 ;.                                 
475;3;2009 november;.                                 ;.                                 
476;3;2009 december;.                                 ;.                                 
477;3;2009;.                                 ;.                                 
478;3;2010 januari;.                                 ;.                                 
479;3;2010 februari;.                                 ;17819                             
480;3;2010 maart;.                                 ;17047                             
481;3;2010 april;.                                 ;9256                              
482;3;2010 mei;.                                 ;2609                              
483;3;2010 juni;.                                 ;1335                              
484;3;2010 juli;.                                 ;8                                 
485;3;2010 augustus;.                                 ;.                                 
486;3;2010 september;.                                 ;4                                 
487;3;2010 oktober;.                                 ;11                                
488;3;2010 november;.                                 ;.                                 
489;3;2010 december;.                                 ;.                                 
490;3;2010;.                                 ;48090                             
491;3;2011 januari;.                                 ;321                               
492;3;2011 februari;.                                 ;61                                
493;3;2011 maart;.                                 ;1468                              
494;3;2011 april;.                                 ;1309                              
495;3;2011 mei;.                                 ;1014                              
496;3;2011 juni;.                                 ;479                               
497;3;2011 juli;.                                 ;6                                 
498;3;2011 augustus;.                                 ;71                                
499;3;2011 september;.                                 ;6                                 
500;3;2011 oktober;.                                 ;46                                
501;3;2011 november;.                                 ;5                                 
502;3;2011 december;.                                 ;.                                 
503;3;2011;.                                 ;4788                              
504;3;2012 januari;.                                 ;.                                 
505;3;2012 februari;.                                 ;2277                              
506;3;2012 maart;.                                 ;21997                             
507;3;2012 april;.                                 ;6431                              
508;3;2012 mei;.                                 ;1817                              
509;3;2012 juni;.                                 ;1108                              
510;3;2012 juli;.                                 ;.                                 
511;3;2012 augustus;.                                 ;.                                 
512;3;2012 september;.                                 ;.                                 
513;3;2012 oktober;.                                 ;85                                
