ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
57;H Transportation and storage;2016 3rd quarter;100.7;-1.8
58;H Transportation and storage;2016 4th quarter;104.7;0.1
59;H Transportation and storage;2016;99.6;-0.4
60;H Transportation and storage;2017 1st quarter;97.2;4.5
61;H Transportation and storage;2017 2nd quarter;104.3;4.5
62;H Transportation and storage;2017 3rd quarter;105.5;4.7
63;H Transportation and storage;2017 4th quarter;109.7;4.7
64;H Transportation and storage;2017;104.2;4.6
65;H Transportation and storage;2018 1st quarter;100.6;3.5
66;H Transportation and storage;2018 2nd quarter;109.3;4.7
67;H Transportation and storage;2018 3rd quarter;111.8;6.0
68;H Transportation and storage;2018 4th quarter;116.6;6.3
69;H Transportation and storage;2018;109.6;5.2
70;H Transportation and storage;2019 1st quarter;105.2;4.5
71;H Transportation and storage;2019 2nd quarter;113.1;3.5
72;H Transportation and storage;2019 3rd quarter;113.7;1.7
73;H Transportation and storage;2019 4th quarter;116.5;-0.1
74;H Transportation and storage;2019;112.1;2.3
75;H Transportation and storage;2020 1st quarter;103.5;-1.5
76;H Transportation and storage;2020 2nd quarter;89.6;-20.8
77;H Transportation and storage;2020 3rd quarter;96.7;-15.0
78;H Transportation and storage;2020 4th quarter;107.0;-8.1
79;H Transportation and storage;2020;99.2;-11.5
80;H Transportation and storage;2021 1st quarter;98.9;-4.5
81;H Transportation and storage;2021 2nd quarter;109.5;22.2
82;H Transportation and storage;2021 3rd quarter;117.5;21.6
83;H Transportation and storage;2021 4rd quarter;134.1;25.3
84;H Transportation and storage;2021;115.0;15.9
85;H Transportation and storage;2022 1st quarter;125.3;26.7
86;H Transportation and storage;2022 2nd quarter;144.5;31.9
87;H Transportation and storage;2022 3rd quarter;149.1;26.9
88;H Transportation and storage;2022 4th quarter;149.4;11.4
89;H Transportation and storage;2022;142.1;23.5
90;H Transportation and storage;2023 1st quarter;130.8;4.4
91;H Transportation and storage;2023 2nd quarter;136.8;-5.3
92;H Transportation and storage;2023 3rd quarter;136.1;-8.7
93;H Transportation and storage;2023 4th quarter;142.0;-5.0
94;H Transportation and storage;2023;136.4;-4.0
95;49 Land transport;2005 1st quarter;70.0;
96;49 Land transport;2005 2nd quarter;78.6;
97;49 Land transport;2005 3rd quarter;76.7;
98;49 Land transport;2005 4th quarter;86.6;
99;49 Land transport;2005;78.0;
100;49 Land transport;2006 1st quarter;77.0;10.1
101;49 Land transport;2006 2nd quarter;86.8;10.4
102;49 Land transport;2006 3rd quarter;84.2;9.7
103;49 Land transport;2006 4th quarter;93.3;7.7
104;49 Land transport;2006;85.3;9.4
105;49 Land transport;2007 1st quarter;84.2;9.3
106;49 Land transport;2007 2nd quarter;93.3;7.5
107;49 Land transport;2007 3rd quarter;90.5;7.5
108;49 Land transport;2007 4th quarter;98.4;5.5
109;49 Land transport;2007;91.6;7.4
110;49 Land transport;2008 1st quarter;89.4;6.2
111;49 Land transport;2008 2nd quarter;98.4;5.5
112;49 Land transport;2008 3rd quarter;95.9;6.0
113;49 Land transport;2008 4th quarter;99.9;1.5
114;49 Land transport;2008;95.9;4.7
115;49 Land transport;2009 1st quarter;82.6;-7.5
116;49 Land transport;2009 2nd quarter;89.5;-9.0
117;49 Land transport;2009 3rd quarter;86.0;-10.3
118;49 Land transport;2009 4th quarter;93.4;-6.5
119;49 Land transport;2009;87.9;-8.3
120;49 Land transport;2010 1st quarter;80.8;-2.1
121;49 Land transport;2010 2nd quarter;90.9;1.5
122;49 Land transport;2010 3rd quarter;89.3;3.8
123;49 Land transport;2010 4th quarter;99.0;6.0
124;49 Land transport;2010;90.0;2.4
125;49 Land transport;2011 1st quarter;87.8;8.6
126;49 Land transport;2011 2nd quarter;95.8;5.5
127;49 Land transport;2011 3rd quarter;92.2;3.3
128;49 Land transport;2011 4th quarter;98.3;-0.7
129;49 Land transport;2011;93.6;4.0
130;49 Land transport;2012 1st quarter;89.4;1.8
131;49 Land transport;2012 2nd quarter;98.5;2.8
132;49 Land transport;2012 3rd quarter;94.2;2.2
133;49 Land transport;2012 4th quarter;99.6;1.3
134;49 Land transport;2012;95.4;2.0
135;49 Land transport;2013 1st quarter;88.3;-1.3
136;49 Land transport;2013 2nd quarter;95.7;-2.8
137;49 Land transport;2013 3rd quarter;92.9;-1.4
138;49 Land transport;2013 4th quarter;102.2;2.6
139;49 Land transport;2013;94.8;-0.7
140;49 Land transport;2014 1st quarter;90.0;2.0
141;49 Land transport;2014 2nd quarter;98.6;3.0
142;49 Land transport;2014 3rd quarter;97.0;4.4
143;49 Land transport;2014 4th quarter;103.2;0.9
144;49 Land transport;2014;97.2;2.6
145;49 Land transport;2015 1st quarter;92.6;2.8
146;49 Land transport;2015 2nd quarter;101.4;2.8
147;49 Land transport;2015 3rd quarter;98.6;1.6
148;49 Land transport;2015 4th quarter;107.5;4.2
149;49 Land transport;2015;100.0;2.9
150;49 Land transport;2016 1st quarter;95.7;3.4
151;49 Land transport;2016 2nd quarter;104.1;2.6
152;49 Land transport;2016 3rd quarter;100.6;2.1
153;49 Land transport;2016 4th quarter;111.7;3.9
154;49 Land transport;2016;103.0;3.0
155;49 Land transport;2017 1st quarter;100.9;5.4
156;49 Land transport;2017 2nd quarter;109.2;5.0
157;49 Land transport;2017 3rd quarter;106.0;5.4
158;49 Land transport;2017 4th quarter;116.8;4.6
159;49 Land transport;2017;108.2;5.1
160;49 Land transport;2018 1st quarter;105.3;4.4
161;49 Land transport;2018 2nd quarter;115.7;5.9
162;49 Land transport;2018 3rd quarter;112.4;6.0
163;49 Land transport;2018 4th quarter;123.4;5.7
164;49 Land transport;2018;114.2;5.5
165;49 Land transport;2019 1st quarter;111.0;5.4
166;49 Land transport;2019 2nd quarter;122.2;5.7
167;49 Land transport;2019 3rd quarter;117.8;4.8
168;49 Land transport;2019 4th quarter;127.4;3.2
169;49 Land transport;2019;119.6;4.7
170;49 Land transport;2020 1st quarter;112.6;1.4
171;49 Land transport;2020 2nd quarter;98.3;-19.6
172;49 Land transport;2020 3rd quarter;106.5;-9.5
173;49 Land transport;2020 4th quarter;118.2;-7.2
174;49 Land transport;2020;108.9;-9.0
175;49 Land transport;2021 1st quarter;104.9;-6.8
176;49 Land transport;2021 2nd quarter;119.2;21.2
177;49 Land transport;2021 3rd quarter;120.0;12.6
178;49 Land transport;2021 4rd quarter;135.0;14.2
179;49 Land transport;2021;119.7;9.9
180;49 Land transport;2022 1st quarter;125.6;19.8
181;49 Land transport;2022 2nd quarter;145.6;22.2
182;49 Land transport;2022 3rd quarter;141.9;18.3
183;49 Land transport;2022 4th quarter;153.2;13.5
184;49 Land transport;2022;141.6;18.2
185;49 Land transport;2023 1st quarter;136.7;8.8
186;49 Land transport;2023 2nd quarter;145.3;-0.2
187;49 Land transport;2023 3rd quarter;140.2;-1.2
188;49 Land transport;2023 4th quarter;152.6;-0.4
189;49 Land transport;2023;143.7;1.5
190;491-492 Rail transport;2005 1st quarter;68.7;
191;491-492 Rail transport;2005 2nd quarter;73.8;
192;491-492 Rail transport;2005 3rd quarter;69.7;
193;491-492 Rail transport;2005 4th quarter;79.2;
194;491-492 Rail transport;2005;72.8;
195;491-492 Rail transport;2006 1st quarter;77.3;12.5
196;491-492 Rail transport;2006 2nd quarter;81.1;9.9
197;491-492 Rail transport;2006 3rd quarter;76.9;10.5
198;491-492 Rail transport;2006 4th quarter;83.3;5.3
199;491-492 Rail transport;2006;79.7;9.4
200;491-492 Rail transport;2007 1st quarter;79.5;2.9
201;491-492 Rail transport;2007 2nd quarter;83.2;2.6
202;491-492 Rail transport;2007 3rd quarter;79.1;2.7
203;491-492 Rail transport;2007 4th quarter;88.8;6.5
204;491-492 Rail transport;2007;82.6;3.7
205;491-492 Rail transport;2008 1st quarter;84.8;6.7
206;491-492 Rail transport;2008 2nd quarter;90.6;9.0
207;491-492 Rail transport;2008 3rd quarter;85.4;8.0
208;491-492 Rail transport;2008 4th quarter;93.1;4.9
209;491-492 Rail transport;2008;88.5;7.1
210;491-492 Rail transport;2009 1st quarter;85.9;1.3
211;491-492 Rail transport;2009 2nd quarter;90.9;0.4
212;491-492 Rail transport;2009 3rd quarter;83.4;-2.3
213;491-492 Rail transport;2009 4th quarter;92.2;-1.0
214;491-492 Rail transport;2009;88.1;-0.4
215;491-492 Rail transport;2010 1st quarter;86.8;1.0
216;491-492 Rail transport;2010 2nd quarter;89.5;-1.6
217;491-492 Rail transport;2010 3rd quarter;84.3;1.1
218;491-492 Rail transport;2010 4th quarter;90.6;-1.7
219;491-492 Rail transport;2010;87.8;-0.4
220;491-492 Rail transport;2011 1st quarter;89.5;3.2
221;491-492 Rail transport;2011 2nd quarter;92.0;2.8
222;491-492 Rail transport;2011 3rd quarter;83.2;-1.3
223;491-492 Rail transport;2011 4th quarter;93.1;2.8
224;491-492 Rail transport;2011;89.5;1.9
225;491-492 Rail transport;2012 1st quarter;91.9;2.7
226;491-492 Rail transport;2012 2nd quarter;93.8;2.0
227;491-492 Rail transport;2012 3rd quarter;86.2;3.6
228;491-492 Rail transport;2012 4th quarter;95.6;2.7
229;491-492 Rail transport;2012;91.9;2.7
230;491-492 Rail transport;2013 1st quarter;95.2;3.5
231;491-492 Rail transport;2013 2nd quarter;94.4;0.7
232;491-492 Rail transport;2013 3rd quarter;88.5;2.7
233;491-492 Rail transport;2013 4th quarter;99.7;4.3
234;491-492 Rail transport;2013;94.5;2.8
235;491-492 Rail transport;2014 1st quarter;96.0;0.9
236;491-492 Rail transport;2014 2nd quarter;98.2;4.0
237;491-492 Rail transport;2014 3rd quarter;93.7;5.9
238;491-492 Rail transport;2014 4th quarter;99.3;-0.4
239;491-492 Rail transport;2014;96.8;2.5
240;491-492 Rail transport;2015 1st quarter;99.0;3.1
241;491-492 Rail transport;2015 2nd quarter;101.3;3.1
242;491-492 Rail transport;2015 3rd quarter;97.6;4.1
243;491-492 Rail transport;2015 4th quarter;102.2;2.9
244;491-492 Rail transport;2015;100.0;3.3
245;491-492 Rail transport;2016 1st quarter;102.3;3.3
246;491-492 Rail transport;2016 2nd quarter;105.8;4.5
247;491-492 Rail transport;2016 3rd quarter;99.0;1.4
248;491-492 Rail transport;2016 4th quarter;109.4;7.1
249;491-492 Rail transport;2016;104.1;4.1
250;491-492 Rail transport;2017 1st quarter;106.2;3.9
251;491-492 Rail transport;2017 2nd quarter;106.8;0.9
252;491-492 Rail transport;2017 3rd quarter;102.7;3.8
253;491-492 Rail transport;2017 4th quarter;115.9;5.9
254;491-492 Rail transport;2017;107.9;3.6
255;491-492 Rail transport;2018 1st quarter;106.4;0.2
256;491-492 Rail transport;2018 2nd quarter;113.1;5.8
257;491-492 Rail transport;2018 3rd quarter;109.2;6.3
258;491-492 Rail transport;2018 4th quarter;120.1;3.6
259;491-492 Rail transport;2018;112.2;4.0
260;491-492 Rail transport;2019 1st quarter;114.6;7.6
261;491-492 Rail transport;2019 2nd quarter;119.3;5.5
262;491-492 Rail transport;2019 3rd quarter;114.0;4.4
263;491-492 Rail transport;2019 4th quarter;128.1;6.7
264;491-492 Rail transport;2019;119.0;6.0
265;491-492 Rail transport;2020 1st quarter;108.0;-5.7
266;491-492 Rail transport;2020 2nd quarter;52.6;-55.9
267;491-492 Rail transport;2020 3rd quarter;69.3;-39.2
268;491-492 Rail transport;2020 4th quarter;70.8;-44.8
269;491-492 Rail transport;2020;75.2;-36.8
270;491-492 Rail transport;2021 1st quarter;59.8;-44.7
271;491-492 Rail transport;2021 2nd quarter;69.7;32.5
272;491-492 Rail transport;2021 3rd quarter;78.8;13.7
273;491-492 Rail transport;2021 4rd quarter;89.0;25.8
274;491-492 Rail transport;2021;74.3;-1.1
275;491-492 Rail transport;2022 1st quarter;84.6;41.6
276;491-492 Rail transport;2022 2nd quarter;111.5;60.1
277;491-492 Rail transport;2022 3rd quarter;105.2;33.4
278;491-492 Rail transport;2022 4th quarter;120.1;34.9
279;491-492 Rail transport;2022;105.3;41.8
280;491-492 Rail transport;2023 1st quarter;118.8;40.4
281;491-492 Rail transport;2023 2nd quarter;130.4;16.9
282;491-492 Rail transport;2023 3rd quarter;120.5;14.6
283;491-492 Rail transport;2023 4th quarter;126.6;5.5
284;491-492 Rail transport;2023;124.1;17.8
285;493 Passenger transport by road;2005 1st quarter;71.5;
286;493 Passenger transport by road;2005 2nd quarter;80.6;
287;493 Passenger transport by road;2005 3rd quarter;75.4;
288;493 Passenger transport by road;2005 4th quarter;80.8;
289;493 Passenger transport by road;2005;77.1;
290;493 Passenger transport by road;2006 1st quarter;71.1;-0.4
291;493 Passenger transport by road;2006 2nd quarter;81.1;0.6
292;493 Passenger transport by road;2006 3rd quarter;77.7;3.0
293;493 Passenger transport by road;2006 4th quarter;79.8;-1.3
294;493 Passenger transport by road;2006;77.4;0.4
295;493 Passenger transport by road;2007 1st quarter;76.4;7.5
296;493 Passenger transport by road;2007 2nd quarter;86.3;6.4
297;493 Passenger transport by road;2007 3rd quarter;83.6;7.7
298;493 Passenger transport by road;2007 4th quarter;91.4;14.5
299;493 Passenger transport by road;2007;84.4;9.1
300;493 Passenger transport by road;2008 1st quarter;83.4;9.1
301;493 Passenger transport by road;2008 2nd quarter;91.4;5.9
302;493 Passenger transport by road;2008 3rd quarter;89.7;7.2
303;493 Passenger transport by road;2008 4th quarter;95.7;4.8
304;493 Passenger transport by road;2008;90.1;6.6
305;493 Passenger transport by road;2009 1st quarter;89.4;7.2
306;493 Passenger transport by road;2009 2nd quarter;98.7;8.0
307;493 Passenger transport by road;2009 3rd quarter;93.5;4.2
308;493 Passenger transport by road;2009 4th quarter;101.1;5.6
309;493 Passenger transport by road;2009;95.7;6.2
310;493 Passenger transport by road;2010 1st quarter;92.6;3.6
311;493 Passenger transport by road;2010 2nd quarter;98.3;-0.4
312;493 Passenger transport by road;2010 3rd quarter;95.2;1.9
313;493 Passenger transport by road;2010 4th quarter;102.3;1.2
314;493 Passenger transport by road;2010;97.1;1.5
315;493 Passenger transport by road;2011 1st quarter;93.6;1.1
316;493 Passenger transport by road;2011 2nd quarter;101.5;3.2
317;493 Passenger transport by road;2011 3rd quarter;98.3;3.2
318;493 Passenger transport by road;2011 4th quarter;102.0;-0.2
319;493 Passenger transport by road;2011;98.9;1.8
320;493 Passenger transport by road;2012 1st quarter;95.9;2.4
321;493 Passenger transport by road;2012 2nd quarter;104.3;2.7
322;493 Passenger transport by road;2012 3rd quarter;95.7;-2.6
323;493 Passenger transport by road;2012 4th quarter;104.9;2.8
324;493 Passenger transport by road;2012;100.2;1.3
325;493 Passenger transport by road;2013 1st quarter;93.7;-2.3
326;493 Passenger transport by road;2013 2nd quarter;102.1;-2.1
327;493 Passenger transport by road;2013 3rd quarter;96.9;1.2
328;493 Passenger transport by road;2013 4th quarter;107.6;2.6
329;493 Passenger transport by road;2013;100.1;-0.1
330;493 Passenger transport by road;2014 1st quarter;92.5;-1.3
331;493 Passenger transport by road;2014 2nd quarter;101.0;-1.1
332;493 Passenger transport by road;2014 3rd quarter;95.4;-1.5
333;493 Passenger transport by road;2014 4th quarter;102.3;-5.0
334;493 Passenger transport by road;2014;97.8;-2.3
335;493 Passenger transport by road;2015 1st quarter;93.2;0.7
336;493 Passenger transport by road;2015 2nd quarter;102.1;1.1
337;493 Passenger transport by road;2015 3rd quarter;99.3;4.1
338;493 Passenger transport by road;2015 4th quarter;105.4;3.1
339;493 Passenger transport by road;2015;100.0;2.3
340;493 Passenger transport by road;2016 1st quarter;97.9;5.0
341;493 Passenger transport by road;2016 2nd quarter;105.4;3.2
342;493 Passenger transport by road;2016 3rd quarter;99.1;-0.2
343;493 Passenger transport by road;2016 4th quarter;110.0;4.3
344;493 Passenger transport by road;2016;103.1;3.1
345;493 Passenger transport by road;2017 1st quarter;96.8;-1.0
346;493 Passenger transport by road;2017 2nd quarter;106.6;1.2
347;493 Passenger transport by road;2017 3rd quarter;103.7;4.6
348;493 Passenger transport by road;2017 4th quarter;112.2;2.0
349;493 Passenger transport by road;2017;104.8;1.7
350;493 Passenger transport by road;2018 1st quarter;103.3;6.7
351;493 Passenger transport by road;2018 2nd quarter;113.2;6.2
352;493 Passenger transport by road;2018 3rd quarter;108.4;4.5
353;493 Passenger transport by road;2018 4th quarter;118.6;5.7
354;493 Passenger transport by road;2018;110.9;5.8
355;493 Passenger transport by road;2019 1st quarter;105.9;2.5
356;493 Passenger transport by road;2019 2nd quarter;118.3;4.5
357;493 Passenger transport by road;2019 3rd quarter;115.0;6.2
358;493 Passenger transport by road;2019 4th quarter;129.0;8.7
359;493 Passenger transport by road;2019;117.0;5.6
360;493 Passenger transport by road;2020 1st quarter;105.0;-0.8
361;493 Passenger transport by road;2020 2nd quarter;68.2;-42.4
362;493 Passenger transport by road;2020 3rd quarter;86.3;-25.0
363;493 Passenger transport by road;2020 4th quarter;95.7;-25.8
364;493 Passenger transport by road;2020;88.8;-24.1
365;493 Passenger transport by road;2021 1st quarter;77.0;-26.7
366;493 Passenger transport by road;2021 2nd quarter;93.2;36.7
367;493 Passenger transport by road;2021 3rd quarter;99.1;14.8
368;493 Passenger transport by road;2021 4rd quarter;117.5;22.7
369;493 Passenger transport by road;2021;96.7;8.9
370;493 Passenger transport by road;2022 1st quarter;105.0;36.3
371;493 Passenger transport by road;2022 2nd quarter;132.1;41.8
372;493 Passenger transport by road;2022 3rd quarter;125.1;26.3
373;493 Passenger transport by road;2022 4th quarter;139.2;18.5
374;493 Passenger transport by road;2022;125.4;29.7
375;493 Passenger transport by road;2023 1st quarter;128.8;22.7
376;493 Passenger transport by road;2023 2nd quarter;146.4;10.8
377;493 Passenger transport by road;2023 3rd quarter;138.8;10.9
378;493 Passenger transport by road;2023 4th quarter;161.1;15.7
379;493 Passenger transport by road;2023;143.8;14.7
380;4932 Taxi operation;2005 1st quarter;76.1;
381;4932 Taxi operation;2005 2nd quarter;84.8;
382;4932 Taxi operation;2005 3rd quarter;79.5;
383;4932 Taxi operation;2005 4th quarter;91.7;
384;4932 Taxi operation;2005;83.0;
385;4932 Taxi operation;2006 1st quarter;80.9;6.4
386;4932 Taxi operation;2006 2nd quarter;89.4;5.4
387;4932 Taxi operation;2006 3rd quarter;86.6;8.9
388;4932 Taxi operation;2006 4th quarter;102.2;11.4
389;4932 Taxi operation;2006;89.8;8.1
390;4932 Taxi operation;2007 1st quarter;88.2;9.0
391;4932 Taxi operation;2007 2nd quarter;95.2;6.6
392;4932 Taxi operation;2007 3rd quarter;93.0;7.5
393;4932 Taxi operation;2007 4th quarter;109.1;6.7
394;4932 Taxi operation;2007;96.4;7.3
395;4932 Taxi operation;2008 1st quarter;93.6;6.2
396;4932 Taxi operation;2008 2nd quarter;104.0;9.2
397;4932 Taxi operation;2008 3rd quarter;99.8;7.3
398;4932 Taxi operation;2008 4th quarter;112.6;3.2
399;4932 Taxi operation;2008;102.5;6.4
400;4932 Taxi operation;2009 1st quarter;98.5;5.1
401;4932 Taxi operation;2009 2nd quarter;107.1;3.0
402;4932 Taxi operation;2009 3rd quarter;101.6;1.8
403;4932 Taxi operation;2009 4th quarter;117.8;4.7
404;4932 Taxi operation;2009;106.2;3.7
405;4932 Taxi operation;2010 1st quarter;98.6;0.2
406;4932 Taxi operation;2010 2nd quarter;106.5;-0.5
407;4932 Taxi operation;2010 3rd quarter;105.7;4.0
408;4932 Taxi operation;2010 4th quarter;119.6;1.5
409;4932 Taxi operation;2010;107.6;1.3
410;4932 Taxi operation;2011 1st quarter;100.0;1.4
411;4932 Taxi operation;2011 2nd quarter;109.7;3.0
412;4932 Taxi operation;2011 3rd quarter;104.8;-0.9
413;4932 Taxi operation;2011 4th quarter;119.7;0.1
414;4932 Taxi operation;2011;108.6;0.9
415;4932 Taxi operation;2012 1st quarter;105.6;5.6
416;4932 Taxi operation;2012 2nd quarter;115.9;5.6
417;4932 Taxi operation;2012 3rd quarter;103.6;-1.2
418;4932 Taxi operation;2012 4th quarter;119.5;-0.2
419;4932 Taxi operation;2012;111.1;2.4
420;4932 Taxi operation;2013 1st quarter;100.5;-4.9
421;4932 Taxi operation;2013 2nd quarter;111.4;-3.8
422;4932 Taxi operation;2013 3rd quarter;102.4;-1.1
423;4932 Taxi operation;2013 4th quarter;117.0;-2.1
424;4932 Taxi operation;2013;107.8;-3.0
425;4932 Taxi operation;2014 1st quarter;95.7;-4.8
426;4932 Taxi operation;2014 2nd quarter;104.2;-6.5
427;4932 Taxi operation;2014 3rd quarter;94.0;-8.2
428;4932 Taxi operation;2014 4th quarter;108.0;-7.7
429;4932 Taxi operation;2014;100.5;-6.8
430;4932 Taxi operation;2015 1st quarter;91.6;-4.2
431;4932 Taxi operation;2015 2nd quarter;102.7;-1.5
432;4932 Taxi operation;2015 3rd quarter;97.4;3.6
433;4932 Taxi operation;2015 4th quarter;108.3;0.3
434;4932 Taxi operation;2015;100.0;-0.5
435;4932 Taxi operation;2016 1st quarter;97.9;6.9
436;4932 Taxi operation;2016 2nd quarter;106.1;3.3
437;4932 Taxi operation;2016 3rd quarter;97.2;-0.2
438;4932 Taxi operation;2016 4th quarter;112.1;3.5
439;4932 Taxi operation;2016;103.3;3.3
440;4932 Taxi operation;2017 1st quarter;96.2;-1.8
441;4932 Taxi operation;2017 2nd quarter;108.5;2.3
442;4932 Taxi operation;2017 3rd quarter;101.2;4.1
443;4932 Taxi operation;2017 4th quarter;116.1;3.5
444;4932 Taxi operation;2017;105.5;2.1
445;4932 Taxi operation;2018 1st quarter;102.1;6.1
446;4932 Taxi operation;2018 2nd quarter;114.3;5.4
447;4932 Taxi operation;2018 3rd quarter;107.2;5.9
448;4932 Taxi operation;2018 4th quarter;123.7;6.6
449;4932 Taxi operation;2018;111.8;6.0
450;4932 Taxi operation;2019 1st quarter;104.3;2.1
451;4932 Taxi operation;2019 2nd quarter;120.1;5.1
452;4932 Taxi operation;2019 3rd quarter;112.7;5.2
453;4932 Taxi operation;2019 4th quarter;129.4;4.6
454;4932 Taxi operation;2019;116.6;4.3
455;4932 Taxi operation;2020 1st quarter;100.6;-3.5
456;4932 Taxi operation;2020 2nd quarter;61.0;-49.2
457;4932 Taxi operation;2020 3rd quarter;79.3;-29.7
458;4932 Taxi operation;2020 4th quarter;89.5;-30.9
459;4932 Taxi operation;2020;82.6;-29.2
460;4932 Taxi operation;2021 1st quarter;70.8;-29.6
461;4932 Taxi operation;2021 2nd quarter;89.9;47.5
462;4932 Taxi operation;2021 3rd quarter;93.5;17.9
463;4932 Taxi operation;2021 4rd quarter;118.8;32.8
464;4932 Taxi operation;2021;93.3;12.9
465;4932 Taxi operation;2022 1st quarter;102.8;45.2
466;4932 Taxi operation;2022 2nd quarter;134.3;49.4
467;4932 Taxi operation;2022 3rd quarter;124.3;33.0
468;4932 Taxi operation;2022 4th quarter;144.1;21.3
469;4932 Taxi operation;2022;126.4;35.5
470;4932 Taxi operation;2023 1st quarter;134.6;30.9
471;4932 Taxi operation;2023 2nd quarter;154.0;14.7
472;4932 Taxi operation;2023 3rd quarter;138.0;11.0
473;4932 Taxi operation;2023 4th quarter;168.4;16.8
474;4932 Taxi operation;2023;148.7;17.7
475;4939 Other passenger transport by road;2005 1st quarter;67.9;
476;4939 Other passenger transport by road;2005 2nd quarter;78.3;
477;4939 Other passenger transport by road;2005 3rd quarter;72.8;
478;4939 Other passenger transport by road;2005 4th quarter;72.3;
479;4939 Other passenger transport by road;2005;72.8;
480;4939 Other passenger transport by road;2006 1st quarter;63.4;-6.7
481;4939 Other passenger transport by road;2006 2nd quarter;75.4;-3.7
482;4939 Other passenger transport by road;2006 3rd quarter;71.2;-2.2
483;4939 Other passenger transport by road;2006 4th quarter;62.2;-14.1
484;4939 Other passenger transport by road;2006;68.0;-6.6
485;4939 Other passenger transport by road;2007 1st quarter;67.1;5.9
486;4939 Other passenger transport by road;2007 2nd quarter;80.4;6.6
487;4939 Other passenger transport by road;2007 3rd quarter;77.1;8.4
488;4939 Other passenger transport by road;2007 4th quarter;77.6;24.9
489;4939 Other passenger transport by road;2007;75.6;11.1
490;4939 Other passenger transport by road;2008 1st quarter;75.2;12.1
491;4939 Other passenger transport by road;2008 2nd quarter;82.7;2.8
492;4939 Other passenger transport by road;2008 3rd quarter;82.3;6.7
493;4939 Other passenger transport by road;2008 4th quarter;82.6;6.5
494;4939 Other passenger transport by road;2008;80.7;6.8
495;4939 Other passenger transport by road;2009 1st quarter;82.6;9.8
496;4939 Other passenger transport by road;2009 2nd quarter;93.2;12.7
497;4939 Other passenger transport by road;2009 3rd quarter;87.8;6.7
498;4939 Other passenger transport by road;2009 4th quarter;87.4;5.8
