ID;Geslacht;Leeftijd;Herkomstland;VerblijfsduurInNederland;Perioden;BevolkingGeborenBuitenNederland_1
26;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;7 jaar;2024;103097
27;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;8 jaar;2022;57941
28;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;8 jaar;2023;68277
29;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;8 jaar;2024;85047
30;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;9 jaar;2022;50287
31;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;9 jaar;2023;56126
32;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;9 jaar;2024;66303
33;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;10 jaar;2022;52137
34;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;10 jaar;2023;48857
35;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;10 jaar;2024;54585
36;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;11 jaar;2022;48488
37;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;11 jaar;2023;50855
38;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;11 jaar;2024;47642
39;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;12 jaar;2022;46985
40;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;12 jaar;2023;47408
41;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;12 jaar;2024;49768
42;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;13 jaar;2022;46135
43;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;13 jaar;2023;45994
44;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;13 jaar;2024;46520
45;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;14 jaar;2022;37394
46;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;14 jaar;2023;45334
47;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;14 jaar;2024;45164
48;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;15 jaar;2022;31102
49;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;15 jaar;2023;36770
50;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;15 jaar;2024;44563
51;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;16 jaar;2022;29759
52;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;16 jaar;2023;30641
53;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;16 jaar;2024;36222
54;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;17 jaar;2022;31651
55;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;17 jaar;2023;29365
56;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;17 jaar;2024;30203
57;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;18 jaar;2022;34991
58;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;18 jaar;2023;31233
59;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;18 jaar;2024;29003
60;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;19 jaar;2022;38291
61;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;19 jaar;2023;34563
62;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;19 jaar;2024;30857
63;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;20 jaar;2022;43036
64;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;20 jaar;2023;37756
65;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;20 jaar;2024;34116
66;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;21 jaar;2022;44062
67;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;21 jaar;2023;42491
68;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;21 jaar;2024;37346
69;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;22 jaar;2022;37477
70;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;22 jaar;2023;43547
71;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;22 jaar;2024;41963
72;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;23 jaar;2022;38031
73;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;23 jaar;2023;37034
74;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;23 jaar;2024;43061
75;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;24 jaar;2022;34842
76;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;24 jaar;2023;37592
77;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;24 jaar;2024;36627
78;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;25 jaar;2022;35220
79;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;25 jaar;2023;34469
80;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;25 jaar;2024;37143
81;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;26 jaar;2022;30943
82;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;26 jaar;2023;34818
83;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;26 jaar;2024;34106
84;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;27 jaar;2022;29552
85;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;27 jaar;2023;30565
86;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;27 jaar;2024;34436
87;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;28 jaar;2022;36470
88;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;28 jaar;2023;29203
89;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;28 jaar;2024;30229
90;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;29 jaar;2022;34126
91;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;29 jaar;2023;36069
92;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;29 jaar;2024;28873
93;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;30 jaar;2022;33529
94;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;30 jaar;2023;33761
95;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;30 jaar;2024;35701
96;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;31 jaar;2022;33458
97;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;31 jaar;2023;33156
98;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;31 jaar;2024;33423
99;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;32 jaar;2022;28139
100;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;32 jaar;2023;33083
101;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;32 jaar;2024;32794
102;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;33 jaar;2022;26155
103;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;33 jaar;2023;27818
104;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;33 jaar;2024;32731
105;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;34 jaar;2022;25356
106;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;34 jaar;2023;25889
107;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;34 jaar;2024;27545
108;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;35 jaar;2022;23733
109;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;35 jaar;2023;25059
110;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;35 jaar;2024;25616
111;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;36 jaar;2022;19944
112;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;36 jaar;2023;23468
113;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;36 jaar;2024;24782
114;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;37 jaar;2022;15976
115;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;37 jaar;2023;19703
116;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;37 jaar;2024;23200
117;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;38 jaar;2022;15769
118;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;38 jaar;2023;15759
119;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;38 jaar;2024;19438
120;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;39 jaar;2022;17496
121;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;39 jaar;2023;15585
122;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;39 jaar;2024;15572
123;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;40 jaar;2022;21283
124;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;40 jaar;2023;17270
125;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;40 jaar;2024;15412
126;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;41 jaar;2022;36061
127;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;41 jaar;2023;21009
128;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;41 jaar;2024;17060
129;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;42 jaar;2022;32665
130;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;42 jaar;2023;35598
131;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;42 jaar;2024;20769
132;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;43 jaar;2022;23709
133;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;43 jaar;2023;32173
134;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;43 jaar;2024;35129
135;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;44 jaar;2022;20281
136;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;44 jaar;2023;23386
137;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;44 jaar;2024;31708
138;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;45 jaar;2022;20119
139;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;45 jaar;2023;19981
140;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;45 jaar;2024;23027
141;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;46 jaar;2022;37919
142;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;46 jaar;2023;19766
143;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;46 jaar;2024;19665
144;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;47 jaar;2022;22172
145;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;47 jaar;2023;37210
146;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;47 jaar;2024;19437
147;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;48 jaar;2022;17232
148;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;48 jaar;2023;21724
149;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;48 jaar;2024;36512
150;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;49 jaar;2022;14476
151;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;49 jaar;2023;16854
152;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;49 jaar;2024;21294
153;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;50 jaar;2022;15502
154;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;50 jaar;2023;14161
155;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;50 jaar;2024;16510
156;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;51 jaar;2022;14059
157;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;51 jaar;2023;15101
158;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;51 jaar;2024;13889
159;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;52 jaar;2022;10759
160;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;52 jaar;2023;13588
161;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;52 jaar;2024;14706
162;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;53 jaar;2022;8424
163;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;53 jaar;2023;10381
164;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;53 jaar;2024;13161
165;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;54 jaar;2022;6547
166;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;54 jaar;2023;8154
167;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;54 jaar;2024;10041
168;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;55 jaar;2022;8868
169;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;55 jaar;2023;6346
170;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;55 jaar;2024;7877
171;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;56 jaar;2022;8040
172;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;56 jaar;2023;8540
173;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;56 jaar;2024;6163
174;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;57 jaar;2022;6282
175;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;57 jaar;2023;7742
176;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;57 jaar;2024;8227
177;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;58 jaar;2022;4561
178;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;58 jaar;2023;6056
179;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;58 jaar;2024;7429
180;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;59 jaar;2022;8653
181;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;59 jaar;2023;4394
182;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;59 jaar;2024;5825
183;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;60 jaar of meer;2022;72920
184;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;60 jaar of meer;2023;77423
185;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;60 jaar of meer;2024;77698
186;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;Onbekend;2022;2483
187;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;Onbekend;2023;2367
188;Totaal mannen en vrouwen;Totaal;Totaal buiten Nederland;Onbekend;2024;2255
189;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2022;875249
190;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2023;1012528
191;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2024;1068687
192;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Minder dan 1 jaar;2022;111989
193;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Minder dan 1 jaar;2023;206855
194;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Minder dan 1 jaar;2024;148914
195;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);1 jaar;2022;76932
196;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);1 jaar;2023;87318
197;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);1 jaar;2024;163633
198;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2 jaar;2022;69906
199;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2 jaar;2023;65101
200;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2 jaar;2024;72365
201;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);3 jaar;2022;54698
202;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);3 jaar;2023;61159
203;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);3 jaar;2024;56293
204;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);4 jaar;2022;43875
205;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);4 jaar;2023;49517
206;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);4 jaar;2024;55030
207;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);5 jaar;2022;36031
208;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);5 jaar;2023;40388
209;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);5 jaar;2024;45691
210;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);6 jaar;2022;31558
211;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);6 jaar;2023;33736
212;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);6 jaar;2024;37876
213;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);7 jaar;2022;29139
214;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);7 jaar;2023;29863
215;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);7 jaar;2024;32062
216;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);8 jaar;2022;25317
217;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);8 jaar;2023;27823
218;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);8 jaar;2024;28587
219;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);9 jaar;2022;23055
220;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);9 jaar;2023;24309
221;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);9 jaar;2024;26763
222;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);10 jaar;2022;22174
223;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);10 jaar;2023;22210
224;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);10 jaar;2024;23501
225;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);11 jaar;2022;19099
226;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);11 jaar;2023;21474
227;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);11 jaar;2024;21510
228;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);12 jaar;2022;17764
229;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);12 jaar;2023;18548
230;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);12 jaar;2024;20902
231;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);13 jaar;2022;18350
232;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);13 jaar;2023;17303
233;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);13 jaar;2024;18126
234;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);14 jaar;2022;15836
235;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);14 jaar;2023;17945
236;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);14 jaar;2024;16915
237;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);15 jaar;2022;11145
238;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);15 jaar;2023;15514
239;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);15 jaar;2024;17571
240;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);16 jaar;2022;9760
241;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);16 jaar;2023;10943
242;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);16 jaar;2024;15263
243;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);17 jaar;2022;9960
244;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);17 jaar;2023;9618
245;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);17 jaar;2024;10763
246;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);18 jaar;2022;8777
247;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);18 jaar;2023;9796
248;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);18 jaar;2024;9477
249;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);19 jaar;2022;9370
250;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);19 jaar;2023;8640
251;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);19 jaar;2024;9650
252;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);20 jaar;2022;10261
253;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);20 jaar;2023;9208
254;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);20 jaar;2024;8494
255;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);21 jaar;2022;10768
256;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);21 jaar;2023;10093
257;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);21 jaar;2024;9088
258;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);22 jaar;2022;9148
259;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);22 jaar;2023;10617
260;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);22 jaar;2024;9938
261;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);23 jaar;2022;7917
262;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);23 jaar;2023;9004
263;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);23 jaar;2024;10465
264;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);24 jaar;2022;7641
265;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);24 jaar;2023;7798
266;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);24 jaar;2024;8870
267;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);25 jaar;2022;8511
268;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);25 jaar;2023;7530
269;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);25 jaar;2024;7663
270;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);26 jaar;2022;10371
271;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);26 jaar;2023;8389
272;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);26 jaar;2024;7431
273;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);27 jaar;2022;10409
274;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);27 jaar;2023;10220
275;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);27 jaar;2024;8259
276;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);28 jaar;2022;10741
277;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);28 jaar;2023;10266
278;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);28 jaar;2024;10083
279;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);29 jaar;2022;8854
280;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);29 jaar;2023;10601
281;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);29 jaar;2024;10109
282;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);30 jaar;2022;6858
283;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);30 jaar;2023;8724
284;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);30 jaar;2024;10451
285;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);31 jaar;2022;5912
286;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);31 jaar;2023;6763
287;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);31 jaar;2024;8600
288;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);32 jaar;2022;4874
289;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);32 jaar;2023;5813
290;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);32 jaar;2024;6672
291;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);33 jaar;2022;4633
292;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);33 jaar;2023;4787
293;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);33 jaar;2024;5719
294;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);34 jaar;2022;4456
295;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);34 jaar;2023;4564
296;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);34 jaar;2024;4714
297;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);35 jaar;2022;4377
298;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);35 jaar;2023;4379
299;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);35 jaar;2024;4492
300;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);36 jaar;2022;3789
301;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);36 jaar;2023;4310
302;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);36 jaar;2024;4314
303;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);37 jaar;2022;3446
