ID;Leeftijden;Herkomstgroepering;Perioden;WanbetalersZorgverzekering_1;WanbetalersZorgverzekeringRelatief_2
46;53110;Allochtoon;2008;58310;6.5
47;53110;Allochtoon;2009;73050;8.0
48;53110;Marokko;2006;5860;5.7
49;53110;Marokko;2007;8620;8.4
50;53110;Marokko;2008;9480;9.3
51;53110;Marokko;2009;11950;11.6
52;53110;(voormalige) Nederlandse Antillen, Aruba;2006;4900;11.3
53;53110;(voormalige) Nederlandse Antillen, Aruba;2007;6750;15.4
54;53110;(voormalige) Nederlandse Antillen, Aruba;2008;7510;16.6
55;53110;(voormalige) Nederlandse Antillen, Aruba;2009;9140;19.3
56;53110;Suriname;2006;7730;8.2
57;53110;Suriname;2007;11050;11.8
58;53110;Suriname;2008;11780;12.5
59;53110;Suriname;2009;14320;15.0
60;53110;Turkije;2006;5020;4.3
61;53110;Turkije;2007;7160;6.2
62;53110;Turkije;2008;7530;6.4
63;53110;Turkije;2009;9210;7.8
64;53110;Overige niet-westerse allochtonen;2006;7330;4.0
65;53110;Overige niet-westerse allochtonen;2007;10190;5.5
66;53110;Overige niet-westerse allochtonen;2008;10790;5.5
67;53110;Overige niet-westerse allochtonen;2009;14110;6.8
68;53110;Overige westerse allochtonen;2006;8240;2.6
69;53110;Overige westerse allochtonen;2007;10790;3.4
70;53110;Overige westerse allochtonen;2008;11220;3.4
71;53110;Overige westerse allochtonen;2009;14330;4.2
72;53705;Totaal herkomstgroepering;2006;68770;1.8
73;53705;Totaal herkomstgroepering;2007;87910;2.3
74;53705;Totaal herkomstgroepering;2008;94610;2.5
75;53705;Totaal herkomstgroepering;2009;117020;3.1
76;53705;Autochtoon;2006;45670;1.5
77;53705;Autochtoon;2007;54510;1.8
78;53705;Autochtoon;2008;57810;1.9
79;53705;Autochtoon;2009;70000;2.4
80;53705;Allochtoon;2006;23100;3.0
81;53705;Allochtoon;2007;33400;4.3
82;53705;Allochtoon;2008;36800;4.7
83;53705;Allochtoon;2009;47020;5.8
84;53705;Marokko;2006;1690;2.6
85;53705;Marokko;2007;2790;4.2
86;53705;Marokko;2008;3290;4.7
87;53705;Marokko;2009;4330;5.9
88;53705;(voormalige) Nederlandse Antillen, Aruba;2006;2750;10.0
89;53705;(voormalige) Nederlandse Antillen, Aruba;2007;3940;14.0
90;53705;(voormalige) Nederlandse Antillen, Aruba;2008;4290;15.0
91;53705;(voormalige) Nederlandse Antillen, Aruba;2009;5290;18.2
92;53705;Suriname;2006;4660;5.3
93;53705;Suriname;2007;6680;7.5
94;53705;Suriname;2008;7510;8.5
95;53705;Suriname;2009;9320;10.5
96;53705;Turkije;2006;2530;3.0
97;53705;Turkije;2007;4110;4.6
98;53705;Turkije;2008;4790;5.1
99;53705;Turkije;2009;6320;6.4
100;53705;Overige niet-westerse allochtonen;2006;3950;2.8
101;53705;Overige niet-westerse allochtonen;2007;5710;4.0
102;53705;Overige niet-westerse allochtonen;2008;6060;4.1
103;53705;Overige niet-westerse allochtonen;2009;8070;5.3
104;53705;Overige westerse allochtonen;2006;7530;2.1
105;53705;Overige westerse allochtonen;2007;10180;2.8
106;53705;Overige westerse allochtonen;2008;10880;3.0
107;53705;Overige westerse allochtonen;2009;13690;3.8
108;53850;Totaal herkomstgroepering;2006;31410;1.0
109;53850;Totaal herkomstgroepering;2007;35950;1.1
110;53850;Totaal herkomstgroepering;2008;40510;1.2
111;53850;Totaal herkomstgroepering;2009;51700;1.6
112;53850;Autochtoon;2006;23260;0.9
113;53850;Autochtoon;2007;24530;0.9
114;53850;Autochtoon;2008;27240;1.0
115;53850;Autochtoon;2009;34220;1.2
116;53850;Allochtoon;2006;8150;1.7
117;53850;Allochtoon;2007;11420;2.3
118;53850;Allochtoon;2008;13280;2.6
119;53850;Allochtoon;2009;17480;3.3
120;53850;Marokko;2006;290;1.1
121;53850;Marokko;2007;470;1.8
122;53850;Marokko;2008;540;2.0
123;53850;Marokko;2009;720;2.5
124;53850;(voormalige) Nederlandse Antillen, Aruba;2006;860;5.7
125;53850;(voormalige) Nederlandse Antillen, Aruba;2007;1300;8.2
126;53850;(voormalige) Nederlandse Antillen, Aruba;2008;1570;9.3
127;53850;(voormalige) Nederlandse Antillen, Aruba;2009;2060;11.6
128;53850;Suriname;2006;1690;3.6
129;53850;Suriname;2007;2460;4.9
130;53850;Suriname;2008;2960;5.5
131;53850;Suriname;2009;3830;6.7
132;53850;Turkije;2006;370;1.2
133;53850;Turkije;2007;620;2.1
134;53850;Turkije;2008;730;2.4
135;53850;Turkije;2009;990;3.0
136;53850;Overige niet-westerse allochtonen;2006;850;1.7
137;53850;Overige niet-westerse allochtonen;2007;1400;2.5
138;53850;Overige niet-westerse allochtonen;2008;1760;2.9
139;53850;Overige niet-westerse allochtonen;2009;2450;3.6
140;53850;Overige westerse allochtonen;2006;4110;1.3
141;53850;Overige westerse allochtonen;2007;5160;1.7
142;53850;Overige westerse allochtonen;2008;5720;1.8
143;53850;Overige westerse allochtonen;2009;7430;2.3
144;80200;Totaal herkomstgroepering;2006;4550;0.2
145;80200;Totaal herkomstgroepering;2007;6920;0.3
146;80200;Totaal herkomstgroepering;2008;6520;0.3
147;80200;Totaal herkomstgroepering;2009;7950;0.3
148;80200;Autochtoon;2006;3270;0.2
149;80200;Autochtoon;2007;5050;0.2
150;80200;Autochtoon;2008;4490;0.2
151;80200;Autochtoon;2009;5370;0.2
152;80200;Allochtoon;2006;1280;0.5
153;80200;Allochtoon;2007;1870;0.6
154;80200;Allochtoon;2008;2040;0.7
155;80200;Allochtoon;2009;2580;0.8
156;80200;Marokko;2006;70;0.6
157;80200;Marokko;2007;120;0.9
158;80200;Marokko;2008;130;0.9
159;80200;Marokko;2009;160;1.0
160;80200;(voormalige) Nederlandse Antillen, Aruba;2006;100;2.8
161;80200;(voormalige) Nederlandse Antillen, Aruba;2007;160;4.0
162;80200;(voormalige) Nederlandse Antillen, Aruba;2008;190;4.5
163;80200;(voormalige) Nederlandse Antillen, Aruba;2009;250;5.1
164;80200;Suriname;2006;160;1.0
165;80200;Suriname;2007;270;1.5
166;80200;Suriname;2008;320;1.7
167;80200;Suriname;2009;430;2.2
168;80200;Turkije;2006;120;0.9
169;80200;Turkije;2007;180;1.2
170;80200;Turkije;2008;170;1.1
171;80200;Turkije;2009;230;1.4
172;80200;Overige niet-westerse allochtonen;2006;80;0.6
173;80200;Overige niet-westerse allochtonen;2007;120;1.0
174;80200;Overige niet-westerse allochtonen;2008;150;1.0
175;80200;Overige niet-westerse allochtonen;2009;200;1.3
176;80200;Overige westerse allochtonen;2006;750;0.3
177;80200;Overige westerse allochtonen;2007;1030;0.4
178;80200;Overige westerse allochtonen;2008;1070;0.5
179;80200;Overige westerse allochtonen;2009;1310;0.5
