ID;RegioS;AutochtonenAllochtonen;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
56;Utrecht;Herkomst: Nederland;650.4;19.4
57;Utrecht;Herkomst: Niet-Nederland;123.8;17.6
58;Utrecht;Herkomst: Westers land;64.7;20.0
59;Utrecht;Herkomst: Niet-westers land;59.0;14.9
60;Noord-Holland;Herkomst (land);1747.8;18.8
61;Noord-Holland;Herkomst: Nederland;1372.5;19.1
62;Noord-Holland;Herkomst: Niet-Nederland;375.3;17.9
63;Noord-Holland;Herkomst: Westers land;176.1;20.4
64;Noord-Holland;Herkomst: Niet-westers land;199.1;15.6
65;Zuid-Holland;Herkomst (land);2282.8;18.4
66;Zuid-Holland;Herkomst: Nederland;1812.9;18.7
67;Zuid-Holland;Herkomst: Niet-Nederland;469.9;17.2
68;Zuid-Holland;Herkomst: Westers land;202.7;20.0
69;Zuid-Holland;Herkomst: Niet-westers land;267.2;15.0
70;Zeeland;Herkomst (land);250.6;17.3
71;Zeeland;Herkomst: Nederland;219.7;17.4
72;Zeeland;Herkomst: Niet-Nederland;30.9;16.2
73;Zeeland;Herkomst: Westers land;24.0;16.8
74;Zeeland;Herkomst: Niet-westers land;6.9;14.2
75;Noord-Brabant;Herkomst (land);1618.5;17.5
76;Noord-Brabant;Herkomst: Nederland;1414.9;17.7
77;Noord-Brabant;Herkomst: Niet-Nederland;203.6;16.4
78;Noord-Brabant;Herkomst: Westers land;125.1;17.7
79;Noord-Brabant;Herkomst: Niet-westers land;78.5;14.2
80;Limburg;Herkomst (land);771.3;16.7
81;Limburg;Herkomst: Nederland;633.3;16.9
82;Limburg;Herkomst: Niet-Nederland;138.1;15.7
83;Limburg;Herkomst: Westers land;113.1;16.1
84;Limburg;Herkomst: Niet-westers land;25.0;13.7
85;Oost-Groningen;Herkomst (land);103.6;15.6
86;Oost-Groningen;Herkomst: Nederland;96.3;15.6
87;Oost-Groningen;Herkomst: Niet-Nederland;7.3;15.3
88;Oost-Groningen;Herkomst: Westers land;5.6;15.8
89;Oost-Groningen;Herkomst: Niet-westers land;1.6;13.7
90;Delfzijl en omgeving;Herkomst (land);34.5;16.5
91;Delfzijl en omgeving;Herkomst: Nederland;30.9;16.7
92;Delfzijl en omgeving;Herkomst: Niet-Nederland;3.6;15.0
93;Delfzijl en omgeving;Herkomst: Westers land;2.3;15.7
94;Delfzijl en omgeving;Herkomst: Niet-westers land;1.3;13.8
95;Overig Groningen;Herkomst (land);243.7;16.7
96;Overig Groningen;Herkomst: Nederland;218.1;16.8
97;Overig Groningen;Herkomst: Niet-Nederland;25.5;15.9
98;Overig Groningen;Herkomst: Westers land;16.0;17.2
99;Overig Groningen;Herkomst: Niet-westers land;9.6;13.9
100;Noord-Friesland;Herkomst (land);215.5;16.4
101;Noord-Friesland;Herkomst: Nederland;201.5;16.4
102;Noord-Friesland;Herkomst: Niet-Nederland;14.0;15.2
103;Noord-Friesland;Herkomst: Westers land;9.3;16.0
104;Noord-Friesland;Herkomst: Niet-westers land;4.7;13.6
105;Zuidwest-Friesland;Herkomst (land);67.9;16.6
106;Zuidwest-Friesland;Herkomst: Nederland;63.7;16.7
107;Zuidwest-Friesland;Herkomst: Niet-Nederland;4.2;15.7
108;Zuidwest-Friesland;Herkomst: Westers land;3.2;16.7
109;Zuidwest-Friesland;Herkomst: Niet-westers land;0.9;12.3
110;Zuidoost-Friesland;Herkomst (land);135.2;16.6
111;Zuidoost-Friesland;Herkomst: Nederland;126.3;16.7
112;Zuidoost-Friesland;Herkomst: Niet-Nederland;8.9;15.5
113;Zuidoost-Friesland;Herkomst: Westers land;6.1;16.2
114;Zuidoost-Friesland;Herkomst: Niet-westers land;2.8;14.1
115;Noord-Drenthe;Herkomst (land);123.1;17.5
116;Noord-Drenthe;Herkomst: Nederland;114.1;17.5
117;Noord-Drenthe;Herkomst: Niet-Nederland;9.0;17.7
118;Noord-Drenthe;Herkomst: Westers land;6.8;18.7
119;Noord-Drenthe;Herkomst: Niet-westers land;2.1;14.6
120;Zuidoost-Drenthe;Herkomst (land);114.7;15.8
121;Zuidoost-Drenthe;Herkomst: Nederland;106.4;15.8
122;Zuidoost-Drenthe;Herkomst: Niet-Nederland;8.4;15.1
123;Zuidoost-Drenthe;Herkomst: Westers land;6.7;15.5
124;Zuidoost-Drenthe;Herkomst: Niet-westers land;1.7;13.6
125;Zuidwest-Drenthe;Herkomst (land);84.5;16.8
126;Zuidwest-Drenthe;Herkomst: Nederland;79.3;16.8
127;Zuidwest-Drenthe;Herkomst: Niet-Nederland;5.2;16.4
128;Zuidwest-Drenthe;Herkomst: Westers land;3.8;17.0
129;Zuidwest-Drenthe;Herkomst: Niet-westers land;1.4;14.8
130;Noord-Overijssel;Herkomst (land);221.2;16.6
131;Noord-Overijssel;Herkomst: Nederland;205.1;16.7
132;Noord-Overijssel;Herkomst: Niet-Nederland;16.1;15.6
133;Noord-Overijssel;Herkomst: Westers land;9.8;16.8
134;Noord-Overijssel;Herkomst: Niet-westers land;6.3;13.8
135;Zuidwest-Overijssel;Herkomst (land);98.1;16.6
136;Zuidwest-Overijssel;Herkomst: Nederland;86.1;16.8
137;Zuidwest-Overijssel;Herkomst: Niet-Nederland;12.0;15.3
138;Zuidwest-Overijssel;Herkomst: Westers land;6.7;16.9
139;Zuidwest-Overijssel;Herkomst: Niet-westers land;5.3;13.3
140;Twente;Herkomst (land);403.4;16.4
141;Twente;Herkomst: Nederland;345.9;16.6
142;Twente;Herkomst: Niet-Nederland;57.5;15.2
143;Twente;Herkomst: Westers land;36.3;16.2
144;Twente;Herkomst: Niet-westers land;21.2;13.3
145;Veluwe;Herkomst (land);418.0;17.6
146;Veluwe;Herkomst: Nederland;376.6;17.7
147;Veluwe;Herkomst: Niet-Nederland;41.4;16.8
148;Veluwe;Herkomst: Westers land;26.4;18.0
149;Veluwe;Herkomst: Niet-westers land;15.1;14.5
150;Achterhoek;Herkomst (land);257.9;16.6
151;Achterhoek;Herkomst: Nederland;233.0;16.7
152;Achterhoek;Herkomst: Niet-Nederland;24.9;15.8
153;Achterhoek;Herkomst: Westers land;17.8;16.6
154;Achterhoek;Herkomst: Niet-westers land;7.1;13.9
155;Arnhem/Nijmegen;Herkomst (land);471.2;17.3
156;Arnhem/Nijmegen;Herkomst: Nederland;400.4;17.5
157;Arnhem/Nijmegen;Herkomst: Niet-Nederland;70.8;16.3
158;Arnhem/Nijmegen;Herkomst: Westers land;47.6;17.4
159;Arnhem/Nijmegen;Herkomst: Niet-westers land;23.2;14.2
160;Zuidwest-Gelderland;Herkomst (land);148.2;17.9
161;Zuidwest-Gelderland;Herkomst: Nederland;134.4;18.0
162;Zuidwest-Gelderland;Herkomst: Niet-Nederland;13.8;16.7
163;Zuidwest-Gelderland;Herkomst: Westers land;8.4;18.4
164;Zuidwest-Gelderland;Herkomst: Niet-westers land;5.4;14.2
165;Utrecht;Herkomst (land);774.1;19.1
166;Utrecht;Herkomst: Nederland;650.4;19.4
167;Utrecht;Herkomst: Niet-Nederland;123.8;17.6
168;Utrecht;Herkomst: Westers land;64.7;20.0
169;Utrecht;Herkomst: Niet-westers land;59.0;14.9
170;Kop van Noord-Holland;Herkomst (land);241.1;17.3
171;Kop van Noord-Holland;Herkomst: Nederland;216.6;17.4
172;Kop van Noord-Holland;Herkomst: Niet-Nederland;24.5;16.5
173;Kop van Noord-Holland;Herkomst: Westers land;15.7;17.5
174;Kop van Noord-Holland;Herkomst: Niet-westers land;8.8;14.9
175;Alkmaar en omgeving;Herkomst (land);151.5;18.1
176;Alkmaar en omgeving;Herkomst: Nederland;131.5;18.3
177;Alkmaar en omgeving;Herkomst: Niet-Nederland;20.0;16.8
178;Alkmaar en omgeving;Herkomst: Westers land;11.6;18.5
179;Alkmaar en omgeving;Herkomst: Niet-westers land;8.4;14.4
180;IJmond;Herkomst (land);128.8;18.4
181;IJmond;Herkomst: Nederland;112.7;18.5
182;IJmond;Herkomst: Niet-Nederland;16.1;17.3
183;IJmond;Herkomst: Westers land;10.8;18.4
184;IJmond;Herkomst: Niet-westers land;5.3;15.0
185;Agglomeratie Haarlem;Herkomst (land);152.4;19.8
186;Agglomeratie Haarlem;Herkomst: Nederland;124.5;19.9
187;Agglomeratie Haarlem;Herkomst: Niet-Nederland;27.8;19.1
188;Agglomeratie Haarlem;Herkomst: Westers land;15.7;21.6
189;Agglomeratie Haarlem;Herkomst: Niet-westers land;12.1;15.9
190;Zaanstreek;Herkomst (land);107.0;17.6
191;Zaanstreek;Herkomst: Nederland;87.2;17.9
192;Zaanstreek;Herkomst: Niet-Nederland;19.8;16.1
193;Zaanstreek;Herkomst: Westers land;9.0;17.6
194;Zaanstreek;Herkomst: Niet-westers land;10.8;14.8
195;Groot-Amsterdam;Herkomst (land);801.7;19.0
196;Groot-Amsterdam;Herkomst: Nederland;560.2;19.5
197;Groot-Amsterdam;Herkomst: Niet-Nederland;241.5;17.8
198;Groot-Amsterdam;Herkomst: Westers land;96.0;21.0
199;Groot-Amsterdam;Herkomst: Niet-westers land;145.5;15.7
200;Het Gooi en Vechtstreek;Herkomst (land);165.3;21.1
201;Het Gooi en Vechtstreek;Herkomst: Nederland;139.8;21.1
202;Het Gooi en Vechtstreek;Herkomst: Niet-Nederland;25.5;20.9
203;Het Gooi en Vechtstreek;Herkomst: Westers land;17.4;23.1
204;Het Gooi en Vechtstreek;Herkomst: Niet-westers land;8.1;16.3
205;Agglomeratie Leiden en Bollenstreek;Herkomst (land);259.9;19.1
206;Agglomeratie Leiden en Bollenstreek;Herkomst: Nederland;226.0;19.0
207;Agglomeratie Leiden en Bollenstreek;Herkomst: Niet-Nederland;33.8;19.2
208;Agglomeratie Leiden en Bollenstreek;Herkomst: Westers land;21.1;21.3
209;Agglomeratie Leiden en Bollenstreek;Herkomst: Niet-westers land;12.8;15.6
210;Agglomeratie 's-Gravenhage;Herkomst (land);509.3;19.2
211;Agglomeratie 's-Gravenhage;Herkomst: Nederland;361.7;19.4
212;Agglomeratie 's-Gravenhage;Herkomst: Niet-Nederland;147.5;18.5
213;Agglomeratie 's-Gravenhage;Herkomst: Westers land;62.2;22.5
214;Agglomeratie 's-Gravenhage;Herkomst: Niet-westers land;85.3;15.6
215;Delft en Westland;Herkomst (land);141.5;17.9
216;Delft en Westland;Herkomst: Nederland;123.3;18.1
217;Delft en Westland;Herkomst: Niet-Nederland;18.1;16.5
218;Delft en Westland;Herkomst: Westers land;9.7;18.4
219;Delft en Westland;Herkomst: Niet-westers land;8.4;14.3
220;Oost-Zuid-Holland;Herkomst (land);212.5;18.7
221;Oost-Zuid-Holland;Herkomst: Nederland;187.2;18.9
222;Oost-Zuid-Holland;Herkomst: Niet-Nederland;25.3;17.4
223;Oost-Zuid-Holland;Herkomst: Westers land;14.4;19.2
224;Oost-Zuid-Holland;Herkomst: Niet-westers land;10.9;15.0
225;Groot-Rijnmond;Herkomst (land);899.9;17.8
226;Groot-Rijnmond;Herkomst: Nederland;691.2;18.4
227;Groot-Rijnmond;Herkomst: Niet-Nederland;208.7;16.1
228;Groot-Rijnmond;Herkomst: Westers land;76.0;18.4
229;Groot-Rijnmond;Herkomst: Niet-westers land;132.7;14.8
230;Zuidoost-Zuid-Holland;Herkomst (land);259.9;17.9
231;Zuidoost-Zuid-Holland;Herkomst: Nederland;223.5;18.2
232;Zuidoost-Zuid-Holland;Herkomst: Niet-Nederland;36.4;16.1
233;Zuidoost-Zuid-Holland;Herkomst: Westers land;19.2;17.7
234;Zuidoost-Zuid-Holland;Herkomst: Niet-westers land;17.1;14.3
235;Zeeuwsch-Vlaanderen;Herkomst (land);72.1;17.3
236;Zeeuwsch-Vlaanderen;Herkomst: Nederland;58.7;17.5
237;Zeeuwsch-Vlaanderen;Herkomst: Niet-Nederland;13.4;16.4
238;Zeeuwsch-Vlaanderen;Herkomst: Westers land;11.6;16.7
239;Zeeuwsch-Vlaanderen;Herkomst: Niet-westers land;1.8;14.3
240;Overig Zeeland;Herkomst (land);178.4;17.3
241;Overig Zeeland;Herkomst: Nederland;160.9;17.4
242;Overig Zeeland;Herkomst: Niet-Nederland;17.5;16.0
243;Overig Zeeland;Herkomst: Westers land;12.4;16.8
244;Overig Zeeland;Herkomst: Niet-westers land;5.1;14.1
245;West-Noord-Brabant;Herkomst (land);406.7;17.7
246;West-Noord-Brabant;Herkomst: Nederland;352.5;17.9
247;West-Noord-Brabant;Herkomst: Niet-Nederland;54.2;16.4
248;West-Noord-Brabant;Herkomst: Westers land;33.3;17.8
249;West-Noord-Brabant;Herkomst: Niet-westers land;20.9;14.1
250;Midden-Noord-Brabant;Herkomst (land);303.9;17.2
251;Midden-Noord-Brabant;Herkomst: Nederland;265.8;17.4
252;Midden-Noord-Brabant;Herkomst: Niet-Nederland;38.1;15.8
253;Midden-Noord-Brabant;Herkomst: Westers land;21.8;17.1
254;Midden-Noord-Brabant;Herkomst: Niet-westers land;16.3;14.0
255;Noordoost-Noord-Brabant;Herkomst (land);421.2;17.5
256;Noordoost-Noord-Brabant;Herkomst: Nederland;376.0;17.7
257;Noordoost-Noord-Brabant;Herkomst: Niet-Nederland;45.2;16.1
258;Noordoost-Noord-Brabant;Herkomst: Westers land;27.8;17.6
259;Noordoost-Noord-Brabant;Herkomst: Niet-westers land;17.4;13.8
260;Zuidoost-Noord-Brabant;Herkomst (land);486.7;17.6
261;Zuidoost-Noord-Brabant;Herkomst: Nederland;420.6;17.8
262;Zuidoost-Noord-Brabant;Herkomst: Niet-Nederland;66.1;16.8
263;Zuidoost-Noord-Brabant;Herkomst: Westers land;42.2;18.0
264;Zuidoost-Noord-Brabant;Herkomst: Niet-westers land;23.9;14.9
265;Noord-Limburg;Herkomst (land);187.2;16.5
266;Noord-Limburg;Herkomst: Nederland;159.7;16.7
267;Noord-Limburg;Herkomst: Niet-Nederland;27.5;15.3
268;Noord-Limburg;Herkomst: Westers land;19.9;15.9
269;Noord-Limburg;Herkomst: Niet-westers land;7.6;13.7
270;Midden-Limburg;Herkomst (land);158.1;17.1
271;Midden-Limburg;Herkomst: Nederland;134.1;17.3
272;Midden-Limburg;Herkomst: Niet-Nederland;24.0;15.8
273;Midden-Limburg;Herkomst: Westers land;18.5;16.3
274;Midden-Limburg;Herkomst: Niet-westers land;5.5;14.0
275;Zuid-Limburg;Herkomst (land);426.0;16.7
276;Zuid-Limburg;Herkomst: Nederland;339.4;16.9
277;Zuid-Limburg;Herkomst: Niet-Nederland;86.6;15.8
278;Zuid-Limburg;Herkomst: Westers land;74.7;16.2
279;Zuid-Limburg;Herkomst: Niet-westers land;11.9;13.6
280;Flevoland;Herkomst (land);219.3;17.6
281;Flevoland;Herkomst: Nederland;177.1;17.8
282;Flevoland;Herkomst: Niet-Nederland;42.2;16.6
283;Flevoland;Herkomst: Westers land;17.5;18.0
284;Flevoland;Herkomst: Niet-westers land;24.7;15.7
285;Groningen;Herkomst (land);134.9;16.6
286;Groningen;Herkomst: Nederland;116.3;16.8
287;Groningen;Herkomst: Niet-Nederland;18.6;15.8
288;Groningen;Herkomst: Westers land;11.5;17.1
289;Groningen;Herkomst: Niet-westers land;7.2;13.6
290;Leeuwarden;Herkomst (land);62.3;16.2
291;Leeuwarden;Herkomst: Nederland;54.6;16.4
292;Leeuwarden;Herkomst: Niet-Nederland;7.7;14.6
293;Leeuwarden;Herkomst: Westers land;4.4;15.7
294;Leeuwarden;Herkomst: Niet-westers land;3.3;13.1
295;Zwolle;Herkomst (land);75.6;17.2
296;Zwolle;Herkomst: Nederland;66.2;17.4
297;Zwolle;Herkomst: Niet-Nederland;9.4;15.5
298;Zwolle;Herkomst: Westers land;5.1;16.9
299;Zwolle;Herkomst: Niet-westers land;4.3;13.9
300;Enschede;Herkomst (land);99.9;15.7
301;Enschede;Herkomst: Nederland;77.6;16.0
302;Enschede;Herkomst: Niet-Nederland;22.3;14.5
303;Enschede;Herkomst: Westers land;13.1;15.4
304;Enschede;Herkomst: Niet-westers land;9.2;13.3
305;Apeldoorn;Herkomst (land);106.6;17.7
306;Apeldoorn;Herkomst: Nederland;93.0;17.9
307;Apeldoorn;Herkomst: Niet-Nederland;13.6;16.8
308;Apeldoorn;Herkomst: Westers land;8.7;17.9
309;Apeldoorn;Herkomst: Niet-westers land;4.9;14.8
310;Arnhem;Herkomst (land);92.7;17.2
311;Arnhem;Herkomst: Nederland;72.8;17.6
312;Arnhem;Herkomst: Niet-Nederland;19.8;16.0
313;Arnhem;Herkomst: Westers land;11.0;17.2
314;Arnhem;Herkomst: Niet-westers land;8.8;14.4
315;Nijmegen;Herkomst (land);106.4;16.7
316;Nijmegen;Herkomst: Nederland;85.7;17.0
317;Nijmegen;Herkomst: Niet-Nederland;20.8;15.4
318;Nijmegen;Herkomst: Westers land;12.4;16.6
319;Nijmegen;Herkomst: Niet-westers land;8.4;13.6
320;Amersfoort;Herkomst (land);107.2;19.2
321;Amersfoort;Herkomst: Nederland;88.4;19.6
322;Amersfoort;Herkomst: Niet-Nederland;18.8;17.7
323;Amersfoort;Herkomst: Westers land;9.9;20.3
324;Amersfoort;Herkomst: Niet-westers land;8.9;14.8
325;Utrecht;Herkomst (land);275.9;18.2
326;Utrecht;Herkomst: Nederland;216.3;18.7
327;Utrecht;Herkomst: Niet-Nederland;59.6;16.5
328;Utrecht;Herkomst: Westers land;26.4;18.6
329;Utrecht;Herkomst: Niet-westers land;33.2;14.8
330;Amsterdam;Herkomst (land);686.2;18.7
331;Amsterdam;Herkomst: Nederland;456.5;19.3
332;Amsterdam;Herkomst: Niet-Nederland;229.7;17.6
333;Amsterdam;Herkomst: Westers land;86.3;21.0
334;Amsterdam;Herkomst: Niet-westers land;143.4;15.6
335;Haarlem;Herkomst (land);133.0;19.7
336;Haarlem;Herkomst: Nederland;107.7;19.9
337;Haarlem;Herkomst: Niet-Nederland;25.3;18.9
338;Haarlem;Herkomst: Westers land;13.7;21.5
339;Haarlem;Herkomst: Niet-westers land;11.6;15.8
340;Leiden;Herkomst (land);168.6;19.2
341;Leiden;Herkomst: Nederland;142.9;19.2
342;Leiden;Herkomst: Niet-Nederland;25.7;19.3
343;Leiden;Herkomst: Westers land;15.2;21.8
344;Leiden;Herkomst: Niet-westers land;10.5;15.7
345;'s-Gravenhage;Herkomst (land);422.0;19.2
346;'s-Gravenhage;Herkomst: Nederland;292.9;19.4
347;'s-Gravenhage;Herkomst: Niet-Nederland;129.1;18.5
348;'s-Gravenhage;Herkomst: Westers land;52.4;23.0
349;'s-Gravenhage;Herkomst: Niet-westers land;76.8;15.5
350;Rotterdam;Herkomst (land);668.9;17.4
351;Rotterdam;Herkomst: Nederland;481.1;18.1
352;Rotterdam;Herkomst: Niet-Nederland;187.8;15.8
353;Rotterdam;Herkomst: Westers land;61.8;18.0
354;Rotterdam;Herkomst: Niet-westers land;125.9;14.7
355;Dordrecht;Herkomst (land);162.7;17.8
356;Dordrecht;Herkomst: Nederland;137.0;18.1
357;Dordrecht;Herkomst: Niet-Nederland;25.6;16.0
358;Dordrecht;Herkomst: Westers land;13.0;17.8
359;Dordrecht;Herkomst: Niet-westers land;12.7;14.2
360;Breda;Herkomst (land);112.4;18.1
361;Breda;Herkomst: Nederland;93.4;18.4
362;Breda;Herkomst: Niet-Nederland;18.9;16.6
363;Breda;Herkomst: Westers land;11.3;18.3
364;Breda;Herkomst: Niet-westers land;7.6;14.2
365;Tilburg;Herkomst (land);151.7;16.7
366;Tilburg;Herkomst: Nederland;126.7;17.0
367;Tilburg;Herkomst: Niet-Nederland;25.1;15.4
368;Tilburg;Herkomst: Westers land;12.6;16.9
369;Tilburg;Herkomst: Niet-westers land;12.5;13.8
370;'s-Hertogenbosch;Herkomst (land);109.0;18.2
371;'s-Hertogenbosch;Herkomst: Nederland;93.0;18.5
372;'s-Hertogenbosch;Herkomst: Niet-Nederland;16.0;16.3
373;'s-Hertogenbosch;Herkomst: Westers land;9.4;18.2
374;'s-Hertogenbosch;Herkomst: Niet-westers land;6.6;13.6
375;Eindhoven;Herkomst (land);210.7;17.8
376;Eindhoven;Herkomst: Nederland;172.0;18.0
377;Eindhoven;Herkomst: Niet-Nederland;38.6;17.0
378;Eindhoven;Herkomst: Westers land;22.2;18.5
379;Eindhoven;Herkomst: Niet-westers land;16.5;15.0
380;Geleen/Sittard;Herkomst (land);95.8;17.3
381;Geleen/Sittard;Herkomst: Nederland;78.1;17.6
382;Geleen/Sittard;Herkomst: Niet-Nederland;17.8;16.2
383;Geleen/Sittard;Herkomst: Westers land;15.0;16.6
384;Geleen/Sittard;Herkomst: Niet-westers land;2.8;14.1
385;Heerlen;Herkomst (land);144.9;15.9
386;Heerlen;Herkomst: Nederland;106.6;16.1
387;Heerlen;Herkomst: Niet-Nederland;38.3;15.1
388;Heerlen;Herkomst: Westers land;33.9;15.4
389;Heerlen;Herkomst: Niet-westers land;4.4;13.3
390;Maastricht;Herkomst (land);84.5;16.4
391;Maastricht;Herkomst: Nederland;69.0;16.5
392;Maastricht;Herkomst: Niet-Nederland;15.5;16.0
393;Maastricht;Herkomst: Westers land;11.9;16.8
394;Maastricht;Herkomst: Niet-westers land;3.6;13.3
395;Groningen;Herkomst (land);228.6;17.1
396;Groningen;Herkomst: Nederland;205.0;17.2
397;Groningen;Herkomst: Niet-Nederland;23.6;16.4
398;Groningen;Herkomst: Westers land;15.5;17.7
399;Groningen;Herkomst: Niet-westers land;8.1;14.0
400;Leeuwarden;Herkomst (land);105.5;16.5
401;Leeuwarden;Herkomst: Nederland;96.0;16.7
402;Leeuwarden;Herkomst: Niet-Nederland;9.5;15.0
403;Leeuwarden;Herkomst: Westers land;5.8;16.1
404;Leeuwarden;Herkomst: Niet-westers land;3.7;13.2
405;Zwolle;Herkomst (land);112.3;17.3
406;Zwolle;Herkomst: Nederland;101.6;17.4
407;Zwolle;Herkomst: Niet-Nederland;10.7;16.1
408;Zwolle;Herkomst: Westers land;6.1;17.7
409;Zwolle;Herkomst: Niet-westers land;4.6;14.1
410;Enschede;Herkomst (land);204.7;16.3
411;Enschede;Herkomst: Nederland;166.2;16.6
412;Enschede;Herkomst: Niet-Nederland;38.4;14.9
413;Enschede;Herkomst: Westers land;23.8;15.8
414;Enschede;Herkomst: Niet-westers land;14.6;13.4
415;Apeldoorn;Herkomst (land);145.0;17.5
416;Apeldoorn;Herkomst: Nederland;127.9;17.6
417;Apeldoorn;Herkomst: Niet-Nederland;17.1;16.8
418;Apeldoorn;Herkomst: Westers land;11.3;17.8
419;Apeldoorn;Herkomst: Niet-westers land;5.8;14.8
420;Arnhem;Herkomst (land);232.3;17.6
421;Arnhem;Herkomst: Nederland;197.5;17.7
422;Arnhem;Herkomst: Niet-Nederland;34.8;16.6
423;Arnhem;Herkomst: Westers land;23.1;17.8
424;Arnhem;Herkomst: Niet-westers land;11.7;14.4
425;Nijmegen;Herkomst (land);184.8;17.1
426;Nijmegen;Herkomst: Nederland;155.7;17.3
427;Nijmegen;Herkomst: Niet-Nederland;29.2;16.1
428;Nijmegen;Herkomst: Westers land;19.2;17.2
429;Nijmegen;Herkomst: Niet-westers land;10.0;14.0
430;Amersfoort;Herkomst (land);174.4;19.0
431;Amersfoort;Herkomst: Nederland;148.3;19.3
432;Amersfoort;Herkomst: Niet-Nederland;26.1;17.6
433;Amersfoort;Herkomst: Westers land;14.1;20.0
434;Amersfoort;Herkomst: Niet-westers land;12.0;14.8
435;Utrecht;Herkomst (land);381.6;18.9
436;Utrecht;Herkomst: Nederland;307.6;19.3
437;Utrecht;Herkomst: Niet-Nederland;74.0;17.2
438;Utrecht;Herkomst: Westers land;35.5;19.6
439;Utrecht;Herkomst: Niet-westers land;38.5;14.9
440;Amsterdam;Herkomst (land);959.0;18.7
441;Amsterdam;Herkomst: Nederland;674.6;19.2
442;Amsterdam;Herkomst: Niet-Nederland;284.4;17.6
443;Amsterdam;Herkomst: Westers land;112.1;20.6
444;Amsterdam;Herkomst: Niet-westers land;172.3;15.7
445;Haarlem;Herkomst (land);281.1;19.1
446;Haarlem;Herkomst: Nederland;237.2;19.3
447;Haarlem;Herkomst: Niet-Nederland;43.9;18.4
448;Haarlem;Herkomst: Westers land;26.4;20.3
449;Haarlem;Herkomst: Niet-westers land;17.5;15.6
450;Leiden;Herkomst (land);220.7;19.2
451;Leiden;Herkomst: Nederland;190.1;19.2
452;Leiden;Herkomst: Niet-Nederland;30.6;19.4
453;Leiden;Herkomst: Westers land;18.7;21.7
