ID;Bestemming;Voertuigcategorie;Perioden;TotaalAantalUitgevallenVoertuigen_1;JongerDan1Jaar_2;k_1Jaar_3;k_2Jaar_4;k_3Jaar_5;k_4Jaar_6;k_5Jaar_7;k_6Jaar_8;k_7Jaar_9;k_8Jaar_10;k_9Jaar_11;k_10Jaar_12;k_11Jaar_13;k_12Jaar_14;k_13Jaar_15;k_14Jaar_16;k_15Jaar_17;k_16Jaar_18;k_17Jaar_19;k_18Jaar_20;k_19Jaar_21;k_20Jaar_22;k_21Jaar_23;k_22Jaar_24;k_23Jaar_25;k_24Jaar_26;k_25JaarEnOuder_27;Onbekend_28
10;Demontage;Personenauto's;1998;247078;345;805;1236;1573;2049;1565;1459;2146;3489;5368;9034;19420;33521;41572;41534;34290;20941;10318;5865;4737;2697;1424;610;378;201;500;1
11;Demontage;Personenauto's;1999;270865;321;872;1143;1724;2174;2853;2196;2386;3628;5963;10231;17119;32819;46141;46618;37584;26154;14084;6367;3431;2895;1707;983;477;320;675;0
12;Demontage;Bedrijfsauto's;1996;13334;33;57;73;139;175;203;245;298;417;1141;1781;2034;1615;1070;873;705;615;526;368;301;191;129;91;74;60;120;0
13;Demontage;Bedrijfsauto's;1997;13914;44;87;88;79;162;250;273;301;406;620;1526;2239;2216;1466;861;725;579;520;426;288;204;152;109;73;65;155;0
14;Demontage;Bedrijfsauto's;1998;13129;42;103;109;88;97;181;269;304;398;491;758;1767;2354;1928;1108;675;557;457;392;309;227;151;112;60;59;133;0
15;Demontage;Bedrijfsauto's;1999;15076;51;145;150;146;140;116;300;429;493;694;796;1115;2439;2518;1929;943;547;471;377;329;290;222;159;81;61;135;0
16;Export;Personenauto's;1996;119419;2668;792;1257;2336;4577;5264;7617;10687;12798;16554;17616;12936;9944;6802;3645;1723;1046;526;295;124;60;44;27;18;13;34;16
17;Export;Personenauto's;1997;135446;2107;1069;1250;2669;3433;5786;8055;12127;14945;16889;19399;17065;12071;8345;4995;2523;1125;705;381;223;106;55;39;20;12;46;6
18;Export;Personenauto's;1998;111522;2075;766;970;1854;2472;2854;5028;7248;10686;13341;14556;14290;13266;9021;6046;3485;1644;740;446;303;179;85;40;24;17;77;9
19;Export;Personenauto's;1999;103864;1432;564;776;1296;1707;2077;2569;4836;6819;9689;11460;11067;14352;14156;9422;5621;3282;1289;572;354;193;131;71;34;19;71;5
20;Export;Bedrijfsauto's;1996;34324;475;377;559;2111;2991;2958;3142;3174;3238;4034;3484;2285;1569;938;700;590;524;447;302;170;86;53;46;23;15;33;0
21;Export;Bedrijfsauto's;1997;37386;422;369;681;1109;2603;3726;3711;3817;3613;3711;3922;2974;1958;1313;730;628;551;500;396;253;179;70;53;38;17;39;3
22;Export;Bedrijfsauto's;1998;32960;432;395;545;873;1340;2387;3679;3343;3546;3295;3009;2827;2400;1550;922;607;437;369;320;272;176;100;49;26;21;37;3
23;Export;Bedrijfsauto's;1999;28203;394;332;534;866;1312;1513;2164;2980;2939;3003;2417;2065;2241;1917;1198;691;406;349;229;201;159;110;66;36;28;16;37
24;Gebruik buiten openbare weg;Personenauto's;1996;2673;573;466;319;40;58;45;52;53;71;72;96;93;109;161;141;101;87;66;25;19;8;2;2;4;0;7;3
25;Gebruik buiten openbare weg;Personenauto's;1997;1891;418;55;55;56;64;67;68;84;75;55;102;121;109;137;129;108;73;42;21;27;9;6;3;1;2;4;0
26;Gebruik buiten openbare weg;Personenauto's;1998;1676;363;47;54;64;54;53;61;86;78;80;82;82;93;123;95;85;58;44;19;22;14;3;5;1;1;5;4
27;Gebruik buiten openbare weg;Personenauto's;1999;2409;736;52;63;65;91;108;87;83;97;84;97;84;118;147;150;103;86;64;34;26;14;5;4;4;2;4;1
28;Gebruik buiten openbare weg;Bedrijfsauto's;1996;894;40;156;168;7;12;16;23;28;20;37;47;40;33;34;20;26;28;31;28;17;17;5;12;7;15;27;0
29;Gebruik buiten openbare weg;Bedrijfsauto's;1997;842;60;9;2;7;8;15;22;32;18;36;49;74;61;61;29;24;34;46;49;46;33;19;22;19;28;38;1
30;Gebruik buiten openbare weg;Bedrijfsauto's;1998;569;78;27;7;1;5;4;24;20;14;20;25;38;56;37;41;29;11;19;16;24;17;9;6;5;4;32;0
31;Gebruik buiten openbare weg;Bedrijfsauto's;1999;814;376;5;2;6;2;4;14;20;22;31;27;28;32;47;41;26;19;16;15;12;15;14;4;8;4;2;22
