ID;KnelpuntenInkoop;SBI93Bedrijfsgrootte;BedrijvenZonderElektronischeInkoop_1;BedrijvenMetElektronischeInkoop_2
124;Logistieke problemen;10;5;6
125;Logistieke problemen;12;6;9
126;Logistieke problemen;13;6;10
127;Logistieke problemen;14;6;6
128;Logistieke problemen;15;9;12
129;Logistieke problemen;16;6;7
130;Logistieke problemen;17;6;7
131;Logistieke problemen;18;7;6
132;Logistieke problemen;19;5;5
133;Logistieke problemen;20;2;6
134;Logistieke problemen;21;0;8
135;Logistieke problemen;22;6;0
136;Logistieke problemen;23;1;12
137;Logistieke problemen;24;3;4
138;Logistieke problemen;25;3;3
139;Logistieke problemen;26;1;5
140;Logistieke problemen;27;3;8
141;Logistieke problemen;28;3;4
142;Logistieke problemen;29;3;6
143;Logistieke problemen;30;2;3
144;Logistieke problemen;31;2;1
145;Logistieke problemen;32;5;6
146;Logistieke problemen;33;4;7
147;Logistieke problemen;34;4;6
148;Logistieke problemen;35;7;5
149;Logistieke problemen;36;4;6
150;Logistieke problemen;37;5;6
151;Logistieke problemen;38;4;4
152;Rechtszekerheid transacties;1;4;9
153;Rechtszekerheid transacties;2;4;10
154;Rechtszekerheid transacties;3;5;8
155;Rechtszekerheid transacties;4;4;6
156;Rechtszekerheid transacties;5;4;9
157;Rechtszekerheid transacties;6;4;0
158;Rechtszekerheid transacties;11;0;9
159;Rechtszekerheid transacties;7;8;8
160;Rechtszekerheid transacties;8;11;7
161;Rechtszekerheid transacties;9;4;11
162;Rechtszekerheid transacties;10;4;5
163;Rechtszekerheid transacties;12;8;11
164;Rechtszekerheid transacties;13;8;12
165;Rechtszekerheid transacties;14;9;7
166;Rechtszekerheid transacties;15;7;12
167;Rechtszekerheid transacties;16;1;10
168;Rechtszekerheid transacties;17;1;12
169;Rechtszekerheid transacties;18;2;7
170;Rechtszekerheid transacties;19;7;4
171;Rechtszekerheid transacties;20;6;8
172;Rechtszekerheid transacties;21;4;7
173;Rechtszekerheid transacties;22;10;10
174;Rechtszekerheid transacties;23;3;7
175;Rechtszekerheid transacties;24;4;9
176;Rechtszekerheid transacties;25;4;10
177;Rechtszekerheid transacties;26;5;8
178;Rechtszekerheid transacties;27;3;7
179;Rechtszekerheid transacties;28;3;9
180;Rechtszekerheid transacties;29;1;12
181;Rechtszekerheid transacties;30;5;5
182;Rechtszekerheid transacties;31;3;5
183;Rechtszekerheid transacties;32;4;11
184;Rechtszekerheid transacties;33;5;10
185;Rechtszekerheid transacties;34;5;7
186;Rechtszekerheid transacties;35;6;10
187;Rechtszekerheid transacties;36;4;6
188;Rechtszekerheid transacties;37;5;4
189;Rechtszekerheid transacties;38;3;6
190;Producten ongeschikt;1;12;13
191;Producten ongeschikt;2;12;13
192;Producten ongeschikt;3;13;14
193;Producten ongeschikt;4;11;14
194;Producten ongeschikt;5;10;18
195;Producten ongeschikt;6;23;31
196;Producten ongeschikt;11;12;6
197;Producten ongeschikt;7;17;13
198;Producten ongeschikt;8;17;10
199;Producten ongeschikt;9;18;14
200;Producten ongeschikt;10;12;20
201;Producten ongeschikt;12;15;15
202;Producten ongeschikt;13;15;15
203;Producten ongeschikt;14;15;16
204;Producten ongeschikt;15;22;20
205;Producten ongeschikt;16;12;12
206;Producten ongeschikt;17;12;12
207;Producten ongeschikt;18;14;15
208;Producten ongeschikt;19;9;10
209;Producten ongeschikt;20;15;15
210;Producten ongeschikt;21;18;15
211;Producten ongeschikt;22;9;13
212;Producten ongeschikt;23;5;17
213;Producten ongeschikt;24;10;12
214;Producten ongeschikt;25;10;13
215;Producten ongeschikt;26;10;8
216;Producten ongeschikt;27;9;10
217;Producten ongeschikt;28;5;15
218;Producten ongeschikt;29;5;16
219;Producten ongeschikt;30;5;15
220;Producten ongeschikt;31;8;11
221;Producten ongeschikt;32;13;15
222;Producten ongeschikt;33;11;10
223;Producten ongeschikt;34;13;12
224;Producten ongeschikt;35;12;17
225;Producten ongeschikt;36;11;14
226;Producten ongeschikt;37;12;16
227;Producten ongeschikt;38;7;10
