ID;Client;BuildingPhases;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
217;Total;Building projects started;2017 October;1282;308;974;748.0;27.0;36.0;27.0;13.0;52.0;0.0;29.0;25.0;17.0
218;Total;Building projects started;2017 November;1533;373;1160;902.0;39.0;88.0;40.0;35.0;18.0;1.0;4.0;16.0;16.0
219;Total;Building projects started;2017 December;1571;298;1273;915.0;20.0;106.0;91.0;66.0;10.0;3.0;5.0;30.0;28.0
220;Total;Building projects started;2017 4th quarter;4386;979;3407;2565.0;87.0;229.0;158.0;114.0;81.0;4.0;38.0;71.0;61.0
221;Total;Building projects started;2017;16735;3516;13219;9351.0;392.0;863.0;737.0;534.0;303.0;49.0;297.0;252.0;442.0
222;Total;Building projects started;2018 January;1530;307;1223;836.0;;;;;;;;;
223;Total;Building projects started;2018 February;1294;298;996;636.0;;;;;;;;;
224;Total;Building projects started;2018 March;1331;311;1020;774.0;;;;;;;;;
225;Total;Building projects started;2018 1st quarter;4155;916;3239;2246.0;;;;;;;;;
226;Total;Building projects started;2018 April;1351;329;1022;696.0;;;;;;;;;
227;Total;Building projects started;2018 May;1571;355;1216;932.0;;;;;;;;;
228;Total;Building projects started;2018 June;1427;224;1203;722.0;;;;;;;;;
229;Total;Building projects started;2018 2nd quarter;4348;907;3441;2349.0;;;;;;;;;
230;Total;Building projects started;2018 July;1523;280;1243;791.0;;;;;;;;;
231;Total;Building projects started;2018 August;1538;353;1184;879.0;;;;;;;;;
232;Total;Building projects started;2018 September;1554;325;1229;788.0;;;;;;;;;
233;Total;Building projects started;2018 3rd quarter;4614;957;3657;2459.0;;;;;;;;;
234;Total;Building projects started;2018 October;1454;318;1135;820.0;;;;;;;;;
235;Total;Building projects started;2018 November;2082;307;1775;1309.0;;;;;;;;;
236;Total;Building projects started;2018 December;1637;267;1371;1061.0;;;;;;;;;
237;Total;Building projects started;2018 4th quarter;5173;892;4281;3189.0;;;;;;;;;
238;Total;Building projects started;2018;18290;3673;14618;10243.0;370.0;945.0;736.0;703.0;446.0;25.0;351.0;457.0;341.0
239;Total;Building projects started;2019 January;1634;329;1305;860.0;;;;;;;;;
240;Total;Building projects started;2019 February;1376;343;1033;730.0;;;;;;;;;
241;Total;Building projects started;2019 March;1075;237;839;539.0;;;;;;;;;
242;Total;Building projects started;2019 1st quarter;4086;909;3177;2128.0;;;;;;;;;
243;Total;Building projects started;2019 April;1430;347;1083;745.0;;;;;;;;;
244;Total;Building projects started;2019 May;1462;301;1162;793.0;;;;;;;;;
245;Total;Building projects started;2019 June;1393;307;1085;692.0;;;;;;;;;
246;Total;Building projects started;2019 2nd quarter;4285;955;3330;2230.0;;;;;;;;;
247;Total;Building projects started;2019 July;1164;255;909;559.0;;;;;;;;;
248;Total;Building projects started;2019 August;1598;410;1188;892.0;;;;;;;;;
249;Total;Building projects started;2019 September;1516;315;1201;759.0;;;;;;;;;
250;Total;Building projects started;2019 3rd quarter;4278;980;3297;2210.0;;;;;;;;;
251;Total;Building projects started;2019 October;1222;336;887;559.0;;;;;;;;;
252;Total;Building projects started;2019 November;1480;308;1173;913.0;;;;;;;;;
253;Total;Building projects started;2019 December;1602;334;1268;926.0;;;;;;;;;
254;Total;Building projects started;2019 4th quarter;4305;977;3328;2398.0;;;;;;;;;
255;Total;Building projects started;2019;16953;3821;13132;8966.0;286.0;992.0;721.0;771.0;396.0;48.0;287.0;449.0;215.0
256;Total;Building projects started;2020 January;1708;281;1426;932.0;;;;;;;;;
257;Total;Building projects started;2020 February;1453;322;1131;761.0;;;;;;;;;
258;Total;Building projects started;2020 March;1283;314;969;735.0;;;;;;;;;
259;Total;Building projects started;2020 1st quarter;4444;918;3527;2429.0;;;;;;;;;
260;Total;Building projects started;2020 April;1641;455;1186;810.0;;;;;;;;;
261;Total;Building projects started;2020 May;1534;333;1202;945.0;;;;;;;;;
262;Total;Building projects started;2020 June;1751;453;1298;796.0;;;;;;;;;
263;Total;Building projects started;2020 2nd quarter;4927;1241;3686;2551.0;;;;;;;;;
264;Total;Building projects started;2020 July;1564;335;1228;873.0;;;;;;;;;
265;Total;Building projects started;2020 August;1738;344;1394;954.0;;;;;;;;;
266;Total;Building projects started;2020 September;1552;312;1240;785.0;;;;;;;;;
