ID;Client;BuildingPhases;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
2384;Public service and house-building corp.;Building projects completed;2024 July;188;54;134;95.0;;;;;;;;;
2385;Public service and house-building corp.;Building projects completed;2024 August;139;22;117;82.0;;;;;;;;;
2386;Public service and house-building corp.;Building projects completed;2024 September;174;58;116;103.0;;;;;;;;;
2387;Public service and house-building corp.;Building projects completed;2024 3rd quarter;500;134;367;280.0;;;;;;;;;
2388;Public service and house-building corp.;Building projects completed;2024 October;360;35;324;130.0;;;;;;;;;
2389;Public service and house-building corp.;Building projects completed;2024 November;160;85;76;64.0;;;;;;;;;
2390;Public service and house-building corp.;Building projects completed;2024 December;338;84;254;180.0;;;;;;;;;
2391;Public service and house-building corp.;Building projects completed;2024 4th quarter;858;204;654;375.0;;;;;;;;;
2392;Public service and house-building corp.;Building projects completed;2024;2403;678;1724;1162.0;0.0;7.0;0.0;7.0;4.0;241.0;97.0;72.0;135.0
2393;Public service and house-building corp.;Building projects completed;2025 January;243;49;195;168.0;;;;;;;;;
2394;Companies building for the market;Orders received by contractors;2015 January;326;13;313;310.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
2395;Companies building for the market;Orders received by contractors;2015 February;594;18;576;572.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0
2396;Companies building for the market;Orders received by contractors;2015 March;613;31;582;577.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0
2397;Companies building for the market;Orders received by contractors;2015 1st quarter;1533;61;1471;1459.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0
2398;Companies building for the market;Orders received by contractors;2015 April;599;23;577;554.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;0.0
2399;Companies building for the market;Orders received by contractors;2015 May;422;42;379;370.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0
2400;Companies building for the market;Orders received by contractors;2015 June;350;20;331;313.0;0.0;0.0;11.0;0.0;6.0;0.0;0.0;0.0;0.0
2401;Companies building for the market;Orders received by contractors;2015 2nd quarter;1371;85;1286;1237.0;0.0;0.0;11.0;0.0;39.0;0.0;0.0;0.0;0.0
2402;Companies building for the market;Orders received by contractors;2015 July;411;91;321;312.0;0.0;0.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0
2403;Companies building for the market;Orders received by contractors;2015 August;226;21;205;198.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;1.0;0.0
2404;Companies building for the market;Orders received by contractors;2015 September;340;28;313;302.0;0.0;0.0;0.0;6.0;4.0;0.0;0.0;1.0;0.0
2405;Companies building for the market;Orders received by contractors;2015 3rd quarter;978;139;839;811.0;0.0;0.0;6.0;7.0;12.0;0.0;0.0;2.0;0.0
2406;Companies building for the market;Orders received by contractors;2015 October;279;29;250;243.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2407;Companies building for the market;Orders received by contractors;2015 November;248;18;230;197.0;0.0;0.0;24.0;2.0;1.0;0.0;0.0;0.0;6.0
2408;Companies building for the market;Orders received by contractors;2015 December;331;19;312;283.0;0.0;1.0;0.0;3.0;14.0;0.0;2.0;9.0;0.0
2409;Companies building for the market;Orders received by contractors;2015 4th quarter;857;66;792;723.0;0.0;7.0;24.0;6.0;16.0;0.0;2.0;9.0;6.0
2410;Companies building for the market;Orders received by contractors;2015;4739;351;4388;4229.0;0.0;7.0;41.0;13.0;80.0;0.0;2.0;11.0;6.0
2411;Companies building for the market;Orders received by contractors;2016 January;220;18;202;199.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
2412;Companies building for the market;Orders received by contractors;2016 February;280;34;247;237.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;3.0;1.0
2413;Companies building for the market;Orders received by contractors;2016 March;351;51;301;285.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;2.0
2414;Companies building for the market;Orders received by contractors;2016 1st quarter;852;102;750;722.0;0.0;5.0;14.0;0.0;2.0;0.0;0.0;3.0;4.0
2415;Companies building for the market;Orders received by contractors;2016 April;372;72;300;294.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0
2416;Companies building for the market;Orders received by contractors;2016 May;400;27;374;349.0;0.0;1.0;16.0;3.0;1.0;1.0;0.0;3.0;0.0
2417;Companies building for the market;Orders received by contractors;2016 June;414;41;374;350.0;0.0;0.0;16.0;5.0;0.0;0.0;0.0;3.0;0.0
2418;Companies building for the market;Orders received by contractors;2016 2nd quarter;1187;139;1047;993.0;0.0;1.0;37.0;8.0;1.0;1.0;0.0;6.0;0.0
2419;Companies building for the market;Orders received by contractors;2016 July;424;43;381;339.0;0.0;1.0;1.0;25.0;6.0;0.0;0.0;1.0;8.0
2420;Companies building for the market;Orders received by contractors;2016 August;455;106;349;339.0;0.0;5.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0
2421;Companies building for the market;Orders received by contractors;2016 September;531;55;476;467.0;0.0;4.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0
2422;Companies building for the market;Orders received by contractors;2016 3rd quarter;1409;203;1206;1145.0;0.0;10.0;3.0;27.0;11.0;1.0;0.0;2.0;8.0
2423;Companies building for the market;Orders received by contractors;2016 October;537;18;519;452.0;0.0;1.0;8.0;0.0;41.0;0.0;0.0;8.0;9.0
2424;Companies building for the market;Orders received by contractors;2016 November;529;54;476;427.0;0.0;0.0;34.0;2.0;12.0;0.0;0.0;0.0;0.0
2425;Companies building for the market;Orders received by contractors;2016 December;672;102;570;460.0;0.0;11.0;17.0;0.0;1.0;0.0;0.0;7.0;75.0
2426;Companies building for the market;Orders received by contractors;2016 4th quarter;1739;173;1565;1339.0;0.0;12.0;60.0;2.0;53.0;0.0;0.0;15.0;84.0
2427;Companies building for the market;Orders received by contractors;2016;5186;618;4568;4199.0;0.0;27.0;115.0;37.0;67.0;2.0;0.0;26.0;96.0
2428;Companies building for the market;Orders received by contractors;2017 January;417;27;390;365.0;0.0;15.0;2.0;5.0;1.0;0.0;0.0;1.0;0.0
2429;Companies building for the market;Orders received by contractors;2017 February;542;75;467;389.0;0.0;16.0;25.0;11.0;10.0;0.0;0.0;1.0;14.0
2430;Companies building for the market;Orders received by contractors;2017 March;741;110;631;573.0;0.0;1.0;13.0;38.0;4.0;0.0;0.0;1.0;0.0
2431;Companies building for the market;Orders received by contractors;2017 1st quarter;1700;212;1488;1327.0;0.0;33.0;41.0;54.0;15.0;0.0;0.0;4.0;14.0
2432;Companies building for the market;Orders received by contractors;2017 April;720;51;669;639.0;0.0;3.0;5.0;4.0;5.0;0.0;3.0;0.0;9.0
2433;Companies building for the market;Orders received by contractors;2017 May;601;87;515;461.0;0.0;15.0;10.0;0.0;3.0;0.0;0.0;8.0;18.0
2434;Companies building for the market;Orders received by contractors;2017 June;552;49;503;444.0;0.0;8.0;3.0;37.0;6.0;0.0;0.0;3.0;2.0
2435;Companies building for the market;Orders received by contractors;2017 2nd quarter;1873;187;1686;1544.0;0.0;26.0;18.0;41.0;14.0;0.0;3.0;10.0;29.0
2436;Companies building for the market;Orders received by contractors;2017 July;860;88;772;738.0;0.0;5.0;6.0;1.0;3.0;0.0;9.0;0.0;10.0
2437;Companies building for the market;Orders received by contractors;2017 August;583;51;532;503.0;0.0;12.0;7.0;2.0;8.0;0.0;0.0;0.0;0.0
2438;Companies building for the market;Orders received by contractors;2017 September;742;73;669;620.0;0.0;5.0;16.0;13.0;14.0;0.0;0.0;1.0;0.0
2439;Companies building for the market;Orders received by contractors;2017 3rd quarter;2185;211;1974;1860.0;0.0;22.0;29.0;16.0;26.0;0.0;9.0;1.0;10.0
2440;Companies building for the market;Orders received by contractors;2017 October;958;163;795;;;;;;;;;;
2441;Companies building for the market;Orders received by contractors;2017 November;630;82;547;;;;;;;;;;
2442;Companies building for the market;Orders received by contractors;2017 December;708;115;593;;;;;;;;;;
2443;Companies building for the market;Orders received by contractors;2017 4th quarter;2296;360;1935;;;;;;;;;;
2444;Companies building for the market;Orders received by contractors;2017;8054;971;7083;;;;;;;;;;
2445;Companies building for the market;Orders received by contractors;2018 January;514;48;466;;;;;;;;;;
2446;Companies building for the market;Orders received by contractors;2018 February;761;56;705;;;;;;;;;;
2447;Companies building for the market;Orders received by contractors;2018 March;708;77;631;;;;;;;;;;
2448;Companies building for the market;Orders received by contractors;2018 1st quarter;1983;181;1802;;;;;;;;;;
2449;Companies building for the market;Orders received by contractors;2018 April;619;73;545;;;;;;;;;;
2450;Companies building for the market;Orders received by contractors;2018 May;650;43;607;;;;;;;;;;
2451;Companies building for the market;Orders received by contractors;2018 June;778;101;677;;;;;;;;;;
2452;Companies building for the market;Orders received by contractors;2018 2nd quarter;2046;217;1829;;;;;;;;;;
2453;Companies building for the market;Orders received by contractors;2018 July;798;82;716;;;;;;;;;;
2454;Companies building for the market;Orders received by contractors;2018 August;611;77;533;;;;;;;;;;
2455;Companies building for the market;Orders received by contractors;2018 September;729;34;695;;;;;;;;;;
2456;Companies building for the market;Orders received by contractors;2018 3rd quarter;2138;194;1944;;;;;;;;;;
2457;Companies building for the market;Orders received by contractors;2018 October;1269;94;1175;;;;;;;;;;
2458;Companies building for the market;Orders received by contractors;2018 November;721;60;661;;;;;;;;;;
2459;Companies building for the market;Orders received by contractors;2018 December;728;93;635;;;;;;;;;;
2460;Companies building for the market;Orders received by contractors;2018 4th quarter;2718;247;2471;;;;;;;;;;
2461;Companies building for the market;Orders received by contractors;2018;8885;839;8046;;;;;;;;;;
2462;Companies building for the market;Orders received by contractors;2019 January;420;44;376;;;;;;;;;;
2463;Companies building for the market;Orders received by contractors;2019 February;514;59;455;;;;;;;;;;
2464;Companies building for the market;Orders received by contractors;2019 March;615;90;525;;;;;;;;;;
2465;Companies building for the market;Orders received by contractors;2019 1st quarter;1549;193;1356;;;;;;;;;;
2466;Companies building for the market;Orders received by contractors;2019 April;647;40;607;;;;;;;;;;
2467;Companies building for the market;Orders received by contractors;2019 May;425;62;363;;;;;;;;;;
2468;Companies building for the market;Orders received by contractors;2019 June;564;49;514;;;;;;;;;;
2469;Companies building for the market;Orders received by contractors;2019 2nd quarter;1636;152;1484;;;;;;;;;;
2470;Companies building for the market;Orders received by contractors;2019 July;877;184;693;;;;;;;;;;
2471;Companies building for the market;Orders received by contractors;2019 August;392;49;343;;;;;;;;;;
2472;Companies building for the market;Orders received by contractors;2019 September;554;32;522;;;;;;;;;;
2473;Companies building for the market;Orders received by contractors;2019 3rd quarter;1824;266;1558;;;;;;;;;;
2474;Companies building for the market;Orders received by contractors;2019 October;968;82;886;;;;;;;;;;
2475;Companies building for the market;Orders received by contractors;2019 November;735;113;622;;;;;;;;;;
2476;Companies building for the market;Orders received by contractors;2019 December;911;204;707;;;;;;;;;;
2477;Companies building for the market;Orders received by contractors;2019 4th quarter;2613;399;2215;;;;;;;;;;
2478;Companies building for the market;Orders received by contractors;2019;7621;1009;6612;;;;;;;;;;
2479;Companies building for the market;Orders received by contractors;2020 January;529;93;436;;;;;;;;;;
2480;Companies building for the market;Orders received by contractors;2020 February;600;49;551;;;;;;;;;;
2481;Companies building for the market;Orders received by contractors;2020 March;711;65;646;;;;;;;;;;
2482;Companies building for the market;Orders received by contractors;2020 1st quarter;1840;207;1632;;;;;;;;;;
2483;Companies building for the market;Orders received by contractors;2020 April;813;75;738;;;;;;;;;;
2484;Companies building for the market;Orders received by contractors;2020 May;500;101;399;;;;;;;;;;
2485;Companies building for the market;Orders received by contractors;2020 June;684;52;632;;;;;;;;;;
2486;Companies building for the market;Orders received by contractors;2020 2nd quarter;1997;228;1768;;;;;;;;;;
2487;Companies building for the market;Orders received by contractors;2020 July;1180;86;1094;;;;;;;;;;
2488;Companies building for the market;Orders received by contractors;2020 August;464;49;415;;;;;;;;;;
2489;Companies building for the market;Orders received by contractors;2020 September;881;40;841;;;;;;;;;;
2490;Companies building for the market;Orders received by contractors;2020 3rd quarter;2525;175;2349;;;;;;;;;;
2491;Companies building for the market;Orders received by contractors;2020 October;995;39;956;;;;;;;;;;
2492;Companies building for the market;Orders received by contractors;2020 November;721;63;657;;;;;;;;;;
2493;Companies building for the market;Orders received by contractors;2020 December;1095;66;1029;;;;;;;;;;
2494;Companies building for the market;Orders received by contractors;2020 4th quarter;2811;168;2642;;;;;;;;;;
2495;Companies building for the market;Orders received by contractors;2020;9172;780;8392;;;;;;;;;;
2496;Companies building for the market;Orders received by contractors;2021 January;636;35;601;;;;;;;;;;
2497;Companies building for the market;Orders received by contractors;2021 February;798;63;735;;;;;;;;;;
2498;Companies building for the market;Orders received by contractors;2021 March;1225;67;1157;;;;;;;;;;
2499;Companies building for the market;Orders received by contractors;2021 1st quarter;2659;166;2493;;;;;;;;;;
2500;Companies building for the market;Orders received by contractors;2021 April;1060;43;1017;;;;;;;;;;
2501;Companies building for the market;Orders received by contractors;2021 May;865;81;784;;;;;;;;;;
2502;Companies building for the market;Orders received by contractors;2021 June;922;71;851;;;;;;;;;;
2503;Companies building for the market;Orders received by contractors;2021 2nd quarter;2847;195;2652;;;;;;;;;;
2504;Companies building for the market;Orders received by contractors;2021 July;1115;95;1020;;;;;;;;;;
2505;Companies building for the market;Orders received by contractors;2021 August;571;48;522;;;;;;;;;;
2506;Companies building for the market;Orders received by contractors;2021 September;906;246;661;;;;;;;;;;
2507;Companies building for the market;Orders received by contractors;2021 3rd quarter;2592;389;2203;;;;;;;;;;
2508;Companies building for the market;Orders received by contractors;2021 October;996;72;924;;;;;;;;;;
2509;Companies building for the market;Orders received by contractors;2021 November;831;44;787;;;;;;;;;;
2510;Companies building for the market;Orders received by contractors;2021 December;932;73;859;;;;;;;;;;
2511;Companies building for the market;Orders received by contractors;2021 4th quarter;2760;189;2571;;;;;;;;;;
2512;Companies building for the market;Orders received by contractors;2021;10857;938;9919;;;;;;;;;;
2513;Companies building for the market;Orders received by contractors;2022 January;735;56;679;;;;;;;;;;
2514;Companies building for the market;Orders received by contractors;2022 February;646;72;574;;;;;;;;;;
2515;Companies building for the market;Orders received by contractors;2022 March;1145;92;1054;;;;;;;;;;
2516;Companies building for the market;Orders received by contractors;2022 1st quarter;2525;219;2306;;;;;;;;;;
2517;Companies building for the market;Orders received by contractors;2022 April;685;60;625;;;;;;;;;;
2518;Companies building for the market;Orders received by contractors;2022 May;755;40;715;;;;;;;;;;
2519;Companies building for the market;Orders received by contractors;2022 June;874;55;819;;;;;;;;;;
2520;Companies building for the market;Orders received by contractors;2022 2nd quarter;2315;155;2160;;;;;;;;;;
2521;Companies building for the market;Orders received by contractors;2022 July;1007;77;931;;;;;;;;;;
2522;Companies building for the market;Orders received by contractors;2022 August;711;85;626;;;;;;;;;;
2523;Companies building for the market;Orders received by contractors;2022 September;1044;136;908;;;;;;;;;;
2524;Companies building for the market;Orders received by contractors;2022 3rd quarter;2762;297;2464;;;;;;;;;;
2525;Companies building for the market;Orders received by contractors;2022 October;983;60;923;;;;;;;;;;
2526;Companies building for the market;Orders received by contractors;2022 November;725;43;682;;;;;;;;;;
2527;Companies building for the market;Orders received by contractors;2022 December;599;46;553;;;;;;;;;;
2528;Companies building for the market;Orders received by contractors;2022 4th quarter;2307;150;2158;;;;;;;;;;
2529;Companies building for the market;Orders received by contractors;2022;9909;821;9088;;;;;;;;;;
2530;Companies building for the market;Orders received by contractors;2023 January;481;37;444;;;;;;;;;;
2531;Companies building for the market;Orders received by contractors;2023 February;641;124;518;;;;;;;;;;
2532;Companies building for the market;Orders received by contractors;2023 March;543;50;493;;;;;;;;;;
2533;Companies building for the market;Orders received by contractors;2023 1st quarter;1666;211;1455;;;;;;;;;;
2534;Companies building for the market;Orders received by contractors;2023 April;1003;57;946;;;;;;;;;;
2535;Companies building for the market;Orders received by contractors;2023 May;518;31;487;;;;;;;;;;
2536;Companies building for the market;Orders received by contractors;2023 June;938;109;828;;;;;;;;;;
2537;Companies building for the market;Orders received by contractors;2023 2nd quarter;2459;198;2261;;;;;;;;;;
2538;Companies building for the market;Orders received by contractors;2023 July;599;31;568;;;;;;;;;;
2539;Companies building for the market;Orders received by contractors;2023 August;453;72;381;;;;;;;;;;
2540;Companies building for the market;Orders received by contractors;2023 September;778;40;738;;;;;;;;;;
2541;Companies building for the market;Orders received by contractors;2023 3rd quarter;1830;143;1687;;;;;;;;;;
2542;Companies building for the market;Orders received by contractors;2023 October;1245;138;1108;;;;;;;;;;
2543;Companies building for the market;Orders received by contractors;2023 November;665;55;610;;;;;;;;;;
2544;Companies building for the market;Orders received by contractors;2023 December;622;71;551;;;;;;;;;;
2545;Companies building for the market;Orders received by contractors;2023 4th quarter;2532;263;2269;;;;;;;;;;
2546;Companies building for the market;Orders received by contractors;2023;8487;816;7671;;;;;;;;;;
2547;Companies building for the market;Orders received by contractors;2024 January;463;49;414;;;;;;;;;;
2548;Companies building for the market;Orders received by contractors;2024 February;1011;111;900;;;;;;;;;;
2549;Companies building for the market;Orders received by contractors;2024 March;1184;92;1092;;;;;;;;;;
2550;Companies building for the market;Orders received by contractors;2024 1st quarter;2657;251;2406;;;;;;;;;;
2551;Companies building for the market;Orders received by contractors;2024 April;982;79;902;;;;;;;;;;
2552;Companies building for the market;Orders received by contractors;2024 May;1381;71;1310;;;;;;;;;;
2553;Companies building for the market;Orders received by contractors;2024 June;942;45;897;;;;;;;;;;
2554;Companies building for the market;Orders received by contractors;2024 2nd quarter;3305;196;3109;;;;;;;;;;
2555;Companies building for the market;Orders received by contractors;2024 July;1161;122;1039;;;;;;;;;;
2556;Companies building for the market;Orders received by contractors;2024 August;372;32;340;;;;;;;;;;
2557;Companies building for the market;Orders received by contractors;2024 September;634;65;568;;;;;;;;;;
2558;Companies building for the market;Orders received by contractors;2024 3rd quarter;2167;220;1947;;;;;;;;;;
2559;Companies building for the market;Orders received by contractors;2024 October;1173;94;1079;;;;;;;;;;
2560;Companies building for the market;Orders received by contractors;2024 November;1205;170;1035;;;;;;;;;;
2561;Companies building for the market;Orders received by contractors;2024 December;1178;101;1077;;;;;;;;;;
2562;Companies building for the market;Orders received by contractors;2024 4th quarter;3556;365;3190;;;;;;;;;;
2563;Companies building for the market;Orders received by contractors;2024;11685;1032;10653;;;;;;;;;;
2564;Companies building for the market;Orders received by contractors;2025 January;601;45;556;;;;;;;;;;
2565;Companies building for the market;Building projects started;2015 January;436;47;389;387.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2566;Companies building for the market;Building projects started;2015 February;417;124;293;283.0;0.0;0.0;7.0;0.0;3.0;0.0;0.0;0.0;0.0
2567;Companies building for the market;Building projects started;2015 March;368;13;355;352.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
2568;Companies building for the market;Building projects started;2015 1st quarter;1220;183;1037;1023.0;0.0;0.0;7.0;0.0;7.0;0.0;0.0;0.0;0.0
2569;Companies building for the market;Building projects started;2015 April;563;28;535;530.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0
2570;Companies building for the market;Building projects started;2015 May;718;23;695;690.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0
2571;Companies building for the market;Building projects started;2015 June;573;42;531;508.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;0.0
2572;Companies building for the market;Building projects started;2015 2nd quarter;1854;93;1761;1728.0;0.0;0.0;1.0;0.0;32.0;0.0;0.0;0.0;0.0
2573;Companies building for the market;Building projects started;2015 July;296;20;276;268.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0
2574;Companies building for the market;Building projects started;2015 August;465;82;383;365.0;0.0;0.0;10.0;0.0;7.0;0.0;0.0;0.0;0.0
2575;Companies building for the market;Building projects started;2015 September;301;25;276;269.0;0.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0
2576;Companies building for the market;Building projects started;2015 3rd quarter;1063;128;935;902.0;0.0;0.0;13.0;0.0;21.0;0.0;0.0;0.0;0.0
2577;Companies building for the market;Building projects started;2015 October;305;40;265;258.0;0.0;0.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0
2578;Companies building for the market;Building projects started;2015 November;318;22;295;283.0;0.0;0.0;0.0;6.0;5.0;0.0;0.0;1.0;0.0
2579;Companies building for the market;Building projects started;2015 December;242;24;219;212.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2580;Companies building for the market;Building projects started;2015 4th quarter;865;86;779;752.0;0.0;5.0;5.0;6.0;9.0;0.0;0.0;2.0;0.0
2581;Companies building for the market;Building projects started;2015;5002;491;4512;4404.0;0.0;5.0;25.0;6.0;69.0;0.0;0.0;2.0;0.0
2582;Companies building for the market;Building projects started;2016 January;295;25;270;243.0;0.0;0.0;23.0;2.0;2.0;0.0;0.0;0.0;0.0
2583;Companies building for the market;Building projects started;2016 February;288;17;271;246.0;0.0;2.0;0.0;3.0;13.0;0.0;0.0;0.0;6.0
2584;Companies building for the market;Building projects started;2016 March;231;28;203;191.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;9.0;0.0
2585;Companies building for the market;Building projects started;2016 1st quarter;813;70;743;679.0;0.0;2.0;24.0;6.0;16.0;0.0;2.0;9.0;6.0
2586;Companies building for the market;Building projects started;2016 April;328;40;288;280.0;0.0;4.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
2587;Companies building for the market;Building projects started;2016 May;335;24;311;295.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;3.0;1.0
2588;Companies building for the market;Building projects started;2016 June;329;34;296;287.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;2.0
2589;Companies building for the market;Building projects started;2016 2nd quarter;993;98;895;863.0;0.0;5.0;18.0;1.0;2.0;0.0;0.0;3.0;4.0
2590;Companies building for the market;Building projects started;2016 July;440;38;402;382.0;0.0;1.0;16.0;3.0;1.0;0.0;0.0;0.0;0.0
2591;Companies building for the market;Building projects started;2016 August;427;82;345;319.0;0.0;0.0;17.0;5.0;0.0;1.0;0.0;3.0;0.0
2592;Companies building for the market;Building projects started;2016 September;480;94;386;350.0;0.0;1.0;1.0;25.0;6.0;0.0;0.0;3.0;0.0
2593;Companies building for the market;Building projects started;2016 3rd quarter;1347;214;1133;1051.0;0.0;2.0;34.0;33.0;7.0;1.0;0.0;6.0;0.0
2594;Companies building for the market;Building projects started;2016 October;391;44;348;330.0;0.0;5.0;2.0;1.0;1.0;0.0;0.0;1.0;8.0
2595;Companies building for the market;Building projects started;2016 November;494;40;454;446.0;0.0;4.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0
2596;Companies building for the market;Building projects started;2016 December;554;32;521;473.0;0.0;1.0;7.0;0.0;39.0;1.0;0.0;0.0;0.0
2597;Companies building for the market;Building projects started;2016 4th quarter;1439;116;1323;1249.0;0.0;9.0;10.0;2.0;43.0;1.0;0.0;2.0;8.0
2598;Companies building for the market;Building projects started;2016;4591;497;4094;3842.0;0.0;17.0;86.0;42.0;67.0;2.0;2.0;19.0;18.0
2599;Companies building for the market;Building projects started;2017 January;599;94;505;438.0;0.0;0.0;35.0;2.0;12.0;0.0;0.0;8.0;9.0
2600;Companies building for the market;Building projects started;2017 February;509;41;468;440.0;0.0;10.0;16.0;0.0;2.0;0.0;0.0;0.0;0.0
2601;Companies building for the market;Building projects started;2017 March;504;73;431;326.0;0.0;15.0;3.0;5.0;1.0;0.0;0.0;7.0;75.0
2602;Companies building for the market;Building projects started;2017 1st quarter;1613;208;1405;1204.0;0.0;26.0;54.0;7.0;15.0;0.0;0.0;15.0;84.0
2603;Companies building for the market;Building projects started;2017 April;612;82;530;467.0;0.0;17.0;26.0;9.0;10.0;0.0;0.0;1.0;0.0
2604;Companies building for the market;Building projects started;2017 May;896;69;827;757.0;0.0;1.0;12.0;38.0;4.0;0.0;0.0;1.0;14.0
2605;Companies building for the market;Building projects started;2017 June;539;68;471;452.0;0.0;3.0;4.0;4.0;6.0;0.0;0.0;1.0;0.0
2606;Companies building for the market;Building projects started;2017 2nd quarter;2047;219;1828;1676.0;0.0;21.0;43.0;51.0;19.0;0.0;0.0;4.0;14.0
2607;Companies building for the market;Building projects started;2017 July;500;40;460;418.0;0.0;15.0;10.0;2.0;3.0;0.0;3.0;0.0;9.0
2608;Companies building for the market;Building projects started;2017 August;934;85;849;769.0;0.0;8.0;3.0;37.0;6.0;0.0;0.0;8.0;18.0
2609;Companies building for the market;Building projects started;2017 September;606;90;516;495.0;0.0;5.0;6.0;1.0;4.0;0.0;0.0;3.0;2.0
2610;Companies building for the market;Building projects started;2017 3rd quarter;2040;216;1825;1682.0;0.0;27.0;20.0;40.0;13.0;0.0;3.0;10.0;29.0
2611;Companies building for the market;Building projects started;2017 October;605;67;539;490.0;0.0;12.0;7.0;2.0;9.0;0.0;9.0;0.0;10.0
2612;Companies building for the market;Building projects started;2017 November;830;136;694;649.0;0.0;5.0;15.0;12.0;13.0;0.0;0.0;0.0;0.0
2613;Companies building for the market;Building projects started;2017 December;821;85;736;629.0;0.0;9.0;55.0;40.0;2.0;0.0;0.0;1.0;0.0
2614;Companies building for the market;Building projects started;2017 4th quarter;2256;287;1969;1768.0;0.0;26.0;77.0;54.0;24.0;0.0;9.0;1.0;10.0
2615;Companies building for the market;Building projects started;2017;7957;930;7027;6331.0;1.0;100.0;194.0;152.0;70.0;0.0;12.0;30.0;138.0
2616;Companies building for the market;Building projects started;2018 January;702;79;623;589.0;;;;;;;;;
2617;Companies building for the market;Building projects started;2018 February;559;31;528;437.0;;;;;;;;;
2618;Companies building for the market;Building projects started;2018 March;647;69;577;562.0;;;;;;;;;
2619;Companies building for the market;Building projects started;2018 1st quarter;1907;179;1728;1588.0;;;;;;;;;
2620;Companies building for the market;Building projects started;2018 April;671;133;537;482.0;;;;;;;;;
2621;Companies building for the market;Building projects started;2018 May;778;80;698;664.0;;;;;;;;;
2622;Companies building for the market;Building projects started;2018 June;582;42;540;484.0;;;;;;;;;
2623;Companies building for the market;Building projects started;2018 2nd quarter;2031;256;1775;1630.0;;;;;;;;;
2624;Companies building for the market;Building projects started;2018 July;813;94;719;535.0;;;;;;;;;
2625;Companies building for the market;Building projects started;2018 August;730;54;676;592.0;;;;;;;;;
2626;Companies building for the market;Building projects started;2018 September;639;70;569;519.0;;;;;;;;;
2627;Companies building for the market;Building projects started;2018 3rd quarter;2183;219;1964;1646.0;;;;;;;;;
2628;Companies building for the market;Building projects started;2018 October;662;62;599;567.0;;;;;;;;;
2629;Companies building for the market;Building projects started;2018 November;1153;102;1052;1011.0;;;;;;;;;
2630;Companies building for the market;Building projects started;2018 December;927;71;856;793.0;;;;;;;;;
2631;Companies building for the market;Building projects started;2018 4th quarter;2742;235;2507;2371.0;;;;;;;;;
2632;Companies building for the market;Building projects started;2018;8863;889;7974;7235.0;0.0;32.0;242.0;166.0;174.0;0.0;37.0;44.0;43.0
2633;Companies building for the market;Building projects started;2019 January;767;71;696;618.0;;;;;;;;;
2634;Companies building for the market;Building projects started;2019 February;550;47;503;448.0;;;;;;;;;
2635;Companies building for the market;Building projects started;2019 March;424;56;369;321.0;;;;;;;;;
2636;Companies building for the market;Building projects started;2019 1st quarter;1742;174;1568;1387.0;;;;;;;;;
2637;Companies building for the market;Building projects started;2019 April;628;94;534;452.0;;;;;;;;;
2638;Companies building for the market;Building projects started;2019 May;621;50;571;512.0;;;;;;;;;
2639;Companies building for the market;Building projects started;2019 June;582;47;534;474.0;;;;;;;;;
