ID;CompanySize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
124;1 or more employed persons;F Construction;2012 May;100.5;-11.9
125;1 or more employed persons;F Construction;2012 June;108.1;-0.9
126;1 or more employed persons;F Construction;2012 2nd quarter;101.8;-6.9
127;1 or more employed persons;F Construction;2012 July;94.8;-7.7
128;1 or more employed persons;F Construction;2012 August;73.0;-0.2
129;1 or more employed persons;F Construction;2012 September;111.4;-4.0
130;1 or more employed persons;F Construction;2012 3rd quarter;93.0;-4.3
131;1 or more employed persons;F Construction;2012 October;102.2;-6.7
132;1 or more employed persons;F Construction;2012 November;109.4;-6.2
133;1 or more employed persons;F Construction;2012 December;112.4;-14.1
134;1 or more employed persons;F Construction;2012 4th quarter;108.0;-9.2
135;1 or more employed persons;F Construction;2012;96.2;-7.5
136;1 or more employed persons;F Construction;2013 January;61.6;-7.5
137;1 or more employed persons;F Construction;2013 February;70.9;-10.0
138;1 or more employed persons;F Construction;2013 March;89.2;-10.7
139;1 or more employed persons;F Construction;2013 1st quarter;73.9;-9.6
140;1 or more employed persons;F Construction;2013 April;89.9;-7.2
141;1 or more employed persons;F Construction;2013 May;95.2;-5.3
142;1 or more employed persons;F Construction;2013 June;99.8;-7.7
143;1 or more employed persons;F Construction;2013 2nd quarter;95.0;-6.8
144;1 or more employed persons;F Construction;2013 July;92.3;-2.7
145;1 or more employed persons;F Construction;2013 August;71.6;-1.9
146;1 or more employed persons;F Construction;2013 September;100.5;-9.7
147;1 or more employed persons;F Construction;2013 3rd quarter;88.1;-5.3
148;1 or more employed persons;F Construction;2013 October;106.7;4.3
149;1 or more employed persons;F Construction;2013 November;104.8;-4.1
150;1 or more employed persons;F Construction;2013 December;115.9;3.1
151;1 or more employed persons;F Construction;2013 4th quarter;109.1;1.0
152;1 or more employed persons;F Construction;2013;91.5;-4.8
153;1 or more employed persons;F Construction;2014 January;66.5;7.8
154;1 or more employed persons;F Construction;2014 February;78.3;10.4
155;1 or more employed persons;F Construction;2014 March;87.5;-1.9
156;1 or more employed persons;F Construction;2014 1st quarter;77.4;4.7
157;1 or more employed persons;F Construction;2014 April;92.7;3.1
158;1 or more employed persons;F Construction;2014 May;91.9;-3.4
159;1 or more employed persons;F Construction;2014 June;95.7;-4.1
160;1 or more employed persons;F Construction;2014 2nd quarter;93.5;-1.6
161;1 or more employed persons;F Construction;2014 July;95.8;3.9
162;1 or more employed persons;F Construction;2014 August;64.5;-9.9
163;1 or more employed persons;F Construction;2014 September;100.2;-0.3
164;1 or more employed persons;F Construction;2014 3rd quarter;86.8;-1.5
165;1 or more employed persons;F Construction;2014 October;114.2;7.1
166;1 or more employed persons;F Construction;2014 November;109.9;4.8
167;1 or more employed persons;F Construction;2014 December;125.5;8.3
168;1 or more employed persons;F Construction;2014 4th quarter;116.5;6.8
169;1 or more employed persons;F Construction;2014;93.6;2.2
170;1 or more employed persons;F Construction;2015 January;67.8;2.0
171;1 or more employed persons;F Construction;2015 February;78.8;0.6
172;1 or more employed persons;F Construction;2015 March;98.2;12.3
173;1 or more employed persons;F Construction;2015 1st quarter;81.6;5.4
174;1 or more employed persons;F Construction;2015 April;94.8;2.2
175;1 or more employed persons;F Construction;2015 May;94.6;2.9
176;1 or more employed persons;F Construction;2015 June;117.6;22.9
177;1 or more employed persons;F Construction;2015 2nd quarter;102.3;9.5
178;1 or more employed persons;F Construction;2015 July;102.2;6.6
179;1 or more employed persons;F Construction;2015 August;71.2;10.4
180;1 or more employed persons;F Construction;2015 September;108.2;8.0
181;1 or more employed persons;F Construction;2015 3rd quarter;93.9;8.1
182;1 or more employed persons;F Construction;2015 October;111.5;-2.4
183;1 or more employed persons;F Construction;2015 November;113.7;3.5
184;1 or more employed persons;F Construction;2015 December;126.7;0.9
185;1 or more employed persons;F Construction;2015 4th quarter;117.3;0.7
186;1 or more employed persons;F Construction;2015;98.8;5.6
187;1 or more employed persons;F Construction;2016 January;71.7;5.7
188;1 or more employed persons;F Construction;2016 February;87.5;11.1
189;1 or more employed persons;F Construction;2016 March;102.7;4.5
190;1 or more employed persons;F Construction;2016 1st quarter;87.3;7.0
191;1 or more employed persons;F Construction;2016 April;102.3;7.9
192;1 or more employed persons;F Construction;2016 May;101.0;6.8
193;1 or more employed persons;F Construction;2016 June;116.7;-0.8
194;1 or more employed persons;F Construction;2016 2nd quarter;106.6;4.2
195;1 or more employed persons;F Construction;2016 July;113.1;10.7
196;1 or more employed persons;F Construction;2016 August;75.4;5.9
197;1 or more employed persons;F Construction;2016 September;114.0;5.3
198;1 or more employed persons;F Construction;2016 3rd quarter;100.8;7.4
199;1 or more employed persons;F Construction;2016 October;117.2;5.1
200;1 or more employed persons;F Construction;2016 November;123.1;8.3
201;1 or more employed persons;F Construction;2016 December;138.3;9.2
202;1 or more employed persons;F Construction;2016 4th quarter;126.2;7.6
203;1 or more employed persons;F Construction;2016;105.2;6.5
204;1 or more employed persons;F Construction;2017 January;71.9;0.4
205;1 or more employed persons;F Construction;2017 February;89.9;2.7
206;1 or more employed persons;F Construction;2017 March;115.0;12.1
207;1 or more employed persons;F Construction;2017 1st quarter;92.3;5.8
208;1 or more employed persons;F Construction;2017 April;102.3;0.1
209;1 or more employed persons;F Construction;2017 May;114.8;13.6
210;1 or more employed persons;F Construction;2017 June;122.8;5.3
211;1 or more employed persons;F Construction;2017 2nd quarter;113.3;6.3
212;1 or more employed persons;F Construction;2017 July;117.7;4.1
213;1 or more employed persons;F Construction;2017 August;80.4;6.7
214;1 or more employed persons;F Construction;2017 September;116.8;2.5
215;1 or more employed persons;F Construction;2017 3rd quarter;105.0;4.1
216;1 or more employed persons;F Construction;2017 October;125.8;7.3
217;1 or more employed persons;F Construction;2017 November;133.5;8.4
218;1 or more employed persons;F Construction;2017 December;144.6;4.5
219;1 or more employed persons;F Construction;2017 4th quarter;134.6;6.6
220;1 or more employed persons;F Construction;2017;111.3;5.8
221;1 or more employed persons;412-439 Construction (no development);2005 January;54.4;-1.6
222;1 or more employed persons;412-439 Construction (no development);2005 February;69.4;-1.7
223;1 or more employed persons;412-439 Construction (no development);2005 March;83.1;-3.3
224;1 or more employed persons;412-439 Construction (no development);2005 1st quarter;69.0;-2.3
225;1 or more employed persons;412-439 Construction (no development);2005 April;89.6;6.6
226;1 or more employed persons;412-439 Construction (no development);2005 May;85.3;8.1
227;1 or more employed persons;412-439 Construction (no development);2005 June;104.4;11.9
228;1 or more employed persons;412-439 Construction (no development);2005 2nd quarter;93.1;9.0
229;1 or more employed persons;412-439 Construction (no development);2005 July;87.5;5.0
230;1 or more employed persons;412-439 Construction (no development);2005 August;61.1;13.2
231;1 or more employed persons;412-439 Construction (no development);2005 September;100.1;9.3
232;1 or more employed persons;412-439 Construction (no development);2005 3rd quarter;82.9;8.6
233;1 or more employed persons;412-439 Construction (no development);2005 October;97.4;3.9
234;1 or more employed persons;412-439 Construction (no development);2005 November;104.0;5.8
235;1 or more employed persons;412-439 Construction (no development);2005 December;123.3;7.7
236;1 or more employed persons;412-439 Construction (no development);2005 4th quarter;108.2;5.9
237;1 or more employed persons;412-439 Construction (no development);2005;88.3;5.6
238;1 or more employed persons;412-439 Construction (no development);2006 January;56.8;4.5
239;1 or more employed persons;412-439 Construction (no development);2006 February;75.9;9.3
240;1 or more employed persons;412-439 Construction (no development);2006 March;96.8;16.5
241;1 or more employed persons;412-439 Construction (no development);2006 1st quarter;76.5;10.9
242;1 or more employed persons;412-439 Construction (no development);2006 April;88.8;-0.8
243;1 or more employed persons;412-439 Construction (no development);2006 May;100.3;17.7
244;1 or more employed persons;412-439 Construction (no development);2006 June;108.5;3.9
245;1 or more employed persons;412-439 Construction (no development);2006 2nd quarter;99.2;6.6
246;1 or more employed persons;412-439 Construction (no development);2006 July;90.4;3.4
247;1 or more employed persons;412-439 Construction (no development);2006 August;67.3;10.2
248;1 or more employed persons;412-439 Construction (no development);2006 September;107.5;7.4
249;1 or more employed persons;412-439 Construction (no development);2006 3rd quarter;88.4;6.7
250;1 or more employed persons;412-439 Construction (no development);2006 October;107.8;10.7
251;1 or more employed persons;412-439 Construction (no development);2006 November;115.1;10.6
252;1 or more employed persons;412-439 Construction (no development);2006 December;133.1;7.9
253;1 or more employed persons;412-439 Construction (no development);2006 4th quarter;118.6;9.6
254;1 or more employed persons;412-439 Construction (no development);2006;95.7;8.4
255;1 or more employed persons;412-439 Construction (no development);2007 January;64.3;13.3
256;1 or more employed persons;412-439 Construction (no development);2007 February;86.8;14.4
257;1 or more employed persons;412-439 Construction (no development);2007 March;110.6;14.2
258;1 or more employed persons;412-439 Construction (no development);2007 1st quarter;87.2;14.0
259;1 or more employed persons;412-439 Construction (no development);2007 April;98.9;11.4
260;1 or more employed persons;412-439 Construction (no development);2007 May;106.3;5.9
261;1 or more employed persons;412-439 Construction (no development);2007 June;120.6;11.2
262;1 or more employed persons;412-439 Construction (no development);2007 2nd quarter;108.6;9.5
263;1 or more employed persons;412-439 Construction (no development);2007 July;99.8;10.4
264;1 or more employed persons;412-439 Construction (no development);2007 August;76.8;14.1
265;1 or more employed persons;412-439 Construction (no development);2007 September;112.3;4.5
266;1 or more employed persons;412-439 Construction (no development);2007 3rd quarter;96.3;8.9
267;1 or more employed persons;412-439 Construction (no development);2007 October;120.8;12.1
268;1 or more employed persons;412-439 Construction (no development);2007 November;124.9;8.5
269;1 or more employed persons;412-439 Construction (no development);2007 December;136.8;2.8
270;1 or more employed persons;412-439 Construction (no development);2007 4th quarter;127.5;7.5
271;1 or more employed persons;412-439 Construction (no development);2007;104.9;9.6
272;1 or more employed persons;412-439 Construction (no development);2008 January;75.3;17.1
273;1 or more employed persons;412-439 Construction (no development);2008 February;102.8;18.5
274;1 or more employed persons;412-439 Construction (no development);2008 March;114.7;3.7
275;1 or more employed persons;412-439 Construction (no development);2008 1st quarter;97.6;11.9
276;1 or more employed persons;412-439 Construction (no development);2008 April;119.4;20.7
277;1 or more employed persons;412-439 Construction (no development);2008 May;113.9;7.2
278;1 or more employed persons;412-439 Construction (no development);2008 June;130.7;8.4
279;1 or more employed persons;412-439 Construction (no development);2008 2nd quarter;121.4;11.7
280;1 or more employed persons;412-439 Construction (no development);2008 July;109.3;9.4
281;1 or more employed persons;412-439 Construction (no development);2008 August;83.5;8.8
282;1 or more employed persons;412-439 Construction (no development);2008 September;127.5;13.6
283;1 or more employed persons;412-439 Construction (no development);2008 3rd quarter;106.8;10.9
284;1 or more employed persons;412-439 Construction (no development);2008 October;133.7;10.7
285;1 or more employed persons;412-439 Construction (no development);2008 November;125.2;0.3
286;1 or more employed persons;412-439 Construction (no development);2008 December;143.6;5.0
287;1 or more employed persons;412-439 Construction (no development);2008 4th quarter;134.2;5.2
288;1 or more employed persons;412-439 Construction (no development);2008;115.0;9.6
289;1 or more employed persons;412-439 Construction (no development);2009 January;77.0;2.2
290;1 or more employed persons;412-439 Construction (no development);2009 February;97.7;-5.0
291;1 or more employed persons;412-439 Construction (no development);2009 March;121.9;6.3
292;1 or more employed persons;412-439 Construction (no development);2009 1st quarter;98.9;1.3
293;1 or more employed persons;412-439 Construction (no development);2009 April;115.5;-3.3
294;1 or more employed persons;412-439 Construction (no development);2009 May;110.9;-2.6
295;1 or more employed persons;412-439 Construction (no development);2009 June;123.2;-5.8
296;1 or more employed persons;412-439 Construction (no development);2009 2nd quarter;116.5;-4.0
297;1 or more employed persons;412-439 Construction (no development);2009 July;112.6;3.1
298;1 or more employed persons;412-439 Construction (no development);2009 August;75.3;-9.8
299;1 or more employed persons;412-439 Construction (no development);2009 September;117.5;-7.9
300;1 or more employed persons;412-439 Construction (no development);2009 3rd quarter;101.8;-4.6
301;1 or more employed persons;412-439 Construction (no development);2009 October;121.8;-8.9
302;1 or more employed persons;412-439 Construction (no development);2009 November;116.4;-7.0
303;1 or more employed persons;412-439 Construction (no development);2009 December;126.1;-12.2
304;1 or more employed persons;412-439 Construction (no development);2009 4th quarter;121.4;-9.5
305;1 or more employed persons;412-439 Construction (no development);2009;109.7;-4.6
306;1 or more employed persons;412-439 Construction (no development);2010 January;63.9;-17.1
307;1 or more employed persons;412-439 Construction (no development);2010 February;76.5;-21.7
308;1 or more employed persons;412-439 Construction (no development);2010 March;105.5;-13.5
309;1 or more employed persons;412-439 Construction (no development);2010 1st quarter;82.0;-17.1
310;1 or more employed persons;412-439 Construction (no development);2010 April;105.3;-8.8
311;1 or more employed persons;412-439 Construction (no development);2010 May;98.4;-11.3
312;1 or more employed persons;412-439 Construction (no development);2010 June;117.6;-4.6
313;1 or more employed persons;412-439 Construction (no development);2010 2nd quarter;107.1;-8.1
314;1 or more employed persons;412-439 Construction (no development);2010 July;106.8;-5.2
315;1 or more employed persons;412-439 Construction (no development);2010 August;69.9;-7.2
316;1 or more employed persons;412-439 Construction (no development);2010 September;107.7;-8.4
317;1 or more employed persons;412-439 Construction (no development);2010 3rd quarter;94.8;-6.9
318;1 or more employed persons;412-439 Construction (no development);2010 October;112.5;-7.7
319;1 or more employed persons;412-439 Construction (no development);2010 November;116.2;-0.2
320;1 or more employed persons;412-439 Construction (no development);2010 December;119.8;-5.0
321;1 or more employed persons;412-439 Construction (no development);2010 4th quarter;116.2;-4.3
322;1 or more employed persons;412-439 Construction (no development);2010;100.0;-8.8
323;1 or more employed persons;412-439 Construction (no development);2011 January;70.3;10.2
324;1 or more employed persons;412-439 Construction (no development);2011 February;89.1;16.4
325;1 or more employed persons;412-439 Construction (no development);2011 March;109.0;3.3
326;1 or more employed persons;412-439 Construction (no development);2011 1st quarter;89.5;9.2
327;1 or more employed persons;412-439 Construction (no development);2011 April;105.8;0.5
328;1 or more employed persons;412-439 Construction (no development);2011 May;115.0;16.9
329;1 or more employed persons;412-439 Construction (no development);2011 June;109.6;-6.8
330;1 or more employed persons;412-439 Construction (no development);2011 2nd quarter;110.2;2.9
331;1 or more employed persons;412-439 Construction (no development);2011 July;103.6;-3.0
332;1 or more employed persons;412-439 Construction (no development);2011 August;74.1;5.9
333;1 or more employed persons;412-439 Construction (no development);2011 September;116.9;8.6
334;1 or more employed persons;412-439 Construction (no development);2011 3rd quarter;98.2;3.6
335;1 or more employed persons;412-439 Construction (no development);2011 October;109.8;-2.4
336;1 or more employed persons;412-439 Construction (no development);2011 November;118.1;1.6
337;1 or more employed persons;412-439 Construction (no development);2011 December;129.7;8.2
338;1 or more employed persons;412-439 Construction (no development);2011 4th quarter;119.2;2.6
339;1 or more employed persons;412-439 Construction (no development);2011;104.3;4.3
340;1 or more employed persons;412-439 Construction (no development);2012 January;66.4;-5.6
341;1 or more employed persons;412-439 Construction (no development);2012 February;79.4;-10.9
342;1 or more employed persons;412-439 Construction (no development);2012 March;100.6;-7.7
343;1 or more employed persons;412-439 Construction (no development);2012 1st quarter;82.1;-8.2
344;1 or more employed persons;412-439 Construction (no development);2012 April;97.5;-7.9
345;1 or more employed persons;412-439 Construction (no development);2012 May;101.5;-11.7
346;1 or more employed persons;412-439 Construction (no development);2012 June;109.2;-0.4
347;1 or more employed persons;412-439 Construction (no development);2012 2nd quarter;102.7;-6.8
348;1 or more employed persons;412-439 Construction (no development);2012 July;96.0;-7.3
349;1 or more employed persons;412-439 Construction (no development);2012 August;74.1;0.0
350;1 or more employed persons;412-439 Construction (no development);2012 September;111.9;-4.3
351;1 or more employed persons;412-439 Construction (no development);2012 3rd quarter;94.0;-4.3
352;1 or more employed persons;412-439 Construction (no development);2012 October;104.0;-5.3
353;1 or more employed persons;412-439 Construction (no development);2012 November;111.4;-5.7
354;1 or more employed persons;412-439 Construction (no development);2012 December;112.3;-13.4
355;1 or more employed persons;412-439 Construction (no development);2012 4th quarter;109.2;-8.4
356;1 or more employed persons;412-439 Construction (no development);2012;97.0;-6.9
357;1 or more employed persons;412-439 Construction (no development);2013 January;61.6;-7.2
358;1 or more employed persons;412-439 Construction (no development);2013 February;72.3;-8.9
359;1 or more employed persons;412-439 Construction (no development);2013 March;90.2;-10.4
360;1 or more employed persons;412-439 Construction (no development);2013 1st quarter;74.7;-9.1
361;1 or more employed persons;412-439 Construction (no development);2013 April;91.3;-6.3
362;1 or more employed persons;412-439 Construction (no development);2013 May;96.1;-5.3
363;1 or more employed persons;412-439 Construction (no development);2013 June;101.4;-7.1
364;1 or more employed persons;412-439 Construction (no development);2013 2nd quarter;96.3;-6.2
365;1 or more employed persons;412-439 Construction (no development);2013 July;94.1;-1.9
366;1 or more employed persons;412-439 Construction (no development);2013 August;72.8;-1.7
367;1 or more employed persons;412-439 Construction (no development);2013 September;102.1;-8.7
368;1 or more employed persons;412-439 Construction (no development);2013 3rd quarter;89.7;-4.6
369;1 or more employed persons;412-439 Construction (no development);2013 October;108.1;3.9
370;1 or more employed persons;412-439 Construction (no development);2013 November;106.7;-4.2
371;1 or more employed persons;412-439 Construction (no development);2013 December;116.0;3.3
372;1 or more employed persons;412-439 Construction (no development);2013 4th quarter;110.3;1.0
373;1 or more employed persons;412-439 Construction (no development);2013;92.7;-4.4
374;1 or more employed persons;412-439 Construction (no development);2014 January;67.2;9.0
375;1 or more employed persons;412-439 Construction (no development);2014 February;79.1;9.4
376;1 or more employed persons;412-439 Construction (no development);2014 March;88.4;-2.0
377;1 or more employed persons;412-439 Construction (no development);2014 1st quarter;78.2;4.7
378;1 or more employed persons;412-439 Construction (no development);2014 April;93.8;2.7
379;1 or more employed persons;412-439 Construction (no development);2014 May;93.4;-2.8
380;1 or more employed persons;412-439 Construction (no development);2014 June;96.5;-4.9
381;1 or more employed persons;412-439 Construction (no development);2014 2nd quarter;94.6;-1.8
382;1 or more employed persons;412-439 Construction (no development);2014 July;97.4;3.4
383;1 or more employed persons;412-439 Construction (no development);2014 August;65.2;-10.5
384;1 or more employed persons;412-439 Construction (no development);2014 September;101.9;-0.2
385;1 or more employed persons;412-439 Construction (no development);2014 3rd quarter;88.2;-1.7
386;1 or more employed persons;412-439 Construction (no development);2014 October;114.6;6.0
387;1 or more employed persons;412-439 Construction (no development);2014 November;109.7;2.8
388;1 or more employed persons;412-439 Construction (no development);2014 December;123.0;6.0
389;1 or more employed persons;412-439 Construction (no development);2014 4th quarter;115.8;5.0
390;1 or more employed persons;412-439 Construction (no development);2014;94.2;1.5
391;1 or more employed persons;412-439 Construction (no development);2015 January;67.7;0.8
392;1 or more employed persons;412-439 Construction (no development);2015 February;79.9;1.1
393;1 or more employed persons;412-439 Construction (no development);2015 March;99.2;12.3
394;1 or more employed persons;412-439 Construction (no development);2015 1st quarter;82.3;5.2
395;1 or more employed persons;412-439 Construction (no development);2015 April;95.4;1.8
396;1 or more employed persons;412-439 Construction (no development);2015 May;96.4;3.2
397;1 or more employed persons;412-439 Construction (no development);2015 June;119.0;23.3
398;1 or more employed persons;412-439 Construction (no development);2015 2nd quarter;103.6;9.6
399;1 or more employed persons;412-439 Construction (no development);2015 July;102.7;5.4
400;1 or more employed persons;412-439 Construction (no development);2015 August;71.9;10.4
401;1 or more employed persons;412-439 Construction (no development);2015 September;107.7;5.6
402;1 or more employed persons;412-439 Construction (no development);2015 3rd quarter;94.1;6.7
403;1 or more employed persons;412-439 Construction (no development);2015 October;112.8;-1.6
404;1 or more employed persons;412-439 Construction (no development);2015 November;114.7;4.6
405;1 or more employed persons;412-439 Construction (no development);2015 December;125.0;1.7
406;1 or more employed persons;412-439 Construction (no development);2015 4th quarter;117.5;1.5
407;1 or more employed persons;412-439 Construction (no development);2015;99.4;5.5
408;1 or more employed persons;412-439 Construction (no development);2016 January;70.9;4.8
409;1 or more employed persons;412-439 Construction (no development);2016 February;88.1;10.3
410;1 or more employed persons;412-439 Construction (no development);2016 March;103.0;3.8
411;1 or more employed persons;412-439 Construction (no development);2016 1st quarter;87.4;6.2
412;1 or more employed persons;412-439 Construction (no development);2016 April;102.3;7.2
413;1 or more employed persons;412-439 Construction (no development);2016 May;101.5;5.3
414;1 or more employed persons;412-439 Construction (no development);2016 June;117.7;-1.1
415;1 or more employed persons;412-439 Construction (no development);2016 2nd quarter;107.2;3.4
416;1 or more employed persons;412-439 Construction (no development);2016 July;114.5;11.5
417;1 or more employed persons;412-439 Construction (no development);2016 August;76.6;6.5
418;1 or more employed persons;412-439 Construction (no development);2016 September;115.0;6.8
419;1 or more employed persons;412-439 Construction (no development);2016 3rd quarter;102.0;8.4
420;1 or more employed persons;412-439 Construction (no development);2016 October;117.8;4.5
421;1 or more employed persons;412-439 Construction (no development);2016 November;124.2;8.3
422;1 or more employed persons;412-439 Construction (no development);2016 December;138.6;10.9
423;1 or more employed persons;412-439 Construction (no development);2016 4th quarter;126.9;8.0
424;1 or more employed persons;412-439 Construction (no development);2016;105.9;6.5
425;1 or more employed persons;412-439 Construction (no development);2017 January;71.2;0.4
426;1 or more employed persons;412-439 Construction (no development);2017 February;91.0;3.3
427;1 or more employed persons;412-439 Construction (no development);2017 March;115.5;12.1
428;1 or more employed persons;412-439 Construction (no development);2017 1st quarter;92.6;6.0
429;1 or more employed persons;412-439 Construction (no development);2017 April;102.7;0.4
430;1 or more employed persons;412-439 Construction (no development);2017 May;115.5;13.8
431;1 or more employed persons;412-439 Construction (no development);2017 June;123.4;4.9
