ID;Bestemming;Perioden;InvesteringenWerkelijkePrijzen_1;InvesteringenPrijsniveau2015_2;InvesteringenVolumemutatie_3;InvesteringenPrijsindexcijfers_4
145;B-E Nijverheid (geen bouw) en energie;2000;15824.0;19146.0;0.1;82.6
146;B-E Nijverheid (geen bouw) en energie;2001;15927.0;18900.0;-1.3;84.3
147;B-E Nijverheid (geen bouw) en energie;2002;15950.0;18573.0;-1.7;85.9
148;B-E Nijverheid (geen bouw) en energie;2003;15712.0;18240.0;-1.8;86.1
149;B-E Nijverheid (geen bouw) en energie;2004;15312.0;17664.0;-3.2;86.7
150;B-E Nijverheid (geen bouw) en energie;2005;16069.0;18383.0;4.1;87.4
151;B-E Nijverheid (geen bouw) en energie;2006;17768.0;19995.0;8.8;88.9
152;B-E Nijverheid (geen bouw) en energie;2007;19084.0;21087.0;5.5;90.5
153;B-E Nijverheid (geen bouw) en energie;2008;20745.0;22320.0;5.8;92.9
154;B-E Nijverheid (geen bouw) en energie;2009;19578.0;20848.0;-6.6;93.9
155;B-E Nijverheid (geen bouw) en energie;2010;19508.0;20510.0;-1.6;95.1
156;B-E Nijverheid (geen bouw) en energie;2011;22620.0;23570.0;14.9;96.0
157;B-E Nijverheid (geen bouw) en energie;2012;22671.0;23319.0;-1.1;97.2
158;B-E Nijverheid (geen bouw) en energie;2013;21795.0;22312.0;-4.3;97.7
159;B-E Nijverheid (geen bouw) en energie;2014;24090.0;24532.0;10.0;98.2
160;B-E Nijverheid (geen bouw) en energie;2015;23418.0;23418.0;-4.5;100.0
161;B-E Nijverheid (geen bouw) en energie;2016;24610.0;24544.0;4.8;100.3
162;B-E Nijverheid (geen bouw) en energie;2017;23781.0;23511.0;-4.2;101.1
163;B-E Nijverheid (geen bouw) en energie;2018;26504.0;25664.0;9.2;103.3
164;B-E Nijverheid (geen bouw) en energie;2019;28321.0;26804.0;4.4;105.7
165;B-E Nijverheid (geen bouw) en energie;2020;26604.0;24819.0;-7.4;107.2
166;B-E Nijverheid (geen bouw) en energie;2021;27784.0;25157.0;1.4;110.4
167;B-E Nijverheid (geen bouw) en energie;2022;30864.0;26289.0;4.5;117.4
168;B Delfstoffenwinning;1995;1259.0;1614.0;;78.0
169;B Delfstoffenwinning;1996;1310.0;1684.0;4.4;77.8
170;B Delfstoffenwinning;1997;1916.0;2444.0;45.1;78.4
171;B Delfstoffenwinning;1998;1571.0;1984.0;-18.8;79.2
172;B Delfstoffenwinning;1999;1346.0;1699.0;-14.3;79.2
173;B Delfstoffenwinning;2000;1299.0;1603.0;-5.6;81.0
174;B Delfstoffenwinning;2001;1892.0;2268.0;41.4;83.4
175;B Delfstoffenwinning;2002;1919.0;2236.0;-1.4;85.8
176;B Delfstoffenwinning;2003;1876.0;2179.0;-2.6;86.1
177;B Delfstoffenwinning;2004;1540.0;1804.0;-17.2;85.4
178;B Delfstoffenwinning;2005;1940.0;2276.0;26.2;85.2
179;B Delfstoffenwinning;2006;2257.0;2602.0;14.3;86.7
180;B Delfstoffenwinning;2007;2021.0;2297.0;-11.7;88.0
181;B Delfstoffenwinning;2008;2707.0;2973.0;29.4;91.1
182;B Delfstoffenwinning;2009;2424.0;2666.0;-10.3;90.9
183;B Delfstoffenwinning;2010;2339.0;2496.0;-6.4;93.7
184;B Delfstoffenwinning;2011;3194.0;3335.0;33.6;95.8
185;B Delfstoffenwinning;2012;2824.0;2892.0;-13.3;97.6
186;B Delfstoffenwinning;2013;2526.0;2552.0;-11.8;99.0
187;B Delfstoffenwinning;2014;3220.0;3215.0;26.0;100.2
188;B Delfstoffenwinning;2015;2628.0;2628.0;-18.3;100.0
189;B Delfstoffenwinning;2016;2185.0;2187.0;-16.8;99.9
190;B Delfstoffenwinning;2017;1787.0;1796.0;-17.9;99.5
191;B Delfstoffenwinning;2018;1125.0;1100.0;-38.7;102.2
192;B Delfstoffenwinning;2019;2067.0;1993.0;81.2;103.7
193;B Delfstoffenwinning;2020;511.0;487.0;-75.6;104.9
194;B Delfstoffenwinning;2021;927.0;846.0;73.8;109.5
195;B Delfstoffenwinning;2022;1042.0;898.0;6.1;116.0
196;06 Winning van aardolie en aardgas;1995;;;;
197;06 Winning van aardolie en aardgas;1996;;;;
198;06 Winning van aardolie en aardgas;1997;;;;
199;06 Winning van aardolie en aardgas;1998;;;;
200;06 Winning van aardolie en aardgas;1999;;;;
201;06 Winning van aardolie en aardgas;2000;;;;
202;06 Winning van aardolie en aardgas;2001;;;;
203;06 Winning van aardolie en aardgas;2002;;;;
204;06 Winning van aardolie en aardgas;2003;;;;
205;06 Winning van aardolie en aardgas;2004;;;;
206;06 Winning van aardolie en aardgas;2005;;;;
207;06 Winning van aardolie en aardgas;2006;;;;
