ID;Geslacht;Bewonerscategorieen;Perioden;AantalBewoners_1;AandeelInBevolkingsgroep_2
94;Mannen en vrouwen;8;2001;20399.0;35.5
95;Mannen en vrouwen;8;2002;20382.0;35.0
96;Mannen en vrouwen;8;2003;20502.0;34.5
97;Mannen en vrouwen;8;2004;20308.0;33.3
98;Mannen en vrouwen;8;2005;19988.0;31.6
99;Mannen en vrouwen;9;1995;5572.0;52.2
100;Mannen en vrouwen;9;1996;5734.0;53.1
101;Mannen en vrouwen;9;1997;5954.0;52.2
102;Mannen en vrouwen;9;1998;6101.0;51.9
103;Mannen en vrouwen;9;1999;6156.0;50.8
104;Mannen en vrouwen;9;2000;6009.0;48.5
105;Mannen en vrouwen;9;2001;6001.0;46.9
106;Mannen en vrouwen;9;2002;6140.0;46.6
107;Mannen en vrouwen;9;2003;6329.0;47.0
108;Mannen en vrouwen;9;2004;6611.0;48.3
109;Mannen en vrouwen;9;2005;6461.0;45.0
110;Mannen en vrouwen;10;1995;100577.0;
111;Mannen en vrouwen;10;1996;98675.0;
112;Mannen en vrouwen;10;1997;97183.0;
113;Mannen en vrouwen;10;1998;90697.0;
114;Mannen en vrouwen;10;1999;85300.0;
115;Mannen en vrouwen;10;2000;90084.0;
116;Mannen en vrouwen;10;2001;92300.0;
117;Mannen en vrouwen;10;2002;;
118;Mannen en vrouwen;10;2003;;
119;Mannen en vrouwen;10;2004;;
120;Mannen en vrouwen;10;2005;;
121;Mannen;1;1995;24904.0;
122;Mannen;1;1996;23778.0;
123;Mannen;1;1997;23747.0;
124;Mannen;1;1998;23110.0;
125;Mannen;1;1999;22577.0;
126;Mannen;1;2000;22188.0;
127;Mannen;1;2001;22075.0;
128;Mannen;1;2002;22012.0;
129;Mannen;1;2003;21947.0;
130;Mannen;1;2004;22155.0;
131;Mannen;1;2005;21836.0;
132;Mannen;2;1995;183.0;
133;Mannen;2;1996;212.0;
134;Mannen;2;1997;212.0;
135;Mannen;2;1998;197.0;
136;Mannen;2;1999;87.0;
137;Mannen;2;2000;101.0;
138;Mannen;2;2001;124.0;
139;Mannen;2;2002;156.0;
140;Mannen;2;2003;160.0;
141;Mannen;2;2004;169.0;
142;Mannen;2;2005;192.0;
143;Mannen;20;1995;24719.0;3.0
144;Mannen;20;1996;23567.0;2.8
145;Mannen;20;1997;23534.0;2.8
146;Mannen;20;1998;22913.0;2.7
147;Mannen;20;1999;22490.0;2.6
148;Mannen;20;2000;22087.0;2.5
149;Mannen;20;2001;21951.0;2.5
150;Mannen;20;2002;21856.0;2.4
151;Mannen;20;2003;21787.0;2.4
152;Mannen;20;2004;21986.0;2.3
153;Mannen;20;2005;21644.0;2.2
154;Mannen;3;1995;577.0;0.2
155;Mannen;3;1996;562.0;0.2
156;Mannen;3;1997;578.0;0.2
157;Mannen;3;1998;534.0;0.2
158;Mannen;3;1999;359.0;0.1
159;Mannen;3;2000;360.0;0.1
160;Mannen;3;2001;367.0;0.1
161;Mannen;3;2002;379.0;0.1
162;Mannen;3;2003;379.0;0.1
163;Mannen;3;2004;400.0;0.1
164;Mannen;3;2005;413.0;0.1
165;Mannen;4;1995;1613.0;0.7
166;Mannen;4;1996;1555.0;0.7
167;Mannen;4;1997;1588.0;0.7
168;Mannen;4;1998;1388.0;0.6
169;Mannen;4;1999;1453.0;0.6
170;Mannen;4;2000;1399.0;0.6
171;Mannen;4;2001;1379.0;0.6
172;Mannen;4;2002;1386.0;0.5
173;Mannen;4;2003;1431.0;0.6
174;Mannen;4;2004;1494.0;0.6
175;Mannen;4;2005;1474.0;0.6
176;Mannen;5;1995;3548.0;2.4
177;Mannen;5;1996;3400.0;2.2
178;Mannen;5;1997;3395.0;2.1
179;Mannen;5;1998;3364.0;2.0
180;Mannen;5;1999;3402.0;1.9
181;Mannen;5;2000;3314.0;1.8
182;Mannen;5;2001;3250.0;1.8
183;Mannen;5;2002;3300.0;1.8
184;Mannen;5;2003;3214.0;1.7
185;Mannen;5;2004;3180.0;1.7
186;Mannen;5;2005;3163.0;1.7
187;Mannen;6;1995;6951.0;7.7
188;Mannen;6;1996;6580.0;7.2
189;Mannen;6;1997;6402.0;6.9
190;Mannen;6;1998;6094.0;6.5
191;Mannen;6;1999;5792.0;6.3
192;Mannen;6;2000;5688.0;6.1
193;Mannen;6;2001;5638.0;5.7
194;Mannen;6;2002;5661.0;5.4
195;Mannen;6;2003;5729.0;5.3
196;Mannen;6;2004;5768.0;5.0
197;Mannen;6;2005;5596.0;4.7
198;Mannen;7;1995;7210.0;18.4
199;Mannen;7;1996;6812.0;17.2
200;Mannen;7;1997;6833.0;17.1
201;Mannen;7;1998;6692.0;16.3
202;Mannen;7;1999;6860.0;16.2
203;Mannen;7;2000;6778.0;15.5
204;Mannen;7;2001;6793.0;15.3
205;Mannen;7;2002;6618.0;14.7
206;Mannen;7;2003;6384.0;14.1
207;Mannen;7;2004;6323.0;14.0
208;Mannen;7;2005;6260.0;13.5
209;Mannen;8;1995;3831.0;33.0
210;Mannen;8;1996;3652.0;30.8
211;Mannen;8;1997;3712.0;31.2
212;Mannen;8;1998;3737.0;30.8
213;Mannen;8;1999;3632.0;29.6
214;Mannen;8;2000;3572.0;29.2
215;Mannen;8;2001;3547.0;28.3
216;Mannen;8;2002;3534.0;27.7
217;Mannen;8;2003;3666.0;27.6
218;Mannen;8;2004;3740.0;27.3
219;Mannen;8;2005;3677.0;25.5
220;Mannen;9;1995;989.0;44.3
221;Mannen;9;1996;1006.0;46.7
222;Mannen;9;1997;1026.0;46.1
223;Mannen;9;1998;1107.0;49.3
224;Mannen;9;1999;992.0;42.6
225;Mannen;9;2000;976.0;41.5
226;Mannen;9;2001;977.0;41.6
227;Mannen;9;2002;977.0;41.3
228;Mannen;9;2003;984.0;41.9
229;Mannen;9;2004;1081.0;45.6
230;Mannen;9;2005;1061.0;43.8
231;Mannen;10;1995;17856.0;
232;Mannen;10;1996;17440.0;
233;Mannen;10;1997;17574.0;
234;Mannen;10;1998;16508.0;
235;Mannen;10;1999;15064.0;
236;Mannen;10;2000;16397.0;
237;Mannen;10;2001;16950.0;
238;Mannen;10;2002;;
239;Mannen;10;2003;;
240;Mannen;10;2004;;
241;Mannen;10;2005;;
242;Vrouwen;1;1995;92587.0;
243;Vrouwen;1;1996;89255.0;
244;Vrouwen;1;1997;87972.0;
245;Vrouwen;1;1998;84695.0;
246;Vrouwen;1;1999;84236.0;
247;Vrouwen;1;2000;81925.0;
248;Vrouwen;1;2001;80845.0;
249;Vrouwen;1;2002;80077.0;
250;Vrouwen;1;2003;78852.0;
251;Vrouwen;1;2004;78058.0;
252;Vrouwen;1;2005;76837.0;
253;Vrouwen;2;1995;272.0;
254;Vrouwen;2;1996;257.0;
255;Vrouwen;2;1997;270.0;
256;Vrouwen;2;1998;278.0;
257;Vrouwen;2;1999;119.0;
258;Vrouwen;2;2000;126.0;
259;Vrouwen;2;2001;138.0;
260;Vrouwen;2;2002;188.0;
261;Vrouwen;2;2003;206.0;
262;Vrouwen;2;2004;213.0;
263;Vrouwen;2;2005;233.0;
264;Vrouwen;20;1995;92316.0;7.6
265;Vrouwen;20;1996;88999.0;7.2
266;Vrouwen;20;1997;87702.0;7.1
267;Vrouwen;20;1998;84417.0;6.7
268;Vrouwen;20;1999;84369.0;6.7
269;Vrouwen;20;2000;81799.0;6.4
270;Vrouwen;20;2001;80707.0;6.3
271;Vrouwen;20;2002;79889.0;6.2
272;Vrouwen;20;2003;78646.0;6.1
273;Vrouwen;20;2004;77845.0;5.9
274;Vrouwen;20;2005;76604.0;5.8
275;Vrouwen;3;1995;1144.0;0.2
276;Vrouwen;3;1996;1073.0;0.2
277;Vrouwen;3;1997;1024.0;0.2
278;Vrouwen;3;1998;910.0;0.2
279;Vrouwen;3;1999;925.0;0.2
280;Vrouwen;3;2000;873.0;0.2
281;Vrouwen;3;2001;882.0;0.2
282;Vrouwen;3;2002;843.0;0.1
283;Vrouwen;3;2003;784.0;0.1
284;Vrouwen;3;2004;804.0;0.2
285;Vrouwen;3;2005;832.0;0.2
286;Vrouwen;4;1995;4220.0;1.3
287;Vrouwen;4;1996;4119.0;1.3
288;Vrouwen;4;1997;3867.0;1.2
289;Vrouwen;4;1998;3576.0;1.2
290;Vrouwen;4;1999;3275.0;1.1
291;Vrouwen;4;2000;3139.0;1.0
292;Vrouwen;4;2001;3090.0;1.0
293;Vrouwen;4;2002;3044.0;1.0
294;Vrouwen;4;2003;3006.0;1.0
295;Vrouwen;4;2004;3073.0;1.0
296;Vrouwen;4;2005;3103.0;1.0
297;Vrouwen;5;1995;11558.0;4.9
298;Vrouwen;5;1996;10904.0;4.5
299;Vrouwen;5;1997;10489.0;4.2
300;Vrouwen;5;1998;9829.0;3.8
301;Vrouwen;5;1999;10007.0;3.7
302;Vrouwen;5;2000;9577.0;3.5
303;Vrouwen;5;2001;9373.0;3.4
304;Vrouwen;5;2002;9167.0;3.4
305;Vrouwen;5;2003;9135.0;3.4
306;Vrouwen;5;2004;8717.0;3.2
307;Vrouwen;5;2005;8603.0;3.2
308;Vrouwen;6;1995;24404.0;13.4
309;Vrouwen;6;1996;23304.0;12.8
310;Vrouwen;6;1997;22639.0;12.3
311;Vrouwen;6;1998;20923.0;11.3
312;Vrouwen;6;1999;20014.0;11.0
313;Vrouwen;6;2000;19383.0;10.7
314;Vrouwen;6;2001;19081.0;10.1
315;Vrouwen;6;2002;18988.0;9.7
316;Vrouwen;6;2003;19295.0;9.5
317;Vrouwen;6;2004;19197.0;9.1
318;Vrouwen;6;2005;18699.0;8.6
319;Vrouwen;7;1995;29288.0;28.2
320;Vrouwen;7;1996;28002.0;26.5
321;Vrouwen;7;1997;27919.0;26.2
322;Vrouwen;7;1998;27344.0;25.1
323;Vrouwen;7;1999;27379.0;24.6
324;Vrouwen;7;2000;26570.0;23.5
325;Vrouwen;7;2001;26405.0;23.2
326;Vrouwen;7;2002;25835.0;22.5
327;Vrouwen;7;2003;24245.0;21.1
328;Vrouwen;7;2004;23956.0;21.1
329;Vrouwen;7;2005;23656.0;20.7
330;Vrouwen;8;1995;17119.0;45.1
331;Vrouwen;8;1996;16868.0;42.8
332;Vrouwen;8;1997;16837.0;41.6
333;Vrouwen;8;1998;16842.0;40.3
334;Vrouwen;8;1999;17605.0;40.8
335;Vrouwen;8;2000;17224.0;39.0
336;Vrouwen;8;2001;16852.0;37.4
337;Vrouwen;8;2002;16848.0;37.1
338;Vrouwen;8;2003;16836.0;36.5
339;Vrouwen;8;2004;16568.0;35.0
340;Vrouwen;8;2005;16311.0;33.4
341;Vrouwen;9;1995;4583.0;54.3
342;Vrouwen;9;1996;4729.0;54.7
343;Vrouwen;9;1997;4927.0;53.7
344;Vrouwen;9;1998;4994.0;52.5
345;Vrouwen;9;1999;5164.0;52.8
346;Vrouwen;9;2000;5033.0;50.1
347;Vrouwen;9;2001;5024.0;48.1
348;Vrouwen;9;2002;5163.0;47.7
349;Vrouwen;9;2003;5345.0;48.1
350;Vrouwen;9;2004;5530.0;48.8
351;Vrouwen;9;2005;5400.0;45.3
352;Vrouwen;10;1995;82721.0;
353;Vrouwen;10;1996;81235.0;
354;Vrouwen;10;1997;79609.0;
355;Vrouwen;10;1998;74189.0;
356;Vrouwen;10;1999;70236.0;
357;Vrouwen;10;2000;73687.0;
358;Vrouwen;10;2001;75350.0;
359;Vrouwen;10;2002;;
360;Vrouwen;10;2003;;
361;Vrouwen;10;2004;;
362;Vrouwen;10;2005;;
