ID;Plaatsnamen;Gemeentecode_1;Gemeentenaam_2;EGGCode_3;EGGNaam_4;Provinciecode_5;ProvincienaamAfkorting_6;PlaatsnaamPTTWoonplaatsnaam_7;PlaatsnaamGemeentenaam_8;Plaatsnaam_9;PlaatsnaamVolgnummer_10
357;Beckum;164;Hengelo                    ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Beckum                     ;1227
358;Bedaf;856;Uden                       ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Bedaf                      ;4522
359;Bedijking;736;De Ronde Venen             ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;nee;nee;Bedijking                  ;3873
360;10;5;Bedum                      ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;ja ;ja ;Bedum                      ;10
361;Beegden;1937;Heel                       ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;ja ;nee;Beegden                    ;6364
362;Beek;207;Bergh                      ;27;Oude-IJsselgebied (westelijk deel)      ;25;Gld.;ja ;nee;Beek                       ;1603
363;Beek;282;Ubbergen                   ;40;Gebied om Nijmegen                      ;25;Gld.;ja ;nee;Beek                       ;2064
364;Beek;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Beek                       ;5497
365;Beek;888;Beek                       ;124;Westelijke Mijnstreek                   ;31;L.  ;ja ;ja ;Beek                       ;4754
366;Beek en Donk;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;ja ;nee;Beek en Donk               ;5498
367;Beek, De;233;Ermelo                     ;32;IJsselmeerkust                          ;25;Gld.;nee;nee;Beek, De                   ;1784
368;Beekbergen;200;Apeldoorn                  ;33;Apeldoorn                               ;25;Gld.;ja ;nee;Beekbergen                 ;1515
369;Beekheuvel;893;Bergen                     ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Beekheuvel                 ;4773
370;Beekkant;845;Sint-Michielsgestel        ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;nee;nee;Beekkant                   ;4401
371;Beekkant, De;914;Haelen                     ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;nee;nee;Beekkant, De               ;4844
372;Beekveld;845;Sint-Michielsgestel        ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;nee;nee;Beekveld                   ;4402
373;Beemden, De;263;Maasdriel                  ;42;Bommelerwaard                           ;25;Gld.;nee;nee;Beemden, De                ;1913
374;Beemdkant;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Beemdkant                  ;5499
375;Beemster;370;Beemster                   ;56;Noordhollands Middengewest              ;27;NH. ;nee;ja ;Beemster                   ;2510
376;Beemte;200;Apeldoorn                  ;33;Apeldoorn                               ;25;Gld.;ja ;nee;Beemte                     ;1516
377;Beeret, Op de;983;Venlo                      ;121;Industriegebied Venlo-Beesel            ;31;L.  ;nee;nee;Beeret, Op de              ;5235
378;Beers;1684;Cuijk                      ;119;Land van Cuijk                          ;30;NB. ;ja ;nee;Beers                      ;5795
379;Beers;140;Littenseradiel             ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Beers                      ;1000
380;Beerschoten;316;Driebergen-Rijsenburg      ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee;Beerschoten                ;2285
381;Beersdal;917;Heerlen                    ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Beersdal                   ;4855
382;Beerserhaar;175;Ommen                      ;21;Noordoost-Overijssel                    ;23;O.  ;nee;nee;Beerserhaar                ;1303
383;Beersterhoogen;1661;Reiderland                 ;3;Groninger Oldambt                       ;20;Gr. ;nee;nee;Beersterhoogen             ;5516
384;Beerta;1661;Reiderland                 ;3;Groninger Oldambt                       ;20;Gr. ;ja ;nee;Beerta                     ;5517
385;Beerten;798;Hilvarenbeek               ;108;Gebied om Tilburg                       ;30;NB. ;nee;nee;Beerten                    ;4242
386;Beertsenhoven;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Beertsenhoven              ;6171
387;Beerze;175;Ommen                      ;21;Noordoost-Overijssel                    ;23;O.  ;ja ;nee;Beerze                     ;1304
388;Beerzerveld;175;Ommen                      ;21;Noordoost-Overijssel                    ;23;O.  ;ja ;nee;Beerzerveld                ;1305
389;Beesd;236;Geldermalsen               ;38;Westelijke Betuwe                       ;25;Gld.;ja ;nee;Beesd                      ;1797
390;Beesel;889;Beesel                     ;121;Industriegebied Venlo-Beesel            ;31;L.  ;ja ;ja ;Beesel                     ;4765
391;708;83;Menaldumadeel              ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Beetgum                    ;708
392;709;83;Menaldumadeel              ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Beetgumermolen             ;709
393;757;86;Opsterland                 ;9;Fries zandgebied                        ;21;F.  ;nee;nee;Beets                      ;757
394;Beets;478;Zeevang                    ;56;Noordhollands Middengewest              ;27;NH. ;ja ;nee;Beets                      ;2880
395;758;86;Opsterland                 ;9;Fries zandgebied                        ;21;F.  ;ja ;nee;Beetsterzwaag              ;758
396;Beggelder, Het;219;Dinxperlo                  ;29;Oude-IJsselgebied (oostelijk deel)      ;25;Gld.;nee;nee;Beggelder, Het             ;1682
397;Beijersche, Het;623;Vlist                      ;75;Krimpenerwaard                          ;28;ZH. ;nee;nee;Beijersche, Het            ;3374
398;Beilen;1731;Midden-Drenthe             ;17;Drentse zandgronden                     ;22;D.  ;ja ;nee;Beilen                     ;6244
399;Beimerwaard;199;Angerlo                    ;26;De Lijmers                              ;25;Gld.;nee;nee;Beimerwaard                ;1504
400;Beinsdorp;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;nee;Beinsdorp                  ;2606
401;Beinum;199;Angerlo                    ;26;De Lijmers                              ;25;Gld.;nee;nee;Beinum                     ;1505
402;Beisterveld;794;Helmond                    ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Beisterveld                ;4187
403;Beitel;917;Heerlen                    ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Beitel                     ;4856
404;Bekelaar;814;Mierlo                     ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Bekelaar                   ;4284
405;Bekenes;632;Woerden                    ;49;Utrechts weidegebied                    ;26;U.  ;nee;nee;Bekenes                    ;3409
406;Bekveld;248;Hengelo                    ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;nee;nee;Bekveld                    ;1859
407;Belcrum;758;Breda                      ;103;Breda                                   ;30;NB. ;nee;nee;Belcrum                    ;4015
408;Belfeld;983;Venlo                      ;121;Industriegebied Venlo-Beesel            ;31;L.  ;ja ;nee;Belfeld                    ;5236
409;Belgeren;762;Deurne                     ;118;Brabantse Peel                          ;30;NB. ;nee;nee;Belgeren                   ;4040
410;411;53;Winsum                     ;6;Groninger centrale Weidestreek          ;20;Gr. ;nee;nee;Bellingeweer               ;411
411;20;7;Bellingwedde               ;3;Groninger Oldambt                       ;20;Gr. ;nee;ja ;Bellingwedde               ;20
412;21;7;Bellingwedde               ;3;Groninger Oldambt                       ;20;Gr. ;ja ;nee;Bellingwolde               ;21
413;Bellinkhof;141;Almelo                     ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Bellinkhof                 ;1046
414;Bels, De;653;Gaasterlân-Sleat           ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Bels, De                   ;3482
415;Belsberg;1507;Horst aan de Maas          ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Belsberg                   ;5358
416;Belt, De;160;Hardenberg                 ;21;Noordoost-Overijssel                    ;23;O.  ;nee;nee;Belt, De                   ;1172
417;Belt, De;462;Wieringen                  ;51;Wieringen, Wieringermeer                ;27;NH. ;nee;nee;Belt, De                   ;2835
418;Belt, De-Schutsloot;181;Steenwijk                  ;19;Noordwest-Overijssel                    ;23;O.  ;ja ;nee;Belt, De-Schutsloot        ;1357
419;Belt, Op de;893;Bergen                     ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Belt, Op de                ;4774
420;Beltrum;229;Eibergen                   ;30;Overige gemeenten oostelijke Achterhoek ;25;Gld.;ja ;nee;Beltrum                    ;1745
421;Belvert;788;Haaren                     ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;nee;nee;Belvert                    ;4175
422;Bemelen;936;Margraten                  ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;ja ;nee;Bemelen                    ;5020
423;Bemmel;206;Bemmel                     ;37;Oostelijke Betuwe                       ;25;Gld.;ja ;ja ;Bemmel                     ;1586
424;Bemmer;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Bemmer                     ;5500
425;Benderse;1690;De Wolden                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Benderse                   ;5833
426;Beneden-Delwijnen;297;Zaltbommel                 ;42;Bommelerwaard                           ;25;Gld.;nee;nee;Beneden-Delwijnen          ;2157
427;Beneden-Haastrecht;623;Vlist                      ;75;Krimpenerwaard                          ;28;ZH. ;nee;nee;Beneden-Haastrecht         ;3375
428;Beneden-Leeuwen;668;West Maas en Waal          ;41;Land van Maas en Waal                   ;25;Gld.;ja ;nee;Beneden-Leeuwen            ;3536
429;Beneden-Veensloot;1987;Menterwolde                ;3;Groninger Oldambt                       ;20;Gr. ;nee;nee;Beneden-Veensloot          ;6370
430;Benedenberg en Zuidbroek;491;Bergambacht                ;75;Krimpenerwaard                          ;28;ZH. ;nee;nee;Benedenberg en Zuidbroek   ;2964
431;Benedeneind;228;Ede                        ;31;Gelderse Vallei                         ;25;Gld.;nee;nee;Benedeneind                ;1718
432;Benedenheul;623;Vlist                      ;75;Krimpenerwaard                          ;28;ZH. ;nee;nee;Benedenheul                ;3376
433;Benedenkerk;623;Vlist                      ;75;Krimpenerwaard                          ;28;ZH. ;nee;nee;Benedenkerk                ;3377
434;Benedenstad;268;Nijmegen                   ;39;Nijmegen                                ;25;Gld.;nee;nee;Benedenstad                ;1958
435;Benedenvaart;160;Hardenberg                 ;21;Noordoost-Overijssel                    ;23;O.  ;nee;nee;Benedenvaart               ;1173
436;Benkoelen;1730;Tynaarlo                   ;14;Noorddrents randgebied                  ;22;D.  ;nee;nee;Benkoelen                  ;6217
437;Bennebroek;372;Bennebroek                 ;61;Overige gemeenten Zuid-Kennemerland     ;27;NH. ;ja ;ja ;Bennebroek                 ;2517
438;Bennekel, De;772;Eindhoven                  ;113;Eindhoven                               ;30;NB. ;nee;nee;Bennekel, De               ;4097
439;Bennekom;228;Ede                        ;31;Gelderse Vallei                         ;25;Gld.;ja ;nee;Bennekom                   ;1719
440;893;109;Coevorden                  ;18;Zuiddrents randgebied                   ;22;D.  ;ja ;nee;Benneveld                  ;893
441;Benningbroek;529;Noorder-Koggenland         ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;nee;Benningbroek               ;3060
442;Benschop;331;Lopik                      ;49;Utrechts weidegebied                    ;26;U.  ;ja ;nee;Benschop                   ;2328
443;Bent;1672;Rijnwoude                  ;73;Rijnstreek Zuid-Holland                 ;28;ZH. ;nee;nee;Bent                       ;5624
444;Bentelo;1735;Hof van Twente             ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee;Bentelo                    ;6308
445;Benthem;1652;Gemert-Bakel               ;118;Brabantse Peel                          ;30;NB. ;nee;nee;Benthem                    ;5424
446;Benthuizen;1672;Rijnwoude                  ;73;Rijnstreek Zuid-Holland                 ;28;ZH. ;ja ;nee;Benthuizen                 ;5625
447;Bentveld (ged.);473;Zandvoort                  ;61;Overige gemeenten Zuid-Kennemerland     ;27;NH. ;ja ;nee;Bentveld (ged.)            ;2862
448;Bentveld (ged.);377;Bloemendaal                ;61;Overige gemeenten Zuid-Kennemerland     ;27;NH. ;nee;nee;Bentveld (ged.)            ;2553
449;Benzenrade;917;Heerlen                    ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Benzenrade                 ;4857
450;Berfloes;164;Hengelo                    ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Berfloes                   ;1228
451;Berg;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Berg                       ;5330
452;Berg;1706;Cranendonck                ;117;Valkenswaard en oostelijke randgemeenten;30;NB. ;nee;nee;Berg                       ;5992
453;Berg;757;Boxtel                     ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;nee;nee;Berg                       ;3999
454;Berg en Bos;200;Apeldoorn                  ;33;Apeldoorn                               ;25;Gld.;nee;nee;Berg en Bos                ;1517
455;Berg en Dal (ged.);282;Ubbergen                   ;40;Gebied om Nijmegen                      ;25;Gld.;ja ;nee;Berg en Dal (ged.)         ;2065
456;Berg en Dal (ged.);241;Groesbeek                  ;40;Gebied om Nijmegen                      ;25;Gld.;ja ;nee;Berg en Dal (ged.)         ;1833
457;Berg en Terblijt;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;ja ;nee;Berg en Terblijt           ;5331
458;Berg, Aan de;1679;Ambt Montfort              ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee;Berg, Aan de               ;5701
459;Berg, De;181;Steenwijk                  ;19;Noordwest-Overijssel                    ;23;O.  ;nee;nee;Berg, De                   ;1358
460;Bergakker;281;Tiel                       ;38;Westelijke Betuwe                       ;25;Gld.;nee;nee;Bergakker                  ;2055
461;Bergambacht;491;Bergambacht                ;75;Krimpenerwaard                          ;28;ZH. ;ja ;ja ;Bergambacht                ;2965
462;Bergeijk;1724;Bergeijk                   ;116;Kempenland                              ;30;NB. ;ja ;ja ;Bergeijk                   ;6134
463;Bergen;373;Bergen                     ;55;Noord-Kennemerland                      ;27;NH. ;ja ;ja ;Bergen                     ;2519
464;Bergen;893;Bergen                     ;120;Noord-Limburg                           ;31;L.  ;ja ;ja ;Bergen                     ;4775
465;Bergen aan Zee;373;Bergen                     ;55;Noord-Kennemerland                      ;27;NH. ;ja ;nee;Bergen aan Zee             ;2520
466;Bergen op Zoom;748;Bergen op Zoom             ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;ja ;ja ;Bergen op Zoom             ;3952
467;Bergen, Aan de;920;Heythuysen                 ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;nee;nee;Bergen, Aan de             ;4917
468;Bergen-Binnen;373;Bergen                     ;55;Noord-Kennemerland                      ;27;NH. ;nee;nee;Bergen-Binnen              ;2521
469;Bergenhuizen;936;Margraten                  ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Bergenhuizen               ;5021
470;Bergenshuizen;865;Vught                      ;109;'s-Hertogenbosch en Vught               ;30;NB. ;nee;nee;Bergenshuizen              ;4609
471;Bergentheim;160;Hardenberg                 ;21;Noordoost-Overijssel                    ;23;O.  ;ja ;nee;Bergentheim                ;1174
472;Bergerden;206;Bemmel                     ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Bergerden                  ;1587
473;Bergermeerpolder;373;Bergen                     ;55;Noord-Kennemerland                      ;27;NH. ;nee;nee;Bergermeerpolder           ;2522
474;Bergh;207;Bergh                      ;27;Oude-IJsselgebied (westelijk deel)      ;25;Gld.;nee;ja ;Bergh                      ;1604
475;Bergharen;296;Wijchen                    ;40;Gebied om Nijmegen                      ;25;Gld.;ja ;nee;Bergharen                  ;2145
476;Berghem;828;Oss                        ;111;Maaskant                                ;30;NB. ;ja ;nee;Berghem                    ;4354
477;Berghoven;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Berghoven                  ;6172
478;Berghuizen;1690;De Wolden                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Berghuizen                 ;5834
479;Berghuizen;246;Heerde                     ;34;Overige gemeenten oostelijke Veluwezoom ;25;Gld.;nee;nee;Berghuizen                 ;1851
480;Bergkwartier;307;Amersfoort                 ;43;Utrechtse Vallei en Eemgebied           ;26;U.  ;nee;nee;Bergkwartier               ;2222
481;Bergsche Heide;893;Bergen                     ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Bergsche Heide             ;4776
482;Bergschenhoek;492;Bergschenhoek              ;83;Midden Zuid-Holland                     ;28;ZH. ;ja ;ja ;Bergschenhoek              ;2972
483;Bergstoep;491;Bergambacht                ;75;Krimpenerwaard                          ;28;ZH. ;nee;nee;Bergstoep                  ;2966
484;Berik;914;Haelen                     ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;nee;nee;Berik                      ;4845
485;Beringe;918;Helden                     ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;ja ;nee;Beringe                    ;4891
486;Beringerhoek;918;Helden                     ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;nee;nee;Beringerhoek               ;4892
487;Berk;840;Rucphen                    ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee;Berk                       ;4378
488;Berkdijk;855;Tilburg                    ;107;Tilburg                                 ;30;NB. ;nee;nee;Berkdijk                   ;4498
489;Berkel;493;Berkel en Rodenrijs        ;83;Midden Zuid-Holland                     ;28;ZH. ;nee;nee;Berkel                     ;2974
490;Berkel en Rodenrijs;493;Berkel en Rodenrijs        ;83;Midden Zuid-Holland                     ;28;ZH. ;ja ;ja ;Berkel en Rodenrijs        ;2975
491;Berkel-Enschot;855;Tilburg                    ;107;Tilburg                                 ;30;NB. ;ja ;nee;Berkel-Enschot             ;4499
492;Berkelaar;902;Echt                       ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee;Berkelaar                  ;4806
493;939;114;Emmen                      ;15;Emmen                                   ;22;D.  ;nee;nee;Berkenrode                 ;939
494;Berkenwoude;491;Bergambacht                ;75;Krimpenerwaard                          ;28;ZH. ;ja ;nee;Berkenwoude                ;2967
495;Berkhoek;755;Boekel                     ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Berkhoek                   ;3973
496;Berkhout;558;Wester-Koggenland          ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;nee;Berkhout                   ;3135
497;Berkmeer;432;Opmeer                     ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;nee;nee;Berkmeer                   ;2739
498;Berkt;861;Veldhoven                  ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Berkt                      ;4590
499;Berkt;1721;Bernheze                   ;111;Maaskant                                ;30;NB. ;nee;nee;Berkt                      ;6062
500;Berkum;193;Zwolle                     ;20;IJssel-, Vechtdelta                     ;23;O.  ;nee;nee;Berkum                     ;1448
501;Berkum-Veldhoek;193;Zwolle                     ;20;IJssel-, Vechtdelta                     ;23;O.  ;nee;nee;Berkum-Veldhoek            ;1449
502;Berlicum;845;Sint-Michielsgestel        ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;ja ;nee;Berlicum                   ;4403
503;710;83;Menaldumadeel              ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Berlikum                   ;710
504;Berm;263;Maasdriel                  ;42;Bommelerwaard                           ;25;Gld.;nee;nee;Berm                       ;1914
505;Bern;297;Zaltbommel                 ;42;Bommelerwaard                           ;25;Gld.;ja ;nee;Bern                       ;2158
506;Berndijk;809;Loon op Zand               ;108;Gebied om Tilburg                       ;30;NB. ;nee;nee;Berndijk                   ;4268
507;Bernheze;1721;Bernheze                   ;111;Maaskant                                ;30;NB. ;nee;ja ;Bernheze                   ;6063
508;Bernisse;568;Bernisse                   ;91;Voorne-Putten en Rozenburg              ;28;ZH. ;nee;ja ;Bernisse                   ;3173
509;437;55;Boarnsterhim               ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Bernsterburen, Bij         ;437
510;Besoijen;867;Waalwijk                   ;106;Langstraat                              ;30;NB. ;nee;nee;Besoijen                   ;4626
511;Besselaar;845;Sint-Michielsgestel        ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;nee;nee;Besselaar                  ;4404
512;Bessens;140;Littenseradiel             ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Bessens                    ;1001
513;Best;753;Best                       ;114;Randgebied Eindhoven                    ;30;NB. ;ja ;ja ;Best                       ;3968
514;Besthmen;175;Ommen                      ;21;Noordoost-Overijssel                    ;23;O.  ;nee;nee;Besthmen                   ;1306
515;412;53;Winsum                     ;6;Groninger centrale Weidestreek          ;20;Gr. ;nee;nee;Beswerd                    ;412
516;Beterwonen;244;Hattem                     ;34;Overige gemeenten oostelijke Veluwezoom ;25;Gld.;nee;nee;Beterwonen                 ;1846
517;Bethlehem;1651;Eemsmond                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Bethlehem                  ;5387
518;503;58;Dongeradeel                ;12;Friese bouwstreek                       ;21;F.  ;nee;nee;Betterwird                 ;503
519;Beugen;756;Boxmeer                    ;119;Land van Cuijk                          ;30;NB. ;ja ;nee;Beugen                     ;3987
520;Beugt;1721;Bernheze                   ;111;Maaskant                                ;30;NB. ;nee;nee;Beugt                      ;6064
521;Beukbergen;355;Zeist                      ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee;Beukbergen                 ;2421
522;Beukelaar;860;Veghel                     ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Beukelaar                  ;4560
523;Beukers;181;Steenwijk                  ;19;Noordwest-Overijssel                    ;23;O.  ;nee;nee;Beukers                    ;1359
524;Beuningen;168;Losser                     ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee;Beuningen                  ;1263
525;Beuningen;209;Beuningen                  ;40;Gebied om Nijmegen                      ;25;Gld.;ja ;ja ;Beuningen                  ;1616
526;Beuseberg;178;Rijssen                    ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Beuseberg                  ;1334
527;Beusichem;214;Buren                      ;37;Oostelijke Betuwe                       ;25;Gld.;ja ;nee;Beusichem                  ;1642
528;Beutenaken;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;ja ;nee;Beutenaken                 ;6173
529;Bevermeer;199;Angerlo                    ;26;De Lijmers                              ;25;Gld.;nee;nee;Bevermeer                  ;1506
530;Beverwijk;375;Beverwijk                  ;59;IJmond                                  ;27;NH. ;ja ;ja ;Beverwijk                  ;2541
531;Biddinghuizen;303;Dronten                    ;129;Zuidelijke IJsselmeerpolders            ;24;Fle.;ja ;nee;Biddinghuizen              ;2195
532;63;10;Delfzijl                   ;2;Appingedam, Delfzijl                    ;20;Gr. ;ja ;nee;Bierum                     ;63
533;Biervliet;715;Terneuzen                  ;99;Kanaalzone Oost-Zeeuwsch-Vlaanderen     ;29;Z.  ;ja ;nee;Biervliet                  ;3803
534;Biesstraat;920;Heythuysen                 ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;nee;nee;Biesstraat                 ;4918
535;64;10;Delfzijl                   ;2;Appingedam, Delfzijl                    ;20;Gr. ;nee;nee;Biessum                    ;64
536;Biest;798;Hilvarenbeek               ;108;Gebied om Tilburg                       ;30;NB. ;ja ;nee;Biest                      ;4243
537;Biesthoek;856;Uden                       ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Biesthoek                  ;4523
538;Biezelinge;678;Kapelle                    ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;nee;nee;Biezelinge                 ;3591
539;Biezen;1698;Sluis-Aardenburg           ;98;West-Zeeuwsch-Vlaanderen                ;29;Z.  ;nee;nee;Biezen                     ;5889
540;Biezenmortel;788;Haaren                     ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;ja ;nee;Biezenmortel               ;4176
541;Biggekerke;717;Veere                      ;96;Overige gemeenten Walcheren             ;29;Z.  ;ja ;nee;Biggekerke                 ;3838
542;Bijdorp;606;Schiedam                   ;85;Ind. geb. ten N .v. de Nieuwe Waterweg  ;28;ZH. ;nee;nee;Bijdorp                    ;3312
543;Bijland;196;Rijnwaarden                ;26;De Lijmers                              ;25;Gld.;nee;nee;Bijland                    ;1482
544;Bijlmermeer;363;Amsterdam                  ;63;Amsterdam                               ;27;NH. ;nee;nee;Bijlmermeer                ;2473
545;Bijsteren;273;Putten                     ;32;IJsselmeerkust                          ;25;Gld.;nee;nee;Bijsteren                  ;1997
546;Bijsterhuizen;268;Nijmegen                   ;39;Nijmegen                                ;25;Gld.;nee;nee;Bijsterhuizen              ;1959
547;Bik, De;307;Amersfoort                 ;43;Utrechtse Vallei en Eemgebied           ;26;U.  ;nee;nee;Bik, De                    ;2223
548;Bilderdam;645;Jacobswoude                ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;nee;nee;Bilderdam                  ;3454
549;567;63;het Bildt                  ;12;Friese bouwstreek                       ;21;F.  ;nee;ja ;Bildt, het                 ;567
550;Billinghuizen;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Billinghuizen              ;6174
551;Bilt;933;Maasbracht                 ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee;Bilt                       ;4966
552;Bilt, De;310;De Bilt                    ;44;Utrechtse Heuvelrug                     ;26;U.  ;ja ;ja ;Bilt, De                   ;2251
553;Bilthoven;310;De Bilt                    ;44;Utrechtse Heuvelrug                     ;26;U.  ;ja ;nee;Bilthoven                  ;2252
554;Binderven;794;Helmond                    ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Binderven                  ;4188
555;Bingelrade;881;Onderbanken                ;125;Oostelijke Mijnstreek                   ;31;L.  ;ja ;nee;Bingelrade                 ;4711
556;Bingerden;199;Angerlo                    ;26;De Lijmers                              ;25;Gld.;nee;nee;Bingerden                  ;1507
557;Binnen-Moerdijk;1709;Moerdijk                   ;101;Zeekleigebied in Noord-Brabant          ;30;NB. ;nee;nee;Binnen-Moerdijk            ;6014
558;Binnengeest;360;Akersloot                  ;55;Noord-Kennemerland                      ;27;NH. ;nee;nee;Binnengeest                ;2449
559;Binnenheurne;295;Wisch                      ;29;Oude-IJsselgebied (oostelijk deel)      ;25;Gld.;nee;nee;Binnenheurne               ;2131
560;Binnenmaas;585;Binnenmaas                 ;90;Hoeksche Waard                          ;28;ZH. ;nee;ja ;Binnenmaas                 ;3209
561;894;109;Coevorden                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Binnenvree                 ;894
562;Binnenwijzend;498;Drechterland               ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;nee;nee;Binnenwijzend              ;2990
563;Birkhoven;307;Amersfoort                 ;43;Utrechtse Vallei en Eemgebied           ;26;U.  ;nee;nee;Birkhoven                  ;2224
564;Birkt, De;342;Soest                      ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee;Birkt, De                  ;2372
565;438;55;Boarnsterhim               ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Birstum                    ;438
566;Bisschopswetering;166;Kampen                     ;20;IJssel-, Vechtdelta                     ;23;O.  ;nee;nee;Bisschopswetering          ;1241
567;Bisselt;944;Mook en Middelaar          ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Bisselt                    ;5078
568;Bissen;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Bissen                     ;6175
569;Bitswijk;856;Uden                       ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Bitswijk                   ;4524
570;Bittens;710;Wûnseradiel                ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Bittens                    ;3754
571;Blaak;585;Binnenmaas                 ;90;Hoeksche Waard                          ;28;ZH. ;nee;nee;Blaak                      ;3210
572;Blaak, De;855;Tilburg                    ;107;Tilburg                                 ;30;NB. ;nee;nee;Blaak, De                  ;4500
