ID;Persoonskenmerken;Perioden;AdoptieDoorHomosexueleParen_1;MeerGeldAanOntwikkelingshulp_2;TurkijeLidEuropeseUnie_3;GroteBedrijvenDreigingDemocratie_4;BelastingVerlagen_5;WinkelsOpZondagGesloten_6;IllegalenMoetenKunnenBlijven_7;AfschaffenHypotheekaftrek_8;VerbodGenManipulatiePlanten_9;KomstVanMoslimsStopzetten_10;MensenMetPensioenMeebetalenAOW_11;HomohuwelijkVerbieden_12;TerechtMilitairenNaarUruzgan_13;EuthanasieMoetMogelijkZijn_14;InkomensverschillenVerkleinen_15;AsielzoekersTerugsturen_16;HardOptredenTegenCriminaliteit_17;NietKerncentralesBouwen_18;AllochtonenZichGeheelAanpassen_19;EuropeseEenwordingTeVer_20;AltijdMilitairenLeveren_21;PartijenLosVanGodsdienst_22;ScholenLosVanGodsdienst_23;ReligieAlsWegwijzerInPolitiek_24;LinksRechtsScore_25
56;18719;2012;59.0;18.0;;41.0;39.0;;42.0;28.0;;;38.0;17.0;;78.0;63.0;73.0;92.0;65.0;74.0;62.0;43.0;;46.0;26.0;5.4
57;18730;2006;63.0;44.0;41.0;35.0;23.0;35.0;50.0;15.0;37.0;46.0;36.0;18.0;53.0;84.0;69.0;58.0;88.0;61.0;72.0;60.0;57.0;62.0;45.0;28.0;5.4
58;18730;2010;82.0;30.0;37.0;40.0;26.0;32.0;45.0;22.0;34.0;43.0;36.0;10.0;53.0;84.0;58.0;52.0;91.0;38.0;70.0;51.0;55.0;;;;5.3
59;18730;2012;70.0;15.0;;25.0;29.0;;47.0;37.0;;;36.0;12.0;;82.0;56.0;51.0;89.0;63.0;59.0;49.0;45.0;;43.0;23.0;5.2
60;18750;2006;72.0;50.0;42.0;34.0;19.0;33.0;53.0;16.0;36.0;30.0;38.0;13.0;65.0;86.0;65.0;50.0;88.0;51.0;67.0;53.0;60.0;48.0;37.0;30.0;5.1
61;18750;2010;81.0;26.0;40.0;35.0;21.0;28.0;40.0;19.0;30.0;31.0;30.0;7.0;59.0;83.0;62.0;50.0;87.0;47.0;62.0;48.0;50.0;;;;5.3
62;18750;2012;74.0;19.0;;31.0;26.0;;36.0;25.0;;;39.0;12.0;;83.0;58.0;61.0;90.0;59.0;61.0;51.0;50.0;;44.0;23.0;5.4
63;18789;2006;74.0;58.0;45.0;31.0;13.0;24.0;53.0;22.0;26.0;17.0;41.0;10.0;66.0;87.0;59.0;38.0;77.0;47.0;51.0;42.0;60.0;49.0;40.0;33.0;5.1
64;18789;2010;85.0;35.0;52.0;29.0;13.0;20.0;48.0;30.0;20.0;16.0;40.0;5.0;65.0;88.0;55.0;35.0;77.0;39.0;49.0;28.0;55.0;;;;5.0
65;18789;2012;79.0;31.0;;29.0;13.0;;51.0;46.0;;;39.0;7.0;;85.0;54.0;40.0;77.0;62.0;46.0;28.0;53.0;;48.0;20.0;4.8
66;18850;2006;70.0;51.0;49.0;35.0;26.0;25.0;58.0;25.0;36.0;35.0;44.0;11.0;57.0;86.0;65.0;44.0;83.0;57.0;56.0;54.0;54.0;58.0;39.0;30.0;4.6
67;18850;2010;83.0;36.0;44.0;32.0;27.0;24.0;47.0;29.0;26.0;30.0;34.0;6.0;53.0;85.0;62.0;42.0;78.0;49.0;56.0;40.0;48.0;;;;4.8
68;18850;2012;74.0;35.0;;33.0;24.0;;53.0;41.0;;;45.0;11.0;;81.0;56.0;46.0;80.0;64.0;48.0;35.0;47.0;;45.0;21.0;4.7
69;18900;2006;69.0;46.0;40.0;35.0;24.0;35.0;54.0;18.0;35.0;37.0;35.0;16.0;56.0;85.0;65.0;50.0;86.0;53.0;67.0;54.0;57.0;53.0;41.0;32.0;5.3
70;18900;2010;81.0;31.0;47.0;36.0;25.0;27.0;44.0;24.0;31.0;34.0;34.0;8.0;51.0;87.0;62.0;46.0;84.0;50.0;60.0;48.0;49.0;;;;5.1
71;18900;2012;73.0;21.0;;32.0;28.0;;43.0;33.0;;;38.0;13.0;;83.0;59.0;56.0;87.0;55.0;58.0;46.0;48.0;;49.0;19.0;5.2
72;18950;2006;68.0;48.0;40.0;37.0;22.0;34.0;49.0;17.0;32.0;39.0;39.0;14.0;63.0;88.0;67.0;59.0;89.0;55.0;73.0;56.0;66.0;49.0;35.0;36.0;5.4
73;18950;2010;79.0;25.0;43.0;33.0;21.0;29.0;39.0;24.0;33.0;36.0;35.0;8.0;60.0;82.0;68.0;49.0;85.0;41.0;63.0;44.0;51.0;;;;5.1
74;18950;2012;73.0;18.0;;30.0;28.0;;36.0;28.0;;;36.0;11.0;;82.0;57.0;60.0;90.0;59.0;63.0;54.0;54.0;;48.0;26.0;5.4
75;19000;2006;66.0;49.0;42.0;39.0;23.0;41.0;55.0;16.0;38.0;39.0;39.0;18.0;67.0;83.0;66.0;50.0;87.0;51.0;74.0;57.0;63.0;46.0;35.0;36.0;5.4
76;19000;2010;79.0;23.0;39.0;37.0;23.0;36.0;39.0;17.0;29.0;42.0;35.0;9.0;63.0;85.0;62.0;56.0;91.0;47.0;73.0;53.0;56.0;;;;5.5
77;19000;2012;66.0;18.0;;33.0;28.0;;37.0;29.0;;;36.0;13.0;;81.0;58.0;63.0;89.0;65.0;67.0;52.0;51.0;;40.0;27.0;5.4
78;19050;2006;68.0;42.0;34.0;37.0;23.0;41.0;49.0;17.0;40.0;42.0;36.0;17.0;64.0;84.0;78.0;60.0;92.0;57.0;71.0;54.0;56.0;44.0;35.0;36.0;5.2
79;19050;2010;77.0;28.0;39.0;37.0;19.0;35.0;49.0;20.0;29.0;39.0;43.0;11.0;62.0;75.0;59.0;53.0;88.0;45.0;69.0;48.0;56.0;;;;5.3
80;19050;2012;70.0;18.0;;32.0;25.0;;44.0;29.0;;;39.0;10.0;;84.0;61.0;64.0;93.0;66.0;73.0;53.0;50.0;;44.0;27.0;5.6
81;100410;2006;61.0;45.0;37.0;31.0;19.0;44.0;49.0;13.0;32.0;39.0;31.0;18.0;71.0;81.0;59.0;56.0;91.0;40.0;75.0;49.0;70.0;40.0;26.0;53.0;6.7
82;100410;2010;73.0;24.0;40.0;33.0;16.0;45.0;49.0;16.0;30.0;33.0;40.0;12.0;78.0;68.0;53.0;43.0;92.0;34.0;68.0;37.0;71.0;;;;6.2
83;100410;2012;51.0;22.0;;39.0;19.0;;52.0;29.0;;;46.0;14.0;;68.0;62.0;54.0;89.0;58.0;66.0;33.0;58.0;;16.0;63.0;6.2
84;102820;2006;75.0;56.0;48.0;37.0;22.0;31.0;64.0;23.0;38.0;34.0;54.0;11.0;50.0;90.0;80.0;41.0;85.0;65.0;58.0;53.0;55.0;54.0;42.0;25.0;3.7
85;102820;2010;81.0;45.0;51.0;37.0;18.0;23.0;58.0;33.0;33.0;20.0;52.0;7.0;46.0;82.0;77.0;31.0;73.0;54.0;45.0;33.0;41.0;;;;3.3
86;102820;2012;77.0;34.0;;37.0;21.0;;57.0;37.0;;;46.0;5.0;;86.0;76.0;36.0;79.0;70.0;45.0;39.0;43.0;;47.0;16.0;3.6
87;103630;2006;71.0;32.0;34.0;20.0;21.0;20.0;37.0;12.0;24.0;37.0;23.0;9.0;73.0;92.0;37.0;66.0;92.0;34.0;78.0;46.0;70.0;54.0;47.0;26.0;6.9
88;103630;2010;84.0;15.0;35.0;21.0;26.0;20.0;30.0;14.0;16.0;28.0;24.0;3.0;70.0;93.0;31.0;58.0;90.0;27.0;72.0;41.0;60.0;;;;6.8
89;103630;2012;72.0;7.0;;16.0;21.0;;31.0;25.0;;;25.0;7.0;;88.0;32.0;68.0;95.0;45.0;67.0;39.0;64.0;;51.0;17.0;6.7
90;100920;2006;94.0;77.0;65.0;48.0;5.0;17.0;69.0;35.0;36.0;5.0;53.0;1.0;52.0;96.0;80.0;16.0;53.0;75.0;30.0;36.0;48.0;49.0;42.0;20.0;3.2
91;100920;2010;89.0;53.0;64.0;42.0;7.0;18.0;72.0;46.0;31.0;12.0;55.0;0.0;53.0;94.0;82.0;17.0;61.0;69.0;23.0;27.0;40.0;;;;3.1
92;100920;2012;;;;;;;;;;;;;;;;;;;;;;;;;
93;103320;2006;79.0;50.0;37.0;49.0;20.0;36.0;59.0;19.0;45.0;33.0;43.0;8.0;44.0;94.0;82.0;47.0;85.0;62.0;60.0;67.0;45.0;60.0;41.0;22.0;3.7
94;103320;2010;89.0;29.0;41.0;46.0;18.0;32.0;52.0;20.0;35.0;38.0;39.0;3.0;43.0;86.0;82.0;44.0;79.0;53.0;59.0;54.0;37.0;;;;3.9
95;103320;2012;83.0;31.0;;44.0;22.0;;47.0;38.0;;;47.0;6.0;;88.0;80.0;43.0;83.0;74.0;46.0;51.0;48.0;;52.0;13.0;3.5
96;100470;2006;29.0;66.0;23.0;42.0;15.0;72.0;60.0;19.0;48.0;41.0;53.0;52.0;71.0;29.0;71.0;38.0;89.0;57.0;64.0;65.0;65.0;9.0;8.0;88.0;6.2
97;100470;2010;40.0;52.0;37.0;33.0;10.0;73.0;46.0;22.0;50.0;27.0;37.0;51.0;71.0;23.0;67.0;32.0;85.0;42.0;56.0;48.0;48.0;;;;5.9
98;100470;2012;;;;;;;;;;;;;;;;;;;;;;;;;
99;100560;2006;;;;;;;;;;;;;;;;;;;;;;;;;
100;100560;2010;92.0;38.0;49.0;32.0;7.0;14.0;53.0;33.0;24.0;14.0;39.0;1.0;58.0;94.0;56.0;27.0;78.0;41.0;50.0;25.0;61.0;;;;4.7
101;100560;2012;92.0;34.0;;28.0;13.0;;58.0;53.0;;;41.0;1.0;;93.0;46.0;34.0;74.0;61.0;37.0;14.0;51.0;;51.0;12.0;4.9
102;102921;2006;63.0;19.0;19.0;45.0;33.0;32.0;22.0;19.0;35.0;74.0;26.0;19.0;56.0;94.0;71.0;83.0;97.0;55.0;92.0;77.0;61.0;64.0;50.0;23.0;6.6
103;102921;2010;82.0;8.0;30.0;36.0;36.0;29.0;24.0;18.0;33.0;67.0;28.0;7.0;56.0;94.0;71.0;84.0;96.0;48.0;91.0;76.0;50.0;;;;6.5
104;102921;2012;62.0;3.0;;39.0;52.0;;12.0;21.0;;;26.0;18.0;;90.0;62.0;99.0;98.0;53.0;92.0;81.0;37.0;;53.0;14.0;6.7
105;199999;2006;63.0;50.0;34.0;26.0;22.0;49.0;61.0;26.0;37.0;39.0;48.0;28.0;59.0;74.0;63.0;52.0;80.0;44.0;66.0;60.0;59.0;52.0;51.0;42.0;5.7
106;199999;2010;52.0;33.0;27.0;39.0;23.0;64.0;39.0;25.0;52.0;44.0;35.0;37.0;57.0;53.0;62.0;47.0;89.0;50.0;66.0;61.0;56.0;;;;6.3
107;199999;2012;58.0;33.0;;39.0;20.0;;38.0;38.0;;;31.0;32.0;;58.0;62.0;64.0;90.0;60.0;71.0;63.0;50.0;;36.0;42.0;5.6
108;200000;2006;66.0;45.0;52.0;38.0;37.0;32.0;53.0;18.0;38.0;43.0;34.0;18.0;69.0;83.0;68.0;57.0;90.0;63.0;75.0;57.0;59.0;54.0;37.0;28.0;4.9
109;200000;2010;79.0;28.0;49.0;40.0;33.0;31.0;38.0;21.0;29.0;45.0;28.0;8.0;50.0;85.0;64.0;54.0;88.0;54.0;68.0;53.0;49.0;;;;5.0
110;200000;2012;71.0;20.0;;32.0;38.0;;39.0;28.0;;;41.0;14.0;;82.0;59.0;66.0;91.0;64.0;68.0;60.0;44.0;;47.0;24.0;5.2
111;21080;2006;78.0;45.0;41.0;37.0;23.0;27.0;51.0;20.0;33.0;35.0;38.0;8.0;58.0;94.0;68.0;51.0;85.0;56.0;66.0;54.0;58.0;58.0;46.0;5.0;4.8
112;21080;2010;88.0;27.0;44.0;35.0;23.0;22.0;42.0;22.0;28.0;33.0;34.0;3.0;56.0;93.0;64.0;50.0;84.0;47.0;61.0;46.0;48.0;;;;5.0
113;21080;2012;81.0;20.0;;31.0;25.0;;41.0;35.0;;;39.0;4.0;;93.0;61.0;58.0;85.0;59.0;57.0;46.0;48.0;;56.0;9.0;4.9
114;21070;2006;66.0;41.0;45.0;34.0;24.0;39.0;50.0;15.0;40.0;43.0;35.0;15.0;62.0;87.0;69.0;55.0;90.0;50.0;76.0;57.0;62.0;51.0;34.0;10.0;5.7
115;21070;2010;74.0;23.0;40.0;35.0;25.0;37.0;40.0;22.0;29.0;46.0;33.0;10.0;59.0;85.0;60.0;55.0;89.0;47.0;77.0;52.0;59.0;;;;5.7
116;21070;2012;69.0;18.0;;30.0;29.0;;39.0;22.0;;;33.0;10.0;;81.0;58.0;63.0;95.0;64.0;73.0;53.0;51.0;;38.0;30.0;5.7
117;21050;2006;47.0;46.0;34.0;34.0;24.0;58.0;64.0;17.0;39.0;54.0;41.0;29.0;66.0;72.0;67.0;69.0;90.0;56.0;82.0;56.0;63.0;34.0;20.0;18.0;5.8
118;21050;2010;72.0;26.0;40.0;37.0;24.0;51.0;46.0;16.0;30.0;50.0;43.0;11.0;57.0;72.0;62.0;59.0;88.0;56.0;71.0;54.0;55.0;;;;5.7
119;21050;2012;53.0;18.0;;37.0;35.0;;36.0;30.0;;;32.0;19.0;;69.0;49.0;70.0;93.0;53.0;71.0;57.0;67.0;;22.0;53.0;6.0
120;21040;2006;45.0;54.0;31.0;44.0;27.0;69.0;62.0;8.0;49.0;45.0;39.0;43.0;77.0;47.0;57.0;58.0;89.0;53.0;69.0;61.0;68.0;11.0;11.0;26.0;6.8
121;21040;2010;53.0;44.0;26.0;27.0;18.0;62.0;36.0;29.0;44.0;38.0;39.0;43.0;63.0;37.0;51.0;39.0;93.0;38.0;70.0;49.0;71.0;;;;6.4
122;21040;2012;;;;;;;;;;;;;;;;;;;;;;;;;
123;21060;2006;61.0;60.0;30.0;39.0;21.0;62.0;52.0;22.0;35.0;37.0;37.0;25.0;78.0;69.0;69.0;40.0;84.0;48.0;70.0;49.0;73.0;21.0;13.0;30.0;5.9
124;21060;2010;70.0;40.0;43.0;33.0;14.0;55.0;43.0;31.0;27.0;27.0;46.0;19.0;76.0;67.0;52.0;40.0;87.0;25.0;61.0;28.0;73.0;;;;5.6
125;21060;2012;51.0;24.0;;27.0;17.0;;45.0;36.0;;;42.0;26.0;;57.0;56.0;54.0;93.0;57.0;66.0;49.0;57.0;;11.0;66.0;6.2
126;21090;2006;36.0;74.0;48.0;34.0;24.0;32.0;62.0;17.0;35.0;25.0;47.0;43.0;58.0;54.0;60.0;39.0;89.0;57.0;46.0;62.0;48.0;47.0;31.0;36.0;5.0
127;21090;2010;57.0;48.0;52.0;38.0;27.0;29.0;57.0;31.0;44.0;23.0;39.0;27.0;45.0;49.0;70.0;28.0;74.0;52.0;46.0;40.0;42.0;;;;4.2
128;21090;2012;43.0;48.0;;48.0;39.0;;62.0;36.0;;;53.0;44.0;;43.0;51.0;34.0;79.0;75.0;45.0;43.0;45.0;;42.0;49.0;4.8
129;21010;2006;24.0;73.0;32.0;39.0;22.0;66.0;59.0;18.0;45.0;47.0;44.0;57.0;69.0;35.0;68.0;49.0;91.0;48.0;70.0;64.0;63.0;19.0;11.0;43.0;6.7
130;21010;2010;42.0;42.0;33.0;43.0;19.0;65.0;46.0;28.0;52.0;43.0;45.0;43.0;66.0;35.0;62.0;36.0;82.0;46.0;64.0;55.0;60.0;;;;6.0
131;21010;2012;26.0;41.0;;35.0;25.0;;45.0;32.0;;;41.0;56.0;;32.0;52.0;50.0;85.0;59.0;66.0;47.0;56.0;;14.0;75.0;6.4
132;21020;2006;60.0;45.0;38.0;39.0;24.0;55.0;60.0;12.0;43.0;40.0;37.0;18.0;74.0;78.0;60.0;51.0;92.0;51.0;68.0;51.0;63.0;45.0;26.0;14.0;5.6
133;21020;2010;61.0;44.0;46.0;27.0;18.0;35.0;53.0;24.0;28.0;30.0;42.0;16.0;66.0;61.0;67.0;30.0;87.0;28.0;61.0;29.0;61.0;;;;5.7
