ID;Buurtkenmerken;Cijfersoort;Perioden;WelEens_1;Vaak_2;WelEens_3;Vaak_4;VoeltZichSAvondsInBuurtOnveilig_5;VoeltZichSAvondsNietOpGemak_6;RondomUitgaansgelegenheden_7;RondomPlekkenWaarJongerenRondhangen_8;InHetCentrum_9;WinkelcentrumEigenBuurt_10;InHetOpenbaarVervoer_11;BijHetTreinstation_12;InEigenHuis_13;KansOpWoninginbraak_14;KansOpMishandeling_15;KansOpPortemonneediefstal_16;DoetSAvondsNietOpen_17;RijdtOfLooptOm_18;KinderenMogenErgensNietNaarToe_19
65;20850;Waarde;2009;;;;;;;;;;;;;;;;;;;
66;20850;Betrouwbaarheidsmarge;2008;;;;;;;;;;;;;;;;;;;
67;20850;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
68;20860;Waarde;2008;;;;;;;;;;;;;;;;;;;
69;20860;Waarde;2009;;;;;;;;;;;;;;;;;;;
70;20860;Betrouwbaarheidsmarge;2008;;;;;;;;;;;;;;;;;;;
71;20860;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
72;20870;Waarde;2008;17.7;0.9;8.7;1.5;1.6;2.6;14.6;27.3;10.0;4.6;7.0;12.7;5.7;3.5;0.6;2.4;3.4;;3.1
73;20870;Waarde;2009;18.2;1.7;9.9;1.2;2.3;1.6;16.7;29.9;10.9;7.2;8.6;14.2;5.5;4.8;0.8;3.3;5.7;1.1;3.8
74;20870;Betrouwbaarheidsmarge;2008;3.3;0.7;2.8;1.4;0.9;1.6;2.8;3.5;2.2;1.5;2.0;2.5;2.8;1.3;0.5;1.0;1.3;;1.3
75;20870;Betrouwbaarheidsmarge;2009;2.0;0.7;1.4;0.6;0.7;0.6;2.0;2.6;1.6;1.4;1.4;1.8;1.2;1.1;0.5;0.9;1.3;0.4;1.1
76;20880;Waarde;2008;17.6;1.4;8.6;1.0;1.3;1.9;15.0;30.6;13.3;7.2;10.9;17.4;4.0;4.1;1.2;3.1;4.8;1.7;1.4
77;20880;Waarde;2009;17.7;1.1;9.6;0.7;1.6;1.7;18.7;33.1;14.2;8.2;11.4;17.5;5.5;3.9;0.8;3.4;6.5;1.7;2.3
78;20880;Betrouwbaarheidsmarge;2008;1.8;0.5;1.3;0.4;0.5;0.7;1.7;2.3;1.8;1.2;1.7;2.0;1.0;0.9;0.5;0.7;1.1;0.6;0.5
79;20880;Betrouwbaarheidsmarge;2009;1.2;0.3;0.9;0.2;0.4;0.4;1.4;1.7;1.3;1.0;1.1;1.4;0.8;0.6;0.2;0.6;0.7;0.5;0.5
80;20890;Waarde;2008;20.0;0.9;9.2;0.6;2.0;1.3;18.4;36.3;15.8;8.7;12.0;22.5;4.0;2.9;0.6;4.0;5.3;2.3;2.0
81;20890;Waarde;2009;20.4;1.2;11.2;0.9;2.1;1.9;21.0;39.5;16.8;10.3;14.0;21.5;5.6;4.6;0.9;3.7;8.2;2.1;2.6
82;20890;Betrouwbaarheidsmarge;2008;1.3;0.2;0.9;0.2;0.5;0.4;1.3;1.7;1.2;1.0;1.1;1.5;0.7;0.6;0.2;0.6;0.8;0.5;0.5
83;20890;Betrouwbaarheidsmarge;2009;0.9;0.2;0.7;0.2;0.3;0.3;0.9;1.1;0.9;0.7;0.8;0.9;0.5;0.4;0.2;0.4;0.6;0.3;0.4
84;20900;Waarde;2008;24.7;1.4;13.5;1.0;2.9;1.9;25.8;45.7;24.1;13.8;16.8;25.8;4.7;4.0;0.9;4.7;7.7;2.9;3.0
85;20900;Waarde;2009;25.6;1.7;15.7;1.5;3.2;1.9;26.4;47.5;24.6;14.9;17.9;26.1;6.0;4.7;1.3;5.1;9.0;3.7;3.2
86;20900;Betrouwbaarheidsmarge;2008;1.3;0.3;1.1;0.3;0.6;0.5;1.6;1.7;1.5;1.3;1.4;1.5;0.8;0.5;0.2;0.6;0.8;0.6;0.8
87;20900;Betrouwbaarheidsmarge;2009;0.8;0.2;0.7;0.2;0.4;0.3;1.0;1.1;1.0;0.8;0.8;1.0;0.5;0.4;0.2;0.4;0.6;0.4;0.4
88;20910;Waarde;2008;32.2;3.6;23.1;3.3;7.0;3.7;26.0;50.8;29.0;19.1;24.7;31.8;6.8;8.2;2.8;8.0;11.9;6.5;5.6
89;20910;Waarde;2009;32.1;3.9;24.2;3.4;7.2;3.4;29.3;52.6;29.5;20.4;26.4;32.9;8.1;8.0;2.7;7.2;13.4;6.1;5.8
90;20910;Betrouwbaarheidsmarge;2008;1.2;0.4;1.0;0.4;0.7;0.6;1.4;1.6;1.5;1.3;1.4;1.5;0.8;0.8;0.4;0.7;0.8;0.7;0.7
91;20910;Betrouwbaarheidsmarge;2009;0.6;0.3;0.6;0.2;0.4;0.3;1.1;1.2;1.1;1.0;1.1;1.2;0.6;0.4;0.2;0.3;0.5;0.4;0.4
92;21160;Waarde;2008;22.2;1.5;10.4;1.3;2.3;2.0;19.8;36.7;15.6;8.0;15.6;23.5;5.1;5.6;1.5;4.2;4.8;1.5;2.6
93;21160;Waarde;2009;;;;;;;;;;;;;;;;;;;
94;21160;Betrouwbaarheidsmarge;2008;2.3;0.6;1.6;0.6;0.9;0.8;2.6;3.1;2.2;1.6;2.4;2.8;1.4;1.2;0.6;1.0;1.3;0.7;0.9
95;21160;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
96;21170;Waarde;2008;22.1;1.1;10.2;0.7;1.7;1.2;21.3;40.1;19.7;10.9;15.6;24.2;3.9;4.1;0.8;3.8;5.1;2.4;2.0
97;21170;Waarde;2009;;;;;;;;;;;;;;;;;;;
98;21170;Betrouwbaarheidsmarge;2008;1.6;0.3;1.2;0.3;0.5;0.4;1.7;2.1;1.7;1.4;1.5;1.8;1.0;0.7;0.3;0.6;0.8;0.8;0.5
99;21170;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
100;21180;Waarde;2008;20.8;1.2;10.8;0.9;2.5;1.6;20.9;38.6;18.2;10.1;14.1;23.5;4.2;3.7;0.7;4.5;5.8;2.5;2.1
101;21180;Waarde;2009;;;;;;;;;;;;;;;;;;;
102;21180;Betrouwbaarheidsmarge;2008;1.4;0.3;1.1;0.4;0.7;0.5;1.6;1.8;1.5;1.1;1.3;1.6;0.8;0.6;0.2;0.7;0.9;0.6;0.6
103;21180;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
104;21190;Waarde;2008;22.6;1.4;12.9;1.0;2.4;1.9;22.1;43.5;22.3;12.9;16.9;24.7;4.4;3.9;0.9;5.0;7.4;2.8;2.7
105;21190;Waarde;2009;;;;;;;;;;;;;;;;;;;
106;21190;Betrouwbaarheidsmarge;2008;1.2;0.3;1.0;0.2;0.4;0.5;1.4;1.7;1.5;1.2;1.4;1.5;0.7;0.6;0.2;0.7;0.8;0.5;0.6
107;21190;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
108;21200;Waarde;2008;32.7;3.7;23.8;3.4;7.6;4.0;25.5;48.8;27.8;18.8;22.0;29.9;7.3;7.8;2.9;7.6;12.7;7.1;6.1
109;21200;Waarde;2009;;;;;;;;;;;;;;;;;;;
110;21200;Betrouwbaarheidsmarge;2008;1.3;0.5;1.2;0.5;0.8;0.6;1.6;1.8;1.6;1.4;1.5;1.6;1.0;0.8;0.5;0.7;0.9;0.8;0.9
111;21200;Betrouwbaarheidsmarge;2009;;;;;;;;;;;;;;;;;;;
