ID;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1
136;Total legal forms all nationalities;1989 January;332
137;Total legal forms all nationalities;1989 February;303
138;Total legal forms all nationalities;1989 March;360
139;Total legal forms all nationalities;1989 1st quarter;995
140;Total legal forms all nationalities;1989 April;287
141;Total legal forms all nationalities;1989 May;302
142;Total legal forms all nationalities;1989 June;328
143;Total legal forms all nationalities;1989 2nd quarter;917
144;Total legal forms all nationalities;1989 July;261
145;Total legal forms all nationalities;1989 August;289
146;Total legal forms all nationalities;1989 September;322
147;Total legal forms all nationalities;1989 3rd quarter;872
148;Total legal forms all nationalities;1989 October;305
149;Total legal forms all nationalities;1989 November;354
150;Total legal forms all nationalities;1989 December;236
151;Total legal forms all nationalities;1989 4th quarter;895
152;Total legal forms all nationalities;1989;3679
153;Total legal forms all nationalities;1990 January;342
154;Total legal forms all nationalities;1990 February;266
155;Total legal forms all nationalities;1990 March;327
156;Total legal forms all nationalities;1990 1st quarter;935
157;Total legal forms all nationalities;1990 April;270
158;Total legal forms all nationalities;1990 May;318
159;Total legal forms all nationalities;1990 June;284
160;Total legal forms all nationalities;1990 2nd quarter;872
161;Total legal forms all nationalities;1990 July;276
162;Total legal forms all nationalities;1990 August;270
163;Total legal forms all nationalities;1990 September;321
164;Total legal forms all nationalities;1990 3rd quarter;867
165;Total legal forms all nationalities;1990 October;331
166;Total legal forms all nationalities;1990 November;303
167;Total legal forms all nationalities;1990 December;211
168;Total legal forms all nationalities;1990 4th quarter;845
169;Total legal forms all nationalities;1990;3519
170;Total legal forms all nationalities;1991 January;324
171;Total legal forms all nationalities;1991 February;319
172;Total legal forms all nationalities;1991 March;337
173;Total legal forms all nationalities;1991 1st quarter;980
174;Total legal forms all nationalities;1991 April;290
175;Total legal forms all nationalities;1991 May;343
176;Total legal forms all nationalities;1991 June;315
177;Total legal forms all nationalities;1991 2nd quarter;948
178;Total legal forms all nationalities;1991 July;336
179;Total legal forms all nationalities;1991 August;287
180;Total legal forms all nationalities;1991 September;302
181;Total legal forms all nationalities;1991 3rd quarter;925
182;Total legal forms all nationalities;1991 October;453
183;Total legal forms all nationalities;1991 November;419
184;Total legal forms all nationalities;1991 December;350
185;Total legal forms all nationalities;1991 4th quarter;1222
186;Total legal forms all nationalities;1991;4075
187;Total legal forms all nationalities;1992 January;358
188;Total legal forms all nationalities;1992 February;351
189;Total legal forms all nationalities;1992 March;414
190;Total legal forms all nationalities;1992 1st quarter;1123
191;Total legal forms all nationalities;1992 April;441
192;Total legal forms all nationalities;1992 May;378
193;Total legal forms all nationalities;1992 June;374
194;Total legal forms all nationalities;1992 2nd quarter;1193
195;Total legal forms all nationalities;1992 July;421
196;Total legal forms all nationalities;1992 August;315
197;Total legal forms all nationalities;1992 September;514
198;Total legal forms all nationalities;1992 3rd quarter;1250
199;Total legal forms all nationalities;1992 October;506
200;Total legal forms all nationalities;1992 November;464
201;Total legal forms all nationalities;1992 December;509
202;Total legal forms all nationalities;1992 4th quarter;1479
203;Total legal forms all nationalities;1992;5045
204;Total legal forms all nationalities;1993 January;454
205;Total legal forms all nationalities;1993 February;461
206;Total legal forms all nationalities;1993 March;639
207;Total legal forms all nationalities;1993 1st quarter;1554
208;Total legal forms all nationalities;1993 April;507
209;Total legal forms all nationalities;1993 May;496
210;Total legal forms all nationalities;1993 June;557
211;Total legal forms all nationalities;1993 2nd quarter;1560
212;Total legal forms all nationalities;1993 July;569
213;Total legal forms all nationalities;1993 August;508
214;Total legal forms all nationalities;1993 September;586
215;Total legal forms all nationalities;1993 3rd quarter;1663
216;Total legal forms all nationalities;1993 October;504
217;Total legal forms all nationalities;1993 November;596
218;Total legal forms all nationalities;1993 December;551
219;Total legal forms all nationalities;1993 4th quarter;1651
220;Total legal forms all nationalities;1993;6428
221;Total legal forms all nationalities;1994 January;535
222;Total legal forms all nationalities;1994 February;534
223;Total legal forms all nationalities;1994 March;686
224;Total legal forms all nationalities;1994 1st quarter;1755
225;Total legal forms all nationalities;1994 April;497
226;Total legal forms all nationalities;1994 May;432
227;Total legal forms all nationalities;1994 June;621
228;Total legal forms all nationalities;1994 2nd quarter;1550
229;Total legal forms all nationalities;1994 July;463
230;Total legal forms all nationalities;1994 August;602
231;Total legal forms all nationalities;1994 September;548
232;Total legal forms all nationalities;1994 3rd quarter;1613
233;Total legal forms all nationalities;1994 October;473
234;Total legal forms all nationalities;1994 November;622
235;Total legal forms all nationalities;1994 December;451
236;Total legal forms all nationalities;1994 4th quarter;1546
237;Total legal forms all nationalities;1994;6464
238;Total legal forms all nationalities;1995 January;514
239;Total legal forms all nationalities;1995 February;453
240;Total legal forms all nationalities;1995 March;565
241;Total legal forms all nationalities;1995 1st quarter;1532
242;Total legal forms all nationalities;1995 April;478
243;Total legal forms all nationalities;1995 May;443
244;Total legal forms all nationalities;1995 June;455
245;Total legal forms all nationalities;1995 2nd quarter;1376
246;Total legal forms all nationalities;1995 July;476
247;Total legal forms all nationalities;1995 August;506
248;Total legal forms all nationalities;1995 September;510
249;Total legal forms all nationalities;1995 3rd quarter;1492
250;Total legal forms all nationalities;1995 October;528
251;Total legal forms all nationalities;1995 November;515
252;Total legal forms all nationalities;1995 December;404
253;Total legal forms all nationalities;1995 4th quarter;1447
254;Total legal forms all nationalities;1995;5847
255;Total legal forms all nationalities;1996 January;494
256;Total legal forms all nationalities;1996 February;440
257;Total legal forms all nationalities;1996 March;477
258;Total legal forms all nationalities;1996 1st quarter;1411
259;Total legal forms all nationalities;1996 April;437
260;Total legal forms all nationalities;1996 May;482
261;Total legal forms all nationalities;1996 June;454
262;Total legal forms all nationalities;1996 2nd quarter;1373
263;Total legal forms all nationalities;1996 July;450
264;Total legal forms all nationalities;1996 August;438
265;Total legal forms all nationalities;1996 September;454
266;Total legal forms all nationalities;1996 3rd quarter;1342
267;Total legal forms all nationalities;1996 October;550
268;Total legal forms all nationalities;1996 November;455
269;Total legal forms all nationalities;1996 December;446
270;Total legal forms all nationalities;1996 4th quarter;1451
271;Total legal forms all nationalities;1996;5577
272;Total legal forms all nationalities;1997 January;536
273;Total legal forms all nationalities;1997 February;477
274;Total legal forms all nationalities;1997 March;437
275;Total legal forms all nationalities;1997 1st quarter;1450
276;Total legal forms all nationalities;1997 April;470
277;Total legal forms all nationalities;1997 May;481
278;Total legal forms all nationalities;1997 June;418
279;Total legal forms all nationalities;1997 2nd quarter;1369
280;Total legal forms all nationalities;1997 July;492
281;Total legal forms all nationalities;1997 August;364
282;Total legal forms all nationalities;1997 September;475
283;Total legal forms all nationalities;1997 3rd quarter;1331
284;Total legal forms all nationalities;1997 October;497
285;Total legal forms all nationalities;1997 November;471
286;Total legal forms all nationalities;1997 December;429
287;Total legal forms all nationalities;1997 4th quarter;1397
288;Total legal forms all nationalities;1997;5547
289;Total legal forms all nationalities;1998 January;415
290;Total legal forms all nationalities;1998 February;423
291;Total legal forms all nationalities;1998 March;538
292;Total legal forms all nationalities;1998 1st quarter;1376
293;Total legal forms all nationalities;1998 April;502
294;Total legal forms all nationalities;1998 May;356
295;Total legal forms all nationalities;1998 June;439
296;Total legal forms all nationalities;1998 2nd quarter;1297
297;Total legal forms all nationalities;1998 July;444
298;Total legal forms all nationalities;1998 August;326
299;Total legal forms all nationalities;1998 September;540
300;Total legal forms all nationalities;1998 3rd quarter;1310
301;Total legal forms all nationalities;1998 October;364
302;Total legal forms all nationalities;1998 November;378
303;Total legal forms all nationalities;1998 December;306
304;Total legal forms all nationalities;1998 4th quarter;1048
305;Total legal forms all nationalities;1998;5031
306;Total legal forms all nationalities;1999 January;285
307;Total legal forms all nationalities;1999 February;327
308;Total legal forms all nationalities;1999 March;390
309;Total legal forms all nationalities;1999 1st quarter;1002
310;Total legal forms all nationalities;1999 April;342
311;Total legal forms all nationalities;1999 May;263
312;Total legal forms all nationalities;1999 June;364
313;Total legal forms all nationalities;1999 2nd quarter;969
314;Total legal forms all nationalities;1999 July;281
315;Total legal forms all nationalities;1999 August;273
316;Total legal forms all nationalities;1999 September;346
317;Total legal forms all nationalities;1999 3rd quarter;900
318;Total legal forms all nationalities;1999 October;308
319;Total legal forms all nationalities;1999 November;332
320;Total legal forms all nationalities;1999 December;329
321;Total legal forms all nationalities;1999 4th quarter;969
322;Total legal forms all nationalities;1999;3840
323;Total legal forms all nationalities;2000 January;310
324;Total legal forms all nationalities;2000 February;345
325;Total legal forms all nationalities;2000 March;365
326;Total legal forms all nationalities;2000 1st quarter;1020
327;Total legal forms all nationalities;2000 April;306
328;Total legal forms all nationalities;2000 May;379
329;Total legal forms all nationalities;2000 June;336
330;Total legal forms all nationalities;2000 2nd quarter;1021
331;Total legal forms all nationalities;2000 July;356
332;Total legal forms all nationalities;2000 August;452
333;Total legal forms all nationalities;2000 September;354
334;Total legal forms all nationalities;2000 3rd quarter;1162
335;Total legal forms all nationalities;2000 October;440
336;Total legal forms all nationalities;2000 November;495
337;Total legal forms all nationalities;2000 December;360
338;Total legal forms all nationalities;2000 4th quarter;1295
339;Total legal forms all nationalities;2000;4498
340;Total legal forms all nationalities;2001 January;447
341;Total legal forms all nationalities;2001 February;451
342;Total legal forms all nationalities;2001 March;453
343;Total legal forms all nationalities;2001 1st quarter;1351
344;Total legal forms all nationalities;2001 April;427
345;Total legal forms all nationalities;2001 May;544
346;Total legal forms all nationalities;2001 June;440
347;Total legal forms all nationalities;2001 2nd quarter;1411
348;Total legal forms all nationalities;2001 July;540
349;Total legal forms all nationalities;2001 August;520
350;Total legal forms all nationalities;2001 September;462
351;Total legal forms all nationalities;2001 3rd quarter;1522
352;Total legal forms all nationalities;2001 October;589
353;Total legal forms all nationalities;2001 November;530
354;Total legal forms all nationalities;2001 December;431
355;Total legal forms all nationalities;2001 4th quarter;1550
356;Total legal forms all nationalities;2001;5834
357;Total legal forms all nationalities;2002 January;602
358;Total legal forms all nationalities;2002 February;520
359;Total legal forms all nationalities;2002 March;506
360;Total legal forms all nationalities;2002 1st quarter;1628
361;Total legal forms all nationalities;2002 April;486
362;Total legal forms all nationalities;2002 May;532
363;Total legal forms all nationalities;2002 June;535
364;Total legal forms all nationalities;2002 2nd quarter;1553
365;Total legal forms all nationalities;2002 July;672
366;Total legal forms all nationalities;2002 August;493
367;Total legal forms all nationalities;2002 September;575
368;Total legal forms all nationalities;2002 3rd quarter;1740
369;Total legal forms all nationalities;2002 October;703
370;Total legal forms all nationalities;2002 November;586
371;Total legal forms all nationalities;2002 December;561
372;Total legal forms all nationalities;2002 4th quarter;1850
373;Total legal forms all nationalities;2002;6771
374;Total legal forms all nationalities;2003 January;657
375;Total legal forms all nationalities;2003 February;639
376;Total legal forms all nationalities;2003 March;620
377;Total legal forms all nationalities;2003 1st quarter;1916
378;Total legal forms all nationalities;2003 April;794
379;Total legal forms all nationalities;2003 May;757
380;Total legal forms all nationalities;2003 June;737
381;Total legal forms all nationalities;2003 2nd quarter;2288
382;Total legal forms all nationalities;2003 July;757
383;Total legal forms all nationalities;2003 August;596
384;Total legal forms all nationalities;2003 September;869
385;Total legal forms all nationalities;2003 3rd quarter;2222
386;Total legal forms all nationalities;2003 October;805
387;Total legal forms all nationalities;2003 November;786
388;Total legal forms all nationalities;2003 December;731
389;Total legal forms all nationalities;2003 4th quarter;2322
390;Total legal forms all nationalities;2003;8748
391;Total legal forms all nationalities;2004 January;732
392;Total legal forms all nationalities;2004 February;768
393;Total legal forms all nationalities;2004 March;902
394;Total legal forms all nationalities;2004 1st quarter;2402
395;Total legal forms all nationalities;2004 April;739
396;Total legal forms all nationalities;2004 May;744
397;Total legal forms all nationalities;2004 June;848
398;Total legal forms all nationalities;2004 2nd quarter;2331
399;Total legal forms all nationalities;2004 July;745
400;Total legal forms all nationalities;2004 August;752
401;Total legal forms all nationalities;2004 September;833
402;Total legal forms all nationalities;2004 3rd quarter;2330
403;Total legal forms all nationalities;2004 October;703
404;Total legal forms all nationalities;2004 November;824
405;Total legal forms all nationalities;2004 December;759
406;Total legal forms all nationalities;2004 4th quarter;2286
407;Total legal forms all nationalities;2004;9349
408;Total legal forms all nationalities;2005 January;797
409;Total legal forms all nationalities;2005 February;840
410;Total legal forms all nationalities;2005 March;988
411;Total legal forms all nationalities;2005 1st quarter;2625
412;Total legal forms all nationalities;2005 April;819
413;Total legal forms all nationalities;2005 May;831
414;Total legal forms all nationalities;2005 June;904
415;Total legal forms all nationalities;2005 2nd quarter;2554
416;Total legal forms all nationalities;2005 July;814
417;Total legal forms all nationalities;2005 August;798
418;Total legal forms all nationalities;2005 September;828
419;Total legal forms all nationalities;2005 3rd quarter;2440
420;Total legal forms all nationalities;2005 October;789
421;Total legal forms all nationalities;2005 November;930
422;Total legal forms all nationalities;2005 December;744
423;Total legal forms all nationalities;2005 4th quarter;2463
424;Total legal forms all nationalities;2005;10082
425;Total legal forms all nationalities;2006 January;832
426;Total legal forms all nationalities;2006 February;826
427;Total legal forms all nationalities;2006 March;907
428;Total legal forms all nationalities;2006 1st quarter;2565
429;Total legal forms all nationalities;2006 April;776
430;Total legal forms all nationalities;2006 May;835
431;Total legal forms all nationalities;2006 June;715
432;Total legal forms all nationalities;2006 2nd quarter;2326
433;Total legal forms all nationalities;2006 July;729
434;Total legal forms all nationalities;2006 August;733
435;Total legal forms all nationalities;2006 September;736
436;Total legal forms all nationalities;2006 3rd quarter;2198
437;Total legal forms all nationalities;2006 October;712
438;Total legal forms all nationalities;2006 November;711
439;Total legal forms all nationalities;2006 December;667
440;Total legal forms all nationalities;2006 4th quarter;2090
441;Total legal forms all nationalities;2006;9179
442;Total legal forms all nationalities;2007 January;799
443;Total legal forms all nationalities;2007 February;661
444;Total legal forms all nationalities;2007 March;692
445;Total legal forms all nationalities;2007 1st quarter;2152
446;Total legal forms all nationalities;2007 April;649
447;Total legal forms all nationalities;2007 May;729
448;Total legal forms all nationalities;2007 June;622
449;Total legal forms all nationalities;2007 2nd quarter;2000
450;Total legal forms all nationalities;2007 July;671
451;Total legal forms all nationalities;2007 August;635
452;Total legal forms all nationalities;2007 September;648
453;Total legal forms all nationalities;2007 3rd quarter;1954
454;Total legal forms all nationalities;2007 October;745
455;Total legal forms all nationalities;2007 November;624
456;Total legal forms all nationalities;2007 December;477
457;Total legal forms all nationalities;2007 4th quarter;1846
458;Total legal forms all nationalities;2007;7952
459;Total legal forms all nationalities;2008 January;710
460;Total legal forms all nationalities;2008 February;515
461;Total legal forms all nationalities;2008 March;461
462;Total legal forms all nationalities;2008 1st quarter;1686
463;Total legal forms all nationalities;2008 April;590
464;Total legal forms all nationalities;2008 May;415
465;Total legal forms all nationalities;2008 June;554
466;Total legal forms all nationalities;2008 2nd quarter;1559
467;Total legal forms all nationalities;2008 July;585
468;Total legal forms all nationalities;2008 August;513
469;Total legal forms all nationalities;2008 September;591
470;Total legal forms all nationalities;2008 3rd quarter;1689
471;Total legal forms all nationalities;2008 October;561
472;Total legal forms all nationalities;2008 November;684
473;Total legal forms all nationalities;2008 December;668
474;Total legal forms all nationalities;2008 4th quarter;1913
475;Total legal forms all nationalities;2008;6847
476;Total legal forms all nationalities;2009 January;790
477;Total legal forms all nationalities;2009 February;766
478;Total legal forms all nationalities;2009 March;1040
479;Total legal forms all nationalities;2009 1st quarter;2596
480;Total legal forms all nationalities;2009 April;949
481;Total legal forms all nationalities;2009 May;758
482;Total legal forms all nationalities;2009 June;1023
483;Total legal forms all nationalities;2009 2nd quarter;2730
484;Total legal forms all nationalities;2009 July;921
485;Total legal forms all nationalities;2009 August;775
486;Total legal forms all nationalities;2009 September;907
487;Total legal forms all nationalities;2009 3rd quarter;2603
488;Total legal forms all nationalities;2009 October;835
489;Total legal forms all nationalities;2009 November;871
490;Total legal forms all nationalities;2009 December;836
491;Total legal forms all nationalities;2009 4th quarter;2542
492;Total legal forms all nationalities;2009;10471
493;Total legal forms all nationalities;2010 January;789
494;Total legal forms all nationalities;2010 February;811
495;Total legal forms all nationalities;2010 March;996
496;Total legal forms all nationalities;2010 1st quarter;2596
497;Total legal forms all nationalities;2010 April;778
498;Total legal forms all nationalities;2010 May;603
499;Total legal forms all nationalities;2010 June;990
500;Total legal forms all nationalities;2010 2nd quarter;2371
501;Total legal forms all nationalities;2010 July;735
502;Total legal forms all nationalities;2010 August;800
503;Total legal forms all nationalities;2010 September;706
504;Total legal forms all nationalities;2010 3rd quarter;2241
505;Total legal forms all nationalities;2010 October;766
506;Total legal forms all nationalities;2010 November;870
507;Total legal forms all nationalities;2010 December;647
508;Total legal forms all nationalities;2010 4th quarter;2283
509;Total legal forms all nationalities;2010;9491
510;Total legal forms all nationalities;2011 January;726
511;Total legal forms all nationalities;2011 February;784
512;Total legal forms all nationalities;2011 March;884
513;Total legal forms all nationalities;2011 1st quarter;2394
514;Total legal forms all nationalities;2011 April;696
515;Total legal forms all nationalities;2011 May;893
516;Total legal forms all nationalities;2011 June;674
517;Total legal forms all nationalities;2011 2nd quarter;2263
518;Total legal forms all nationalities;2011 July;703
519;Total legal forms all nationalities;2011 August;799
520;Total legal forms all nationalities;2011 September;793
521;Total legal forms all nationalities;2011 3rd quarter;2295
522;Total legal forms all nationalities;2011 October;799
523;Total legal forms all nationalities;2011 November;1022
524;Total legal forms all nationalities;2011 December;758
525;Total legal forms all nationalities;2011 4th quarter;2579
526;Total legal forms all nationalities;2011;9531
527;Total legal forms all nationalities;2012 January;1021
528;Total legal forms all nationalities;2012 February;944
529;Total legal forms all nationalities;2012 March;915
530;Total legal forms all nationalities;2012 1st quarter;2880
531;Total legal forms all nationalities;2012 April;864
532;Total legal forms all nationalities;2012 May;1022
533;Total legal forms all nationalities;2012 June;891
534;Total legal forms all nationalities;2012 2nd quarter;2777
535;Total legal forms all nationalities;2012 July;1087
536;Total legal forms all nationalities;2012 August;822
537;Total legal forms all nationalities;2012 September;890
538;Total legal forms all nationalities;2012 3rd quarter;2799
539;Total legal forms all nationalities;2012 October;1092
540;Total legal forms all nationalities;2012 November;967
541;Total legal forms all nationalities;2012 December;833
542;Total legal forms all nationalities;2012 4th quarter;2892
543;Total legal forms all nationalities;2012;11348
544;Total legal forms all nationalities;2013 January;1104
545;Total legal forms all nationalities;2013 February;1063
546;Total legal forms all nationalities;2013 March;1103
547;Total legal forms all nationalities;2013 1st quarter;3270
548;Total legal forms all nationalities;2013 April;1039
549;Total legal forms all nationalities;2013 May;1185
550;Total legal forms all nationalities;2013 June;1047
551;Total legal forms all nationalities;2013 2nd quarter;3271
552;Total legal forms all nationalities;2013 July;1155
553;Total legal forms all nationalities;2013 August;878
554;Total legal forms all nationalities;2013 September;879
555;Total legal forms all nationalities;2013 3rd quarter;2912
556;Total legal forms all nationalities;2013 October;1133
557;Total legal forms all nationalities;2013 November;920
558;Total legal forms all nationalities;2013 December;943
559;Total legal forms all nationalities;2013 4th quarter;2996
560;Total legal forms all nationalities;2013;12449
561;Total legal forms all nationalities;2014 January;938
562;Total legal forms all nationalities;2014 February;900
563;Total legal forms all nationalities;2014 March;781
564;Total legal forms all nationalities;2014 1st quarter;2619
565;Total legal forms all nationalities;2014 April;1040
566;Total legal forms all nationalities;2014 May;792
567;Total legal forms all nationalities;2014 June;653
568;Total legal forms all nationalities;2014 2nd quarter;2485
569;Total legal forms all nationalities;2014 July;866
570;Total legal forms all nationalities;2014 August;679
571;Total legal forms all nationalities;2014 September;799
572;Total legal forms all nationalities;2014 3rd quarter;2344
573;Total legal forms all nationalities;2014 October;760
574;Total legal forms all nationalities;2014 November;699
575;Total legal forms all nationalities;2014 December;762
576;Total legal forms all nationalities;2014 4th quarter;2221
577;Total legal forms all nationalities;2014;9669
578;Total legal forms all nationalities;2015 January;671
579;Total legal forms all nationalities;2015 February;679
580;Total legal forms all nationalities;2015 March;862
581;Total legal forms all nationalities;2015 1st quarter;2212
582;Total legal forms all nationalities;2015 April;624
583;Total legal forms all nationalities;2015 May;516
584;Total legal forms all nationalities;2015 June;650
585;Total legal forms all nationalities;2015 2nd quarter;1790
586;Total legal forms all nationalities;2015 July;583
587;Total legal forms all nationalities;2015 August;444
588;Total legal forms all nationalities;2015 September;562
589;Total legal forms all nationalities;2015 3rd quarter;1589
590;Total legal forms all nationalities;2015 October;540
591;Total legal forms all nationalities;2015 November;524
592;Total legal forms all nationalities;2015 December;683
593;Total legal forms all nationalities;2015 4th quarter;1747
594;Total legal forms all nationalities;2015;7338
595;Total legal forms all nationalities;2016 January;502
596;Total legal forms all nationalities;2016 February;587
597;Total legal forms all nationalities;2016 March;635
598;Total legal forms all nationalities;2016 1st quarter;1724
599;Total legal forms all nationalities;2016 April;498
600;Total legal forms all nationalities;2016 May;531
601;Total legal forms all nationalities;2016 June;496
602;Total legal forms all nationalities;2016 2nd quarter;1525
603;Total legal forms all nationalities;2016 July;466
604;Total legal forms all nationalities;2016 August;456
605;Total legal forms all nationalities;2016 September;392
606;Total legal forms all nationalities;2016 3rd quarter;1314
607;Total legal forms all nationalities;2016 October;392
608;Total legal forms all nationalities;2016 November;587
609;Total legal forms all nationalities;2016 December;410
610;Total legal forms all nationalities;2016 4th quarter;1389
611;Total legal forms all nationalities;2016;5952
612;Total legal forms all nationalities;2017 January;511
613;Total legal forms all nationalities;2017 February;386
614;Total legal forms all nationalities;2017 March;413
615;Total legal forms all nationalities;2017 1st quarter;1310
616;Total legal forms all nationalities;2017 April;363
617;Total legal forms all nationalities;2017 May;457
618;Total legal forms all nationalities;2017 June;381
619;Total legal forms all nationalities;2017 2nd quarter;1201
620;Total legal forms all nationalities;2017 July;346
621;Total legal forms all nationalities;2017 August;385
622;Total legal forms all nationalities;2017 September;336
623;Total legal forms all nationalities;2017 3rd quarter;1067
624;Total legal forms all nationalities;2017 October;408
625;Total legal forms all nationalities;2017 November;344
