ID;SBI;Grootteklasse;TotaleBedrijfslasten_1;Personeelskosten_2;Afschrijvingen_3;Huisvestingskosten_4;KostenVervoermiddelenExternTransport_5;AndereBedrijfslasten_6;Bedrijfsresultaat_7;FinancieelResultaat_8;ResultaatVoorBelasting_9;Bedrijfsopbrengsten_10;WerkzamePersonen_11;OpbrengstPerFullTimeWerkzamePersoon_12;LoonkostenPerFullTimeWerknemer_13
22;60241 Verhuisbedrijven;10 en meer werknemers;;;;;;;;;;;;;
23;60241 Verhuisbedrijven;10 tot 100 werknemers;;;;;;;;;;;;;
24;60241 Verhuisbedrijven;100 en meer werknemers;;;;;;;;;;;;;
25;60242 Overig goederenwegvervoerbedrijven;alle bedrijven;91.7;42.9;8.3;2.6;29.2;8.7;8.3;-1.5;6.8;945.0;13.0;81.0;36.0
26;60242 Overig goederenwegvervoerbedrijven;tot 10 werknemers;80.3;27.5;10.3;1.2;34.0;7.3;19.7;-1.7;18.0;271.0;4.0;81.0;35.0
27;60242 Overig goederenwegvervoerbedrijven;10 en meer werknemers;;;;;;;;;;;;;
28;60242 Overig goederenwegvervoerbedrijven;10 tot 100 werknemers;94.2;45.9;8.0;2.7;29.1;8.5;5.8;-1.5;4.5;2700.0;34.0;85.0;36.0
29;60242 Overig goederenwegvervoerbedrijven;100 en meer werknemers;97.4;51.4;7.2;3.9;24.5;10.5;2.6;-1.2;1.1;20488.0;339.0;73.0;36.0
30;64122 Koeriersdiensten;alle bedrijven;94.1;38.2;4.8;1.6;10.1;39.4;5.9;-2.2;3.6;464.0;7.0;76.0;32.0
31;64122 Koeriersdiensten;tot 10 werknemers;;;;;;;;;;;;;
32;64122 Koeriersdiensten;10 en meer werknemers;;;;;;;;;;;;;
33;64122 Koeriersdiensten;10 tot 100 werknemers;;;;;;;;;;;;;
34;64122 Koeriersdiensten;100 en meer werknemers;;;;;;;;;;;;;
35;6321 Dienstverlening t.b.v. wegvervoer;alle bedrijven;86.2;22.1;16.1;3.8;0.2;44.0;13.8;-10.3;3.5;2397.0;14.0;187.0;37.0
36;6321 Dienstverlening t.b.v. wegvervoer;tot 10 werknemers;;;;;;;;;;;;;
37;6321 Dienstverlening t.b.v. wegvervoer;10 en meer werknemers;;;;;;;;;;;;;
38;6321 Dienstverlening t.b.v. wegvervoer;10 tot 100 werknemers;;;;;;;;;;;;;
39;6321 Dienstverlening t.b.v. wegvervoer;100 en meer werknemers;;;;;;;;;;;;;
40;6110 Zeevaartbedrijven;alle bedrijven;93.0;11.8;8.3;0.4;25.0;47.5;7.0;-4.0;3.3;5615.0;19.0;304.0;34.0
41;6110 Zeevaartbedrijven;tot 10 werknemers;86.8;19.5;18.0;0.2;26.5;22.6;13.2;-10.9;2.7;971.0;7.0;148.0;33.0
42;6110 Zeevaartbedrijven;10 en meer werknemers;;;;;;;;;;;;;
43;6110 Zeevaartbedrijven;10 tot 100 werknemers;95.3;19.3;13.1;0.4;33.0;29.6;4.7;-7.2;-0.5;5290.0;29.0;181.0;33.0
44;6110 Zeevaartbedrijven;100 en meer werknemers;93.9;9.0;5.6;0.5;23.4;55.3;6.1;-2.1;4.1;165949.0;378.0;449.0;34.0
45;6120 Binnenvaart (totaal);alle bedrijven;78.1;21.5;14.1;0.6;26.4;15.5;21.8;-5.2;18.3;297.0;4.0;90.0;33.0
46;6120 Binnenvaart (totaal);tot 10 werknemers;70.8;11.8;14.3;0.4;27.7;16.5;29.2;-7.5;23.5;194.0;2.0;85.0;25.0
47;6120 Binnenvaart (totaal);10 en meer werknemers;91.1;38.5;13.8;0.9;24.2;13.7;8.9;-1.2;9.2;4604.0;49.0;103.0;38.0
48;6120 Binnenvaart (totaal);10 tot 100 werknemers;;;;;;;;;;;;;
49;6120 Binnenvaart (totaal);100 en meer werknemers;;;;;;;;;;;;;
50;61201 Vrachtvaart;alle bedrijven;72.1;12.2;13.9;0.5;29.6;15.9;27.9;-7.0;22.0;199.0;2.0;87.0;30.0
51;61201 Vrachtvaart;tot 10 werknemers;;;;;;;;;;;;;
52;61201 Vrachtvaart;10 en meer werknemers;;;;;;;;;;;;;
53;61201 Vrachtvaart;10 tot 100 werknemers;;;;;;;;;;;;;
54;61201 Vrachtvaart;100 en meer werknemers;;;;;;;;;;;;;
55;61202 Tankvaart;alle bedrijven;85.2;30.7;13.2;0.3;25.8;15.3;14.8;-5.4;11.5;1318.0;12.0;118.0;35.0
56;61202 Tankvaart;tot 10 werknemers;;;;;;;;;;;;;
57;61202 Tankvaart;10 en meer werknemers;;;;;;;;;;;;;
58;61202 Tankvaart;10 tot 100 werknemers;;;;;;;;;;;;;
59;61202 Tankvaart;100 en meer werknemers;;;;;;;;;;;;;
60;61203 Sleep- en duwvaart;alle bedrijven;88.0;31.7;10.6;0.6;28.9;16.2;12.0;-1.5;13.1;480.0;5.0;96.0;37.0
61;61203 Sleep- en duwvaart;tot 10 werknemers;;;;;;;;;;;;;
62;61203 Sleep- en duwvaart;10 en meer werknemers;;;;;;;;;;;;;
63;61203 Sleep- en duwvaart;10 tot 100 werknemers;;;;;;;;;;;;;
64;61203 Sleep- en duwvaart;100 en meer werknemers;;;;;;;;;;;;;
65;61204 Passagiersvaart en veerdiensten;alle bedrijven;82.5;33.6;18.4;1.3;15.5;13.8;17.5;-1.7;18.1;476.0;8.0;74.0;31.0
66;61204 Passagiersvaart en veerdiensten;tot 10 werknemers;;;;;;;;;;;;;
67;61204 Passagiersvaart en veerdiensten;10 en meer werknemers;;;;;;;;;;;;;
68;61204 Passagiersvaart en veerdiensten;10 tot 100 werknemers;;;;;;;;;;;;;
69;61204 Passagiersvaart en veerdiensten;100 en meer werknemers;;;;;;;;;;;;;
70;6322 Dienstverl. tbv vervoer over water;alle bedrijven;60.3;21.4;13.4;2.0;2.8;20.6;39.7;-10.9;26.2;3068.0;18.0;171.0;53.0
71;6322 Dienstverl. tbv vervoer over water;tot 10 werknemers;;;;;;;;;;;;;
72;6322 Dienstverl. tbv vervoer over water;10 en meer werknemers;;;;;;;;;;;;;
73;6322 Dienstverl. tbv vervoer over water;10 tot 100 werknemers;;;;;;;;;;;;;
74;6322 Dienstverl. tbv vervoer over water;100 en meer werknemers;;;;;;;;;;;;;
75;6200 Luchtvaartbedrijven;alle bedrijven;97.8;26.1;6.1;2.4;27.2;35.9;2.2;-1.8;7.0;565997.0;3009.0;191.0;47.0
76;6200 Luchtvaartbedrijven;tot 10 werknemers;;;;;;;;;;;;;
77;6200 Luchtvaartbedrijven;10 en meer werknemers;;;;;;;;;;;;;
78;6200 Luchtvaartbedrijven;10 tot 100 werknemers;;;;;;;;;;;;;
79;6200 Luchtvaartbedrijven;100 en meer werknemers;;;;;;;;;;;;;
80;6311 Laad-, los- en overslagbedrijven;alle bedrijven;93.2;45.8;9.3;9.6;3.4;25.1;6.8;-2.2;1.7;3446.0;35.0;108.0;45.0
81;6311 Laad-, los- en overslagbedrijven;tot 10 werknemers;86.0;32.0;13.1;11.8;5.5;23.7;14.0;-4.0;13.5;493.0;6.0;87.0;32.0
82;6311 Laad-, los- en overslagbedrijven;10 en meer werknemers;;;;;;;;;;;;;
83;6311 Laad-, los- en overslagbedrijven;10 tot 100 werknemers;91.0;43.5;8.7;10.3;5.6;23.0;9.0;-1.5;8.0;3094.0;39.0;96.0;39.0
84;6311 Laad-, los- en overslagbedrijven;100 en meer werknemers;95.2;49.0;9.0;8.9;2.0;26.4;4.8;-2.4;-2.9;46390.0;394.0;119.0;51.0
85;6312 Opslagbedrijven;alle bedrijven;83.5;31.6;10.0;17.0;1.8;23.0;16.5;-0.7;15.4;2329.0;23.0;109.0;34.0
86;6312 Opslagbedrijven;tot 10 werknemers;81.2;23.1;11.0;20.2;3.6;23.2;18.8;8.2;32.2;399.0;4.0;124.0;31.0
87;6312 Opslagbedrijven;10 en meer werknemers;;;;;;;;;;;;;
88;6312 Opslagbedrijven;10 tot 100 werknemers;87.3;29.9;10.8;21.2;1.7;23.8;12.7;-1.9;10.8;3563.0;35.0;113.0;34.0
89;6312 Opslagbedrijven;100 en meer werknemers;81.0;35.1;9.2;12.8;1.5;22.4;19.0;-1.9;15.0;29537.0;291.0;103.0;34.0
90;63401 Expediteurs,cargadoors,bevrachters;alle bedrijven;87.8;47.0;4.6;7.4;11.9;16.9;12.2;-1.0;11.9;1091.0;15.0;76.0;36.0
91;63401 Expediteurs,cargadoors,bevrachters;tot 10 werknemers;78.9;42.1;5.2;6.0;3.9;21.7;21.1;-3.3;19.5;260.0;4.0;77.0;36.0
92;63401 Expediteurs,cargadoors,bevrachters;10 en meer werknemers;;;;;;;;;;;;;
93;63401 Expediteurs,cargadoors,bevrachters;10 tot 100 werknemers;85.9;48.3;4.9;8.6;4.5;19.6;14.1;-0.6;13.8;2168.0;31.0;76.0;35.0
94;63401 Expediteurs,cargadoors,bevrachters;100 en meer werknemers;93.4;48.0;4.0;6.8;22.3;12.2;6.6;-0.3;6.7;23647.0;327.0;77.0;35.0
95;63402 Wegings- en metingsbedrijven;alle bedrijven;96.3;31.4;2.6;2.4;2.9;57.0;3.7;3.3;3.9;674.0;7.0;107.0;37.0
96;63402 Wegings- en metingsbedrijven;tot 10 werknemers;93.4;45.5;6.1;3.9;3.3;34.5;6.6;-1.0;5.5;155.0;3.0;54.0;37.0
97;63402 Wegings- en metingsbedrijven;10 en meer werknemers;97.0;27.9;1.8;2.0;2.8;62.5;3.0;4.3;3.5;3723.0;30.0;141.0;38.0
98;63402 Wegings- en metingsbedrijven;10 tot 100 werknemers;;;;;;;;;;;;;
99;63402 Wegings- en metingsbedrijven;100 en meer werknemers;;;;;;;;;;;;;
100;63301 Reisorganisatie (touroperators);alle bedrijven;87.4;37.0;5.6;5.0;1.0;38.7;12.6;1.3;13.8;789.0;13.0;71.0;26.0
101;63301 Reisorganisatie (touroperators);tot 10 werknemers;90.1;30.8;7.3;6.7;3.1;42.3;9.9;-0.3;9.8;130.0;3.0;47.0;22.0
102;63301 Reisorganisatie (touroperators);10 en meer werknemers;;;;;;;;;;;;;
103;63301 Reisorganisatie (touroperators);10 tot 100 werknemers;83.1;26.5;6.6;2.7;0.5;46.8;16.9;1.8;20.7;2779.0;34.0;102.0;26.0
104;63301 Reisorganisatie (touroperators);100 en meer werknemers;89.7;46.4;4.4;6.3;0.9;31.7;10.3;1.4;9.9;36580.0;617.0;67.0;26.0
105;63302 Reisbemiddeling (reisbureaus);alle bedrijven;85.7;42.3;5.8;7.5;0.9;29.1;14.3;1.0;15.5;437.0;10.0;51.0;24.0
106;63302 Reisbemiddeling (reisbureaus);tot 10 werknemers;75.6;28.7;5.4;7.2;1.7;32.6;24.4;1.7;25.9;149.0;3.0;50.0;22.0
107;63302 Reisbemiddeling (reisbureaus);10 en meer werknemers;;;;;;;;;;;;;
108;63302 Reisbemiddeling (reisbureaus);10 tot 100 werknemers;85.8;41.5;5.1;5.7;0.8;32.8;14.2;0.5;16.8;1388.0;29.0;66.0;26.0
109;63302 Reisbemiddeling (reisbureaus);100 en meer werknemers;93.1;53.1;6.7;9.0;0.3;24.0;6.9;0.8;7.0;20504.0;539.0;45.0;24.0
110;63303 Info verstrekking tbv toerisme;alle bedrijven;95.3;37.1;2.4;5.2;0.3;50.2;4.7;0.3;5.2;555.0;9.0;76.0;29.0
111;63303 Info verstrekking tbv toerisme;tot 10 werknemers;86.8;45.1;4.6;7.1;0.4;29.6;13.2;-0.6;13.6;212.0;6.0;51.0;25.0
112;63303 Info verstrekking tbv toerisme;10 en meer werknemers;99.3;33.4;1.4;4.3;0.3;60.0;0.7;0.7;1.3;2423.0;30.0;100.0;33.0
113;63303 Info verstrekking tbv toerisme;10 tot 100 werknemers;;;;;;;;;;;;;
114;63303 Info verstrekking tbv toerisme;100 en meer werknemers;;;;;;;;;;;;;
