ID;LeeftijdMoederOp31December;Perioden;TotaalLevendgeboren_1;k_1eKind_2;k_2eKind_3;k_3eKind_4;k_4eOfVolgendeKind_5;AlleRangnummers_6;k_1eKind_7;k_2eKind_8;k_3eKind_9;k_4eOfVolgendeKind_10
18;Totaal alle leeftijden;2032;192550;89426;70931;23326;8865;1.75009;0.82002;0.63999;0.21003;0.08005
19;Totaal alle leeftijden;2033;191836;88894;70751;23320;8868;1.75007;0.82002;0.64;0.21002;0.08004
20;Totaal alle leeftijden;2034;190909;88296;70459;23287;8869;1.75003;0.81999;0.64;0.21001;0.08002
21;Totaal alle leeftijden;2035;189820;87670;70071;23216;8852;1.75001;0.81999;0.64;0.21;0.08002
22;Totaal alle leeftijden;2036;188620;87068;69605;23115;8832;1.75001;0.82;0.64;0.21;0.08001
23;Totaal alle leeftijden;2037;187392;86515;69097;22976;8798;1.75001;0.82;0.64;0.21;0.08
24;Totaal alle leeftijden;2038;186193;86035;68579;22819;8760;1.75;0.82;0.64;0.21;0.08
25;Totaal alle leeftijden;2039;185079;85631;68088;22651;8710;1.75;0.82;0.64;0.21;0.08
26;Totaal alle leeftijden;2040;184092;85316;67647;22477;8656;1.75;0.82;0.64;0.21;0.08
27;Totaal alle leeftijden;2041;183275;85094;67272;22317;8595;1.75;0.82;0.64;0.21;0.08
28;Totaal alle leeftijden;2042;182669;84984;66978;22176;8535;1.75;0.82;0.64;0.21;0.08
29;Totaal alle leeftijden;2043;182314;85010;66764;22057;8482;1.75;0.82;0.64;0.21;0.08
30;Totaal alle leeftijden;2044;182231;85180;66644;21972;8431;1.75;0.82;0.64;0.21;0.08
31;Totaal alle leeftijden;2045;182429;85485;66636;21914;8394;1.75;0.82;0.64;0.21;0.08
32;Totaal alle leeftijden;2046;182888;85886;66749;21886;8369;1.75;0.82;0.64;0.21;0.08
33;Totaal alle leeftijden;2047;183561;86347;66964;21896;8353;1.75;0.82;0.64;0.21;0.08
34;Totaal alle leeftijden;2048;184396;86832;67272;21940;8351;1.75;0.82;0.64;0.21;0.08
35;Totaal alle leeftijden;2049;185345;87320;67640;22018;8365;1.75;0.82;0.64;0.21;0.08
36;Totaal alle leeftijden;2050;186340;87785;68040;22124;8384;1.75;0.82;0.64;0.21;0.08
37;Totaal alle leeftijden;2051;187348;88231;68452;22253;8416;1.75;0.82;0.64;0.21;0.08
38;Totaal alle leeftijden;2052;188325;88631;68851;22391;8454;1.75;0.82;0.64;0.21;0.08
39;Totaal alle leeftijden;2053;189246;88990;69237;22526;8496;1.75;0.82;0.64;0.21;0.08
40;Totaal alle leeftijden;2054;190083;89296;69587;22655;8542;1.75;0.82;0.64;0.21;0.08
41;Totaal alle leeftijden;2055;190815;89548;69900;22776;8590;1.75;0.82;0.64;0.21;0.08
42;Totaal alle leeftijden;2056;191426;89740;70160;22889;8636;1.75;0.82;0.64;0.21;0.08
43;Totaal alle leeftijden;2057;191912;89865;70378;22987;8680;1.75;0.82;0.64;0.21;0.08
44;Totaal alle leeftijden;2058;192270;89936;70541;23069;8720;1.75;0.82;0.64;0.21;0.08
45;Totaal alle leeftijden;2059;192504;89945;70667;23138;8755;1.75;0.82;0.64;0.21;0.08
46;15 jaar of jonger;2014;31;31;0;0;0;0.00032;0.00032;0.0;0.0;0.0
47;15 jaar of jonger;2015;31;31;0;0;0;0.0003;0.0003;0.0;0.0;0.0
48;15 jaar of jonger;2016;32;32;0;0;0;0.00032;0.00032;0.0;0.0;0.0
49;15 jaar of jonger;2017;31;31;0;0;0;0.00032;0.00032;0.0;0.0;0.0
50;15 jaar of jonger;2018;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
51;15 jaar of jonger;2019;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
52;15 jaar of jonger;2020;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
53;15 jaar of jonger;2021;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
54;15 jaar of jonger;2022;28;28;0;0;0;0.00031;0.00031;0.0;0.0;0.0
55;15 jaar of jonger;2023;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
56;15 jaar of jonger;2024;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
57;15 jaar of jonger;2025;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
58;15 jaar of jonger;2026;28;28;0;0;0;0.00031;0.00031;0.0;0.0;0.0
59;15 jaar of jonger;2027;27;27;0;0;0;0.00031;0.00031;0.0;0.0;0.0
60;15 jaar of jonger;2028;27;27;0;0;0;0.00031;0.00031;0.0;0.0;0.0
61;15 jaar of jonger;2029;27;27;0;0;0;0.00031;0.00031;0.0;0.0;0.0
62;15 jaar of jonger;2030;28;28;0;0;0;0.00031;0.00031;0.0;0.0;0.0
63;15 jaar of jonger;2031;28;28;0;0;0;0.00031;0.00031;0.0;0.0;0.0
64;15 jaar of jonger;2032;28;28;0;0;0;0.00031;0.00031;0.0;0.0;0.0
65;15 jaar of jonger;2033;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
66;15 jaar of jonger;2034;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
67;15 jaar of jonger;2035;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
68;15 jaar of jonger;2036;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
69;15 jaar of jonger;2037;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
70;15 jaar of jonger;2038;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
71;15 jaar of jonger;2039;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
72;15 jaar of jonger;2040;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
73;15 jaar of jonger;2041;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
74;15 jaar of jonger;2042;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
75;15 jaar of jonger;2043;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
76;15 jaar of jonger;2044;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
77;15 jaar of jonger;2045;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
78;15 jaar of jonger;2046;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
79;15 jaar of jonger;2047;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
80;15 jaar of jonger;2048;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
81;15 jaar of jonger;2049;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
82;15 jaar of jonger;2050;30;30;0;0;0;0.00031;0.00031;0.0;0.0;0.0
83;15 jaar of jonger;2051;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
84;15 jaar of jonger;2052;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
85;15 jaar of jonger;2053;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
86;15 jaar of jonger;2054;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
87;15 jaar of jonger;2055;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
88;15 jaar of jonger;2056;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
89;15 jaar of jonger;2057;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
90;15 jaar of jonger;2058;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
91;15 jaar of jonger;2059;29;29;0;0;0;0.00031;0.00031;0.0;0.0;0.0
92;16 jaar;2014;68;68;1;0;0;0.00069;0.00068;1e-05;0.0;0.0
93;16 jaar;2015;71;71;0;0;0;0.00071;0.00071;0.0;0.0;0.0
94;16 jaar;2016;74;74;0;0;0;0.00072;0.00072;0.0;0.0;0.0
95;16 jaar;2017;70;70;1;0;0;0.0007;0.0007;0.0;0.0;0.0
96;16 jaar;2018;68;68;1;0;0;0.00069;0.00068;1e-05;0.0;0.0
97;16 jaar;2019;70;69;1;0;0;0.00071;0.0007;1e-05;0.0;0.0
98;16 jaar;2020;68;67;0;0;0;0.00071;0.0007;0.0;0.0;0.0
99;16 jaar;2021;66;65;0;0;0;0.00071;0.0007;0.0;0.0;0.0
100;16 jaar;2022;65;64;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
101;16 jaar;2023;64;63;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
102;16 jaar;2024;65;64;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
103;16 jaar;2025;65;64;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
104;16 jaar;2026;65;64;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
105;16 jaar;2027;63;62;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
106;16 jaar;2028;62;61;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
107;16 jaar;2029;60;60;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
108;16 jaar;2030;62;61;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
109;16 jaar;2031;63;62;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
110;16 jaar;2032;64;63;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
111;16 jaar;2033;64;64;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
112;16 jaar;2034;65;65;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
113;16 jaar;2035;66;65;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
114;16 jaar;2036;66;66;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
115;16 jaar;2037;66;66;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
116;16 jaar;2038;67;66;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
117;16 jaar;2039;67;67;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
118;16 jaar;2040;67;67;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
119;16 jaar;2041;68;67;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
120;16 jaar;2042;68;67;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
121;16 jaar;2043;68;68;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
122;16 jaar;2044;68;68;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
123;16 jaar;2045;68;68;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
124;16 jaar;2046;68;68;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
125;16 jaar;2047;68;68;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
126;16 jaar;2048;68;67;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
127;16 jaar;2049;68;67;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
128;16 jaar;2050;67;67;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
129;16 jaar;2051;67;67;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
130;16 jaar;2052;67;66;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
131;16 jaar;2053;66;66;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
132;16 jaar;2054;66;65;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
133;16 jaar;2055;65;65;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
134;16 jaar;2056;65;65;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
135;16 jaar;2057;65;64;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
136;16 jaar;2058;65;64;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
137;16 jaar;2059;65;64;1;0;0;0.0007;0.0007;1e-05;0.0;0.0
138;17 jaar;2014;190;185;4;0;0;0.00197;0.00192;5e-05;0.0;0.0
139;17 jaar;2015;194;191;3;0;0;0.00196;0.00193;3e-05;0.0;0.0
140;17 jaar;2016;193;189;3;0;0;0.00193;0.0019;4e-05;0.0;0.0
141;17 jaar;2017;197;194;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
142;17 jaar;2018;191;187;3;0;0;0.0019;0.00186;3e-05;0.0;0.0
143;17 jaar;2019;193;190;4;0;0;0.00194;0.0019;4e-05;0.0;0.0
144;17 jaar;2020;192;189;3;0;0;0.00193;0.0019;3e-05;0.0;0.0
145;17 jaar;2021;186;182;3;0;0;0.00192;0.00189;3e-05;0.0;0.0
146;17 jaar;2022;180;177;3;0;0;0.00192;0.00189;3e-05;0.0;0.0
147;17 jaar;2023;177;174;3;0;0;0.00192;0.00189;3e-05;0.0;0.0
148;17 jaar;2024;176;173;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
149;17 jaar;2025;178;175;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
150;17 jaar;2026;178;175;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
151;17 jaar;2027;178;175;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
152;17 jaar;2028;173;170;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
153;17 jaar;2029;170;167;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
154;17 jaar;2030;165;162;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
155;17 jaar;2031;169;166;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
156;17 jaar;2032;172;169;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
157;17 jaar;2033;175;172;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
158;17 jaar;2034;177;174;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
159;17 jaar;2035;178;175;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
160;17 jaar;2036;180;177;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
161;17 jaar;2037;181;178;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
162;17 jaar;2038;182;179;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
163;17 jaar;2039;184;180;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
164;17 jaar;2040;185;181;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
165;17 jaar;2041;185;182;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
166;17 jaar;2042;186;183;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
167;17 jaar;2043;186;183;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
168;17 jaar;2044;187;183;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
169;17 jaar;2045;187;184;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
170;17 jaar;2046;187;184;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
171;17 jaar;2047;187;184;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
172;17 jaar;2048;187;184;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
173;17 jaar;2049;187;183;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
174;17 jaar;2050;186;183;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
175;17 jaar;2051;185;182;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
176;17 jaar;2052;184;181;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
177;17 jaar;2053;183;180;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
178;17 jaar;2054;182;179;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
179;17 jaar;2055;181;178;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
180;17 jaar;2056;180;177;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
181;17 jaar;2057;179;176;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
182;17 jaar;2058;178;175;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
183;17 jaar;2059;178;174;3;0;0;0.00193;0.00189;3e-05;0.0;0.0
184;18 jaar;2014;433;416;17;0;0;0.00454;0.00437;0.00017;0.0;0.0
185;18 jaar;2015;441;424;16;1;0;0.00455;0.00438;0.00017;1e-05;0.0
186;18 jaar;2016;445;429;16;0;0;0.00447;0.0043;0.00016;0.0;0.0
187;18 jaar;2017;444;428;16;0;0;0.00442;0.00426;0.00016;0.0;0.0
188;18 jaar;2018;455;439;16;0;0;0.0044;0.00424;0.00016;0.0;0.0
189;18 jaar;2019;454;437;17;0;0;0.00448;0.00431;0.00016;0.0;0.0
190;18 jaar;2020;448;432;16;0;0;0.00446;0.0043;0.00016;0.0;0.0
191;18 jaar;2021;445;429;16;0;0;0.00444;0.00428;0.00016;0.0;0.0
192;18 jaar;2022;432;416;16;0;0;0.00444;0.00428;0.00016;0.0;0.0
193;18 jaar;2023;419;403;15;0;0;0.00444;0.00428;0.00016;0.0;0.0
194;18 jaar;2024;414;399;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
195;18 jaar;2025;409;394;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
196;18 jaar;2026;414;399;15;0;0;0.00445;0.00428;0.00016;0.0;0.0
197;18 jaar;2027;415;400;15;0;0;0.00445;0.00428;0.00016;0.0;0.0
198;18 jaar;2028;415;400;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
199;18 jaar;2029;403;388;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
200;18 jaar;2030;395;380;14;0;0;0.00445;0.00429;0.00016;0.0;0.0
201;18 jaar;2031;385;371;14;0;0;0.00445;0.00428;0.00016;0.0;0.0
202;18 jaar;2032;394;380;14;0;0;0.00445;0.00429;0.00016;0.0;0.0
203;18 jaar;2033;400;386;14;0;0;0.00445;0.00429;0.00016;0.0;0.0
204;18 jaar;2034;406;392;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
205;18 jaar;2035;411;396;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
206;18 jaar;2036;415;400;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
207;18 jaar;2037;419;404;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
208;18 jaar;2038;422;407;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
209;18 jaar;2039;424;409;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
210;18 jaar;2040;427;412;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
211;18 jaar;2041;429;414;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
212;18 jaar;2042;431;415;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
213;18 jaar;2043;432;417;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
214;18 jaar;2044;433;418;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
215;18 jaar;2045;434;419;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
216;18 jaar;2046;435;419;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
217;18 jaar;2047;435;420;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
218;18 jaar;2048;435;420;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
219;18 jaar;2049;435;419;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
220;18 jaar;2050;434;418;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
221;18 jaar;2051;432;417;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
222;18 jaar;2052;430;415;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
223;18 jaar;2053;428;413;16;0;0;0.00445;0.00429;0.00016;0.0;0.0
224;18 jaar;2054;426;410;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
225;18 jaar;2055;423;408;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
226;18 jaar;2056;421;405;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
227;18 jaar;2057;418;403;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
228;18 jaar;2058;416;401;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
229;18 jaar;2059;415;400;15;0;0;0.00445;0.00429;0.00016;0.0;0.0
230;19 jaar;2014;864;796;66;1;0;0.00886;0.00817;0.00067;1e-05;0.0
231;19 jaar;2015;874;807;67;0;0;0.00903;0.00833;0.00069;0.0;0.0
232;19 jaar;2016;873;807;64;1;0;0.00886;0.00819;0.00065;1e-05;0.0
233;19 jaar;2017;875;811;64;1;0;0.00864;0.008;0.00063;1e-05;0.0
234;19 jaar;2018;874;812;62;0;0;0.00857;0.00796;0.00061;0.0;0.0
235;19 jaar;2019;923;854;68;0;0;0.00879;0.00814;0.00065;0.0;0.0
236;19 jaar;2020;904;837;67;1;0;0.00878;0.00812;0.00065;1e-05;0.0
237;19 jaar;2021;891;825;65;1;0;0.00873;0.00808;0.00064;1e-05;0.0
238;19 jaar;2022;886;820;65;0;0;0.0087;0.00806;0.00063;0.0;0.0
239;19 jaar;2023;860;797;63;0;0;0.00871;0.00807;0.00064;0.0;0.0
240;19 jaar;2024;837;775;61;0;0;0.00874;0.00809;0.00064;0.0;0.0
241;19 jaar;2025;825;764;60;1;0;0.00873;0.00809;0.00064;1e-05;0.0
242;19 jaar;2026;815;755;60;0;0;0.00872;0.00808;0.00064;0.0;0.0
243;19 jaar;2027;825;764;60;0;0;0.00872;0.00808;0.00064;0.0;0.0
244;19 jaar;2028;827;766;61;0;0;0.00872;0.00808;0.00064;0.0;0.0
245;19 jaar;2029;827;766;61;0;0;0.00873;0.00808;0.00064;0.0;0.0
246;19 jaar;2030;803;744;59;0;0;0.00872;0.00808;0.00064;0.0;0.0
247;19 jaar;2031;787;729;58;0;0;0.00872;0.00808;0.00064;0.0;0.0
248;19 jaar;2032;768;712;56;0;0;0.00872;0.00808;0.00064;0.0;0.0
249;19 jaar;2033;787;729;58;0;0;0.00872;0.00808;0.00064;0.0;0.0
250;19 jaar;2034;799;740;58;0;0;0.00872;0.00808;0.00064;0.0;0.0
251;19 jaar;2035;811;751;59;0;0;0.00872;0.00808;0.00064;0.0;0.0
252;19 jaar;2036;820;759;60;0;0;0.00872;0.00808;0.00064;0.0;0.0
253;19 jaar;2037;828;767;61;0;0;0.00872;0.00808;0.00064;0.0;0.0
254;19 jaar;2038;836;774;61;0;0;0.00872;0.00808;0.00064;0.0;0.0
255;19 jaar;2039;841;779;61;0;0;0.00872;0.00808;0.00064;0.0;0.0
256;19 jaar;2040;846;784;62;0;0;0.00872;0.00808;0.00064;0.0;0.0
257;19 jaar;2041;851;788;62;0;0;0.00872;0.00808;0.00064;0.0;0.0
258;19 jaar;2042;856;793;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
259;19 jaar;2043;859;796;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
260;19 jaar;2044;861;798;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
261;19 jaar;2045;864;800;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
262;19 jaar;2046;865;802;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
263;19 jaar;2047;867;803;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
264;19 jaar;2048;867;803;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
265;19 jaar;2049;867;803;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
266;19 jaar;2050;867;803;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
267;19 jaar;2051;865;801;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
268;19 jaar;2052;862;798;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
269;19 jaar;2053;858;795;63;0;0;0.00872;0.00808;0.00064;0.0;0.0
270;19 jaar;2054;854;791;62;0;0;0.00872;0.00808;0.00064;0.0;0.0
271;19 jaar;2055;849;786;62;0;0;0.00872;0.00808;0.00064;0.0;0.0
272;19 jaar;2056;844;781;62;0;0;0.00872;0.00808;0.00064;0.0;0.0
273;19 jaar;2057;839;777;61;0;0;0.00872;0.00808;0.00064;0.0;0.0
274;19 jaar;2058;834;773;61;0;0;0.00872;0.00808;0.00064;0.0;0.0
275;19 jaar;2059;830;769;61;0;0;0.00872;0.00808;0.00064;0.0;0.0
276;20 jaar;2014;1309;1145;156;7;0;0.01287;0.01126;0.00154;7e-05;0.0
277;20 jaar;2015;1335;1164;166;4;1;0.01342;0.01171;0.00167;4e-05;1e-05
278;20 jaar;2016;1320;1153;167;0;0;0.01336;0.01167;0.00169;0.0;0.0
279;20 jaar;2017;1335;1162;167;6;0;0.01327;0.01155;0.00166;6e-05;0.0
280;20 jaar;2018;1352;1179;170;3;0;0.01309;0.01141;0.00165;3e-05;0.0
281;20 jaar;2019;1372;1201;171;0;0;0.01318;0.01154;0.00164;0.0;0.0
282;20 jaar;2020;1419;1238;178;4;0;0.01327;0.01157;0.00166;4e-05;0.0
283;20 jaar;2021;1388;1212;174;2;0;0.01322;0.01154;0.00166;2e-05;0.0
284;20 jaar;2022;1373;1199;172;2;0;0.01319;0.01152;0.00165;2e-05;0.0
285;20 jaar;2023;1367;1195;171;1;0;0.01318;0.01151;0.00165;1e-05;0.0
286;20 jaar;2024;1329;1162;167;0;0;0.01319;0.01154;0.00165;0.0;0.0
287;20 jaar;2025;1289;1127;162;0;0;0.0132;0.01154;0.00166;0.0;0.0
288;20 jaar;2026;1273;1112;160;1;0;0.0132;0.01153;0.00166;1e-05;0.0
289;20 jaar;2027;1258;1100;158;1;0;0.01319;0.01153;0.00165;1e-05;0.0
290;20 jaar;2028;1274;1113;160;1;0;0.01319;0.01153;0.00165;1e-05;0.0
291;20 jaar;2029;1276;1116;160;1;0;0.01319;0.01153;0.00165;1e-05;0.0
292;20 jaar;2030;1275;1114;160;1;0;0.01319;0.01153;0.00166;1e-05;0.0
293;20 jaar;2031;1240;1084;155;1;0;0.01319;0.01153;0.00165;1e-05;0.0
294;20 jaar;2032;1216;1063;152;1;0;0.01319;0.01153;0.00165;1e-05;0.0
295;20 jaar;2033;1187;1038;149;1;0;0.01319;0.01153;0.00165;1e-05;0.0
