ID;Geslacht;Leeftijd;OpleidingsrichtingEnSector;Herkomstgroepering;Arbeidsmarktpositie;Perioden;TotaalMboGediplomeerdeSchoolverlaters_1;BolVoltijd_2;Bbl_3;Niveau1_4;Niveau2_5;Niveau3_6;Niveau4_7;BolVoltijdNiveau1_8;BolVoltijdNiveau2_9;BolVoltijdNiveau3_10;BolVoltijdNiveau4_11;BblNiveau1_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
21;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Zelfstandigen, totaal;2008/'09;1240;590.0;650;30;250;400;570;10;40;140;400;20;200;260;170
22;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Bijstandsuitkering;2007/'08;790;470.0;320;230;330;100;130;130;170;70;100;100;150;30;30
23;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Bijstandsuitkering;2008/'09;1190;670.0;530;260;530;190;220;120;250;110;180;130;280;70;40
24;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Arbeidsongeschiktheidsuitkering;2007/'08;1650;590.0;1060;830;480;150;180;170;210;80;130;660;270;70;60
25;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Arbeidsongeschiktheidsuitkering;2008/'09;2130;750.0;1380;1050;620;220;250;200;260;130;170;850;360;100;80
26;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Werkloosheidsuitkering;2007/'08;360;50.0;310;40;190;70;60;10;10;10;20;40;180;60;40
27;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Werkloosheidsuitkering;2008/'09;1310;210.0;1100;100;680;340;200;10;50;50;110;90;630;290;90
28;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Overige uitkeringen;2007/'08;390;200.0;190;30;160;90;110;10;60;40;80;20;100;50;30
29;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Overige uitkeringen;2008/'09;510;160.0;350;60;210;130;120;10;40;30;90;50;170;90;30
30;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Meerdere uitkeringen;2007/'08;100;30.0;70;20;40;20;20;10;10;10;10;10;30;10;10
31;Mannen en vrouwen;Totaal leeftijd;0;Totaal herkomstgroepering;Meerdere uitkeringen;2008/'09;150;40.0;110;30;70;30;30;0;10;10;20;30;50;20;10
32;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;0;2007/'08;60000;29700.0;30300;3200;15740;17700;23370;760;5140;7010;16790;2430;10600;10690;6580
33;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;0;2008/'09;61680;28180.0;33490;3190;16490;18410;23580;660;5060;6380;16080;2540;11430;12030;7500
34;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;1;2007/'08;54700;25580.0;29120;2700;14130;16530;21340;480;4050;6160;14890;2220;10080;10370;6450
35;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;1;2008/'09;54880;23290.0;31590;2580;14170;17000;21130;340;3690;5430;13830;2240;10480;11560;7310
36;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;2;2007/'08;2260;810.0;1440;810;780;310;360;150;280;160;230;670;500;150;130
37;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;2;2008/'09;3760;1180.0;2580;1090;1470;640;570;180;400;220;380;910;1070;410;190
38;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;3;2007/'08;53330;25240.0;28090;2120;13720;16360;21130;430;3960;6090;14770;1700;9770;10270;6360
39;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;3;2008/'09;52880;22880.0;30000;1830;13490;16700;20870;280;3580;5350;13670;1550;9910;11340;7200
40;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;4;2007/'08;890;480.0;410;230;370;140;140;90;190;90;110;140;180;60;30
41;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;4;2008/'09;1770;770.0;1000;340;790;340;310;120;280;140;230;220;500;190;80
42;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;5;2007/'08;1370;330.0;1040;580;410;170;210;50;90;70;120;530;320;100;90
43;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;5;2008/'09;2000;410.0;1590;750;680;300;270;60;110;80;160;690;570;220;110
44;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;6;2007/'08;4410;3640.0;770;260;1240;1030;1890;190;900;760;1790;70;330;270;100
45;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;6;2008/'09;5030;4120.0;910;280;1530;1080;2140;200;1080;810;2030;80;450;270;110
46;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;8;2007/'08;54150;25340.0;28820;2700;14000;16320;21140;480;4020;6090;14750;2220;9980;10230;6390
47;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;8;2008/'09;54290;22990.0;31290;2570;14060;16800;20860;340;3680;5360;13620;2230;10390;11440;7240
48;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;9;2007/'08;16200;3510.0;12680;1090;4700;5010;5400;30;340;780;2360;1060;4360;4230;3030
49;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;9;2008/'09;16320;2440.0;13890;1190;4690;5340;5110;20;260;520;1630;1160;4420;4810;3490
50;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Werknemers, deeltijd werkzaam;2007/'08;37960;21820.0;16130;1610;9300;11310;15740;440;3680;5320;12380;1160;5620;6000;3360
51;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Werknemers, deeltijd werkzaam;2008/'09;37960;20550.0;17410;1380;9380;11460;15740;310;3410;4840;11990;1070;5970;6630;3750
52;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Zelfstandigen, totaal;2007/'08;960;400.0;550;10;230;340;370;0;40;120;250;10;200;230;120
53;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Zelfstandigen, totaal;2008/'09;1020;480.0;550;20;190;330;480;0;30;110;330;20;160;220;150
54;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Bijstandsuitkering;2007/'08;290;160.0;130;60;100;50;70;10;60;40;50;50;50;10;20
55;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Bijstandsuitkering;2008/'09;540;310.0;230;80;250;90;130;20;120;60;110;60;130;30;20
56;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Arbeidsongeschiktheidsuitkering;2007/'08;1390;470.0;920;690;420;130;150;120;180;70;110;570;240;60;50
57;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Arbeidsongeschiktheidsuitkering;2008/'09;1810;610.0;1190;890;520;180;210;150;220;110;140;740;310;70;80
58;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Werkloosheidsuitkering;2007/'08;240;40.0;200;20;120;50;40;0;10;10;20;20;110;40;30
59;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Werkloosheidsuitkering;2008/'09;930;130.0;800;50;490;250;130;0;30;30;70;50;460;220;60
60;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Overige uitkeringen;2007/'08;270;130.0;140;20;110;70;80;10;30;30;50;10;70;40;20
61;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Overige uitkeringen;2008/'09;390;110.0;280;50;160;100;80;10;20;20;60;40;140;80;30
62;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Meerdere uitkeringen;2007/'08;70;20.0;50;20;30;10;10;10;10;0;0;10;20;10;10
63;Mannen en vrouwen;Totaal leeftijd;0;Autochtoon;Meerdere uitkeringen;2008/'09;110;30.0;80;20;50;20;20;0;10;0;10;20;40;20;10
64;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;0;2007/'08;14560;8320.0;6240;1780;4830;3270;4680;950;2150;1660;3560;830;2690;1610;1120
65;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;0;2008/'09;15090;7940.0;7150;1480;5080;3760;4780;640;2080;1620;3610;840;3000;2140;1170
66;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;1;2007/'08;11610;5890.0;5720;1140;3800;2800;3870;430;1390;1270;2810;720;2420;1530;1060
67;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;1;2008/'09;11500;5180.0;6330;920;3770;3110;3700;230;1190;1150;2600;690;2580;1960;1100
68;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;2;2007/'08;1030;530.0;500;350;420;120;140;180;190;60;100;170;230;60;40
69;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;2;2008/'09;1520;640.0;890;390;630;260;240;150;210;100;180;240;430;160;60
70;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;3;2007/'08;11200;5730.0;5470;1000;3660;2740;3800;390;1330;1240;2770;610;2320;1500;1040
71;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;3;2008/'09;10930;5000.0;5930;760;3550;3000;3620;210;1140;1110;2540;550;2410;1890;1080
72;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;4;2007/'08;620;380.0;250;210;270;60;80;150;130;30;60;60;140;30;20
73;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;4;2008/'09;950;470.0;490;230;410;150;150;130;160;60;120;110;260;90;40
74;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;5;2007/'08;410;160.0;250;140;150;60;60;30;50;30;40;110;90;30;20
75;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;5;2008/'09;570;170.0;400;160;220;110;90;20;50;40;60;140;170;70;20
76;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;6;2007/'08;2330;2050.0;280;430;760;410;730;380;630;360;690;60;130;50;40
77;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;6;2008/'09;2640;2300.0;340;320;900;500;920;280;730;410;890;50;170;90;30
78;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;8;2007/'08;11530;5850.0;5680;1140;3770;2780;3840;430;1380;1260;2790;720;2390;1520;1050
79;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;8;2008/'09;11390;5110.0;6280;910;3740;3080;3660;230;1180;1130;2570;690;2560;1940;1100
80;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;9;2007/'08;3340;720.0;2620;410;1210;800;920;30;100;170;430;380;1100;630;490
81;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;9;2008/'09;3310;480.0;2830;360;1200;890;860;20;80;100;290;350;1120;790;570
82;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Werknemers, deeltijd werkzaam;2007/'08;8190;5130.0;3060;730;2570;1980;2920;400;1280;1100;2360;330;1290;880;560
83;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Werknemers, deeltijd werkzaam;2008/'09;8080;4630.0;3450;550;2540;2190;2800;210;1100;1040;2280;340;1440;1150;520
84;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Zelfstandigen, totaal;2007/'08;170;70.0;90;10;60;40;60;0;10;20;40;10;40;30;20
85;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Zelfstandigen, totaal;2008/'09;210;110.0;100;10;60;60;80;0;20;20;60;10;40;40;20
86;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Bijstandsuitkering;2007/'08;500;310.0;190;170;230;50;60;120;120;30;50;50;110;20;10
87;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Bijstandsuitkering;2008/'09;660;360.0;300;180;280;100;100;100;130;50;70;80;160;50;20
88;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Arbeidsongeschiktheidsuitkering;2007/'08;260;120.0;140;140;70;20;30;50;40;10;20;90;30;10;10
89;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Arbeidsongeschiktheidsuitkering;2008/'09;320;130.0;190;150;90;40;40;40;40;20;30;110;50;20;10
90;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Werkloosheidsuitkering;2007/'08;130;20.0;110;20;70;20;20;0;0;0;10;20;60;20;10
91;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Werkloosheidsuitkering;2008/'09;380;80.0;300;40;190;90;70;0;20;20;40;40;170;70;30
92;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Overige uitkeringen;2007/'08;120;70.0;40;10;50;20;30;10;30;10;30;10;20;10;0
93;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Overige uitkeringen;2008/'09;120;60.0;70;10;60;30;30;0;20;10;30;10;40;20;10
94;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Meerdere uitkeringen;2007/'08;30;10.0;10;0;10;0;10;0;0;0;10;0;10;0;0
95;Mannen en vrouwen;Totaal leeftijd;0;Allochtoon;Meerdere uitkeringen;2008/'09;40;10.0;30;10;20;10;10;0;0;0;10;10;20;10;0
96;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;0;2007/'08;4660;2260.0;2400;410;1420;1170;1660;120;490;500;1150;290;920;670;510
97;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;0;2008/'09;4890;2170.0;2720;360;1490;1350;1680;80;450;460;1180;280;1040;900;500
98;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;1;2007/'08;3990;1720.0;2260;320;1190;1040;1440;50;330;400;950;270;860;650;490
99;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;1;2008/'09;4030;1550.0;2480;270;1210;1190;1360;30;290;350;880;240;920;840;480
100;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;2;2007/'08;260;100.0;160;90;100;40;40;30;40;20;20;70;60;20;10
101;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;2;2008/'09;400;130.0;270;100;160;70;60;20;40;30;40;80;120;40;20
102;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;3;2007/'08;3860;1690.0;2160;260;1150;1030;1420;50;320;390;940;210;830;640;490
103;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;3;2008/'09;3840;1510.0;2330;210;1140;1150;1330;30;280;330;860;180;860;820;470
104;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;4;2007/'08;130;70.0;60;40;60;20;20;20;30;10;10;10;30;10;10
105;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;4;2008/'09;200;90.0;120;40;90;40;40;20;30;20;30;30;60;20;10
106;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;5;2007/'08;130;30.0;100;60;40;20;20;0;10;10;10;60;30;10;10
107;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;5;2008/'09;190;40.0;150;60;70;40;30;0;10;10;20;60;60;20;10
108;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;6;2007/'08;540;460.0;70;60;170;110;210;50;130;90;190;10;30;20;10
109;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;6;2008/'09;650;530.0;120;50;190;130;290;30;130;90;270;20;60;40;10
110;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;8;2007/'08;3950;1710.0;2250;310;1170;1040;1430;50;320;400;940;270;840;640;490
111;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;8;2008/'09;3990;1520.0;2470;270;1200;1170;1340;30;290;340;860;240;920;830;480
112;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;9;2007/'08;1160;220.0;940;140;380;290;340;0;30;50;140;140;350;240;210
113;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;9;2008/'09;1190;130.0;1060;120;420;340;320;0;10;30;90;120;410;310;220
114;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Werknemers, deeltijd werkzaam;2007/'08;2800;1490.0;1310;170;790;750;1090;50;290;340;800;130;490;410;290
115;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Werknemers, deeltijd werkzaam;2008/'09;2800;1390.0;1410;150;790;840;1020;30;280;320;770;120;510;520;260
116;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Zelfstandigen, totaal;2007/'08;70;30.0;40;0;30;10;20;0;10;10;20;0;20;10;10
117;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Zelfstandigen, totaal;2008/'09;80;40.0;40;0;20;20;30;0;10;10;20;0;20;20;0
118;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Bijstandsuitkering;2007/'08;70;40.0;30;20;30;10;10;10;20;10;10;10;10;0;0
119;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Bijstandsuitkering;2008/'09;110;60.0;50;30;40;20;20;10;20;10;20;20;20;10;10
120;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Arbeidsongeschiktheidsuitkering;2007/'08;110;40.0;80;60;30;10;10;10;10;10;0;50;20;10;10
121;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Arbeidsongeschiktheidsuitkering;2008/'09;140;40.0;100;60;40;20;20;10;10;10;10;50;30;10;0
122;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Werkloosheidsuitkering;2007/'08;40;0.0;30;10;20;10;10;0;0;0;0;10;20;10;0
123;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Werkloosheidsuitkering;2008/'09;100;20.0;90;10;50;20;20;0;0;0;10;10;50;20;10
124;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Overige uitkeringen;2007/'08;40;20.0;20;0;20;10;10;0;10;10;10;0;10;0;0
125;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Overige uitkeringen;2008/'09;30;10.0;20;0;20;10;10;0;0;0;10;0;10;0;0
126;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Meerdere uitkeringen;2007/'08;10;0.0;10;0;0;0;0;0;0;0;0;0;0;0;0
127;Mannen en vrouwen;Totaal leeftijd;0;Westerse allochtoon;Meerdere uitkeringen;2008/'09;20;0.0;10;0;10;0;0;0;0;0;0;0;10;0;0
128;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;0;2007/'08;9910;6060.0;3850;1370;3420;2100;3010;830;1660;1160;2410;540;1760;940;600
129;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;0;2008/'09;10210;5780.0;4430;1120;3590;2400;3100;550;1630;1160;2430;560;1960;1240;670
130;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;1;2007/'08;7620;4170.0;3450;830;2620;1760;2420;380;1060;870;1860;450;1560;880;560
131;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;1;2008/'09;7470;3630.0;3840;650;2560;1920;2340;200;900;800;1730;450;1650;1120;620
132;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;2;2007/'08;770;430.0;340;260;320;80;110;160;150;40;80;100;170;40;30
133;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;2;2008/'09;1130;510.0;620;290;480;180;180;130;170;70;140;160;310;110;40
134;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;3;2007/'08;7350;4040.0;3310;740;2510;1720;2380;350;1010;850;1830;400;1490;870;550
135;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;3;2008/'09;7090;3500.0;3590;550;2410;1850;2290;180;860;780;1680;370;1540;1080;610
136;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;4;2007/'08;490;300.0;190;170;210;50;70;130;110;20;50;40;100;20;20
137;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;4;2008/'09;750;380.0;370;190;330;110;120;110;130;50;90;80;200;70;30
138;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;5;2007/'08;280;130.0;150;90;110;40;40;30;50;20;30;60;70;20;10
139;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;5;2008/'09;380;130.0;250;100;150;70;60;20;40;30;50;80;110;50;10
140;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;6;2007/'08;1790;1590.0;200;370;590;300;520;330;490;270;500;50;100;30;20
141;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;6;2008/'09;1990;1770.0;220;280;710;370;640;240;600;310;620;30;110;50;20
142;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;8;2007/'08;7580;4150.0;3430;830;2600;1740;2410;380;1050;870;1850;450;1550;870;560
143;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;8;2008/'09;7400;3590.0;3820;640;2530;1900;2320;200;890;790;1700;450;1640;1110;620
144;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;9;2007/'08;2180;500.0;1680;270;820;510;580;30;70;110;290;250;750;400;290
145;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;9;2008/'09;2120;350.0;1770;240;780;550;540;20;70;70;200;230;720;480;350
146;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Werknemers, deeltijd werkzaam;2007/'08;5400;3650.0;1750;560;1780;1230;1830;350;980;760;1560;200;800;480;280
147;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Werknemers, deeltijd werkzaam;2008/'09;5280;3240.0;2050;400;1750;1350;1780;180;830;720;1510;220;930;630;270
148;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Zelfstandigen, totaal;2007/'08;100;50.0;50;10;30;30;40;0;10;10;30;0;20;20;10
149;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Zelfstandigen, totaal;2008/'09;140;70.0;70;10;40;40;60;0;10;20;40;0;30;20;20
150;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Bijstandsuitkering;2007/'08;430;270.0;160;150;200;40;50;110;100;20;40;40;90;10;10
151;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Bijstandsuitkering;2008/'09;550;300.0;250;150;240;80;70;90;110;40;60;60;130;40;20
152;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Arbeidsongeschiktheidsuitkering;2007/'08;150;80.0;70;80;40;10;20;40;20;0;20;40;10;10;10
153;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Arbeidsongeschiktheidsuitkering;2008/'09;190;90.0;90;100;50;20;20;40;30;10;20;60;20;10;0
154;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Werkloosheidsuitkering;2007/'08;90;10.0;80;20;50;20;10;0;0;0;0;20;50;10;10
155;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Werkloosheidsuitkering;2008/'09;280;60.0;220;40;130;60;50;0;20;10;30;30;120;50;20
156;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Overige uitkeringen;2007/'08;80;50.0;30;10;30;20;20;10;20;10;20;10;10;10;0
157;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Overige uitkeringen;2008/'09;90;40.0;50;10;40;20;30;0;10;10;20;0;30;10;0
158;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Meerdere uitkeringen;2007/'08;20;10.0;10;0;10;0;10;0;0;0;0;0;10;0;0
159;Mannen en vrouwen;Totaal leeftijd;0;Niet-westerse allochtoon;Meerdere uitkeringen;2008/'09;30;10.0;20;10;10;0;10;0;0;0;10;10;10;0;0
