ID;PersonalCharacteristics;Periods;PercentageOfYoungPeoplLivingAtHome_1;StillLivingWithAtHome1YrFromNow_2;PleasantFamilyAtmosphere_3;FinancialDependency_4;StillAttendingSchool_5;FeelingTooYoungToLiveOnTheirOwn_6;WellBeingLookedAfterAtHome_7;OtherReasons_8;NoLongerLivingAtHome1YrFromNow_9;WorkingStudyingInAnotherTown_10;BecomeIndependent_11;MarriageLivingTogether_12;OtherReasons_13;OfYoungPeopleLivingOnTheirOwn_14;AverageAgeWhenLeavingHome_15;WorkingStudyingInAnotherTown_16;BecomeIndependent_17;MarriageLivingTogether_18;DomesticStrife_19;OtherReasons_20;Always_21;Sometimes_22;Never_23;Always_24;Sometimes_25;Never_26;Always_27;Sometimes_28;Never_29;Always_30;Sometimes_31;Never_32;Always_33;Sometimes_34;Never_35;Always_36;Sometimes_37;Never_38;Always_39;Sometimes_40;Never_41;Yes_42;No_43;ParentsDoNotHaveEnoughMoney_44;ParentsUnwillingToGiveMoreMoney_45;RegularGirlfriendBoyfriend_46;AllowedToSpendTheNightTogether_47;AllowedToTakeSoftDrugs_48;Always_49;Occasionally_50;Never_51;ImportanceOfSchoolStudyAndHomework_52;DealingWithPocketMoneySaving_53;HelpOutByDoingSmallHouseholdJobs_54;PoliticalAndOrReligiousIssues_55;BoyfriendGirlfriend_56;TimeToComeHomeAtNight_57;SmokingAndDrinking_58;Yes_59;Rather_60;No_61;Yes_62;Rather_63;No_64
40;Very high degree of urbanisation;2001;43.0;53.0;;;;;;;47.0;;;;;57.0;20.0;44.0;28.0;17.0;4.0;7.0;55.0;39.0;6.0;6.0;36.0;57.0;16.0;60.0;24.0;58.0;38.0;5.0;33.0;43.0;24.0;25.0;14.0;60.0;79.0;16.0;5.0;87.0;13.0;;;38.0;88.0;15.0;;28.0;72.0;40.0;33.0;53.0;11.0;16.0;37.0;24.0;85.0;12.0;3.0;82.0;13.0;5.0
41;Very high degree of urbanisation;2003;47.0;77.0;15.0;21.0;22.0;16.0;11.0;14.0;23.0;;;;;53.0;22.0;45.0;33.0;12.0;6.0;4.0;62.0;30.0;8.0;10.0;25.0;65.0;16.0;56.0;29.0;56.0;39.0;5.0;26.0;42.0;31.0;24.0;13.0;62.0;79.0;17.0;4.0;89.0;11.0;;;37.0;73.0;14.0;3.0;20.0;77.0;29.0;30.0;49.0;12.0;16.0;37.0;20.0;84.0;16.0;1.0;77.0;17.0;6.0
42;High degree of urbanisation;1997;54.0;72.0;19.0;14.0;25.0;7.0;22.0;14.0;28.0;;;;;46.0;;31.0;23.0;33.0;8.0;5.0;63.0;34.0;3.0;12.0;26.0;62.0;19.0;49.0;32.0;55.0;36.0;9.0;;;;38.0;15.0;46.0;79.0;17.0;4.0;;;;;38.0;71.0;13.0;;;;34.0;30.0;43.0;12.0;17.0;36.0;23.0;;;;;;
43;High degree of urbanisation;2001;55.0;67.0;24.0;7.0;21.0;11.0;25.0;12.0;33.0;21.0;56.0;21.0;1.0;45.0;20.0;30.0;28.0;28.0;10.0;4.0;58.0;35.0;6.0;15.0;29.0;56.0;14.0;59.0;27.0;55.0;39.0;5.0;20.0;54.0;27.0;33.0;16.0;51.0;76.0;19.0;4.0;75.0;25.0;;;39.0;73.0;15.0;1.0;18.0;82.0;37.0;35.0;49.0;13.0;18.0;37.0;23.0;82.0;17.0;1.0;82.0;13.0;5.0
44;High degree of urbanisation;2003;54.0;78.0;15.0;19.0;29.0;10.0;18.0;10.0;22.0;19.0;56.0;23.0;2.0;46.0;22.0;31.0;31.0;27.0;7.0;4.0;64.0;30.0;6.0;14.0;29.0;57.0;17.0;56.0;27.0;55.0;38.0;7.0;22.0;49.0;29.0;29.0;11.0;60.0;75.0;20.0;4.0;77.0;23.0;;;37.0;82.0;18.0;2.0;16.0;82.0;32.0;32.0;43.0;13.0;15.0;33.0;21.0;87.0;12.0;1.0;82.0;14.0;4.0
45;Average degree of urbanisation;1997;64.0;71.0;24.0;14.0;19.0;11.0;21.0;10.0;29.0;32.0;42.0;24.0;2.0;36.0;;18.0;32.0;37.0;9.0;4.0;51.0;45.0;4.0;11.0;30.0;59.0;11.0;58.0;32.0;50.0;42.0;8.0;;;;33.0;16.0;51.0;74.0;24.0;2.0;;;;;37.0;77.0;14.0;;;;30.0;30.0;40.0;13.0;14.0;35.0;18.0;;;;;;
46;Average degree of urbanisation;2001;64.0;70.0;18.0;10.0;24.0;9.0;30.0;9.0;30.0;28.0;40.0;26.0;5.0;36.0;21.0;20.0;34.0;35.0;7.0;3.0;58.0;36.0;6.0;17.0;32.0;51.0;18.0;55.0;27.0;60.0;35.0;4.0;19.0;59.0;22.0;32.0;17.0;50.0;76.0;20.0;3.0;81.0;19.0;;;41.0;77.0;14.0;;20.0;80.0;32.0;30.0;45.0;9.0;14.0;33.0;19.0;84.0;14.0;2.0;82.0;15.0;3.0
47;Average degree of urbanisation;2003;64.0;75.0;17.0;13.0;27.0;11.0;19.0;12.0;25.0;24.0;46.0;27.0;3.0;36.0;22.0;22.0;23.0;40.0;9.0;6.0;59.0;36.0;6.0;11.0;29.0;61.0;14.0;60.0;26.0;56.0;36.0;9.0;26.0;48.0;26.0;29.0;15.0;56.0;72.0;22.0;6.0;74.0;26.0;;;35.0;83.0;16.0;2.0;18.0;79.0;33.0;35.0;48.0;11.0;19.0;38.0;22.0;82.0;17.0;1.0;84.0;12.0;4.0
48;Low degree of urbanisation;1997;62.0;76.0;23.0;8.0;18.0;12.0;26.0;14.0;24.0;33.0;36.0;29.0;2.0;38.0;;17.0;20.0;52.0;7.0;4.0;62.0;33.0;5.0;10.0;29.0;60.0;14.0;55.0;31.0;56.0;35.0;9.0;;;;33.0;14.0;53.0;77.0;18.0;5.0;;;;;46.0;81.0;10.0;;;;29.0;29.0;40.0;13.0;11.0;35.0;20.0;;;;;;
49;Low degree of urbanisation;2001;65.0;75.0;17.0;6.0;22.0;14.0;25.0;17.0;25.0;25.0;33.0;38.0;5.0;35.0;21.0;18.0;26.0;46.0;5.0;5.0;50.0;42.0;8.0;10.0;33.0;56.0;13.0;60.0;26.0;53.0;39.0;8.0;20.0;58.0;21.0;29.0;16.0;55.0;72.0;25.0;2.0;76.0;24.0;;;43.0;79.0;11.0;;19.0;80.0;35.0;29.0;44.0;13.0;12.0;35.0;23.0;83.0;15.0;2.0;82.0;14.0;4.0
50;Low degree of urbanisation;2003;72.0;79.0;16.0;14.0;20.0;13.0;23.0;14.0;21.0;22.0;46.0;26.0;6.0;28.0;23.0;17.0;23.0;46.0;7.0;7.0;59.0;34.0;7.0;15.0;29.0;56.0;13.0;61.0;26.0;56.0;38.0;6.0;22.0;53.0;25.0;31.0;13.0;56.0;73.0;24.0;4.0;83.0;17.0;;;38.0;76.0;14.0;1.0;19.0;80.0;32.0;33.0;43.0;11.0;16.0;34.0;19.0;88.0;11.0;1.0;83.0;12.0;6.0
51;Very low degree of urbanisation;1997;67.0;76.0;15.0;9.0;20.0;6.0;35.0;15.0;24.0;;;;;33.0;;19.0;22.0;51.0;4.0;3.0;54.0;40.0;7.0;12.0;32.0;56.0;11.0;55.0;33.0;51.0;40.0;9.0;;;;38.0;12.0;51.0;73.0;24.0;3.0;;;;;44.0;74.0;8.0;;;;29.0;25.0;38.0;15.0;9.0;31.0;22.0;;;;;;
52;Very low degree of urbanisation;2001;71.0;67.0;14.0;10.0;30.0;6.0;24.0;17.0;33.0;27.0;37.0;30.0;6.0;29.0;21.0;15.0;24.0;48.0;6.0;7.0;60.0;35.0;5.0;15.0;34.0;51.0;17.0;60.0;23.0;54.0;40.0;7.0;21.0;51.0;28.0;35.0;16.0;50.0;75.0;20.0;5.0;83.0;17.0;;;40.0;83.0;14.0;1.0;18.0;81.0;34.0;29.0;41.0;15.0;16.0;30.0;22.0;82.0;17.0;1.0;77.0;21.0;2.0
53;Very low degree of urbanisation;2003;73.0;77.0;13.0;8.0;29.0;15.0;17.0;17.0;23.0;28.0;39.0;32.0;2.0;27.0;23.0;23.0;22.0;44.0;8.0;3.0;57.0;33.0;10.0;15.0;34.0;51.0;14.0;58.0;27.0;57.0;36.0;8.0;22.0;57.0;22.0;37.0;13.0;49.0;72.0;24.0;4.0;81.0;19.0;;;38.0;85.0;12.0;1.0;20.0;79.0;32.0;32.0;43.0;15.0;14.0;33.0;20.0;83.0;16.0;1.0;82.0;14.0;4.0
