ID;StandaardGoederennomenclatuurSGN;Perioden;InNLGeproduceerdEnAfgezet_1;Uitvoer_2;InBuitenlGeproduceerdInNLAfgezet_3
31;1100000  Kolenmijnbouwproducten;Mei       1992;;;102.0
32;1100000  Kolenmijnbouwproducten;Juni      1992;;;103.0
33;1100000  Kolenmijnbouwproducten;Juli      1992;;;103.0
34;1100000  Kolenmijnbouwproducten;Augustus  1992;;;103.0
35;1100000  Kolenmijnbouwproducten;September 1992;;;103.0
36;1100000  Kolenmijnbouwproducten;Oktober   1992;;;102.0
37;1100000  Kolenmijnbouwproducten;November  1992;;;102.0
38;1100000  Kolenmijnbouwproducten;December  1992;;;102.0
39;1100000  Kolenmijnbouwproducten;1993;;;100.0
40;1100000  Kolenmijnbouwproducten;Januari   1993;;;103.0
41;1100000  Kolenmijnbouwproducten;Februari  1993;;;102.0
42;1100000  Kolenmijnbouwproducten;Maart     1993;;;103.0
43;1100000  Kolenmijnbouwproducten;April     1993;;;101.0
44;1100000  Kolenmijnbouwproducten;Mei       1993;;;102.0
45;1100000  Kolenmijnbouwproducten;Juni      1993;;;102.0
46;1100000  Kolenmijnbouwproducten;Juli      1993;;;98.0
47;1100000  Kolenmijnbouwproducten;Augustus  1993;;;97.0
48;1100000  Kolenmijnbouwproducten;September 1993;;;97.0
49;1100000  Kolenmijnbouwproducten;Oktober   1993;;;97.0
50;1100000  Kolenmijnbouwproducten;November  1993;;;98.0
51;1100000  Kolenmijnbouwproducten;December  1993;;;98.0
52;1100000  Kolenmijnbouwproducten;1994;;;98.0
53;1100000  Kolenmijnbouwproducten;Januari   1994;;;98.0
54;1100000  Kolenmijnbouwproducten;Februari  1994;;;98.0
55;1100000  Kolenmijnbouwproducten;Maart     1994;;;99.0
56;1100000  Kolenmijnbouwproducten;April     1994;;;97.0
57;1100000  Kolenmijnbouwproducten;Mei       1994;;;96.0
58;1100000  Kolenmijnbouwproducten;Juni      1994;;;96.0
59;1100000  Kolenmijnbouwproducten;Juli      1994;;;97.0
60;1100000  Kolenmijnbouwproducten;Augustus  1994;;;99.0
61;1100000  Kolenmijnbouwproducten;September 1994;;;99.0
62;1100000  Kolenmijnbouwproducten;Oktober   1994;;;99.0
63;1100000  Kolenmijnbouwproducten;November  1994;;;99.0
64;1100000  Kolenmijnbouwproducten;December  1994;;;98.0
65;1100000  Kolenmijnbouwproducten;1995;;;97.0
66;1100000  Kolenmijnbouwproducten;Januari   1995;;;98.0
67;1100000  Kolenmijnbouwproducten;Februari  1995;;;97.0
68;1100000  Kolenmijnbouwproducten;Maart     1995;;;97.0
69;1100000  Kolenmijnbouwproducten;April     1995;;;95.0
70;1100000  Kolenmijnbouwproducten;Mei       1995;;;96.0
71;1100000  Kolenmijnbouwproducten;Juni      1995;;;96.0
72;1100000  Kolenmijnbouwproducten;Juli      1995;;;96.0
73;1100000  Kolenmijnbouwproducten;Augustus  1995;;;96.0
74;1100000  Kolenmijnbouwproducten;September 1995;;;97.0
75;1100000  Kolenmijnbouwproducten;Oktober   1995;;;98.0
76;1100000  Kolenmijnbouwproducten;November  1995;;;97.0
77;1100000  Kolenmijnbouwproducten;December  1995;;;97.0
78;1100000  Kolenmijnbouwproducten;1996;;;96.0
79;1100000  Kolenmijnbouwproducten;Januari   1996;;;97.0
80;1100000  Kolenmijnbouwproducten;Februari  1996;;;97.0
81;1100000  Kolenmijnbouwproducten;Maart     1996;;;96.0
82;1100000  Kolenmijnbouwproducten;April     1996;;;94.0
83;1100000  Kolenmijnbouwproducten;Mei       1996;;;93.0
84;1100000  Kolenmijnbouwproducten;Juni      1996;;;94.0
85;1100000  Kolenmijnbouwproducten;Juli      1996;;;95.0
86;1100000  Kolenmijnbouwproducten;Augustus  1996;;;96.0
87;1100000  Kolenmijnbouwproducten;September 1996;;;97.0
88;1100000  Kolenmijnbouwproducten;Oktober   1996;;;97.0
89;1100000  Kolenmijnbouwproducten;November  1996;;;98.0
90;1100000  Kolenmijnbouwproducten;December  1996;;;98.0
91;1100000  Kolenmijnbouwproducten;1997;;;99.0
92;1100000  Kolenmijnbouwproducten;Januari   1997;;;99.0
93;1100000  Kolenmijnbouwproducten;Februari  1997;;;99.0
94;1100000  Kolenmijnbouwproducten;Maart     1997;;;99.0
95;1100000  Kolenmijnbouwproducten;April     1997;;;97.0
96;1100000  Kolenmijnbouwproducten;Mei       1997;;;97.0
97;1100000  Kolenmijnbouwproducten;Juni      1997;;;98.0
98;1100000  Kolenmijnbouwproducten;Juli      1997;;;99.0
99;1100000  Kolenmijnbouwproducten;Augustus  1997;;;100.0
100;1100000  Kolenmijnbouwproducten;September 1997;;;100.0
101;1100000  Kolenmijnbouwproducten;Oktober   1997;;;101.0
102;1100000  Kolenmijnbouwproducten;November  1997;;;101.0
103;1100000  Kolenmijnbouwproducten;December  1997;;;102.0
104;1100000  Kolenmijnbouwproducten;1998;;;102.0
105;1100000  Kolenmijnbouwproducten;Januari   1998;;;105.0
106;1100000  Kolenmijnbouwproducten;Februari  1998;;;104.0
107;1100000  Kolenmijnbouwproducten;Maart  1998;;;103.0
108;1100000  Kolenmijnbouwproducten;April  1998;;;102.0
109;1100000  Kolenmijnbouwproducten;Mei 1998;;;102.0
110;1100000  Kolenmijnbouwproducten;Juni 1998;;;103.0
111;1100000  Kolenmijnbouwproducten;Juli 1998;;;101.0
112;1100000  Kolenmijnbouwproducten;Augustus 1998;;;104.0
113;1100000  Kolenmijnbouwproducten;September 1998;;;101.0
114;1100000  Kolenmijnbouwproducten;Oktober 1998;;;104.0
115;1100000  Kolenmijnbouwproducten;November 1998;;;100.0
116;1100000  Kolenmijnbouwproducten;December 1998;;;98.0
117;1200000  Aardgas en ruwe aardolie;1990;100.0;100.0;100.0
118;1200000  Aardgas en ruwe aardolie;Januari   1990;103.0;95.0;96.0
119;1200000  Aardgas en ruwe aardolie;Februari  1990;102.0;99.0;93.0
120;1200000  Aardgas en ruwe aardolie;Maart     1990;101.0;99.0;84.0
121;1200000  Aardgas en ruwe aardolie;April     1990;101.0;104.0;77.0
122;1200000  Aardgas en ruwe aardolie;Mei       1990;101.0;106.0;70.0
123;1200000  Aardgas en ruwe aardolie;Juni      1990;101.0;112.0;66.0
124;1200000  Aardgas en ruwe aardolie;Juli      1990;95.0;107.0;74.0
125;1200000  Aardgas en ruwe aardolie;Augustus  1990;98.0;108.0;109.0
126;1200000  Aardgas en ruwe aardolie;September 1990;100.0;93.0;134.0
127;1200000  Aardgas en ruwe aardolie;Oktober   1990;101.0;91.0;151.0
128;1200000  Aardgas en ruwe aardolie;November  1990;99.0;92.0;131.0
129;1200000  Aardgas en ruwe aardolie;December  1990;99.0;95.0;115.0
130;1200000  Aardgas en ruwe aardolie;1991;105.0;116.0;89.0
131;1200000  Aardgas en ruwe aardolie;Januari   1991;111.0;105.0;95.0
132;1200000  Aardgas en ruwe aardolie;Februari  1991;109.0;112.0;81.0
133;1200000  Aardgas en ruwe aardolie;Maart     1991;108.0;118.0;81.0
134;1200000  Aardgas en ruwe aardolie;April     1991;107.0;126.0;87.0
135;1200000  Aardgas en ruwe aardolie;Mei       1991;107.0;129.0;87.0
136;1200000  Aardgas en ruwe aardolie;Juni      1991;107.0;131.0;88.0
137;1200000  Aardgas en ruwe aardolie;Juli      1991;102.0;121.0;92.0
138;1200000  Aardgas en ruwe aardolie;Augustus  1991;102.0;124.0;91.0
139;1200000  Aardgas en ruwe aardolie;September 1991;102.0;126.0;93.0
140;1200000  Aardgas en ruwe aardolie;Oktober   1991;101.0;106.0;99.0
141;1200000  Aardgas en ruwe aardolie;November  1991;101.0;96.0;92.0
142;1200000  Aardgas en ruwe aardolie;December  1991;100.0;93.0;77.0
143;1200000  Aardgas en ruwe aardolie;1992;99.0;97.0;83.0
144;1200000  Aardgas en ruwe aardolie;Januari   1992;100.0;95.0;78.0
145;1200000  Aardgas en ruwe aardolie;Februari  1992;100.0;95.0;78.0
146;1200000  Aardgas en ruwe aardolie;Maart     1992;100.0;94.0;79.0
147;1200000  Aardgas en ruwe aardolie;April     1992;99.0;95.0;85.0
148;1200000  Aardgas en ruwe aardolie;Mei       1992;99.0;97.0;90.0
149;1200000  Aardgas en ruwe aardolie;Juni      1992;100.0;107.0;90.0
150;1200000  Aardgas en ruwe aardolie;Juli      1992;97.0;110.0;83.0
151;1200000  Aardgas en ruwe aardolie;Augustus  1992;97.0;113.0;80.0
152;1200000  Aardgas en ruwe aardolie;September 1992;97.0;102.0;82.0
153;1200000  Aardgas en ruwe aardolie;Oktober   1992;98.0;87.0;83.0
154;1200000  Aardgas en ruwe aardolie;November  1992;98.0;86.0;84.0
155;1200000  Aardgas en ruwe aardolie;December  1992;98.0;87.0;79.0
156;1200000  Aardgas en ruwe aardolie;1993;91.0;94.0;76.0
157;1200000  Aardgas en ruwe aardolie;Januari   1993;90.0;85.0;78.0
158;1200000  Aardgas en ruwe aardolie;Februari  1993;91.0;85.0;83.0
159;1200000  Aardgas en ruwe aardolie;Maart     1993;91.0;90.0;82.0
160;1200000  Aardgas en ruwe aardolie;April     1993;91.0;91.0;80.0
161;1200000  Aardgas en ruwe aardolie;Mei       1993;91.0;99.0;80.0
162;1200000  Aardgas en ruwe aardolie;Juni      1993;91.0;106.0;77.0
163;1200000  Aardgas en ruwe aardolie;Juli      1993;91.0;113.0;77.0
164;1200000  Aardgas en ruwe aardolie;Augustus  1993;91.0;111.0;77.0
165;1200000  Aardgas en ruwe aardolie;September 1993;91.0;94.0;71.0
166;1200000  Aardgas en ruwe aardolie;Oktober   1993;90.0;88.0;73.0
167;1200000  Aardgas en ruwe aardolie;November  1993;89.0;84.0;70.0
168;1200000  Aardgas en ruwe aardolie;December  1993;89.0;83.0;65.0
169;1200000  Aardgas en ruwe aardolie;1994;91.0;89.0;71.0
170;1200000  Aardgas en ruwe aardolie;Januari   1994;90.0;82.0;66.0
171;1200000  Aardgas en ruwe aardolie;Februari  1994;89.0;82.0;66.0
172;1200000  Aardgas en ruwe aardolie;Maart     1994;89.0;85.0;65.0
173;1200000  Aardgas en ruwe aardolie;April     1994;90.0;86.0;70.0
174;1200000  Aardgas en ruwe aardolie;Mei       1994;90.0;96.0;74.0
175;1200000  Aardgas en ruwe aardolie;Juni      1994;90.0;103.0;76.0
176;1200000  Aardgas en ruwe aardolie;Juli      1994;92.0;107.0;75.0
177;1200000  Aardgas en ruwe aardolie;Augustus  1994;91.0;105.0;73.0
178;1200000  Aardgas en ruwe aardolie;September 1994;91.0;89.0;70.0
179;1200000  Aardgas en ruwe aardolie;Oktober   1994;91.0;78.0;71.0
180;1200000  Aardgas en ruwe aardolie;November  1994;92.0;81.0;73.0
181;1200000  Aardgas en ruwe aardolie;December  1994;91.0;76.0;71.0
182;1200000  Aardgas en ruwe aardolie;1995;94.0;93.0;68.0
183;1200000  Aardgas en ruwe aardolie;Januari   1995;94.0;80.0;70.0
184;1200000  Aardgas en ruwe aardolie;Februari  1995;94.0;84.0;71.0
185;1200000  Aardgas en ruwe aardolie;Maart     1995;94.0;81.0;67.0
186;1200000  Aardgas en ruwe aardolie;April     1995;96.0;91.0;72.0
187;1200000  Aardgas en ruwe aardolie;Mei       1995;96.0;95.0;73.0
188;1200000  Aardgas en ruwe aardolie;Juni      1995;96.0;101.0;69.0
189;1200000  Aardgas en ruwe aardolie;Juli      1995;95.0;118.0;64.0
190;1200000  Aardgas en ruwe aardolie;Augustus  1995;95.0;119.0;65.0
191;1200000  Aardgas en ruwe aardolie;September 1995;95.0;97.0;67.0
192;1200000  Aardgas en ruwe aardolie;Oktober   1995;92.0;89.0;64.0
193;1200000  Aardgas en ruwe aardolie;November  1995;92.0;81.0;66.0
194;1200000  Aardgas en ruwe aardolie;December  1995;92.0;80.0;72.0
195;1200000  Aardgas en ruwe aardolie;1996;98.0;100.0;87.0
196;1200000  Aardgas en ruwe aardolie;Januari   1996;93.0;80.0;74.0
197;1200000  Aardgas en ruwe aardolie;Februari  1996;93.0;81.0;73.0
198;1200000  Aardgas en ruwe aardolie;Maart     1996;94.0;83.0;82.0
199;1200000  Aardgas en ruwe aardolie;April     1996;98.0;93.0;88.0
200;1200000  Aardgas en ruwe aardolie;Mei       1996;97.0;100.0;83.0
201;1200000  Aardgas en ruwe aardolie;Juni      1996;97.0;108.0;80.0
202;1200000  Aardgas en ruwe aardolie;Juli      1996;99.0;113.0;83.0
203;1200000  Aardgas en ruwe aardolie;Augustus  1996;100.0;118.0;85.0
204;1200000  Aardgas en ruwe aardolie;September 1996;100.0;112.0;93.0
205;1200000  Aardgas en ruwe aardolie;Oktober   1996;101.0;107.0;102.0
206;1200000  Aardgas en ruwe aardolie;November  1996;100.0;107.0;96.0
207;1200000  Aardgas en ruwe aardolie;December  1996;101.0;103.0;102.0
208;1200000  Aardgas en ruwe aardolie;1997;103.0;117.0;92.0
209;1200000  Aardgas en ruwe aardolie;Januari   1997;104.0;107.0;104.0
210;1200000  Aardgas en ruwe aardolie;Februari  1997;104.0;110.0;97.0
211;1200000  Aardgas en ruwe aardolie;Maart     1997;103.0;115.0;90.0
212;1200000  Aardgas en ruwe aardolie;April     1997;104.0;117.0;84.0
213;1200000  Aardgas en ruwe aardolie;Mei       1997;105.0;125.0;89.0
214;1200000  Aardgas en ruwe aardolie;Juni      1997;104.0;129.0;86.0
215;1200000  Aardgas en ruwe aardolie;Juli      1997;102.0;128.0;92.0
216;1200000  Aardgas en ruwe aardolie;Augustus  1997;102.0;129.0;95.0
217;1200000  Aardgas en ruwe aardolie;September 1997;102.0;123.0;90.0
218;1200000  Aardgas en ruwe aardolie;Oktober   1997;102.0;112.0;97.0
219;1200000  Aardgas en ruwe aardolie;November  1997;102.0;102.0;92.0
220;1200000  Aardgas en ruwe aardolie;December  1997;101.0;104.0;85.0
221;1200000  Aardgas en ruwe aardolie;1998;98.0;104.0;63.0
222;1200000  Aardgas en ruwe aardolie;Januari   1998;103.0;106.0;79.0
223;1200000  Aardgas en ruwe aardolie;Februari  1998;103.0;108.0;72.0
224;1200000  Aardgas en ruwe aardolie;Maart  1998;103.0;109.0;68.0
225;1200000  Aardgas en ruwe aardolie;April  1998;100.0;112.0;69.0
226;1200000  Aardgas en ruwe aardolie;Mei 1998;100.0;117.0;71.0
227;1200000  Aardgas en ruwe aardolie;Juni 1998;99.0;124.0;60.0
228;1200000  Aardgas en ruwe aardolie;Juli 1998;95.0;111.0;60.0
229;1200000  Aardgas en ruwe aardolie;Augustus 1998;95.0;114.0;58.0
230;1200000  Aardgas en ruwe aardolie;September 1998;95.0;106.0;60.0
231;1200000  Aardgas en ruwe aardolie;Oktober 1998;93.0;88.0;58.0
232;1200000  Aardgas en ruwe aardolie;November 1998;93.0;78.0;52.0
233;1200000  Aardgas en ruwe aardolie;December 1998;92.0;74.0;45.0
234;1201000  Aardgas;1990;100.0;100.0;100.0
235;1201000  Aardgas;Januari   1990;103.0;95.0;93.0
236;1201000  Aardgas;Februari  1990;103.0;99.0;104.0
237;1201000  Aardgas;Maart     1990;103.0;99.0;86.0
238;1201000  Aardgas;April     1990;103.0;104.0;106.0
239;1201000  Aardgas;Mei       1990;103.0;106.0;106.0
240;1201000  Aardgas;Juni      1990;103.0;112.0;107.0
241;1201000  Aardgas;Juli      1990;97.0;107.0;102.0
242;1201000  Aardgas;Augustus  1990;97.0;108.0;101.0
243;1201000  Aardgas;September 1990;97.0;93.0;102.0
244;1201000  Aardgas;Oktober   1990;97.0;91.0;97.0
245;1201000  Aardgas;November  1990;97.0;92.0;97.0
246;1201000  Aardgas;December  1990;97.0;95.0;99.0
247;1201000  Aardgas;1991;106.0;116.0;116.0
248;1201000  Aardgas;Januari   1991;112.0;105.0;110.0
249;1201000  Aardgas;Februari  1991;112.0;112.0;111.0
250;1201000  Aardgas;Maart     1991;111.0;118.0;113.0
251;1201000  Aardgas;April     1991;109.0;126.0;123.0
252;1201000  Aardgas;Mei       1991;109.0;129.0;121.0
253;1201000  Aardgas;Juni      1991;109.0;131.0;124.0
254;1201000  Aardgas;Juli      1991;103.0;121.0;118.0
255;1201000  Aardgas;Augustus  1991;103.0;124.0;118.0
256;1201000  Aardgas;September 1991;103.0;126.0;118.0
257;1201000  Aardgas;Oktober   1991;101.0;106.0;116.0
258;1201000  Aardgas;November  1991;101.0;96.0;113.0
259;1201000  Aardgas;December  1991;101.0;93.0;113.0
260;1201000  Aardgas;1992;100.0;97.0;104.0
261;1201000  Aardgas;Januari   1992;102.0;95.0;109.0
262;1201000  Aardgas;Februari  1992;102.0;95.0;111.0
263;1201000  Aardgas;Maart     1992;102.0;94.0;111.0
264;1201000  Aardgas;April     1992;100.0;95.0;106.0
265;1201000  Aardgas;Mei       1992;100.0;97.0;106.0
266;1201000  Aardgas;Juni      1992;100.0;107.0;106.0
267;1201000  Aardgas;Juli      1992;99.0;110.0;103.0
268;1201000  Aardgas;Augustus  1992;99.0;113.0;102.0
269;1201000  Aardgas;September 1992;99.0;102.0;102.0
270;1201000  Aardgas;Oktober   1992;100.0;86.0;98.0
271;1201000  Aardgas;November  1992;100.0;85.0;95.0
272;1201000  Aardgas;December  1992;100.0;87.0;96.0
273;1201000  Aardgas;1993;92.0;94.0;90.0
274;1201000  Aardgas;Januari   1993;91.0;85.0;95.0
275;1201000  Aardgas;Februari  1993;91.0;85.0;101.0
276;1201000  Aardgas;Maart     1993;91.0;90.0;102.0
277;1201000  Aardgas;April     1993;92.0;90.0;99.0
278;1201000  Aardgas;Mei       1993;92.0;98.0;97.0
279;1201000  Aardgas;Juni      1993;92.0;107.0;88.0
280;1201000  Aardgas;Juli      1993;93.0;114.0;80.0
281;1201000  Aardgas;Augustus  1993;93.0;112.0;84.0
282;1201000  Aardgas;September 1993;93.0;94.0;81.0
283;1201000  Aardgas;Oktober   1993;92.0;88.0;82.0
284;1201000  Aardgas;November  1993;92.0;84.0;83.0
285;1201000  Aardgas;December  1993;92.0;83.0;84.0
286;1201000  Aardgas;1994;92.0;89.0;78.0
287;1201000  Aardgas;Januari   1994;92.0;82.0;81.0
288;1201000  Aardgas;Februari  1994;92.0;82.0;82.0
289;1201000  Aardgas;Maart     1994;92.0;86.0;82.0
290;1201000  Aardgas;April     1994;91.0;86.0;80.0
291;1201000  Aardgas;Mei       1994;91.0;96.0;73.0
292;1201000  Aardgas;Juni      1994;91.0;104.0;78.0
293;1201000  Aardgas;Juli      1994;93.0;107.0;78.0
294;1201000  Aardgas;Augustus  1994;93.0;106.0;78.0
295;1201000  Aardgas;September 1994;93.0;89.0;79.0
296;1201000  Aardgas;Oktober   1994;93.0;77.0;73.0
297;1201000  Aardgas;November  1994;93.0;80.0;71.0
298;1201000  Aardgas;December  1994;93.0;75.0;77.0
299;1201000  Aardgas;1995;96.0;93.0;80.0
300;1201000  Aardgas;Januari   1995;96.0;79.0;85.0
301;1201000  Aardgas;Februari  1995;96.0;83.0;79.0
302;1201000  Aardgas;Maart     1995;96.0;81.0;78.0
303;1201000  Aardgas;April     1995;98.0;90.0;79.0
304;1201000  Aardgas;Mei       1995;98.0;95.0;81.0
305;1201000  Aardgas;Juni      1995;98.0;101.0;80.0
306;1201000  Aardgas;Juli      1995;97.0;120.0;81.0
307;1201000  Aardgas;Augustus  1995;97.0;121.0;81.0
308;1201000  Aardgas;September 1995;97.0;98.0;81.0
309;1201000  Aardgas;Oktober   1995;93.0;89.0;78.0
310;1201000  Aardgas;November  1995;93.0;81.0;77.0
311;1201000  Aardgas;December  1995;93.0;79.0;78.0
312;1201000  Aardgas;1996;98.0;100.0;85.0
313;1201000  Aardgas;Januari   1996;94.0;79.0;78.0
314;1201000  Aardgas;Februari  1996;94.0;80.0;78.0
315;1201000  Aardgas;Maart     1996;94.0;82.0;77.0
316;1201000  Aardgas;April     1996;98.0;92.0;82.0
317;1201000  Aardgas;Mei       1996;98.0;99.0;83.0
318;1201000  Aardgas;Juni      1996;98.0;108.0;83.0
319;1201000  Aardgas;Juli      1996;100.0;114.0;87.0
320;1201000  Aardgas;Augustus  1996;100.0;119.0;89.0
321;1201000  Aardgas;September 1996;100.0;112.0;87.0
322;1201000  Aardgas;Oktober   1996;100.0;105.0;92.0
323;1201000  Aardgas;November  1996;100.0;105.0;92.0
324;1201000  Aardgas;December  1996;100.0;102.0;92.0
325;1201000  Aardgas;1997;103.0;116.0;102.0
326;1201000  Aardgas;Januari   1997;103.0;105.0;99.0
327;1201000  Aardgas;Februari  1997;103.0;109.0;101.0
328;1201000  Aardgas;Maart     1997;103.0;114.0;102.0
329;1201000  Aardgas;April     1997;105.0;116.0;105.0
330;1201000  Aardgas;Mei       1997;105.0;125.0;102.0
331;1201000  Aardgas;Juni      1997;105.0;129.0;107.0
332;1201000  Aardgas;Juli      1997;102.0;129.0;101.0
333;1201000  Aardgas;Augustus  1997;102.0;130.0;107.0
334;1201000  Aardgas;September 1997;102.0;123.0;107.0
335;1201000  Aardgas;Oktober   1997;102.0;111.0;99.0
336;1201000  Aardgas;November  1997;102.0;101.0;98.0
337;1201000  Aardgas;December  1997;102.0;103.0;101.0
338;1201000  Aardgas;1998;100.0;105.0;99.0
339;1201000  Aardgas;Januari   1998;105.0;106.0;104.0
340;1201000  Aardgas;Februari  1998;105.0;109.0;104.0
341;1201000  Aardgas;Maart  1998;105.0;110.0;104.0
342;1201000  Aardgas;April  1998;102.0;114.0;105.0
343;1201000  Aardgas;Mei 1998;102.0;118.0;101.0
344;1201000  Aardgas;Juni 1998;102.0;126.0;105.0
345;1201000  Aardgas;Juli 1998;97.0;112.0;98.0
346;1201000  Aardgas;Augustus 1998;97.0;116.0;102.0
347;1201000  Aardgas;September 1998;97.0;107.0;91.0
348;1201000  Aardgas;Oktober 1998;95.0;88.0;93.0
349;1201000  Aardgas;November 1998;95.0;78.0;92.0
350;1201000  Aardgas;December 1998;95.0;75.0;91.0
351;1203000  Ruwe aardolie;1990;100.0;;100.0
352;1203000  Ruwe aardolie;Januari   1990;104.0;;96.0
353;1203000  Ruwe aardolie;Februari  1990;94.0;;93.0
354;1203000  Ruwe aardolie;Maart     1990;84.0;;84.0
355;1203000  Ruwe aardolie;April     1990;74.0;;76.0
356;1203000  Ruwe aardolie;Mei       1990;72.0;;69.0
357;1203000  Ruwe aardolie;Juni      1990;66.0;;64.0
358;1203000  Ruwe aardolie;Juli      1990;72.0;;73.0
359;1203000  Ruwe aardolie;Augustus  1990;108.0;;109.0
360;1203000  Ruwe aardolie;September 1990;129.0;;135.0
361;1203000  Ruwe aardolie;Oktober   1990;147.0;;153.0
362;1203000  Ruwe aardolie;November  1990;131.0;;132.0
363;1203000  Ruwe aardolie;December  1990;119.0;;116.0
364;1203000  Ruwe aardolie;1991;85.0;;88.0
365;1203000  Ruwe aardolie;Januari   1991;97.0;;95.0
366;1203000  Ruwe aardolie;Februari  1991;67.0;;80.0
367;1203000  Ruwe aardolie;Maart     1991;78.0;;80.0
368;1203000  Ruwe aardolie;April     1991;81.0;;86.0
369;1203000  Ruwe aardolie;Mei       1991;81.0;;86.0
370;1203000  Ruwe aardolie;Juni      1991;79.0;;87.0
371;1203000  Ruwe aardolie;Juli      1991;85.0;;91.0
372;1203000  Ruwe aardolie;Augustus  1991;86.0;;90.0
373;1203000  Ruwe aardolie;September 1991;91.0;;92.0
374;1203000  Ruwe aardolie;Oktober   1991;97.0;;98.0
375;1203000  Ruwe aardolie;November  1991;94.0;;91.0
376;1203000  Ruwe aardolie;December  1991;81.0;;76.0
377;1203000  Ruwe aardolie;1992;81.0;;81.0
378;1203000  Ruwe aardolie;Januari   1992;75.0;;76.0
379;1203000  Ruwe aardolie;Februari  1992;77.0;;76.0
380;1203000  Ruwe aardolie;Maart     1992;77.0;;78.0
381;1203000  Ruwe aardolie;April     1992;83.0;;83.0
382;1203000  Ruwe aardolie;Mei       1992;87.0;;88.0
383;1203000  Ruwe aardolie;Juni      1992;89.0;;88.0
384;1203000  Ruwe aardolie;Juli      1992;81.0;;81.0
385;1203000  Ruwe aardolie;Augustus  1992;79.0;;78.0
386;1203000  Ruwe aardolie;September 1992;79.0;;80.0
387;1203000  Ruwe aardolie;Oktober   1992;83.0;;82.0
388;1203000  Ruwe aardolie;November  1992;83.0;;83.0
389;1203000  Ruwe aardolie;December  1992;75.0;;78.0
390;1203000  Ruwe aardolie;1993;74.0;;75.0
391;1203000  Ruwe aardolie;Januari   1993;74.0;;76.0
392;1203000  Ruwe aardolie;Februari  1993;82.0;;81.0
393;1203000  Ruwe aardolie;Maart     1993;84.0;;80.0
394;1203000  Ruwe aardolie;April     1993;81.0;;78.0
395;1203000  Ruwe aardolie;Mei       1993;80.0;;78.0
396;1203000  Ruwe aardolie;Juni      1993;78.0;;76.0
397;1203000  Ruwe aardolie;Juli      1993;77.0;;75.0
398;1203000  Ruwe aardolie;Augustus  1993;75.0;;75.0
399;1203000  Ruwe aardolie;September 1993;67.0;;70.0
400;1203000  Ruwe aardolie;Oktober   1993;71.0;;71.0
401;1203000  Ruwe aardolie;November  1993;62.0;;69.0
402;1203000  Ruwe aardolie;December  1993;58.0;;64.0
403;1203000  Ruwe aardolie;1994;69.0;;70.0
404;1203000  Ruwe aardolie;Januari   1994;61.0;;65.0
405;1203000  Ruwe aardolie;Februari  1994;59.0;;64.0
406;1203000  Ruwe aardolie;Maart     1994;58.0;;64.0
407;1203000  Ruwe aardolie;April     1994;64.0;;69.0
408;1203000  Ruwe aardolie;Mei       1994;69.0;;74.0
409;1203000  Ruwe aardolie;Juni      1994;73.0;;75.0
410;1203000  Ruwe aardolie;Juli      1994;77.0;;74.0
411;1203000  Ruwe aardolie;Augustus  1994;74.0;;72.0
412;1203000  Ruwe aardolie;September 1994;71.0;;69.0
