ID;RegioS;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalProcesafhankelijkAfval_2;OrganischAfval_3;AnorganischAfval_4;Slibafval_5;GevaarlijkAfval_6;OverigAfval_7;GemengdAangeboden_8;TotaalProcesonafhankelijkAfval_9;OrganischAfval_10;AnorganischAfval_11;OverigAfval_12;GemengdAangeboden_13;Hergebruik_14;Eindverwerking_15
21;Groningen;1998;702;654;428;104;94;1;12;15;46;7;5;19;15;326;376
22;Groningen;2000;1505;1481;618;648;149;2;48;16;24;7;3;3;11;1321;184
23;Groningen;2002;1470;1440;520;682;165;2;55;15;31;14;8;1;8;1255;216
24;Friesland;1996;231;194;89;48;46;0;0;12;37;9;13;0;15;167;64
25;Friesland;1998;254;226;122;60;13;0;0;29;28;13;2;1;12;172;83
26;Friesland;2000;387;361;157;133;54;2;5;10;32;12;10;0;10;303;84
27;Friesland;2002;327;287;125;98;50;0;0;13;40;14;14;0;12;227;100
28;Drenthe;1996;473;350;88;54;28;2;0;177;123;8;102;1;12;226;247
29;Drenthe;1998;354;204;38;97;42;4;11;13;151;8;21;110;12;264;91
30;Drenthe;2000;319;260;139;75;16;9;11;10;59;7;3;41;8;227;92
31;Drenthe;2002;388;334;126;137;53;1;7;10;54;12;34;0;8;227;161
32;Overijssel;1996;396;343;177;89;44;0;0;34;53;15;7;6;24;287;109
33;Overijssel;1998;477;422;175;111;89;0;0;47;55;21;8;2;25;342;135
34;Overijssel;2000;631;576;302;143;76;0;0;55;56;23;6;7;20;474;157
35;Overijssel;2002;672;611;307;167;56;2;23;56;61;26;14;1;19;424;247
36;Flevoland;1996;70;63;49;4;9;0;0;1;6;2;0;0;3;60;10
37;Flevoland;1998;59;48;39;3;5;0;0;1;11;6;0;0;4;52;6
38;Flevoland;2000;122;107;66;21;12;0;0;7;15;11;1;0;3;106;16
39;Flevoland;2002;232;219;128;54;27;0;0;10;13;8;2;0;4;212;20
40;Gelderland;1996;1604;1515;722;357;376;0;0;60;89;31;8;1;49;1211;393
41;Gelderland;1998;1633;1529;628;478;275;0;55;90;104;40;15;2;45;1220;412
42;Gelderland;2000;1785;1679;549;648;317;3;58;104;106;45;10;12;39;1248;537
43;Gelderland;2002;1860;1759;675;583;350;3;60;87;101;50;19;2;30;1238;622
44;Utrecht;1996;356;288;109;53;12;0;0;113;68;27;20;1;20;194;162
45;Utrecht;1998;462;418;60;80;226;1;0;52;44;15;8;0;20;167;296
46;Utrecht;2000;1010;967;552;103;269;5;0;36;43;16;3;10;14;671;339
47;Utrecht;2002;527;476;156;96;178;0;12;33;52;20;3;18;11;257;270
48;Noord-Holland;1996;899;740;250;376;28;17;0;68;159;27;20;69;41;589;310
49;Noord-Holland;1998;1253;918;240;424;66;32;0;155;335;23;95;144;73;971;280
50;Noord-Holland;2000;4484;4353;1705;2252;161;48;0;187;132;27;77;1;26;4220;264
51;Noord-Holland;2002;4597;4486;1958;2322;101;2;29;75;111;47;25;10;29;4370;227
52;Zuid-Holland;1996;1711;1521;471;831;69;65;0;85;190;55;52;17;66;1306;405
53;Zuid-Holland;1998;1889;1711;613;798;136;84;0;79;178;42;46;19;70;1303;586
54;Zuid-Holland;2000;4429;4264;2470;1119;138;459;4;75;147;41;29;36;39;4007;417
55;Zuid-Holland;2002;4194;4043;2337;1061;150;391;24;81;151;42;72;4;33;3758;436
56;Zeeland;1996;394;372;85;195;21;69;0;3;22;6;6;1;10;299;95
57;Zeeland;1998;364;333;69;165;24;70;0;5;31;6;15;2;9;235;129
58;Zeeland;2000;1337;1291;321;878;40;38;0;15;46;9;15;14;8;1265;72
59;Zeeland;2002;1221;1145;144;916;43;32;0;10;76;23;42;1;10;1160;60
60;Noord-Brabant;1996;2432;2261;1256;545;156;199;0;104;172;58;27;11;76;1692;740
61;Noord-Brabant;1998;2726;2550;1219;795;246;216;3;74;175;82;22;3;67;1950;776
62;Noord-Brabant;2000;3570;3409;1604;1372;235;87;4;108;169;74;22;12;62;3040;530
63;Noord-Brabant;2002;3544;3386;1468;1387;365;12;11;143;158;84;25;1;49;3037;508
64;Limburg;1996;1089;1008;280;369;244;33;0;81;81;25;14;5;36;667;422
65;Limburg;1998;1011;882;285;289;203;6;34;66;129;33;8;54;35;775;236
66;Limburg;2000;1063;960;269;392;202;7;36;55;103;40;13;24;26;860;203
67;Limburg;2002;1261;1162;374;515;203;4;35;32;99;39;38;0;22;991;270
