ID;RegioS;Perioden;TotaalJeugdreclasseringstrajecten_1;TotaalBegonnenTrajecten_2;TotaalBeeindigdeTrajecten_3;k_0Tot3Maanden_4;k_3Tot6Maanden_5;k_6Tot12Maanden_6;k_1Tot2Jaar_7;k_2JaarOfLanger_8;BeeindigingVolgensPlan_9;TussentijdseOpheffing_10;OvergangNaarVolwassenReclassering_11;Terugmelding_12;NaderBesluitRechter_13;OverlijdenJeugdige_14;TotaalToezEnBegelGedwongenKader_15;TotaalBegonnenTrajecten_16;TotaalBeeindigdeTrajecten_17;k_0Tot3Maanden_18;k_3Tot6Maanden_19;k_6Tot12Maanden_20;k_1Tot2Jaar_21;k_2JaarOfLanger_22;BeeindigingVolgensPlan_23;TussentijdseOpheffing_24;OvergangNaarVolwassenReclassering_25;Terugmelding_26;NaderBesluitRechter_27;OverlijdenJeugdige_28;TotaalToezEnBegeleidingVrijwillig_29;TotaalBegonnenTrajecten_30;TotaalBeeindigdeTrajecten_31;k_0Tot3Maanden_32;k_3Tot6Maanden_33;k_6Tot12Maanden_34;k_1Tot2Jaar_35;k_2JaarOfLanger_36;BeeindigingVolgensPlan_37;TussentijdseOpheffing_38;OvergangNaarVolwassenReclassering_39;Terugmelding_40;NaderBesluitRechter_41;OverlijdenJeugdige_42;TotaalOverig_43;TotaalBegonnenTrajecten_44;TotaalBeeindigdeTrajecten_45;k_0Tot3Maanden_46;k_3Tot6Maanden_47;k_6Tot12Maanden_48;k_1Tot2Jaar_49;k_2JaarOfLanger_50;BeeindigingVolgensPlan_51;TussentijdseOpheffing_52;OvergangNaarVolwassenReclassering_53;Terugmelding_54;NaderBesluitRechter_55;OverlijdenJeugdige_56
10;Gelderland (PV);2015 1e kwartaal;935.0;150.0;150.0;25.0;20.0;30.0;25.0;50.0;150.0;;;;;;760.0;75.0;100.0;;;15.0;20.0;50.0;100.0;;;;;;155.0;70.0;40.0;15.0;10.0;10.0;;;40.0;;;;;;20.0;;10.0;;;;;;10.0;;;;;
11;Utrecht (PV);2015 1e kwartaal;550.0;80.0;120.0;15.0;25.0;20.0;20.0;40.0;120.0;;;;;;425.0;35.0;75.0;;;;20.0;40.0;75.0;;;;;;85.0;35.0;30.0;10.0;10.0;10.0;;;30.0;;;;;;40.0;10.0;15.0;;;;;;15.0;;;;;
12;Noord-Holland (PV);2015 1e kwartaal;1475.0;190.0;225.0;25.0;35.0;40.0;35.0;90.0;220.0;;;;;;1165.0;100.0;135.0;;;10.0;30.0;90.0;135.0;;;;;;135.0;50.0;50.0;20.0;15.0;15.0;;;50.0;;;;;;180.0;35.0;40.0;;15.0;20.0;;;40.0;;;;;
13;Zuid-Holland (PV);2015 1e kwartaal;2480.0;385.0;380.0;60.0;55.0;80.0;70.0;115.0;375.0;;;;;;2015.0;235.0;240.0;15.0;20.0;45.0;45.0;115.0;235.0;;;;;;400.0;130.0;110.0;35.0;20.0;25.0;20.0;;110.0;;;;;;65.0;20.0;30.0;10.0;10.0;10.0;;;30.0;;;;;
14;Zeeland (PV);2015 1e kwartaal;150.0;25.0;30.0;;;;15.0;10.0;30.0;;;;;;135.0;20.0;25.0;;;;15.0;10.0;25.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Noord-Brabant (PV);2015 1e kwartaal;1085.0;140.0;180.0;10.0;35.0;40.0;30.0;65.0;180.0;;;;;;935.0;115.0;115.0;;;15.0;25.0;65.0;115.0;;;;;;140.0;25.0;60.0;10.0;25.0;20.0;;;60.0;;;;;;10.0;;;;;;;;;;;;;
16;Limburg (PV);2015 1e kwartaal;645.0;130.0;110.0;25.0;15.0;25.0;20.0;30.0;105.0;;;;;;530.0;80.0;60.0;;;10.0;15.0;30.0;60.0;;;;;;70.0;25.0;35.0;20.0;;;;;30.0;;;;;;45.0;20.0;15.0;;;10.0;;;15.0;;;;;
17;Oost-Groningen (CR);2015 1e kwartaal;85.0;20.0;20.0;;;;;10.0;20.0;;;;;;65.0;10.0;15.0;;;;;10.0;15.0;;;;;;15.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Delfzijl en omgeving (CR);2015 1e kwartaal;45.0;10.0;10.0;;;;;;10.0;;;;;;35.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Overig Groningen (CR);2015 1e kwartaal;310.0;45.0;50.0;;;;;30.0;50.0;;;;;;270.0;30.0;40.0;;;;;30.0;40.0;;;;;;30.0;15.0;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;
20;Noord-Friesland (CR);2015 1e kwartaal;150.0;30.0;30.0;;;;;10.0;25.0;;;;;;130.0;15.0;20.0;;;;;10.0;15.0;;;;;;15.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Zuidwest-Friesland (CR);2015 1e kwartaal;35.0;;10.0;;;;;;10.0;;;;;;30.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Zuidoost-Friesland (CR);2015 1e kwartaal;70.0;15.0;15.0;;;;;10.0;15.0;;;;;;55.0;10.0;10.0;;;;;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Noord-Drenthe (CR);2015 1e kwartaal;95.0;15.0;10.0;;;;;;10.0;;;;;;85.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Zuidoost-Drenthe (CR);2015 1e kwartaal;85.0;15.0;15.0;;;;;;15.0;;;;;;75.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Zuidwest-Drenthe (CR);2015 1e kwartaal;65.0;15.0;15.0;;;;;;15.0;;;;;;55.0;15.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Noord-Overijssel (CR);2015 1e kwartaal;165.0;20.0;25.0;;;;;15.0;25.0;;;;;;135.0;10.0;15.0;;;;;15.0;15.0;;;;;;25.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
27;Zuidwest-Overijssel (CR);2015 1e kwartaal;70.0;15.0;10.0;;;;;;10.0;;;;;;55.0;;;;;;;;;;;;;;15.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Twente (CR);2015 1e kwartaal;340.0;70.0;55.0;15.0;15.0;10.0;;20.0;55.0;;;;;;260.0;40.0;30.0;;;;;20.0;30.0;;;;;;55.0;25.0;25.0;10.0;10.0;;;;25.0;;;;;;25.0;10.0;;;;;;;;;;;;
29;Veluwe (CR);2015 1e kwartaal;295.0;40.0;55.0;10.0;;15.0;10.0;15.0;55.0;;;;;;245.0;25.0;35.0;;;;10.0;15.0;35.0;;;;;;40.0;15.0;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;
30;Achterhoek (CR);2015 1e kwartaal;160.0;35.0;25.0;;;10.0;;;25.0;;;;;;125.0;15.0;15.0;;;;;;15.0;;;;;;30.0;20.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
31;Arnhem/Nijmegen (CR);2015 1e kwartaal;395.0;60.0;60.0;10.0;10.0;;10.0;25.0;60.0;;;;;;315.0;30.0;40.0;;;;10.0;25.0;40.0;;;;;;70.0;30.0;15.0;;;;;;15.0;;;;;;10.0;;;;;;;;;;;;;
32;Zuidwest-Gelderland (CR);2015 1e kwartaal;85.0;15.0;10.0;;;;;;10.0;;;;;;70.0;;10.0;;;;;;10.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Utrecht (CR);2015 1e kwartaal;550.0;80.0;120.0;15.0;25.0;20.0;20.0;40.0;120.0;;;;;;425.0;35.0;75.0;;;;20.0;40.0;75.0;;;;;;85.0;35.0;30.0;10.0;10.0;10.0;;;30.0;;;;;;40.0;10.0;15.0;;;;;;15.0;;;;;
34;Kop van Noord-Holland (CR);2015 1e kwartaal;150.0;35.0;30.0;10.0;;;;10.0;30.0;;;;;;125.0;20.0;15.0;;;;;10.0;15.0;;;;;;25.0;15.0;15.0;10.0;;;;;15.0;;;;;;;;;;;;;;;;;;;
35;Alkmaar en omgeving (CR);2015 1e kwartaal;110.0;15.0;20.0;;;;;;20.0;;;;;;95.0;10.0;10.0;;;;;;10.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;IJmond (CR);2015 1e kwartaal;115.0;15.0;25.0;;;;;15.0;25.0;;;;;;100.0;10.0;20.0;;;;;15.0;20.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Agglomeratie Haarlem (CR);2015 1e kwartaal;100.0;15.0;25.0;;;;;10.0;25.0;;;;;;80.0;10.0;15.0;;;;;10.0;15.0;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Zaanstreek (CR);2015 1e kwartaal;90.0;15.0;15.0;;;;;;15.0;;;;;;65.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;
39;Groot-Amsterdam (CR);2015 1e kwartaal;850.0;85.0;105.0;;20.0;25.0;20.0;40.0;100.0;;;;;;645.0;40.0;60.0;;;;10.0;40.0;55.0;;;;;;55.0;10.0;15.0;;;10.0;;;15.0;;;;;;150.0;30.0;30.0;;10.0;15.0;;;30.0;;;;;
40;Het Gooi en Vechtstreek (CR);2015 1e kwartaal;60.0;10.0;10.0;;;;;10.0;10.0;;;;;;55.0;;10.0;;;;;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Agglomeratie Leiden en Bollenstreek (CR);2015 1e kwartaal;125.0;20.0;20.0;;;;;;20.0;;;;;;105.0;10.0;15.0;;;;;;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Agglomeratie 's-Gravenhage (CR);2015 1e kwartaal;650.0;115.0;115.0;35.0;15.0;20.0;15.0;25.0;115.0;;;;;;555.0;70.0;70.0;10.0;;15.0;15.0;25.0;65.0;;;;;;65.0;30.0;30.0;20.0;;;;;30.0;;;;;;30.0;15.0;15.0;10.0;;;;;15.0;;;;;
43;Delft en Westland (CR);2015 1e kwartaal;90.0;20.0;15.0;;;;;;15.0;;;;;;75.0;10.0;10.0;;;;;;10.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Oost-Zuid-Holland (CR);2015 1e kwartaal;140.0;25.0;25.0;10.0;;;;;25.0;;;;;;125.0;15.0;20.0;;;;;;20.0;;;;;;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Groot-Rijnmond (CR);2015 1e kwartaal;1335.0;190.0;185.0;;30.0;45.0;40.0;65.0;185.0;;;;;;1045.0;115.0;120.0;;10.0;20.0;20.0;65.0;120.0;;;;;;270.0;70.0;55.0;;15.0;20.0;20.0;;55.0;;;;;;15.0;;10.0;;;;;;10.0;;;;;
46;Zuidoost-Zuid-Holland (CR);2015 1e kwartaal;145.0;20.0;15.0;;;;;;15.0;;;;;;110.0;10.0;10.0;;;;;;10.0;;;;;;25.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
47;Zeeuwsch-Vlaanderen (CR);2015 1e kwartaal;35.0;;;;;;;;;;;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Overig Zeeland (CR);2015 1e kwartaal;115.0;20.0;25.0;;;;10.0;10.0;25.0;;;;;;105.0;15.0;20.0;;;;10.0;10.0;20.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;West-Noord-Brabant (CR);2015 1e kwartaal;315.0;45.0;55.0;;10.0;10.0;15.0;20.0;55.0;;;;;;260.0;35.0;35.0;;;;15.0;20.0;35.0;;;;;;50.0;10.0;20.0;;10.0;;;;20.0;;;;;;;;;;;;;;;;;;;
50;Midden-Noord-Brabant (CR);2015 1e kwartaal;250.0;30.0;45.0;;;10.0;;15.0;45.0;;;;;;225.0;25.0;25.0;;;;;15.0;25.0;;;;;;25.0;;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;
51;Noordoost-Noord-Brabant (CR);2015 1e kwartaal;290.0;35.0;40.0;;10.0;10.0;;15.0;40.0;;;;;;250.0;30.0;25.0;;;;;15.0;25.0;;;;;;35.0;10.0;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;
52;Zuidoost-Noord-Brabant (CR);2015 1e kwartaal;235.0;25.0;40.0;;;10.0;;20.0;40.0;;;;;;205.0;25.0;30.0;;;;;20.0;30.0;;;;;;30.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
53;Noord-Limburg (CR);2015 1e kwartaal;130.0;30.0;30.0;;;;;10.0;25.0;;;;;;110.0;20.0;20.0;;;;;10.0;15.0;;;;;;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
54;Midden-Limburg (CR);2015 1e kwartaal;130.0;20.0;20.0;;;;;;20.0;;;;;;115.0;15.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Zuid-Limburg (CR);2015 1e kwartaal;385.0;80.0;65.0;10.0;10.0;20.0;10.0;15.0;65.0;;;;;;300.0;50.0;30.0;;;;;15.0;30.0;;;;;;55.0;20.0;20.0;10.0;;;;;20.0;;;;;;30.0;15.0;10.0;;;10.0;;;10.0;;;;;
56;Flevoland (CR);2015 1e kwartaal;250.0;35.0;40.0;;;10.0;;15.0;40.0;;;;;;220.0;30.0;25.0;;;;;15.0;25.0;;;;;;20.0;;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;
57;Geen stadsgewest (SG);2015 1e kwartaal;2925.0;515.0;525.0;90.0;80.0;85.0;85.0;180.0;515.0;;;;;;2460.0;320.0;350.0;15.0;30.0;45.0;75.0;180.0;345.0;;;;;;390.0;165.0;145.0;60.0;45.0;30.0;;;145.0;;;;;;75.0;30.0;30.0;10.0;;10.0;;;30.0;;;;;
58;Groningen (SG);2015 1e kwartaal;260.0;40.0;40.0;;;;;25.0;40.0;;;;;;225.0;25.0;30.0;;;;;25.0;30.0;;;;;;25.0;10.0;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;
59;Leeuwarden (SG);2015 1e kwartaal;100.0;15.0;15.0;;;;;;15.0;;;;;;90.0;10.0;10.0;;;;;;10.0;;;;;;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Zwolle (SG);2015 1e kwartaal;105.0;15.0;20.0;;;;;10.0;20.0;;;;;;85.0;10.0;10.0;;;;;10.0;10.0;;;;;;20.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
61;Enschede (SG);2015 1e kwartaal;230.0;50.0;45.0;10.0;10.0;10.0;;15.0;45.0;;;;;;170.0;30.0;20.0;;;;;15.0;20.0;;;;;;40.0;15.0;20.0;10.0;;;;;20.0;;;;;;20.0;;;;;;;;;;;;;
62;Apeldoorn (SG);2015 1e kwartaal;95.0;10.0;15.0;;;;;;15.0;;;;;;80.0;;10.0;;;;;;10.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Arnhem (SG);2015 1e kwartaal;205.0;30.0;25.0;;;;;10.0;25.0;;;;;;165.0;15.0;20.0;;;;;10.0;20.0;;;;;;30.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Nijmegen (SG);2015 1e kwartaal;140.0;20.0;25.0;;;;;10.0;25.0;;;;;;110.0;10.0;15.0;;;;;10.0;15.0;;;;;;30.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
65;Amersfoort (SG);2015 1e kwartaal;140.0;20.0;30.0;;;;;10.0;30.0;;;;;;110.0;;20.0;;;;;10.0;20.0;;;;;;20.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
66;Utrecht (SG);2015 1e kwartaal;350.0;55.0;75.0;10.0;15.0;10.0;10.0;25.0;75.0;;;;;;270.0;25.0;50.0;;;;10.0;25.0;50.0;;;;;;50.0;20.0;20.0;;;;;;20.0;;;;;;30.0;10.0;10.0;;;;;;10.0;;;;;
67;Amsterdam (SG);2015 1e kwartaal;1075.0;120.0;140.0;;25.0;40.0;25.0;50.0;140.0;;;;;;825.0;70.0;75.0;;;;15.0;50.0;75.0;;;;;;75.0;15.0;25.0;;;15.0;;;25.0;;;;;;175.0;35.0;40.0;;15.0;20.0;;;40.0;;;;;
68;Haarlem (SG);2015 1e kwartaal;210.0;35.0;45.0;10.0;;;;25.0;45.0;;;;;;180.0;20.0;35.0;;;;;25.0;35.0;;;;;;30.0;15.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
69;Leiden (SG);2015 1e kwartaal;110.0;15.0;20.0;;;;;;20.0;;;;;;95.0;10.0;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;'s-Gravenhage (SG);2015 1e kwartaal;740.0;130.0;135.0;40.0;20.0;25.0;20.0;35.0;130.0;;;;;;630.0;85.0;80.0;10.0;;15.0;15.0;35.0;75.0;;;;;;80.0;35.0;35.0;20.0;;;;;35.0;;;;;;30.0;15.0;20.0;10.0;;;;;20.0;;;;;
71;Rotterdam (SG);2015 1e kwartaal;1285.0;175.0;175.0;;25.0;40.0;35.0;65.0;175.0;;;;;;1010.0;110.0;115.0;;10.0;20.0;20.0;65.0;115.0;;;;;;260.0;65.0;50.0;;10.0;15.0;15.0;;50.0;;;;;;15.0;;10.0;;;;;;10.0;;;;;
72;Dordrecht (SG);2015 1e kwartaal;105.0;20.0;10.0;;;;;;10.0;;;;;;80.0;10.0;;;;;;;;;;;;;15.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Breda (SG);2015 1e kwartaal;165.0;20.0;30.0;;;;10.0;10.0;30.0;;;;;;135.0;15.0;20.0;;;;10.0;10.0;20.0;;;;;;30.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
74;Tilburg (SG);2015 1e kwartaal;200.0;20.0;35.0;;;10.0;;15.0;35.0;;;;;;180.0;15.0;20.0;;;;;15.0;20.0;;;;;;20.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
75;'s-Hertogenbosch (SG);2015 1e kwartaal;125.0;15.0;10.0;;;;;;10.0;;;;;;120.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Eindhoven (SG);2015 1e kwartaal;145.0;15.0;25.0;;;;;10.0;25.0;;;;;;125.0;15.0;20.0;;;;;10.0;20.0;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Geleen/Sittard (SG);2015 1e kwartaal;70.0;15.0;10.0;;;;;;10.0;;;;;;60.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;Heerlen (SG);2015 1e kwartaal;185.0;40.0;35.0;;;15.0;;;35.0;;;;;;140.0;25.0;15.0;;;;;;15.0;;;;;;30.0;;15.0;;;;;;15.0;;;;;;15.0;10.0;;;;;;;;;;;;
79;Maastricht (SG);2015 1e kwartaal;115.0;25.0;15.0;;;;;;15.0;;;;;;95.0;10.0;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
80;Geen grootstedelijke agglomeratie (GA);2015 1e kwartaal;4170.0;710.0;730.0;115.0;110.0;125.0;115.0;265.0;720.0;;;;;;3490.0;430.0;485.0;20.0;35.0;65.0;100.0;265.0;475.0;;;;;;545.0;235.0;200.0;80.0;60.0;50.0;10.0;;200.0;;;;;;135.0;45.0;45.0;15.0;15.0;15.0;;;45.0;;;;;
81;Groningen (GA);2015 1e kwartaal;200.0;30.0;35.0;;;;;20.0;35.0;;;;;;170.0;20.0;25.0;;;;;20.0;25.0;;;;;;20.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
82;Leeuwarden (GA);2015 1e kwartaal;90.0;15.0;15.0;;;;;;10.0;;;;;;80.0;10.0;10.0;;;;;;10.0;;;;;;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Zwolle (GA);2015 1e kwartaal;85.0;10.0;15.0;;;;;;15.0;;;;;;65.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Enschede (GA);2015 1e kwartaal;145.0;30.0;20.0;;;;;;20.0;;;;;;105.0;20.0;10.0;;;;;;10.0;;;;;;25.0;10.0;10.0;;;;;;10.0;;;;;;15.0;;;;;;;;;;;;;
85;Apeldoorn (GA);2015 1e kwartaal;80.0;10.0;15.0;;;;;;15.0;;;;;;70.0;;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Arnhem (GA);2015 1e kwartaal;125.0;20.0;15.0;;;;;10.0;15.0;;;;;;100.0;10.0;15.0;;;;;10.0;15.0;;;;;;25.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Nijmegen (GA);2015 1e kwartaal;120.0;15.0;20.0;;;;;10.0;20.0;;;;;;95.0;10.0;15.0;;;;;10.0;15.0;;;;;;25.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Amersfoort (GA);2015 1e kwartaal;105.0;15.0;20.0;;;;;;20.0;;;;;;80.0;;15.0;;;;;;15.0;;;;;;15.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
89;Utrecht (GA);2015 1e kwartaal;295.0;50.0;65.0;10.0;15.0;10.0;;20.0;65.0;;;;;;230.0;25.0;40.0;;;;;20.0;40.0;;;;;;45.0;15.0;15.0;;;;;;15.0;;;;;;25.0;10.0;10.0;;;;;;10.0;;;;;
90;Amsterdam (GA);2015 1e kwartaal;815.0;80.0;100.0;;20.0;25.0;20.0;35.0;100.0;;;;;;625.0;45.0;55.0;;;;10.0;35.0;55.0;;;;;;45.0;10.0;10.0;;;;;;10.0;;;;;;145.0;25.0;35.0;;15.0;15.0;;;35.0;;;;;
91;Haarlem (GA);2015 1e kwartaal;85.0;15.0;20.0;;;;;10.0;20.0;;;;;;65.0;10.0;15.0;;;;;10.0;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Leiden (GA);2015 1e kwartaal;80.0;;10.0;;;;;;10.0;;;;;;75.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;'s-Gravenhage (GA);2015 1e kwartaal;505.0;95.0;90.0;30.0;10.0;15.0;15.0;20.0;90.0;;;;;;425.0;60.0;50.0;10.0;;10.0;10.0;20.0;50.0;;;;;;55.0;20.0;25.0;15.0;;;;;25.0;;;;;;25.0;10.0;15.0;10.0;;;;;15.0;;;;;
94;Rotterdam (GA);2015 1e kwartaal;1235.0;170.0;170.0;;25.0;40.0;35.0;60.0;170.0;;;;;;970.0;105.0;110.0;;10.0;20.0;20.0;60.0;110.0;;;;;;250.0;60.0;50.0;;10.0;15.0;15.0;;50.0;;;;;;15.0;;10.0;;;;;;10.0;;;;;
