ID;Overheidssectoren;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3;k_25Jaar_4;k_2534Jaar_5;k_3544Jaar_6;k_4554Jaar_7;k_5559Jaar_8;k_59Jaar_9;k_14_10;k_510_11;k_10_12;InclZwangerschapsEnBevallingsverlof_13;ExclZwangerschapsEnBevallingsverlof_14;InclZwangerschapsEnBevallingsverlof_15;TotaalMannenEnVrouwen_16;Mannen_17;Vrouwen_18;k_25Jaar_19;k_2534Jaar_20;k_3544Jaar_21;k_4554Jaar_22;k_5559Jaar_23;k_59Jaar_24;k_14_25;k_510_26;k_10_27;TotaalMannenEnVrouwen_28;Mannen_29;Vrouwen_30;k_25Jaar_31;k_2534Jaar_32;k_3544Jaar_33;k_4554Jaar_34;k_5559Jaar_35;k_59Jaar_36;k_14_37;k_510_38;k_10_39;TotaalMannenEnVrouwen_40;Mannen_41;Vrouwen_42;k_25Jaar_43;k_2534Jaar_44;k_3544Jaar_45;k_4554Jaar_46;k_5559Jaar_47;k_59Jaar_48;k_14_49;k_510_50;k_10_51;TotaalMannenEnVrouwen_52;Mannen_53;Vrouwen_54;k_25Jaar_55;k_2534Jaar_56;k_3544Jaar_57;k_4554Jaar_58;k_5559Jaar_59;k_59Jaar_60;k_14_61;k_510_62;k_10_63;PersonenZonderVerzuim_64;BeeindigdeVerzuimgevallen_65;Tot1Week_66;k_16Weken_67;k_6Weken05Jaar_68;k_05Jaar1Jaar_69;k_115Jaar_70;k_15JaarEnLanger_71
21;Provincies;2001;7.8;6.5;10.3;4.1;6.9;7.2;8.3;8.3;8.3;;;;8.2;6.3;6.6;1.7;1.4;2.1;1.7;2.1;1.9;1.6;1.3;1.0;;;;14.8;14.6;17.6;7.9;11.7;13.7;17.1;19.2;24.9;;;;13.2;9.2;4.1;;;;;;;;;;12.1;8.3;3.8;;;;;;;;;;;;;;;;;
22;Provincies;2002;6.6;5.6;8.7;3.7;5.8;5.8;7.0;8.2;7.4;;;;7.0;5.4;5.7;1.7;1.4;2.2;1.8;2.1;1.9;1.6;1.3;1.1;;;;14.4;14.6;13.9;7.4;9.5;11.6;15.2;23.4;27.7;;;;13.4;8.4;5.0;;;;;;;;;;12.2;8.2;4.0;0.9;1.2;1.8;2.0;2.1;2.2;;;;;;;;;;;
23;Provincies;2003;6.0;5.0;7.9;3.9;4.6;5.8;6.4;6.7;6.3;6.6;6.7;4.7;;5.1;;1.7;1.4;2.3;1.9;2.1;1.9;1.7;1.3;1.0;;;;11.2;10.9;11.5;4.5;7.5;10.0;14.3;17.3;23.9;;;;13.7;8.5;5.2;;;;;;;;;;12.4;8.2;4.2;;;;;;;;;;;;;;;;;
24;Gemeenten;1992;6.9;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;14.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Gemeenten;1993;7.2;;;;;;;;;;;;7.5;;;1.9;;;;;;;;;;;;13.4;;;;;;;;;;;;97.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Gemeenten;1994;6.0;;;;;;;;;;;;6.4;;;1.6;;;;;;;;;;;;13.5;;;;;;;;;;;;79.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Gemeenten;1995;6.5;;;;;;;;;;;;6.9;;;1.8;;;;;;;;;;;;13.3;;;;;;;;;;;;105.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Gemeenten;1996;6.3;;;;;;;;;;;;6.1;;;1.7;;;;;;;;;;;;13.3;;;;;;;;;;;;81.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Gemeenten;1997;6.8;;;;;;;;;;;;7.2;;;1.7;1.3;1.8;2.0;1.9;1.7;1.4;1.2;;;;;17.6;;;;;;;;;;;;89.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Gemeenten;1998;6.6;5.6;6.7;;;;;;;;;;;;;1.6;1.4;1.8;1.9;1.8;1.6;1.4;1.2;;;;;14.0;14.0;11.5;;;;;;;;;;83.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Gemeenten;1999;7.8;;;;;;;;;;;;8.1;;;1.8;;;;;;;;;;;;15.5;;;;;;;;;;;;32.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Gemeenten;2000;8.3;;;3.9;5.6;6.6;7.4;7.6;4.7;;;;8.9;;;1.7;;;2.1;1.6;1.7;1.4;1.3;0.9;;;;15.7;;;8.3;9.6;12.2;17.6;17.2;13.4;;;;51.0;;;;;;;;;;;;47.1;;;;;;;;;;;;;;;;;;;
33;Gemeenten;2001;8.4;7.0;9.4;;;;;;;;;;9.0;;;1.7;1.5;2.1;;;;;;;;;;17.2;;;;;;;;;;;;89.0;56.7;32.4;;;;;;;;;;81.1;;;;;;;;;;;;;;;;;;;
34;Gemeenten;2002;7.9;6.7;8.6;;;;;;;;;;8.5;;;1.7;1.5;2.0;;;;;;;;;;16.4;;;;;;;;;;;;138.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Gemeenten;2003;7.2;6.5;8.7;;;;;;;;;;;;;1.7;1.5;2.1;;;;;;;;;;16.3;16.9;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Waterschappen;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Waterschappen;1993;5.4;;;;;;;;;;;;5.8;4.3;4.6;1.7;;;;;;;;;;;;11.8;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Waterschappen;1994;4.9;;;;;;;;;;;;5.2;4.1;4.4;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Waterschappen;1995;4.6;;;;;;;;;;;;5.0;3.9;4.3;1.6;;;;;;;;;;;;11.3;;;;;;;;;;;;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Waterschappen;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Waterschappen;1997;4.4;;;;;;;;;;;;4.8;3.5;3.9;1.4;;;;;;;;;;;;10.8;;;;;;;;;;;;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Waterschappen;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Waterschappen;1999;5.5;;;;;;;;;;;;6.1;3.6;;1.5;;;;;;;;;;;;14.1;;;;;;;;;;;;7.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Waterschappen;2000;5.7;;;;;;;;;;;;6.3;4.3;;1.9;;;;;;;;;;;;12.5;;;;;;;;;;;;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Waterschappen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Waterschappen;2002;5.1;;;;;;;;;;;;5.7;3.9;;1.5;;;;;;;;;;;;12.6;;;;;;;;;;;;8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Waterschappen;2003;4.6;;;;;;;;;;;;4.9;3.3;;1.9;;;;;;;;;;;;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Defensie;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Defensie;1993;5.4;5.2;8.9;5.5;4.4;5.4;6.5;11.5;10.4;6.4;4.9;2.5;;5.0;;1.8;1.8;2.5;2.2;1.6;1.6;1.4;1.6;1.4;2.2;1.6;0.9;9.1;9.0;10.8;7.7;8.4;10.7;14.2;24.7;29.4;9.5;9.8;8.7;105.8;98.8;7.0;39.3;28.4;20.0;15.8;1.4;0.4;50.8;43.1;11.9;105.0;98.7;6.3;39.2;28.1;19.7;15.7;1.4;0.3;50.3;42.8;11.8;;;;;;;;
50;Defensie;1994;4.8;4.6;8.1;4.9;3.9;4.8;5.9;9.8;9.5;5.8;4.5;2.3;;4.4;;1.5;1.4;2.0;1.9;1.4;1.3;1.2;1.3;1.1;1.9;1.3;0.7;11.4;11.6;13.4;9.5;9.9;13.2;18.2;27.8;31.5;11.0;12.1;11.6;99.6;92.5;7.1;33.8;28.3;19.6;16.2;1.5;0.4;44.4;43.2;11.9;98.8;92.3;6.5;33.8;28.3;19.6;16.2;1.5;0.4;44.0;43.0;11.9;;;;;;;;
51;Defensie;1995;4.8;4.6;7.8;4.7;4.1;4.7;5.9;9.4;8.8;;;;;4.5;;1.6;1.5;2.3;1.9;1.6;1.4;1.3;1.4;1.3;;;;;;;;;;;;;;;;88.5;81.2;7.3;25.4;25.8;19.9;15.7;1.4;0.3;;;;87.7;81.1;6.7;25.4;25.5;19.6;15.5;1.3;0.3;;;;;;;;;;;
52;Defensie;1996;4.8;4.4;8.1;4.4;4.1;4.6;5.9;8.6;7.8;;;;;4.4;;1.3;1.3;1.8;1.7;1.3;1.1;1.1;1.0;0.9;;;;;;;;;;;;;;;;79.3;71.8;7.5;16.3;19.6;17.4;12.4;1.4;0.3;;;;78.6;71.7;6.9;16.3;19.4;17.1;12.3;1.4;0.2;;;;;;;;;;;
53;Defensie;1997;5.2;;;;;;;;;;;;;;;1.4;1.3;1.9;1.7;1.4;1.2;1.2;0.9;0.9;;;;;;;;;;;;;;;;76.8;68.9;7.9;16.1;22.5;20.4;16.2;1.4;0.3;;;;76.0;68.8;7.2;16.1;22.2;20.1;16.1;1.3;0.3;;;;;;;;;;;
54;Defensie;1998;5.6;5.4;8.7;;;;;;;;;;;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Defensie;1999;5.8;5.5;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.5;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Defensie;2000;6.3;5.9;9.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68.2;61.1;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Defensie;2001;5.7;5.3;8.6;4.6;5.2;5.4;7.0;7.7;;;;;;;;1.5;1.5;2.0;1.6;1.7;1.4;1.3;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.1;56.8;7.3;15.0;15.2;15.4;14.1;4.3;;;;;;;;;;;;
58;Defensie;2002;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75.7;;;;;;;;;;;;66.3;58.5;7.8;17.2;16.5;15.2;14.8;2.7;;;;;;;;;;;;
59;Defensie;2003;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66.9;61.0;5.8;16.7;17.4;15.1;14.6;3.0;;;;;;;;;;;;
60;Politie;1992;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Politie;1993;7.1;6.6;10.3;4.2;6.3;6.9;8.2;13.8;12.2;9.5;7.1;3.4;7.3;6.3;;1.5;1.4;1.9;1.5;1.7;1.5;1.3;1.1;0.9;1.8;1.5;0.9;15.3;15.1;16.0;9.4;11.9;14.2;20.4;57.1;48.1;17.2;15.0;10.8;14.8;12.2;2.6;0.5;4.7;6.2;2.8;0.4;0.1;1.8;11.5;0.6;14.1;12.1;2.0;0.5;4.5;6.1;2.7;0.4;;1.4;11.3;0.6;;;;;;;;
62;Politie;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Politie;1995;;;;;;;;;;;;;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;44.1;;;;;;;;;;;;42.1;;;;;;;;;;;;;;;;;;;
64;Politie;1996;;;;;;;;;;;;;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Politie;1997;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;46.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Politie;1998;8.1;;;;;;;;;;;;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.9;;;;;;;;;;;;;;;;;;;
67;Politie;1999;8.5;;;;;;;;;;;;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8;;;;;;;;;;;;;;;;;;;
68;Politie;2000;9.4;;;;;;;;;;;;9.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.9;;;;;;;;;;;;;;;;;;;
69;Politie;2001;9.5;;;;;;;;;;;;9.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.0;;;;;;;;;;;;;;;;;;;
70;Politie;2002;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.7;;;;;;;;;;;;57.1;;;;;;;;;;;;;;;;;;;
71;Politie;2003;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.5;;;;;;;;;;;;;;;;;;;
72;"Onderwijs; schooljaren";1992;7.0;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;"Onderwijs; schooljaren";1993;6.6;5.6;7.7;;;;;;;;;;7.4;;;1.4;1.3;1.5;;;;;;;;;;14.8;13.5;16.0;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;"Onderwijs; schooljaren";1994;7.5;6.4;8.6;;;;;;;;;;;;;1.3;1.2;1.5;;;;;;;;;;17.0;15.8;18.0;;;;;;;;;;23.9;12.5;11.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;"Onderwijs; schooljaren";1995;7.2;6.2;8.1;;;;;;;;;;;;;1.3;1.3;1.4;;;;;;;;;;16.4;15.0;17.5;;;;;;;;;;25.3;12.2;12.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;"Onderwijs; schooljaren";1996;7.2;6.1;8.5;;5.7;6.6;7.5;10.7;;;;;;;;1.3;1.2;1.4;;1.5;1.4;1.2;1.1;;;;;22.0;22.9;21.4;;13.9;17.6;26.7;44.1;;;;;198.2;94.8;103.4;;39.1;71.3;68.6;19.1;;;;;141.4;78.0;63.4;0.0;0.0;24.9;49.7;53.0;13.9;;;;;;;;;;;
77;"Onderwijs; schooljaren";1997;7.6;;;;;;;;;;;;7.8;;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;"Onderwijs; schooljaren";1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;"Onderwijs; schooljaren";1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;"Onderwijs; schooljaren";2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;"Onderwijs; schooljaren";2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;"Onderwijs; schooljaren";2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;"Onderwijs; schooljaren";2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;"Onderwijs; kalenderjaren";1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;"Onderwijs; kalenderjaren";1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;"Onderwijs; kalenderjaren";1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;"Onderwijs; kalenderjaren";1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;"Onderwijs; kalenderjaren";1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
