ID;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouderhuishoudens_4;OverigeHuishoudens_5
201;Totaal leeftijden (15 jaar of ouder);Gescheiden;2012;969093;552324;161661;252494;2614
202;Totaal leeftijden (15 jaar of ouder);Gescheiden;2013;985386;563716;163937;255120;2613
203;Totaal leeftijden (15 jaar of ouder);Gescheiden;2014;1000767;575161;165954;257039;2613
204;Totaal leeftijden (15 jaar of ouder);Gescheiden;2015;1014803;586303;167671;258221;2608
205;Totaal leeftijden (15 jaar of ouder);Gescheiden;2016;1027433;597052;169083;258695;2603
206;Totaal leeftijden (15 jaar of ouder);Gescheiden;2017;1038862;607538;170238;258490;2596
207;Totaal leeftijden (15 jaar of ouder);Gescheiden;2018;1049290;617791;171176;257736;2587
208;Totaal leeftijden (15 jaar of ouder);Gescheiden;2019;1058821;627754;171961;256531;2575
209;Totaal leeftijden (15 jaar of ouder);Gescheiden;2020;1067574;637189;172622;255196;2567
210;Totaal leeftijden (15 jaar of ouder);Gescheiden;2021;1075570;646328;173156;253520;2566
211;Totaal leeftijden (15 jaar of ouder);Gescheiden;2022;1082764;655247;173570;251401;2546
212;Totaal leeftijden (15 jaar of ouder);Gescheiden;2023;1089206;663808;173865;248994;2539
213;Totaal leeftijden (15 jaar of ouder);Gescheiden;2024;1094867;671927;174022;246383;2535
214;Totaal leeftijden (15 jaar of ouder);Gescheiden;2025;1099793;679566;174046;243661;2520
215;Totaal leeftijden (15 jaar of ouder);Gescheiden;2026;1104019;686659;173936;240906;2518
216;Totaal leeftijden (15 jaar of ouder);Gescheiden;2027;1107578;693122;173710;238249;2497
217;Totaal leeftijden (15 jaar of ouder);Gescheiden;2028;1110508;698924;173375;235723;2486
218;Totaal leeftijden (15 jaar of ouder);Gescheiden;2029;1112827;703990;172971;233393;2473
219;Totaal leeftijden (15 jaar of ouder);Gescheiden;2030;1114567;708307;172509;231295;2456
220;Totaal leeftijden (15 jaar of ouder);Gescheiden;2031;1115763;711809;172026;229490;2438
221;Totaal leeftijden (15 jaar of ouder);Gescheiden;2032;1116430;714634;171528;227839;2429
222;Totaal leeftijden (15 jaar of ouder);Gescheiden;2033;1116565;716690;171005;226452;2418
223;Totaal leeftijden (15 jaar of ouder);Gescheiden;2034;1116209;718018;170474;225317;2400
224;Totaal leeftijden (15 jaar of ouder);Gescheiden;2035;1115385;718620;169940;224441;2384
225;Totaal leeftijden (15 jaar of ouder);Gescheiden;2036;1114127;718436;169406;223912;2373
226;Totaal leeftijden (15 jaar of ouder);Gescheiden;2037;1112380;717697;168862;223478;2343
227;Totaal leeftijden (15 jaar of ouder);Gescheiden;2038;1110273;716392;168326;223226;2329
228;Totaal leeftijden (15 jaar of ouder);Gescheiden;2039;1107794;714563;167808;223109;2314
229;Totaal leeftijden (15 jaar of ouder);Gescheiden;2040;1104969;712281;167300;223100;2288
230;Totaal leeftijden (15 jaar of ouder);Gescheiden;2041;1101836;709645;166782;223138;2271
231;Totaal leeftijden (15 jaar of ouder);Gescheiden;2042;1098423;706689;166268;223209;2257
232;Totaal leeftijden (15 jaar of ouder);Gescheiden;2043;1094751;703467;165762;223281;2241
233;Totaal leeftijden (15 jaar of ouder);Gescheiden;2044;1090875;700065;165260;223329;2221
234;Totaal leeftijden (15 jaar of ouder);Gescheiden;2045;1086806;696485;164765;223344;2212
235;Totaal leeftijden (15 jaar of ouder);Gescheiden;2046;1082551;692808;164272;223283;2188
236;Totaal leeftijden (15 jaar of ouder);Gescheiden;2047;1078189;689047;163799;223165;2178
237;Totaal leeftijden (15 jaar of ouder);Gescheiden;2048;1073707;685236;163336;222974;2161
238;Totaal leeftijden (15 jaar of ouder);Gescheiden;2049;1069164;681394;162896;222734;2140
239;Totaal leeftijden (15 jaar of ouder);Gescheiden;2050;1064632;677567;162491;222446;2128
240;Totaal leeftijden (15 jaar of ouder);Gescheiden;2051;1060124;673779;162114;222117;2114
241;Totaal leeftijden (15 jaar of ouder);Gescheiden;2052;1055705;670068;161774;221764;2099
242;Totaal leeftijden (15 jaar of ouder);Gescheiden;2053;1051411;666454;161482;221383;2092
243;Totaal leeftijden (15 jaar of ouder);Gescheiden;2054;1047290;662998;161231;220986;2075
244;Totaal leeftijden (15 jaar of ouder);Gescheiden;2055;1043404;659731;161036;220586;2051
245;Totaal leeftijden (15 jaar of ouder);Gescheiden;2056;1039786;656691;160871;220193;2031
246;Totaal leeftijden (15 jaar of ouder);Gescheiden;2057;1036517;653916;160765;219817;2019
247;Totaal leeftijden (15 jaar of ouder);Gescheiden;2058;1033587;651418;160700;219460;2009
248;Totaal leeftijden (15 jaar of ouder);Gescheiden;2059;1031036;649213;160693;219145;1985
249;Totaal leeftijden (15 jaar of ouder);Gescheiden;2060;1028902;647317;160728;218887;1970
250;15;Totaal burgerlijke staat;2011;373;214;10;3;146
251;15;Totaal burgerlijke staat;2012;380;220;11;3;146
252;15;Totaal burgerlijke staat;2013;378;215;10;3;150
253;15;Totaal burgerlijke staat;2014;375;208;10;3;154
254;15;Totaal burgerlijke staat;2015;370;202;10;3;155
255;15;Totaal burgerlijke staat;2016;372;201;10;3;158
256;15;Totaal burgerlijke staat;2017;369;201;10;3;155
257;15;Totaal burgerlijke staat;2018;366;200;10;3;153
258;15;Totaal burgerlijke staat;2019;365;200;10;3;152
259;15;Totaal burgerlijke staat;2020;361;202;10;3;146
260;15;Totaal burgerlijke staat;2021;357;202;10;3;142
261;15;Totaal burgerlijke staat;2022;354;201;10;3;140
262;15;Totaal burgerlijke staat;2023;352;201;10;3;138
263;15;Totaal burgerlijke staat;2024;353;200;10;3;140
264;15;Totaal burgerlijke staat;2025;354;200;10;3;141
265;15;Totaal burgerlijke staat;2026;350;198;10;3;139
266;15;Totaal burgerlijke staat;2027;351;199;10;3;139
267;15;Totaal burgerlijke staat;2028;347;197;9;3;138
268;15;Totaal burgerlijke staat;2029;347;197;9;3;138
269;15;Totaal burgerlijke staat;2030;347;197;9;3;138
270;15;Totaal burgerlijke staat;2031;346;195;9;3;139
271;15;Totaal burgerlijke staat;2032;346;195;9;3;139
272;15;Totaal burgerlijke staat;2033;346;194;9;3;140
273;15;Totaal burgerlijke staat;2034;346;193;9;3;141
274;15;Totaal burgerlijke staat;2035;347;193;9;3;142
275;15;Totaal burgerlijke staat;2036;348;193;9;3;143
276;15;Totaal burgerlijke staat;2037;347;192;9;3;143
277;15;Totaal burgerlijke staat;2038;348;192;9;3;144
278;15;Totaal burgerlijke staat;2039;348;192;9;3;144
279;15;Totaal burgerlijke staat;2040;347;191;9;3;144
280;15;Totaal burgerlijke staat;2041;348;191;9;3;145
281;15;Totaal burgerlijke staat;2042;348;191;9;3;145
282;15;Totaal burgerlijke staat;2043;348;191;9;3;145
283;15;Totaal burgerlijke staat;2044;346;189;9;3;145
284;15;Totaal burgerlijke staat;2045;346;189;9;3;145
285;15;Totaal burgerlijke staat;2046;346;189;9;3;145
286;15;Totaal burgerlijke staat;2047;346;189;9;3;145
287;15;Totaal burgerlijke staat;2048;344;188;9;3;144
288;15;Totaal burgerlijke staat;2049;344;188;9;3;144
289;15;Totaal burgerlijke staat;2050;343;188;9;3;143
290;15;Totaal burgerlijke staat;2051;342;188;9;3;142
291;15;Totaal burgerlijke staat;2052;341;187;9;3;142
292;15;Totaal burgerlijke staat;2053;340;187;9;3;141
