ID;SIC2008;Periods;IndexFiguresNotAdjusted_1;IndexFiguresAdjustedForCalendar_2;IndexFiguresSeasonallyAdjusted_3;VolumeChangeNotAdjusted_4;VolumeChangeAdjustedForCalendar_5;VolumeChangeSeasonallyAdjusted_6
139;F Construction;2013 1st quarter;68.7;70.0;67.5;-11.2;-9.3;-10.0
140;F Construction;2013 April;73.5;73.3;67.1;-8.3;-10.6;-10.7
141;F Construction;2013 May;73.3;72.5;68.7;-6.8;-6.8;-6.7
142;F Construction;2013 June;72.4;74.2;68.9;-9.0;-6.7;-6.5
143;F Construction;2013 2nd quarter;73.1;73.3;68.2;-8.1;-8.1;-8.0
144;F Construction;2013 July;64.1;66.2;69.9;-4.2;-6.2;-5.4
145;F Construction;2013 August;45.9;43.6;69.8;-5.8;-3.3;-5.4
146;F Construction;2013 September;81.8;82.7;69.3;-6.1;-8.5;-7.7
147;F Construction;2013 October;79.0;77.2;69.7;1.8;1.9;2.4
148;F Construction;2013 3rd quarter;63.9;64.2;69.6;-5.4;-6.6;-6.1
149;F Construction;2013 November;73.0;73.7;69.1;-3.2;-0.7;-0.7
150;F Construction;2013 December;48.3;48.6;69.0;4.3;3.1;2.9
151;F Construction;2013 4th quarter;66.7;66.5;69.3;0.5;1.2;1.5
152;F Construction;2013;68.1;68.5;68.7;-6.3;-6.0;-5.8
153;F Construction;2014 January;72.1;69.3;70.0;7.9;3.3;2.4
154;F Construction;2014 February;72.7;73.1;71.4;9.6;8.0;7.1
155;F Construction;2014 March;71.5;72.8;64.8;-2.0;-3.4;-3.9
156;F Construction;2014 1st quarter;72.1;71.7;68.7;4.9;2.4;1.9
157;F Construction;2014 April;76.5;73.8;67.5;4.2;0.6;0.5
158;F Construction;2014 May;71.7;70.3;66.6;-2.1;-3.0;-3.2
159;F Construction;2014 June;69.8;72.2;66.9;-3.6;-2.7;-2.8
160;F Construction;2014 2nd quarter;72.7;72.1;67.0;-0.5;-1.7;-1.8
161;F Construction;2014 July;66.1;63.5;67.3;3.1;-4.2;-3.7
162;F Construction;2014 August;40.9;43.1;69.0;-10.8;-1.3;-1.1
163;F Construction;2014 September;81.3;80.1;67.4;-0.6;-3.1;-2.6
164;F Construction;2014 3rd quarter;62.8;62.2;67.9;-1.8;-3.0;-2.5
165;F Construction;2014 October;85.8;83.9;75.8;8.6;8.6;8.7
166;F Construction;2014 November;77.1;80.0;75.1;5.6;8.5;8.7
167;F Construction;2014 December;52.6;52.7;74.8;9.1;8.3;8.4
168;F Construction;2014 4th quarter;71.8;72.2;75.2;7.6;8.5;8.6
169;F Construction;2014;69.9;69.6;69.7;2.6;1.5;1.6
170;F Construction;2015 January;74.7;72.8;72.4;3.6;4.9;3.4
171;F Construction;2015 February;74.7;75.3;73.1;2.7;3.1;2.4
172;F Construction;2015 March;82.2;81.6;73.0;15.0;12.1;12.7
173;F Construction;2015 1st quarter;77.2;76.5;72.8;7.1;6.7;6.0
174;F Construction;2015 April;78.9;78.7;72.0;3.1;6.6;6.7
175;F Construction;2015 May;74.9;80.9;77.1;4.5;15.0;15.9
176;F Construction;2015 June;86.8;84.4;78.1;24.3;17.0;16.7
177;F Construction;2015 2nd quarter;80.2;81.3;75.7;10.3;12.8;13.1
178;F Construction;2015 July;69.7;68.5;72.8;5.4;8.0;8.2
179;F Construction;2015 August;44.5;45.7;72.3;8.7;6.2;4.7
180;F Construction;2015 September;86.6;85.4;72.7;6.6;6.5;7.8
181;F Construction;2015 3rd quarter;67.0;66.5;72.6;6.6;7.0;6.9
182;F Construction;2015 October;83.5;83.8;75.5;-2.7;-0.1;-0.3
183;F Construction;2015 November;79.7;80.5;75.6;3.4;0.7;0.7
184;F Construction;2015 December;53.1;53.8;77.3;0.9;2.3;3.3
185;F Construction;2015 4th quarter;72.1;72.7;76.1;0.4;0.8;1.2
186;F Construction;2015;74.1;74.3;74.3;6.1;6.8;6.6
187;F Construction;2016 January;81.5;80.8;79.5;9.2;11.1;9.8
188;F Construction;2016 February;85.6;82.2;79.4;14.6;9.2;8.6
189;F Construction;2016 March;88.0;88.7;79.1;7.1;8.7;8.3
190;F Construction;2016 1st quarter;85.0;83.9;79.3;10.2;9.6;8.9
191;F Construction;2016 April;87.4;86.5;79.3;10.7;10.0;10.1
192;F Construction;2016 May;82.4;83.7;79.6;10.0;3.4;3.2
193;F Construction;2016 June;88.9;86.5;79.9;2.4;2.5;2.3
194;F Construction;2016 2nd quarter;86.2;85.6;79.6;7.5;5.2;5.1
195;F Construction;2016 July;80.3;76.7;81.3;15.2;11.9;11.7
196;F Construction;2016 August;49.3;51.7;82.3;10.8;13.0;13.8
197;F Construction;2016 September;95.2;93.8;81.0;9.8;9.9;11.5
198;F Construction;2016 3rd quarter;74.9;74.0;81.5;11.9;11.3;12.3
199;F Construction;2016 October;89.5;92.3;83.0;7.1;10.1;10.0
200;F Construction;2016 November;88.6;87.4;82.2;11.2;8.6;8.7
201;F Construction;2016 December;59.4;58.0;82.6;11.9;7.8;6.9
202;F Construction;2016 4th quarter;79.2;79.2;82.6;9.8;9.0;8.5
203;F Construction;2016;81.3;80.7;80.8;9.8;8.6;8.7
204;F Construction;2017 January;83.6;86.7;85.2;2.5;7.3;7.1
205;F Construction;2017 February;89.6;90.5;87.0;4.8;10.1;9.6
206;F Construction;2017 March;100.7;97.5;87.8;14.4;9.9;11.1
207;F Construction;2017 1st quarter;91.3;91.5;86.7;7.4;9.1;9.3
208;F Construction;2017 April;89.9;94.6;86.8;2.9;9.3;9.5
209;F Construction;2017 May;95.8;91.5;86.8;16.1;9.3;9.1
210;F Construction;2017 June;95.7;96.3;89.1;7.7;11.4;11.5
211;F Construction;2017 2nd quarter ;93.8;94.1;87.6;8.8;10.0;10.0
212;F Construction;2017 July;85.2;82.6;87.6;6.2;7.7;7.7
213;F Construction;2017 August;53.9;55.6;88.3;9.3;7.6;7.3
214;F Construction;2017 September;99.7;100.8;87.7;4.7;7.5;8.2
215;F Construction;2017 3rd quarter ;79.6;79.7;87.8;6.2;7.6;7.7
216;F Construction;2017 October;96.4;96.7;87.1;7.7;4.9;5.0
217;F Construction;2017 November ;96.6;95.1;89.3;9.0;8.7;8.7
218;F Construction;2017 December;61.8;61.8;88.2;3.9;6.4;6.8
219;F Construction;2017 4th quarter;84.9;84.5;88.2;7.2;6.7;6.8
220;F Construction;2017 ;87.4;87.5;87.6;7.4;8.4;8.4
221;F Construction;2018 January;88.3;89.1;87.1;5.6;2.8;2.3
222;F Construction;2018 February;96.8;96.8;86.1;8.0;7.0;-1.1
223;F Construction;2018 March;99.7;99.6;86.2;-1.0;2.2;-1.8
224;F Construction;2018 1st quarter ;94.9;95.2;86.5;4.0;4.0;-0.2
225;F Construction;2018 April ;95.3;96.9;90.6;6.0;2.5;4.3
226;F Construction;2018 May;99.4;97.7;91.1;3.7;6.7;4.9
227;F Construction;2018 June;106.7;106.9;94.5;11.4;11.1;6.1
228;F Construction;2018 2nd quarter ;100.4;100.5;92.0;7.1;6.8;5.1
229;F Construction;2018 July;103.8;97.2;92.5;21.7;17.7;5.6
230;F Construction;2018 August;38.1;40.0;95.4;-29.2;-28.0;8.1
231;F Construction;2018 September ;105.2;109.5;94.8;5.5;8.7;8.2
232;F Construction;2018 3rd quarter ;82.4;82.3;94.2;3.5;3.3;7.3
233;F Construction;2018 October;97.2;94.9;93.9;0.9;-1.9;7.8
234;F Construction;2018 November ;96.9;95.3;95.3;0.3;0.3;6.7
235;F Construction;2018 December ;74.4;76.0;96.4;20.5;23.0;9.3
236;F Construction;2018 4th quarter;89.5;88.7;95.2;5.4;5.0;7.9
237;F Construction;2018;91.8;91.7;92.0;5.0;4.8;5.0
238;F Construction;2019 January;96.3;95.1;92.9;9.1;6.7;6.6
239;F Construction;2019 February;109.6;109.6;97.5;13.2;13.2;13.3
240;F Construction;2019 March ;108.3;111.4;96.2;8.6;11.8;11.6
241;F Construction;2019 1st quarter ;104.7;105.3;95.5;10.3;10.7;10.5
242;F Construction;2019 April;104.8;103.6;96.9;10.0;6.9;7.0
243;F Construction;2019 May;110.2;105.9;98.8;10.9;8.4;8.5
244;F Construction;2019 June;102.0;107.7;95.3;-4.3;0.7;0.8
245;F Construction;2019 2nd quarter;105.7;105.7;97.0;5.2;5.2;5.4
246;F Construction;2019 July;110.8;101.9;96.8;6.8;4.8;4.7
247;F Construction;2019 August;39.8;42.6;101.4;4.4;6.4;6.3
248;F Construction;2019 September;115.0;116.4;101.1;9.4;6.3;6.6
249;F Construction;2019 3rd quarter ;88.6;87.0;99.8;7.5;5.7;5.9
250;F Construction;2019 October;100.1;97.7;96.6;2.9;2.9;2.8
251;F Construction;2019 November ;96.4;97.5;97.6;-0.5;2.3;2.4
252;F Construction;2019 December ;75.4;76.5;97.1;1.4;0.7;0.8
253;F Construction;2019 4th quarter;90.6;90.6;97.1;1.2;2.1;2.0
254;F Construction;2019;97.4;97.2;97.4;6.1;6.0;5.8
255;F Construction;2020 January;104.8;101.3;99.0;8.9;6.6;6.6
256;F Construction;2020 February ;108.2;110.4;98.3;-1.3;0.8;0.8
257;F Construction;2020 March;114.2;114.1;98.2;5.4;2.5;2.1
258;F Construction;2020 1st quarter;109.1;108.6;98.5;4.2;3.1;3.1
259;F Construction;2020 April ;100.1;98.9;92.6;-4.5;-4.5;-4.4
260;F Construction;2020 May;96.0;99.9;93.0;-12.8;-5.6;-5.8
261;F Construction;2020 June;107.8;106.3;94.1;5.7;-1.3;-1.2
262;F Construction;2020 2nd quarter;101.3;101.7;93.3;-4.1;-3.8;-3.8
263;F Construction;2020 July;106.8;101.6;96.1;-3.7;-0.3;-0.7
264;F Construction;2020 August;37.8;40.1;96.6;-5.0;-5.8;-4.8
265;F Construction;2020 September;113.3;111.5;97.4;-1.5;-4.3;-3.7
266;F Construction;2020 3rd quarter;86.0;84.4;96.7;-2.9;-3.0;-3.1
267;F Construction;2020 October ;98.7;99.1;97.7;-1.4;1.4;1.2
268;F Construction;2020 November;96.6;97.8;98.0;0.3;0.3;0.5
269;F Construction;2020 December ;75.6;77.8;98.9;0.2;1.7;1.8
270;F Construction;2020 4th quarter ;90.3;91.6;98.2;-0.4;1.1;1.2
271;F Construction;2020;96.7;96.6;96.7;-0.8;-0.6;-0.7
272;F Construction;2021 January;102.6;100.5;98.1;-2.1;-0.8;-0.9
273;F Construction;2021 February ;102.6;102.6;91.3;-5.1;-7.1;-7.1
274;F Construction;2021 March;118.0;114.7;98.1;3.4;0.5;-0.1
275;F Construction;2021 1st quarter;107.8;105.9;95.8;-1.2;-2.5;-2.7
276;F Construction;2021 April ;106.3;105.0;98.5;6.2;6.2;6.3
277;F Construction;2021 May;100.9;105.0;97.9;5.1;5.1;5.3
278;F Construction;2021 June;116.9;114.0;101.1;8.4;7.2;7.4
279;F Construction;2021 2nd quarter;108.0;108.0;99.2;6.6;6.2;6.3
280;F Construction;2021 July;115.2;104.7;98.4;7.9;3.0;2.4
281;F Construction;2021 August;36.6;40.8;98.6;-3.2;1.6;2.1
282;F Construction;2021 September ;115.2;113.3;99.6;1.7;1.7;2.2
283;F Construction;2021 3rd quarter ;89.0;86.3;98.9;3.5;2.2;2.2
284;F Construction;2021 October;98.3;101.6;99.9;-0.3;2.5;2.2
285;F Construction;2021 November;103.0;101.3;101.7;6.6;3.6;3.8
286;F Construction;2021 December ;84.3;79.5;101.2;11.6;2.2;2.3
287;F Construction;2021 4th quarter;95.2;94.2;100.9;5.5;2.8;2.8
288;F Construction;2021;100.0;98.6;98.7;3.5;2.1;2.1
289;F Construction;2022 January;100.7;107.6;105.3;-1.9;7.1;7.3
290;F Construction;2022 February;116.8;116.8;104.0;13.8;13.8;13.8
291;F Construction;2022 March;127.5;123.9;105.5;8.0;8.1;7.5
292;F Construction;2022 1st quarter;115.0;116.1;104.9;6.7;9.6;9.5
293;F Construction;2022 April;109.2;111.0;104.2;2.8;5.7;5.8
294;F Construction;2022 May;114.6;113.3;105.6;13.5;7.9;7.8
295;F Construction;2022 June;122.1;121.7;108.1;4.5;6.8;6.9
296;F Construction;2022 2nd quarter;115.3;115.4;106.0;6.7;6.8;6.8
297;F Construction;2022 July;120.0;113.8;106.7;4.2;8.7;8.4
298;F Construction;2022 August;39.4;42.0;101.7;7.4;3.0;3.1
299;F Construction;2022 September;121.1;119.1;105.1;5.1;5.1;5.5
300;F Construction;2022 3rd quarter;93.5;91.6;104.5;5.0;6.3;5.7
301;F Construction;2022 October;105.9;109.5;107.4;7.7;7.7;7.5
302;F Construction;2022 November;109.9;108.2;108.7;6.7;6.7;6.9
303;F Construction;2022 December;88.4;85.8;109.1;4.8;7.9;7.9
304;F Construction;2022 4th quarter;101.4;101.1;108.4;6.5;7.4;7.4
305;F Construction;2022;106.3;106.1;105.9;6.3;7.6;7.3
306;F Construction;2023 January;107.9;112.0;109.6;7.1;4.1;4.1
307;F Construction;2023 February;123.6;123.6;109.9;5.8;5.8;5.7
308;F Construction;2023 March;132.0;128.3;108.8;3.5;3.5;3.1
309;F Construction;2023 1st quarter;121.2;121.3;109.4;5.3;4.5;4.3
310;F Construction;2023 April;106.8;111.7;104.8;-2.2;0.6;0.6
311;F Construction;2023 May;119.2;117.1;109.2;4.1;3.4;3.4
312;F Construction;2023 June;128.5;125.3;111.3;5.3;2.9;2.9
313;F Construction;2023 2nd quarter;118.2;118.0;108.4;2.5;2.3;2.3
314;F Construction;2023 July;121.4;117.7;110.0;1.2;3.4;3.0
315;F Construction;2023 August;42.5;44.4;108.4;8.0;5.7;6.5
316;F Construction;2023 September;120.2;121.7;107.7;-0.7;2.1;2.5
317;F Construction;2023 3rd quarter;94.7;94.6;108.7;1.3;3.2;4.0
318;F Construction;2023 October;109.7;110.1;107.8;3.5;0.6;0.4
319;F Construction;2023 November;106.5;104.7;105.5;-3.2;-3.2;-3.0
320;F Construction;2023 December;84.2;84.1;107.1;-4.7;-1.9;-1.8
321;F Construction;2023 4th quarter;100.1;99.7;106.8;-1.3;-1.4;-1.5
322;F Construction;2023;108.5;108.4;108.3;2.1;2.2;2.3
323;F Construction;2024 January;103.4;104.3;102.2;-4.2;-6.9;-6.7
324;F Construction;2024 February;119.7;118.8;105.6;-3.1;-3.9;-3.9
325;F Construction;2024 March;119.4;124.2;105.1;-9.5;-3.1;-3.4
326;F Construction;2024 1st quarter;114.2;115.8;104.3;-5.8;-4.5;-4.7
327;F Construction;2024 April;115.1;112.5;105.3;7.8;0.7;0.5
328;F Construction;2024 May;114.9;113.5;105.6;-3.6;-3.1;-3.2
329;F Construction;2024 June;114.2;117.5;104.1;-11.1;-6.2;-6.4
330;F Construction;2024 2nd quarter;114.8;114.5;105.0;-2.9;-3.0;-3.1
331;F Construction;2024 July;120.0;109.7;103.1;-1.1;-6.8;-6.3
332;F Construction;2024 August;42.2;45.5;109.1;-0.7;2.6;0.7
333;F Construction;2024 September;118.0;119.3;105.6;-1.9;-2.0;-1.9
334;F Construction;2024 3rd quarter;93.4;91.5;105.9;-1.4;-3.3;-2.5
335;F Construction;2024 October;111.1;108.7;106.5;1.3;-1.3;-1.2
336;F Construction;2024 November;106.1;107.3;107.3;-0.3;2.4;1.7
337;F Construction;2024 December;81.6;82.8;106.1;-3.1;-1.6;-0.9
338;F Construction;2024 4th quarter;99.6;99.6;106.6;-0.5;-0.1;-0.2
339;F Construction;2024;105.5;105.3;105.5;-2.8;-2.8;-2.6
340;F Construction;2025 January;113.2;109.5;107.4;9.5;5.0;5.0
341;F Construction;2025 February;118.6;118.6;105.4;-0.9;-0.1;-0.2
342;41 Construction buildings, development;2005 January;;;;;;
343;41 Construction buildings, development;2005 February;;;;;;
344;41 Construction buildings, development;2005 March;;;;;;
345;41 Construction buildings, development;2005 1st quarter;;;;;;
346;41 Construction buildings, development;2005 April;;;;;;
347;41 Construction buildings, development;2005 May;;;;;;
348;41 Construction buildings, development;2005 June;;;;;;
349;41 Construction buildings, development;2005 2nd quarter;;;;;;
350;41 Construction buildings, development;2005 July;;;;;;
351;41 Construction buildings, development;2005 August;;;;;;
352;41 Construction buildings, development;2005 September;;;;;;
353;41 Construction buildings, development;2005 3rd quarter;;;;;;
354;41 Construction buildings, development;2005 October;;;;;;
355;41 Construction buildings, development;2005 November;;;;;;
356;41 Construction buildings, development;2005 December;;;;;;
357;41 Construction buildings, development;2005 4th quarter;;;;;;
358;41 Construction buildings, development;2005;;;;;;
359;41 Construction buildings, development;2006 January;;;;;;
360;41 Construction buildings, development;2006 February;;;;;;
361;41 Construction buildings, development;2006 March;;;;;;
362;41 Construction buildings, development;2006 1st quarter;;;;;;
363;41 Construction buildings, development;2006 April;;;;;;
364;41 Construction buildings, development;2006 May;;;;;;
365;41 Construction buildings, development;2006 June;;;;;;
366;41 Construction buildings, development;2006 2nd quarter;;;;;;
367;41 Construction buildings, development;2006 July;;;;;;
368;41 Construction buildings, development;2006 August;;;;;;
369;41 Construction buildings, development;2006 September;;;;;;
