ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;TotaalNettoOmzet_24;VerleendeDiensten_25;Handelsgoederen_26;PersonenautoS_27;VrachtautoSAanhangwagensEnOpleggers_28;CaravansVouwwagensEnKampeerautoS_29;Containers_30;Schepen_31;Vliegtuigen_32;OverigeOmzetVerhuurEnLease_33;OntvangstenVoorUitleenEnSubsidie_34;TotaalPersoneelskosten_35;BrutoLonenEnSalarissen_36;SocialeLasten_37;Pensioenpremies_38;KostenUitzendkrachten_39;KostenIngeleendPersoneel_40;OverigePersoneelskosten_41;TotaalOverigeBedrijfslasten_42;TotaalHuisvestingskosten_43;BetaaldeHurenPachtenEDVanLeasing_44;OnroerendeZaakbelastingMilieuheffing_45;Energiekosten_46;ReparatieEnOnderhoudskosten_47;Verzekeringen_48;OverigeHuisvestingskosten_49;TotaalInventarisEnMachinekosten_50;BetaaldeHurenEnKostenVanOperLease_51;Onderhoudskosten_52;OverigeInventarisEnMachinekosten_53;TotaalAutokosten_54;BetaaldeHurenEnKostenVanOperLease_55;Brandstof_56;OverigeAutokosten_57;TotaalVerkoopkosten_58;ReclameEnAdvertentiekosten_59;ReisVerblijfsEnRepresentatiekosten_60;OverigeVerkoopkosten_61;TotaalAndereKosten_62;AccountantsEnAdviesdiensten_63;KantoorbenodigdhDrukwerkVakliteratuur_64;OverigeVerzekeringen_65;OverigeKostprijsverhogendeBelastingen_66;Communicatiekosten_67;Beheerskosten_68;OverigeAutomatiseringskosten_69;NogNietEerderGenoemdeBedrijfskosten_70;TotaalAantalWerkzamePersonen_71;WerknemersOpDeLoonlijst_72;WerknemersNietOpLoonlijst_73;OverigPersoneel_74;AantalVte_75;TotaalInvesteringen_76;TotaalMaterieleVasteActiva_77;Bedrijfsruimten_78;Vervoermiddelen_79;Computers_80;OverigeMachinesApparatenED_81;OverigeMaterieleVasteActiva_82;TotaalImmaterieleVasteActiva_83
10;100 000 tot 250 000 euro;1998;0.5;10.0;9.0;9.0;1.0;1.0;8.0;30.2;12.9;38.3;18.6;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;2.0;75.4;15.5;18.9;9.0;9.0;1.0;9.5;24.4;5.2;1.7;43.2;6.3;6.7;0.2;1.0;85.0;6.1;1.9;0.1;0.6;6.5;1.0;0.0;;;;;;;0.0;;;;0.0;;;;0.0;;;;1.0;;;;;;;;;1.0;55.6;44.4;0.0;1.0;2.0;99.9;0.0;76.2;0.7;8.7;14.3;0.1
11;100 000 tot 250 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;250 000 tot 750 000 euro;1996;0.9;40.0;39.0;38.0;1.0;1.0;32.0;32.9;12.7;42.6;11.8;4.0;1.0;0.0;1.0;1.0;1.0;7.0;-2.0;5.0;72.5;12.0;13.1;39.0;38.0;1.0;0.7;81.9;2.8;5.6;1.3;1.8;0.7;0.6;4.0;66.8;11.9;0.5;5.2;12.6;3.5;4.0;1.0;69.5;3.7;14.1;5.7;3.3;3.8;0.0;30.6;44.5;24.9;1.0;15.6;3.9;80.5;1.0;50.7;4.2;45.1;1.0;61.6;3.8;6.9;0.1;8.2;10.4;1.0;7.9;3.0;64.1;24.5;11.5;3.0;37.0;99.6;0.8;98.5;0.1;0.1;0.1;0.4
13;250 000 tot 750 000 euro;1997;0.7;30.0;29.0;28.0;1.0;1.0;26.0;28.6;14.8;41.1;15.4;4.0;1.0;0.0;1.0;1.0;1.0;4.0;-1.0;3.0;74.4;8.8;10.4;29.0;28.0;1.0;0.2;65.7;3.6;14.2;2.7;2.1;1.2;0.4;4.0;69.5;9.6;1.0;4.5;14.0;1.6;4.0;1.0;76.2;1.6;11.0;2.9;2.2;6.1;0.0;30.6;50.4;19.0;1.0;26.3;18.7;55.0;1.0;31.0;22.2;46.8;1.0;33.1;9.2;7.7;0.0;16.5;12.8;0.0;20.6;3.0;70.8;20.6;8.6;2.0;31.0;98.5;0.4;91.7;0.2;4.8;1.5;1.5
14;250 000 tot 750 000 euro;1998;0.9;38.0;38.0;37.0;0.0;0.0;31.0;38.5;4.9;49.8;6.9;2.0;0.0;0.0;0.0;0.0;1.0;8.0;-2.0;6.0;68.7;15.3;16.1;38.0;37.0;0.0;0.2;71.4;0.1;14.5;4.2;0.6;5.1;0.3;1.0;68.9;11.9;1.8;0.0;17.7;0.0;2.0;0.0;;;;;;;0.0;;;;0.0;;;;0.0;;;;1.0;;;;;;;;;1.0;33.0;62.3;4.7;1.0;25.0;100.0;0.0;99.4;0.0;0.6;0.0;0.0
15;250 000 tot 750 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;750 000 euro en meer;1996;0.7;239.0;223.0;174.0;48.0;16.0;207.0;48.0;12.9;27.4;11.7;24.0;3.0;1.0;2.0;5.0;12.0;33.0;-12.0;21.0;55.4;8.3;8.7;223.0;174.0;48.0;10.9;48.7;0.2;0.2;4.8;0.0;28.1;0.2;27.0;80.9;7.0;4.4;0.5;4.6;2.7;24.0;3.0;55.8;2.5;10.9;22.5;3.2;5.1;1.0;63.8;12.3;23.8;2.0;26.7;20.4;52.9;5.0;21.9;22.2;55.9;12.0;19.6;7.8;12.7;0.2;9.8;29.4;11.5;9.0;7.0;93.6;2.0;4.4;6.0;140.0;99.9;1.5;92.1;0.3;5.1;0.9;0.1
17;750 000 euro en meer;1997;0.7;257.0;237.0;202.0;35.0;20.0;223.0;43.6;13.7;30.4;12.4;28.0;4.0;0.0;2.0;5.0;15.0;34.0;0.0;34.0;59.1;11.9;13.1;237.0;202.0;35.0;2.4;65.5;0.2;2.2;0.0;0.0;19.9;0.6;30.0;71.3;4.7;4.1;8.0;4.2;8.4;28.0;4.0;74.8;3.6;5.3;8.9;2.1;5.4;0.0;15.3;53.1;31.6;2.0;40.4;9.4;50.2;5.0;47.1;33.6;19.3;15.0;22.4;6.6;9.8;0.5;14.7;35.8;6.0;3.6;7.0;92.9;0.9;6.2;6.0;151.0;100.0;0.4;97.1;0.5;0.7;1.4;0.0
18;750 000 euro en meer;1998;0.8;341.0;317.0;275.0;42.0;24.0;315.0;38.6;11.4;40.4;9.6;30.0;5.0;0.0;2.0;7.0;16.0;26.0;-8.0;18.0;61.6;4.8;5.3;317.0;275.0;42.0;2.7;67.5;0.0;0.9;0.0;0.0;18.9;1.6;36.0;66.2;6.2;3.4;12.5;4.6;8.8;30.0;5.0;;;;;;;0.0;;;;2.0;;;;7.0;;;;16.0;;;;;;;;;8.0;90.2;1.9;7.9;6.0;424.0;100.0;1.3;97.7;0.4;0.4;0.1;0.0
19;750 000 euro en meer;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
