ID;Overheidsinstellingen;Bestrijdingsmiddelen;Toepassingssectoren;Perioden;GebruikInKgWerkzameStof_1
37;Totaal overheidsinstellingen;Totaal;Sportvelden;2001;4165
38;Totaal overheidsinstellingen;Totaal;Sportvelden;2005;3760
39;Totaal overheidsinstellingen;Totaal;Sportvelden;2009;2371
40;Totaal overheidsinstellingen;Totaal;Sportvelden;2013;2030
41;Totaal overheidsinstellingen;Totaal;Sportvelden;2018;963
42;Totaal overheidsinstellingen;Totaal;Andere groene elementen;1992;1911
43;Totaal overheidsinstellingen;Totaal;Andere groene elementen;1995;1148
44;Totaal overheidsinstellingen;Totaal;Andere groene elementen;2001;890
45;Totaal overheidsinstellingen;Totaal;Andere groene elementen;2005;833
46;Totaal overheidsinstellingen;Totaal;Andere groene elementen;2009;201
47;Totaal overheidsinstellingen;Totaal;Andere groene elementen;2013;284
48;Totaal overheidsinstellingen;Totaal;Andere groene elementen;2018;62
49;Totaal overheidsinstellingen;Totaal;Kwekerijen;1992;531
50;Totaal overheidsinstellingen;Totaal;Kwekerijen;1995;474
51;Totaal overheidsinstellingen;Totaal;Kwekerijen;2001;22
52;Totaal overheidsinstellingen;Totaal;Kwekerijen;2005;74
53;Totaal overheidsinstellingen;Totaal;Kwekerijen;2009;27
54;Totaal overheidsinstellingen;Totaal;Kwekerijen;2013;12
55;Totaal overheidsinstellingen;Totaal;Kwekerijen;2018;0
56;Totaal overheidsinstellingen;Totaal;Totaal verhardingen;1992;27189
57;Totaal overheidsinstellingen;Totaal;Totaal verhardingen;1995;26651
58;Totaal overheidsinstellingen;Totaal;Totaal verhardingen;2001;20508
59;Totaal overheidsinstellingen;Totaal;Totaal verhardingen;2005;29737
60;Totaal overheidsinstellingen;Totaal;Totaal verhardingen;2009;15094
61;Totaal overheidsinstellingen;Totaal;Totaal verhardingen;2013;16358
62;Totaal overheidsinstellingen;Totaal;Totaal verhardingen;2018;14
63;Totaal overheidsinstellingen;Totaal;Spoorbanen;1992;11135
64;Totaal overheidsinstellingen;Totaal;Spoorbanen;1995;4898
65;Totaal overheidsinstellingen;Totaal;Spoorbanen;2001;6040
66;Totaal overheidsinstellingen;Totaal;Spoorbanen;2005;6350
67;Totaal overheidsinstellingen;Totaal;Spoorbanen;2009;3799
68;Totaal overheidsinstellingen;Totaal;Spoorbanen;2013;3855
69;Totaal overheidsinstellingen;Totaal;Spoorbanen;2018;3253
70;Totaal overheidsinstellingen;Herbiciden;Totaal toepassingssectoren;1992;68822
71;Totaal overheidsinstellingen;Herbiciden;Totaal toepassingssectoren;1995;49296
72;Totaal overheidsinstellingen;Herbiciden;Totaal toepassingssectoren;2001;41990
73;Totaal overheidsinstellingen;Herbiciden;Totaal toepassingssectoren;2005;53551
74;Totaal overheidsinstellingen;Herbiciden;Totaal toepassingssectoren;2009;25209
75;Totaal overheidsinstellingen;Herbiciden;Totaal toepassingssectoren;2013;25749
76;Totaal overheidsinstellingen;Herbiciden;Totaal toepassingssectoren;2018;4401
77;Totaal overheidsinstellingen;Herbiciden;Waterlopen en vijvers;1992;3752
78;Totaal overheidsinstellingen;Herbiciden;Waterlopen en vijvers;1995;557
79;Totaal overheidsinstellingen;Herbiciden;Waterlopen en vijvers;2001;0
80;Totaal overheidsinstellingen;Herbiciden;Waterlopen en vijvers;2005;6
81;Totaal overheidsinstellingen;Herbiciden;Waterlopen en vijvers;2009;9
82;Totaal overheidsinstellingen;Herbiciden;Waterlopen en vijvers;2013;31
83;Totaal overheidsinstellingen;Herbiciden;Waterlopen en vijvers;2018;1
84;Totaal overheidsinstellingen;Herbiciden;Beplantingen binnen de bebouwde kom;1992;18328
85;Totaal overheidsinstellingen;Herbiciden;Beplantingen binnen de bebouwde kom;1995;10904
86;Totaal overheidsinstellingen;Herbiciden;Beplantingen binnen de bebouwde kom;2001;10177
87;Totaal overheidsinstellingen;Herbiciden;Beplantingen binnen de bebouwde kom;2005;12089
88;Totaal overheidsinstellingen;Herbiciden;Beplantingen binnen de bebouwde kom;2009;3475
89;Totaal overheidsinstellingen;Herbiciden;Beplantingen binnen de bebouwde kom;2013;3080
90;Totaal overheidsinstellingen;Herbiciden;Beplantingen binnen de bebouwde kom;2018;74
91;Totaal overheidsinstellingen;Herbiciden;Beplantingen buiten de bebouwde kom;1992;1090
92;Totaal overheidsinstellingen;Herbiciden;Beplantingen buiten de bebouwde kom;1995;405
93;Totaal overheidsinstellingen;Herbiciden;Beplantingen buiten de bebouwde kom;2001;187
94;Totaal overheidsinstellingen;Herbiciden;Beplantingen buiten de bebouwde kom;2005;574
95;Totaal overheidsinstellingen;Herbiciden;Beplantingen buiten de bebouwde kom;2009;120
96;Totaal overheidsinstellingen;Herbiciden;Beplantingen buiten de bebouwde kom;2013;116
97;Totaal overheidsinstellingen;Herbiciden;Beplantingen buiten de bebouwde kom;2018;22
98;Totaal overheidsinstellingen;Herbiciden;Bossen en natuurterreinen;1992;291
99;Totaal overheidsinstellingen;Herbiciden;Bossen en natuurterreinen;1995;236
100;Totaal overheidsinstellingen;Herbiciden;Bossen en natuurterreinen;2001;103
101;Totaal overheidsinstellingen;Herbiciden;Bossen en natuurterreinen;2005;135
102;Totaal overheidsinstellingen;Herbiciden;Bossen en natuurterreinen;2009;136
103;Totaal overheidsinstellingen;Herbiciden;Bossen en natuurterreinen;2013;61
104;Totaal overheidsinstellingen;Herbiciden;Bossen en natuurterreinen;2018;176
105;Totaal overheidsinstellingen;Herbiciden;Sportvelden;1992;5466
106;Totaal overheidsinstellingen;Herbiciden;Sportvelden;1995;4821
107;Totaal overheidsinstellingen;Herbiciden;Sportvelden;2001;4079
108;Totaal overheidsinstellingen;Herbiciden;Sportvelden;2005;3757
109;Totaal overheidsinstellingen;Herbiciden;Sportvelden;2009;2370
110;Totaal overheidsinstellingen;Herbiciden;Sportvelden;2013;2029
111;Totaal overheidsinstellingen;Herbiciden;Sportvelden;2018;835
112;Totaal overheidsinstellingen;Herbiciden;Andere groene elementen;1992;1862
113;Totaal overheidsinstellingen;Herbiciden;Andere groene elementen;1995;1132
114;Totaal overheidsinstellingen;Herbiciden;Andere groene elementen;2001;887
115;Totaal overheidsinstellingen;Herbiciden;Andere groene elementen;2005;832
116;Totaal overheidsinstellingen;Herbiciden;Andere groene elementen;2009;201
117;Totaal overheidsinstellingen;Herbiciden;Andere groene elementen;2013;284
118;Totaal overheidsinstellingen;Herbiciden;Andere groene elementen;2018;26
119;Totaal overheidsinstellingen;Herbiciden;Kwekerijen;1992;100
120;Totaal overheidsinstellingen;Herbiciden;Kwekerijen;1995;70
121;Totaal overheidsinstellingen;Herbiciden;Kwekerijen;2001;15
122;Totaal overheidsinstellingen;Herbiciden;Kwekerijen;2005;72
123;Totaal overheidsinstellingen;Herbiciden;Kwekerijen;2009;5
124;Totaal overheidsinstellingen;Herbiciden;Kwekerijen;2013;10
125;Totaal overheidsinstellingen;Herbiciden;Kwekerijen;2018;0
126;Totaal overheidsinstellingen;Herbiciden;Totaal verhardingen;1992;26811
127;Totaal overheidsinstellingen;Herbiciden;Totaal verhardingen;1995;26274
128;Totaal overheidsinstellingen;Herbiciden;Totaal verhardingen;2001;20501
129;Totaal overheidsinstellingen;Herbiciden;Totaal verhardingen;2005;29735
130;Totaal overheidsinstellingen;Herbiciden;Totaal verhardingen;2009;15094
131;Totaal overheidsinstellingen;Herbiciden;Totaal verhardingen;2013;16284
132;Totaal overheidsinstellingen;Herbiciden;Totaal verhardingen;2018;14
133;Totaal overheidsinstellingen;Herbiciden;Spoorbanen;1992;11135
134;Totaal overheidsinstellingen;Herbiciden;Spoorbanen;1995;4898
135;Totaal overheidsinstellingen;Herbiciden;Spoorbanen;2001;6040
136;Totaal overheidsinstellingen;Herbiciden;Spoorbanen;2005;6350
137;Totaal overheidsinstellingen;Herbiciden;Spoorbanen;2009;3799
138;Totaal overheidsinstellingen;Herbiciden;Spoorbanen;2013;3854
139;Totaal overheidsinstellingen;Herbiciden;Spoorbanen;2018;3253
140;Totaal overheidsinstellingen;Insecticiden;Totaal toepassingssectoren;1992;817
141;Totaal overheidsinstellingen;Insecticiden;Totaal toepassingssectoren;1995;116
142;Totaal overheidsinstellingen;Insecticiden;Totaal toepassingssectoren;2001;125
143;Totaal overheidsinstellingen;Insecticiden;Totaal toepassingssectoren;2005;18
144;Totaal overheidsinstellingen;Insecticiden;Totaal toepassingssectoren;2009;142
145;Totaal overheidsinstellingen;Insecticiden;Totaal toepassingssectoren;2013;4
146;Totaal overheidsinstellingen;Insecticiden;Totaal toepassingssectoren;2018;330
147;Totaal overheidsinstellingen;Insecticiden;Waterlopen en vijvers;1992;0
148;Totaal overheidsinstellingen;Insecticiden;Waterlopen en vijvers;1995;0
149;Totaal overheidsinstellingen;Insecticiden;Waterlopen en vijvers;2001;0
150;Totaal overheidsinstellingen;Insecticiden;Waterlopen en vijvers;2005;0
151;Totaal overheidsinstellingen;Insecticiden;Waterlopen en vijvers;2009;0
152;Totaal overheidsinstellingen;Insecticiden;Waterlopen en vijvers;2013;0
153;Totaal overheidsinstellingen;Insecticiden;Waterlopen en vijvers;2018;0
154;Totaal overheidsinstellingen;Insecticiden;Beplantingen binnen de bebouwde kom;1992;355
155;Totaal overheidsinstellingen;Insecticiden;Beplantingen binnen de bebouwde kom;1995;52
156;Totaal overheidsinstellingen;Insecticiden;Beplantingen binnen de bebouwde kom;2001;36
157;Totaal overheidsinstellingen;Insecticiden;Beplantingen binnen de bebouwde kom;2005;6
158;Totaal overheidsinstellingen;Insecticiden;Beplantingen binnen de bebouwde kom;2009;92
159;Totaal overheidsinstellingen;Insecticiden;Beplantingen binnen de bebouwde kom;2013;1
160;Totaal overheidsinstellingen;Insecticiden;Beplantingen binnen de bebouwde kom;2018;58
161;Totaal overheidsinstellingen;Insecticiden;Beplantingen buiten de bebouwde kom;1992;6
162;Totaal overheidsinstellingen;Insecticiden;Beplantingen buiten de bebouwde kom;1995;0
163;Totaal overheidsinstellingen;Insecticiden;Beplantingen buiten de bebouwde kom;2001;5
164;Totaal overheidsinstellingen;Insecticiden;Beplantingen buiten de bebouwde kom;2005;10
165;Totaal overheidsinstellingen;Insecticiden;Beplantingen buiten de bebouwde kom;2009;44
166;Totaal overheidsinstellingen;Insecticiden;Beplantingen buiten de bebouwde kom;2013;0
167;Totaal overheidsinstellingen;Insecticiden;Beplantingen buiten de bebouwde kom;2018;104
168;Totaal overheidsinstellingen;Insecticiden;Bossen en natuurterreinen;1992;0
169;Totaal overheidsinstellingen;Insecticiden;Bossen en natuurterreinen;1995;0
170;Totaal overheidsinstellingen;Insecticiden;Bossen en natuurterreinen;2001;0
171;Totaal overheidsinstellingen;Insecticiden;Bossen en natuurterreinen;2005;0
172;Totaal overheidsinstellingen;Insecticiden;Bossen en natuurterreinen;2009;4
173;Totaal overheidsinstellingen;Insecticiden;Bossen en natuurterreinen;2013;0
174;Totaal overheidsinstellingen;Insecticiden;Bossen en natuurterreinen;2018;4
175;Totaal overheidsinstellingen;Insecticiden;Sportvelden;1992;61
176;Totaal overheidsinstellingen;Insecticiden;Sportvelden;1995;51
177;Totaal overheidsinstellingen;Insecticiden;Sportvelden;2001;83
178;Totaal overheidsinstellingen;Insecticiden;Sportvelden;2005;2
179;Totaal overheidsinstellingen;Insecticiden;Sportvelden;2009;0
180;Totaal overheidsinstellingen;Insecticiden;Sportvelden;2013;1
181;Totaal overheidsinstellingen;Insecticiden;Sportvelden;2018;128
182;Totaal overheidsinstellingen;Insecticiden;Andere groene elementen;1992;10
183;Totaal overheidsinstellingen;Insecticiden;Andere groene elementen;1995;0
184;Totaal overheidsinstellingen;Insecticiden;Andere groene elementen;2001;0
185;Totaal overheidsinstellingen;Insecticiden;Andere groene elementen;2005;0
186;Totaal overheidsinstellingen;Insecticiden;Andere groene elementen;2009;0
187;Totaal overheidsinstellingen;Insecticiden;Andere groene elementen;2013;0
188;Totaal overheidsinstellingen;Insecticiden;Andere groene elementen;2018;36
189;Totaal overheidsinstellingen;Insecticiden;Kwekerijen;1992;385
190;Totaal overheidsinstellingen;Insecticiden;Kwekerijen;1995;13
191;Totaal overheidsinstellingen;Insecticiden;Kwekerijen;2001;1
192;Totaal overheidsinstellingen;Insecticiden;Kwekerijen;2005;0
193;Totaal overheidsinstellingen;Insecticiden;Kwekerijen;2009;2
194;Totaal overheidsinstellingen;Insecticiden;Kwekerijen;2013;2
195;Totaal overheidsinstellingen;Insecticiden;Kwekerijen;2018;0
196;Totaal overheidsinstellingen;Insecticiden;Totaal verhardingen;1992;0
197;Totaal overheidsinstellingen;Insecticiden;Totaal verhardingen;1995;0
198;Totaal overheidsinstellingen;Insecticiden;Totaal verhardingen;2001;0
199;Totaal overheidsinstellingen;Insecticiden;Totaal verhardingen;2005;0
200;Totaal overheidsinstellingen;Insecticiden;Totaal verhardingen;2009;0
201;Totaal overheidsinstellingen;Insecticiden;Totaal verhardingen;2013;0
202;Totaal overheidsinstellingen;Insecticiden;Totaal verhardingen;2018;0
203;Totaal overheidsinstellingen;Insecticiden;Spoorbanen;1992;0
204;Totaal overheidsinstellingen;Insecticiden;Spoorbanen;1995;0
205;Totaal overheidsinstellingen;Insecticiden;Spoorbanen;2001;0
206;Totaal overheidsinstellingen;Insecticiden;Spoorbanen;2005;0
207;Totaal overheidsinstellingen;Insecticiden;Spoorbanen;2009;0
208;Totaal overheidsinstellingen;Insecticiden;Spoorbanen;2013;0
209;Totaal overheidsinstellingen;Insecticiden;Spoorbanen;2018;0
210;Totaal overheidsinstellingen;Fungiciden;Totaal toepassingssectoren;1992;142
211;Totaal overheidsinstellingen;Fungiciden;Totaal toepassingssectoren;1995;131
212;Totaal overheidsinstellingen;Fungiciden;Totaal toepassingssectoren;2001;13
213;Totaal overheidsinstellingen;Fungiciden;Totaal toepassingssectoren;2005;24
214;Totaal overheidsinstellingen;Fungiciden;Totaal toepassingssectoren;2009;27
215;Totaal overheidsinstellingen;Fungiciden;Totaal toepassingssectoren;2013;1
216;Totaal overheidsinstellingen;Fungiciden;Totaal toepassingssectoren;2018;0
217;Totaal overheidsinstellingen;Fungiciden;Waterlopen en vijvers;1992;0
218;Totaal overheidsinstellingen;Fungiciden;Waterlopen en vijvers;1995;0
219;Totaal overheidsinstellingen;Fungiciden;Waterlopen en vijvers;2001;0
220;Totaal overheidsinstellingen;Fungiciden;Waterlopen en vijvers;2005;0
221;Totaal overheidsinstellingen;Fungiciden;Waterlopen en vijvers;2009;0
222;Totaal overheidsinstellingen;Fungiciden;Waterlopen en vijvers;2013;0
223;Totaal overheidsinstellingen;Fungiciden;Waterlopen en vijvers;2018;0
224;Totaal overheidsinstellingen;Fungiciden;Beplantingen binnen de bebouwde kom;1992;119
225;Totaal overheidsinstellingen;Fungiciden;Beplantingen binnen de bebouwde kom;1995;75
226;Totaal overheidsinstellingen;Fungiciden;Beplantingen binnen de bebouwde kom;2001;7
227;Totaal overheidsinstellingen;Fungiciden;Beplantingen binnen de bebouwde kom;2005;12
228;Totaal overheidsinstellingen;Fungiciden;Beplantingen binnen de bebouwde kom;2009;8
229;Totaal overheidsinstellingen;Fungiciden;Beplantingen binnen de bebouwde kom;2013;1
230;Totaal overheidsinstellingen;Fungiciden;Beplantingen binnen de bebouwde kom;2018;0
231;Totaal overheidsinstellingen;Fungiciden;Beplantingen buiten de bebouwde kom;1992;5
232;Totaal overheidsinstellingen;Fungiciden;Beplantingen buiten de bebouwde kom;1995;28
233;Totaal overheidsinstellingen;Fungiciden;Beplantingen buiten de bebouwde kom;2001;0
234;Totaal overheidsinstellingen;Fungiciden;Beplantingen buiten de bebouwde kom;2005;8
235;Totaal overheidsinstellingen;Fungiciden;Beplantingen buiten de bebouwde kom;2009;0
236;Totaal overheidsinstellingen;Fungiciden;Beplantingen buiten de bebouwde kom;2013;0
237;Totaal overheidsinstellingen;Fungiciden;Beplantingen buiten de bebouwde kom;2018;0
238;Totaal overheidsinstellingen;Fungiciden;Bossen en natuurterreinen;1992;2
239;Totaal overheidsinstellingen;Fungiciden;Bossen en natuurterreinen;1995;6
240;Totaal overheidsinstellingen;Fungiciden;Bossen en natuurterreinen;2001;0
241;Totaal overheidsinstellingen;Fungiciden;Bossen en natuurterreinen;2005;0
242;Totaal overheidsinstellingen;Fungiciden;Bossen en natuurterreinen;2009;0
243;Totaal overheidsinstellingen;Fungiciden;Bossen en natuurterreinen;2013;0
244;Totaal overheidsinstellingen;Fungiciden;Bossen en natuurterreinen;2018;0
245;Totaal overheidsinstellingen;Fungiciden;Sportvelden;1992;1
246;Totaal overheidsinstellingen;Fungiciden;Sportvelden;1995;12
247;Totaal overheidsinstellingen;Fungiciden;Sportvelden;2001;0
248;Totaal overheidsinstellingen;Fungiciden;Sportvelden;2005;0
249;Totaal overheidsinstellingen;Fungiciden;Sportvelden;2009;1
250;Totaal overheidsinstellingen;Fungiciden;Sportvelden;2013;0
251;Totaal overheidsinstellingen;Fungiciden;Sportvelden;2018;0
252;Totaal overheidsinstellingen;Fungiciden;Andere groene elementen;1992;0
253;Totaal overheidsinstellingen;Fungiciden;Andere groene elementen;1995;0
254;Totaal overheidsinstellingen;Fungiciden;Andere groene elementen;2001;0
255;Totaal overheidsinstellingen;Fungiciden;Andere groene elementen;2005;0
256;Totaal overheidsinstellingen;Fungiciden;Andere groene elementen;2009;0
257;Totaal overheidsinstellingen;Fungiciden;Andere groene elementen;2013;0
258;Totaal overheidsinstellingen;Fungiciden;Andere groene elementen;2018;0
259;Totaal overheidsinstellingen;Fungiciden;Kwekerijen;1992;16
260;Totaal overheidsinstellingen;Fungiciden;Kwekerijen;1995;9
261;Totaal overheidsinstellingen;Fungiciden;Kwekerijen;2001;6
262;Totaal overheidsinstellingen;Fungiciden;Kwekerijen;2005;1
263;Totaal overheidsinstellingen;Fungiciden;Kwekerijen;2009;18
264;Totaal overheidsinstellingen;Fungiciden;Kwekerijen;2013;0
265;Totaal overheidsinstellingen;Fungiciden;Kwekerijen;2018;0
266;Totaal overheidsinstellingen;Fungiciden;Totaal verhardingen;1992;0
267;Totaal overheidsinstellingen;Fungiciden;Totaal verhardingen;1995;0
268;Totaal overheidsinstellingen;Fungiciden;Totaal verhardingen;2001;0
269;Totaal overheidsinstellingen;Fungiciden;Totaal verhardingen;2005;2
270;Totaal overheidsinstellingen;Fungiciden;Totaal verhardingen;2009;0
271;Totaal overheidsinstellingen;Fungiciden;Totaal verhardingen;2013;0
272;Totaal overheidsinstellingen;Fungiciden;Totaal verhardingen;2018;0
273;Totaal overheidsinstellingen;Fungiciden;Spoorbanen;1992;0
274;Totaal overheidsinstellingen;Fungiciden;Spoorbanen;1995;0
275;Totaal overheidsinstellingen;Fungiciden;Spoorbanen;2001;0
276;Totaal overheidsinstellingen;Fungiciden;Spoorbanen;2005;0
277;Totaal overheidsinstellingen;Fungiciden;Spoorbanen;2009;0
278;Totaal overheidsinstellingen;Fungiciden;Spoorbanen;2013;0
279;Totaal overheidsinstellingen;Fungiciden;Spoorbanen;2018;0
280;Totaal overheidsinstellingen;Overige stoffen;Totaal toepassingssectoren;1992;869
281;Totaal overheidsinstellingen;Overige stoffen;Totaal toepassingssectoren;1995;829
282;Totaal overheidsinstellingen;Overige stoffen;Totaal toepassingssectoren;2001;14
283;Totaal overheidsinstellingen;Overige stoffen;Totaal toepassingssectoren;2005;1
284;Totaal overheidsinstellingen;Overige stoffen;Totaal toepassingssectoren;2009;2
285;Totaal overheidsinstellingen;Overige stoffen;Totaal toepassingssectoren;2013;75
286;Totaal overheidsinstellingen;Overige stoffen;Totaal toepassingssectoren;2018;0
287;Totaal overheidsinstellingen;Overige stoffen;Waterlopen en vijvers;1992;9
288;Totaal overheidsinstellingen;Overige stoffen;Waterlopen en vijvers;1995;0
289;Totaal overheidsinstellingen;Overige stoffen;Waterlopen en vijvers;2001;0
290;Totaal overheidsinstellingen;Overige stoffen;Waterlopen en vijvers;2005;0
291;Totaal overheidsinstellingen;Overige stoffen;Waterlopen en vijvers;2009;0
292;Totaal overheidsinstellingen;Overige stoffen;Waterlopen en vijvers;2013;0
293;Totaal overheidsinstellingen;Overige stoffen;Waterlopen en vijvers;2018;0
294;Totaal overheidsinstellingen;Overige stoffen;Beplantingen binnen de bebouwde kom;1992;273
295;Totaal overheidsinstellingen;Overige stoffen;Beplantingen binnen de bebouwde kom;1995;0
296;Totaal overheidsinstellingen;Overige stoffen;Beplantingen binnen de bebouwde kom;2001;0
297;Totaal overheidsinstellingen;Overige stoffen;Beplantingen binnen de bebouwde kom;2005;0
298;Totaal overheidsinstellingen;Overige stoffen;Beplantingen binnen de bebouwde kom;2009;0
299;Totaal overheidsinstellingen;Overige stoffen;Beplantingen binnen de bebouwde kom;2013;2
300;Totaal overheidsinstellingen;Overige stoffen;Beplantingen binnen de bebouwde kom;2018;0
301;Totaal overheidsinstellingen;Overige stoffen;Beplantingen buiten de bebouwde kom;1992;57
302;Totaal overheidsinstellingen;Overige stoffen;Beplantingen buiten de bebouwde kom;1995;0
303;Totaal overheidsinstellingen;Overige stoffen;Beplantingen buiten de bebouwde kom;2001;0
304;Totaal overheidsinstellingen;Overige stoffen;Beplantingen buiten de bebouwde kom;2005;0
305;Totaal overheidsinstellingen;Overige stoffen;Beplantingen buiten de bebouwde kom;2009;0
306;Totaal overheidsinstellingen;Overige stoffen;Beplantingen buiten de bebouwde kom;2013;0
307;Totaal overheidsinstellingen;Overige stoffen;Beplantingen buiten de bebouwde kom;2018;0
308;Totaal overheidsinstellingen;Overige stoffen;Bossen en natuurterreinen;1992;63
309;Totaal overheidsinstellingen;Overige stoffen;Bossen en natuurterreinen;1995;0
310;Totaal overheidsinstellingen;Overige stoffen;Bossen en natuurterreinen;2001;0
311;Totaal overheidsinstellingen;Overige stoffen;Bossen en natuurterreinen;2005;0
312;Totaal overheidsinstellingen;Overige stoffen;Bossen en natuurterreinen;2009;0
313;Totaal overheidsinstellingen;Overige stoffen;Bossen en natuurterreinen;2013;0
314;Totaal overheidsinstellingen;Overige stoffen;Bossen en natuurterreinen;2018;0
315;Totaal overheidsinstellingen;Overige stoffen;Sportvelden;1992;20
316;Totaal overheidsinstellingen;Overige stoffen;Sportvelden;1995;0
317;Totaal overheidsinstellingen;Overige stoffen;Sportvelden;2001;0
318;Totaal overheidsinstellingen;Overige stoffen;Sportvelden;2005;0
319;Totaal overheidsinstellingen;Overige stoffen;Sportvelden;2009;0
320;Totaal overheidsinstellingen;Overige stoffen;Sportvelden;2013;0
321;Totaal overheidsinstellingen;Overige stoffen;Sportvelden;2018;0
322;Totaal overheidsinstellingen;Overige stoffen;Andere groene elementen;1992;39
323;Totaal overheidsinstellingen;Overige stoffen;Andere groene elementen;1995;0
324;Totaal overheidsinstellingen;Overige stoffen;Andere groene elementen;2001;0
325;Totaal overheidsinstellingen;Overige stoffen;Andere groene elementen;2005;0
326;Totaal overheidsinstellingen;Overige stoffen;Andere groene elementen;2009;0
327;Totaal overheidsinstellingen;Overige stoffen;Andere groene elementen;2013;0
328;Totaal overheidsinstellingen;Overige stoffen;Andere groene elementen;2018;0
329;Totaal overheidsinstellingen;Overige stoffen;Kwekerijen;1992;30
330;Totaal overheidsinstellingen;Overige stoffen;Kwekerijen;1995;0
331;Totaal overheidsinstellingen;Overige stoffen;Kwekerijen;2001;0
332;Totaal overheidsinstellingen;Overige stoffen;Kwekerijen;2005;0
333;Totaal overheidsinstellingen;Overige stoffen;Kwekerijen;2009;2
334;Totaal overheidsinstellingen;Overige stoffen;Kwekerijen;2013;0
335;Totaal overheidsinstellingen;Overige stoffen;Kwekerijen;2018;0
336;Totaal overheidsinstellingen;Overige stoffen;Totaal verhardingen;1992;378
337;Totaal overheidsinstellingen;Overige stoffen;Totaal verhardingen;1995;0
338;Totaal overheidsinstellingen;Overige stoffen;Totaal verhardingen;2001;0
339;Totaal overheidsinstellingen;Overige stoffen;Totaal verhardingen;2005;0
340;Totaal overheidsinstellingen;Overige stoffen;Totaal verhardingen;2009;0
341;Totaal overheidsinstellingen;Overige stoffen;Totaal verhardingen;2013;73
342;Totaal overheidsinstellingen;Overige stoffen;Totaal verhardingen;2018;0
343;Totaal overheidsinstellingen;Overige stoffen;Spoorbanen;1992;0
344;Totaal overheidsinstellingen;Overige stoffen;Spoorbanen;1995;0
345;Totaal overheidsinstellingen;Overige stoffen;Spoorbanen;2001;0
346;Totaal overheidsinstellingen;Overige stoffen;Spoorbanen;2005;0
347;Totaal overheidsinstellingen;Overige stoffen;Spoorbanen;2009;0
348;Totaal overheidsinstellingen;Overige stoffen;Spoorbanen;2013;0
349;Totaal overheidsinstellingen;Overige stoffen;Spoorbanen;2018;0
