ID;SectorBranchesSIC2008;Periods;TurnoverIndicesOnlineSales_1;TurnoverYearOnYearChange_2
65;Retail trade (incl. webshops);2017 December;260.3;23.1
66;Retail trade (incl. webshops);2017 4th quarter;234.1;19.7
67;Retail trade (incl. webshops);2017;194.1;18.6
68;Retail trade (incl. webshops);2018 January;223.3;22.5
69;Retail trade (no webshops);2014 January;111.8;17.0
70;Retail trade (no webshops);2014 February;91.2;17.0
71;Retail trade (no webshops);2014 March;110.9;16.5
72;Retail trade (no webshops);2014 1st quarter;104.7;16.8
73;Retail trade (no webshops);2014 April;120.0;32.3
74;Retail trade (no webshops);2014 May;116.2;19.0
75;Retail trade (no webshops);2014 June;115.2;15.4
76;Retail trade (no webshops);2014 2nd quarter;117.1;21.9
77;Retail trade (no webshops);2014 July;109.1;20.9
78;Retail trade (no webshops);2014 August;108.4;25.0
79;Retail trade (no webshops);2014 September;115.0;5.7
80;Retail trade (no webshops);2014 3rd quarter;110.8;16.4
81;Retail trade (no webshops);2014 October;128.5;14.3
82;Retail trade (no webshops);2014 November;133.4;12.1
83;Retail trade (no webshops);2014 December;158.8;25.9
84;Retail trade (no webshops);2014 4th quarter;140.2;17.7
85;Retail trade (no webshops);2014;118.2;18.2
86;Retail trade (no webshops);2015 January;139.7;25.0
87;Retail trade (no webshops);2015 February;110.2;20.8
88;Retail trade (no webshops);2015 March;132.8;19.7
89;Retail trade (no webshops);2015 1st quarter;127.6;21.9
90;Retail trade (no webshops);2015 April;137.3;14.4
91;Retail trade (no webshops);2015 May;130.3;12.2
92;Retail trade (no webshops);2015 June;152.5;32.4
93;Retail trade (no webshops);2015 2nd quarter;140.0;19.6
94;Retail trade (no webshops);2015 July;133.7;22.6
95;Retail trade (no webshops);2015 August;127.5;17.6
96;Retail trade (no webshops);2015 September;143.9;25.2
97;Retail trade (no webshops);2015 3rd quarter;135.1;21.9
98;Retail trade (no webshops);2015 October;160.3;24.8
99;Retail trade (no webshops);2015 November;162.0;21.4
100;Retail trade (no webshops);2015 December;183.8;15.8
101;Retail trade (no webshops);2015 4th quarter;168.7;20.3
102;Retail trade (no webshops);2015;142.8;20.8
103;Retail trade (no webshops);2016 January;161.3;15.5
104;Retail trade (no webshops);2016 February;134.1;21.7
105;Retail trade (no webshops);2016 March;151.2;13.9
106;Retail trade (no webshops);2016 1st quarter;148.8;16.7
107;Retail trade (no webshops);2016 April;149.6;9.0
108;Retail trade (no webshops);2016 May;166.3;27.6
109;Retail trade (no webshops);2016 June;173.4;13.7
110;Retail trade (no webshops);2016 2nd quarter;163.1;16.5
111;Retail trade (no webshops);2016 July;148.9;11.4
112;Retail trade (no webshops);2016 August;143.2;12.3
113;Retail trade (no webshops);2016 September;156.3;8.6
114;Retail trade (no webshops);2016 3rd quarter;149.5;10.7
115;Retail trade (no webshops);2016 October;187.1;16.7
116;Retail trade (no webshops);2016 November;208.0;28.4
117;Retail trade (no webshops);2016 December;210.8;14.7
118;Retail trade (no webshops);2016 4th quarter;202.0;19.7
119;Retail trade (no webshops);2016;165.9;16.1
120;Retail trade (no webshops);2017 January;195.5;21.2
121;Retail trade (no webshops);2017 February;148.8;11.0
122;Retail trade (no webshops);2017 March;175.7;16.3
123;Retail trade (no webshops);2017 1st quarter;173.3;16.5
124;Retail trade (no webshops);2017 April;188.1;25.7
125;Retail trade (no webshops);2017 May;208.8;25.6
126;Retail trade (no webshops);2017 June;215.0;24.0
127;Retail trade (no webshops);2017 2nd quarter;204.0;25.0
128;Retail trade (no webshops);2017 July;180.9;21.5
129;Retail trade (no webshops);2017 August;169.8;18.6
130;Retail trade (no webshops);2017 September;203.6;30.3
131;Retail trade (no webshops);2017 3rd quarter;184.8;23.6
132;Retail trade (no webshops);2017 October;206.5;10.4
133;Retail trade (no webshops);2017 November;256.5;23.3
134;Retail trade (no webshops);2017 December;271.5;28.8
135;Retail trade (no webshops);2017 4th quarter;244.9;21.2
136;Retail trade (no webshops);2017;201.7;21.6
137;Retail trade (no webshops);2018 January;247.1;26.4
138;Webshops;2014 January;101.8;3.8
139;Webshops;2014 February;92.3;4.0
140;Webshops;2014 March;99.8;9.1
141;Webshops;2014 1st quarter;98.0;5.6
142;Webshops;2014 April;102.6;13.0
143;Webshops;2014 May;106.2;5.9
144;Webshops;2014 June;106.6;8.6
145;Webshops;2014 2nd quarter;105.1;9.1
146;Webshops;2014 July;104.5;2.7
147;Webshops;2014 August;102.5;7.8
148;Webshops;2014 September;108.2;4.2
149;Webshops;2014 3rd quarter;105.1;4.8
150;Webshops;2014 October;109.3;8.8
151;Webshops;2014 November;120.9;11.8
152;Webshops;2014 December;146.0;18.4
153;Webshops;2014 4th quarter;125.4;13.3
154;Webshops;2014;108.4;8.4
155;Webshops;2015 January;114.7;12.7
156;Webshops;2015 February;104.4;13.1
157;Webshops;2015 March;119.1;19.3
158;Webshops;2015 1st quarter;112.7;15.1
159;Webshops;2015 April;121.8;18.7
160;Webshops;2015 May;119.7;12.8
161;Webshops;2015 June;133.8;25.5
162;Webshops;2015 2nd quarter;125.1;19.0
163;Webshops;2015 July;130.7;25.1
164;Webshops;2015 August;127.0;23.9
165;Webshops;2015 September;140.8;30.2
166;Webshops;2015 3rd quarter;132.8;26.4
167;Webshops;2015 October;133.3;21.9
168;Webshops;2015 November;158.2;30.9
169;Webshops;2015 December;189.1;29.5
170;Webshops;2015 4th quarter;160.2;27.8
171;Webshops;2015;132.7;22.4
172;Webshops;2016 January;149.7;30.5
173;Webshops;2016 February;134.5;28.9
174;Webshops;2016 March;150.8;26.6
175;Webshops;2016 1st quarter;145.0;28.6
176;Webshops;2016 April;146.9;20.7
177;Webshops;2016 May;153.7;28.4
178;Webshops;2016 June;165.2;23.5
179;Webshops;2016 2nd quarter;155.3;24.1
180;Webshops;2016 July;155.4;18.9
181;Webshops;2016 August;155.1;22.1
182;Webshops;2016 September;161.0;14.4
183;Webshops;2016 3rd quarter;157.2;18.3
184;Webshops;2016 October;165.4;24.1
185;Webshops;2016 November;195.3;23.4
186;Webshops;2016 December;211.9;12.0
187;Webshops;2016 4th quarter;190.8;19.1
188;Webshops;2016;162.1;22.1
189;Webshops;2017 January;172.8;15.4
190;Webshops;2017 February;155.4;15.5
191;Webshops;2017 March;166.4;10.4
192;Webshops;2017 1st quarter;164.9;13.7
193;Webshops;2017 April;165.3;12.5
194;Webshops;2017 May;184.2;19.8
195;Webshops;2017 June;186.8;13.1
196;Webshops;2017 2nd quarter;178.8;15.1
197;Webshops;2017 July;184.1;18.4
198;Webshops;2017 August;179.0;15.4
199;Webshops;2017 September;189.3;17.5
200;Webshops;2017 3rd quarter;184.1;17.1
201;Webshops;2017 October;192.9;16.6
202;Webshops;2017 November;233.8;19.7
203;Webshops;2017 December;252.2;19.0
204;Webshops;2017 4th quarter;226.3;18.6
205;Webshops;2017;188.5;16.3
206;Webshops;2018 January;206.1;19.3
