ID;Politieregio;Cijfersoort;Perioden;SlachtofferschapTotaal_1;GeweldsdelictenTotaal_2;SeksueleDelicten_3;Mishandeling_4;Bedreiging_5;VermogensdelictenTotaal_6;TotaalInbrakenEnPogingTotInbraak_7;Inbraken_8;PogingTotInbraak_9;Fietsdiefstal_10;DiefstalVanEnUitDeAuto18_11;TotaalZakkenrollerij_12;ZakkenrollerijZonderGeweld_13;ZakkenrollerijMetGeweld_14;OverigeDiefstal_15;VandalismedelictenTotaal_16;OverigeDelicten_17;TotaalInbrakenEnPogingTotInbraak_18;Inbraken_19;PogingTotInbraak_20;Fietsdiefstal_21;DelictenTotaal_22;GeweldsdelictenTotaal_23;SeksueleDelicten_24;Mishandeling_25;Bedreiging_26;VermogensdelictenTotaal_27;PogingTotInbraakTotaal_28;PogingTotInbraak_29;Inbraak_30;Fietsendiefstal_31;DiefstalVanEnUitDeAuto_32;ZakkenrollerijTotaal_33;ZakkenrollerijZonderGeweld_34;ZakkenrollerijMetGeweld_35;OverigeDiefstal_36;VandalismedelictenTotaal_37;OverigeDelicten_38;DaderBekendTotaal_39;ExPartnerFamilielid_40;Partner_41;ExPartner_42;AnderFamilielid_43;Buurtgenoot_44;IemandVanHetWerk_45;AndersInclOnbekend_46;EigenBuurt_47;EldersInWoongemeente_48;EldersInNederland_49;InBuitenland_50;Onbekend_51;Thuis_52;InAndereWoning_53;InCafeBarDiscoRestaurant_54;OpStraat_55;OpTreinstationBushalteMetrostation_56;InTramBusTreinMetro_57;InEenAuto_58;OpWerk_59;OpSchool_60;InWinkelWarenhuisWinkelcentrum_61;SportveldSporthalKleedruimte_62;ParkParkeerterreinStrand_63;Elders_64
10;Groningen (PO);Waarde;2010;23.1;6.1;1.6;1.0;4.3;11.2;2.1;0.8;1.3;6.2;0.8;1.0;1.0;0.0;3.4;11.7;1.5;2.2;1.4;0.9;6.3;43.3;11.0;2.9;1.5;6.6;16.1;1.4;0.8;0.7;8.4;1.3;0.9;0.9;0.0;4.2;16.2;1.6;21.8;3.0;3.0;0.0;0.0;6.7;4.1;8.1;62.2;26.6;9.7;1.2;0.4;22.2;1.9;19.3;31.5;1.2;3.3;1.7;10.6;2.5;4.8;0.9;0.0;1.7
11;Groningen (PO);Waarde;2011;24.8;5.1;1.8;0.4;3.1;14.2;2.7;1.5;1.3;5.1;1.2;1.7;1.7;0.0;5.4;10.8;0.6;3.2;1.5;1.9;5.3;43.3;8.5;3.2;0.6;4.7;18.5;2.1;1.0;1.1;6.7;1.3;1.5;1.5;0.0;6.9;16.4;0.8;29.0;2.8;1.4;0.6;0.8;15.1;4.9;8.6;59.2;23.6;12.4;3.6;1.1;35.0;1.3;14.7;25.7;2.3;0.4;0.0;7.9;1.1;5.9;2.1;1.8;6.8
12;Groningen (PO);Betrouwbaarheidsmarge;2008;3.9;2.1;1.3;0.9;1.8;2.8;1.3;0.7;1.1;2.1;0.7;0.7;0.7;;1.7;2.9;1.5;1.7;1.6;0.6;2.2;8.4;3.8;2.3;1.0;2.3;3.8;1.2;1.0;0.5;2.4;0.8;0.5;0.5;;1.8;5.0;1.5;12.3;4.0;3.2;4.0;;9.4;5.4;9.8;7.8;7.4;4.5;1.8;;13.9;4.3;9.2;9.3;;3.8;;;;9.1;4.3;4.5;6.9
13;Groningen (PO);Betrouwbaarheidsmarge;2009;2.7;1.8;0.9;0.7;1.6;2.2;1.1;0.9;0.9;1.8;0.4;1.0;1.0;0.3;1.1;2.0;0.6;1.5;1.1;1.2;1.9;10.0;4.9;2.0;1.7;3.2;4.4;1.7;1.4;0.8;2.8;0.4;1.2;1.1;0.3;1.7;4.4;1.0;7.2;4.7;2.8;3.6;1.5;4.6;2.4;5.4;5.0;4.6;3.3;1.2;0.3;6.8;3.0;7.2;8.1;0.6;0.4;;4.1;3.2;2.8;3.9;2.3;2.6
14;Groningen (PO);Betrouwbaarheidsmarge;2010;3.2;1.9;0.9;0.8;1.6;2.4;1.1;0.7;0.8;1.8;0.7;0.8;0.8;;1.3;2.4;1.0;1.3;1.0;0.8;1.9;8.3;3.9;1.9;1.3;2.7;4.4;0.9;0.6;0.8;2.9;1.3;0.7;0.7;;1.9;4.0;1.2;8.4;3.4;3.4;;;4.9;4.0;5.5;6.4;5.9;3.8;1.4;0.7;8.8;3.6;8.9;10.8;2.4;3.7;3.3;6.7;3.5;4.9;1.8;;2.4
15;Groningen (PO);Betrouwbaarheidsmarge;2011;2.8;1.5;1.0;0.3;1.1;2.4;1.1;0.8;0.7;1.6;0.8;1.0;1.0;;1.5;2.0;0.4;1.6;1.0;1.2;1.6;6.9;2.9;2.2;0.6;1.9;4.1;1.0;0.6;0.7;2.5;0.8;1.0;1.0;;2.7;3.5;0.5;8.0;2.5;2.3;0.7;0.7;6.4;3.7;4.2;5.7;5.1;3.6;2.2;0.6;9.4;1.6;7.7;9.1;3.2;0.6;0.0;4.8;1.5;6.0;2.3;2.6;3.8
16;Friesland (PO);Waarde;2008;21.3;4.7;1.9;0.8;2.5;9.4;0.9;0.5;0.4;4.7;0.6;0.3;0.3;0.0;3.5;12.0;0.5;1.0;0.3;0.6;4.8;35.2;6.2;2.5;0.8;3.0;11.7;0.5;0.2;0.3;5.2;0.4;0.1;0.1;0.0;5.5;17.2;0.5;38.9;6.2;0.8;5.4;0.0;17.2;2.0;14.7;54.1;26.3;16.9;0.8;1.9;35.9;0.0;27.2;18.2;0.0;0.0;2.1;;;2.0;3.6;1.8;6.7
17;Friesland (PO);Waarde;2009;21.7;4.9;1.6;0.9;3.4;9.0;1.3;0.9;0.7;4.4;1.0;0.9;0.9;0.2;2.8;11.8;0.7;1.4;0.8;0.9;4.5;37.8;8.4;2.5;1.2;4.6;13.4;1.3;0.6;0.7;5.4;1.5;1.4;1.0;0.4;3.9;16.0;1.0;39.0;8.1;5.1;1.2;1.8;13.3;5.2;12.6;59.7;23.2;14.0;1.8;1.2;36.0;2.3;14.0;22.5;0.8;0.7;0.5;12.3;2.4;2.8;2.9;2.6;8.5
18;Friesland (PO);Waarde;2010;21.8;4.1;1.6;1.1;2.2;10.8;1.8;1.0;1.0;5.6;0.1;1.1;1.0;0.1;3.4;10.6;0.6;1.4;0.9;0.7;5.8;36.0;6.8;2.5;1.1;3.2;15.2;0.9;0.5;0.4;8.5;0.3;1.3;1.2;0.1;4.3;14.0;0.9;46.8;3.7;1.2;0.0;2.5;23.5;2.3;18.5;60.6;27.1;10.5;0.8;1.0;26.4;3.5;19.8;21.8;0.0;0.0;1.4;12.8;0.0;0.0;7.5;6.7;6.9
19;Friesland (PO);Waarde;2011;19.7;4.6;1.2;0.8;3.3;9.9;2.2;1.5;1.0;4.0;0.5;0.9;0.8;0.1;4.0;9.0;0.8;2.7;1.1;2.0;4.1;34.0;7.8;1.9;1.3;4.6;13.0;1.8;0.7;1.2;4.6;0.5;0.8;0.7;0.1;5.3;13.1;1.1;41.8;4.0;3.1;0.6;0.3;16.5;10.4;12.2;61.5;20.1;16.2;1.9;0.4;39.3;1.4;15.4;13.8;0.3;1.6;0.9;12.3;5.1;3.8;5.2;0.6;8.2
20;Friesland (PO);Betrouwbaarheidsmarge;2008;3.9;2.2;1.6;0.7;1.6;2.8;0.7;0.6;0.5;2.3;0.6;0.4;0.4;;1.7;2.9;0.5;0.9;0.4;0.8;2.3;8.1;2.9;1.9;0.7;1.9;4.6;0.5;0.2;0.4;2.4;0.5;0.3;0.3;;3.8;5.5;0.5;14.5;10.2;1.7;10.2;;12.5;2.4;8.0;8.9;8.1;7.6;1.1;2.2;15.1;;15.5;14.0;;;4.1;;;3.9;4.4;3.6;6.6
21;Friesland (PO);Betrouwbaarheidsmarge;2009;1.9;1.1;0.7;0.5;1.0;1.2;0.4;0.4;0.3;0.8;0.5;0.4;0.4;0.2;0.6;1.5;0.4;0.4;0.3;0.4;0.9;8.0;2.5;1.0;0.8;1.3;4.6;0.7;0.3;0.4;1.1;1.4;1.3;0.7;0.6;1.0;2.3;0.7;6.8;4.2;3.8;0.6;1.9;5.0;2.8;4.3;4.3;3.6;3.2;1.4;1.3;7.7;1.1;6.8;7.1;0.9;0.8;0.4;5.8;1.5;2.5;1.3;2.8;4.1
22;Friesland (PO);Betrouwbaarheidsmarge;2010;3.1;1.5;1.0;0.8;1.0;2.3;1.0;0.8;0.8;1.8;0.3;0.8;0.7;0.3;1.3;2.3;0.6;0.9;0.7;0.6;1.8;6.8;2.7;1.6;0.8;1.8;4.0;0.6;0.4;0.3;3.1;0.5;1.0;1.0;0.3;1.8;3.4;0.9;11.6;4.2;2.5;;3.4;9.7;3.2;9.2;6.8;6.2;4.2;1.1;1.4;10.3;4.1;9.9;10.0;;;2.7;8.0;;;6.5;6.4;5.9
23;Friesland (PO);Betrouwbaarheidsmarge;2011;2.2;1.2;0.6;0.4;1.0;1.6;0.8;0.7;0.4;1.0;0.3;0.5;0.5;0.1;1.1;1.5;0.5;1.2;0.5;1.2;1.1;4.7;2.3;1.1;0.8;1.4;2.4;0.8;0.3;0.7;1.1;0.3;0.4;0.4;0.1;1.7;2.6;0.7;8.2;3.3;3.2;0.5;0.4;5.8;5.9;4.7;5.1;3.9;4.2;1.4;0.2;8.7;1.0;6.9;5.5;0.3;3.1;0.7;5.5;4.1;3.3;4.1;0.5;4.9
24;Drenthe (PO);Waarde;2008;19.4;4.1;1.9;0.8;2.0;8.9;1.9;1.4;0.5;2.9;0.4;1.2;1.0;0.1;4.3;9.2;0.6;1.8;0.5;1.4;3.0;30.1;5.6;2.4;0.8;2.4;11.3;1.6;0.3;1.3;2.9;0.2;1.2;1.0;0.0;5.4;13.1;0.7;42.8;4.7;0.0;1.3;3.4;11.8;8.6;17.7;62.2;21.3;12.1;3.9;0.5;32.9;1.9;17.4;11.5;0.0;0.0;0.0;;;2.0;3.6;2.1;8.3
25;Drenthe (PO);Waarde;2009;25.2;5.4;2.1;1.7;2.4;10.9;2.5;1.0;1.7;4.4;0.5;1.1;1.1;0.0;3.5;12.6;0.6;3.0;2.2;1.1;4.6;39.7;9.1;2.7;2.2;4.2;13.0;2.3;1.7;0.5;4.9;0.6;1.1;1.1;0.0;4.2;17.6;0.8;34.1;5.7;0.0;2.1;3.6;12.2;5.5;10.7;58.6;23.2;14.7;1.7;1.8;33.8;1.3;8.5;24.5;0.9;0.0;0.0;13.2;7.5;1.5;7.1;1.6;12.9
26;Drenthe (PO);Waarde;2010;16.8;3.4;0.9;0.9;2.4;8.3;1.1;0.7;0.4;4.1;0.6;1.1;1.1;0.0;2.3;7.8;0.4;0.8;0.3;0.5;4.3;24.4;5.3;1.2;1.1;3.1;9.2;0.5;0.1;0.4;4.5;0.6;1.3;1.3;0.0;2.3;9.9;0.5;34.4;2.5;2.5;0.0;0.0;11.6;1.3;19.0;54.6;25.7;16.6;2.5;0.6;33.5;0.0;19.6;19.2;1.9;0.0;0.0;8.6;5.3;5.4;0.0;6.5;11.3
27;Drenthe (PO);Waarde;2011;19.3;4.0;1.4;0.8;2.6;9.9;1.8;0.8;1.1;3.2;1.3;1.1;1.1;0.0;3.8;8.0;1.0;2.0;1.1;0.9;3.3;28.5;5.9;2.0;0.8;3.1;10.8;1.1;0.6;0.5;3.9;1.3;0.8;0.8;0.0;3.8;11.7;1.4;48.9;5.8;0.0;4.3;1.5;25.0;6.2;11.9;63.6;17.0;16.7;2.7;0.0;33.3;8.6;11.2;20.6;0.0;1.4;0.0;11.0;4.2;4.2;1.7;3.9;7.9
28;Drenthe (PO);Betrouwbaarheidsmarge;2008;3.5;1.5;1.1;0.6;1.0;2.1;1.0;0.8;0.5;1.2;0.5;0.9;0.8;0.3;1.5;2.8;0.6;1.1;0.4;1.0;1.2;6.4;2.3;1.6;0.6;1.4;3.3;1.2;0.3;1.2;1.3;0.4;0.9;0.8;;2.2;4.7;0.8;17.1;5.4;;2.5;4.8;9.7;8.4;18.7;8.0;6.3;4.9;3.1;1.0;11.2;3.7;8.6;7.7;;;;;;2.8;4.2;2.9;6.5
29;Drenthe (PO);Betrouwbaarheidsmarge;2009;3.1;1.6;1.0;1.0;1.1;2.3;1.2;0.7;1.0;1.5;0.5;0.8;0.8;;1.3;2.4;0.5;1.7;1.5;0.9;1.6;6.4;3.4;1.4;1.3;2.2;3.3;1.6;1.5;0.5;1.7;0.6;0.9;0.9;;1.7;4.0;0.8;9.4;4.9;;2.9;4.0;6.3;4.4;6.1;6.3;5.4;4.5;1.7;1.8;11.1;2.6;6.7;10.2;1.7;;;7.8;6.4;3.0;5.8;3.2;7.4
30;Drenthe (PO);Betrouwbaarheidsmarge;2010;2.7;1.3;0.7;0.7;1.1;2.0;0.7;0.6;0.4;1.4;0.6;0.7;0.7;;1.1;1.9;0.5;0.6;0.3;0.5;1.5;4.8;2.4;1.0;0.9;1.6;2.4;0.4;0.2;0.3;1.6;0.6;1.1;1.1;;1.2;2.7;0.6;11.8;3.4;3.4;;;7.8;2.5;9.6;7.6;6.5;5.9;2.2;1.1;13.3;;11.6;11.0;3.7;;;8.3;6.0;6.0;;7.4;8.1
31;Drenthe (PO);Betrouwbaarheidsmarge;2011;2.9;1.6;0.9;0.8;1.3;2.2;1.0;0.7;0.8;1.3;0.8;0.8;0.8;;1.4;2.0;0.8;1.4;1.0;1.0;1.3;5.6;2.7;1.4;0.8;1.7;2.8;0.8;0.5;0.5;1.6;0.8;0.8;0.8;;1.5;3.6;1.4;12.9;5.6;;4.9;2.9;11.6;6.3;8.2;7.0;5.4;5.5;2.4;;11.7;7.4;8.8;11.1;;2.7;;8.1;4.7;4.9;3.3;5.5;6.8
32;IJsselland (PO);Waarde;2008;21.3;5.2;1.0;0.9;3.9;9.7;2.0;1.3;0.7;3.2;1.2;1.3;1.1;0.2;3.2;10.9;0.6;2.6;0.8;1.9;3.2;32.2;7.6;1.1;1.3;5.2;10.8;1.4;0.4;1.0;3.8;1.1;0.9;0.7;0.0;3.6;13.7;1.0;28.9;3.5;0.0;2.0;1.5;7.9;4.2;15.1;58.5;24.9;11.6;3.6;1.3;37.5;0.0;5.5;19.8;0.0;2.2;0.0;;;10.0;0.7;9.0;3.0
33;IJsselland (PO);Waarde;2009;23.3;4.3;1.1;0.8;2.7;10.8;2.0;1.0;1.1;3.9;0.8;1.6;1.6;0.1;4.0;12.7;0.7;1.8;1.0;0.9;4.0;39.2;6.7;1.8;1.1;3.8;12.8;1.1;0.6;0.5;4.6;1.0;1.2;1.1;0.0;5.0;19.7;0.7;27.1;1.2;0.1;0.8;0.3;13.6;2.2;13.2;66.9;19.5;10.3;3.2;0.2;36.4;1.4;15.9;22.4;2.6;1.2;0.6;8.3;0.9;4.2;3.2;2.5;13.1
34;IJsselland (PO);Waarde;2010;22.4;5.9;1.1;1.4;4.5;8.2;1.4;0.5;1.1;3.5;1.2;0.6;0.6;0.0;2.6;11.6;0.6;1.3;1.1;0.3;3.6;37.0;11.6;1.8;2.0;7.8;9.9;0.9;0.7;0.2;4.3;1.3;0.5;0.5;0.0;3.0;15.5;1.2;34.4;6.3;0.0;2.4;3.9;11.3;3.6;15.4;52.0;26.9;19.4;1.7;0.0;19.5;2.4;27.8;21.4;0.0;0.0;1.4;11.2;6.7;3.9;4.3;1.5;14.8
35;IJsselland (PO);Waarde;2011;20.1;4.3;1.2;1.0;2.6;9.0;1.8;0.7;1.2;4.0;0.7;0.6;0.6;0.1;2.9;10.1;0.7;1.6;1.1;0.6;4.1;31.0;6.4;1.6;1.1;3.7;10.3;1.0;0.6;0.4;4.4;0.9;0.6;0.6;0.0;3.4;14.3;0.7;31.2;6.2;2.1;1.6;4.0;7.5;9.6;12.2;54.1;27.2;16.2;1.1;1.3;25.9;2.6;12.8;17.9;2.1;2.3;1.3;21.1;1.5;4.9;7.1;0.1;9.0
36;IJsselland (PO);Betrouwbaarheidsmarge;2008;3.9;2.2;0.8;0.8;2.0;3.0;1.9;1.8;0.7;1.3;0.8;0.9;0.8;0.4;1.9;3.2;0.6;3.3;0.9;3.2;1.4;10.3;4.6;1.4;1.5;2.7;4.2;1.8;0.5;1.7;1.9;0.9;0.7;0.6;;2.2;3.9;1.4;12.3;4.9;;3.9;3.0;6.0;4.9;9.5;8.9;7.7;4.9;2.9;1.5;15.6;;5.5;11.1;;4.4;;;;14.4;1.5;8.1;4.5
37;IJsselland (PO);Betrouwbaarheidsmarge;2009;2.1;1.0;0.5;0.3;0.8;1.6;0.6;0.5;0.4;1.0;0.2;0.6;0.6;0.1;1.1;1.6;0.5;0.5;0.3;0.4;1.0;5.0;1.8;1.3;0.4;1.1;2.2;0.3;0.2;0.2;1.1;0.3;0.5;0.5;;1.7;2.8;0.5;7.0;0.7;0.2;0.5;0.4;5.9;1.1;6.3;4.0;3.1;2.9;1.5;0.2;8.6;0.9;6.7;6.5;2.4;1.4;0.6;4.2;0.7;1.9;2.8;1.3;6.8
38;IJsselland (PO);Betrouwbaarheidsmarge;2010;3.1;1.8;0.7;0.9;1.6;2.0;0.9;0.5;0.8;1.4;0.8;0.5;0.5;;1.1;2.4;0.6;1.0;0.9;0.3;1.4;6.9;4.2;1.3;1.4;3.1;2.8;0.7;0.6;0.2;1.9;1.0;0.5;0.5;;1.6;3.8;1.4;10.0;5.0;;3.3;3.9;6.8;4.1;7.4;6.8;6.0;5.4;1.7;;9.6;4.6;11.0;10.8;;;2.7;8.0;5.8;4.4;4.8;3.0;8.0
39;IJsselland (PO);Betrouwbaarheidsmarge;2011;2.4;1.3;0.8;0.7;0.9;1.7;0.7;0.5;0.6;1.2;0.5;0.5;0.5;0.1;1.0;1.8;0.6;0.7;0.5;0.4;1.2;4.7;2.3;1.1;0.7;1.5;2.1;0.4;0.3;0.3;1.4;0.5;0.5;0.5;;1.2;3.0;0.6;9.3;5.0;3.2;2.8;4.0;5.2;6.1;6.7;5.9;5.4;4.6;1.0;1.2;9.4;3.6;7.6;8.0;2.8;2.3;2.4;9.4;2.5;5.1;5.8;0.2;6.0
40;Twente (PO);Waarde;2008;23.7;5.5;1.1;0.6;4.3;12.6;2.6;1.0;1.6;5.1;1.0;1.8;1.8;0.0;3.6;11.6;1.0;3.1;2.1;1.0;5.2;37.9;7.6;1.8;0.6;5.3;12.9;1.7;1.1;0.5;5.1;1.0;1.4;1.4;0.0;3.8;17.4;1.1;31.4;0.0;0.0;0.0;0.0;10.3;4.4;15.3;49.6;39.8;8.9;1.3;0.4;19.7;3.7;5.6;22.0;4.1;0.0;2.0;;;1.3;6.0;0.0;8.4
41;Twente (PO);Waarde;2009;21.8;4.3;0.8;0.7;3.2;10.0;2.6;1.1;1.6;4.9;0.8;0.6;0.6;0.0;2.3;13.5;0.2;2.7;1.6;1.2;5.1;37.6;6.1;1.2;0.7;4.2;12.0;1.5;0.9;0.7;6.5;0.8;0.6;0.5;0.0;2.7;19.4;0.3;27.9;0.5;0.3;0.1;0.1;13.0;4.0;11.3;60.2;28.4;10.4;0.6;0.5;30.3;4.2;13.3;28.5;0.4;0.0;0.0;12.9;0.5;4.6;4.8;0.4;12.2
42;Twente (PO);Waarde;2010;19.1;3.8;0.9;0.9;2.1;9.4;1.5;0.6;0.9;4.6;1.1;1.3;1.3;0.0;2.2;7.9;0.6;1.6;0.9;0.7;4.7;25.9;4.4;0.9;0.9;2.6;10.9;0.9;0.5;0.4;5.3;1.2;1.4;1.4;0.0;2.2;10.5;0.6;34.1;5.5;1.8;1.7;2.0;11.4;4.1;13.0;56.4;28.8;11.7;1.9;1.2;22.1;0.1;17.5;19.6;0.1;2.6;0.0;13.6;8.7;10.4;3.7;1.7;7.1
43;Twente (PO);Waarde;2011;22.6;4.2;1.0;1.0;2.8;11.7;2.5;1.2;1.6;5.1;0.9;1.4;1.3;0.1;3.4;11.4;0.8;2.7;1.7;1.3;5.3;38.7;6.8;1.5;1.3;4.1;14.8;1.9;1.1;0.8;6.3;1.1;1.4;1.3;0.0;4.1;17.1;1.1;30.7;4.3;0.5;2.4;1.7;12.7;4.1;10.4;60.6;26.1;10.5;2.1;0.7;28.7;2.9;13.5;22.4;2.3;1.0;0.7;11.1;4.3;4.8;4.8;2.4;8.7
44;Twente (PO);Betrouwbaarheidsmarge;2008;4.6;2.6;0.9;0.5;2.4;4.1;2.4;1.7;1.7;3.0;0.8;1.6;1.6;;1.9;3.4;0.9;2.5;2.0;1.6;3.1;10.4;3.6;1.8;0.5;2.9;4.3;1.3;1.0;0.9;3.0;0.8;1.6;1.6;;2.0;6.1;1.1;13.6;;;;;7.1;5.2;12.0;9.8;10.0;4.3;1.5;0.8;10.6;5.2;5.6;15.8;5.0;;4.0;;;2.6;5.1;;6.2
