ID;SIC2008;Periods;VacancyRate_1
234;B-F Manufacturing and energy;1999 3rd quarter;27.0
235;B-F Manufacturing and energy;1999 4th quarter;28.0
236;B-F Manufacturing and energy;2000 1st quarter;36.0
237;B-F Manufacturing and energy;2000 2nd quarter;37.0
238;B-F Manufacturing and energy;2000 3rd quarter;29.0
239;B-F Manufacturing and energy;2000 4th quarter;30.0
240;B-F Manufacturing and energy;2001 1st quarter;31.0
241;B-F Manufacturing and energy;2001 2nd quarter;31.0
242;B-F Manufacturing and energy;2001 3rd quarter;24.0
243;B-F Manufacturing and energy;2001 4th quarter;24.0
244;B-F Manufacturing and energy;2002 1st quarter;25.0
245;B-F Manufacturing and energy;2002 2nd quarter;22.0
246;B-F Manufacturing and energy;2002 3rd quarter;13.0
247;B-F Manufacturing and energy;2002 4th quarter;14.0
248;B-F Manufacturing and energy;2003 1st quarter;15.0
249;B-F Manufacturing and energy;2003 2nd quarter;14.0
250;B-F Manufacturing and energy;2003 3rd quarter;9.0
251;B-F Manufacturing and energy;2003 4th quarter;11.0
252;B-F Manufacturing and energy;2004 1st quarter;13.0
253;B-F Manufacturing and energy;2004 2nd quarter;15.0
254;B-F Manufacturing and energy;2004 3rd quarter;12.0
255;B-F Manufacturing and energy;2004 4th quarter;13.0
256;B-F Manufacturing and energy;2005 1st quarter;16.0
257;B-F Manufacturing and energy;2005 2nd quarter;18.0
258;B-F Manufacturing and energy;2005 3rd quarter;19.0
259;B-F Manufacturing and energy;2005 4th quarter;20.0
260;B-F Manufacturing and energy;2006 1st quarter;24.0
261;B-F Manufacturing and energy;2006 2nd quarter;28.0
262;B-F Manufacturing and energy;2006 3rd quarter;30.0
263;B-F Manufacturing and energy;2006 4th quarter;30.0
264;B-F Manufacturing and energy;2007 1st quarter;32.0
265;B-F Manufacturing and energy;2007 2nd quarter;35.0
266;B-F Manufacturing and energy;2007 3rd quarter;35.0
267;B-F Manufacturing and energy;2007 4th quarter;34.0
268;B-F Manufacturing and energy;2008 1st quarter;37.0
269;B-F Manufacturing and energy;2008 2nd quarter;35.0
270;B-F Manufacturing and energy;2008 3rd quarter;32.0
271;B-F Manufacturing and energy;2008 4th quarter;22.0
272;B-F Manufacturing and energy;2009 1st quarter;15.0
273;B-F Manufacturing and energy;2009 2nd quarter;13.0
274;B-F Manufacturing and energy;2009 3rd quarter;12.0
275;B-F Manufacturing and energy;2009 4th quarter;11.0
276;B-F Manufacturing and energy;2010 1st quarter;13.0
277;B-F Manufacturing and energy;2010 2nd quarter;14.0
278;B-F Manufacturing and energy;2010 3rd quarter;16.0
279;B-F Manufacturing and energy;2010 4th quarter;17.0
280;B-F Manufacturing and energy;2011 1st quarter;19.0
281;B-F Manufacturing and energy;2011 2nd quarter;20.0
282;B-F Manufacturing and energy;2011 3rd quarter;17.0
283;B-F Manufacturing and energy;2011 4th quarter;14.0
284;B-F Manufacturing and energy;2012 1st quarter;14.0
285;B-F Manufacturing and energy;2012 2nd quarter;14.0
286;B-F Manufacturing and energy;2012 3rd quarter;13.0
287;B-F Manufacturing and energy;2012 4th quarter;11.0
288;B-F Manufacturing and energy;2013 1st quarter;11.0
289;B-F Manufacturing and energy;2013 2nd quarter;11.0
290;B-F Manufacturing and energy;2013 3rd quarter;11.0
291;B-F Manufacturing and energy;2013 4th quarter;11.0
292;B-F Manufacturing and energy;2014 1st quarter;13.0
293;B-F Manufacturing and energy;2014 2nd quarter;14.0
294;B-F Manufacturing and energy;2014 3rd quarter;14.0
295;B-F Manufacturing and energy;2014 4th quarter;13.0
296;B-F Manufacturing and energy;2015 1st quarter;15.0
297;B-F Manufacturing and energy;2015 2nd quarter;16.0
298;B-F Manufacturing and energy;2015 3rd quarter;16.0
299;B-F Manufacturing and energy;2015 4th quarter;16.0
300;B-F Manufacturing and energy;2016 1st quarter;18.0
301;B-F Manufacturing and energy;2016 2nd quarter;19.0
302;B-F Manufacturing and energy;2016 3rd quarter;20.0
303;B-F Manufacturing and energy;2016 4th quarter;20.0
304;B-F Manufacturing and energy;2017 1st quarter;24.0
305;B-F Manufacturing and energy;2017 2nd quarter;27.0
306;B-F Manufacturing and energy;2017 3rd quarter;28.0
307;B-F Manufacturing and energy;2017 4th quarter;31.0
308;B-F Manufacturing and energy;2018 1st quarter;34.0
309;B-F Manufacturing and energy;2018 2nd quarter;37.0
310;B-F Manufacturing and energy;2018 3rd quarter;36.0
311;B-F Manufacturing and energy;2018 4th quarter;35.0
312;B-F Manufacturing and energy;2019 1st quarter;38.0
313;B-F Manufacturing and energy;2019 2nd quarter;39.0
314;B-F Manufacturing and energy;2019 3rd quarter;37.0
315;B-F Manufacturing and energy;2019 4th quarter;36.0
316;B-F Manufacturing and energy;2020 1st quarter;30.0
317;B-F Manufacturing and energy;2020 2nd quarter;26.0
318;B-F Manufacturing and energy;2020 3rd quarter;29.0
319;B-F Manufacturing and energy;2020 4th quarter;31.0
320;B-F Manufacturing and energy;2021 1st quarter;35.0
321;B-F Manufacturing and energy;2021 2nd quarter;44.0
322;B-F Manufacturing and energy;2021 3rd quarter;51.0
323;B-F Manufacturing and energy;2021 4th quarter;52.0
324;B-F Manufacturing and energy;2022 1st quarter;56.0
325;B-F Manufacturing and energy;2022 2nd quarter;60.0
326;B-F Manufacturing and energy;2022 3rd quarter;56.0
327;B-F Manufacturing and energy;2022 4th quarter;52.0
328;B-F Manufacturing and energy;2023 1st quarter;53.0
329;B-F Manufacturing and energy;2023 2nd quarter;55.0
330;B-F Manufacturing and energy;2023 3rd quarter;52.0
331;B-F Manufacturing and energy;2023 4th quarter;49.0
332;B-F Manufacturing and energy;2024 1st quarter;52.0
333;B-F Manufacturing and energy;2024 2nd quarter;56.0
334;B-F Manufacturing and energy;2024 3rd quarter;54.0
335;B-F Manufacturing and energy;2024 4th quarter;54.0
336;B Mining and quarrying;1997 1st quarter;39.0
337;B Mining and quarrying;1997 2nd quarter;43.0
338;B Mining and quarrying;1997 3rd quarter;23.0
339;B Mining and quarrying;1997 4th quarter;37.0
340;B Mining and quarrying;1998 1st quarter;35.0
341;B Mining and quarrying;1998 2nd quarter;35.0
342;B Mining and quarrying;1998 3rd quarter;7.0
343;B Mining and quarrying;1998 4th quarter;6.0
344;B Mining and quarrying;1999 1st quarter;6.0
345;B Mining and quarrying;1999 2nd quarter;8.0
346;B Mining and quarrying;1999 3rd quarter;8.0
347;B Mining and quarrying;1999 4th quarter;20.0
348;B Mining and quarrying;2000 1st quarter;20.0
349;B Mining and quarrying;2000 2nd quarter;20.0
350;B Mining and quarrying;2000 3rd quarter;19.0
351;B Mining and quarrying;2000 4th quarter;22.0
352;B Mining and quarrying;2001 1st quarter;16.0
353;B Mining and quarrying;2001 2nd quarter;18.0
354;B Mining and quarrying;2001 3rd quarter;15.0
355;B Mining and quarrying;2001 4th quarter;14.0
356;B Mining and quarrying;2002 1st quarter;34.0
357;B Mining and quarrying;2002 2nd quarter;23.0
358;B Mining and quarrying;2002 3rd quarter;27.0
359;B Mining and quarrying;2002 4th quarter;26.0
360;B Mining and quarrying;2003 1st quarter;27.0
361;B Mining and quarrying;2003 2nd quarter;27.0
362;B Mining and quarrying;2003 3rd quarter;9.0
363;B Mining and quarrying;2003 4th quarter;14.0
364;B Mining and quarrying;2004 1st quarter;13.0
365;B Mining and quarrying;2004 2nd quarter;32.0
366;B Mining and quarrying;2004 3rd quarter;17.0
367;B Mining and quarrying;2004 4th quarter;24.0
368;B Mining and quarrying;2005 1st quarter;16.0
369;B Mining and quarrying;2005 2nd quarter;33.0
370;B Mining and quarrying;2005 3rd quarter;23.0
371;B Mining and quarrying;2005 4th quarter;11.0
372;B Mining and quarrying;2006 1st quarter;38.0
373;B Mining and quarrying;2006 2nd quarter;52.0
374;B Mining and quarrying;2006 3rd quarter;63.0
375;B Mining and quarrying;2006 4th quarter;59.0
376;B Mining and quarrying;2007 1st quarter;52.0
377;B Mining and quarrying;2007 2nd quarter;44.0
378;B Mining and quarrying;2007 3rd quarter;44.0
379;B Mining and quarrying;2007 4th quarter;53.0
380;B Mining and quarrying;2008 1st quarter;54.0
381;B Mining and quarrying;2008 2nd quarter;45.0
382;B Mining and quarrying;2008 3rd quarter;45.0
383;B Mining and quarrying;2008 4th quarter;37.0
384;B Mining and quarrying;2009 1st quarter;46.0
385;B Mining and quarrying;2009 2nd quarter;47.0
386;B Mining and quarrying;2009 3rd quarter;33.0
387;B Mining and quarrying;2009 4th quarter;41.0
388;B Mining and quarrying;2010 1st quarter;33.0
389;B Mining and quarrying;2010 2nd quarter;33.0
390;B Mining and quarrying;2010 3rd quarter;35.0
391;B Mining and quarrying;2010 4th quarter;40.0
392;B Mining and quarrying;2011 1st quarter;48.0
393;B Mining and quarrying;2011 2nd quarter;45.0
394;B Mining and quarrying;2011 3rd quarter;43.0
395;B Mining and quarrying;2011 4th quarter;39.0
396;B Mining and quarrying;2012 1st quarter;43.0
397;B Mining and quarrying;2012 2nd quarter;35.0
398;B Mining and quarrying;2012 3rd quarter;45.0
399;B Mining and quarrying;2012 4th quarter;45.0
400;B Mining and quarrying;2013 1st quarter;46.0
401;B Mining and quarrying;2013 2nd quarter;33.0
402;B Mining and quarrying;2013 3rd quarter;41.0
403;B Mining and quarrying;2013 4th quarter;48.0
404;B Mining and quarrying;2014 1st quarter;51.0
405;B Mining and quarrying;2014 2nd quarter;47.0
406;B Mining and quarrying;2014 3rd quarter;33.0
407;B Mining and quarrying;2014 4th quarter;35.0
408;B Mining and quarrying;2015 1st quarter;21.0
409;B Mining and quarrying;2015 2nd quarter;16.0
410;B Mining and quarrying;2015 3rd quarter;17.0
411;B Mining and quarrying;2015 4th quarter;16.0
412;B Mining and quarrying;2016 1st quarter;20.0
413;B Mining and quarrying;2016 2nd quarter;16.0
414;B Mining and quarrying;2016 3rd quarter;10.0
415;B Mining and quarrying;2016 4th quarter;14.0
416;B Mining and quarrying;2017 1st quarter;22.0
417;B Mining and quarrying;2017 2nd quarter;23.0
418;B Mining and quarrying;2017 3rd quarter;22.0
419;B Mining and quarrying;2017 4th quarter;28.0
420;B Mining and quarrying;2018 1st quarter;24.0
421;B Mining and quarrying;2018 2nd quarter;25.0
422;B Mining and quarrying;2018 3rd quarter;28.0
423;B Mining and quarrying;2018 4th quarter;21.0
424;B Mining and quarrying;2019 1st quarter;25.0
425;B Mining and quarrying;2019 2nd quarter;43.0
426;B Mining and quarrying;2019 3rd quarter;39.0
427;B Mining and quarrying;2019 4th quarter;29.0
428;B Mining and quarrying;2020 1st quarter;29.0
429;B Mining and quarrying;2020 2nd quarter;16.0
430;B Mining and quarrying;2020 3rd quarter;16.0
431;B Mining and quarrying;2020 4th quarter;18.0
432;B Mining and quarrying;2021 1st quarter;29.0
433;B Mining and quarrying;2021 2nd quarter;42.0
434;B Mining and quarrying;2021 3rd quarter;39.0
435;B Mining and quarrying;2021 4th quarter;46.0
436;B Mining and quarrying;2022 1st quarter;71.0
437;B Mining and quarrying;2022 2nd quarter;91.0
438;B Mining and quarrying;2022 3rd quarter;78.0
439;B Mining and quarrying;2022 4th quarter;73.0
440;B Mining and quarrying;2023 1st quarter;53.0
441;B Mining and quarrying;2023 2nd quarter;54.0
442;B Mining and quarrying;2023 3rd quarter;53.0
443;B Mining and quarrying;2023 4th quarter;40.0
444;B Mining and quarrying;2024 1st quarter;45.0
445;B Mining and quarrying;2024 2nd quarter;46.0
446;B Mining and quarrying;2024 3rd quarter;40.0
447;B Mining and quarrying;2024 4th quarter;34.0
448;C Manufacturing;1997 1st quarter;14.0
449;C Manufacturing;1997 2nd quarter;16.0
450;C Manufacturing;1997 3rd quarter;16.0
451;C Manufacturing;1997 4th quarter;18.0
452;C Manufacturing;1998 1st quarter;19.0
453;C Manufacturing;1998 2nd quarter;22.0
454;C Manufacturing;1998 3rd quarter;18.0
455;C Manufacturing;1998 4th quarter;19.0
456;C Manufacturing;1999 1st quarter;21.0
457;C Manufacturing;1999 2nd quarter;25.0
458;C Manufacturing;1999 3rd quarter;24.0
459;C Manufacturing;1999 4th quarter;26.0
460;C Manufacturing;2000 1st quarter;30.0
461;C Manufacturing;2000 2nd quarter;33.0
462;C Manufacturing;2000 3rd quarter;25.0
463;C Manufacturing;2000 4th quarter;26.0
464;C Manufacturing;2001 1st quarter;25.0
465;C Manufacturing;2001 2nd quarter;25.0
466;C Manufacturing;2001 3rd quarter;20.0
467;C Manufacturing;2001 4th quarter;19.0
468;C Manufacturing;2002 1st quarter;19.0
469;C Manufacturing;2002 2nd quarter;17.0
470;C Manufacturing;2002 3rd quarter;11.0
471;C Manufacturing;2002 4th quarter;13.0
472;C Manufacturing;2003 1st quarter;12.0
473;C Manufacturing;2003 2nd quarter;11.0
474;C Manufacturing;2003 3rd quarter;9.0
475;C Manufacturing;2003 4th quarter;10.0
476;C Manufacturing;2004 1st quarter;12.0
477;C Manufacturing;2004 2nd quarter;12.0
478;C Manufacturing;2004 3rd quarter;10.0
479;C Manufacturing;2004 4th quarter;11.0
480;C Manufacturing;2005 1st quarter;13.0
481;C Manufacturing;2005 2nd quarter;14.0
482;C Manufacturing;2005 3rd quarter;16.0
483;C Manufacturing;2005 4th quarter;16.0
484;C Manufacturing;2006 1st quarter;18.0
485;C Manufacturing;2006 2nd quarter;22.0
486;C Manufacturing;2006 3rd quarter;23.0
487;C Manufacturing;2006 4th quarter;25.0
488;C Manufacturing;2007 1st quarter;26.0
489;C Manufacturing;2007 2nd quarter;27.0
490;C Manufacturing;2007 3rd quarter;28.0
491;C Manufacturing;2007 4th quarter;28.0
492;C Manufacturing;2008 1st quarter;30.0
493;C Manufacturing;2008 2nd quarter;29.0
494;C Manufacturing;2008 3rd quarter;26.0
495;C Manufacturing;2008 4th quarter;17.0
496;C Manufacturing;2009 1st quarter;11.0
497;C Manufacturing;2009 2nd quarter;9.0
498;C Manufacturing;2009 3rd quarter;9.0
499;C Manufacturing;2009 4th quarter;8.0
500;C Manufacturing;2010 1st quarter;11.0
501;C Manufacturing;2010 2nd quarter;13.0
502;C Manufacturing;2010 3rd quarter;15.0
503;C Manufacturing;2010 4th quarter;16.0
504;C Manufacturing;2011 1st quarter;18.0
505;C Manufacturing;2011 2nd quarter;20.0
506;C Manufacturing;2011 3rd quarter;18.0
507;C Manufacturing;2011 4th quarter;14.0
508;C Manufacturing;2012 1st quarter;14.0
509;C Manufacturing;2012 2nd quarter;14.0
510;C Manufacturing;2012 3rd quarter;13.0
511;C Manufacturing;2012 4th quarter;11.0
512;C Manufacturing;2013 1st quarter;11.0
513;C Manufacturing;2013 2nd quarter;11.0
514;C Manufacturing;2013 3rd quarter;11.0
515;C Manufacturing;2013 4th quarter;11.0
516;C Manufacturing;2014 1st quarter;13.0
517;C Manufacturing;2014 2nd quarter;13.0
518;C Manufacturing;2014 3rd quarter;14.0
519;C Manufacturing;2014 4th quarter;12.0
520;C Manufacturing;2015 1st quarter;14.0
521;C Manufacturing;2015 2nd quarter;16.0
