ID;SeasonalAndWorkingDayAdjustment;Periods;GrossDomesticProduct_1;GrossOperatingSurplus_2;GrossNationalIncome_3;GrossDisposableIncome_4;GrossSaving_5;NetLendingOrNetBorrowing_6;ValueAdded_7;GrossOperatingSurplus_8;GrossFixedCapitalFormation_9;CompensationOfEmployees_10;FinalConsumptionExpenditure_11;GrossFixedCapitalFormation_12;TotalRevenue_13;TotalExpenditure_14;BalanceGeneralGovernmentSectorEMU_15;CompensationOfEmployees_16;PropertyIncome_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;AdjustmChangeInPensionEntitlements_20;FinalConsumptionExpenditure_21;GrossFixedCapitalFormation_22;PropertyIncome_23;CurrentTaxesOnIncomeAndWealth_24;NetSocialContributions_25;OtherCurrentTransfers_26;AdjustmChangeInPensionEntitlements_27;GrossOperatingSurplus_28;GrossDisposableIncome_29;GrossSaving_30;ImportsOfGoodsAndServices_31;ReceivedPrimaryIncome_32;ReceivedCurrentTransfers_33;AdjustmChangeInPensionEntitlements_34;ReceivedCapitalTransfers_35;ExportsOfGoodsAndServices_36;PaidPrimaryIncome_37;PaidCurrentTransfers_38;AdjustmChangeInPensionEntitlements_39;PaidCapitalTransfers_40
11;Original, unadjusted data;2001 4th quarter;123300;50666;121094;119024;32642;4355;70739;30344;13596;40537;26350;5482;53935;53932;3;58782;9602;19040;6767;3407;59996;8699;3737;9793;25967;5888;0;13229;62035;5446;68219;32092;3788;36;236;76842;29886;1718;0;274
12;Original, unadjusted data;2002 1st quarter;121009;49214;121526;119545;33338;6940;70500;29277;12164;41950;25808;4622;49846;51519;-1673;59363;9451;18884;5947;4129;60361;8962;4134;7948;28365;5563;0;12766;60401;4169;63956;21396;3621;38;151;72294;21913;1640;0;255
13;Original, unadjusted data;2002 2nd quarter;124643;41685;122806;120669;30149;3837;71040;22359;12541;49166;28547;5007;53758;57378;-3620;69762;14277;23054;6673;4586;61933;8868;4059;10166;29471;5734;0;12360;76696;19349;67091;24987;3689;40;193;74913;23150;1552;0;222
14;Original, unadjusted data;2002 3rd quarter;121306;50969;121586;119839;31614;6641;70685;29910;11549;41785;25862;4959;48326;51480;-3154;58554;11620;19521;6691;4464;62324;7852;3876;8153;27727;5885;0;13940;64685;6825;66448;25318;3332;40;217;74581;25598;1585;0;232
15;Original, unadjusted data;2002 4th quarter;127543;52008;126380;124283;33156;6085;73634;31799;11876;41976;28887;5911;54796;56632;-1836;61439;9794;19954;6907;4141;62203;7860;3582;10090;27812;6070;0;13407;63947;5885;69336;24429;3595;36;153;78625;23266;1498;0;245
16;Original, unadjusted data;2003 1st quarter;125165;51934;124212;122270;32720;6669;72827;31167;11144;42580;27444;4845;51198;54029;-2831;60397;8658;19899;6608;4320;62065;9275;3831;7625;29958;6273;0;13284;61159;3414;65395;23032;3662;41;209;74872;22079;1720;0;333
17;Original, unadjusted data;2003 2nd quarter;127431;42385;127977;125916;32526;6477;72274;22235;12229;50818;30290;5156;54849;59450;-4601;72031;13319;24251;7082;5341;63051;9214;3663;9473;32966;6274;0;12879;77186;19476;66236;23965;3675;49;270;74250;24511;1614;0;293
18;Original, unadjusted data;2003 3rd quarter;123273;50443;126033;123972;33345;8653;70916;28628;10297;42613;27499;5412;48494;54502;-6008;59861;10841;20944;6952;4956;63084;7719;3658;7545;28797;6289;0;13970;66279;8151;65872;25539;3689;44;312;73872;28299;1628;0;306
19;Original, unadjusted data;2003 4th quarter;130802;52835;132980;131450;37882;9501;74927;31456;13109;43231;30678;5937;56842;58685;-1843;63239;9412;20699;7245;4762;62845;8854;3672;11176;29166;6606;0;13835;63810;5727;70756;24036;3070;45;209;79536;26214;1540;0;323
20;Original, unadjusted data;2004 1st quarter;128695;54525;130939;128446;37238;10423;75054;33216;10818;43289;27866;4947;51541;54713;-3172;61237;8830;20765;6760;4631;63302;10280;3843;7581;30985;6552;0;13442;62073;3402;65591;27518;4352;39;188;76154;29762;1859;0;329
21;Original, unadjusted data;2004 2nd quarter;131761;44121;131887;129901;34664;8276;75387;23768;12349;51967;30739;4958;56299;60080;-3781;73361;14174;24689;7252;5807;64450;9757;3835;9759;32298;6514;0;13038;80108;21465;72088;27544;3761;48;238;82214;27670;1775;0;289
22;Original, unadjusted data;2004 3rd quarter;127621;53893;129875;127720;35101;9757;73789;31473;11255;42782;27929;4903;52152;54361;-2209;60299;10961;20934;7194;4934;64648;7816;3823;7818;29852;6600;0;13953;65248;5534;73790;29816;3932;43;271;83455;32070;1777;0;300
23;Original, unadjusted data;2004 4th quarter;135862;56126;137568;135702;40535;11102;78002;33826;12873;43736;31116;5553;59619;59483;136;63981;9703;21581;7443;4882;64009;9396;3870;9144;32432;6813;0;14308;64757;5630;79906;35665;3562;42;188;91066;37371;1696;0;318
24;Original, unadjusted data;2005 1st quarter;133006;57906;130756;128121;35215;8047;77900;35667;11917;43459;28872;4768;53417;54646;-1229;61658;8346;21176;7267;4905;63982;9967;3641;7866;31486;7289;0;14049;62214;3137;72037;38698;4648;52;143;84802;36448;2013;0;355
25;Original, unadjusted data;2005 2nd quarter;137160;47661;134062;132057;34607;6245;79246;26868;12637;52862;31774;4982;57265;60070;-2805;74645;13785;25808;7219;6166;65612;10530;3800;10962;33506;6798;0;13258;79649;20203;79038;44539;3901;64;354;90499;41441;1896;0;302
26;Original, unadjusted data;2005 3rd quarter;133154;56916;130941;128709;33241;6062;77956;34443;12391;43618;28924;4998;54611;54619;-8;61455;12262;21518;7309;5633;66486;9686;3630;8346;30913;7088;0;14269;66836;5983;80159;41702;4148;58;456;90855;39489;1916;0;321
27;Original, unadjusted data;2005 4th quarter;142289;60293;146321;143717;45136;13992;82758;37856;13041;44497;32152;5599;64177;61532;2645;65067;9402;21353;7689;4409;66382;10088;4117;11889;30467;7428;0;14255;63865;1892;84877;37541;4458;47;172;97310;41573;1854;0;346
28;Original, unadjusted data;2006 1st quarter;141971;63682;148191;145428;47496;17653;83825;40436;12389;44433;32209;5312;59436;59875;-439;62926;9229;22516;4851;3353;65689;10481;4098;8711;32892;5036;0;15070;63855;1519;82362;43139;4486;34;276;96934;49359;1723;0;200
29;Original, unadjusted data;2006 2nd quarter;145443;51091;143612;141559;38623;7986;84187;29492;13675;54203;35303;5664;64322;64943;-621;76857;15216;24258;5645;5609;67574;11314;4884;10836;33454;4891;0;14648;82559;20594;87899;44278;4397;59;317;100371;42447;2344;0;239
30;Original, unadjusted data;2006 3rd quarter;140857;63335;137717;135299;34998;4895;83028;38847;13043;45090;32268;5485;58244;59278;-1034;63116;12382;22558;5167;3906;67992;10019;5494;8708;32062;5018;0;16283;68224;4138;87599;47911;4500;41;303;98691;44771;2082;0;169
31;Original, unadjusted data;2006 4th quarter;150941;64689;158690;155394;52377;17125;88973;40787;15711;47884;35712;6283;68493;65180;3313;69083;10621;23767;5520;1932;67286;11294;6069;13421;31496;4919;0;16188;69274;3920;92835;42057;5114;19;298;105276;49806;1818;0;260
32;Original, unadjusted data;2007 1st quarter;150592;67121;153005;149820;47534;14652;90037;43314;13955;47361;33962;5635;63576;63025;551;66426;10914;23157;5659;3435;68287;12274;6721;9046;34223;5594;0;16468;67040;2188;87860;54264;5027;38;291;103305;56677;1842;0;297
33;Original, unadjusted data;2007 2nd quarter;153456;56227;147068;145068;37922;4434;89913;33673;14905;57251;37183;5922;64735;67560;-2825;80204;16020;25286;5320;4914;69908;12672;6517;12247;33507;5356;0;16155;85358;20364;93560;64689;4677;55;303;106508;58301;2677;0;217
34;Original, unadjusted data;2007 3rd quarter;149297;67148;150096;147745;43085;9827;88970;41959;14252;47957;33999;5669;58902;61731;-2829;66195;13143;23222;5362;3817;70620;10715;7176;9875;32215;5501;0;17132;70287;3484;94925;60602;4702;41;271;106353;61401;2351;0;251
35;Original, unadjusted data;2007 4th quarter;159935;66794;168577;165358;56615;9434;94862;41900;17412;51549;37606;6492;74435;68034;6401;73389;12766;24276;5451;3341;71106;11979;7276;14167;34034;5521;0;17764;72648;4883;100505;58175;5280;30;327;114808;66817;2061;0;-24
36;Original, unadjusted data;2008 1st quarter;158715;71170;155800;152894;45255;10681;95096;45404;14483;50944;36324;6525;69349;68232;1117;70595;12223;24335;5119;4718;71209;12975;7157;10655;38557;5074;0;17876;68705;2214;98377;53820;5194;106;318;114809;50905;2288;0;144
37;Original, unadjusted data;2008 2nd quarter;160919;57420;157046;155362;42626;7538;94445;33645;16620;61036;39674;6668;69563;72160;-2597;84834;18077;26422;4662;6851;72910;12667;7600;12211;37718;4502;0;16767;88731;22672;103204;55041;4737;152;336;116119;51168;3053;0;156
38;Original, unadjusted data;2008 3rd quarter;155836;68917;155640;153893;44560;9999;92904;42806;16546;50561;36355;5818;63447;65132;-1685;69477;13746;24248;4879;4501;72879;11133;7841;10595;34313;4776;0;17514;72339;3961;103726;51403;4170;99;332;115807;51207;2423;0;145
39;Original, unadjusted data;2008 4th quarter;163693;68216;158789;155618;43701;4726;97832;43881;17309;54101;40297;6435;77490;72895;4595;76551;14835;24452;6644;4644;71518;11619;7781;12779;38311;6613;0;17034;74032;7158;97468;54430;5775;102;350;111178;49526;2604;0;138
40;Original, unadjusted data;2009 1st quarter;155134;67215;151304;148186;39183;4847;93137;42743;14674;52208;38867;6568;67333;73151;-5818;72241;10496;25575;5902;5386;69975;11595;4855;11724;38666;5896;0;14739;67812;3223;84157;48315;5458;160;448;96368;44485;2340;0;152
41;Original, unadjusted data;2009 2nd quarter;154360;51455;157520;158511;46096;13541;89400;28493;15744;62085;42519;6796;64808;74825;-10017;86763;16637;27820;5304;7726;69665;11319;4184;14839;35790;5393;0;13744;90062;28123;83910;46046;1732;231;429;93721;49206;2723;0;210
42;Original, unadjusted data;2009 3rd quarter;149553;64077;148467;146742;37570;7461;88108;38295;14517;50498;38907;6512;60155;71877;-11722;70155;10964;25492;5259;5422;70103;8916;3730;11125;35268;5220;0;14290;70817;6136;85950;40244;4086;162;430;96411;39158;2361;0;332
43;Original, unadjusted data;2009 4th quarter;158493;64336;160801;158066;45031;12113;91639;38336;15011;53749;43062;6702;71646;77627;-5981;76846;12250;25961;6127;4569;69836;9607;3702;15126;35676;6163;0;14610;75127;9860;90731;37791;5347;138;448;103504;40099;2612;0;219
44;Original, unadjusted data;2010 1st quarter;154188;67107;152709;149815;40644;9782;90693;41045;14805;50598;39752;6299;67461;74203;-6742;71240;11041;26448;5968;3944;69347;8431;3358;11561;36576;5896;0;13709;71015;5612;92440;53720;5424;72;603;106517;52241;2530;0;212
45;Original, unadjusted data;2010 2nd quarter;158901;56248;162957;161306;47366;12457;91815;31774;16707;60606;43543;6882;69162;79460;-10298;86041;13924;29619;5785;5679;70291;8969;3341;15325;37350;5795;0;13129;86687;22075;101354;55251;4392;106;613;111823;59307;2741;0;228
46;Original, unadjusted data;2010 3rd quarter;154199;68547;155779;153643;42428;11925;90808;41649;14365;50068;39847;6291;60150;72451;-12301;70307;11663;26840;5895;4590;71280;7816;2773;11704;35176;5657;0;14074;73469;6779;101169;53956;4545;88;559;113947;55536;2409;0;195
47;Original, unadjusted data;2010 4th quarter;164224;67103;165181;162606;46849;12979;95419;40640;15292;54597;44090;6735;75812;77993;-2181;78450;11302;26821;5932;4049;71592;8124;3372;15997;36917;6083;0;13886;74022;6479;106622;56679;4958;75;1011;122111;57636;2383;0;261
48;Original, unadjusted data;2011 1st quarter;159422;69909;166002;163512;52221;17922;94586;43066;17663;52479;39874;6633;70611;73938;-3327;73323;10931;28306;6486;3674;71361;8135;3602;12304;39079;6106;0;14506;72461;4774;108528;64387;5027;56;473;123114;70967;2537;0;192
49;Original, unadjusted data;2011 2nd quarter;161778;57949;161497;159703;43553;9586;93826;32460;17984;62534;43529;6644;67657;78905;-11248;87994;16035;30696;6134;6600;72508;8576;4144;16823;37081;5996;0;14718;91533;25625;110922;62327;4566;113;152;123060;62046;2772;0;209
50;Original, unadjusted data;2011 3rd quarter;156596;69069;159533;157610;44906;13181;93443;42226;14874;51664;39860;6234;63725;72066;-8341;71928;12217;27596;6168;5519;72753;7481;3940;12215;38170;5846;0;14550;72288;5054;111134;49488;4303;91;277;123750;52425;2380;0;177
51;Original, unadjusted data;2011 4th quarter;165133;66771;167655;164412;48129;14312;96858;40299;17853;56228;43895;6203;72445;77101;-4656;80050;11207;27907;6321;4445;72317;8459;3221;12402;42013;6544;0;14491;75796;7924;111859;59169;5771;71;433;127423;61691;2528;0;205
52;Original, unadjusted data;2012 1st quarter;160016;69990;163156;160396;47627;8602;95695;42951;16547;53728;40487;5741;71400;74480;-3080;74511;12213;28847;6074;4748;72216;7331;2836;12205;40800;6354;0;14004;73454;5986;113969;54699;5342;66;298;130502;57839;2582;0;199
53;Original, unadjusted data;2012 2nd quarter;162664;57546;168323;166311;49303;17383;95178;32201;17992;63943;44256;5927;69917;79495;-9578;89491;15705;31573;5834;8256;72612;7521;2310;17202;41023;5875;0;13336;89529;25173;117523;51206;4918;140;233;130599;56865;2906;0;178
54;Original, unadjusted data;2012 3rd quarter;155974;67763;158094;156083;42812;14073;93132;40877;13747;52664;40405;6253;62397;72601;-10204;73049;11660;28397;5881;6248;72765;7325;1588;12306;39192;5897;0;13373;73377;6860;117140;54409;4695;101;262;130583;56529;2684;0;193
55;Original, unadjusted data;2012 4th quarter;166510;66422;168877;166385;49457;19409;97752;40561;16750;56934;44727;6237;75087;77289;-2202;80978;10837;28871;5923;4501;72163;7405;1626;9277;46316;5822;0;13533;77101;9439;118045;58902;5056;38;255;136939;61269;2564;0;210
56;Original, unadjusted data;2013 1st quarter;161304;69018;167042;163981;49969;22639;96062;42503;14580;54346;41321;5685;74325;71934;2391;75687;11345;29474;6081;5605;72596;6134;1573;12276;42917;6461;0;13808;73168;6177;113680;54292;5594;95;385;133797;60030;2533;0;182
57;Original, unadjusted data;2013 2nd quarter;163735;57082;164367;162117;44389;13541;95220;31701;16416;64256;44407;6042;72321;79713;-7392;89955;15370;32410;6102;8273;73178;6451;1605;16772;42467;6391;0;13283;89885;24980;116421;59725;5051;143;260;131902;60357;2801;0;215
58;Original, unadjusted data;2013 3rd quarter;158739;69033;161919;159023;44323;15639;94313;41767;14048;52912;40576;6103;65312;73490;-8178;73564;11464;29518;6081;6366;74016;6669;1916;12039;40697;6488;0;14661;74148;6498;117337;54963;5409;108;280;133093;58143;2513;0;166
59;Original, unadjusted data;2013 4th quarter;168970;68834;168551;164978;47082;13263;99110;41847;18605;56763;43954;5927;74581;76899;-2318;80793;11173;30266;5974;5195;73855;7340;2029;9837;45927;6226;0;15054;79241;10581;118064;55674;6060;87;383;136528;55255;2487;0;183
60;Original, unadjusted data;2014 1st quarter;162844;69520;163247;159995;44965;16284;95714;41850;14897;54314;41603;5717;73735;75788;-2053;75561;11055;29882;6305;5027;73326;7485;2066;12209;42191;6646;0;15368;75059;6760;115538;64774;6143;101;266;134869;65177;2891;0;180
61;Original, unadjusted data;2014 2nd quarter;165503;57006;167227;164603;45798;15054;95630;30968;15845;64721;44700;5979;73644;80765;-7121;90196;15253;33309;6093;7786;73954;7294;1888;17469;41111;6594;0;14509;92298;26130;119131;64176;5735;151;342;135363;65900;3111;0;198
62;Original, unadjusted data;2014 3rd quarter;161744;70496;161699;159967;44074;14600;95675;42398;14134;53622;41148;5907;66283;72476;-6193;74414;11141;29823;6217;6032;74626;7513;1601;13297;40287;6490;0;15555;75475;6881;120905;62748;4448;119;300;137526;62703;2716;0;164
63;Original, unadjusted data;2014 4th quarter;172917;69336;169114;166090;46669;12519;101327;42362;19296;58503;44535;5695;77514;77175;339;83114;12158;29889;5618;5468;74776;7494;1482;10362;48303;6208;0;15427;79851;10543;119956;68747;5935;110;247;139657;64944;2911;0;181
64;Original, unadjusted data;2015 1st quarter;166398;72548;169361;165840;50178;17544;99694;44789;15999;55332;41399;5858;75161;76228;-1067;75987;10979;30338;6217;5024;74165;8166;1195;14417;42044;6399;0;15122;74588;5447;117600;54920;6576;98;355;137913;57883;3055;0;302
65;Original, unadjusted data;2015 2nd quarter;171558;62472;173734;171387;50775;-15071;100849;35344;17377;66004;44525;6509;72655;80484;-7829;90890;14308;33304;6068;6698;75958;8962;1424;20928;36969;6387;0;15224;94086;24826;125920;56830;5630;129;445;142693;59006;3283;0;209
66;Original, unadjusted data;2015 3rd quarter;168098;75614;166617;164927;46507;14026;100492;46512;14992;54421;41350;6147;66446;72556;-6110;74957;12100;29884;5967;5967;76954;8273;1738;12940;40492;6436;0;16495;77797;6810;126615;58233;4708;116;254;143801;56752;3018;0;227
67;Original, unadjusted data;2015 4th quarter;177403;72488;169898;166634;45750;6043;104606;44706;21635;59277;44403;5996;78478;77491;987;83319;12476;29720;5718;4575;76393;8761;1732;11035;48251;6062;0;16515;80668;8850;127908;62743;6064;88;770;145771;55238;2800;0;193
68;Original, unadjusted data;2016 1st quarter;170749;73508;170877;167345;49606;16630;101993;45423;17488;56964;41525;5795;76949;76442;507;77982;11112;30601;6136;4499;76122;10018;1281;14211;43032;6486;0;16411;77232;5609;120352;50782;5955;92;873;141066;50910;2423;0;201
69;Original, unadjusted data;2016 2nd quarter;176193;63523;173669;172099;49666;13411;104285;36786;18656;67914;45222;6333;78467;80543;-2076;93181;14334;33878;5883;6488;77082;10269;1065;17598;42168;6427;0;15893;95911;25317;125085;54719;5108;129;280;142892;52195;3538;0;212
70;Original, unadjusted data;2016 3rd quarter;172657;76291;169356;166796;46416;12217;103546;47402;16153;56350;41720;6224;71530;73419;-1889;77389;11756;30752;6253;5317;78552;10133;978;13430;42653;6407;0;16899;79581;6346;126654;55983;5086;108;204;144855;52682;2526;0;180
71;Original, unadjusted data;2016 4th quarter;183042;73815;180329;180714;56479;17352;108192;45489;20103;61584;45215;6146;80876;74845;6031;86089;11849;30402;5796;4031;78936;9743;1292;12872;46792;6245;0;17389;84324;9419;129878;55539;2180;84;532;150504;52826;2565;0;254
72;Original, unadjusted data;2017 1st quarter;177872;77805;179306;177137;55513;20890;106088;47923;17515;59055;42701;5781;81534;76302;5232;80545;10809;31184;6074;4364;78835;10933;1417;17526;41786;6545;0;18229;79567;5096;135890;55912;4727;88;586;158130;57346;2558;0;183
73;Original, unadjusted data;2017 2nd quarter;184177;66862;180836;179426;53033;14909;109167;38746;19911;70781;46068;6011;79430;81013;-1583;96671;14492;34377;5965;6937;80189;11249;1434;19007;43692;6537;0;17989;98824;25572;134911;62489;5030;136;209;154879;59148;3620;0;202
74;Original, unadjusted data;2017 3rd quarter;180098;79674;179251;177472;52711;17161;108187;49075;17089;59116;42763;7086;74197;75362;-1165;80357;11989;31421;6109;5417;81889;10660;1660;14642;44222;6393;0;18998;81957;5485;137081;64158;4359;109;286;157030;63311;2580;0;170
75;Original, unadjusted data;2017 4th quarter;191021;77705;189602;188112;60736;20520;113114;47729;20510;64839;46289;6874;84868;79338;5530;90078;12306;31019;6106;4410;80997;10451;1699;18086;45537;6244;0;19285;87228;10641;140401;62218;4786;90;342;163886;60799;3296;0;309
76;Seasonally and working day adjusted data;1999 1st quarter;101055;40290;102504;100860;29239;5426;57295;21763;11863;36077;20557;3796;44977;44360;617;50863;10541;17305;4807;3852;51072;7555;4072;7062;25559;4345;0;12556;54290;7168;53520;18429;2996;29;472;59669;20153;1218;0;277
77;Seasonally and working day adjusted data;1999 2nd quarter;102559;40706;104004;102487;29356;5628;58185;22549;12574;35854;21046;3865;44247;44769;-522;51451;9993;17444;4818;3766;51931;7366;4218;7291;25392;4543;0;12693;55314;6722;55955;21207;2864;29;508;62050;22568;1390;0;296
78;Seasonally and working day adjusted data;1999 3rd quarter;104351;41200;104435;102638;28455;3308;59722;23049;11869;37087;21391;4002;46254;45244;1010;52279;10667;17709;4922;3898;52813;7098;4370;7278;26347;4648;0;12363;54732;6580;57717;11956;3069;28;480;62493;11964;1387;0;264
79;Seasonally and working day adjusted data;1999 4th quarter;106764;42273;108738;107163;32128;5242;60934;23488;11999;37961;21860;3935;46234;45899;335;53479;11327;18186;5019;4178;53167;7683;4770;7354;27121;4677;0;12589;57786;8383;60008;20112;2995;33;438;65074;21861;1396;0;291
80;Seasonally and working day adjusted data;2000 1st quarter;108934;42819;110431;108314;30811;4994;62109;23283;11960;39309;22206;3968;46970;46606;364;55449;11951;18075;5335;4259;55350;7512;5046;7569;26987;4739;0;13692;58542;8192;62701;25491;3728;23;566;68662;26684;1574;0;355
81;Seasonally and working day adjusted data;2000 2nd quarter;110837;43308;113597;111416;32754;6768;63478;24253;12120;39203;22689;4129;49093;47023;2070;55669;11115;18242;5308;4284;55652;7715;5395;7889;28277;4974;0;13286;58012;6425;65931;30302;3948;26;586;72462;32832;1733;0;358
82;Seasonally and working day adjusted data;2000 3rd quarter;113245;45386;115239;112992;33583;7928;64901;25136;14244;40185;23089;4101;48941;44747;4194;56612;11305;18445;5379;4161;56197;8264;5519;7771;27922;4993;0;13670;59042;6930;67707;31414;3896;25;561;76021;33689;1729;0;359
83;Seasonally and working day adjusted data;2000 4th quarter;115113;46004;115987;113746;33664;7113;66605;25992;11668;40748;23561;4516;50447;48692;1755;57397;11484;18763;5386;4668;56791;7373;5669;7890;29681;4969;0;13574;60119;7063;72591;29684;4015;31;512;81106;30880;1763;0;381
84;Seasonally and working day adjusted data;2001 1st quarter;117824;46653;117574;115673;33286;6153;67906;27250;13071;41552;24158;4499;50185;50024;161;58666;9994;18657;5615;3143;58101;7702;3631;8123;26381;5122;0;12971;62857;8484;68932;27034;3596;33;302;77203;26353;1674;0;254
85;Seasonally and working day adjusted data;2001 2nd quarter;118783;47291;118989;117091;32938;5639;68746;27639;12506;41505;24674;4539;50829;50982;-153;58835;10682;19028;5905;3167;59013;8285;3873;7632;26634;5058;0;12764;64080;8559;68680;25502;3679;33;294;76465;25508;1761;0;269
86;Seasonally and working day adjusted data;2001 3rd quarter;119479;46972;118180;116106;31525;4393;69156;26851;12256;42452;25099;4661;51881;51907;-26;59913;10907;19233;6119;3474;59214;7925;3660;8911;26701;5366;0;12917;65298;9123;68707;29911;3853;36;282;76174;29202;1771;0;267
87;Seasonally and working day adjusted data;2001 4th quarter;120666;47490;118770;116753;31616;4300;69364;27462;12790;42680;25552;4824;51103;52541;-1438;60294;10843;19559;6685;3674;60271;9073;3735;8624;26849;5842;0;12938;65391;8564;66453;30948;3795;38;258;74724;29149;1826;0;272
88;Seasonally and working day adjusted data;2002 1st quarter;121740;46914;122827;120813;32864;7058;70077;26927;12662;43386;26545;5066;51720;53089;-1369;61945;11113;20061;6101;4345;60861;8371;4127;9015;28397;5467;0;12974;65385;8777;66195;22255;3494;39;195;73894;22993;1519;0;228
89;Seasonally and working day adjusted data;2002 2nd quarter;123248;48139;122012;119724;30601;4111;70997;27960;12314;43558;27050;5055;51585;54313;-2728;61882;11432;20233;6581;4204;61509;8248;4075;9201;27366;5820;0;13041;66562;9622;66782;26095;3741;36;181;74899;24763;1560;0;242
90;Seasonally and working day adjusted data;2002 3rd quarter;124712;49846;123762;122203;32245;6426;72451;29497;12196;43820;27478;5089;51675;54394;-2719;62396;11387;20388;6733;4342;61971;8722;3872;9437;28896;5952;0;13343;66098;8621;66845;23974;3381;40;171;75647;23555;1591;0;241
91;Seasonally and working day adjusted data;2002 4th quarter;124859;49061;123697;121597;32547;5908;72260;29104;11189;44065;27971;5222;51721;55061;-3340;62834;11025;20625;6783;4407;62477;8198;3572;8786;28901;6018;0;13160;67189;9110;67287;23806;3621;39;168;76295;22617;1606;0;242
